GEN.1.1	EN el 
LEV.26.36	Y á los que quedaren de vosotros 
LEV.26.38	Y pereceréis entre las gentes, y la tierra de vuestros enemigos os consumirá.
LEV.26.41	Yo también habré andado con ellos en contra, y los habré metido en la tierra de sus enemigos: y entonces 
LEV.26.44	Y aun con todo esto, estando ellos en tierra de sus enemigos, yo 
LEV.26.45	Antes me acordaré de ellos por el pacto antiguo, 
LEV.27.1	Y HABLÓ Jehová á Moisés, diciendo:
LEV.27.2	Habla á los hijos de Israel, y diles: 
LEV.27.3	En cuanto al varón de veinte años hasta sesenta, tu estimación será cincuenta siclos de plata, 
LEV.27.4	Y si fuere hembra, la estimación será treinta siclos.
LEV.27.5	Y si fuere de cinco años hasta veinte, tu estimación será respecto al varón veinte siclos, y á la hembra diez siclos.
LEV.27.6	Y si fuere de un mes hasta cinco años, tu estimación será en orden al varón, cinco siclos de plata; y por la hembra será tu estimación tres siclos de plata.
LEV.27.7	Mas si fuere de sesenta años arriba, por el varón tu estimación será quince siclos, y por la hembra diez siclos.
LEV.27.8	Pero si fuere más pobre que tu estimación, entonces comparecerá ante el sacerdote, y el sacerdote le pondrá tasa: 
LEV.27.9	Y si fuere animal de que se ofrece ofrenda á Jehová, todo lo que se diere de el á Jehová será santo.
LEV.27.10	No será mudado ni trocado, bueno por malo, ni malo por bueno; y si se permutare un animal por otro, él y el dado por él en cambio serán sagrados.
LEV.27.11	Y si fuere algún animal inmundo, de que no se ofrece ofrenda á Jehová, entonces el animal será puesto delante del sacerdote:
LEV.27.12	Y el sacerdote lo apreciará, sea bueno ó sea malo; conforme á la estimación del sacerdote, así será.
LEV.27.14	Y cuando alguno santificare su casa consagrándola á Jehová, la apreciará el sacerdote, sea buena ó sea mala: según la apreciare el sacerdote, así quedará.
LEV.27.15	Mas si el santificante redimiere su casa, añadirá á tu valuación el quinto del dinero de ella, y será suya.
LEV.27.16	Y si alguno santificare de la tierra de su posesión á Jehová, tu estimación será conforme á su sembradura: un omer de sembradura de cebada se apreciará en cincuenta siclos de plata.
LEV.27.17	Y si santificare su tierra desde el año del jubileo, conforme á tu estimación quedará.
LEV.27.18	Mas si después del jubileo santificare su tierra, entonces el sacerdote 
LEV.27.20	Mas si él no redimiere la tierra, y la tierra se vendiere á otro, no la redimirá más;
LEV.27.22	Y si santificare alguno á Jehová la tierra que él compró, 
LEV.27.25	Y todo lo que apreciares será conforme al siclo del santuario: 
LEV.27.26	Empero 
LEV.27.27	Mas si fuere de los animales inmundos, lo redimirán conforme á tu estimación, 
LEV.27.32	Y toda décima de vacas ó de ovejas, 
LEV.27.33	No mirará si es bueno ó malo, 
NUM.1.1	Y HABLÓ Jehová á Moisés 
NUM.1.3	De veinte años arriba, todos los que pueden salir á la guerra en Israel, los contaréis tú y Aarón por sus cuadrillas.
NUM.1.4	Y estará con vosotros un varón de cada tribu, cada uno cabeza de la casa de sus padres.
NUM.1.5	Y estos son los nombres de los varones que estarán con vosotros: De la tribu de Rubén, Elisur hijo de Sedeur.
NUM.1.6	De Simeón, Selumiel hijo de Zurisaddai.
NUM.1.7	De Judá, Naasón hijo de Aminadab.
NUM.1.8	De Issachâr, Nathanael hijo de Suar.
NUM.1.9	De Zabulón, Eliab hijo de Helón.
NUM.1.10	De los hijos de José: de Ephraim, Elisama hijo de Ammiud; de Manasés, Gamaliel hijo de Pedasur.
NUM.1.11	De Benjamín, Abidán hijo de Gedeón.
NUM.1.12	De Dan, Ahiezer hijo de Ammisaddai.
NUM.1.13	De Aser, Phegiel hijo de Ocrán.
NUM.1.14	De Gad, Eliasaph hijo de Dehuel.
NUM.1.15	De Nephtalí, Ahira hijo de Enán.
NUM.1.17	Tomó pues Moisés y Aarón á estos varones que 
NUM.1.18	Y juntaron toda la congregación en el primero del mes segundo, y fueron reunidos sus linajes, por las casas de sus padres, según la cuenta de los nombres, de veinte años arriba, por sus cabezas,
NUM.1.19	Como Jehová lo había mandado á Moisés; y contólos en el desierto de Sinaí.
NUM.1.20	Y los hijos de Rubén, primogénito de Israel, por sus generaciones, por sus familias, por las casas de sus padres, conforme á la cuenta de los nombres por sus cabezas, todos los varones de veinte años arriba, todos los que podían salir á la guerra;
NUM.1.21	Los contados de ellos, de la tribu de Rubén, fueron cuarenta y seis mil y quinientos.
NUM.1.22	De los hijos de Simeón, por sus generaciones, por sus familias, por las casas de sus padres, los contados de ellos conforme á la cuenta de los nombres por sus cabezas, todos los varones de veinte años arriba, todos los que podían salir á la guerra;
NUM.1.23	Los contados de ellos, de la tribu de Simeón, cincuenta y nueve mil y trescientos.
NUM.1.24	De los hijos de Gad, por sus generaciones, por sus familias, por las casas de sus padres, conforme á la cuenta de los nombres, de veinte años arriba, todos los que podían salir á la guerra;
NUM.1.25	Los contados de ellos, de la tribu de Gad, cuarenta y cinco mil seiscientos y cincuenta.
NUM.1.26	De los hijos de Judá, por sus generaciones, por sus familias, por las casas de sus padres, conforme á la cuenta de los nombres, de veinte años arriba, todos los que podían salir á la guerra;
NUM.1.27	Los contados de ellos, de la tribu de Judá, setenta y cuatro mil y seiscientos.
NUM.1.28	De los hijos de Issachâr, por sus generaciones, por sus familias, por las casas de sus padres, conforme á la cuenta de los nombres, de veinte años arriba, todos los que podían salir á la guerra;
NUM.1.29	Los contados de ellos, de la tribu de Issachâr, cincuenta y cuatro mil y cuatrocientos.
NUM.1.30	De los hijos de Zabulón, por sus generaciones, por sus familias, por las casas de sus padres, conforme á la cuenta de sus nombres, de veinte años arriba, todos los que podían salir á la guerra;
NUM.1.31	Los contados de ellos, de la tribu de Zabulón, cincuenta y siete mil y cuatrocientos.
NUM.1.32	De los hijos de José: de los hijos de Ephraim, por sus generaciones, por sus familias, por las casas de sus padres, conforme á la cuenta de los nombres, de veinte años arriba, todos los que podían salir á la guerra;
NUM.1.33	Los contados de ellos, de la tribu de Ephraim, cuarenta mil y quinientos.
NUM.1.34	De los hijos de Manasés, por sus generaciones, por sus familias, por las casas de sus padres, conforme á la cuenta de los nombres, de veinte años arriba, todos los que podían salir á la guerra;
NUM.1.35	Los contados de ellos, de la tribu de Manasés, treinta y dos mil y doscientos.
NUM.1.36	De los hijos de Benjamín, por sus generaciones, por sus familias, por las casas de sus padres, conforme á la cuenta de los nombres, de veinte años arriba, todos los que podían salir á la guerra;
NUM.1.37	Los contados de ellos, de la tribu de Benjamín, treinta y cinco mil y cuatrocientos.
NUM.1.38	De los hijos de Dan, por sus generaciones, por sus familias, por las casas de sus padres, conforme á la cuenta de los nombres, de veinte años arriba, todos los que podían salir á la guerra;
NUM.1.39	Los contados de ellos, de la tribu de Dan, sesenta y dos mil y setecientos.
NUM.1.40	De los hijos de Aser, por sus generaciones, por sus familias, por las casas de sus padres, conforme á la cuenta de los nombres, de veinte años arriba, todos los que podían salir á la guerra.
NUM.1.41	Los contados de ellos, de la tribu de Aser, cuarenta y un mil y quinientos.
NUM.1.42	De los hijos de Nephtalí, por sus generaciones, por sus familias, por las casas de sus padres, conforme á la cuenta de los nombres, de veinte años arriba, todos los que podían salir á la guerra;
NUM.1.43	Los contados de ellos, de la tribu de Nephtalí, cincuenta y tres mil y cuatrocientos.
NUM.1.45	Y fueron todos los contados de los hijos de Israel por las casas de sus padres, de veinte años arriba, todos los que podían salir á la guerra en Israel;
NUM.1.48	Porque habló Jehová á Moisés, diciendo:
NUM.1.49	Solamente no contarás la tribu de Leví, ni tomarás la cuenta de ellos entre los hijos de Israel:
NUM.1.52	Y los hijos de Israel asentarán sus tiendas 
NUM.1.54	E hicieron los hijos de Israel conforme á todas las cosas que mandó Jehová á Moisés; así lo hicieron.
NUM.2.1	Y HABLÓ Jehová á Moisés y á Aarón, diciendo:
NUM.2.2	Los hijos de Israel acamparán 
NUM.2.3	Estos acamparán al levante, al oriente: la bandera del ejército de Judá, por sus escuadrones; y el jefe de los hijos de Judá, 
NUM.2.4	Su hueste, con los contados de ellos, setenta y cuatro mil y seiscientos.
NUM.2.5	Junto á él acamparán los de la tribu de Issachâr: y el jefe de los hijos de Issachâr, Nathanael hijo de Suar;
NUM.2.6	Y su hueste, con sus contados, cincuenta y cuatro mil y cuatrocientos:
NUM.2.8	Y su hueste, con sus contados, cincuenta y siete mil y cuatrocientos.
NUM.2.9	Todos los contados en el ejército de Judá, ciento ochenta y seis mil y cuatrocientos, por sus escuadrones, 
NUM.2.10	La bandera del ejército de Rubén al mediodía, por sus escuadrones: y el jefe de los hijos de Rubén, Elisur hijo de Sedeur;
NUM.2.11	Y su hueste, sus contados, cuarenta y seis mil y quinientos.
NUM.2.12	Y acamparán junto á él los de la tribu de Simeón: y el jefe de los hijos de Simeón, Selumiel hijo de Zurisaddai;
NUM.2.13	Y su hueste, con los contados de ellos, cincuenta y nueve mil y trescientos:
NUM.2.14	Y la tribu de Gad: y el jefe de los hijos de Gad, Eliasaph hijo de Rehuel;
NUM.2.15	Y su hueste, con los contados de ellos, cuarenta y cinco mil seiscientos y cincuenta.
NUM.2.16	Todos los contados en el ejército de Rubén, ciento cincuenta y un mil cuatrocientos y cincuenta, por sus escuadrones, 
NUM.2.18	La bandera del ejército de Ephraim por sus escuadrones, al occidente: y el jefe de los hijos de Ephraim, Elisama hijo de Ammiud;
NUM.2.19	Y su hueste, con los contados de ellos, cuarenta mil y quinientos.
NUM.2.20	Junto á él estará la tribu de Manasés; y el jefe de los hijos de Manasés, Gamaliel hijo de Pedasur;
NUM.2.21	Y su hueste, con los contados de ellos, treinta y dos mil y doscientos:
NUM.2.22	Y la tribu de Benjamín: y el jefe de los hijos de Benjamín, Abidán hijo de Gedeón;
NUM.2.23	Y su hueste, con los contados de ellos, treinta y cinco mil y cuatrocientos.
NUM.2.24	Todos los contados en el ejército de Ephraim, ciento ocho mil y ciento, por sus escuadrones, 
NUM.2.25	La bandera del ejército de Dan estará al aquilón, por sus escuadrones: y el jefe de los hijos de Dan, Ahiezer hijo de Amisaddai;
NUM.2.26	Y su hueste, con los contados de ellos, sesenta y dos mil y setecientos.
NUM.2.27	Junto á él acamparán los de la tribu de Aser: y el jefe de los hijos de Aser, Phegiel hijo de Ocrán;
NUM.2.28	Y su hueste, con los contados de ellos, cuarenta y un mil y quinientos:
NUM.2.29	Y la tribu de Nephtalí: y el jefe de los hijos de Nephtalí, Ahira hijo de Enán;
NUM.2.30	Y su hueste, con los contados de ellos, cincuenta y tres mil y cuatrocientos.
NUM.2.31	Todos los contados en el ejército de Dan, ciento cincuenta y siete mil y seiscientos: 
NUM.2.32	Estos son los contados de los hijos de Israel, por las casas de sus padres: 
NUM.2.34	E hicieron los hijos de Israel conforme á todas las cosas que Jehová mandó á Moisés; 
NUM.3.1	Y ESTAS son las generaciones de Aarón y de Moisés, desde que Jehová habló á Moisés en el monte de Sinaí.
NUM.3.2	Y estos son los nombres de los hijos de Aarón: Nadab el primogénito, 
NUM.3.3	Estos son los nombres de los hijos de Aarón, 
NUM.3.5	Y Jehová habló á Moisés, diciendo:
NUM.3.7	Y desempeñen su cargo, y el cargo de toda la congregación delante del tabernáculo del testimonio, para servir 
NUM.3.8	Y guarden todas las alhajas del tabernáculo del testimonio, y lo encargado 
NUM.3.10	Y constituirás 
NUM.3.11	Y habló Jehová á Moisés, diciendo:
NUM.3.12	Y he aquí 
NUM.3.13	Porque 
NUM.3.14	Y Jehová habló á Moisés en el desierto de Sinaí, diciendo:
NUM.3.15	Cuenta los hijos de Leví por las casas de sus padres, por sus familias: 
NUM.3.16	Y Moisés los contó conforme á la palabra de Jehová, como le fué mandado.
NUM.3.18	Y los nombres de los hijos de Gersón, por sus familias, estos: 
NUM.3.19	Y los hijos de Coath, por sus familias: 
NUM.3.21	De Gersón, la familia de Libni y la de Simei: estas son las familias de Gersón.
NUM.3.22	Los contados de ellos conforme á la cuenta de todos los varones de un mes arriba, los contados de ellos, siete mil y quinientos.
NUM.3.24	Y el jefe de la casa del padre de los Gersonitas, Eliasaph hijo de Lael.
NUM.3.27	Y 
NUM.3.28	Por la cuenta de todos los varones de un mes arriba, eran ocho mil y seiscientos, que tenían la guarda del santuario.
NUM.3.29	Las familias de los hijos de Coath acamparán al lado del tabernáculo, al mediodía;
NUM.3.30	Y el jefe de la casa del padre de las familias de Coath, Elisaphán hijo de Uzziel.
NUM.3.31	Y á cargo de ellos estará 
NUM.3.32	Y el principal de los jefes de los Levitas será Eleazar, hijo de Aarón el sacerdote, prepósito de los que tienen la guarda del santuario.
NUM.3.33	De Merari, la familia Mahalítica y la familia Musítica: estas son las familias de Merari.
NUM.3.34	Y los contados de ellos conforme á la cuenta de todos los varones de un mes arriba, fueron seis mil y doscientos.
NUM.3.35	Y el jefe de la casa del padre de las familias de Merari, Suriel hijo de Abihail: acamparán al lado del tabernáculo, al aquilón.
NUM.3.39	Todos los contados de los Levitas, que Moisés y Aarón conforme á la palabra de Jehová contaron por sus familias, todos los varones de un mes arriba, fueron 
NUM.3.40	Y Jehová dijo á Moisés: Cuenta todos los primogénitos varones de los hijos de Israel de un mes arriba, y toma la cuenta de los nombres de ellos.
NUM.3.42	Y contó Moisés, como Jehová le mandó, todos los primogénitos de los hijos de Israel.
NUM.3.43	Y todos los primogénitos varones, conforme á la cuenta de los nombres, de un mes arriba, los contados de ellos fueron veinte y dos mil doscientos setenta y tres.
NUM.3.44	Y habló Jehová á Moisés, diciendo:
NUM.3.45	Toma los Levitas en lugar de todos los primogénitos de los hijos de Israel, y los animales de los Levitas en lugar de sus animales; y los Levitas serán míos: Yo Jehová.
NUM.3.48	Y darás á Aarón y á sus hijos el dinero por los rescates de los que de ellos sobran.
NUM.3.49	Tomó, pues, Moisés el dinero del rescate de los que resultaron de más de los redimidos por los Levitas:
NUM.3.50	Y recibió de los primogénitos de los hijos de Israel en dinero, 
NUM.4.1	Y HABLÓ Jehová á Moisés y á Aarón, diciendo:
NUM.4.2	Toma la cuenta de los hijos de Coath de entre los hijos de Leví, por sus familias, por las casas de sus padres,
NUM.4.4	Este será el oficio de los hijos de Coath en el tabernáculo del testimonio, 
NUM.4.5	Cuando se hubiere de mudar el campo, vendrán Aarón y sus hijos, 
NUM.4.6	Y pondrán sobre ella 
NUM.4.7	Y sobre 
NUM.4.8	Y extenderán sobre ella el paño de carmesí colorado, y lo cubrirán con la cubierta de pieles de tejones; y le pondrán sus 
NUM.4.9	Y tomarán un paño cárdeno, y cubrirán 
NUM.4.10	Y lo pondrán con todos sus vasos en una cubierta de pieles de tejones, y lo colocarán sobre unas parihuelas.
NUM.4.11	Y sobre 
NUM.4.12	Y tomarán todos los vasos del servicio, de que hacen uso en el santuario, y los pondrán en un paño cárdeno, y los cubrirán con una cubierta de pieles de tejones, y los colocarán sobre unas parihuelas.
NUM.4.13	Y quitarán la ceniza 
NUM.4.14	Y pondrán sobre él todos sus instrumentos de que se sirve: las paletas, los garfios, los braseros, y los 
NUM.4.15	Y en acabando Aarón y sus hijos de cubrir el santuario y todos los vasos del santuario, cuando el campo se hubiere de mudar, vendrán después de ello 
NUM.4.16	Empero al cargo de Eleazar, hijo de Aarón el sacerdote, estará 
NUM.4.17	Y habló Jehová á Moisés y á Aarón, diciendo:
NUM.4.18	No cortaréis la tribu de las familias de Coath de entre los Levitas;
NUM.4.19	Mas esto haréis con ellos, para que vivan, y no mueran 
NUM.4.21	Y habló Jehová á Moisés diciendo:
NUM.4.22	Toma también la cuenta de los hijos de Gersón por las casas de sus padres, por sus familias.
NUM.4.23	De edad de treinta años arriba hasta cincuenta años los contarás; todos los que entran en compañía, para hacer servicio en el tabrenáculo del testimonio.
NUM.4.24	Este será el oficio de las familias de Gersón, para ministrar y para llevar:
NUM.4.26	Y las cortinas del atrio, y el pabellón de la puerta del atrio, que está cerca del tabernáculo y cerca del altar alrededor, y sus cuerdas, y todos los instrumentos de su servicio, y todo lo que será hecho para ellos: así servirán.
NUM.4.27	Según la orden de Aarón y de sus hijos será todo el ministerio de los hijos de Gersón en todos sus cargos, y en todo su servicio: y les encomendaréis en guarda todos sus cargos.
NUM.4.28	Este es el servicio de las familias de los hijos de Gersón en el tabernáculo del testimonio: y el cargo de ellos estará bajo la mano de Ithamar, hijo de Aarón el sacerdote.
NUM.4.29	Contarás los hijos de Merari por sus familias, por las casas de sus padres.
NUM.4.30	Desde el de edad de treinta años arriba hasta el de cincuenta años, los contarás; todos los que entran en compañía, para hacer servicio en el tabernáculo del testimonio.
NUM.4.32	Y las columnas del atrio alrededor, y sus basas, y sus estacas, y sus cuerdas con todos sus instrumentos, y todo su servicio; y 
NUM.4.33	Este será el servicio de las familias de los hijos de Merari para todo su ministerio en el tabernáculo del testimonio, 
NUM.4.34	Moisés, pues, y Aarón, y los jefes de la congregación, contaron los hijos de Coath por sus familias, y por las casas de sus padres,
NUM.4.35	Desde el de edad de treinta años arriba hasta el de edad de cincuenta años; todos los que entran en compañía, para ministrar en el tabernáculo del testimonio.
NUM.4.36	Y fueron los contados de ellos por sus familias, dos mil setecientos y cincuenta.
NUM.4.38	Y los contados de los hijos de Gersón, por sus familias, y por las casas de sus padres,
NUM.4.39	Desde el de edad de treinta años arriba hasta el de edad de cincuenta años, todos los que entran en compañía, para ministrar en el tabernáculo del testimonio;
NUM.4.40	Los contados de ellos por sus familias, por las casas de sus padres, fueron dos mil seiscientos y treinta.
NUM.4.42	Y los contados de las familias de los hijos de Merari, por sus familias, por las casas de sus padres,
NUM.4.43	Desde el de edad de treinta años arriba hasta el de edad de cincuenta años, todos los que entran en compañía, para ministrar en el tabernáculo del testimonio;
NUM.4.44	Los contados de ellos, por sus familias, fueron tres mil y doscientos.
NUM.4.45	Estos fueron los contados de las familias de los hijos de Merari, los cuales contaron Moisés y Aarón, 
NUM.4.46	Todos los contados de los Levitas, que Moisés y Aarón y los jefes de Israel contaron por sus familias, y por las casas de sus padres,
NUM.4.47	Desde el de edad de treinta años arriba hasta el de edad de cincuenta años, todos los que entraban para ministrar en el servicio, y tener cargo de obra en el tabernáculo del testimonio;
NUM.4.48	Los contados de ellos fueron ocho mil quinientos y ochenta,
NUM.4.49	Como lo mandó Jehová por mano de Moisés fueron contados, 
NUM.5.1	Y JEHOVÁ habló á Moisés, diciendo:
NUM.5.2	Manda á los hijos de Israel que echen del campo á todo 
NUM.5.3	Así hombres como mujeres echaréis, 
NUM.5.4	E hiciéronlo así los hijos de Israel, que los echaron fuera del campo: como Jehová dijo á Moisés, así lo hicieron los hijos de Israel.
NUM.5.5	Además habló Jehová á Moisés, diciendo:
NUM.5.6	Habla á los hijos de Israel: 
NUM.5.8	Y si aquel hombre no tuviere pariente al cual sea resarcida la ofensa, daráse la indemnización del agravio á Jehová, al sacerdote, 
NUM.5.10	Y lo santificado de cualquiera será suyo: asimismo lo que cualquiera diere al sacerdote, 
NUM.5.11	Y Jehová habló á Moisés, diciendo:
NUM.5.12	Habla á los hijos de Israel, y diles: Cuando la mujer de alguno se desmandare, é hiciere traición contra él,
NUM.5.13	Que alguno se hubiere echado con ella en carnal ayuntamiento, y su marido no lo hubiese visto por haberse ella contaminado ocultamente, ni hubiere testigo contra ella, ni ella hubiere sido cogida en el acto;
NUM.5.14	Si viniere sobre él espíritu de celo, y tuviere celos de su mujer, habiéndose ella contaminado; ó viniere sobre él espíritu de celo, y tuviere celos de su mujer, no habiéndose ella contaminado;
NUM.5.15	Entonces el marido traerá su mujer al sacerdote, y traerá su ofrenda con ella, la décima de un epha de harina de cebada; 
NUM.5.16	Y el sacerdote la hará acercar, y la hará poner delante de Jehová.
NUM.5.17	Luego tomará el sacerdote del agua santa en un vaso de barro: tomará también el sacerdote del polvo que hubiere en el suelo del tabernáculo, y echarálo en el agua.
NUM.5.18	Y hará el sacerdote estar en pie á la mujer delante de Jehová, y descubrirá la cabeza de la mujer, y pondrá sobre sus manos el presente de la recordación, que es el presente de celos: y el sacerdote tendrá en la mano las aguas amargas que acarrean maldición.
NUM.5.19	Y el sacerdote la conjurará, y le dirá: Si ninguno hubiere dormido contigo, y si no te has apartado de tu marido á inmundicia, libre seas de estas aguas amargas que traen maldición:
NUM.5.20	Mas si te has descarriado de tu marido, y te has amancillado, y alguno hubiere tenido coito contigo, fuera de tu marido:
NUM.5.21	(El sacerdote conjurará á la mujer 
NUM.5.22	Y estas aguas que dan maldición 
NUM.5.23	Y el sacerdote escribirá estas maldiciones en un libro, y las borrará con las aguas amargas:
NUM.5.24	Y dará á beber á la mujer las aguas amargas que traen maldición; y las aguas que obran maldición entrarán en ella por amargas.
NUM.5.25	Después tomará el sacerdote de la mano de la mujer el presente de los celos, y 
NUM.5.27	Darále pues á beber las aguas; y será, que si fuere inmunda y hubiere hecho traición contra su marido, las aguas que obran maldición entrarán en ella en amargura, y su vientre se hinchará, y caerá su muslo; 
NUM.5.28	Mas si la mujer no fuere inmunda, sino que estuviere limpia, ella será libre, y será fecunda.
NUM.5.29	Esta es la ley de los celos, 
NUM.5.30	O del marido, sobre el cual pasare espíritu de celo, y tuviere celos de su mujer: presentarála entonces delante de Jehová, y el sacerdote ejecutará en ella toda esta ley.
NUM.5.31	Y aquel varón será libre de iniquidad, 
NUM.6.1	Y HABLÓ Jehová á Moisés, diciendo:
NUM.6.2	Habla á los hijos de Israel, y diles: El hombre, ó la mujer, 
NUM.6.4	Todo el tiempo de su nazareato, de todo lo que se hace de vid de vino, desde los granillos hasta el hollejo, no comerá.
NUM.6.5	Todo el tiempo del voto de su nazareato no pasará 
NUM.6.6	Todo el tiempo que se apartaré á Jehová, 
NUM.6.8	Todo el tiempo de su nazareato, será santo á Jehová.
NUM.6.9	Y si alguno muriere muy de repente junto á el, contaminará la cabeza de su nazareato; por tanto el día de su purificacíon 
NUM.6.11	Y el sacerdote hará el uno en expiación, y el otro en holocausto: y expiarálo de lo que pecó sobre el muerto, y santificará su cabeza en aquel día.
NUM.6.12	Y consagrará á Jehová los días de su nazareato, y traerá un cordero de un año en expiación 
NUM.6.13	Esta es, pues, la ley del Nazareo 
NUM.6.14	Y ofrecerá su ofrenda á Jehová, un cordero de un año sin tacha en holocausto, y una cordera de un año 
NUM.6.15	Además un canastillo de cenceñas, 
NUM.6.16	Y el sacerdote lo ofrecerá delante de Jehová, y hará su expiación y 
NUM.6.17	Y ofrecerá el carnero en sacrificio de paces á Jehová, con el canastillo de las cenceñas; ofrecerá asimismo el sacerdote 
NUM.6.19	Después tomará el sacerdote 
NUM.6.20	Y el sacerdote 
NUM.6.21	Esta es la ley del Nazareo que hiciere voto de su ofrenda á Jehová por su nazareato, á más de lo que su mano alcanzare: según el voto que hiciere, así hará, conforme á la ley de su nazareato.
NUM.6.22	Y Jehová habló á Moisés, diciendo:
NUM.6.23	Habla á Aarón y á sus hijos, y diles: 
NUM.6.24	Jehová te bendiga, y 
NUM.6.25	rostro sobre ti, 
NUM.6.26	Jehová alce á ti su rostro, y
NUM.6.26	ponga en ti paz.
NUM.7.1	Y ACONTECIÓ, que 
NUM.7.2	Entonces 
NUM.7.3	Y trajeron sus ofrendas delante de Jehová, seis carros cubiertos, y doce bueyes; por cada dos príncipes un carro, y cada uno un buey; lo cual ofrecieron delante del tabernáculo.
NUM.7.4	Y Jehová habló á Moisés, diciendo:
NUM.7.5	Tómalo de ellos, y será para el servicio del tabernáculo del testimonio: y lo darás á los Levitas, á cada uno conforme á su ministerio.
NUM.7.6	Entonces Moisés recibió los carros y los bueyes, y diólos á los Levitas.
NUM.7.7	Dos carros y cuatro bueyes, 
NUM.7.9	Y á los hijos de Coath no dió; 
NUM.7.11	Y Jehová dijo á Moisés: Ofrecerán su ofrenda, un príncipe un día, y otro príncipe otro día, á la dedicación del altar.
NUM.7.12	Y el que ofreció su ofrenda el primer día fué 
NUM.7.13	Y fué su ofrenda un plato de plata de peso de ciento y treinta 
NUM.7.14	Una cuchara de oro de diez 
NUM.7.18	El segundo día ofreció 
NUM.7.19	Ofreció por su ofrenda un plato de plata de ciento y treinta 
NUM.7.20	Una cuchara de oro de diez 
NUM.7.21	Un becerro, un carnero, un cordero de un año para holocausto;
NUM.7.22	Un macho cabrío para expiación;
NUM.7.23	Y para sacrificio de paces, dos bueyes, cinco carneros, cinco machos de cabrío, cinco corderos de un año. Esta fué la ofrenda de Nathanael, hijo de Suar.
NUM.7.24	El tercer día, 
NUM.7.25	Y su ofrenda, un plato de plata de ciento y treinta 
NUM.7.26	Una cuchara de oro de diez 
NUM.7.27	Un becerro, un carnero, un cordero de un año para holocausto;
NUM.7.28	Un macho cabrío para expiación;
NUM.7.29	Y para sacrificio de paces, dos bueyes, cinco carneros, cinco machos de cabrío, cinco corderos de un año. Esta fué la ofrenda de Eliab, hijo de Helón.
NUM.7.30	El cuarto día, 
NUM.7.31	Y su ofrenda, un plato de plata de ciento y treinta 
NUM.7.32	Una cuchara de oro de diez 
NUM.7.33	Un becerro, un carnero, un cordero de un año para holocausto;
NUM.7.34	Un macho cabrío para expiación;
NUM.7.35	Y para sacrificio de paces, dos bueyes, cinco carneros, cinco machos de cabrío, cinco corderos de un año. Esta fué la ofrenda de Elisur, hijo de Sedeur.
NUM.7.36	El quinto día, 
NUM.7.37	Y su ofrenda, un plato de plata de ciento y treinta 
NUM.7.38	Una cuchara de oro de diez 
NUM.7.39	Un becerro, un carnero, un cordero de un año para holocausto;
NUM.7.40	Un macho cabrío para expiación;
NUM.7.41	Y para sacrificio de paces, dos bueyes, cinco carneros, cinco machos de cabrío, cinco corderos de un año. Esta fué la ofrenda de Selumiel, hijo de Zurisaddai.
NUM.7.42	El sexto día, 
NUM.7.43	Y su ofrenda, un plato de plata de ciento y treinta 
NUM.7.44	Una cuchara de oro de diez 
NUM.7.45	Un becerro, un carnero, un cordero de un año para holocausto;
NUM.7.46	Un macho cabrío para expiación;
NUM.7.47	Y para sacrificio de paces, dos bueyes, cinco carneros, cinco machos de cabrío, cinco corderos de un año. Esta fué la ofrenda de Eliasaph, hijo de Dehuel.
NUM.7.48	El séptimo día, el príncipe de los hijos de Ephraim, 
NUM.7.49	Y su ofrenda, un plato de plata de ciento y treinta 
NUM.7.50	Una cuchara de oro de diez 
NUM.7.51	Un becerro, un carnero, un cordero de un año para holocausto;
NUM.7.52	Un macho cabrío para expiación;
NUM.7.53	Y para sacrificio de paces, dos bueyes, cinco carneros, cinco machos de cabrío, cinco corderos de un año. Esta fué la ofrenda de Elisama, hijo de Ammiud.
NUM.7.54	El octavo día, el príncipe de los hijos de Manasés, 
NUM.7.55	Y su ofrenda, un plato de plata de ciento y treinta 
NUM.7.56	Una cuchara de oro de diez 
NUM.7.57	Un becerro, un carnero, un cordero de un año para holocausto;
NUM.7.58	Un macho cabrío para expiación;
NUM.7.59	Y para sacrificio de paces, dos bueyes, cinco carneros, cinco machos de cabrío, cinco corderos de un año. Esta fué la ofrenda de Gamaliel, hijo de Pedasur.
NUM.7.60	El noveno día, el príncipe de los hijos de Benjamín, 
NUM.7.61	Y su ofrenda, un plato de plata de ciento y treinta 
NUM.7.62	Una cuchara de oro de diez 
NUM.7.63	Un becerro, un carnero, un cordero de un año para holocausto;
NUM.7.64	Un macho cabrío para expiación;
NUM.7.65	Y para sacrificio de paces, dos bueyes, cinco carneros, cinco machos de cabrío, cinco corderos de un año. Esta fué la ofrenda de Abidán, hijo de Gedeón.
NUM.7.66	El décimo día, el príncipe de los hijos de Dan, 
NUM.7.67	Y su ofrenda, un plato de plata de ciento y treinta 
NUM.7.68	Una cuchara de oro de diez 
NUM.7.69	Un becerro, un carnero, un cordero de un año para holocausto;
NUM.7.70	Un macho cabrío para expiación;
NUM.7.71	Y para sacrificio de paces, dos bueyes, cinco carneros, cinco machos de cabrío, cinco corderos de un año. Esta fué la ofrenda de Ahiezer, hijo de Ammisaddai.
NUM.7.72	El undécimo día, el príncipe de los hijos de Aser, 
NUM.7.73	Y su ofrenda, un plato de plata de ciento y treinta 
NUM.7.74	Una cuchara de oro de diez 
