GEN.1.1	En el principio, Dios creó los cielos y la tierra.
NUM.27.4	¿Por qué debería desaparecer el nombre de nuestro padre de entre su clan solo porque no tuvo hijos varones? Dennos una porción de terreno entre el resto de nuestros parientes».
NUM.27.5	Entonces Moisés presentó el caso ante el 
NUM.27.6	Y el 
NUM.27.7	«La petición de las hijas de Zelofehad es legítima. Así que dales una porción de terreno junto con los parientes de su padre. Asígnales la porción de terreno que se hubiera dado a su padre.
NUM.27.8	»Y da al pueblo de Israel las siguientes instrucciones: si un hombre muere sin dejar hijo varón, entonces se le dará su herencia a sus hijas. 
NUM.27.9	Y si tampoco tiene hijas, su herencia se transferirá a sus hermanos. 
NUM.27.10	Si no tiene hermanos, entrega su herencia a los hermanos de su padre. 
NUM.27.11	Y si su padre no tiene ningún hermano, entonces entrega su herencia al pariente más cercano dentro de su clan. Este es un requisito legal para el pueblo de Israel, tal como el 
NUM.27.12	Cierto día el 
NUM.27.12	—Sube a una de las montañas al oriente del río,
NUM.27.13	Después de verla, al igual que tu hermano Aarón, morirás; 
NUM.27.14	pues los dos se rebelaron contra mis instrucciones en el desierto de Zin. Cuando los israelitas se rebelaron, ustedes no les demostraron mi santidad junto a las aguas.
NUM.27.14	(Estas son las aguas de Meriba en Cades
NUM.27.15	Entonces Moisés le dijo al 
NUM.27.16	—Oh 
NUM.27.17	Dales a alguien que los guíe dondequiera que vayan y que los conduzca en batalla, para que la comunidad del 
NUM.27.18	El 
NUM.27.18	—Toma a Josué, hijo de Nun, en quien está el Espíritu, y pon tus manos sobre él. 
NUM.27.19	Preséntalo al sacerdote Eleazar ante toda la comunidad y públicamente encárgale que dirija al pueblo. 
NUM.27.20	Entrégale de tu autoridad para que toda la comunidad de Israel lo obedezca. 
NUM.27.21	Cuando se necesite dirección del 
NUM.27.22	Así que Moisés hizo lo que el 
NUM.27.23	Luego Moisés impuso sus manos sobre él y le entregó el cargo de dirigir al pueblo, tal como el 
NUM.28.1	El 
NUM.28.2	«Da al pueblo de Israel estas instrucciones: las ofrendas especiales que ustedes presentan son un aroma agradable para mí; son mi pan. Asegúrense de que sean llevadas en el tiempo indicado y ofrecidas de acuerdo a mis instrucciones.
NUM.28.3	»Diles a los israelitas: esta es la ofrenda especial que deberán presentar al 
NUM.28.4	Sacrifiquen un cordero por la mañana y otro al atardecer. 
NUM.28.5	Con cada cordero entreguen una ofrenda de grano de dos litros
NUM.28.6	Esta es la ofrenda quemada habitual, instituida en el monte Sinaí, como ofrenda especial, un aroma agradable al 
NUM.28.7	Junto con la ofrenda quemada presenten la ofrenda líquida apropiada de un litro de bebida fermentada por cada cordero y derrámenla en el Lugar Santo como ofrenda al 
NUM.28.8	Ofrezcan el segundo cordero al atardecer, con la misma ofrenda de grano y ofrenda líquida. También es una ofrenda especial, un aroma agradable al 
NUM.28.9	»En el día de descanso
NUM.28.10	Esta es la ofrenda quemada que se presentará cada día de descanso, además de la ofrenda quemada habitual y su correspondiente ofrenda líquida.
NUM.28.11	»El primer día de cada mes presenten al 
NUM.28.12	Estas ofrendas deben ser acompañadas de ofrendas de grano de harina selecta humedecida con aceite de oliva, seis litros
NUM.28.13	y dos litros por cada cordero. Esta ofrenda quemada será especial, un aroma agradable al 
NUM.28.14	Ofrezcan también una ofrenda líquida con cada sacrificio: dos litros
NUM.28.15	»El primer día de cada mes ofrezcan también al 
NUM.28.16	»Deben celebrar la Pascua del 
NUM.28.17	El siguiente día —el día quince del mes— se iniciará un festival jubiloso de siete días, pero no comerán pan preparado con levadura. 
NUM.28.18	El primer día del festival será un día oficial para celebrar una asamblea santa y no harán ningún trabajo habitual. 
NUM.28.19	Como ofrenda especial presenten al 
NUM.28.20	Estas serán acompañadas de las ofrendas de grano de harina selecta humedecidas con aceite de oliva: seis litros con cada becerro, cuatro litros con el carnero, 
NUM.28.21	y dos litros con cada uno de los siete corderos. 
NUM.28.22	Ofrezcan también un chivo como ofrenda por el pecado, para purificarse y hacerse justos ante el 
NUM.28.23	Estas ofrendas las presentarán además de la ofrenda quemada habitual de cada mañana. 
NUM.28.24	Este es el procedimiento que deberán seguir —en cada uno de los siete días del festival— cuando preparen la comida que presenten como ofrenda especial, un aroma agradable al 
NUM.28.25	El séptimo día del festival será otro día especial para celebrar una asamblea santa, y ese día no harán ningún trabajo habitual.
NUM.28.26	»Durante el Festival de la Cosecha,
NUM.28.27	Ese día, presenten una ofrenda quemada especial como un aroma agradable al 
NUM.28.28	Estas serán acompañadas de las ofrendas de grano de harina selecta humedecidas con aceite de oliva: seis litros con cada becerro, cuatro litros con el carnero 
NUM.28.29	y dos litros con cada uno de los siete corderos. 
NUM.28.30	Ofrezcan también un chivo para purificarse y hacerse justos ante el 
NUM.28.31	Preparen estas ofrendas quemadas especiales, junto con sus ofrendas líquidas, además de la ofrenda quemada habitual y su correspondiente ofrenda de grano. Asegúrense de que los animales que sacrifiquen no tengan ningún defecto.
NUM.29.1	»Cada año, el primer día del mes señalado, al principio del otoño
NUM.29.2	Ese día deben presentar una ofrenda quemada como aroma agradable al 
NUM.29.3	Estas deben ser acompañadas de las ofrendas de grano de harina selecta humedecidas con aceite de oliva: seis litros
NUM.29.4	y dos litros
NUM.29.5	Además sacrifiquen un chivo como ofrenda por el pecado, para purificarse y hacerse justos ante el 
NUM.29.6	Estos sacrificios especiales, junto con sus ofrendas obligatorias de grano y las ofrendas líquidas, son además de las ofrendas quemadas habituales, mensuales y diarias. Se las presenta como ofrenda especial al 
NUM.29.7	»Diez días después, el décimo día del mismo mes,
NUM.29.8	Deberán presentar una ofrenda quemada como aroma agradable al 
NUM.29.9	Estas ofrendas deben ser acompañadas por las ofrendas obligatorias de grano de harina selecta humedecidas con aceite de oliva: seis litros de harina selecta con el becerro, cuatro litros de harina selecta con el carnero 
NUM.29.10	y dos litros de harina selecta con cada uno de los siete corderos. 
NUM.29.11	Sacrifiquen también un chivo como ofrenda por el pecado. Esta es además de la ofrenda por el pecado para el perdón y además de la ofrenda quemada diaria habitual, junto con su ofrenda de grano y sus correspondientes ofrendas líquidas.
NUM.29.12	»Cinco días después, el día quince del mismo mes,
NUM.29.13	El primer día del festival presenten, como ofrenda especial, una ofrenda quemada como aroma agradable al 
NUM.29.14	Cada una de estas ofrendas deben ser acompañadas por una ofrenda de grano de harina selecta humedecida con aceite de oliva: seis litros para cada uno de los trece becerros, cuatro litros para cada uno de los dos carneros 
NUM.29.15	y dos litros para cada uno de los catorce corderos. 
NUM.29.16	También sacrifiquen un chivo como ofrenda por el pecado además de la ofrenda quemada habitual con su correspondiente ofrenda de grano y ofrenda líquida.
NUM.29.17	»El segundo día de este festival de siete días, sacrifiquen doce becerros, dos carneros y catorce corderos de un año, todos sin defecto. 
NUM.29.18	Cada una de estas ofrendas de becerros, carneros y corderos deben ser acompañadas por su ofrenda obligatoria de grano y su ofrenda líquida. 
NUM.29.19	También sacrifiquen un chivo como ofrenda por el pecado además de la ofrenda quemada habitual con su correspondiente ofrenda de grano y ofrenda líquida.
NUM.29.20	»El tercer día del festival, sacrifiquen once becerros, dos carneros y catorce corderos de un año, todos sin defecto. 
NUM.29.21	Cada una de estas ofrendas de becerros, carneros y corderos deben ser acompañadas por su ofrenda obligatoria de grano y su ofrenda líquida. 
NUM.29.22	También sacrifiquen un chivo como ofrenda por el pecado además de la ofrenda quemada habitual con su correspondiente ofrenda de grano y ofrenda líquida.
NUM.29.23	»El cuarto día del festival, sacrifiquen diez becerros, dos carneros y catorce corderos de un año, todos sin defecto. 
NUM.29.24	Cada una de estas ofrendas de becerros, carneros y corderos deben ser acompañadas por su ofrenda obligatoria de grano y su ofrenda líquida. 
NUM.29.25	También sacrifiquen un chivo como ofrenda por el pecado además de la ofrenda quemada habitual con su correspondiente ofrenda de grano y ofrenda líquida.
NUM.29.26	»El quinto día del festival, sacrifiquen nueve becerros, dos carneros y catorce corderos de un año, todos sin defecto. 
NUM.29.27	Cada una de estas ofrendas de becerros, carneros y corderos deben ser acompañadas por su ofrenda obligatoria de grano y su ofrenda líquida. 
NUM.29.28	También sacrifiquen un chivo como ofrenda por el pecado además de la ofrenda quemada habitual con su correspondiente ofrenda de grano y ofrenda líquida.
NUM.29.29	»El sexto día del festival, sacrifiquen ocho becerros, dos carneros y catorce corderos de un año, todos sin defecto. 
NUM.29.30	Cada una de estas ofrendas de becerros, carneros y corderos deben ser acompañadas por su ofrenda obligatoria de grano y su ofrenda líquida. 
NUM.29.31	También sacrifiquen un chivo como ofrenda por el pecado además de la ofrenda quemada habitual con su correspondiente ofrenda de grano y ofrenda líquida.
NUM.29.32	»El séptimo día del festival, sacrifiquen siete becerros, dos carneros y catorce corderos de un año, todos sin defecto. 
NUM.29.33	Cada una de estas ofrendas de becerros, carneros y corderos deben ser acompañadas por su ofrenda obligatoria de grano y su ofrenda líquida. 
NUM.29.34	También sacrifiquen un chivo como ofrenda por el pecado además de la ofrenda quemada habitual con su correspondiente ofrenda de grano y ofrenda líquida.
NUM.29.35	»El octavo día del festival, proclamen otro día santo. No hagan ningún trabajo habitual en ese día. 
NUM.29.36	Presenten una ofrenda quemada como ofrenda especial, un aroma agradable al 
NUM.29.37	Cada una de estas ofrendas deben ser acompañadas por su ofrenda obligatoria de grano y su ofrenda líquida. 
NUM.29.38	También sacrifiquen un chivo como ofrenda por el pecado además de la ofrenda quemada habitual con su correspondiente ofrenda de grano y ofrenda líquida.
NUM.29.39	»Presenten estas ofrendas al 
NUM.29.40	Así que Moisés dio al pueblo de Israel todas estas instrucciones, tal como el 
NUM.30.1	Moisés mandó llamar a los jefes de las tribus de Israel y les dijo: «Esto es lo que el 
NUM.30.2	un hombre que hace un voto al 
NUM.30.3	»Si una mujer joven hace un voto al 
NUM.30.4	y su padre se entera del voto o de la promesa y no se opone, entonces todos sus votos y todas sus promesas siguen en pie. 
NUM.30.5	Sin embargo, si su padre, el día que se entera, se niega a darle permiso para que cumpla el voto o la promesa, quedarán anulados todos sus votos y todas sus promesas. El 
NUM.30.6	»Ahora bien, supongamos que una joven hace un voto o se compromete a sí misma al hacer una promesa impulsiva y luego se casa. 
NUM.30.7	Si su marido llega a saber de su voto o de su promesa y no se opone el día que se entera, sus votos y sus promesas siguen en pie. 
NUM.30.8	Sin embargo, si su marido se niega a aceptar su voto o promesa impulsiva el día que se entera, sus compromisos quedarán anulados y el 
NUM.30.9	Pero si se trata de una viuda o de una divorciada, esta persona deberá cumplir con todos sus votos y todas sus promesas.
NUM.30.10	»Ahora bien, supongamos que una mujer está casada y vive en casa de su esposo cuando ella hace un voto o se compromete a sí misma con una promesa. 
NUM.30.11	Si su marido se entera y no se opone, entonces su voto o su promesa sigue en pie. 
NUM.30.12	Pero si su marido se niega a aceptarlo el día que se entera, entonces su voto o su promesa quedará anulado y el 
NUM.30.13	Su marido puede confirmar o anular todo voto o toda promesa que haya hecho para negarse a sí misma. 
NUM.30.14	Pero si no se opone el día que se entera, esto significa que está de acuerdo con todos sus votos y todas sus promesas. 
NUM.30.15	Si él espera más de un día y entonces intenta anular un voto o una promesa, él recibirá el castigo por la culpa de ella».
NUM.30.16	Estas son las ordenanzas que el 
NUM.31.1	Entonces el 
NUM.31.2	«En nombre del pueblo de Israel, toma venganza en contra de los madianitas por haber conducido a mi pueblo a la idolatría. Después morirás y te reunirás con tus antepasados».
NUM.31.3	Así que Moisés le dijo al pueblo: «Escojan a algunos hombres y ármenlos para pelear la guerra de venganza del 
NUM.31.4	De cada tribu de Israel envíen mil hombres a la batalla». 
NUM.31.5	Entonces escogieron a mil hombres de cada tribu de Israel, en total reunieron a doce mil hombres armados para la batalla. 
NUM.31.6	Así que Moisés envió a mil hombres de cada tribu, y Finees, hijo del sacerdote Eleazar, los dirigió en la batalla. Llevaban los objetos sagrados del santuario y las trompetas para dar la orden de ataque. 
NUM.31.7	Así que atacaron a Madián, tal como el 
NUM.31.8	Los cinco reyes madianitas —Evi, Requem, Zur, Hur y Reba— murieron en la batalla. También mataron a espada a Balaam, hijo de Beor.
NUM.31.9	El ejército israelita capturó a las mujeres y a los niños madianitas y tomó como botín el ganado y los rebaños y toda su riqueza. 
NUM.31.10	Quemaron todas las ciudades y las aldeas donde los madianitas habían vivido. 
NUM.31.11	Después que reunieron el botín y a los cautivos, tanto personas como animales, 
NUM.31.12	llevaron todo a Moisés, al sacerdote Eleazar y a toda la comunidad de Israel que acampaba en las llanuras de Moab, al lado del río Jordán frente a Jericó. 
NUM.31.13	Entonces Moisés, el sacerdote Eleazar y todos los jefes de la comunidad salieron a su encuentro afuera del campamento. 
NUM.31.14	Pero Moisés se enfureció con los generales y los capitanes
NUM.31.15	«¿Por qué dejaron con vida a las mujeres? —les reclamó—. 
NUM.31.16	Precisamente son ellas las que, siguiendo el consejo de Balaam, incitaron al pueblo de Israel a rebelarse contra el 
NUM.31.17	Así que maten a todos los niños varones y a todas las mujeres que hayan tenido relaciones sexuales. 
NUM.31.18	Dejen con vida únicamente a las niñas vírgenes; pueden quedarse con ellas. 
NUM.31.19	Y todos ustedes, los que hayan matado a alguien o hayan tocado un cadáver deben permanecer fuera del campamento durante siete días. Purifíquense ustedes y sus prisioneros en el tercer día y en el séptimo. 
NUM.31.20	Purifiquen también toda su ropa y todo lo que está hecho de cuero, pelo de cabra o madera».
NUM.31.21	Entonces el sacerdote Eleazar les dijo a los hombres que participaron en la batalla: «El 
NUM.31.22	todo lo que está hecho de oro, plata, bronce, hierro, estaño o plomo, 
NUM.31.23	es decir, todos los metales resistentes al fuego, deberán ser pasados por el fuego para que queden ceremonialmente puros. Además deben purificar estos objetos de metal con el agua de la purificación. Pero todo lo que no es resistente al fuego lo purificarán únicamente con el agua. 
NUM.31.24	El séptimo día laven su ropa y quedarán purificados, entonces podrán regresar al campamento».
NUM.31.25	Después el 
NUM.31.26	«Tú, el sacerdote Eleazar y los jefes de las familias de cada tribu, hagan una lista de todo el botín tomado en la batalla, incluidos la gente y los animales. 
NUM.31.27	Luego dividan el botín en dos partes y den la mitad a los hombres que lucharon en la batalla y la otra mitad al resto del pueblo. 
NUM.31.28	De lo que le pertenece al ejército, entreguen primero la porción del botín que le corresponde al 
NUM.31.29	Esta porción de lo que le corresponde al ejército, entrégasela al sacerdote Eleazar como ofrenda al 
NUM.31.30	De la mitad que pertenece al pueblo de Israel, toma uno de cada cincuenta de los prisioneros y del ganado, de los burros, de las ovejas, de las cabras y otros animales. Entrega esta porción a los levitas, que están encargados del cuidado del tabernáculo del 
NUM.31.31	Así que Moisés y el sacerdote Eleazar hicieron lo que el 
NUM.31.32	El botín que quedó de todo lo que los hombres de guerra habían tomado sumó 675.000 ovejas y cabras, 
NUM.31.33	72.000 cabezas de ganado, 
NUM.31.34	61.000 burros 
NUM.31.35	y 32.000 muchachas vírgenes.
NUM.31.36	La mitad del botín se entregó a los hombres de guerra. El total sumó 337.500 ovejas y cabras, 
NUM.31.37	de las cuales 675 eran la porción para el 
NUM.31.38	36.000 cabezas de ganado, de las cuales 72 eran la porción para el 
NUM.31.39	30.500 burros de los cuales 61 eran la porción para el 
NUM.31.40	y 16.000 muchachas vírgenes de las cuales 32 eran la porción para el 
NUM.31.41	Moisés le dio al sacerdote Eleazar la porción del 
NUM.31.42	La mitad del botín pertenecía al pueblo de Israel, y Moisés la separó de la mitad que pertenecía a los hombres de guerra. 
NUM.31.43	El total entregado a los israelitas sumó 337.500 ovejas y cabras, 
NUM.31.44	36.000 cabezas de ganado, 
NUM.31.45	30.500 burros, 
NUM.31.46	16.000 muchachas vírgenes. 
NUM.31.47	De la mitad entregada al pueblo, Moisés tomó uno de cada cincuenta prisioneros y animales y los dio a los levitas que cuidaban el tabernáculo del 
NUM.31.48	Después los generales y los capitanes vinieron a Moisés 
NUM.31.49	y le dijeron: «Nosotros, tus servidores, contamos a todos los hombres que salieron a la batalla bajo nuestras órdenes; ¡no falta ninguno de nosotros! 
NUM.31.50	Así que, de nuestra porción del botín, presentamos como ofrenda al 
NUM.31.51	Entonces Moisés y el sacerdote Eleazar recibieron el oro de todos los comandantes del ejército, que consistía en todo tipo de joyas y artículos artesanales. 
NUM.31.52	El oro que los generales y los capitanes presentaron como ofrenda al 
NUM.31.53	Todos los hombres de guerra habían tomado para sí parte del botín. 
NUM.31.54	Así que Moisés y el sacerdote Eleazar aceptaron los regalos de los generales y capitanes y llevaron el oro al tabernáculo
NUM.32.1	Las tribus de Rubén y Gad poseían una enorme cantidad de animales. Así que cuando vieron que las tierras de Jazer y Galaad eran ideales para sus rebaños y manadas, 
NUM.32.2	se acercaron a Moisés, al sacerdote Eleazar y a los otros jefes de la comunidad y les dijeron:
NUM.32.3	—Observen las ciudades de Atarot, Dibón, Jazer, Nimra, Hesbón, Eleale, Sibma,
NUM.32.4	El 
NUM.32.5	Si contamos con su favor, permítannos ocupar esta tierra como nuestra propiedad en lugar de darnos tierra al otro lado del río Jordán.
NUM.32.6	—¿Significa esto que ustedes pretenden quedarse aquí mientras sus hermanos cruzan el río y combaten sin su apoyo? —preguntó Moisés a los hombres de Gad y de Rubén—. 
NUM.32.7	¿Por qué quieren desalentar al resto del pueblo de Israel de cruzar a la tierra que el 
NUM.32.8	Sus antepasados hicieron lo mismo cuando los envié de Cades-barnea a explorar la tierra. 
NUM.32.9	Después que subieron al valle de Escol y exploraron la tierra, desanimaron al pueblo de Israel para que no entrara a la tierra que el 
NUM.32.10	Por eso el 
NUM.32.11	“De todos los que rescaté de Egipto, ninguno de veinte años o más verá jamás la tierra que juré dar a Abraham, a Isaac y a Jacob, porque no me han obedecido de corazón. 
NUM.32.12	Las únicas excepciones son Caleb, hijo de Jefone el cenezeo, y Josué, hijo de Nun, porque ellos han seguido al 
NUM.32.13	»El 
NUM.32.14	¡Pero ahora aquí están ustedes, raza de pecadores, haciendo exactamente lo mismo! Ustedes están provocando que el 
NUM.32.15	¡Si ustedes se alejan de él y él abandona nuevamente al pueblo en el desierto, ustedes serán responsables de la destrucción de la nación entera!
NUM.32.16	Pero ellos se acercaron a Moisés y le dijeron:
NUM.32.16	—Nosotros simplemente queremos construir corrales para nuestros animales y ciudades fortificadas para nuestras esposas e hijos. 
NUM.32.17	Después tomaremos las armas e iremos al frente de nuestros hermanos israelitas a la batalla, hasta que los llevemos seguros a su tierra. Mientras tanto, nuestras familias se quedarán en las ciudades fortificadas que construiremos aquí, para que no corran peligro de los ataques de la gente del lugar. 
NUM.32.18	No volveremos a nuestras casas hasta que todo el pueblo de Israel haya recibido su porción de tierra. 
NUM.32.19	Sin embargo, no reclamamos ninguna parte de la tierra del otro lado del Jordán. Preferimos vivir aquí, al oriente del Jordán y la aceptamos como nuestra porción de tierra.
NUM.32.20	Entonces Moisés les dijo:
NUM.32.20	—Si ustedes cumplen su palabra y se preparan para ir a la batalla del 
NUM.32.21	y si sus tropas cruzan el Jordán y siguen en la lucha hasta que el 
NUM.32.22	entonces podrán volver cuando el 
NUM.32.23	Pero si no cumplen su palabra, entonces habrán pecado contra el 
NUM.32.24	Adelante, entonces, construyan ciudades para sus familias y corrales para sus rebaños, pero cumplan con todo lo que prometieron.
NUM.32.25	Entonces los hombres de Gad y de Rubén respondieron:
NUM.32.25	—Nosotros, tus servidores, seguiremos tus instrucciones al pie de la letra. 
NUM.32.26	Nuestros hijos y nuestras esposas, los rebaños y el ganado permanecerán aquí en las ciudades de Galaad. 
NUM.32.27	Pero todos los que puedan portar armas cruzarán al otro lado a fin de combatir para el 
NUM.32.28	Así que Moisés dio las órdenes al sacerdote Eleazar, a Josué, hijo de Nun, y a los jefes de los clanes de Israel, 
NUM.32.29	y dijo: «Los hombres de Gad y de Rubén que están armados para la batalla deben cruzar el Jordán con ustedes y luchar para el 
NUM.32.30	Pero si se niegan a armarse y a cruzar con ustedes, entonces estarán obligados a aceptar una porción de tierra en Canaán, con el resto de ustedes».
NUM.32.31	Entonces las tribus de Gad y de Rubén volvieron a decir: «Nosotros somos tus servidores, ¡y haremos lo que el 
NUM.32.32	Cruzaremos el Jordán hacia Canaán bien armados a luchar para el 
NUM.32.33	Moisés asignó tierra a las tribus de Gad y de Rubén y a la media tribu de Manasés, hijo de José. Les entregó el territorio de Sehón, rey de los amorreos, y la tierra de Og, rey de Basán, toda la tierra con sus ciudades y tierras vecinas.
NUM.32.34	Los descendientes de Gad construyeron las ciudades de Dibón, Atarot, Aroer, 
NUM.32.35	Atarot-sofán, Jazer, Jogbeha, 
NUM.32.36	Bet-nimra y Bet-arán. Todas eran ciudades fortificadas con corrales para sus rebaños.
NUM.32.37	Los descendientes de Rubén construyeron las ciudades de Hesbón, Eleale, Quiriataim, 
NUM.32.38	Nebo, Baal-meón y Sibma. Cambiaron los nombres de algunas de las ciudades que conquistaron y reconstruyeron.
NUM.32.39	Entonces los descendientes de Maquir, de la tribu de Manasés, fueron a Galaad, la conquistaron y expulsaron a los amorreos que vivían allí. 
NUM.32.40	Moisés dio Galaad a los maquiritas, descendientes de Manasés, y ahí se establecieron. 
NUM.32.41	El pueblo de Jair, otro clan de la tribu de Manasés, conquistó muchas de las ciudades de Galaad y cambió el nombre de esa región a Ciudades de Jair.
NUM.32.42	Mientras tanto, un hombre llamado Noba conquistó el pueblo de Kenat y sus aldeas vecinas y a esa región le dio su propio nombre.
NUM.33.1	Esta es la ruta que los israelitas siguieron cuando salieron de Egipto bajo el liderazgo de Moisés y Aarón. 
NUM.33.2	Por orden del 
NUM.33.3	Salieron de la ciudad de Ramsés, a comienzos de la primavera, el día quince del primer mes,
NUM.33.4	Mientras tanto, los egipcios enterraban a todos sus primeros hijos varones, a los que el 
NUM.33.5	Después de dejar Ramsés, los israelitas armaron el campamento en Sucot.
NUM.33.6	Luego partieron de Sucot y acamparon en Etam en los límites del desierto.
NUM.33.7	Partieron de Etam y retrocedieron hacia Pi-hahirot, frente a Baal-zefón y acamparon cerca de Migdol.
NUM.33.8	Partieron de Pi-hahirot
NUM.33.9	Partieron de Mara y acamparon en Elim donde había doce fuentes de agua y setenta palmeras.
NUM.33.10	Partieron de Elim y acamparon al lado del mar Rojo.
NUM.33.11	Partieron del mar Rojo y acamparon en el desierto de Sin.
NUM.33.12	Partieron del desierto de Sin y acamparon en Dofca.
NUM.33.13	Partieron de Dofca y acamparon en Alús.
NUM.33.14	Partieron de Alús y acamparon en Refidim, donde no había agua para que el pueblo bebiera.
NUM.33.15	Partieron de Refidim y acamparon en el desierto de Sinaí.
NUM.33.16	Partieron del desierto de Sinaí y acamparon en Kibrot-hataava.
NUM.33.17	Partieron de Kibrot-hataava y acamparon en Hazerot.
NUM.33.18	Partieron de Hazerot y acamparon en Ritma.
NUM.33.19	Partieron de Ritma y acamparon en Rimón-fares.
NUM.33.20	Partieron de Rimón-fares y acamparon en Libna.
NUM.33.21	Partieron de Libna y acamparon en Rissa.
NUM.33.22	Partieron de Rissa y acamparon en Ceelata.
NUM.33.23	Partieron de Ceelata y acamparon en el monte Sefer.
NUM.33.24	Partieron del monte Sefer y acamparon en Harada.
NUM.33.25	Partieron de Harada y acamparon en Macelot.
NUM.33.26	Partieron de Macelot y acamparon en Tahat.
NUM.33.27	Partieron de Tahat y acamparon en Tara.
NUM.33.28	Partieron de Tara y acamparon en Mitca.
NUM.33.29	Partieron de Mitca y acamparon en Hasmona.
NUM.33.30	Partieron de Hasmona y acamparon en Moserot.
NUM.33.31	Partieron de Moserot y acamparon en Bene-jaacán.
NUM.33.32	Partieron de Bene-jaacán y acamparon en Hor-haggidgad.
NUM.33.33	Partieron de Hor-haggidgad y acamparon en Jotbata.
NUM.33.34	Partieron de Jotbata y acamparon en Abrona.
NUM.33.35	Partieron de Abrona y acamparon en Ezión-geber.
NUM.33.36	Partieron de Ezión-geber y acamparon en Cades en el desierto de Zin.
NUM.33.37	Partieron de Cades y acamparon en el monte Hor, en la frontera de Edom. 
NUM.33.38	Mientras estaban al pie del monte Hor, el 
NUM.33.39	Aarón tenía ciento veintitrés años cuando murió en el monte Hor.
NUM.33.40	En esa ocasión el rey cananeo de Arad, que vivía en el Neguev, en la tierra de Canaán, oyó que el pueblo de Israel se acercaba a su tierra.
NUM.33.41	Mientras tanto, los israelitas dejaron el monte Hor y acamparon en Zalmona.
NUM.33.42	Partieron de Zalmona y acamparon en Punón.
NUM.33.43	Partieron de Punón y acamparon en Obot.
NUM.33.44	Partieron de Obot y acamparon en Ije-abarim en la frontera de Moab.
NUM.33.45	Partieron de Ije-abarim
NUM.33.46	Partieron de Dibón-gad y acamparon en Almón-diblataim.
NUM.33.47	Partieron de Almón-diblataim y acamparon en las montañas al oriente del río,
NUM.33.48	Partieron de las montañas al oriente del río y acamparon en las llanuras de Moab junto al río Jordán, frente a Jericó. 
NUM.33.49	Acamparon a lo largo del río Jordán desde Bet-jesimot hasta los prados de las Acacias,
NUM.33.50	Mientras acampaban cerca del río Jordán, en las llanuras de Moab, frente a Jericó, el 
NUM.33.51	«Dale las siguientes instrucciones al pueblo de Israel: cuando crucen el río Jordán a la tierra de Canaán, 
NUM.33.52	expulsen a todos los que viven allí. Destruyan todas las imágenes talladas y fundidas y derriben todos sus santuarios paganos. 
NUM.33.53	Tomen posesión de la tierra y establézcanse allí, porque a ustedes se la he dado para que la ocupen. 
NUM.33.54	Repartan la tierra entre los clanes por sorteo sagrado, en proporción a su tamaño. A los clanes más grandes se les entregará una porción más grande de tierra y a los clanes más pequeños, una porción menor. La decisión del sorteo sagrado es definitiva. De esta manera se hará la repartición de las porciones de tierra entre sus tribus patriarcales. 
NUM.33.55	Sin embargo, si no expulsan a los habitantes de la tierra, los que se queden serán como astillas en sus ojos y espinas en sus costados. Los acosarán en la tierra que habitan; 
NUM.33.56	y yo haré con ustedes lo mismo que había pensado hacer con ellos».
NUM.34.1	Entonces el 
NUM.34.2	«Da las siguientes instrucciones a los israelitas: cuando entren en la tierra de Canaán, la cual les doy como su preciada posesión, estos serán los límites. 
NUM.34.3	La porción sureña de su país se extenderá desde el desierto de Zin, a lo largo del límite con Edom. La frontera sur empezará al oriente del mar Muerto,
NUM.34.4	y se extenderá hacia el sur, pasando por el paso de los Escorpiones
NUM.34.5	De Asmón, el límite girará hacia el arroyo de Egipto y terminará en el mar Mediterráneo.
NUM.34.6	»La frontera occidental será la costa del mar Mediterráneo.
NUM.34.7	»La frontera norte empezará en el mar Mediterráneo y se extenderá hacia el oriente hasta el monte Hor 
NUM.34.8	y luego a Lebo-hamat pasando por Zedad 
NUM.34.9	y Zifrón hasta Hazar-enán. Esta será la frontera norte.
NUM.34.10	»El límite oriental empezará en Hazar-enán y se extenderá al sur hasta Sefam 
NUM.34.11	y bajará a Ribla al oriente de Aín. De allí la frontera descenderá a lo largo de la orilla oriental del mar de Galilea,
NUM.34.12	y luego a lo largo del río Jordán hasta llegar al mar Muerto. Estos son los límites de su tierra».
NUM.34.13	Entonces Moisés les dijo a los israelitas: «Este territorio es la patria que se repartirá por sorteo sagrado entre ustedes. El 
NUM.34.14	Las familias de las tribus de Rubén, de Gad y de la media tribu de Manasés ya recibieron sus porciones de tierra 
NUM.34.15	al oriente del río Jordán, frente a Jericó hacia la salida del sol».
NUM.34.16	Entonces el 
NUM.34.17	«El sacerdote Eleazar y Josué, hijo de Nun, son los hombres designados para repartir las porciones de tierra entre el pueblo. 
NUM.34.18	Además, recluta a un líder de cada tribu para que los ayude con la tarea. 
NUM.34.19	Estas son las tribus y los nombres de los líderes:
NUM.34.19	Judá
NUM.34.19	Caleb, hijo de Jefone
NUM.34.20	Simeón
NUM.34.20	Semuel, hijo de Amiud
NUM.34.21	Benjamín
NUM.34.21	Elidad, hijo de Quislón
NUM.34.22	Dan
NUM.34.22	Buqui, hijo de Jogli
NUM.34.23	Manasés, hijo de José
NUM.34.23	Haniel, hijo de Efod
NUM.34.24	Efraín, hijo de José
NUM.34.24	Kemuel, hijo de Siftán
NUM.34.25	Zabulón
