MAT.1.1	Hawe Daawita zariyaanne Abraahaame zare gideedda Yesuusi Kiristtoosa yeletaa odiyaa maxaafaa.
LUK.16.6	<<Ikka, <Taani xeetu baareetaa kumeedda zaytiyaa tal77aaddi> yaageedda.
LUK.16.6	<<Sunthetteedda bitaniikka, Neeni paramana waraqataa hey; uttaade ellekka <Ishatama> gaade xaafa yaageedda.
LUK.16.7	<<Hewaappe hara bitaniyaa, <Neeni aappunuwa tal77aaddii?> yaageedda.
LUK.16.7	<< <Xeetu qun77aa zarggaa> yaageedda.
LUK.16.7	<<Sunthaykka, <Waraqataa hey; hosppun tamma gaade xaafa> yaageedda.
LUK.16.8	<<He sunthay cinccatethaan ootheedda diraw, A goday A galateedda; ayaw gooppe, ha alamiyaa asay barenttuwoo poo7uwaa asaappe aadhdheedda cinccatuwaa.
LUK.16.9	<<Taani hinttenttoo yaagay, <Ha alamiyaa shaluu wuriyaa wode, medhinaw wurenna golliyan hinttentta mokkana mala, ha miishshaan hinttenttoo laggiyaa demmite. 
LUK.16.10	Laafa yewuwaan ammanetteeddawe, woggabaanikka ammanettee. Shin laafa yewuwaan ammanettibeennawe, woggabaanikka ammanettenna. 
LUK.16.11	Simmi hinttenttu ha alamiyaa shaluwaan ammanettennawaa gidooppe, tumatethaa shaluwaa hinttenttoo oone hadara giide immanawe? 
LUK.16.12	Hinttenttu hara asaa shaluwaan ammanettennawaa gidooppe, hinttenttu miishshaa oone hinttenttoo immanawe?> geedda.
LUK.16.13	<<Itti kaalla laa77u godatoo qoomatanaw danddayiyaawe ay qoomaykka baawa; ayaw gooppe, ittuwaa ixxiide, haraa dosee; woy ittuwaa bonchchiide, haraa kadhee; Xoossawunne shaloo modettanaw danddaykkita>> yaageedda. 
LUK.16.14	Shaluwaa dosiyaa Parisaawatuu hawaa ubbaa sisiide, Yesuusa bolla qilliicceeddino. 
LUK.16.15	Shin Yesuusi unttuntta, <<Hinttenttu asaa sinthan hinttentta xillo asa oothiyaawantta; shin Xoossay hinttenttu wozanaa eree; ayaw gooppe, asaa sinthan bonchchetteeddawe Xoossaa sinthan tuna gidee.
LUK.16.16	<<Muse higgiyaanne nabatuu xaafeedda maxaafaa 
LUK.16.17	Shin higgiyaappe ittibay attiyaawaappe saluunne sa7ay aadhdhiyaawe matattee. 
LUK.16.18	<<Bare machchatto billiide hararo akkiyawe ubbay woshummee; qassi asinaappe biletteedda maccawunno akkiyawe ooninneekka woshummee. 
LUK.16.19	<<Gatii loythiide al77o gideedda mayuwaa mayyiiddinne gallassaan gallassaan otoruwan nashettiidde de7iyaa itti dure bitani de7ee. 
LUK.16.20	Qassikka kumentha asatethan maythay de7iyaa itti Ali7aazara geetettiyaa hiyyeesay, ha dure bitaniyaa kariyan giseedda. 
LUK.16.21	Ha dure bitaniyaa samppaappe laaletteedda suuppaa maanaw amottee; haray atto kanatuukka yiide A maythaa laacciino.
LUK.16.22	<<Ha hiyyeesaa bitani hayqqina, kiitanchchatuu A Abraahaamo bagga bonchchosaa afeeddino; dure bitaniikka qassi hayqqiide moogetteedda. 
LUK.16.23	Si7ooliyan daro seelettiidde de7ishshin, dhoqqu giide haakuwan Ali7aazara, Abraahaamo baggan de7iyaawaa be7eedda.
LUK.16.24	<<Ikka bare kooshshaa dhoqqu udiide, <Abraahaamo, ta aabboo, taw qaretta. Ha tamaa seelaan metoota de7iyaa diraw, Ali7aazar bare biradhdhiyaa xeeraa haathaan bochchiide, ta inxxarssaa irxxissanaadan hayyanaa taakko kiittaarikkii> yaageedda.
LUK.16.25	<<Abraahaamo qassi, <Ta na7aw, neeni paxa de7aadde, lo77o de7uwaa de7ina, Ali7aazar lo77enna meto de7uwaa de7eeddawaa qoppa. Ha77i qay I hawaani nashettiyaa wode, neeni metuwaa bolla de7aa.
LUK.16.26	<< <Hawaappe haray qay, hawaappe yaa hinttenttukko aadhdhanaw koyyiyaawanttu aadhdhennaadan, yaani de7iyaawanttukka qassi haa nuukko pinnennaadan, nu giddoninne hinttenttu giddon wogga aafuu medhetteedda> yaageedda.
LUK.16.27	<<Dure bitaniikka, <Abraahaamo, simmi hewaa gidooppe, neeni Ali7aazara ta aabbu golle yeddana mala, neena woossay. 
LUK.16.28	Ayaw gooppe, taw ichcheshu ishatuu de7iyaa diraw, unttunttu qay ha metuwasaa yeenna mala, unttunttoo Ali7aazar biide markkatto> yaageedda.
LUK.16.29	<<Abraahaamo qassi, <Musenne nabatuu xaafeedda maxaafay unttunttoo de7ee; he maxaafay giyaawaa unttunttu sisiino> yaageedda.
LUK.16.30	<<Dure bitani, <Hi77ii; Abraahaamo, ta aabboo, hewaa gidenna; shin itti bitani hayquwaappe denddiide, unttunttukko bintto, unttunttu barenttu nagaraa paaxiide, simmanawantta> yaageedda.
LUK.16.31	<<Abraahaamokka, <Unttunttu Musenne nabatuu xaafeedda maxaafaa sisennawaa gidooppe, haray atto itti uray hayquwaappe denddi yinttokka ammanikkino> geedda>> yaageedda.
LUK.17.1	Yesuusi barena kaalliyaawantta, <<Asaa balethiyaawe yeennaan attenna; shin balethiyaawaa ahiyaa uraw aw aayyee; 
LUK.17.2	He bitani ha guuthatuwappe ittuwaa balethiyaawaappe, gaacciyaa woxaa bare qoodhiyaan qashettiide abbaan mitettiyaawe aw lo77a. 
LUK.17.3	Hintte huuphew naagettite.
LUK.17.3	<<Ne ishay neena naaqqooppe, A zora. Qassi nagaraappe I simmooppe, aw atto yaaga. 
LUK.17.4	Itti gallassi I neena laappu gede naaqqiide, laappu gedekka, <Neena ta naaqqaaddi, taana maara> giidde neekko yooppe, aw atto ga>> yaageedda.
LUK.17.5	Kiitetteeddawanttukka Godaa, <<Nuussi ammanuwaa gujja>> yaagiide oochcheeddino.
LUK.17.6	Godaykka, <<Hinttew sannaaficiyaa ayfiyaa keena ammanuu de7intto, hinttenttu ha boo7iyaa, <Hawaappe shodettaade, abbaan tooketta> gintto hinttew eeno gaana>> yaageedda.
LUK.17.7	Qassikka Yesuusi, <<Hintteppe goshiyaawe woy miyaa heemmiyaa qoomay de7iyaa asay haqet de7ooppe, goshsha gadeppe woy miyaa gadeppe simmo wode ellekka, <Haaya shemppa akka, qumaa maanaw utta> yaagiyaawe oonee? 
LUK.17.8	Yewuwaan qassi, <Ta maana kawuwaa giigissa; ta maananne ushana gakkanaw minnaade taana eqqaade miza. Hewaappe guyye new ma, usha> yaagiyaawaa gidennee? 
LUK.17.9	He qoomay kiitetteeddabaa ootheedda diraw, he bitani galatanaw bessennee? 
LUK.17.10	Hewaadankka hintte qassi asay hinttena kiitto oosuwaa ootheedda wode, <Nuuni maaddenna qoomatuwaa; nu ooso xalalaa ootheeddo> yaagite>> yaageedda.
LUK.17.11	Yesuusi Yeerusalaame biidde, Galiilaappenne Sammaariyaa giyaa gadatuwaappe gidduwanna aadhdheedda. 
LUK.17.12	I itti guutha katamatto geliyaa wodiyaan, haakuwan eqqeedda tammu oolluwan oyqetteeddawanttu A be7eeddino. Unttunttukka haakuwan eqqiide, 
LUK.17.13	barenttu kooshshaa dhoqqu udiide, <<Yesuusa, Godaw, hayya godo nuuna pathaarikki!>> yaageeddino.
LUK.17.14	Yesuusi unttuntta be7iide, <<Biide, hinttenttu bollaa qeesatuwaa bessite>> yaageedda.
LUK.17.14	Unttunttukka qeesatuwaakko bide7iidde oolluwaappe paxeeddino. 
LUK.17.15	Unttunttuppe ittuu bare harggiyaappe paxeeddawaa be7iide, bare kooshshaa dhoqqu udiide, Xoossaa bonchchiidde simmeedda. 
LUK.17.16	Galatiiddekka Yesuusa gediyaa matan gulbbateedda. He bitani Sammaariyaa asa.
LUK.17.17	Yesuusi zaariide, <<Tammuu paxibeykkinoo? Yaatina udduppunatuu haqan de7iinoo? 
LUK.17.18	Ayihuda asa gidenna Sammaariyaa bitaniyaappe attin, Xoossaa bonchchanaw simmeeddawanttu baawa guussee?>> yaageedda. 
LUK.17.19	Yesuusi A, <<Dendda ba; ne ammanuu neena patheedda>> yaageedda.
LUK.17.20	Parisaawatuu itti gallassi, <<Xoossaa kawutethay awude yaanee?>> giide oochchina Yesuusi, <<Xoossaa kawutethay hinttenttu naagiyaa ogiyaan yeenna>> yaagi zaareedda. 
LUK.17.21	Qassikka, <<Ooninne, <Xoossaa Kawutethay hawaan de7ee>, woy <Hewaan de7ee> gaanaw danddayenna; Xoossaa Kawutethay hinttenttu wozanaa giddon de7ee>> yaageedda.
LUK.17.22	Yesuusi barena kaalliyawanttoo odiidde, <<Asaa Na7ay qoncciyaa gallassatuwaappe ittuwaa be7anaw hinttenttu amottiyaa wodii yaana; shin be7ikkita. 
LUK.17.23	Qassi unttunttu hinttena, <Haweku hawaana> woy <Hewaana> yaaganawantta. Shin unttuntta kaalliide, unttunttunna booppite. 
LUK.17.24	Walqqanthay saluwan wolqqaamiyaa wode, ha gaxaappe hini gaxaa poo7uu po7iyaawaadan, asaa na7aa yuussaykka hewaadan hananawaa. 
LUK.17.25	Shin koyrottiide Asaa Na7ay daro metuwaa metootanawunne he wodiyan de7iyaa yeletaan ixettanaw bessee.
LUK.17.26	<<Nohe wodiyaan hanowaadankka, Asaa Na7ay qoncciyaa gallassankka hewaadan hananawaa. 
LUK.17.27	Nohe markkabiyaa gelo gallassay gakkanaw unttunttu, miiddinne ushiidde, akkiiddinne akettiidde de7ishshin, bashshaa haathay yiide ubba asaakka bayizzeedda. 
LUK.17.28	<<Hewaadankka, Looxe 
LUK.17.29	Shin Looxe, Sodoomaappe keso gallassaan qassi saluwaappe tamaynne eexxiyaa bonqqo shuchchay bukkeedda; ubbabaakka miide wursseedda. 
LUK.17.30	<<Asaa na7ay qoncciyaa gallassaankka hawaadan hananawaa. 
LUK.17.31	He gallassaan, golliyaa huuphiyaan de7iyaawe, golle garssan de7iyaa miishshaa akkanaw wodhdhoppo; hawaadankka goshsha gaden de7iyaawe, guyye simmoppo. 
LUK.17.32	Ane Looxe machchattibaa qoppite! 
LUK.17.33	Bare shemppuwaa ashshanaw koyyiyaa ubbay, bayizzee; bare shemppuwaa bayizziyaa ubbay, de7uwan naagee. 
LUK.17.34	Ta hinttew odiyaawe ayee gooppe, he qammaan laa77u asatuu itti gisuwan gisanawantta; unttunttuppe ittuu akettina laa7ethiyaawe attanawaa. 
LUK.17.35	Laa77u macca asatuu itti woxaan gaaccanawantta; ittinna akettina, ittinna attanawunnu. 
LUK.17.36	Laa77u asatuu goshsha garssan de7iino; ittuu akettanawaa, laa7ethiyaawe attanawaa>> yaageedda. 
LUK.17.37	A kaalliyaawanttu Yesuusa, <<Godaw, hewe haqan hananawee?>> yaageeddino.
LUK.17.37	Ikka zaariide, <<Bakutay de7iyaasaa shorttii shiiqanawaa>> yaageedda.
LUK.18.1	Yesuusi barena kaalliyaawnttoo, salettennaan ubba gallassi woossanaadan leemisuwan odeedda. 
LUK.18.2	Ikka, <<Itti katamaan Xoossaw yayyennawe, asaakka bonchchenna itti daannay de7ee. 
LUK.18.3	He katamaan am77e mishiratta de7aw. Izakka he daannaakko yaade, <Ta morkkewunne taw de7iyaa yewuwaa pirdda> yaagaaddu.
LUK.18.4	<<Daro wodiyaan iziw pirddennaan ixxeedda. Shin bare wozanaan qoppiide, <Taani, ubba Xoossaw yayyana dhayooppekka, asaakka qay bonchchana dhayooppe, 
LUK.18.5	ha am77e mishiratta taana labbanthiyaa dirawunne ubba wode taakko yaade taana daaburssenna mala, taani iziw pirddana> geedda.
LUK.18.6	<<He makkalanchcha daannay goowaa akeekite. 
LUK.18.7	Xoossay gallassinne qamma barentta maaddana mala, danddayaan aakko waassiyaa doorettawanttussi pirddenneyee? I unttunttoo ellekka zaarennee? 
LUK.18.8	Taani hinttenttoo yaagay; unttunttoo elleelli pirddana; shin Asaa Na7ay yiyaa wode ha biittaan ammanuwaa demmaneeshsha?>> yaageedda.
LUK.18.9	Barentta geeshsha giide ammanettiyaawanttoonne haraa ubbaa darii kadhiyaawanttoo, Yesuusi ha leemisuwaa odeedda: 
LUK.18.10	<<Laa77u asatuu woossanaw geeshsha golliyaa 
LUK.18.11	Parisaawii denddi eqqiide bare wozanaan woossiidde, <Xoossaw, taani hara asaadan: bonqqiyaawanttudan, makkaliyaawanttudan, woshummiyaawanttudan, woy hawaadan qaraxaa shiishshenna diraw neena galatay. 
LUK.18.12	Saaminttaan laa77u kaalla xoomay; taani demmiyaa ubbaappe tammu kushiyaappe ittuwaa immay> yaageedda.
LUK.18.13	<<Shin qaraxiyaa bitani haakuwan eqqiide, bare ayfiyan pude saluwaa dhoqqu giide xeellanawukka koyyibeenna. Shin bare tiraa baqqiidde, <Xoossaw, taani nagaranchchaa; taana maara> yaageedda. 
LUK.18.14	Taani hinttenttoo odiyaawe ayee gooppe, kase bitaniyaappe aadhdhiide ha bitani xillo gidiide bare golle simmeedda; barena dhoqqu oothiyaa ubbay kawushana; barena qay kawushissiyaa uray dhoqqu gaana>> yaageedda.
LUK.18.15	Yesuusi bare kushiyaa wothiide anjjana mala asay guutha naanaa akkiide aakko yeeddino. A kaalliyaawanttukka be7iide, asaa ahenna mala geeddino. 
LUK.18.16	Yesuusi qassi guutha naanaa barekko xeesiide, <<Guutha naanay taakko yaana mala aggite, diggoppite; Xoossaa kawutethay hawanttu malaassa. 
LUK.18.17	Taani hinttenttoo tumuwaa oday; Xoossaa kawutethaa guutha na7aadan akkennawanttu ubbay he kawutethaa mulekka gelenna>> yaageedda.
LUK.18.18	Yihudaa biittaa Mooddiyaawanttuppe ittu, <<Lo77o tamaarissiyaawoo, taani medhinaa de7uwaa laattanaw ayaa oothanaw bessii?>> yaagiide Yesuusa oochcheedda. 
LUK.18.19	Yesuusikka aw, <<Ayaw taana lo77oo, yaagay? Itti Xoossaappe attin, lo77uu ooninne baawa; 
LUK.18.20	Xoossaa azazatuwaa, <Woshummoppa, wodhoppa, wuu77oppa, wordduwaa markkattoppa, ne aabbanne ne daayo bonchcha yaagiyaawaa eraa> >> yaagiide zaareedda. 
LUK.18.21	Bitani zaariide, <<Hawaa ubbaa, na7atethaappe doommaade naagaaddi>> yaageedda.
LUK.18.22	Yesuusikka hawaa sisiide, <<Ittibay neeni biroon oothennaani attowe de7ee; hewenneekka, new de7iyaawaa ubbaa zali77aade manqqatoo imma; hawaa oothooppe saluwankka neeni durettana; hewaappe guyye ta geeduwaa kaalla>> yaageedda. 
LUK.18.23	He bitani qassi hewaa sisiide daro dure gido diraw daro kayyotteedda.
LUK.18.24	Yesuusikka ha bitani daro kayyottowaa be7iide, <<Dure asay Xoossaa kawutethaa gelanaw wooti metanddeeshsha! 
LUK.18.25	Dure asay Xoossaa kawutethaa gelanawaappe gaaluu marppiyaa xoo7iyaanna aadhdhanawe matattee>> yaageedda. 
LUK.18.26	Hewaa siseedda asay, <<Simmi ooni attanaw danddayii?>> yaageeddino.
LUK.18.27	Ikka qay zaariide, <<Asaw danddayettennawe Xoossaw danddayettee>> yaageedda. 
LUK.18.28	Phexiroosi zaariide, <<Simmi nuuni nuussi de7iyaa ubbaa aggiide neena kaalleeddo>> yaageedda. 
LUK.18.29	Ikka, <<Tumuwaa gay, Xoossaa kawutethaa diraw bare golliyaa, woy barena yelawantta, woy bare machchiyaa, woy bare naanaa, woy ishatuwaa aggeeddawe, 
LUK.18.30	hawodiyan daro dakkuwaa, sintha yiyaa kawutethaanikka medhinaa de7uwaa akkennawe ooninne baawa>> yaageedda.
LUK.18.31	Yesuusikka tammanne laa77u barena kaalliyaawantta barekko xeesiide, <<Simmi Yeerusalaame baana; Asaa Na7aabaykka nabatuu maxaafan xaafetteeddabay ubbay yaani polettana. 
LUK.18.32	Ayihude gidennawanttoo A aathi immana, qilliiccana, daro metothana, A bollan cuchchana; 
LUK.18.33	shocowaappe guyyiyan wodhana, heezzenthiyaa gallassi I denddana>> yaageedda.
LUK.18.34	Unttunttukka ha yewuwaappe ayaanne akeekibeykkino; hayiquukka unttunttoo akeekettibeenna diraw I haasayobaakka eribeykkino. 
LUK.18.35	Yesuusi Iyarkkokko mateedda wodiyaan, itti qooqa bitani woossiidde ogiyaa gaxaan utteedda. 
LUK.18.36	Cora asay aadhdhiyaawaa sisiide, <<Hawe ayeeshsha?>> yaagi oochcheedda. 
LUK.18.37	Asaykka aw, <<Naazireetiyaa Yesuusi hawaanna aadhdhiidde de7ee>> yaagi zaareeddino.
LUK.18.38	Ikka, <<Daawite na7aa Yesuusaa, taana maaraarikki>> giide waasseedda. 
LUK.18.39	Aappe sinthanna biidde de7iyaawanttukka, co77u gaanaadan hanqqetteeddino. I qay, <<Daawite na7aw, taana maaraarikki>> giide darii waasseedda.
LUK.18.40	Yesuusikka eqqiide, barekko ahanaadan asaw odeedda. 
LUK.18.41	Yesuusakko I mato wodiyaan, Yesuusi, <<Taani new ayaa oothanaadan koyyay?>> yaagiide A oochcheedda.
LUK.18.41	Ikka zaariide, <<Godaw, xeellanaw koyyay>> geedda.
LUK.18.42	Yesuusikka, <<Xeella, ne ammanuu neena patheedda>> yaageedda. 
LUK.18.43	He wodiyankka xeellii aggeedda; Xoossaakka bonchchiidde A geeduwaa kaalleedda.
LUK.18.43	Asay ubbay bitaniyaa xeelliide, Xoossaa galateeddino.
LUK.19.1	Yesuusi hini Iyyarkko katamaa geliide, hewaanna aadhdhi de7ee. 
LUK.19.2	Sunthay Zakkiyoosa geetettiyaa itti dure bitani hewaan de7ee. Ikka qaraxiyaawanttussi kaappuwaa. 
LUK.19.3	Zakkiyoosi Yesuusa geetettiyaawe haqawentto be7anaw koyyishshin qantha gideeddawaa diraw, asaa coratethaappe denddowaan be7anaw danddayibeenna. 
LUK.19.4	Yesuusi he ogiyanna aadhdhiyaa diraw, sinthaw aadhdhiide itti boo7iyaa bolla keseedda.
LUK.19.5	Yesuusi he sa7aa gakkiide, dhoqqu gi pude xeelliide, <<Zakkiyoosa, hachche ne gollen peeshanaw bessiyaa diraw elle wodhdha>> yaageedda. 
LUK.19.6	Ikka elleelli boo7iyaappe wodhdhiide, nashechchaan Yesuusa mokkeedda. 
LUK.19.7	Hewaan de7iyaa asaa ubbay hawaa be7iide, <<Hawe nagaranchchaa gollen geliide imatha gidiide shoobettana hanee>> giide ubbatuukka zuuzunthaa doommeeddino.
LUK.19.8	Zakkiyoosikka qassi eqqiide Godaa, <<Godaw, simmi taw de7iyaawaa ubbaappe baggaa hiyyesatoo immana; ooppenneekka wordduwan akkeeddawaa gidooppe, ooyddu dakkuwaa udaade zaarana>> yaageedda.
LUK.19.9	Yesuusikka Zakkiyoosaw odiidde, <<Neenikka Abraahaamo sheeshshaa gidiyaa diraw, hachche atotethay ha golle asaw yeedda. 
LUK.19.10	Ayaw gooppe, Asaa Na7ay bayeeddawaa koyyanawunne ashshanaw yeedda>> yaageedda. 
LUK.19.11	Asay hawaa sisiidde de7ishshin Yesuusi, hini Yeerusalaame mato dirawunne unttunttoo Xoossaa kawutethay ha77ikka qoncciyaawaa malato diraw leemisuwaa odeedda. 
LUK.19.12	Hawaadan yaagi doommeedda; <<Itti wolqqaama bitani barew kaawutethaa bonchchuwaa akkiide simmanaw, hini haako gadiyaa beedda. 
LUK.19.13	Bare qoomatuwaa giddoppe tammuwaa xeesiide, unttunttoo tammu miinaa 
LUK.19.14	<<Shin A gadiyaa asay A ixxo diraw, <Ha bitani nu bolla kawutanaadan nuuni koyyokko> yaagiide, guyyenna I de7iyaasaa asaa kiitteeddino. 
LUK.19.15	Gidoppe attin, ha bitani kaate gidiide hini bare gade simmeedda. He qoomatuu huuphiyan huuphiyan I immo miishshaan zali77iide ay keena wodhisseeddinontto eranaw xeesisseedda.
LUK.19.16	<<Koyro qoomay shiiqiide, <Godaw, neeni taw immeedda tammu miinaa wodhiyaa tammuwaa demmaaddi> yaageedda. 
LUK.19.17	A Goday A, <Hayyanaashsho! Neeni lo77o qoomaa; neeni guutha yewuwaan ammanetteeddawaa gidaade beetto diraw, tammu katamatuwaa bollan maatay new imetteedda> yaageedda.
LUK.19.18	<<Laa7ethiyaawekka shiiqiide, <Godaw, neeni taw immeedda ichcheshu miinaa geetettiyaa miishshay ichcheshuwaa wodhdheedda> yaageedda. 
LUK.19.19	A Godaykka A, <New ichcheshu katamatuwaa bollan maatay imetteedda> yaageedda. 
LUK.19.20	Hara heezzenthiyaa qoomay shiiqiide, <Godaw, curqqaan xaaxa wotheedda ne miishshaa hawaa be7a. 
LUK.19.21	Ayaw gooppe, neeni wothabeennasaappe akkiyawaa; zerabeennawaa qoyciyaa meqethi baynna asa gidiyaa diraw, new yayyaaddi> yaageedda.
LUK.19.22	<<Godaykka, <Ha iita qoomay; neeni haasayo qaalaan ne bolla taani pirddana. Wothabeennawaa akkiyawaa, zerabeennawaa qoyciyaa meqethi baynna asa gidiyaawaa erooppe, 
LUK.19.23	taani yaade ta miishshaa wodhiyaanna akkana mala, ayissi wodhissiyaawanttoo immabeykkii?> yaageedda.
LUK.19.24	<<Godaykka, hewaan eqqowantta, <Ha miishshaa aappe wothi akkiide tammu miinay de7iyaawoo immite> yaageedda. 
LUK.19.25	Unttunttukka, <Godaw, aw tammu miinay de7ee> yaageeddino.
LUK.19.26	<<Ikka, <Taani hinttenttoo odiyaawe, de7iyaawoo ubbaw gujettanawaa; baynnawaappe qassi he de7iyaawekka akettanawaa. 
LUK.19.27	Yewuwaan qassi taani unttunttu bollan kawutennaadan koyyeedda ta morkkatuwaa taakko ahiide ta sinthaan shukkite> geedda>> yaageedda.
LUK.19.28	Yesuusi hawaa goowaappe kaalla hini Yeerusalaame kesanaw barena kaalliyaawanttuppe sinthatiide beedda. 
LUK.19.29	Debre Zayte geetettiyaa deriyaa matan de7iyaa hini Beetefaagen Biitaaniyaa geetettiyaa heeraa katamatuwaakko shiiqeedda wode barena kaalliyaawanttuppe laa77atuwaa, 
LUK.19.30	<<Hinttenttuppe sinthan de7iyaa qeeri katamatuwaa biite; yaa hinttenttu geliyaa wode, ooninne biro uttibeenna hare maray qashetti utteeddawaa demmanita; A billiide haa akki yiite. 
LUK.19.31	Ooninne hinttentta, <Hawaa ayaw billiitee?> giide oochchooppe, <I bare godaw 
LUK.19.32	Kiitetteeddawanttukka biide, Yesuusi unttunttoo odowaadan hanina demmeeddino. 
LUK.19.33	Unttunttu hare maraa billiyaa wode be7iide hariyaa Goday, <<Hare maraa ayaw billiitee?>> yaageedda. 
LUK.19.34	Unttunttukka, <<Godaw hawe koshshee>> yaagiide, 
LUK.19.35	hare maraa Yesuusakko aheeddino; barenttu mayuwaa A bollan wothiide Yesuusa hariyaa togisseeddino. 
LUK.19.36	Asaykka Yesuusi biya ogiyaa bolla barenttu mayuwaa hiixxeeddino. 
LUK.19.37	I Debre Zayte geetettiyaa deriyaa dugethaa afiyaa ogiyaa mateedda wode, daro cora gideedda A kaalliyaawanttu be7eedda Xoossay ootheedda malaataw ubbaw nashettiide, barenttu kooshshaa dhoqqu oothiide,
LUK.19.38	<<Godaa sunthaan yiyaa kaatii anjjetteeddawaa;
LUK.19.38	saluwan sarotay gido.
LUK.19.38	Qassi killi dhoqqa saluwan
LUK.19.38	de7iyaa Xoossay bonchchetto>>
LUK.19.38	yaageeddino. 
LUK.19.39	Asaa garssan de7iyaa itti itti Parisaawatuu Yesuusa, <<Tamarssiyaawoo, neena kaalliyaawantta co77u oothaarikki>> yaageeddino. 
LUK.19.40	Ikka zaariide, <<Taani hinttenttoo oday, unttunttu co77u gooppe, shuchchaykka waassanawaa>> yaageedda. 
LUK.19.41	Yesuusi Yeerusalaame mateedda wode, katamatto be7iide, yeekkiidde, 
LUK.19.42	<<Ne sarotaw gidiyaawaa neeni hachche eraaddintto lo77a; shin ha77i hewe ne ayfiyaappe geemmeedda. 
LUK.19.43	Ayaw gooppe, ne bolla yaana wodii de7ee; he wode neena ixxiyaawanttu ne yuushshuwaan dirssaa diriide, yaappenne haappenne dooddiide, neena un77ethiyaa wodii yaanawaa. 
LUK.19.44	Neenanne ne dirssaa garssan de7iyaa ne asaa menthereethana. Xoossay neena be7anaw yeedda wodiyaa neeni erabeenna diraw, neena ixxiyaawanttu shuchchaa ubbaa ittuwaa ittuwaa bollappe denthiide laalanawaa>> yaageedda.
LUK.19.45	Hawaappe kaalla Yesuusi geeshsha golliyaa geliide, zali77iyaawantta hewaappe kesseedda. 
LUK.19.46	Yesuusi zaariide, << <Ta golli Xoossaa woossiyaa golliya gidanawaa> geetettiide Xoossaa qaalaan xaafetteedda. Shin hinttenttu A paannuwaa gonggoluwaa ootheeddita>> yaageedda. 
LUK.19.47	Yesuusi ubba wode geeshsha golliyan tamaarissi de7ishshin, qeesatuwaa kaappatuu, Muse higgiyaa tamaarissiyaawanttunne asaa ayissiyaawanttu A wodhanaw koyyiino. 
LUK.19.48	Shin asay ubbay A haasayaappe ittuunne attennaan sisi utto diraw, A wodhiyaa ogiyaa unttunttu dhayeeddino.
LUK.20.1	Itti gallassi Yesuusi asaa geeshsha golliyan tamaarissiiddenne mishiraachchuwaa qaalaa odiidde de7iyaa wode, qeesatuwaa kaappatuunne Muse higgiyaa tamaarissiyaawanttu gadiyaa cimatuwanna ittippe Yesuusakko yeeddino. 
LUK.20.2	Unttunttukka, <<Ha yewuwaa neeni udiyaawe ay maataanentto oda; ha maataakka new immeeddawe I oonee?>> yaagiide oochcheeddino. 
LUK.20.3	Ikka, <<Ta hinttena itti ooshaa oochchiyawe de7iyaawaa ane zaarite. 
LUK.20.4	Yohaannisa xinqqatay Xoossaappee woy asaappee?>> yaagi oochcheedda.
LUK.20.5	Unttunttu bare giddon maqqettiidde, <<Xoossaappe gooppe, hewaa gidooppe <Ayaw ammanibeykkitee> nuuna yaaganawaa; 
LUK.20.6	<Asaappe> gooppe, asay ubbay Yohaannisi nabiyaa gidiyaawaa ammaniyaa diraw shuchchaan nuuna dechchanawantta>> yaageeddino. 
LUK.20.7	Hawaassi, <<Haqappe yeeddentto erokko>> giide aw zaareeddino. 
LUK.20.8	Yesuusikka, <<Hawaa gidooppe taakka, taani O maataan ha yewuwaa oothaytantto hinttenttoo odikke>> yaageedda.
LUK.20.9	Hawaappe simmiide Yesuusi asaw ha leemisuwaa yaagi oduwaa doommeedda: 
LUK.20.10	Woyini ayfiyaa ayfo wode, woyiniyaa goshshaa Goday barena gakkiyawaa ahanaadan itti qoomaa kothaawatuwakko kiitteedda. Kiitetti beeddawaakka dhoobbiide, mela kushiyaa yeddeeddino. 
LUK.20.11	Hewaappe hara qoomaa kiitteedda. Unttunttu hewaakka qassi dhoobbiide, toochchiide, mela kushiyaa yeddeeddino. 
LUK.20.12	Ha77ikka haraa heezzenthiyaa qoomaa kiitteedda. Unttunttukka qassi A masunthiide, hini kare oleeddino.
LUK.20.13	<<He woyiniyaa turaa Godaykka, <Simmi ayaa udoo? Ane ha77i ta dosiyaa na7aa kiittana; ooni eri A bonchchooppenne> geedda. 
LUK.20.14	Goshshanchchatuu qassi na7aa be7eedda wode, <Hawe A laattiyaawaa gido diraw, hayite wodhoytte; hewaappe guyye, biittay nuussa gidanawaa> giide zoretteeddino. 
LUK.20.15	Woyiniyaa turaa sa7aappe, hini karew kessiide A wodheeddino.
LUK.20.15	<<Woyiniyaa turaa Godaykka unttuntta ayaa oothanddeeshsha? 
LUK.20.16	Yooppe he goshshanchchatuwaa, wodhanawaa; woyiniyaa turaa sa7aakka haranttoo immanawaa>> yaageeddino.
LUK.20.16	Asatuukka hawaa siso wode, <<Hawaa malabaa ahoppo>> yaageeddino. 
LUK.20.17	Yesuusikka hini unttunttukko xeelliide,
LUK.20.17	<< <Simmi shuchchaa golliyaa keexxiyaawanttu kadheedda shuchchay,
LUK.20.17	I waanna golliyaa minissiyaa huuphe shuchchaa gideedda>
LUK.20.17	geetettiide xaafetteeddawaa bilethay ayee? 
