MAT.1.1	Isua Krista akhuk Ama hi David a sapa, Abraham a sapa. 
MRK.3.31	Hatuka a nu le a parual ngai ei hong u na tualpanga anding u na ava mankui u. 
MRK.3.32	Ama asir apanga ansut ngaiin ama kom ei ti u, “Enta, na nu le na parual ngaiin tualpanga nang ana rok u.”
MRK.3.33	Aman a masanga hangai rang ha ei ti, “Tumo ka nu? Tumo ka parual?” ati. 
MRK.3.34	Hatuka asir, apanga ansut ngai tiang anhoia, “En u ta, hiva ngai hi ka nu le ka parual ani u zei. 
MRK.3.35	Pathian zot anga anmang ngai ke ka parual, ka sarzuar, ka nu” ati.
MRK.4.1	Hava suale tindil kola a manchu reta, hava han mipui atam sabak ahong anchuna hava tindil han rakuanga a chuanga ansuta mi dora chu tindil tang kola a om. 
MRK.4.2	Hava han ankhina le chong atampa a manchuna, ei manchuna han.
MRK.4.3	Akom u na rangai u tan en uta; “Bu chi anthepan bu chi anthe ranga ase na. 
MRK.4.4	Hatuka hintin hin ei ni, a the han; asen lampui kola achula va ngaiin asak zit u. 
MRK.4.5	Hatuka asen lungchirit bila achul, phil ei tam nok sika anrapa among. 
MRK.4.6	Tenchu ani sa suaka ei ra-em sika anvuaia om, razung ei don nok sika arop zit.
MRK.4.7	“Hatuka asen chiak raling nei bila achula, chiak ha ansanga achula adip diaia anra mak. 
MRK.4.8	Hatuka asen phil asana na achula amonga, ansona, anrana somanthum, somaruk, razana apung,” ati.
MRK.4.9	Hatuka ama denin, “Riatna ranga kuar a nei takin re rase,” ati.
MRK.4.10	Hatuka ama atheia, a om lai han somleianni le alom ngai han ankhina ngai arakel u na. 
MRK.4.11	Hatuka aman akom u na, “Pathian chong maruk chu nangni nei riat u ranga anphal ei ni, apanga mi ngai ranga chu ankhina na zit keng, ati.
MRK.4.12	Hantin han, ‘A ena ei mu rang, tenchu re u no ni.
MRK.4.12	Hatuka rangaia ei rangai tenchu tuak u no ni,
MRK.4.12	hano ei hong kir u na, andual ei nang u rang keng.’ ” 
MRK.4.13	Hatuka, ama denin akom u na han, “Hi ankhina hi rethei umak che mo? Hantin aniten hontinmo ankhina ngai dora nei riat u rang? 
MRK.4.14	Bu chi anthepu han chong ei thena. 
MRK.4.15	Hatuka lampuia chong anthena chu hiva hi ani, chong ariat le Soitan han a malunga chong ha alak pe len. 
MRK.4.16	Hatuka hantin den lungchirit chunga chu hiva hi ani. Chong ariat tik le anrappa apom. 
MRK.4.17	Tenchu akom u na razung nei maka anrappa sot luia chong sika antakna phenengna a om le amangil len. 
MRK.4.18	Hatuka atei chu raling bila anthe anina hava han chong ariata. 
MRK.4.19	Tenchu ramual lungkham chu neina anhuangna, ningolna, aluta chong ha adipa anra luia a om. 
MRK.4.20	Hatuka phil asana anthe chu hiva ngai hi ani chong ariata apoma aliak somanthum, Somaruk, razana anra.”
MRK.4.21	Hatuka ama denin akom u na, “Lem chu asiak nana siak luia, zamun thuaia siak ranga mo ava lak? 
MRK.4.22	Puang lui ranga anip ite om mak anlong nok ranga chong maruk um om mak. 
MRK.4.23	Riatna rang kuar a nei takin re rase,” ati.
MRK.4.24	Hatuka ama denin akom u na, “Hasik han imo nei rangai u anreng u ro nei mai u na ang han na mai unti ha neka na pe unti. 
MRK.4.25	Adon tak chu sap inti, don lui chu; ei don selep um apot inti,” ati. 
MRK.4.26	Hatuka ama denin, “Pathian ram chu hintin hin, min phaia han chi athe sela. 
MRK.4.27	Sun zan ama a in karam ameng karam, a chithe ha amonga anson tenchu hontinmo ei hong lian remak. 
MRK.4.28	Philin athetheia mara ei hong masuak, ei mong mansa hatuka ei vui hanke avuia atak ei lut. 
MRK.4.29	Tenchu amin le koite ei laka ei at ahun ei ni sika, ati. 
MRK.4.30	Hatuka, ama denin, “Pathian ram chu hongle mo mankhi mani? Ichong lemo manrual mani? 
MRK.4.31	Ancham chi ru khat phila achula chimuru tei neka asin khit ni ngal sela. 
MRK.4.32	Athe suale chu amonga anna tin neka ahonga liana abak alianpa ngai ahonga nei, hantin han chunga va ngai abaka ariak u chachak.”
MRK.4.33	Hatuka, hantina ankhina chong atam ei riat thei u na ranga chong akom u na arila. 
MRK.4.34	Tenchu ankhina nok ten akom u na chong ril maka a zolai ngai kom chu maruka anthiang vanga aril chachak.
MRK.4.35	Hatuka hava nikhua den han khului tiang akom u na, “Tho va rala son ankan u rei,” ati. 
MRK.4.36	Hantin han mipui ngai ha amaka, ama chu ei om balam anga han rakuanga ase u na. Rakuang atei um a kom a om. 
MRK.4.37	Hatuka phaivua anrik sabak ahonga, ti ansoka, rakuanga ahonga lut zuzuta, hantin han rakuang abit rang ani zei. 
MRK.4.38	Isua chu kobong athona rakuang ramoi tiang a in. Hanke a mathui u na, “Minchupu, athi rang na ni zei hile, na mandon ngal mak chena?” ati u na.
MRK.4.39	Hatuka, Isuan hava ha alei riata, thinthi ha a ngona, “Tipui ham bang ro! om sadim ro,” atia, hatuka, phaivua abang raka among. 
MRK.4.40	Hatuka amani kom han, “Ichangamo hador peia nei achi u? Iamna hi nei la nei u nok mo?” ati.
MRK.4.41	Tenchu anchi chunga, “Hiva nai hi tungal mo ei ni hi, thinthi le tindilin um a he ei tel hi?” anti u na!
MRK.5.1	Isua le a zolai ngai chu Galili tindil varala Genesaret rama, ava tung u na. 
MRK.5.2	Hatuka rakuang ata asuak le mi khat thankhur ata ahonga suak, ama ha kachai rathan ei sur. 
MRK.5.3	Hava naipa ha thana ei om, tuten thir zingzir le ngal thung thei mak. 
MRK.5.4	Min thir le ri le ei thung u chachak, tenchu, ri le zingzir chu apota, aseta, tuten matian thei mak. 
MRK.5.5	Asun azana thana le tanga han ankhek chi chiana, lung le ei an at chachak.
MRK.5.6	Hatuka alapa ata Isua amu le, a tana, ava mok. 
MRK.5.7	Hanke anring sabaka ankheka, “Isua, Pathian chung Khita a Sapa! koi ka chunga imo nei zong? Anan sinsak zam nokna ranga Pathian raminga kei na mathem,” ati. 
MRK.5.8	Isuan akom, “Nang kachai annimpa miring sung ata hi suak ro,” alei ti pena.
MRK.5.9	Hatuka Isuan, “Imo na raming?” tia arakela, Hatuka aman akoma, “Ka raming chu atampa anina” ati. 
MRK.5.10	Hatuka hava bung ata ha amani hi ei not u nokna ranga Isua kom a zonga.
MRK.5.11	Hatuka havana tang panga han vok rual atampa anvai a oma. 
MRK.5.12	Hatuka kachai ratha annim ngaiin, “Vok von sunga na manlut ro,” atia azong u. 
MRK.5.13	Hatuka aman chong a peka kachai ratha annim ngai ha asuaka vok von sunga alut u na hantin han vok rual ha nimkei tiang atan u na tindila aluta ti anhaka athi zit u.
MRK.5.14	Hatuka ahol ngai ha atan u na khua le lui tina han aril u na. Hatuka imo ei nin zei atia a en rang ahong u na. 
MRK.5.15	Hatuka Isua kom ahonga tung u na kachai ei sur mi ha puan ansil hava mana malung ei om a anga amu u na achi u. 
MRK.5.16	Hatuka ariat ngaiin chu kachai ei sur le vok chunga rui ngai dora ha aril u na.
MRK.5.17	Hatuka hava ngai han amani chu aram u ata ei suak u na ranga a mathem u na.
MRK.5.18	Hatuka rakuanga a chuang rang lai tak han kachai ei sur han Isua kom, “Na kom om chian rongba” atina a mathem.
MRK.5.19	Tenchu Isuan phal mak a koma han, “Na ina se tan la na mal na rual ngai kom Puman na ranga ei tho ngai dora ei lian zia le lungkham ei na mu hi va ril ro,” ati pe viaka.
MRK.5.20	Hantin han asena Dekapoli khuana han Isuan aranga sin ei tho pe ei lian zia ha tang ava hai pe na. Hatuka mi doran achang a mandonga.
MRK.5.21	Hatuka Isua ha rakuang le avaral avan kana mi tam sabak a kom ahong anchuna. Hatuka ama chu tindil kola a oma. 
MRK.5.22	Hatuka anchunna in aruaipu angkhat a raming Zaira ha ahonga Isua ei mu le a ke kunga anboka. 
MRK.5.23	“Ka nainupangte athi vivit zei ei hong hara ei dam theina rang hong tan a chunga na kut ahonga bang ranga ka na mathem,” tia a mathem chiana.
MRK.5.24	Hantin han Isua kom han asena hatuka mi tampan azina achan anep sabak u na.
MRK.5.25	Hatuka nupang angkhat kum somleianni annim dam maka.
MRK.5.26	Daktor atampan a en u achalaka atiar zeia ei nei doram atham zit zei satna neka anrik lam apan sa na. 
MRK.5.27	Hava mi han Isua thang rui alei riata anuk tianga mipui kara han a honga apuan atona. 
MRK.5.28	“A puan rong ngal tonin lang dam ka ti,” atina ei mandon keng.
MRK.5.29	Hatuka anrappana ei annim chu abang lena ei na ha adama ei anriat ani zei. 
MRK.5.30	Hatuka Isua han a sung ata sinthotheina asuak tia alei riata mi ngai tiang anhoi len zeia, “Tumo ka puan aton ha,” ati.
MRK.5.31	Hatuka a zolai ngaiin a kom han, “Min ei na neng u ur na muna tumo ana ton hontina nei ti mo?” ati u na.
MRK.5.32	Hatuka aman chu han tina atho ha amu ranga a ena. 
MRK.5.33	Hantin han nupang han a chunga sin ei tho pe ariata anchi le annok chunga a honga a matona anboka akom chongtak aril zita. 
MRK.5.34	Hatuka aman chu a kom han, “Ka nainupang nei iamna hi nei dampui ani zei, phukdai taka se tan la nei dam nok ata chu dam len ta ro,” ati pe.
MRK.5.35	Ala chonglai tak han anchunna in puma in ata mi ahong u na, “Na nainupang athi zei hong rangmo Minchupu hi nei la manpong u rang,” ati u na.
MRK.5.36	Isuan chu ei chong u ha kuar sung luia anchunna in puma kom han, “Achi no ro iam pei ro,” ati. 
MRK.5.37	Hatuka Pitor, Jakob, Jakob a parual Johon ngai rong nok chu tute ama zi rang phal lai mak. 
MRK.5.38	Hatuka anchunna in puma in han ava tung u na Isuan ei anpon u le ei chap ei anram u ngai ava mu na. 
MRK.5.39	Hatuka ava lut han akom u na, “Ichangmo neia ziaia nei chap sabak u naipang hi athi ni mak,” ati.
MRK.5.40	Hatuka hangai han amani u na aman chu alom u na anot zita naipang a nu le a pa le a koma om ngai rong a ruaia naipang omna han ava luta. 
MRK.5.41	Hatuka naipang kut ha a sura a koma han, “Talitha Kumi” a omzia chu “Nupang sanaite anthui ro kei na ti ni zei” ati.
MRK.5.42	Hatuka nupang sanai ha anthuia kal achoi thei lena ama chu kum somleianni mi ei ni. Hatuka a chang ei mandonga ei anlai u. 
MRK.5.43	Hatuka aman akom u na, “Hiva hi tuten re no rase ati tita hatuka sak mansa u ro,” atia chong apek.
MRK.6.1	Hatuka havan ata a suaka ei omna kholama ava tunga a zolai ngaiin chu azi tir u na. 
MRK.6.2	Hatuka pongansa nikhua ei lei ni anchunna ina, a manchuna.Hatuka mi tampa a chong ariat ngaiin, “Hiva mi hin hiva chong hi hovan ata ei riat mo hi? Hiva nai a koma hianna apek hi i hianna ngal mo hi? A kutin hidor peia changdong sin ei tho hi hontina mo? ati u. 
MRK.6.3	Hiva mi hi Mari naipasal Jakob le Joseph Juda le Simon asung suak pui thing a sinpu ha nimak mo a sarnu ngai hi koini bila om nimak mo?” ati u na achang aman dong u na amalung ni u lai mak.
MRK.6.4	Hatuka Isuan akom u na, “Dearin a kho tianga mi a unai bila ani nokan ten maimok ansak ngai mak” ati. 
MRK.6.5	Hatuka mi tomte dam lui chunga kut dapa ei mandam baka chu changdong sin tho thei lai mak. 
MRK.6.6	Ei iam u nok sika achan achang a mandonga hatuka khotina acheia a manchu tira.
MRK.6.7	Hatuka somleianni ngai ha a kuia anni nia atira aman sena kachai ratha annim ngai chunga ningneinam apek. 
MRK.6.8	Hatuka akhual se u na ranga, “Raimol kha khat baka chu vaipol um, marsam, kongvong, sum um ei choi u nok rang ati pe na. 
MRK.6.9	Kekok chu nei bun u rang ati kultai anni atiang u no ro,” ati sa na. 
MRK.6.10	Hatuka ama denin akom u na, “Nei va tung u na han na mak u maseng pei chu tung tit u ro. 
MRK.6.11	Hatuka khuan a na pham noka, na he arangai zot u nok aniten, havan ata na suak u tik han amani nei manriat u na ranga na kepha u thuaia philvut athing u ro,” ati. 
MRK.6.12	Hantin han asuak u na malung ankhir chong aril u na. 
MRK.6.13	Kachai ratha sia atampa a not u na ana tampam sariak akhua u na a mandam u. 
MRK.6.14	Hatuka reng Heroda han alei riata a raming ha alei anthang sua ei ni, “Baptispu Johon ha mithi bil ata anthui reta hasika so sinthotheina son ama kom ei tho keng,” alei ti. 
MRK.6.15	Mi teiin, “Eliza keng,” ati u. Mi teiin, “Deari ani so, deari ngai bila angkhat ang ha,” ati u na.
MRK.6.16	Herodan chu alei riata, “Johon alu kei tan nget ha anthui sir keng,” ati. 
MRK.6.17	Herod nget han a parual Philip a nungak han Herodi asika mi atira Johon ha ei man sura lungin ata ankhit chunga alei khuma, asik chu ama ha nungaka ei lak. 
MRK.6.18	Johon han Herod a kom, “Na parual nungak nei lak pe hi anthiang mak,” ham alei ti pe.
MRK.6.19	Hasik han Herodin ama chu a ngona, athat azota tenchu thei mak. 
MRK.6.20	Herodin Johon chu mi dik le anthiang tak ei ni ti ei riat sika ama ha achia ahual tita a chong a rangai. Ten achina, tenchu raisana a rangaia.
MRK.6.21	Hatuka Herod ei anzirna nikhua phamni na han a mi lian ngai le sipai ruaipu lian ngai le Galili rama mi lian ngai ranga zana bukhalai azar lai hun asa alei mana. 
MRK.6.22	Herodi nainupang nget ha a honga luta alama Herod le abu nekpui ngai ha arai amansan u na, hantin han reng han, nupang sanai te kom han, “Nei zot tak na zong ro na pe ka ti ati. 
MRK.6.23	“Nei na zong tak pei chu ka ram anbak ten pei chu na pe ka ti, hatuka a kom khomak um ansama.”
MRK.6.24	Hatuka ama chu a suaka a nu kom han, “Imo kei zong rang ava ti na hatuka ama han Baptispu Johon alu hana,” alei tina. 
MRK.6.25	Hatuka chu annot sabaka reng kom han ava luta, “Khenga Baptispu Johon alu neina pek len kei zot,” ti na a zonga.
MRK.6.26	Hatuka reng ha a malung anhang sabaka tenchu a khomak ansam le abu nekpui ngai sika han nial thei lai mak. 
MRK.6.27	Hatuka reng han a vengpu sipai angkhat a tir lena alu ava lak rang chong a peka hatuka aman lungina han ava luta ava tan. 
MRK.6.28	A lu ha kheng le ava laka nupang sanai kom han a peka. Hatuka nupang sanai han a nu kom apek. 
MRK.6.29	Hatuka a zolai ngaiin ariat le aruak ha ava lak u na thana asiak u.
MRK.6.30	Hatuka zolai ngai ha Isua kom avan khom u ei tho u ngai le ei manchu u ngai aril pe u. 
MRK.6.31	Hatuka aman akom u na, “Nangni lim philchar muna abinga hong u tan la pong ansa bak u ro,” ati. 
MRK.6.32	Hantin han philchar muna rakuang le abinga ase u na.
MRK.6.33	Hatuka min ei se ha amuna mi tampan amani ha ariata khotin ata hava han ke le atan u na alei va khel u. 
MRK.6.34	Hantin han ama chu ti rakham ava suaka mi achan atam ava mu na a veng rang abui bera rual ang ei ni u sika lungkham amu sabaka chong atampa a manchuna. 
MRK.6.35	Hatuka nikhua abui rang ani sabak zeia a zolai ngai a kom a hong u na, “Hiva hin philchar mun ei ni nikhuam abui rang ani zei. 
MRK.6.36	Hiva ngai hi na kola luia le khuana se na ei sak u rang hongmo lua chu ei rachok thei u na ranga manse ro ba,” ati u na.
MRK.6.37	Aman chu akom u na, “Nangnin asak rua pe u ro,” tina a masanga.Hatuka amanin akom han, “Vaipol aduli raza anni man rachona va pe mani mo,” ati u na. 
MRK.6.38	Hatuka aman a kom u na, “Vaipol pek hozetmo nei don u en u ta,” ati. Hatuka ei don u ariat le, “Pek ranga, le nga anni,” ati u.
MRK.6.39	Hatuka aman alom u na sul aring chunga han abuk abuka mansut u ro atina chong a peka. 
MRK.6.40	Hatuka atanga raza khata somranga na ansut u. 
MRK.6.41	Hatuka aman vaipol ranga le nga anni ha alaka van lam a ena bor a peka vaipol ha akhiaka mi matona ei sak u ranga a zolai ngai kom apek ha nga anni ham a peka asem u. 
MRK.6.42	Alom u han asak u na akhop u. 
MRK.6.43	Hatuka vaipol le nga adi anoi kok somleianni ala bita. 
MRK.6.44	Vaipol asak ngai ha pasal ulian riam pek ngal a sang ranga ani u.
MRK.6.45	Hatuka ama nget han mipui chu aman china ava ral tiang Bethsaida tiang ama matona ase mansa u ranga a zolai ngai ha rakuanga chuang len. 
MRK.6.46	Hatuka ama chu a manchin suale borazong ranga muala han ase na. 
MRK.6.47	Ani bui le rakuang ha tindil lai taka han alaia oma ama chu athei daka muala han a om. 
MRK.6.48	Hatuka rakuang ha ei antak sabak ei vei u asik chu phaivuan ei semna tiang ei om ei ni u, zan chim, rilanlak akhel tiang siaia tidunga kal achoia amani tiang ahong pana akhel rang a val. 
MRK.6.49	Ningal sela amani han ama ha ti chunga akala ei hong amu u na han, “Raluai” imo ati u na ankhek u. 
MRK.6.50	Alom u han ama amu u na aratha amanta u hanum nisela ama han amani abiak lena a kom u na, “Phukdaia om u ro koi ke ka ni do, achi u no ro,” ati. 
MRK.6.51	Hatuka rakuanga han akom u na ava chunga phaivua ha abanga achang a mandong sabak u. 
MRK.6.52	Vaipol rui ha atho chang re u maka a malung ei anchang u sika.
MRK.6.53	Hatuka varal avan kan u le Genesaret ram tiang ava tung u na ti rakhama han rakuang athung u. 
MRK.6.54	Hatuka rakuang ata asuak sua u lehan min Ama ha alei riat len u na. 
MRK.6.55	Hava ram kol dora han atan susup u a om ti na ei riat u na tak peia ana, dam lui azamun len le ahong razon u na. 
MRK.6.56	Hatuka khua sina, khualiana, luia ei omna tak peia ana ngai bazaram a mansuta ama ha ei mathem u a puan mer lua chu anton ranga aton dora chu ei dam len.
MRK.7.1	Hatuka Pharisi ngai le Lekhanziakpu ngai bila senkhat Jerusalem khua ata ahong ngai han a koma ahong anchun u na. 
MRK.7.2	Hava ngai han a zolai senkhatin kut akhela vaipol ei sak u alei mu u na.
MRK.7.3	Pharisi ngai le Juda ngai dora han ulian ngai chong vong ha ei lei pom u sika akut u asadima arasuk u nok anten sa u ngai mak. 
MRK.7.4	Hatuka bazar ata ahong u le anbual u nok ten ite sa u ngai mak hatuka rui atatei atampa apom ruam adon u bel kheng thir ansuk ruia.
MRK.7.5	Hantin han Pharisi ngai le Lekhanziakpu ngai han, “Ichangamo na zolai ngai ulian chong vong anga omlui a kut akhela sak nek ei tho u,” ti na arakel u na.
MRK.7.6	Hatuka aman hangai kom han, “Isai han nangni phuazekam ngai, dearin nangni ruia ei lei ril hi adik keng, ‘Hiva ngai hin amur riama ana manpak u na, tenchu a malung u chu ka kom ata ala sabak u na. 
MRK.7.7	Ei zozot ni rase ei manchu u na ha miring
MRK.7.7	chongpek ei manchu u sika ei na biak u
MRK.7.7	chachak hi akorong keng,’
MRK.7.7	tia anziak anga.
MRK.7.8	“Pathian chongpek chu anmaka miring chong sin anmang, ha ei surtit u ke hile,” ati.
MRK.7.9	Hatuka ama denin a kom u na, “Nangni chong ansin ha nei surtit u theina ranga Pathian chongpek nei zot u nok hi adika nei riattit u. 
MRK.7.10	Mosin, ‘Na nu le na pa lalchi tho ro,’ hanuk ‘Min a nu mo a pa mo asiat aril tak chu thi rase,’ alei ti na. 
MRK.7.11	Nangnin chu hintin hin nei ti u chachak min a nun mo a pan mo ei mangna rang ani ten ‘Korban’ ani zei ati len.Hava tina chu ‘Pathian kom anpek’ tina. 
MRK.7.12	A nu rang a pa rang atho anphal u lai mak chena. 
MRK.7.13	Nei rung sika Pathian chong rat luia nei lei siak u hantin han atampa nei lei tho u.”
MRK.7.14	Hatuka mi ngai ha akui reta akom u na, “Na lom u na ka chong hi rangai kiar u tan tuak u ro. 
MRK.7.15	Mi apang ata asungkua luta ama annim thei tute om mak. 
MRK.7.16	Mi asung kua ata asuakin ke ei man nim.”
MRK.7.17	Hatuka mipui kom ata ina ahonga lut le a zolai ngaiin ankhina chong ha arakel u na. 
MRK.7.18	Hatuka aman akom u na, “Nangnim hatuk pei riatna nei luia nei la om u mo? Angkhatpei hi apang ata miring von sunga alut reng chu a malunga alut nimak, nom ase le avon ata ei suak 
MRK.7.19	hasika ama chu man nim thei mak ati hi re u mak che mo? Saktin hi anthiang,” ati.
MRK.7.20	Hatuka ama denin, “Miring ata asuak han mi mannim chachak. 
MRK.7.21	Asung ata han miring malunga han mandonna ngai ha asia ahonga suak mithat uiare na. 
MRK.7.22	Ningolna, asia thona, anhuangna, hurna, khamaret, siat anrilna, borai thona, amona hiva ngai hi. 
MRK.7.23	Hiva asia dora hi asung ata ahonga suaka miring ei mannim chachak,” ati.
MRK.7.24	Hatuka anthuia havan ata Tura le Sidon biala ase zeia. Hatuka in aluta tuten ei riat rang zot maka tenchu anthup thei mak. 
MRK.7.25	Hantin han nupang khat a nainupang sanai kachai ratha annim a vong han athang alei riata a ke kunga avan bok lena. 
MRK.7.26	Nupang ha Grik mi ei anpiangna chu Surophoiniki mi ei ni aman ama ha a nainupang a sungkua ata kachai ei notna ranga a mathema alop. 
MRK.7.27	Hatuka aman a kom han, “Nai ngai khop bak rase nai ranga vaipol anpota ui koma apei anhui mak,” ati.
MRK.7.28	Aman a koma han, “Puma ani chu ei ni ten ni ngal sela dokang thuaia ui ngaiin um anai ngai avaipol sak u na aher achul asak do,” atina a masanga.
MRK.7.29	Hatuka aman a koma, “Na chong ril sika se ta ro kachai na nainupang a sungkua ata asuak zei,” ati pe. 
MRK.7.30	Hatuka a ina han ase na a nai chu kachaiin amaka zamuna ei zal ava mu zei.
MRK.7.31	Hatuka Tura ram ata asuak reta Sidon khua apala Dekapoli ram arakana Galili tindila ava tung. 
MRK.7.32	Hatuka mi angkhat kuaraset a chong um ape akom ahong ruai u na a chunga a kut adap ranga a mathem u na. 
MRK.7.33	Hatuka aman mipui bila ama rong ha abinga aruaia akut maria le a kuarkua akhika hatuka amachila a malei amet pe. 
MRK.7.34	Hatuka anvan tiang atanga phukpui alaka akom han, “Epphatha” atia hava ha, “Anlong ro” tina ani.
MRK.7.35	Hantin han akuar ha avar amalei anlom um anzar zeia anthiang vanga achong thei zei. 
MRK.7.36	Hatuka aman akom u han, tute kom ril u ta ni tina akhar tit hanum ni rase ei khar zotor pei tang ahai riam u chachak. 
MRK.7.37	“Ama han asadima alompeia ei tho kiar aset ngai a manvar pena chong thei lui ngai um aman chong,” ati u na achang a mandong sabak u.
MRK.8.1	Hava hun ngai han mi tam sabak a om ret u na a sak rang ite ei nei u nok lai han ama han a zolai ngai akom a paia. 
MRK.8.2	“Mipui ngai hi nin thum pei ka kom a om u zei a sak rua ite ei nei u nok. 
MRK.8.3	Bu nek luia a in u na ka makhir u ten lampui a anvuai tham unti senkhat vang chu ei hong u na ala la sa,” ati.
MRK.8.4	Hatuka a zolai ngaiin, “Hi philchara tumo hovana vaipol le mo nei man khop thei rang?” atina ama ha a masang u na.
MRK.8.5	Hatuka aman, “Vaipol tap hotukmo na nei u?” tina hangai ha a rakela hatuka hangai han, “Tap sari,” ati u na.
MRK.8.6	Hatuka mipui ngai ha phila ansut ranga chong a peka hanke vaipol tap sari ha alaka raisan chong ril suana a khiaka a maton u na ei sak u na ranga a zolai ngai kom a pek hatuka mipui matona asiak u na. 
MRK.8.7	Hanuk chu nga sin atom tem a nei u, hatuka aman bor a pek pe na a maton u na ei sak u na rang a pek. 
MRK.8.8	Hantin han asak u na a khop kiar u na ei sak sua u nok anniang akiak a kui kok sari a man bit u. 
MRK.8.9	Hangai ha asang manli pei ani u hatuka aman hangai ha aman chin. 
MRK.8.10	Hatuka aman a zolai ngai kom rakuanga ava chuang lena Dalmanutha rama ava tung.
MRK.8.11	Hatuka Pharisi ngai a honga suak u na ama ei man sin u na ranga a koma anvan ata riattheina andangna anroka ama ha ankhal pui u. 
MRK.8.12	Hatuka aman phukpui a laka, “Ichangmo atun taka mi ngaiin andangna ei a rok u atataka kei na ril u ni zei atun taka khuk ngai kom hin andangna reng anpe no ni,” ati. 
MRK.8.13	Hatuka hangai ha amaka rakuanga a chuang reta varal tiang ase.
MRK.8.14	A zolai ngaiin vaipol a choi a mangil u na rakuanga angkhat dak baka chu vaipol nei u lai mak. 
MRK.8.15	Hatuka aman a kom u na, “Pharisi ngai chol le Herod a chol ata anrung u ro,” ati tit a. 
MRK.8.16	Hatuka amanin chu, “Vaipol um nei nei nok,” atia ankhal u na.
MRK.8.17	Hatuka Isuan hava ha a lei riata hangai ha ei ril akom u na, “Ichangamo vaipol nei don u nok sika nei an don u? Atun um na malung u na nei la riat u nok mo? A tho chang ngal nei la riat u nok mo? Na malung u ei lan khir tit mo? 
MRK.8.18	Mit na nei u na mu u mak che mo? Kuar na nei u na re u mak che mo? Na malung u na ngal chui u mak mo? 
MRK.8.19	Mi asang ranga bila vaipol tap ranga ka sem lai han adi anoi ha kok itukmo anniang,” atia. Hatuka amanin akoma, “Somleianni,” ati u na.
MRK.8.20	“Hatuka asang manli bila sari ka khiak lai han adi anoi kok itukmo anniang nei riat u?” ati. Hatuka amanin a kom han, “Kok sari,” ati u na.
MRK.8.21	Hatuka aman a kom u na, “Atun um nei la riat bang u nok mo?” ati.
MRK.8.22	Hatuka Bethsaida khuana ava suak u na a kom mitacho angkhat a hong ruai u na aman ei ton ranga a mathem u na. 
MRK.8.23	Hatuka mitacho kut ha a sura kho tualpanga a ruai a a mit a machil pena a chunga a kut a dap suana, “Na mu mo thei zei,” atia rakela.
MRK.8.24	Hanke achopa ha chung tiang atanga, “Mi ka mu thingkung anga kal achoi.” atia.
MRK.8.25	Hanke aman a mit chunga a kut adap ret hanke andinphita ei la mu, hatuka ei la dam anthiang vanga aloma ei mu. 
MRK.8.26	Hatuka aman ama ha a ina aman se na ei ti pe, “Hiva khuana lut ret no ro.” ati pe.
MRK.8.27	Hava suale Isua le a zolai ngai anphet u na Kaisari Philipi biala khotina ase u, hatuka lampuia a zolai ngai a rakela, “Koi hi tumo ka ni min imo a na ti?” atia. 
MRK.8.28	Amanin ama rang ati u, “Johon Baptispu a na ti a oma, hohonmo chu nang hi Eliza, hohonmo chu deari bila angkhat,” ati u. 
MRK.8.29	Aman hangai ha a rakela, “Nangnin le imo na na ti u? Koi hi tumo ka ni?” Pitorin a masanga, “Nang hi Krista na ni.” ati. 
MRK.8.30	Hanke aman a rui ha, “Tute manthei u ta ni,” atia khar tita.
MRK.8.31	Hanke, “Miring Sapa han antak tin tuar inti ulian ngai, chaizung ngai, Lekhanziakpu ngaiin ama pengsom unti that unti. Hatuka nin thum suale anthuiret inti,” atia a manchu na. 
MRK.8.32	Hiva chong hi anthiang vanga arila hava han Pitorin ama rang a kom a tuanga chunngo tho na. 
MRK.8.33	Tenchu anhoi a ama a zolai ngai tiang a ena Pitor ha chunngo a thona ei ti pe, “Ka kom ata ankhai ro, Soitan asik chu Pathian ata hava ha ni mak tenchu miring ata ke nei mandon.” atia a ngo.
MRK.8.34	Hatuka ama a zolai ngai bila mi doram a paia ei ti, “Ka nuk azi zot tak chu ei antak rang poisak lui a athei a a Kros raputa na zi rase. 
MRK.8.35	Min ei damna annar tak chu machan inti ten koi le thangahui sika ei damna anchan tak chu zok inti. 
MRK.8.36	Hanle min ramual pumpui amana ei damna a machanin imo ei lokna rang? 
MRK.8.37	Hanle min anuk rathula imo ei pek thei. 
MRK.8.38	Asik chu atun taka uiare ngai mi salui ngai koi le ka chong anzakpui chu Miring Sapan ama ha anzakpui inti, vanpalai anthiang ngai bila a Pa lianna le ahong tik.”
MRK.9.1	Hatuka aman amani ha ei rila, “Kei na ti ani u zei, hiva anding ngai bila senkhat chu a om thina reng tem u no ni Pathian Ram apui sabaka a hong amu u nok maseng.” atia.
MRK.9.2	Ni ruk suale Isuan Pitor, Jakob le Johon rong abila maruka mual ansang khata a ruaia ase. Hatuka ama ha amani makunga a mel atei a. 
MRK.9.3	Hatuka a puan a ngui achalaka anthianga phil chunga tuten hador manthiang thei no ni. 
MRK.9.4	Hanke Eliza le Mosin hiva ngaiin anmupui a amani ha Isua le a chong u. 
