MAT.1.1	Yeisu Keliso ana laoma bwaite besiele, Yeisu Keliso iya Deibida tubuna, Deibida iya Abelamo tubuna. 
LUK.9.25	Tem tomo yabo yanuwa yaulina meuloina ikalai iloinayan na ibomayoi yaluyaluwana igabaen yo maisana naenaena ilobai, tawae kana namwanamwa? Nigele, awa? 
LUK.9.26	Tem tomo yabo imwalimwaline-yagau yo yagu walo imwalimwalineyan ee yau Tomo Natuna kani yamwalimwaline-yani saugana tem yapileyoima me yagu wasawasa yo mekaukava Tamagu ana wasawasa yo mekaukava aneloseyao yakayakasisili ali wasawasa. 
LUK.9.27	Yawalo yawasosi kolimiu, tomo tupwaliyao siyaele bwaite koina Yaubada ana kaba loina sigitai kabo muli mena kani siboita.”
LUK.9.28	Yeisu walone bwaite iwalowen nuwana kaliyate eit (8) imwawasi kabo tobenaliyao yoli yaiyona ikalaili Pita, Yoni yo Yemesa mekanakavao silau sikawasae koya mena sabi kawanoi. 
LUK.9.29	Iya iyaele ikawakawanoi na manna kana koleya ibui yo kana kaleko mayamayalesosina yo ipigapigabu. 
LUK.9.30	Kabo tautaubalao labui Mosese yo Ilaitiya, 
LUK.9.31	sitolo-mayale Yeisu salina mena mayaleli ipigapigabu yo mekalikava Yeisu siedeedede ana boita kaiwena, naga kani iboita Yelusalema koina besiele Yaubada ana nuwatu. 
LUK.9.32	Pita mekanakavao manli ikenokeno mwa sikenomate na saugana sikeno-tolo kabo Yeisu ana wasawasa sigitai yo tabe tautaubalao labui sigitaili mekalikava sitotolo. 
LUK.9.33	Tautaubalao labuine ali sauga logabaenna Yeisu, kabo Pita iwalo koina iba, “Taubala, inamwanamwa tem kita tamiyamiya bwaite koina. Kabo gwau yaiyona takabili, yabo kowa kaiwem, yabo Mosese kaiwena yo yabo Ilaitiya kaiwena.” Iwalo besiele na nige ikakatai tawae kaiwena iwalowalone. 
LUK.9.34	Saugana Pita iyaelemo iedeedede yaloyaloi ilaoma meuloili iyakaboboili kabo Pita yo kanakavao labui simatausi, kaiwena siya siyaele silusaeko yaloyaloi kalona mena. 
LUK.9.35	Kabo kaina yabo ilaoma yaloyaloine koina iba, “Bwaite natugu iya yagitesipwai, kwabenali koina.” 
LUK.9.36	Saugana kainane imwawasi mwa Yeisu ibomamo sigitai. Sauganane koina tobenaliyao simwanou yo nige tomo yabo ana wasa siwowolena ginauli bwaite sigigitaine kaiwena.
LUK.9.37	Yanuwa ilayan Yeisu me ana tobenaliyao yoli yaiyona silobima koya mena, kabo boda lalakina silaoma Yeisu mekalikava sielobelobe. 
LUK.9.38	Tomo yabo bodane luwali mena iyoga-laoma iba, “Toyakayakatai, yakawanoi koliwo, natugu tauna ukwate-kamkamna-yani kaiwena iya natugune kaigedamo. 
LUK.9.39	Sauga ibaibaiwa yaluyaluwa biki koina imiyamiya yo iwui yo ikikiwasi yo polu gamwana mena iyawayawatagili. Na yaluyaluwa bikine nige natugu ilologabaen kanasiga yona meuloina isibayanayanae. 
LUK.9.40	Mwa yakawanoiko am tobenaliyao kolili yakato yaluyaluwane sitao-yawatagilan na nige sowasowali.” 
LUK.9.41	Kabo Yeisu iwalo tobenaliyao kolili iba, “Yogu ikwatakwata-yagimiu. Kaiwena komiu te yau tamiyamiya sauga imamalawesosi yo yakalakisiye-yagimiu na nuwana nige ami meli ipapagan na yaluyaluwa bikine kwatao-yawatagilan.” Kabo Yeisu itagelakeile yo iwalo tomone koina iba, “Natum ukwalaiyama koliyau.” 
LUK.9.42	Na saugana gamene ilalaoma kabo yaluyaluwa bikine igabae-yatalu bwatano mena yo ikikiwasi. Yeisu iwalo yaluyaluwa bikine koina iyawatagili, kabo gamene ilogabaen yo inamwanamwa. Mwa Yeisu gamene iwolena-yapileyoi tamana koina. 
LUK.9.43	Yo tomo meuloili kateli sipitali Yaubada ana kaiwe lalakina kaiwena. Tomo siya siyaele sinuwanuwatu ginauli meuloili bwaite Yeisu ipaipaisowaili kaiweli, mwa iwalo ana tobenaliyao kolili iba, 
LUK.9.44	“Yagu walo bwaite kwabenalan-namwanamwai. Tomo Natuna sauga kubwakubwana koina kani sitalamwan tomo nimali mena.” 
LUK.9.45	Na tobenaliyao nige nuwali imamayale Yeisu ana walone kaiwena. Matausi kaiwena nige sowasowali sineli koina ana walo kana dudulai kaiwena.
LUK.9.46	Tobenaliyao ali boda kalona mena siegamwagamwa-pakiki-yagili tem yaiya kaloli mena esana ilalaki. 
LUK.9.47	Yeisu ali nuwatu ikataiyako kabo melumelu kikiuna yabo iyoganama yo iyatolo salina mena. 
LUK.9.48	Kabo iwalo kolili iba, “Yaiya tem esagu mena melumelu kikiuna yabo isagui bwaimwana iya isaguiyau, na yaiya tem isaguiyau ee iya kagu toyawasa tabe isagui. Yaiya tem luwamiu mena esana kwapeiyatalu ee iya esana ilalakisosi.” 
LUK.9.49	Kabo Yoni iwalo Yeisu koina iba, “Taubala, tomo yabo kagitai esam mena yaluyaluwa biki itao-yawatagilagili kabo kawalo-kausi tabu ipapaisowai yoi, kaiwena iya nige ala boda yabo.” 
LUK.9.50	Yeisu iwaloba, “Tabu kwawawalo-kausi kaiwena yaiya tem nige ikakalomagigi-lagimiu bwaimwa iya kamikava.”
LUK.9.51	Yeisu ana boita kana sauga ikelakubwamako mwa kani yanuwa yaulina ilogabaen na ipileyoi bulibuli mena kabo ana nuwatu iyakaiwe yakato ilau Yelusalema. 
LUK.9.52	Tomo tupwaliyao iyawasa-bagunayagili silau dedei Sameliya yanuwana yabo koina na kaba miya sikatububunan Yeisu mekanakavao kaiweli. 
LUK.9.53	Na yanuwane tomonliyao nige Yeisu koina siyayaliyaya tem ilusae ali yanuwa mena, kaiwena sikatai yakato ilalau Yelusalema kaiwena na siya Sameliya Nume Tabu Yelusalema koina sisikotanan. 
LUK.9.54	Saugana tobenali Yemesa yo Yoni wasane bwaite sibenalan simunamunai mwa sineli Yeisu koina siwaloba, “Taubala, nuwanuwam kalau kawalo mayau ilobima bulibuli mena yo igabuli siwedoli?” 
LUK.9.55	Mwa itagelakeile manna ilau kolili kabo iyokoiyagili, 
LUK.9.56	mwa Yeisu me ana tobenaliyao silau yanuwa uloina koina.
LUK.9.57	Yeisu me ana tobenaliyao silalau kamwasa mena, kabo tomo yabo iwalolau koina iba, “Toisabo yanuwa koina kulalau, kani yamuliya koliwo.” 
LUK.9.58	Yeisu tomone kainana iyamaisa iwaloba, “Bwauwa ule mekali gula simiyamiya yo man sievaeva me kali noi simiyamiya, na yau Tomo Natuna nige yau kaba miya ipapagan na koina yakeno.” 
LUK.9.59	Tabe iwalo tomo yaboyoi koina iba, “Kumuliya koliyau.” Na tomone Yeisu kainana iyamaisa iwaloba, “Guyau, kutalamwagau na kusanasanaiyau tamagu iboita yalau yapei, kabo yamuliya koliwo.” 
LUK.9.60	Kabo Yeisu iwalo koina iba, “Toboita ali toboita sipei, na kowa kulaoma kulau Yaubada ana kaba loina wasana kuluwewasayani.” 
LUK.9.61	Yo tomo yaboyoi iwaloyoi Yeisu koina iba, “Taubala, nuwanuwagu yamuliya koliwo na baguna kutalamwagau na yalau yakawa-kaiyoni totouguwao kolili.” 
LUK.9.62	Na Yeisu iwalo koina iwaloba, “Tem yaiya tomo nuwanuwana ipaisowa na sauga meuloina igitegite-pileyoi iya nige sowasowana Yaubada ana kaba loina kaiwena ipaisowa.”
LUK.10.1	Kabo muli mena Yeisu boda uloili igitesipwaili tomuliyayao kaloli mena yo iyawasali kali baibaiwa sebenti tu sibaguna silau yanuwa yo kalo meuloili iya kani ilau kolili. Ali lau koina yoli labui labui iyawasali. 
LUK.10.2	Kali loina iwolegili iwaloba, “Tano ilalaki kanna simatuwa, na topaisowa nige sibabaibaiwa. Na sowasowana wakawanoi Guyau koina, iya tano tanuwagana, na tem topaisowao tupwaliyaoyoi iyawasali silaowa sisaguimiu ana tano kanna wakeli. 
LUK.10.3	Na kani yayawasamiu kwalalau besiele sipi silalau bwauwa sokasokali luwali mena. 
LUK.10.4	Tabu ami mane wakakalaili o tem ami gogo kana tobwa, o tem kaemiu kana suma kwalolokalaili. Tabu kwalolo-totolo kamwasa mena na tomo mekamikavao kwaedeedede. 
LUK.10.5	Saugana tem kwamwalisae nume yabo koina baguna kwawalo kolili kwaba, ‘Nuwadaumwali Yaubada iyeyawa numene kana tomiya kolimiu.’ 
LUK.10.6	Tem tomo me ali nuwadaumwali simiyamiya, ami walo-mulolo nuwadaumwali kani imiyamiya kolili. Tem nigele, ami walo-mulolone kani ipileyoiwa kolimiu. 
LUK.10.7	Kwamiyamiya numene koina, kabo kan yo waila siya siyeliwa wakekan yo kwanuma kaiwena ilonamwayan bwaite topaisowa maisana. Tabu kwatatakikili nume yo nume kolili. 
LUK.10.8	Tem kwalusae yanuwa yabo koina na tomo siyoganmiu yo siyaliyaya kaiwemiu kanne sikakatububunanne kaiwemiu wakekan. 
LUK.10.9	Tokasiebwaone yanuwane koina wakabi-namwanamwaili yo ali wasa kwaolegili kwawaloba, ‘Yaubada ana kaba loina ilaomako salimiu mena.’ 
LUK.10.10	Na tem kwalusae yanuwa yabo koina na tomo nige siyayaliyaya kaiwemiu, kwalau ali kamwasa mena kwawaloba, 
LUK.10.11	‘Ami yanuwa kauna yo dekadekawana kaekaemai mena ipatu kakotatai-yani kolimiu na wakatai kani maisana naenaena kwalobai. Tabe kwanuwatu-kalatan yakato Yaubada ana kaba loina ilaomako salimiu mena.’ 
LUK.10.12	Na yawalo kolimiu, yanuwane siya sisikotanagimiu yatala kana sauga koina kali maisa kani ilalakisosi sikalai kabo Sodoma.
LUK.10.13	Oo tomo Yudiya kwamiyamiya yanuwa Kolasin yo Betesaida katekamkamnamiu, bwaliga kani kwasilae. Tauna kona ginauli kaba nuwapwanopwano yapaisowailiko luwamiu mena, na nige kwanunuwabui. Ginauli kaba nuwapwanopwanone nige yapapaisowaili Taiya yo Saidoni manli mena. Na tem yapaisowaili Taiya yo Saidoni manli mena kani mwayamwayau kwauya kwamana sikwamai yo kau koina simiyasio yo sinuwabui. 
LUK.10.14	Na siya Taiya yo Saidoni, Yaubada kani isikotanagili kaiwena siya toyauyaule yawasosi. Na yawalo kolimiu, yatala kana kaliyate koina, komiu Kolasin yo Betesaida, maisamiu ipolowesosi kabo muli mena Taiya yo Saidoni kali maisa. 
LUK.10.15	Gubesi komiu Kapeneomi? Nuwana ami nuwatu yakato Yaubada esamiu ikeleisinan bulibuli mena? Nigele. Kani ipeiyatalumiu kwalobi molosi toboitao ali yanuwa gunna mena.” 
LUK.10.16	Kabo Yeisu iwaloyoi yoli sebenti tune kolili iba, “Yaiya tem ami walo ibenalan yagu walo ibenalan. Yaiya tem isikotanagimiu, isikotanagau. Na yaiya isikotanagau bwaite iya kagu toyawasa isikotanan.” Yeisu ana walo bwaite sibenalan kabo meuloili silau yo sipaisowai besiele tawae Yeisu iwalowen kolili.
LUK.10.17	Yoli sebenti tune sipileyoima me ali yaliyaya yo siwaloba, “Guyau, tomo meuloili ama walo sibenalan. Yo tabe besiele yaluyaluwa biki saugana esam mena kawalo kolili ama walo sibenalan simwasali siyawatagili.” 
LUK.10.18	Yeisu iyaliyaya ali paisowa kaiwena kabo kainali iyamaisa iba, “Yamanman-kulakula na Seitani yagitai ana kaiwe ibelu yo bulibuli mena ibekuma besiele pigabu. 
LUK.10.19	Ami kaiwe yaeyawa na sowasowana weso yo gasakilikili pwatali mena kwalau kwautu-yamateli yo kami tokalomagigili Seitani ana kaiwe wakaiwe-gabaen, nige sowasowana kwasilae. 
LUK.10.20	Na tabu yakato yaluyaluwa biki ami walone sibebenalanne kaiwena kwayaliyaya. Na iyamo kwayaliyaya kaiwena esamiu Yaubada ilele-lobiyenako ana buki koina bulibuli mena.” 
LUK.10.21	Sauganane koina Yaluyaluwa Tabuna yaliyaya koina Yeisu iloyakalapowon kabo iwaloba, “Tamagu, bulibuli yo yanuwa yaulina ali Guyau, yatobalanagiwo kaiwena am kaba loina kana katai kuwadam tosonoga yo tokatai kolili yo kuyamayaleyako siya besiele gagagili kolili. Tamagu, yakawa-toki koliwo kaiwena am nuwatu kupaisowai besiele.”
LUK.10.22	“Katai meuloina Tamagu iyeyamako na yayamayale tomo kolili. Nige yabo ikakataiyau iyamo Tamagu yo nige yabo Tamagu ikakatai yaumo Natuna yo siya yagitesipwaili Tamagu yayamayale kolili.”
LUK.10.23	Yeisu itagelakeile manna ilau ana tobenaliyao yoli tuwelo sibomamo kolili iwalolau iba, “Walo yawasosi Yaubada iwalo-muloloimiu kaiwena tawae komiu wagitai tomo tupwaliyao nige sigigitai. 
LUK.10.24	Na yawalo kolimiu, palopitao yo kin bagubagunali sibaibaiwa nuwanuwali lalakina tawae komiu wagitai siya tabe sigitai, na nige sigigitai, yo nuwanuwali lalakina tawae komiu kwabenalan siya tabe sibenalan, na nige sibebenalan.”
LUK.10.25	Sauga yabo koina loina kana toyakayakatai yabo itolo na Yeisu itonan ineliyan iwaloba, “Toyakayakatai, tawae yapaisowai na yawasi miyamiya yaina yalobai?” 
LUK.10.26	Yeisu kainana iyamaisa iba, “Buki Tabu ana walo gubesi am yasiyasilina? Kana dudulai gubesi am kalakalaina?” 
LUK.10.27	Mwa tomone iwaloba, “Yeoba am Yaubada kumulolo koina katem meuloina koina, yaluyaluwam meuloina koina, am kaiwe meuloina koina yo am nuwatu meuloina koina. Yo kamkava kumulolo koina besiele kuboma kumulolo koliwo.” 
LUK.10.28	Yeisu iwalolau koina iwaloba, “Am walo idudulai. Kupaisowai besiele na yawasi miyamiya yaina ukwalai.” 
LUK.10.29	Na loina kana toyakayakataine nuwanuwana iboma ipeiseyan yakato iya todudulai. Kabo iwalo Yeisu koina iwaloba, “Yaiya kaukava na yamulolo koina?” 
LUK.10.30	Ana walo Yeisu iyamaisa iwaloba, “Tomo yabo ilaomaya Yelusalema ilalau yanuwa Yeliko kaiwena kabo tokewali sikeno-wadam kamwasa mena, sikabikalatan kana kwama silolo yo ana gogo meuloina sikewalili na siunu-gwalagwalai kikiunamo iboita kabo silogabaen. 
LUK.10.31	Na sauganane koina topwaoli yabo ilalau kamwasane kaigedana koina. Saugana tomone igitai ikenokeno kabo ilogege ilau papali yabo mena. 
LUK.10.32	Besiele tabe tapwalolo kana topaisowa yabo susu Libai tomona, iyawatagilima dedeinane koina yo tomone igitai kabo ilogegeyoi ilau kamwasa papali yabo mena. 
LUK.10.33	Na Sameliya tomona yabo imwalisae ana donki pwatana mena ilaulau yo iyawatagili dedeinane koina tomone igitai ikenokeno, kabo katena ikamkamna-yani. 
LUK.10.34	Kabo ikaisulu ilau olibe kanna mekanakava oine ikalaili kana gai kolili ipeili yo kaleko mena ipanli. Ipeiseyan ana donki pwatana mena yo ilawan yanuwa mena, kabo ilawan nume taumana yabo koina yo igitekalatan. 
LUK.10.35	Yanuwa ilayanyoi, kabo siliba labui iwolena nume taumana tanuwagana koina yo iwalolau koina iwaloba, ‘Tomone bwaite ugitekalatan na saugana tem yapileyoima tawae kusagui koina kani yayamaisa-yapileyoi koliwo.’” 
LUK.10.36	Kabo Yeisu ana edeedede iyemwawasi yo inelilau loina kana toyakayakatai koina iwaloba, “Gubesi am nuwatu? Tomone yoli yaiyonane luwali mena yaiya tosilaene kanakava?” 
LUK.10.37	Loina kana toyakayakataine neline iyamaisa iwaloba, “Iya ikatekamkamna-yani mwa isagui.” Kabo Yeisu iwalolau koina iwaloba, “Tabe kowa kulau kupaisowai besiele.”
LUK.10.38	Yeisu me ana tobenaliyao ali laune koina siyawatagili yanuwa yabo koina. Na yanuwane koina sine yabo esana Mata imiyamiya. Yo iya Yeisu iyoga-luseyan ana nume mena. 
LUK.10.39	Na Mata kanakava imiyamiya esana Meli iya ilau imiyasio Yeisu salina mena na ana edeedede ibenabenalan. 
LUK.10.40	Na Mata inuwanuwatu lalakina kan kana paisowa yo paisowa tupwaliyao kaiweli kabo ilau Yeisu koina yo iwaloba, “Guyau, gubesi am nuwatu paisowa meuloina yabomamo yaginaginauli na kaukava Meli ilogabaegau iyaele mekamkava am edeedede ibenabenalan na nige isasaguiyau? Kuwalo na ilaoma isaguiyau.” 
LUK.10.41	Guyau Mata kainana iyamaisa iba, “Mata, Mata, kunuwanuwatusosi ginauli meuloili kaiweli, 
LUK.10.42	na ginauli kaigedamo kana nuwatu ilalaki. Bwaite Meli igitesipwai inamwanamwasosi, kabo tabu yaiya yabo ikakausi.”
LUK.11.1	Sauga yabo Yeisu iyaele ikawakawanoi yanuwa yabo koina. Saugana ana kawanoi iyemwawasi, kabo ana tobenali yabo iwalo koina iba, “Guyau, kuyakataimai na tem kakawanoi besiele Yoni ana tobenaliyao iyakataili.” 
LUK.11.2	Kabo Yeisu iwalo kolili iwaloba, “Saugana wakawanoi kwawalo bwaite besiele. Tamamai, esam siyakasisiyan, mumugam ilobima. 
LUK.11.3	Kaliyate kaigeda kaigeda kamai kuyelima kolimai. 
LUK.11.4	Ama naenaena kunuwatu-pwaikili, kaiwena kamakavao meuloili ali naenaena kolimai kanuwanuwatu-pwaikili. Tabu kulalawagimai woya koina.”
LUK.11.5	Kabo Yeisu iwaloyoi kolili iwaloba, “Kaba gite yabo bwaite. Tem yabo kolimiu boniyai luwaluwalina ilau ana eliyam ana nume mena yo iba, ‘Kaukava, beledi yaiyona kuyelima, 
LUK.11.6	kaiwena kagu taumana yabo ilaoma kamwasa mamalawena koina iyaele yagu nume mena, na nige kan yabo imiyamiya koliyau na yaolena koina.’ 
LUK.11.7	Tem ana eliyam kainana iyamaisa iwaloba, ‘Tabu kuyayanoiyau, gamwa yakausiyako yo menatuguwao kakenokeno nige sowasowana yatolo yo ginauli yabo yaeyawa.’ 
LUK.11.8	Na iyamo tomone ana kipisi-samasamalulu kaiwena kani ana eliyamne itolo na tawae nuwanuwana iwolena. 
LUK.11.9	Na yawalo kolimiu, wakawanoi kabo Yaubada iyeyawa, yo kwaloya kabo kwalobai, yo wakipisi kabo gamwa isoke kolimiu. 
LUK.11.10	Kaiwena tem yaiya ikawanoi kani ikalai, yaiya iloyai kani ilobai yo yaiya ikipisi kani gamwa isoke koina. 
LUK.11.11+LUK.11.12+LUK.11.13	Kabo takatai tem takawanoi Yaubada koina yakato Yaluyaluwa Tabuna iyeyama kolila kani iginauli besiele, kaiwena iya katena sokesokena yawasosi. Iya ana mulolo kita natunao kolila ilalakisosi kabo tama yanuwa yaulina ali mulolo natuliyao kolili. Komiu tamaliyao, tem natumiyao sikawanoi iye kaiwena, gubesi, kani weso kwaolena? Nigele. O tem sikawanoi pou kaiwena, kani gasakilikili kwaolena? Nigele. Bwaine besiele, tem takawanoi Tamala koina Yaluyaluwa Tabuna kaiwena kani iyeyama kolila.”
LUK.11.14	Yaluyaluwa biki yabo imiyamiya tomo yabo koina yo nige sowasowana iedeedede. Yeisu ilau tomone koina yo yaluyaluwa bikine itao-yawatagilan. Kabo tomone iyatubu iedeedede kabo sauganane koina boda kateli sipitali. 
LUK.11.15	Na Palisi tupwaliyao siwaloba, “Yeisu iya imiyamiya Seitani ana boda kalona mena mwa kaiwena sowasowana yaluyaluwa biki itao-yawatagilagili.” 
LUK.11.16	Boda tupwaliyaoyoi nuwanuwali Yeisu sitonan kabo siwalo koina siwaloba, “Kilakilala yabo uginauli na kakatai walo yawasosi am kaiwe ilaoma Yaubada koina.”
LUK.11.17	Yeisu bodane ali nuwatu ikataiyako kabo iwalolau kolili iwaloba, “Tem boda kaigeda na siyakasa boda labui sipaisowai kolili na sibomayoi siekalekaleya-yagili kabo bodane kani mwayamwayau itatagwaligwali imwawasi. Tabe besiele tem susu yabo iyakasa kani mwayamwayau itatagwaligwali imwawasi. 
LUK.11.18	Ee besiele tabe Seitani ana boda. Tem sibomayoi siekalekaleya-yagili kolili kabo bodane kani mwayamwayau itatagwaligwali imwawasi. Na iyamo nigele, Seitani ana boda ikaiwe, kaiwena siyesagusagu-wagili, na nige siekalekaleya-yagili. Na komiu kwawawalo yakato yau Seitani ana boda yabo mwa kaiwena yaluyaluwa biki yatao-yawatagilagili. Bwaine mwakota kaiwena tem yau yamiyamiya Seitani ana boda kalona mena kani nige yaluyaluwa biki yabo yatatao-yawatagilan. 
LUK.11.19	Komiu Palisiyao ami tobenaliyao yaluyaluwa biki sitao-yawatagilagili. Na yau tem Seitani ana kaiwe koina yaluyaluwa biki yatao-yawatagilagili kabo yaiya ana kaiwe koina komiu ami tobenaliyao yaluyaluwa biki sitao-yawatagilagili? Kaiwena ama paisowa kaigedana. Na ami tobenaliyao ami yakewa mwakomwakotana kani siwalo-masalan kolimiu kaiwena siya sikataiyako yakato Yaubadamo ana kaiwe koina sowasowana yaluyaluwa biki tatao-yawatagilagili. 
LUK.11.20	Na tem Yaubada ana kaiwe koina yaluyaluwa biki yatao-yawatagilagili walo yawasosi Yaubada ana kaba loina ilaomako kolimiu. 
LUK.11.21+LUK.11.22	Tem tokaiwe yabo ana nume igitekalatan yo ana kaleya kelepana yo ana ebeu inonowaili, me ana nuwadaumwali kaiwena ana meli ipei ana kaleya kelepana yo ana ebeu kolili. Na saugana tem yabo iya ana kaiwe ilalakisosi ilaoma mekanakava sikaleya yo iunui kani ana kaleya kelepana yo ana ebeu ikele-gabaegili koina. Imwawasi kani ana gogo wasawasa iyauyan. Bwaine besiele yaginauli saugana tomone nige kainana yawoisi, yakaleya Seitani koina, yaunui, ana kaleya kelepana yo ana ebeu yakele-gabaegili yo tomone yawasina yaolena-yavivila. 
LUK.11.23	Yaiya nige imiyamiya koliyau iya kagu tokalomagigili. Yo tem yaiya yabo nige mekaukava kapapaisowa-gogo iya yagu paisowane kana tosibayanae.”
LUK.11.24	Yeisu iwaloyoi iba, “Saugana yaluyaluwa biki iyawatagilima tomo yabo koina, yaluyaluwane dedei leleyana ule bwagabwaga mena itakitakikili ana kaba kaiyawasi iloyaloyai, na nige yabo ilolobai. Mwa iba, ‘Naga kani yapileyoi tomone yalologabaenne koina.’ 
LUK.11.25	Saugana ipileyoi igitai tomone katena besiele nume yabo sikuyayako yo sikatububu-nonowaiyako. 
LUK.11.26	Kabo ilau yo ana tali yaluyaluwa biki kolili kali baibaiwa seben tabe ikalaili siya mumugali naenaesosili, kabo mekanakavao silusae yo simiyamiya tomone katena koina. Tomone ana miyamiya bagubagunana inae na bwaite muli mena inaesosi.” 
LUK.11.27	Saugana Yeisu iyaele iedeedede kabo sine yabo iyoga-laoma bodane luwali mena iba, “Sinene ikabiwo yo susuna koina kususu tatobalani.” 
LUK.11.28	Yeisu kainana iyamaisa iwaloba, “Siya analiyao Yaubada ana walo sibenalan yo siobigai sinamwanamwasosi kabo muli mena sinene iya ikabiyau kana tobali.”
LUK.11.29	Tomo bodali ilalaki ilaulau kabo Yeisu iwalolau kolili iwaloba, “Yaso bwaite komiu toyauyaule, nuwanuwamiu kaba gite yabo yaginauli kaiwemiu na kani nige kaba gite yabo yaeyawa, bwaimwanamo iyawatagiliko palopita Yona koina. 
LUK.11.30	Yona iyamala kaba gite tomo Ninibe kaiweli, na besiele tabe yau Tomo Natuna yaemala kaba gite yaso bwaite saugane kaiwemiu. 
LUK.11.31	Kaliyate yatala koina Seba ali toloina lalakina sine yabo (kuin) kani itolo yo ikawa-naenae-yagimiu kaiwena sauga beyabeyana koina ilaoma dedei kelamamalawe koina yavana ana dedei mena nuwanuwana Kin Solomoni ana yakayakatai sonosonogana ibenalan. Na yawalo kolimiu, yabo iyaele bwaite, iya Kin Solomoni esana ilalaki-gabaen. Na ana yakayakatai nige kwabebenalan yo nige kwanunuwabui. 
LUK.11.32	Tabe kaliyate yatala koina tomo Ninibe kani sitolo sikawa-naenae-yagimiu, kaiwena sauga beyabeyana koina Yona ana guguye sibenalan kabo mumugali naenaena koina sinuwabui. Na yawalo kolimiu, yabo iyaele bwaite, iya Yona esana ilalaki-gabaen. Na ana guguye nige kwabebenalan yo nige kwanunuwabui.”
LUK.11.33	Nige sowasowana tomo yabo mayale igabu kabo iwadam o gulewa ikalai yo mayalene ikopwaiki. Na kani ipei ana kaba miya mena na mesabana siya tolusae numene koina mayalena sigitai. 
LUK.11.34	Manim iya besiele yom kana mayale. Tem manim sinamwanamwa, kani yom meuloina imayale. Na tem manim sinae, kani yom meuloina iboniboniyai. 
LUK.11.35	Ugitekalatagiwo tabu mayalene katem mena iboboniboniyai. 
LUK.11.36	Kabo tem yom meuloina imayale yo nige dedei yabo iboboniboniyai kani meuloina imayale yawasosi besiele odam mayalena imayamayale koliwo.
LUK.11.37	Saugana Yeisu ana walo iyemwawasi Palisi yabo ikawanoiyan tem ilau ana nume mena yo mekanakava sikekan. Kabo Yeisu ilau ana nume mena ilusae yo imiyasio kaba kekan mena. 
LUK.11.38	Na Palisine igitai Yeisu nige nimana idedeuli kekan kana loina kaiwena kabo katena ipitali.
LUK.11.39	Kabo Yeisu iwalo koina iwaloba, “Komiu boda Palisi besiele komwa yo gaeba bikibikili, kaiwena dagelamiumo kwadeudeulili, na kalomiu ipowon yawasosi kewali yo mumuga naenaeli kolili. 
LUK.11.40	Toyauyaule komiu. Iya Yaubada kaigedana dagela yo kalo iboma labuine iyamayaleli. 
LUK.11.41	Na temga gogo wasawasane kalomiu mena siya kwamankikiwasi-yagili sauga meuloina kwasoiyagili tobubutumao kolili kani yomiu meuloina sikapwa. 
LUK.11.42	Oo katekamkamnamiu Palisi, bwaliga kwasilae. Kaiwena loina lalakili kwanuwa-mwatainagili na loinamo kikiuli kwanuwanuwatu-kalatagili. Loina lalakili siya Yaubada ana mulolo yo yatala dudulaina. Loina kikiuli siya loina kaigalu yo pam yo venavena kaiweli. Komiu ami sauga wagabagabaen kaigalu yo pam yo venavena kali yakasa koina, kikiuna kwaolena Yaubada koina na meuloina wakalai kaiwemiu. Na ilonamwayagimiu bwaite ginauli lalakiline waginauli-baguna-yagili kabo muli mena ginauli kikiuli. 
LUK.11.43	Oo katekamkamnamiu Palisi, bwaliga kwasilae. Kaiwena nume tapwalolo koina nuwanuwamiu kwamiyasio baguna tomo manli mena. Tabe tem tomo silobaimiu kaba maketi koina nuwanuwamiu sigitaimiu na me ali yakasisi sikawatoki kolimiu. 
LUK.11.44	Oo katekamkamnamiu, bwaliga kwasilae. Kaiwena komiu katemiu luwana mena ginauli naenaeli sipowon besiele salai siya nige kilakilala yabo yo tomo nige sikakatai yakato kalona mena bowa ikalapowon, kabo silolokeikeile pwatali mena siutumonamona.”
LUK.11.45	Loina kana toyakayakatai yabo Yeisu ana walo ibenalan, kabo iwalolau koina iwaloba, “Toyakayakatai, saugana am walo kuwalowen palisi kaiweli ee kai tabe ukawa-naenae-yagimai.” 
LUK.11.46	Yeisu kainana iyamaisa iwaloba, “Oo katekamkamnamiu loina kana toyakayakataiwo, komiu tabe bwaliga kwasilae. Kaiwena loina polopoloweli kwapeili tomo pwatali mena kabo kali kayakayale ipolowesosi kolili na komiu nige ginauli yabo kwapapaisowai na yakato kwasaguili. 
LUK.11.47	Oo katekamkamnamiu, bwaliga kwasilae. Kaiwena palopitao salaili mena kali nuwatu-kalatan kwapaisowaili na siya palopitaone tubumiyao siunuyamateli. 
LUK.11.48	Kabo kwawalo-masalagimiu tubumiyao ali paisowa wakawa-namwanamwa-yani, kaiwena siya palopitao siunuyamateli yo komiu salaili mena kilakilala kwapaisowaili. 
LUK.11.49	Bwaite kaiwena Yaubada ana sonoga mena iwaloba, ‘Palopitao yo apositoloyao kani yayawasali silau kolili, mwa tupwaliyao kani siunuyamateli yo siya tupwaliyao siyakamkamnali.’ 
LUK.11.50	Mwa koina komiu yaso bwaite kani maisa naenaena meuloina kwalobai palopitaone ali boita kaiweli yanuwa yaulina ana kaba tubu mena yo kanasiga kabona. 
