GEN.1.1	En avong mulamu, 
EXO.14.19	Angelo tai onen Ahi koa mul mulamun meatin keil tavaeen onen me-Isrel keil en ualien one, kei viles va en eisile keke vating koe keil. Ka mahmah onen Ahi emun musili, 
EXO.14.20	mul vas me-Isrel keil ka me-Isip keil. Mahmah enek san mankoli min me-Isip keil, ka en usite onen me-Isrel keil, san meneai min keil. Sakini en vongien enek, keil asakras avamai vesesal ven me-Isrel keil.
EXO.14.21	En vongien enek, Mosis mutea lat eisal onen nesa en atas, ka Iahova sakin mari eang tai ka en out ist, mai muh vas atas. Ka navong me-Isrel keil alele, alesi keke atas leh vasi tuai, out luhu mai vi atan tames. 
EXO.14.22	Atas vi vieh en usite keilu, ka en vongien enek, me-Isrel keil amual kotehei en atan tames enges.
EXO.14.23	Navong me-Isip keil alei kilea keke me-Isrel keil amul uva, keil amuloh alikat keil en out tames en atas enek: koakeil en kat one, koakeil en hos keil, ka koakeil emun amual enges. 
EXO.14.24	Vesesal out valan, Ahi mules en ahang koa taveah vina nesa ka les meatin tavaeen keil ten out Isip. Evus, mumon keil alei konakon ka arendem konakon. 
EXO.14.25	Ahi mumon wil ten kat one averai, asakras avakarali revi. Sakini me-Isip keil avit, “!Rovahaha ran me-Isrel keil ven Iahova mul vuhu en usite one!”
EXO.14.26	Iahova viteni min Mosis vit, “Kitea lat hem heha nesa en atas, ka hemai suk hemavul koe me-Isip keil ral min hos ka kat keil one.” 
EXO.14.27	Sakini, navong meteiai roha, Mosis mutea lat hen ka atas mai ris en vulin. Me-Isip keil asak somok avamea, ka Iahova sakin atas rein keil vasi uva en huinev. 
EXO.14.28	Atas muris mai, mutaluh koe vasin meatin tavaeen keil ten out Isip ral min hos keil ka kat keil one koa amusil me-Isrel keil uva en atas. Tovuol en keil vamoul. 
EXO.14.29	Ka me-Isrel keil, keil amual koteh atas en atan tames, atas vi vieh en usite vasi keilu.
EXO.14.30	En avong enek, Iahova lah lat me-Isrel keil ran hen me-Isip keil, ka ales teiai keil one umatmat amul en vali atas. 
EXO.14.31	Navong me-Isrel keil ales mari keihoen koa Iahova rie lati navong mu vini me-Isip keil, ametauni ka avouhou mariso mini. Keil aling demkatien one eni ka en Mosis koa vi meatin toumien onen.
EXO.15.22	Evus, 
EXO.15.23	Umai suk en out tai koa oai mul ien, ka oai enek kon, asakras avamuni. Sakini avise out enek en ‘Marah’ koa aneite teni vi ‘kon.’ 
EXO.15.24	Meatin keil arun kutut kat Mosis avit, “?Asa suk keke rehemuni?” 
EXO.15.25	Mosis murang min Iahova en hisien, sakini rie lat mavuli ai tai mini. Ka navong soni va en oai koa kon, sakin oai mai kas. Ka meatin keil akilea suk avamuni.
EXO.16.1	Avong vahis muli, me-Isrel vasi keil uva ran out avise en Alim. Ka en avong koa vi teindan elim (15) ten avati koa elu, mulin avati tai katau en avong amea ran out 
EXO.16.2	Ekonek, keil vasi arun kutut kat Mosis keilu 
EXO.16.3	avit, “Tahos imok keke Iahova vou vinvini komai tuai en out Isip. Ekonek mekilea mevatondan ka mevan vuseri ka tounah sav teimun keil vahi houlu. ?Vensa kamil millah komai memai en out volvol ekek amai val vat komai ka mevamatmat?”
EXO.16.4	Iahova viteni min Mosis vit, “Kosa numon anien hetivtiv hesuval ous koa mus heka en teilang hemita ven kami vasi.
EXO.16.5	En avong ahetai (6) ten wik vasi keil, akilea avalahi ka avasak meseini vavinvin ten avong elu.”
EXO.16.11	Iahova viteni min Mosis vit, 
EXO.16.12	“Naraengon selkututien onen me-Isrel keil. Kihiteni min keil keke en mendilah enek, keil ian vuseri, ka en visokon, keil akan vini keil en veret. Hesakini keil ilea keke inau, Iahova, navi Ahi one.”
EXO.16.13	En mendilah enek, aman keil koa avise keil en ‘kuel’ umai asien out koa amul ien, ka amuas keil ka akan vini keil eni. Ka en visokon, out vasi memer en tilep. 
EXO.16.14	Navong meteiai kan out memes, ales tilep mai vi tounah tai koa mahinhin ka mukut, mul en atan ka tounah vasi. Ka navong arokoli, merangle. 
EXO.16.15	Navong me-Isrel keil alesi, alei rasi ka amul avis ris keil en selusien one avit, “?Manna?” koa aneite teni vi “?Asa keinek?”
EXO.16.15	Mosis viteni min keil vit, “Koanik anien koa Iahova sani min kami mivani.
EXO.16.16	Iahova meng kat kami keke kami vasi mihesien mari kap helu ven meatin tetai. Mihelahi hevinvin en asa koa teim onami akilea avaani en avong vatas.”
EXO.16.17	Me-Isrel keil amumoni suval kei viteni: koan en keil alahi houlu, ka keil en koa alahi havivi enges. 
EXO.16.18	Navong avuli kap teni, koakeil alahi houlu alesi vinvin en teim one, ka koakeil alahi havivi enges, keil emun alesi vinvin en teim one. Keil vasi alahi vinvin en keil.
EXO.16.19	Mosis viteni min keil vit, “Tovuol en kami helingi hetokol visuvong.” 
EXO.16.20	Ka keil koa arlong kattei Mosis ka avit avaling tei vales vatokol visokon. Ka en visokon enek, manna enek, oul keil akikistal ien ka vite vo. Navong Mosis lesi, vuroh kat keil. 
EXO.16.21	En visokon vasi, meatin vasi keil uva alahi vinvin enges ven teim se. Ka navong meteiai sakin out mai mutin, asa koa mules en atan mukurle.
EXO.16.22	En avong ahetai (6) ten wik, keil alahlah manna vinvin ten avong elu, kap ehat onen meatin tetai. Hetetamen keil ten vatiamal keil umai ales Mosis ka avit usili mini. 
EXO.16.23	Kei viteni min keil vit, “Ahi meng kati keke visuvong hehi avong votut tasehien, vi 
EXO.16.24	Suval koa Mosis meng kat keil eni, keil aling revi koa teisao rokol avong out mulan ka kei rotisatei, oul keil arkistaltei ien. 
EXO.16.25	Mosis vit, “Kosa, mihean koanik ven kosa vi Sabat onen Ahi, avong votut tasehien. Mihervotin etai anien hae en out roro ien. 
EXO.16.26	Avong ahetai en wik miheha mihelah anien ami, ka en avong oulu (7) koa vi Sabat, mihervotintei.”
EXO.16.27	Avaseini Mosis viteni mukonek, en avong oulu ten wik, meatin keil koan uva avalahlah anien ka arvotintei. 
EXO.16.28	Sakini Iahova viteni min Mosis vit, “?Kami miheles mihesesein mengkatien keil onak hetokol avong sa? 
EXO.16.29	!Milesi! Inau, Iahova, nasan avong tai tasehien min kami. Ven koanik, en avong koa vi ahetai (6) ten wik vasi keil, nisan anien min kami hevinvin ten avong helu. Ka en avong oulu (7) ten wik, meatin vasi keil itos en out koa keil amul ien, meatin hetovuol houal ran teim onen.” 
EXO.16.30	Sakini, meatin keil armumtei en avong oulu. 
EXO.16.31	Me-Isrel keil avise anien enek en ‘manna.’ Kei suval titi utiai koa muoh, ka akani kas suval kek koa hani mul ien. 
EXO.17.1	Me-Isrel keil vasi amemea ran out volvol ten out Saen, umai en out tai. Evus, uva en out sav, musil selusien onen Iahova. Amumon votevav one en out tai koa avise en Revidim, ka oai tovuol en out enek koa avamuni. 
EXO.17.2	Keil aselus kutut kat Mosis avit, “!San oai min komai mevamuni!”
EXO.17.2	Ka Mosis vit, “?Vensa misel kutut kat nau? ?Vensa mivit mivasak vis Iahova keke hetie lat keihoen min kami lises?”
EXO.17.3	Ka meatin keil, maroro kat keil houlu ka amules aselus kutut kati ka avit, “?Vensa kokulat komai ran out Isip? ?Titiali keil onomai ka buluk ka sipsip keil emun tive memes, kovit kovou vini komai en maroro?”
EXO.17.4	Sakini Mosis vis keih min Iahova vit, “?Numon sa min meatin keil ekek? Vesesal avov nau.”
EXO.17.5	Iahova viteni min Mosis vit, “Kikur hetetamen tei keil onen me-Isrel keil, kilah ruain keil mihelamu en meatin sav keil. Kikur kat eisal onom koa komuas Oaisal Nael eni. 
EXO.17.6	Nilomal vesesal ven mari ahat tai en Vatihou Senae. En out enek, kuas ahat enek ka oai hekistal houe rani ka meatin keil imuni suk.” Sakini, Mosis mumoni mukonek en meten hetetamen onen me-Isrel keil.
EXO.17.7	En out enek aling isen ‘Meribah’ koa aneite teni vi ‘selkututien’ veni aselus kutut kat Mosis. Ka aling isen tamun vi ‘Massah’ koa aneite teni vi ‘sakvisien’ veni asak vis Iahova navong avisi avit, “?Iahova mul ven ir vuo romultei?”
EXO.17.8	Navong me-Isrel keil amul en out Revidim, me-Amelek keil umai ka avit avahu vatal keil. 
EXO.17.9	 viteni min Sosua vit, “Kitie lat tei meatin keil miheha mihouas me-Amelek keil. Visuvong, out helan, inau nikur eisal onak koa Ahi viteni keke makuri, ka nihatimal vina nesa en hou ekek.” 
EXO.17.10	Sakini Sosua mumon tounah suval koa Mosis viteni mini, mulamun meatin onen keil uva avuhu ral min me-Amelek keil. Ka Mosis kur 
EXO.17.11	Mosis san hen vina nesa, ka navong hen mul nesa me-Isrel keil amulin me-Amelek keil. Ka navong hen keilu mita ris netan, me-Amelek amuli keil esuk. 
EXO.17.12	Navong hen Mosis maimai, Eron keilu Hur luvous ahat tai mai mini vatondan ien. Ka keilu lumulomal en usiven keilu, lusuv kat hen Mosis rokol avong meteiai munu. 
EXO.17.13	En sakien enek, Sosua ka meatin keil onen amu lin me-Amelek keil.
EXO.18.1	Avu tisa onen 
EXO.18.5	Sakini Setro mul mai ven keil en out volvol, en out koa amumon votevav one vesesal en Vatihou Senae koa vi out votut onen Ahi. Kei mul mai ka kur ahin onen Mosis ral min natnali keilu. 
EXO.18.6	Kei san selusien va min Mosis keke telmul telmai. 
EXO.18.7	Sakini Mosis mea ka va visu mini. Navong lesi, va netan mini en sakien ten houhouen ka mea kav kati. Telvis keitel keke telro mukave. Evus, telva en eim tavolin omon Mosis. 
EXO.18.8	Navong va neim, Mosis vit vasin tounah keil koa Iahova mumoni min asuv houlu ten out Isip ral min meatin onen keil keke kilea valah lat me-Isrel keil ran hen me-Isip keil. Kei vit usili mun mini mahien keil koa meatin keil akuri en sise ka mukave Iahova rali lat keil rani. 
EXO.18.9	Navong Setro long tounah keil enek, kei si houlu mok ka vit, 
EXO.18.10	“!Nasan masmasien min Iahova koa rali latuk ran hen asuv houlu ten out Isip ka meatin onen keil! !Nasan masmasien min Iahova koa rali lat meatin keil onen koa avi slev onen me-Isip keil ran mahien one! 
EXO.18.11	Kosa nakur anatin keke Iahova, kei houlu lohlin ahi teisav vasi keil, veni mumon tounah enek vasakin me-Isrel keil avamaluv ran hen me-Isip keil navong amules veah alei heisav en keil.”
EXO.18.13	Out mulan eni, Mosis va mumon kot ven titi rea keil onen me-Isrel keil. Ka visokon va varei rokol vongien, mul rondan ka mul sak revi titi rea keil ka me-Isrel keil amulomal rahiti. 
EXO.18.14	Navong Setro les tounah vasi koa Mosis mumoni, visi vit, “?Komul komumon sa en meatin keil? ?Vensa komul korondan keik sasom enges, ka meatin keil amul umai amulomal avahisuk ven rendemien onom en visokon va rokol vongien?”
EXO.18.15	Mosis vit kesi mini vit, “Numon tounah somok keil enek ven meatin keil amul umai venau, e vati availea rendemien onen Ahi en moulien one. 
EXO.18.16	Navong meatin elu luvae, lumai venau. Ka inau, naviten koa kave mal. Evus, navit kilea selkatien ka mengkatien onen Ahi min keilu.”
EXO.18.17	Evus Setro viteni mini vit, “Kormumontei vamal keinek. 
EXO.18.18	Keik komum vinik ka kosakin meatin keil emun akur mahien navong arosin rendemien onom taveah. Umen enek meas ramat keke keik sasom kovakuri. 
EXO.18.19	Kosak, masan more selkatien tai minuk vasakin Ahi heto hetal minuk. Mal enges keke keik kilong usil titi rea keil onen meatin keil ka kihatuk en meten Ahi en usite one. 
EXO.18.20	Mal keke kihisein keil en selkatien keil ka en mengkatien keil onen Ahi ka kihit kilea min keil sakien keil tetahos ka asa koa keil umoni. 
EXO.18.21	Ka hetahos imok keke kitie lati mun tei meatin keil koa kolesi avinvin avakataunuk, ka kiling keil ihi metai avalosil kat vangi meatin keil: vangi meatin koa halualim (10) amul ien; vangi meatin koa hanumau elu ka halualim mun (50) amul ien; vangi meatin koa handred tai (100) amul ien; ka vangi meatin koa taosen tai (1000) amul ien. Koakeil enek ihi vati meatin koa avouhou min Ahi, desien onen meatin sav keil amul en keil, ka asakras avakur mani en sise ten luvosien. 
EXO.18.22	Kiling koakeil enek ilei revi usite onen meatin keil. Lises keil akilea avasak revi titi rea koa maes. Ka tounah koa keih ramat, ikuri hemai venuk. Hemukonek, keil ikulat umen koa meas ranuk, ka hesakini hemaes minuk. 
EXO.18.23	Munak kumon sakien koanek, suval koa Ahi mul meng kati minuk, kirmum viniktei. Ka hesakin meatin keil vasi enek ilonge hetahos, ka iha ris teim en tomat.”
EXO.18.24	Mosis long kat selkatien onen Setro. 
EXO.18.25	Sakini rie lat meatin keil koa avinvin ven umen koanek ka ling keil avi metai alosil kat vangi meatin keil: vangi meatin koa halualim (10) amul ien; vangi meatin koa hanumau elu ka halualim mun (50) amul ien; vangi meatin koa handred tai (100) amul ien; ka vangi meatin koa taosen tai (1000) amul ien. 
EXO.18.26	Keil alei revi usite onen meatin keil. Lises keil asak revi titi rea koa maes. Ka tounah koa keih ramat enges, akuri mai ven Mosis.
EXO.18.27	Evus, Setro vit vaha ris teim sen. Sakini Mosis viten ‘more’ mini, ka Setro va ris en out kati onen.
EXO.19.1+EXO.19.2	Me-Isrel keil amemea ran out Revidim ka amual taveah neli. Ka en avati etel kati katau en avong koa amemea ran out 
EXO.19.3	Ka 
EXO.19.3	Iahova mul en hou ka vise vit, “Mosis, kihita kihiteni hemukok min me-Isrel keil kihit: 
EXO.19.4	‘Kami miles asa keke inau, Iahova, namumoni min me-Isip keil. Ka milesi mukave nakur kami mimai mirokol inau ekok en keihoen ka envatien suval veivakum kur titan en apouen. 
EXO.19.5	Sakini kosa, munak mihelong kat rek ka mihousil kat mengkatien keil onak, mihehi meatin keil kati onak. Anatin keke tounah vasi en out netan vi onak, ka kami suk, envatien onak hel en kami helohlin meatin sav keil ten out netan.
EXO.19.6	Kami mihehi vangi meatin kati onak koa hehi votut ka miheha netan minau suval vangi 
EXO.19.7	Navong Iahova selus mini evus, Mosis mita ris netan ka vise ruain meatin keil. Tounah vasi koa Iahova viteni mini, kei vit meseini min keil. 
EXO.19.8	Navong meatin keil alonge, avit, “Tahos, mehoumon tounah vasi keil koa Iahova viteni.” Evus, Mosis vina ris, vit mesein selusien one min Ahi.
EXO.19.16	Evus, en avong etel, en visokon teni, voulul muroh ka ahil vil. Mari mahmah tai kistal ka mutaluh koe vatihou nesa. Evus, mari amaru tai musel keih. Tounah keil ekek sakin meatin vasi keil amaleilei ka ametau houlu en out koa amumon tavolin keil ome eni.
EXO.19.17	Mosis mulamun keil amea ran out amumon votevav ome ien, ka uva avahisu min Ahi. Keil vasi uva ka avati keil en tave hou. 
EXO.19.18	Alesi keke Iahova mita en Vatihou Senae suval ahang ka mul rupas mutaluh koe usite vasi keil teni. Out kulul keih ka rupas vina nesa suval vane. 
EXO.19.19	Verien ten amaru mul musel keih vis keih imok, mul mita vesesal ven keil. Mosis selus min Ahi, ka Ahi vit kesi en voulul. 
EXO.19.20	Iahova mita en hoite ten Vatihou Senae, ka vise Mosis vahina vahisu mini en out enek. Sakini, Mosis veou vina.
EXO.20.1	Evus, Ahi selus min meatin vasi keil en selusien keil ekek: 
EXO.20.2	“Inau navi Iahova, Ahi onami, koa nalah lat kami ran out 
EXO.20.3	Minahatei netan min ahi sav keil, miheha netan min inau nges.
EXO.20.4	Minoumontei nana koa nakur niniven tounah keil amul nesa en teilang, vuo amul netan en atan, vuo en huinev ten atas.
EXO.20.5	Minamalinglingtei ka minahatei netan min etai nana, veni inau navi Iahova, Ahi onami, ka ek rovattei kami mivousil ahi savsav keil. Koakeil aseseinau, nisan mahien heat keil, titae keil, havine keil ka hehita hetokol titae keil one mun.
EXO.20.6	Ka koakeil e vat nau ka amusil kat mengkatien keil onak, nitie more envatien onak min keil ka min vatiamal one lises ka lisenges.
EXO.20.7	Minaselus entei en isok natal rendemien tisa vuo heisav enges veni inau navi Iahova, Ahi onami, ka nisan mahien min meatin koa kur heisav en isok.
EXO.20.8	Mihehuli kat avong ten 
EXO.20.9	Avong onami heite ahetai (6) keke mihoumon umen onami keil eni.
EXO.20.10	Ka avong koa oulu (7) vi Sabat, avong koa miheling lati hehi onak, Iahova, Ahi onami. En avong enek, kami, titami, slev onami, buluk ka sipsip esomi, ka meatin keil ten out sav emun koa umai aro ral min kami, kami vasi mihermumtei. 
EXO.20.11	En avong ahetai (6), inau Iahova namumon teilang, out netan ka atas, ka namumon tounah vasi keil koa amul en keitel. Ka en avong koa oulu (7), namuseh. Ven tounah enek, inau Iahova narokol kat avong ten Sabat ka naling lati vi votut.
EXO.20.12	Mihehouhou min tata ka mama onami keil, hesakini moulien onami hetaveah en atan koa nisani min kami.
EXO.20.13	Minouastei meatin namat.
EXO.20.14	Minakurtei ahin vuo meatin onen hanu sav.
EXO.20.15	Minahenantei tounah onen meatin sav.
EXO.20.16	Minoumontei luvosien naha kat isen meatin sav.
EXO.20.17	Envatien onami nalentei eim mon hanu sav, vuo ahin onen, vuo slev onen, vuo buluk ka sipsip esen, vuo dongki esen, vuo tounah sav keil onen.”
EXO.20.18	Navong meatin keil araengon voulul ka amaru koa musel keih, ka ales ahil vil ka rupas mul en vatihou, keil amaleilei en metauen ka amulomales soutin.
EXO.20.19	Keil aviteni min 
EXO.20.20	Mosis vit risi min keil vit, “!Minametautei! Ahi mita netan enges keke voumon kami mivailea keihoen onen, hesakini, mihelong kati lises, ka mihermumontei mun tisaen keil.” 
EXO.20.21	Ka meatin keil amulomales soutin, ka Mosis enges mual va vesesal en out koa Ahi mul ien, en mari mahmah koa malikelik.
EXO.21.12	Iahova viteni min Mosis vit,
EXO.21.12	“Meatin koa houas hanu sav hemat, kei mun uasi hemat.
EXO.21.13	Ka munak kei romundemtei voumoni ka inau namaen tounah enek kur out esuk, kei kilea valohosai vaha en out tai koa inau nitie min kami. Ka en out enek, kei kilea heto hetahosis.
EXO.21.14	Ka munak meatin tai tin tisa kat meatin sav tai ka mumon rendemien suai tai onen vit vouasi vamat, ka muasi mat; meatin koa vuhu enek, kei mun uasi hemat. Avaseini meatin enek helohosai heha heto kus en ahor ten sanien onak.
EXO.21.15	Meatin koa houas tata onen vuo mama onen, kei mun uasi hemat.
EXO.21.16	Meatin koa hehenan meatin sav keke hemai hehi slev onen vuo keke hanu sav tai hehul lati rani, meatin enek uasi hemat.
EXO.21.17	Meatin koa hesili tata vuo mama onen, kei uasi hemat.
EXO.22.16	Munak atouli tai mul koa reingeingen meatin veah ka meatin tovuol vating koe vahi onen, ka munak meatin tai run luvosi ka matil ral mini, kei hehul tata onen veni ka hekuri hehi onen ka hetetalihe suk hetali.
EXO.22.17	Ka munak tata onen heseseini keke meatin enek vakuri, meatin enek hehul tata enek en 
EXO.22.18	Isan matien min ahin koa hel houmon eimas.
EXO.22.19	Isan matien min meatin koa hesak tisa en buluk ka sipsip hesuval meatin koa sak tisa en ahin.
EXO.22.20	Isan matien min meatin koa hesan sanien votut heha min ahi sav tai. Keil isan sanien votut minau nges, Iahova.
EXO.22.21	Minapuruntei vuo minakarentei meatin koa rovitei horetan. Mihendem kati keke mulamu, kami mun mirvitei horetan en out 
EXO.22.22	Minapuruntei vatina vuo timaru keil. 
EXO.22.23	Ka munak misak purun keil, inau, Iahova, nilong tangien keil one ka nimai nikataun keil. 
EXO.22.24	Nivuroh kat kami ka nuas kami mihematmat en rea keil. Nisakin ahin onami keil ihi vatina ka titiali onami keil ihi timaru.
EXO.22.25	Munak mimaen livere tai hekur hati mani ranuk, minoumontei nasuval meatin keil ten bangk, minahistei nasa kesi min kami natal titan.
EXO.22.26	Munak meatin kur tounah tai ran kami ka mihuli kat eisin omon hetokol avong koa hemai ris hehul lati; minahuli kattei eisin omon natokol meteiai nanu.
EXO.22.27	Mihesa kekerati mini veni mireingeingeni keke eisin koa netinek keke kei kav koe aven eni valikat anni. ?Asa suk keke kei hematil eni? Ka navong tangien onen hemai hetokol inau, nilonge ka nikatauni veni inau, nakur enmahisien en vati meatin keil koa mukonek.
EXO.23.1	Minoumontei selusien taluvosien naka vasi out. Ka minakatauntei meatin koa vit vasan selusien taluvosien vakat meatin sav.
EXO.23.2	Minousiltei sakien onen meatin sav keil navong asak kalkali vuo navong aviles anatinien mai vi luvosien en avong ten kot.”
EXO.24.3	Navong Iahova selus mini evus, 
EXO.24.4	Mosis mutis kat mengkatien vasi keil onen Ahi va en Tus ten Hatkatien Takeih onen Ahi. Out mulan, en visokon semau, kei kur ahat keil ka mumon avet tai ten sanien en tave Vatihou Senae. Evus, kei vati lat mari ahat teindan elu (12) amulomal keke ihi metai keil ten hatkatien takeih koa mari vatiamal teindan elu (12) onen me-Isrel keil amumoni ral min Iahova. 
EXO.24.5	Evus, sila meatin hau keil koa uva amuas buluk ka sipsip koa, ka amunit lin keil en ahor ten sanien vaha min Iahova. Evus, akur buluk ka sipsip koa mun, ka amumon sanien keil ten lahruaien eni.
EXO.24.6	Mosis sien lelat ran buluk ka sipsip keil enek, ka hatte tai va en pesin keil, ka hatte tamun, kukuvin eni va kat vali ahor ten sanien. 
EXO.24.7	Evus, kur ‘Tus ten 
EXO.24.8	Navong aviteni mukok, Mosis kur ara koa mul en pesin keil ka kukuvin eni va en meatin keil vit, “Koanik vi ara koa san keihoen min hatkatien takeih koa Ahi mumoni ral min kami en avong koa miviten selusien keil ekek.”
EXO.24.12	Evus, Ahi viteni min Mosis vit, “Ama nesa minau en vatihou enek. Ka navong kito keie, nisan ahat elu minuk koa namutis mengkatien keil eni koa vahi selkatien onen meatin keil.” 
EXO.24.13	Sakini Mosis kur meatin tai takataunien onen, isen Sosua, lusak mesein keilu keke luvahina en vatihou onen Ahi. 
EXO.24.14	Mosis viteni min metai keil vit, “Kami miheto ekok hetokol avong melhemai ris. 
EXO.24.15	Evus, Mosis vina en Vatihou Senae ka mahmah mutaluh koe. 
EXO.24.16+EXO.24.17	Muohien onen Iahova mita netan en hoi hou nesa. Kei vilahil houlu ka me-Isrel keil amul netan alesi suval ahang rekau en vatihou nesa. Mahmah mutaluh koe vatihou enek avong ahetai (6). Ka en avong koa oulu (7), ren Ahi kistal en mahmah vise Mosis vahina veni. 
EXO.24.18	Sakini Mosis vina nesa en vatihou, va neim en mahmah enek. Mules en out enek avong hanumau elu (40).
EXO.25.1	Iahova viteni min 
EXO.25.2	“Kihiteni min me-Isrel keil avoumon etai sanien vamai venau hekataun umen ten Eim Tavolin onak. Kimaen tounah vasis koa meatin keil e vati avasani minau. 
EXO.25.8	“Meatin keil umon etai mok eim tavolin koa hehi out koa inau nakilea nihita nito hetal min keil eni. 
EXO.25.9	Umon eim tavolin enek ka tounah vasi keil koa hel neim housil asa koa nitie lati minuk. 
EXO.25.10	Umon etai bokis en vati akasia hemarite hemukok: eitu koa taveah teni sentamita hehi handred tai ka halualim (110 cm), eitu koa tamurei teni sentamita hehi hanumau elu ka ehat mun (44 cm), ka usite keil koa hehina nesa sentamita hehi hanumau elu ka ehat mun (44 cm). 
EXO.25.11	Itemal kati neim ka hae en gol, ka imosan eni en rel koa vi gol hekarahiti. 
EXO.25.12	Umon out tatetalien hehat en gol ka isar kati en alen ehat teni: out tatetalien elu hel en usite tai, ka elu hel en usite sav. 
EXO.25.13	Umon ai elu en vati akasia koa avahousi eni, itemal kat keilu en gol, 
EXO.25.14	ka ilingi luhekirisil en out tatetalien keil en usite keilu ten 
EXO.25.15	Ai tahohoien enek heles en out tatetalien ka irkulattei mun. 
EXO.25.16	Hevus, ahat keilu koa namutis mengkatien keil mul ien koa nisani minuk, kiling keilu heha en bokis enek.
EXO.25.17	“Umon hoite en gol, ka taveah teni sentamita hehi handred tai ka halualim mun (110 cm) ka tamurei teni sentamita hehi hanumau elu ka ehat emun (44 cm). 
EXO.25.18	Umon angelo helu koa apouealu houlu koa avise en ‘sereb’ ka itemal kat keilu en gol koa amuti mai mahinhin enges. 
EXO.25.19	Umon keilu leheapil hetal min hoi bokis, tai hetondan en usite tai teni ka tamun en usite sav. 
EXO.25.20	Sereb keilu enek luheleles keilu en usite keilu ten hoi bokis ka lehetelan apouealu heav koe hoi bokis enek. 
EXO.25.21	Ahat keilu koa namutis ien, iling keilu luheha ien ka kipoh koe revi. 
EXO.25.22	En out enek, luhu en sereb keilu koa luhetondan en hoi bokis koanik, inau nitondan ka nihisu minuk ka nisan mengkatien vasi keil onak minuk koa keik kihitehiteni min me-Isrel keil.”
EXO.28.1	Iahova viteni mun min Mosis vit, “Kihise tumali 
EXO.28.2	Kumon eisin omon Eron koa tahos imok, hevinvin ven umen onen pris tai koa hesakin meatin keil ihouhou mini. 
EXO.28.3	Ka kihise ruain koakeil koa nasan meteisau ten tatitilien min keil, imai itili eisin omon. Hevus, kiling hem en Eron hetie lati keke hekur umen onak hesuval pris tai onak.”
EXO.32.7	Navong meatin keil amumoni mukonek, Iahova viteni min 
EXO.32.8	Keil akalah amemea tuai ran sise koa navit kati keke avousili. Amumon buluk tai en gol ka amul uva netan mini ka amul amuas buluk ka sipsip keil ka amuniti vi sanien va mini. Keil amul aviteni keke nana enek vi ahi one koa mulamun keil amea ran out Isip. 
EXO.32.9	Nakilea keke keil avi vatkeih. 
EXO.32.10	Navuroh kat keil ka, kosa, nu rasilin keil varei. Konoumontei konahit kovahiles rendemien onak, numon asa koa ek vati. Hevus, numon keik ka vatiamal onom imai ihi mari vangi meatin tai.”
EXO.32.11	Ka Mosis peah Iahova, Ahi onen, keih imok vit, “Iahova, komulamun keil en tounah houlu tuai. ?Vensa kovuroh kat meatin onom keil koa kolah lat keil ran out Isip en mari keihoen onom? 
EXO.32.12	?Vensa me-Isip keil ihiteni ihit keik kolah lat meatin onom keil ran out Isip keke kokilea kovalamun keil avahina en vatihou keil ka kovou lin keil?
EXO.32.13	Kindem kat meatin toumien onom keil: 
EXO.32.14	Sakini, Iahova viles ris rendemien onen, ka rosantei mahien vaha min meatin keil onen suval koa kei viteni.
EXO.32.15+EXO.32.16	Evus, Mosis suvul eris vita netan en vatihou. Mul vous ahat elu koa Ahi keinges ra lati ran mari ahat tai ka mahinhin. En ahat elu enek, Ahi mutis mengkatien onen mul vasi usite keilu.
EXO.32.19	Navong Mosis mul mai vesesal ven keil, les buluk keke keil amul uvol rahiti. Navong lesi, tin katiat vis katiat. Ka en out enek, en tave vatihou, kei kopahas ahat keilu koa vousi mita. 
EXO.32.20	Kei mita kulat buluk koa keil amumoni ka soni va en ahang mukurle. Evus, muti lini mai vi vulimeas, ka so rasilini va en oai. Mumoni evus, sakin me-Isrel keil vasi umai amuni.
EXO.32.21	Kei viles, les 
EXO.32.22	Eron vit risi mini vit, “Mosis eli, konavuroh kattei nau li. Keik kokilea keke meatin keil ekek, lises envatien one mul en sakien tisa keil. 
EXO.32.23	Keil aviteni minau avit, ‘Komai mereingeingen asa koa kula Mosis koa lah lat komai ran out Isip. Sakini, kumon ahi tai koa kilea valamun komai.’”
EXO.32.30	Out mulan, Mosis mulomal en meten meatin keil ka viteni min keil vit, “!Kami mimumon mari tisaen tai! Ka kosa, mahina ris en vatihou nesa mahisu min Iahova. Vahera nakilea mapeah enmahisien onen keke naleletei natisa en kami ven tisaen onami.” 
EXO.32.31	Sakini, Mosis vina ris ven Iahova ka viteni mini vit, “!Aue li! Meatin keil ekek amumon mari tisaen tai li. Amumon ahi tai en gol ka uva netan mini. 
EXO.32.32	Napeahik, kumon methos onom eli min keil. Ka munak em rovattei, kisulin varei isok emun ran Tus ten Moulien onom koa komutis kat isen meatin onom keil amul ien.”
EXO.32.33	Iahova vit risi mini vit, “Koakeil koa amumon tisaen va kat inau, keil enges nisulin ise ran Tus ten Moulien onak. 
EXO.32.34	Kiha kilamun meatin keil miheha en out koa naviteni tuai minuk. Kindem kati keke angelo onak helamun kami miheha. Ka kilea emun keke avong mul mai keke nisan mahien min meatin keil ekek ven tisaen one.” 
EXO.32.35	Sakini Iahova san mari mesaien tai va kat meatin keil ven buluk koa asakin Eron mumoni.
EXO.34.1	Iahova viteni min 
