GEN.1.2	E a terra era sem forma e vazia; e 
DEU.29.21	E o Senhor o separará para mal, de todas as tribos de Israel, conforme a todas as maldições do concerto escrito no livro desta lei. 
DEU.29.22	Então dirá a geração vindoura, os vossos filhos, que se levantarem depois de vós, e o estranho que virá de terras remotas, vendo as pragas desta terra, e as suas doenças, com que o Senhor a terá afligido; 
DEU.29.23	E toda a sua terra, abrasada com enxofre e sal, 
DEU.29.24	E todas as nações dirão: Por que fez o Senhor assim com esta terra? Qual 
DEU.29.25	Então se dirá: Porquanto deixaram o concerto do Senhor, o Deus dos seus pais, que com eles tinha feito, quando os tirou do Egito. 
DEU.29.26	E eles foram-se, e serviram a outros deuses, e se inclinaram diante deles; deuses que não conheceram, e nenhum dos quais ele lhes tinha dado. 
DEU.29.27	Pelo que, a ira do Senhor se acendeu contra esta terra, para trazer sobre ela toda a maldição que está escrita neste livro. 
DEU.29.28	E o Senhor os tirou da sua terra, com ira, e com indignação, e com grande furor, e os lançou em outra terra, como neste dia 
DEU.29.29	As 
DEU.30.2	E te converteres ao Senhor, teu Deus, e deres ouvidos à sua voz, conforme a tudo o que eu te ordeno hoje, tu e os teus filhos, com todo o teu coração, e com toda a tua alma; 
DEU.30.3	Então o Senhor, teu Deus, te fará voltar do teu cativeiro, e se apiedará de ti; e tornará a ajuntar-te de entre todas as nações, entre as quais te espalhou o Senhor, teu Deus. 
DEU.30.4	Ainda que os teus desterrados estejam para a extremidade do céu, desde ali te ajuntará o Senhor, teu Deus, e te tomará dali; 
DEU.30.5	E o Senhor, teu Deus, te trará à terra que os teus pais possuíram, e a possuirás; e te fará bem, e te multiplicará mais do que aos teus pais. 
DEU.30.6	E o Senhor, teu Deus, circuncidará o teu coração, e o coração da tua semente; para amares ao Senhor, teu Deus, com todo o teu coração e com toda a tua alma, para que vivas. 
DEU.30.7	E o Senhor, teu Deus, porá todas estas maldições sobre os teus inimigos e sobre os teus aborrecedores, que te perseguirem. 
DEU.30.8	Converter-te-ás, pois, e darás ouvidos à voz do Senhor; farás todos os seus mandamentos que hoje te ordeno. 
DEU.30.9	E o Senhor, teu Deus, te fará abundar em toda a obra das tuas mãos, no fruto do teu ventre, e no fruto dos teus animais, e no fruto da tua terra, para bem; porquanto o Senhor tornará a alegrar-se em ti, para bem, como se alegrou nos teus pais, 
DEU.30.10	Quando deres ouvidos à voz do Senhor, teu Deus, guardando os seus mandamentos e os seus estatutos, escritos neste livro da lei, quando te converteres ao Senhor, teu Deus, com todo o teu coração e com toda a tua alma.
DEU.30.12	Não 
DEU.30.13	Nem, tão-pouco, 
DEU.30.14	Porque esta palavra 
DEU.30.15	Vês aqui, hoje te tenho proposto a vida e o bem, e a morte e o mal; 
DEU.30.16	Porquanto te ordeno, hoje, que ames ao Senhor, teu Deus, que andes nos seus caminhos, e que guardes os seus mandamentos, e os seus estatutos, e os seus juízos, para que vivas e te multipliques, e o Senhor, teu Deus, te abençoe na terra a qual entras a possuir. 
DEU.30.17	Porém, se o teu coração se desviar, e não quiseres dar ouvidos, e fores seduzido, para te inclinares a outros deuses e os servires, 
DEU.30.18	Então eu vos denuncio hoje que, certamente, perecereis: não prolongareis os dias na terra a que vais, passando o Jordão, para que, entrando nela, a possuas: 
DEU.30.19	Os céus e a terra tomo, hoje, por testemunhas contra vós, 
DEU.30.20	Amando ao Senhor, teu Deus, dando ouvidos à sua voz e te achegando a ele: pois ele é a tua vida e a longura dos teus dias; para que fiques na terra que o Senhor jurou aos teus pais, a Abraão, a Isaac e a Jacob, que lhes havia de dar.
DEU.31.1	DEPOIS foi Moisés, e falou estas palavras a todo o Israel; 
DEU.31.2	E disse-lhes: Da idade de cento e vinte anos 
DEU.31.3	O Senhor, teu Deus, passará diante de ti; ele destruirá estas nações diante de ti, para que as possuas: Josué passará diante de ti, como o Senhor tem dito. 
DEU.31.4	E o Senhor lhes fará como fez a Seón e a Og, reis dos amorreus, e à sua terra, os quais destruiu. 
DEU.31.5	Quando, pois, o Senhor vo-los der diante de vós, então com eles fareis conforme a todo o mandamento que vos tenho ordenado. 
DEU.31.6	Esforçai-vos e animai-vos; não temais nem vos espanteis diante deles: porque o Senhor, teu Deus, é o que vai contigo: não te deixará nem te desamparará. 
DEU.31.7	E chamou Moisés a Josué, e lhe disse, aos olhos de todo o Israel: Esforça-te e anima-te; porque, com este povo entrarás na terra que o Senhor jurou aos teus pais lhes dar; e tu os farás herdá-la. 
DEU.31.8	O Senhor, pois, 
DEU.31.10	E deu-lhes ordem, Moisés, dizendo: Ao fim de 
DEU.31.11	Quando todo o Israel vier a comparecer perante o Senhor, teu Deus, no lugar que ele escolher, lerás esta lei, diante de todo o Israel, aos seus ouvidos. 
DEU.31.12	Ajunta o povo, homens, e mulheres, e meninos, e os teus estrangeiros que estão dentro das tuas portas, para que ouçam, e aprendam, e temam ao Senhor, vosso Deus, e tenham cuidado de fazer todas as palavras desta lei; 
DEU.31.13	E 
DEU.31.15	Então o Senhor apareceu na tenda, na coluna de nuvem; e a coluna de nuvem estava sobre a porta da tenda. 
DEU.31.16	E disse o Senhor a Moisés: Eis que dormirás com os teus pais; e este povo se levantará, e se prostituirá, indo após os deuses dos estranhos da terra, para o meio dos quais vai, e me deixará, e anulará o meu concerto que tenho feito com ele. 
DEU.31.17	Assim se acenderá a minha ira naquele dia contra ele, e desampará-lo-ei, e esconderei o meu rosto deles, para que sejam devorados; e tantos males e angústias o alcançarão, que dirá, naquele dia: Não me alcançaram estes males porquanto o meu Deus não está no meio de mim? 
DEU.31.18	Esconderei, pois, totalmente, o meu rosto naquele dia, por todo o mal que tiver feito, por se haver tornado a outros deuses.
DEU.31.20	Porque o meterei na terra que jurei aos seus pais, que mana leite e mel; e comerá, e se fartará, e se engordará: então se tornará a outros deuses e os servirá, e me irritarão, e anularão o meu concerto. 
DEU.31.21	E será 
DEU.31.22	Assim Moisés escreveu este cântico, naquele dia, e o ensinou aos filhos de Israel. 
DEU.31.23	E ordenou a Josué, filho de Nun, e disse: Esforça-te e anima-te; porque tu meterás os filhos de Israel na terra que lhes jurei; e eu serei contigo. 
DEU.31.24	E aconteceu 
DEU.31.25	Deu ordem Moisés aos levitas que levaram a arca do concerto do Senhor, dizendo: 
DEU.31.26	Tomai este livro da lei, e ponde-o ao lado da arca do concerto do Senhor, vosso Deus, para que ali esteja por testemunha contra ti. 
DEU.31.27	Porque conheço a tua rebelião e a tua dura cerviz: eis que, vivendo eu ainda hoje convosco, rebeldes fostes contra o Senhor; e quanto mais depois da minha morte. 
DEU.31.28	Ajuntai perante mim todos os anciãos das vossas tribos, e os vossos oficiais, e aos vossos ouvidos falarei estas palavras, e contra eles, por testemunhas, tomarei os céus e a terra, 
DEU.31.29	Porque eu sei que, depois da minha morte, certamente vos corrompereis, e vos desviareis do caminho que vos ordenei: então este mal vos alcançará, nos últimos dias, quando fizerdes mal aos olhos do Senhor, para o provocar à ira com a obra das vossas mãos. 
DEU.31.30	Então Moisés falou as palavras deste cântico aos ouvidos de toda a congregação de Israel, até se acabarem.
DEU.32.2	Goteje a minha doutrina como a chuva, distile o meu dito como o orvalho, como chuvisco sobre a erva e como gotas de água sobre a relva. 
DEU.32.3	Porque apregoarei o nome do Senhor: dai grandeza ao nosso Deus. 
DEU.32.4	 a Rocha, cuja obra 
DEU.32.5	Corromperam-se contra ele; seus filhos 
DEU.32.6	Recompensais assim ao Senhor, povo louco e ignorante? não 
DEU.32.7	Lembra-te dos dias da antiguidade; atentai para os anos de muitas gerações; pergunta ao teu pai, e ele te informará; aos teus anciãos, e eles to dirão. 
DEU.32.8	Quando o Altíssimo distribuía as heranças às nações, quando dividia os filhos de Adão uns dos outros, pôs os termos dos povos conforme ao número dos filhos de Israel. 
DEU.32.9	Porque a porção do Senhor 
DEU.32.10	Achou-o na terra do deserto e num ermo solitário, cheio de uivos; 
DEU.32.11	Como a águia desperta o seu ninho, se move sobre os seus filhos, estende as suas asas, toma-os e os leva sobre as suas asas, 
DEU.32.12	 só o Senhor o guiou; e não havia com ele deus estranho. 
DEU.32.13	Ele o fez cavalgar sobre as alturas da terra, e comeu as novidades do campo, e fez chupar mel da rocha, e azeite da dura pederneira, 
DEU.32.14	Manteiga de vacas e leite do rebanho, com a gordura dos cordeiros e dos carneiros que pastam em Basan, e dos bodes, com gordura dos rins do trigo; e bebeste o sangue das uvas, o vinho puro. 
DEU.32.15	E, engordando-se Jeshurun, deu coices; engordaste-te, engrossaste-te, 
DEU.32.16	Com 
DEU.32.17	Sacrifícios ofereceram aos diabos, não a Deus; aos deuses que não conheceram, novos 
DEU.32.18	Esqueceste-te da Rocha que te gerou; e em esquecimento puseste o Deus que te formou. 
DEU.32.19	O que vendo, o Senhor 
DEU.32.20	E disse: Esconderei o meu rosto deles, verei qual 
DEU.32.21	A zelos me provocaram com 
DEU.32.22	Porque um fogo se acendeu na minha ira, e arderá até ao mais profundo do inferno, e consumirá a terra, com a sua novidade, e abrasará os fundamentos dos montes. 
DEU.32.23	Males amontoarei sobre eles; as minhas setas esgotarei contra eles. 
DEU.32.24	Exaustos 
DEU.32.25	Por fora devastará a espada e por dentro o pavor, ao mancebo, juntamente com a virgem, assim à criança de mama, como ao homem de cãs. 
DEU.32.26	 disse: Por todos os cantos os espalharia; faria cessar a sua memória de entre os homens, 
DEU.32.27	Se eu não receara a ira do inimigo, para que os seus adversários o não estranhem, 
DEU.32.28	Porque 
DEU.32.29	Oxalá eles fossem sábios! 
DEU.32.30	Como 
DEU.32.31	Porque a sua rocha não 
DEU.32.32	Porque a sua vinha 
DEU.32.33	O seu vinho 
DEU.32.34	Não está isto encerrado comigo? selado nos meus tesouros? 
DEU.32.35	Minha 
DEU.32.36	Porque o Senhor fará justiça ao seu povo e se arrependerá pelos seus servos, quando vir que o seu poder se foi, e não há fechado nem desamparado. 
DEU.32.37	Então dirá: Onde 
DEU.32.38	De cujos sacrifícios comiam a gordura, 
DEU.32.39	Vede agora que Eu, Eu O 
DEU.32.40	Porque levantarei a minha mão aos céus, e direi: Eu vivo para sempre. 
DEU.32.41	Se eu afiar a minha espada reluzente, e travar do juízo a minha mão, farei tornar a vingança sobre os meus adversários, e recompensarei aos meus aborrecedores. 
DEU.32.42	Embriagarei as minhas setas de sangue, e a minha espada comerá carne: do sangue dos mortos e dos prisioneiros, desde a cabeça, haverá vinganças do inimigo. 
DEU.32.43	Jubilai, ó nações, 
DEU.32.44	E veio Moisés, e falou todas as palavras deste cântico aos ouvidos do povo, ele e Hosea, filho de Nun. 
DEU.32.45	E, acabando Moisés de falar todas estas palavras a todo o Israel, 
DEU.32.46	Disse-lhes: Aplicai o vosso coração a todas as palavras que hoje testifico entre vós, para que as recomendeis aos vossos filhos, para que tenham cuidado de cumprir todas as palavras desta lei. 
DEU.32.47	Porque esta palavra não vos 
DEU.32.48	Depois falou o Senhor a Moisés, naquele mesmo dia, dizendo: 
DEU.32.49	Sobe ao monte de Abarim, ao monte Nebo, que 
DEU.32.50	E morre no monte, ao qual subirás, e recolhe-te aos teus povos, como Aarão, teu irmão, morreu no monte de Hor, e se recolheu aos seus povos. 
DEU.32.51	Porquanto prevaricastes contra mim, no meio dos filhos de Israel, nas águas da contenção, em Cades, no deserto de Zin: pois me não santificastes no meio dos filhos de Israel. 
DEU.32.52	Pelo que verás a terra diante 
DEU.33.2	Disse, pois: O Senhor veio de Sinai, e lhes subiu de Seir; resplandeceu desde o monte Paran, e veio com dez milhares de santos: à sua direita 
DEU.33.3	Na verdade ama os povos; todos os seus santos 
DEU.33.4	Moisés nos deu a lei 
DEU.33.5	E foi rei em Jeshurun, quando se congregaram os cabeças do povo com as tribos de Israel.
DEU.33.6	Viva Ruben, e não morra, e 
DEU.33.7	E esta 
DEU.33.8	E de Levi disse: Teu Tumim e teu Urim 
DEU.33.9	Aquele que disse ao seu pai e à sua mãe: Nunca o vi; e não conheceu aos seus irmãos, e não estimou aos seus filhos: pois guardaram a tua palavra e observaram o teu concerto. 
DEU.33.10	Ensinaram os teus juízos a Jacob, e a tua lei a Israel; meteram incenso no teu nariz, e o holocausto sobre o teu altar. 
DEU.33.11	Abençoa o seu poder, ó Senhor, e a obra das suas mãos te agrade: fere os lombos dos que se levantam contra ele e o aborrecem, que nunca mais se levantem. 
DEU.33.12	 de Benjamim disse: O amado do Senhor habitará seguro com ele: todo o dia o cobrirá, e morará entre os seus ombros. 
DEU.33.13	E de José disse: Bendita do Senhor 
DEU.33.14	E com as mais excelentes novidades do sol, e com as mais excelentes produções da lua, 
DEU.33.15	E com o mais excelente dos montes antigos, e com o mais excelente dos outeiros eternos. 
DEU.33.16	E com o mais excelente da terra, e com a sua plenitude, e com a benevolência daquele que habitava na sarça, 
DEU.33.17	Ele tem a glória do primogénito do seu boi, e as suas pontas são pontas de unicórnio; com eles ferirá os povos, juntamente, até às extremidades da terra: estes, pois, 
DEU.33.18	E de Zebulon disse: Zebulon, alegra-te nas tuas saídas; e 
DEU.33.19	 chamarão os povos ao monte: ali oferecerão ofertas de justiça, porque chuparão a abundância dos mares e os tesouros escondidos da areia. 
DEU.33.20	E de Gad disse: Bendito aquele que faz dilatar a Gad: habita como a leoa, e despedaça o braço e alto da cabeça. 
DEU.33.21	E se proveu da primeira parte, porquanto ali 
DEU.33.22	E de Dan disse: Dan 
DEU.33.23	E de Naftali disse: Farta-te, 
DEU.33.24	E de Aser disse: Bendito 
DEU.33.25	O ferro e o metal 
DEU.33.26	Não 
DEU.33.27	O Deus eterno 
DEU.33.28	Israel, pois, habitará só, seguro, 
DEU.33.29	Bem-aventurado tu, ó Israel! quem 
DEU.34.2	E todo Naftali, e a terra de Efraim e Manassés; e toda a terra de Judá, até ao mar último; 
DEU.34.3	E o sul, e a campina do vale de Jericó, a cidade das palmeiras até Zoar. 
DEU.34.4	E disse-lhe o Senhor: Esta 
DEU.34.5	Assim morreu ali Moisés, servo do Senhor, na terra de Moab, conforme ao dito do Senhor. 
DEU.34.6	E o sepultou num vale, na terra de Moab, defronte de Beth-peor; e ninguém tem sabido até hoje a sua sepultura. 
DEU.34.7	 Moisés da idade de cento e vinte anos quando morreu: os seus olhos nunca se escureceram, nem perdeu o seu vigor. 
DEU.34.8	E os filhos de Israel prantearam a Moisés, trinta dias, nas campinas de Moab; e os dias do pranto do luto de Moisés se cumpriram. 
DEU.34.9	E Josué, filho de Nun, foi cheio do espírito de sabedoria, porquanto Moisés tinha posto sobre ele as suas mãos: assim, os filhos de Israel lhe deram ouvidos e fizeram como o Senhor ordenara a Moisés. 
DEU.34.10	E nunca mais se levantou, em Israel, profeta 
DEU.34.11	 em todos os sinais e maravilhas que o Senhor o enviou para fazer na terra do Egito, a Faraó, e a todos os seus servos, e a toda a sua terra; 
DEU.34.12	E em toda a mão forte, e em todo o espanto grande, que obrou Moisés aos olhos de todo o Israel.
JOS.1.2	Moisés, meu servo, é morto. Levanta-te, pois, agora, passa este Jordão, tu e todo este povo, à terra que eu dou aos filhos de Israel. 
JOS.1.3	Todo o lugar que pisar a planta do vosso pé vo-lo tenho dado, como eu disse a Moisés. 
JOS.1.4	Desde o deserto e 
JOS.1.5	Nenhum se susterá diante de ti, todos os dias da tua vida: como fui com Moisés, 
JOS.1.6	Esforça-te, e tem bom ânimo; porque tu farás a este povo herdar a terra que jurei aos seus pais lhes daria. 
JOS.1.7	Tão somente esforça-te e tem mui bom ânimo, para teres o cuidado de fazer conforme a toda a lei que o meu servo, Moisés, te ordenou: dela não te desvies, nem para a direita nem para a esquerda, para que prudentemente te conduzas, por onde quer que andares. 
JOS.1.8	Não se aparte da tua boca o livro desta lei; antes, medita nele, dia e noite, para que tenhas cuidado de fazer conforme a tudo quanto nele está escrito; porque, então, farás prosperar o teu caminho, e, então, prudentemente te conduzirás. 
JOS.1.9	Não to mandei eu? Esforça-te, e tem bom ânimo; não pasmes, nem te espantes: porque o Senhor, teu Deus, 
JOS.1.10	Então deu ordem Josué aos príncipes do povo, dizendo: 
JOS.1.11	Passai pelo meio do arraial e ordenai ao povo, dizendo: Provede-vos de comida, porque dentro de três dias passareis este Jordão, para que entreis a possuir a terra que vos dá o Senhor, vosso Deus, para que a possuais. 
JOS.1.12	E falou Josué aos rubenitas, e aos gaditas, e à meia tribo de Manassés, dizendo: 
JOS.1.13	Lembrai-vos da palavra que vos mandou Moisés, o servo do Senhor, dizendo: O Senhor, vosso Deus, vos dá descanso, e vos dá esta terra. 
JOS.1.14	As vossas mulheres, os vossos meninos e o vosso gado fiquem na terra que Moisés vos deu, desta banda do Jordão; porém vós passareis armados na frente dos vossos irmãos, todos os valentes e valorosos, e ajudá-los-eis; 
JOS.1.15	Até que o Senhor dê descanso aos vossos irmãos, como a vós, e eles também possuam a terra que o Senhor, vosso Deus, lhes dá; então tornareis à terra da vossa herança, e possuireis a que vos deu Moisés, o servo do Senhor, desta banda do Jordão, para o nascente do sol. 
JOS.1.16	Então responderam a Josué, dizendo: Tudo quanto nos ordenaste faremos, e onde quer que nos enviares iremos. 
JOS.1.17	Como em tudo ouvimos a Moisés, assim te ouviremos a tí: tão somente 
JOS.1.18	Todo o homem que for rebelde à tua boca, e não ouvir as tuas palavras, em tudo quanto lhe mandares, morrerá: tão somente esforça-te, e tem bom ânimo.
JOS.2.2	Então deu-se notícia ao rei de Jericó, dizendo: Eis que esta noite vieram aqui 
JOS.2.3	Pelo que enviou o rei de Jericó a Raáb, dizendo: Tira fora os homens que vieram a ti, e entraram na tua casa, porque vieram espiar toda a terra. 
JOS.2.4	Porém, aquela mulher tomou a ambos aqueles homens, e os escondeu, e disse: 
JOS.2.5	E aconteceu 
JOS.2.6	Porém ela os tinha feito subir ao telhado, e os tinha escondido entre as canas do linho, que pusera em ordem sobre o telhado. 
JOS.2.7	E foram-se aqueles homens após eles, pelo caminho do Jordão, até aos vaus: e fechou-se a porta, havendo saído os que iam após eles. 
JOS.2.8	E, antes que eles dormissem, ela subiu a eles sobre o telhado; 
JOS.2.9	E disse aos homens: Bem sei que o Senhor vos deu esta terra, e que o pavor de vós caiu sobre nós, e que todos os moradores da terra estão desmaiados diante de vós. 
JOS.2.10	Porque temos ouvido que o Senhor secou as águas do Mar Vermelho diante de vós, quando saíeis do Egito, e o que fizestes aos dois reis dos amorreus, a Seón e a Og, que 
JOS.2.11	Ouvindo isto, desmaiou o nosso coração, e em ninguém mais há ânimo algum, por causa da vossa presença, porque o Senhor, vosso Deus, é Deus em cima nos céus e em baixo na terra. 
JOS.2.12	Agora, pois, jurai-me, vos peço, pelo Senhor, pois que vos fiz beneficência, que vós, também, fareis beneficência à casa do meu pai, e dai-me um sinal certo, 
JOS.2.13	De que dareis a vida ao meu pai e à minha mãe, como também aos meus irmãos e às minhas irmãs, com tudo o que têm, e de que livrareis as nossas vidas da morte. 
JOS.2.14	Então aqueles homens responderam-lhe: A nossa vida 
JOS.2.15	Ela então os fez descer por uma corda, pela janela, porquanto a sua casa 
JOS.2.16	E disse-lhes: Ide-vos ao monte, para que, porventura, vos não encontrem os perseguidores, e escondei-vos lá três dias, até que voltem os perseguidores, e depois, ide 
JOS.2.17	E disseram-lhe aqueles homens: Desobrigados 
JOS.2.18	Eis que, vindo nós à terra, atarás este cordão de fio de escarlata à janela por onde nos fizeste descer; e recolherás em casa, contigo, o teu pai, e a tua mãe, e os teus irmãos, e a toda a família do teu pai. 
JOS.2.19	Será, pois, 
JOS.2.20	Porém, se tu denunciares este nosso negócio, seremos desobrigados do teu juramento, que nos fizeste jurar. 
JOS.2.21	E ela disse: Conforme às vossas palavras, assim 
JOS.2.22	Foram-se, pois, e chegaram ao monte, e ficaram ali três dias, até que voltaram os perseguidores, porque 
JOS.2.23	Assim, aqueles dois homens voltaram, e desceram do monte, e passaram, e vieram a Josué, filho de Nun, e contaram-lhe tudo quanto lhes acontecera; 
JOS.2.24	E disseram a Josué: Certamente o Senhor tem dado toda esta terra nas nossas mãos, pois até todos os moradores estão desmaiados diante de nós.
JOS.3.2	E sucedeu, ao fim de três dias, que os príncipes passaram pelo meio do arraial; 
JOS.3.3	E ordenaram ao povo, dizendo: Quando virdes a arca do concerto do Senhor, vosso Deus, e que os sacerdotes, levitas, a levam, parti vós, também, do vosso lugar, e segui-a. 
JOS.3.4	Haja, contudo, distância entre vós e ela, como da medida de dois mil côvados; e não vos chegueis a ela, para que saibais o caminho pelo qual haveis de ir; porquanto por este caminho nunca passastes antes. 
JOS.3.5	Disse Josué, também, ao povo: Santificai-vos, porque amanhã fará o Senhor maravilhas no meio de vós. 
JOS.3.6	E falou Josué aos sacerdotes, dizendo: Levantai a arca do concerto e passai adiante deste povo. Levantaram, pois, a arca do concerto, e foram andando, adiante do povo. 
JOS.3.7	E o Senhor disse a Josué: Este dia começarei a engrandecer-te perante os olhos de todo o Israel, para que saibam que, 
JOS.3.8	Tu, pois, ordenarás aos sacerdotes que levam a arca do concerto, dizendo: Quando vierdes até à borda das águas do Jordão, parareis no Jordão. 
JOS.3.9	Então disse Josué aos filhos de Israel: Chegai-vos para cá e ouvi as palavras do Senhor, vosso Deus. 
JOS.3.10	Disse mais Josué: Nisto conhecereis que o Deus vivo 
JOS.3.11	Eis que a arca do concerto do Senhor de toda a terra passa o Jordão diante de vós. 
JOS.3.12	Tomai, pois, agora, doze homens, das tribos de Israel, de cada tribo um homem; 
JOS.3.13	Porque há de acontecer 
JOS.3.14	E aconteceu que, partindo o povo das suas tendas, para passar o Jordão, levavam os sacerdotes a arca do concerto, diante do povo. 
JOS.3.15	E quando os que levavam a arca chegaram até ao Jordão, e os pés dos sacerdotes que levavam a arca se molharam na borda das águas (porque o Jordão transbordava sobre todas as suas ribanceiras todos os dias da sega), 
JOS.3.16	Pararam as águas que vinham de cima; levantaram-se num montão, mui longe da cidade de Adam, que 
JOS.3.17	Porém os sacerdotes que levavam a arca do concerto do Senhor pararam firmes, em seco, no meio do Jordão; e todo o Israel passou em seco, até que todo o povo acabou de passar o Jordão.
JOS.4.2	Tomai do povo doze homens, de cada tribo um homem; 
JOS.4.3	E mandai-lhes, dizendo: Tomai daqui, do meio do Jordão, do lugar do assento dos pés dos sacerdotes, doze pedras; e levai-as convosco, 
JOS.4.4	Chamou, pois, Josué os doze homens que escolhera, dos filhos de Israel: de cada tribo um homem; 
JOS.4.5	E disse-lhes Josué: Passai diante da arca do Senhor, vosso Deus, ao meio do Jordão; e levante cada um uma pedra sobre o seu ombro, segundo o número das tribos dos filhos de Israel; 
JOS.4.6	Para que isto seja por sinal entre vós; 
JOS.4.7	Então lhes direis que as águas do Jordão se separaram diante da arca do concerto do Senhor; passando ela pelo Jordão, separaram-se as águas do Jordão: assim, estas pedras serão, para sempre, por memorial aos filhos de Israel. 
JOS.4.8	Fizeram, pois, os filhos de Israel, assim como Josué tinha ordenado, e levantaram doze pedras do meio do Jordão, como o Senhor dissera a Josué, segundo o número das tribos dos filhos de Israel, e levaram-nas consigo ao alojamento, e as depositaram ali. 
JOS.4.9	Levantou Josué, também, doze pedras, no meio do Jordão, no lugar do assento dos pés dos sacerdotes que levavam a arca do concerto; e ali estão, até 
JOS.4.10	Pararam, pois, os sacerdotes que levavam a arca, no meio do Jordão, em pé, até que se cumpriu quanto o Senhor a Josué mandara dizer ao povo, conforme a tudo quanto Moisés tinha ordenado a Josué; e apressou-se o povo, e passou. 
JOS.4.11	E sucedeu 
JOS.4.12	E passaram os filhos de Ruben, e os filhos de Gad, e a meia tribo de Manassés, armados, na frente dos filhos de Israel, como Moisés lhes tinha dito; 
JOS.4.13	Uns quarenta mil homens de guerra, armados, passaram diante do Senhor, para a batalha, às campinas de Jericó. 
JOS.4.14	Naquele dia, o Senhor engrandeceu a Josué diante dos olhos de todo o Israel; e temeram-no, como haviam temido a Moisés, todos os dias da sua vida. 
JOS.4.15	Falou, pois, o Senhor a Josué, dizendo: 
JOS.4.16	Dá ordem aos sacerdotes que levam a arca do testemunho que subam do Jordão. 
JOS.4.17	E deu Josué ordem aos sacerdotes, dizendo: Subi do Jordão. 
JOS.4.18	E aconteceu 
JOS.4.19	Subiu, pois, o povo, do Jordão, no 
JOS.4.20	E as doze pedras, que tinham tomado do Jordão, levantou Josué em Gilgal. 
JOS.4.21	E falou aos filhos de Israel, dizendo: Quando, no futuro, os vossos filhos perguntarem aos seus pais, dizendo: Que 
JOS.4.22	Fareis saber aos vossos filhos, dizendo: Israel passou em seco este Jordão. 
JOS.4.23	Porque o Senhor, vosso Deus, fez secar as águas do Jordão, diante de vós, até que passásseis; como o Senhor, vosso Deus, fez ao Mar Vermelho, que fez secar perante nós, até que passámos. 
JOS.4.24	Para que todos os povos da terra conheçam a mão do Senhor, que 
JOS.5.2	Naquele tempo, disse o Senhor a Josué: Faze facas de pedra, e torna a circuncidar, segunda vez, aos filhos de Israel. 
JOS.5.3	Então Josué fez para si facas de pedra, e circuncidou aos filhos de Israel, no monte dos prepúcios. 
JOS.5.4	E 
JOS.5.5	Porque todo o povo que saíra estava circuncidado, mas a nenhum do povo que nascera no deserto, pelo caminho, depois de terem saído do Egito, haviam circuncidado. 
JOS.5.6	Porque quarenta anos andaram os filhos de Israel pelo deserto, até se acabar toda a nação, os homens de guerra, que saíram do Egito, que não obedeceram à voz do Senhor; aos quais o Senhor tinha jurado que lhes não havia de deixar ver a terra que o Senhor jurara aos seus pais dar-nos; terra que mana leite e mel. 
JOS.5.7	Porém, em seu lugar, pôs a seus filhos; a estes Josué circuncidou: porquanto estavam incircuncisos, porque os não circuncidaram no caminho. 
JOS.5.8	E aconteceu 
JOS.5.9	Disse mais o Senhor a Josué: Hoje revolvi de sobre vós o opróbrio do Egito; pelo que o nome daquele lugar se chamou Gilgal, até 
JOS.5.11	E comeram do trigo da terra do ano antecedente, ao outro dia depois da páscoa, pães asmos 
JOS.5.12	E cessou o maná no dia seguinte, depois que comeram do trigo da terra do ano antecedente; e os filhos de Israel não tiveram mais maná; porém, no mesmo ano, comeram das novidades da terra de Canaan.
JOS.5.14	E disse ele: Não, mas venho agora 
JOS.5.15	Então disse o príncipe do exército do Senhor a Josué: Descalça os sapatos dos teus pés, porque o lugar em que estás 
JOS.6.1	ORA Jericó cerrou-se e estava cerrada, por causa dos filhos de Israel: nenhum saía nem entrava. 
JOS.6.2	Então disse o Senhor a Josué: Olha, tenho dado na tua mão a Jericó e ao seu rei, os seus valentes e valorosos. 
JOS.6.3	Vós, pois, todos os homens de guerra, rodeareis a cidade, cercando a cidade uma vez: assim fareis 
JOS.6.4	E sete sacerdotes levarão sete buzinas de carneiros diante da arca, e no sétimo dia rodeareis a cidade sete vezes; e os sacerdotes tocarão as buzinas. 
JOS.6.5	E será que, tocando-se longamente a buzina de carneiro, ouvindo vós o sino da buzina, todo o povo gritará com grande grita; e o muro da cidade cairá abaixo, e o povo subirá, cada qual em frente de si. 
JOS.6.6	Então chamou Josué, filho de Nun, aos sacerdotes, e disse-lhes: Levai a arca do concerto; e sete sacerdotes levem sete buzinas de carneiros diante da arca do Senhor. 
JOS.6.7	E disse ao povo: Passai e rodeai a cidade; e quem estiver armado passe diante da arca do Senhor. 
JOS.6.8	E assim foi, como Josué dissera ao povo; os sete sacerdotes, levando as sete buzinas de carneiros diante do Senhor, passaram, e tocaram as buzinas; e a arca do concerto do Senhor os seguia. 
JOS.6.9	E os armados iam adiante dos sacerdotes que tocavam as buzinas; e a retaguarda seguia após a arca, andando e tocando as buzinas. 
JOS.6.10	Porém, ao povo, Josué tinha dado ordem, dizendo: Não gritareis, nem fareis ouvir a vossa voz, nem sairá palavra alguma da vossa boca, até ao dia que eu vos diga: Gritai. Então, gritareis. 
JOS.6.11	E fez a arca do Senhor rodear a cidade, rodeando-
JOS.6.12	Depois, Josué se levantou de madrugada, e os sacerdotes levaram a arca do Senhor. 
