GEN.1.1	Kitu inanggayát na, ay pinarsuwa ne Dios ya lángit se iya kalawagán. 
EXO.14.2	“Kagiyan mu kadaya tolay ya magulli da, ta magkampu dala ngin kitu adanni ki bebay kitu àráng Pihahirot, kitu nagbàtán Migdol se tu Daggáng nga Bebay, kitu pane àráng kitu Baal-zefon. 
EXO.14.3	Ay díkod nán naya ári ka Egipto nga nagal-aliwagwag kayu, ay se napúkù kayu kiya ir-ir-er. 
EXO.14.4	Ay pagsukíran ku ya uray naya ári, ay díkod aplan nakayu. Ay mapadayáwan nà manin kiya angngábà ku kiya ári se kadaya suldádu na. Gapu kiyán, ay mammuwán daya iEgipto nga iyà ya APU,” nán na. Ay ittu tu kinuwa da kurug.
EXO.14.5	Ay kane kagiyan da kitu ári nga nagtálaw datu iIsrael lin, ay naulis manin tu uray na se datu uray datu ù-upisiyál na. Ay nán da, “Sinnan nu kod ya kinuwa tada! Tura tada pinapan datu iIsrael lin, ay aggída mà tu magsur-surbi kadàtada!” nán da. 
EXO.14.6	Díkod nepesagána na tu takay na, se na inayabán datu suldádu na. 
EXO.14.7	Annam gatut tu kapíyán na takay suldádu tu inalà da, ay se inalà da pe ngámin datu takay suldádu ka Egipto. Atán ap-apu ngámin dayán. 
EXO.14.8	Pinagsúkir ne APU tu uray natu ári ka Egipto. Ay díkod nagrubbuwát da ngin na mangpal kadatu iIsrael la sittuturad da magtálaw win. 
EXO.14.9	Impal datu suldádu nga iEgipto da nga sittatakay kitu kabalyu da se kadatu takay suldádu da. Uwad pe datu kabalyu natu ári se ngámin datu suldádu na. Ay sinìmát dada nga atán magkampu kitu adanni kitu bebay nga adanni pe ka Pihahirot kitu pane àráng Baal-zefon.
EXO.14.10	Ay kane umadanni tu ári kitu giyán da, ay naamawán datu iIsrael da. Ay nasingan da nga atán datu suldádu nga iEgipto nga umad-adanni kaggída. Ay díkod nagansing da tutu wala. Ay tútu nagkarárag datu iIsrael ke APU. 
EXO.14.11	Ay se da nán kitu Moses, “Taanna, tura nakami yala nippan kanedi ir-ir-er ra matay? Awan agkà kampusantu ka Egipto wa annung da pangitamnán kadakami ta? Sinnam kod ya kinuwám! Tura nakami netálaw ka Egipto! 
EXO.14.12	Ittu mà idi kammala tu nán mi kikaw win ka Egipto! Tútu kinagi mi nga bay-án nakami yala nga magsurbi kadaya iEgipto. Ta napì-piya ya magsurbi kadaya iEgipto, may ya matay kídi ir-ir-er,” nán da. 
EXO.14.13	Ngamay nán tu Moses kadatu tolay, “Bag-bagkaddan nu wala daya ur-uray nu, ay se akkan kayu wa magansing. Sinnan nu wala ya angngilísi ne APU kadakayu kídi. Ata daya iEgipto nga sisinnán nu kídi, ay áwan nu wa masingan nin kaggída nu kuwa. 
EXO.14.14	E APU ya makigubát para kadakayu. Maging-inggap kayu wala,” nán na.
EXO.14.15	Ay nán ne APU kitu Moses, “Taanna, tura ka pikam mala makiseng kiyà. Kagiyan mu kadaya tolay nga itul-túluy da la ya agdal-dalen da. 
EXO.14.16	Itáyag mu ya tàdukud mu, se mu la ibúgit kiya bebay, ta senu magtuway ya danum, ay senu magdal-dalen dala kiya namaga nga lusà nga dumalákit kiya bebay daya iIsrael. 
EXO.14.17	Ay pagsukíran ku daya uray daya iEgipto, ta senu aplan dakayu ki agbàláng nu, ay senu madáyaw wà kiya angngábà ku kiya ári se daya suldádu na se daya magtatákay kadaya takay na se daya suldádu na nga sittatakay kadaya takay da. 
EXO.14.18	Ay díkod mammuwán daya iEgipto nga iyà ya APU, nu napadayáwan nà in kiya angngábà ku kiya ári da, se daya suldádu na nga sittatakay kadaya takay na, se daya sittatakay kadaya takay da kampela ngin nin,” nán na.
EXO.14.19	Ay se la nga nagpalodi tu anghel ne Dios nga nagin-inunna kadatu iIsrael kitu agdal-dalen da. Ay tu magin-inunna kaggída nga ummán ka abay pànang nga adígi nga angap, ay nagpalodi pe. 
EXO.14.20	Atán nin kitu nagbàtán datu iIsrael se datu suldádu nga iEgipto. Ay naggìbat tu tapíngit ta padne kitu giyán datu iEgipto. Ngamay nawada tu tapíngit ta padne kitu giyán datu iIsrael. Díkod akkan makaadanni datu iEgipto kaggída.
EXO.14.21	Ay se la nga netáyag tu Moses datu íma na se nu ibúgit kitu bebay. Ay nalawagán nga pinagbáli ne APU ka naggat tutu wala nga nagpagayát ka pane lattakán, ay ittu tu namagtuway kitu danum. Namaga nga lusà tu nagtuwayyán tu danum. 
EXO.14.22	Ay díkod nanalen nala nga dummalákit datu iIsrael kitu bebay. Nanalen da kitu nagbàtán tu danum nga ummán ka darupírip kitu magpíngit kaggída. 
EXO.14.23	Ay impal datu suldádu wa iEgipto da, se datu suldádu natu ári nga sittatakay kadatu kabalyu na, se datu sittatakay kitu takay suldádu. Dumalákit da kuma pe kitu bebay. 
EXO.14.24	Ay kane danni láwa ngin, e APU nga atán kitu apuy se kitu angap, ay nasingan na datu iEgipto. Ay tútu pinagriddù nada. 
EXO.14.25	Netalatalán datu lígay datu takay da, ay tútu nasulitán da tutu wala. Ay tútu nán datu iEgipto, “Pagdita tada ngala daya iIsrael lin, ta e APU ya mangigdù kaggída kadàta nga iEgipto,” nán da.
EXO.14.26	Ay se la nga nán ne APU kitu Moses, “Itáyag mu manin daya ímam se mu ibúgit kiya bebay, ta senu magamung manin daya danum, ay senu malnap daya iEgipto nga sittatakay kadaya takay da nga suldádu se kadaya kabalyu da,” nán na. 
EXO.14.27	Ay tútu netáyag kurug tu Moses datu íma na, se na ibúgit kitu bebay. Ay tútu nagulli kammin kitu napadan na gangay na tu bebay kane pagmakát. Magtálaw kuma datu iEgipto nga nán da, ngamay linimat ne APU da ngala ngin kitu túlad tu bebay. 
EXO.14.28	Nagamung kammin tu danum, ay díkod linnap na datu takay datu suldádu se datu sittatakay kadatun, se ngámin na suldádu natu ári nga inumpal kadatu iIsrael kitu bebay. Awan nabiyág kaggída oray isa. 
EXO.14.29	Ngamay datu iIsrael, ay nagdal-dalen da ngala kitu namaga nga dálen kitu nagbàtán tu nagtuway ya danum nga ummán ka darupírip kitu magpíngit kaggída.
EXO.14.30	Ay díkod kitun na algaw, ay nigdù ne APU datu iIsrael kadatu iEgipto. Nasingan datu iIsrael kitu dappit tu bebay datu baggi datu iEgipto nga nagkakátay. 
EXO.14.31	Ay nasingan ngámin datu iIsrael tu nakas-kasdáaw wa kinuwa ne APU kadatu iEgipto. Ay díkod nagansing da se nangurug da ke APU se kitu Moses nga bobonan na.
EXO.15.1	Ay se yala nga nagkansiyon de Moses se datu iIsrael ka pagdáyaw da ke APU. Ay nán na kídi tu kansiyon da, “Magkansiyon nà ke APU gapu kiya nadáyaw wa nangábà na. Linimat na daya kabalyu se datu magtatákay kaggída ki bebay. 
EXO.15.2	E APU ya pabilgan ku. Ay aggína ya nangigdù kiyà. Aggína ya Dios ku, ay se day-dayáwan ku. Aggína pe ya Dios datu apuapu ku, ay túya ipangátù. 
EXO.15.3	E APU, ay nabílag ki gubát. Yahweh ya ngágan na. 
EXO.15.4	Nelimat na kiya bebay datu suldádu naya ári se datu takay da. Nelimat na datu karungtán na suldádu naya ári kiya Daggáng nga Bebay. 
EXO.15.5	Nalnap da. Inumlad da nga ummán ka batu. 
EXO.15.6	Naturáy se mannakabalin ya diwanán na ímam, O, APU, ta netar-tarawesáng ngala daya kalínga mu. 
EXO.15.7	Ay gapu kiya kinaturáy mu tutu wala, ay ur-úray la daya kumalínga kikaw. Gapu kiya rungat mu, ay masìdug da ngala nga ummán ki dànág. 
EXO.15.8	Oray ya aggángat mu wala, ay naurnung ya danum, ay se nagsíkád da ummán ki darupírip, ay nagsibbukal lala ya danum ki túlad bebay. 
EXO.15.9	Ay nán daya kalínga, ‘Aplan kuda. Sìmatan kuda. Abáan kuda, se ku alà daya kuw-kuwa da. Alà ku ngámin ya piyán ku kaggída. Patayan kuda ki ampiláng ku. Ya ímà mismu ya mamatay kaggída,’ nán da. 
EXO.15.10	Ay kane pagbaliyam, ay nalnap da ki bebay. Inumlad da ngala nga ummán ki buli kitu magsag-saggiyár nga danum. 
EXO.15.11	Awan mepáda kikaw APU, oray iinna nga diy-diyos. Nakas-kasdáaw ya kinadáyaw mu se kinamárum. Ay nakas-kasdáaw pe ya diláng mu se daya kuk-kuwaan mu. 
EXO.15.12	Kane ùnatan mu wala ya diwanán na ímam, ay sillan lusà da ngala. 
EXO.15.13	Gapu kiya akkan maul-ulis nga aminya mu, ay neturung mu daya tolay mu wa inalà mu. Gapu kiya pannakabalin mu, ay netur-turung muda panda kiya nasantuwán na lusà a giyán mu. 
EXO.15.14	Kane magìna da tolay ya kinuwám, ay nagansing da tutu wala. Daya umíli ka Filistia, ay magansing da. 
EXO.15.15	Ay nagansing tutu wala pànang daya agtuturáy da ka Edom. Ay nagpil-pilpig datu à-apu daya iMoab kitu ansing da tutu wala. Ay daya umíli ka Canaan, ay naawanán da ka namnáma gapu ki ansing da. 
EXO.15.16	Napalotán tu aggansing da gapu kiya napágus tutu wala nga pannakabalin mu. Ummán da tutu wala ki batu wa áwan kíni-kínin panda kiya akalíwán daya netálaw mu, O APU, nga tolay mu. 
EXO.15.17	Alà muda tolay mu, ay se muda nga paggunàan kiya bantay mu, nga ittu ya pinagbalin mu, O APU, ka pagag-agyanán se giyán mu, O APU nga ikaw kampela ngin nin ya nangwa. 
EXO.15.18	E APU ya magturáy peyapeyang ngin ka áwan panda.”
EXO.15.19	Kane atán datu kabalyu natu ári se datu takay suldádu se datu sittatakay kadatun nga manalen da kuma pe kitu namaga nga lusà, ay pinagamung kammin ne APU tu nagtuway nga danum. Ngamay datu iIsrael, ay nagdal-dalen da ngala kitu namaga nga lusà kitu bebay. 
EXO.15.20	Ay tu Miriam nga isa nga profeta nga wagi tu Aaron, ay nangalà ka kir-kirreng, ay se nala nga negayát nga magsasála datu kabbulun na nga babbay nga atán kir-kirreng pe. 
EXO.15.21	Ay se la nga nangansiyon tu Miriam. Tu idi tu kansiyon na, “Magkansiyon kayu ke APU, ta nadáyaw tutu wala ya nangábà na. Linimat na ki bebay datu kabalyu se datu magtatákay kaggída,” nán na.
EXO.15.22	Ay se la nga nirbuwát tu Moses datu iIsrael kitu Daggáng nga Bebay, se da mawe kitu ir-ir-er ka Sur. Tallu walgaw da kitu ir-ir-er may áwan da masmà nga danum. 
EXO.15.23	Ay kane dummatang da ka Mara,
EXO.15.24	Ay tútu nagríri datu tolay kitu Moses nga nán da, “Ay nágan naya inuman mi yin?” nán da. 
EXO.15.25	Ay tútu nakiseng tu Moses ke APU. Ay tútu uwad netùgud ne APU nga káyu. Inalà ne Moses tu káyu, ay se na ipisù kitu danum, ay tútu nagbalin ka namit tu danum min. Ay kitúni, ay uwad kinagi ne APU kaggída nga bílin na masápul surútan da. Ay sinisímán nada kitúni. 
EXO.15.26	Ay nán na, “Nu gìnán nu tutu wala ya kagiyan ku nga APU nga Dios nu, ay se nu kuwaan ya kustu ki agsisíngan ku, ay se nu kurugan daya lin-lintag se bil-bílin ku, ay akkan takayu pagtakitan. Akkan màwa kadakayu tu kinuwà kadatu iEgipto. Ata iyà nga APU ya mamabílag kadakayu,” nán na.
EXO.15.27	Ay se da la nga dumatang ka Elim nga giyán datu sangapúlu se duwa nga gabbuwà, se pittu púlu wa múla nga ummán ki buwa. Ay nagkampu da kitu adanni kadatu danum.
EXO.16.1	Ay nagrubbuwát manin datu ngámin na iIsrael ka Elim. Nawe da manin, ay se dala nga dummatang kitu ir-ir-er ka Sin, nga atán kitu nagbàtán Elim se Sinai. Tu algaw wa nedaddatang da kitúni, ay kitu mekasangapúlu se limma natu mekàduwa búlán panda kitu inagtálaw da ka Egipto. 
EXO.16.2	Ay ngámin da nga iIsrael, ay nagríri da kitu Moses se kitu Aaron kane atán da kitu ir-ir-er. 
EXO.16.3	Ay nán da kaggída nga duwa, “Napì-piya kuma ngala nu pinatayán nakami ne APU win kitu kowad mi pikam ka Egipto nga magbattug kadatu karni se sinápay kannán. Ngamay nilbet nakami kídi ya ir-ir-er nga matay ngámin ki bisin,” nán da.
EXO.16.4	Ay se yala nga nán ne APU kitu Moses, “Sinnam á ta pagudanan ku ka makkán. Ay inalgaw wala ya aggalà nu se daya tolay ka annung nu wala kanan ki tangalgaw. Ummán kiyán ya kuwaan ku ka paninnán ku nu ikurug da ya bílin ku onu akkan. 
EXO.16.5	Ay ya alà da kiya mekannam ma algaw, ay mamidduwa ya kaadu na kitu al-alà da ki inalgaw,” nán na. 
EXO.16.6	Ay tútu nán tu Moses se tu Aaron kadatu iIsrael, “Nu gabi, ay mammuwán nu wa e APU ya nangitálaw kadakayu ka Egipto. 
EXO.16.7	Ay nu pagmakát, ay masingan nu ya kinadáyaw ne APU, áta nagìna na ya agríri nu kaggína. Iin kami ka nán nu ta, nga ririyan nu peyang?” nán da. 
EXO.16.8	Ay nán tu Moses, “Nu gabi iddán nakayu we apu ka karni, se iddán nakayu ka sinápay nu pagmakát, ta senu mabtug kayu ki piyán nu, áta nagìna na ya nagríri nu kaggína. Ata kiya agríri nu, ay akkan dakami ya kurug ririyan nu, nu di ye APU, ta iin kami ka nán nu ta?” nán tu Moses.
EXO.16.9	Ay nán tu Moses kitu Aaron, “Kagiyan mu kadaya ngámin tolay nga umadanni da ke APU, ta nagìna na daya ríri da,” nán na. 
EXO.16.10	Ay kitu akun-oni pikam tu Aaron kadatu tolay ay linam-aw datu tolay tu ir-ir-er. Ay nasingan datu diláng ne APU kitu angap. 
EXO.16.11	Ay nakiamomán ne APU kitu Moses nga nán na, 
EXO.16.12	“Nagìna ku ya agríri daya tolay. Kagiyan mu kaggída nga nu masirbut tin ya mata, ay mangán da ngin ka karni. Ay nu pagmakát, ay mabtug da pe a sinápay, ta senu ammuwán da ngámin na iyà ya APU nga Dios da,” nán na.
EXO.16.13	Ay kane din na gid-gidám min, ay adu tutu wala datu ammà a naglalbet kitu giyán datu báwi da. Ay nalokop tu kampu da kaggída. Ay kane pagmakát adu lapáat kitu giyán datu báwi da. 
EXO.16.14	Ay kane umawan datu lapáat, ay atán kitu útun lusà ya pus-pusà a bibittì a ummán ka ning-ingpit ta papel. 
EXO.16.15	Ay kane masingan datu tolay tun, ay nán da kitu isaisa kaggída, “Nágan dedi?” nán da. Ata akkan da ammu nu nágan datun. Ay nán tu Moses kaggída, “Sinápay yán na nidde ne APU kadakayu ka kanan nu. 
EXO.16.16	Ay tu idi ya bílin ne APU kadakayu, ‘Maggalà ya isaisa kadakayu sigun kiya annung na kanan. Ipànung nu wala kiya kaadu nu kiya isa nga báwi. Gudduwa salup ki kada isa tolay,’ nán na” nán tu Moses. 
EXO.16.17	Ay ittu kurug tu kinuwa datu tolay. Uwad kaggída datu naggalà ka nasurù kitu masápul da, ay uwad kaggída datu kúráng tu inalà da. 
EXO.16.18	Ngamay kane salupan da ngin, ay áwan sur-surù onu kur-kúráng datu inalàán da. Nepà-pakustu wala kadatu masápul da. 
EXO.16.19	Ay nán tu Moses kaggída, “Akkan kayu mangibunna kiyán,” nán na. 
EXO.16.20	Ngamay akkan da nga kinur-kurug tu Moses. Díkod nangibunna datu duddúma kaggída. Ay naagtán se nabuyù tu nebunna da. Ay tútu nalùsaw tu Moses kaggída. 
EXO.16.21	Kada pagmakát, ay maggalà da kitun sigun la ngin kitu annung da nga kanan. Ay nu natà-takit sínág gin, ay marúnát pe yin.
EXO.16.22	Ay ya alà da kiya mekannam ma algaw, ay mamidduwa ya kaadu na kitu inalgaw wa alà da. Agtangasalup ya kada isa tolay kaggída. Ay kane umbet datu pangmanàman datu tolay kitu Moses ta saludsúdan da kaggína nu taanna, 
EXO.16.23	ay nán tu Moses kaggída, “Tu idi ya nán ne APU, ‘Kaláwa ay algaw wa pinaggiimáng. Nasantuwán yán na algaw para ke APU. Túya lutuwan nu ngámin nin daya masápul nu. Ay daya bunna nu, ay iarimán nu ka para kaláwa,’ nán na,” nán tu Moses. 
EXO.16.24	Ay díkod nangibunna da nga ummán kitu kinagi tu Moses kaggída. Ay akkan naagtán se akkan nabuyù datu bunna da. 
EXO.16.25	Ay nán tu Moses kaggída, “Kanan nu kídi nga algaw datu bunna nu. Awan nu masmà kiyán kiya lasi, áta kídi nga algaw ay algaw panaggimáng ne APU. 
EXO.16.26	Annam ma algaw ya aggalà nu kiyán, ngamay kiya mekapittu wa algaw nga ittu ya algaw wa pinaggiimáng, ay áwan nu wa masmà,” nán tu Moses. 
EXO.16.27	Ay kitu mekapittu wa algaw uwad kaggída datu nawe kammala nga maggalà kuma kitun na akakkanan. Ngamay áwan da nga nasmà. 
EXO.16.28	Ay tútu nán ne APU kitu Moses, “Nungay na ya angikurug nu tutu wala kadaya bil-bílin ku se daya lin-lintag ku kadakayu? 
EXO.16.29	Sinnan nu kod! Nidde ne APU kadakayu ya algaw wa pinaggiimáng. Túya kiya mekannam ma algaw, ay nidde na kadakayu ya kanan nu kiya duwa algaw. Ay túya magyán kayu wala kiya unag báwi nu kiya mekapittu wa algaw.” 
EXO.16.30	Ay tútu nagimáng datu tolay kitu mekapittu wa algaw.
EXO.16.31	Ay nepangágan datu iIsrael tun na akakkanan ka “mána.” Ummán ka bì-bitì a buk-bukal nga pus-pusà tu singan na tun. Ay ya ramán na, ay ummán ka ramán naya ning-ingpit ta sinápay ya napayán ka digu. 
EXO.16.32	Ay nán tu Moses kadatu tolay, “Tu idi ya bílin ne APU. ‘Mangisirù kayu ka gudduwa salup kiyán na akakkanan, ta senu masingan daya ngámin gakagaka nu. Díkod masingan da nu wà ummán naya akakkanan na nepakkán ku kadakayu kiya ir-ir-er kitu nangitálaw ku kadakayu ka Egipto,’ nán na,” nán tu Moses. 
EXO.16.33	Ay nán tu Moses kitu Aaron, “Mangalà ka ka bánga ka pangippayán mu ka gudduwa salup kiya mána, ay se mu la ippáy ki àráng ne APU, ta isirù tada para kadaya gakagaka tada,” nán tu Moses. 
EXO.16.34	Ay nippáy natu Aaron tu tangabánga nga mána kitu àráng natu arko nga giyán natu nekesurátán datu bil-bílin ne APU Dios, ta iarimán da nga ummán kitu nebílin ne APU kitu Moses. 
EXO.16.35	Appát púlu dagun na nagkán datu iIsrael kitu mána panda kitu nedaddatang da kitu giyán nga annung da paggunàán, kitu panda natu íli Canaan. 
EXO.16.36	(Ya gudduwa salup, ay pagkapúlu natu iggugukud da kitun).
EXO.17.1	Nagtálaw datu iIsrael kitu ir-ir-er ka Sin, ay se da nga mawe ka Refidim. Namin-adu da nga nagsin-sínang, ta ittu tu bílin ne APU. Ay kane dumatang da ka Refidim, ay nagkampu da manin. May áwan da pagsàduwán kitúni. 
EXO.17.2	Ay tútu nagríri manin datu tolay kitu Moses nga nán da, “Wàna giyán danum ma inuman mi?” nán da. Ay tútu nán tu Moses kaggída, “Tura dà pabasúlan peyang ta? Tura nu peyang pe tistíngan ne APU?” nán na. 
EXO.17.3	Ngamay datu tolay, ay sikkinum da tutu wala, ay tútu magríri da kitu Moses nga nán da, “Tura nakami yala netálaw ka Egipto ta? Ta senu patayan nakami se daya annánà mi se daya an-animál mi ki awwaw mi!” nán da. 
EXO.17.4	Ay tútu nakiseng manin tu Moses ke APU nga nán na, “Nágan naya pamàyanán ku kadedi tolay yi? Tagay dà tùtoán nin na patayan!” nán tu Moses. 
EXO.17.5	Ngamay nán ne APU kitu Moses, “Ayabán mu daya pangmanàman daya tolay, ay se kayu maginunna kadaya tolay. Ay alà mu pe tu tàdukud mu wa nebadit mu kitu wángag Nile. 
EXO.17.6	Mawe kayu ka Horeb. Idaggán taka kitúni kitu giyán tu batu kitúni. Baditán mu tu batu, ay gumbuwà ya danum nga ittu ya inuman daya tolay,” nán na. Ay ittu kurug tu kinuwa tu Moses kitu pagmar-marngán datu pangmanàman datu iIsrael. 
EXO.17.7	Ay nepangágan tu Moses tun na giyán ka Massa se Meriba,
EXO.17.8	Ay kitu kowad da ka Refidim, ay inumbet datu Amalekeo, ay se da ginubát datu iIsrael. 
EXO.17.9	Ay nán tu Moses kitu Josua, “Magpíli ka kadaya lalláki ta mawe kayu makigubát kadaya Amalekeo. Kaláwa, ay mawe yà a magsisíkád kitu otun tu bantay, ay se ku itatáyag ya tàdukud da pinálà APU kiyà,” nán na. 
EXO.17.10	Ay kinuwa kurug natu Josua tu kinagi tu Moses kaggína, ay se nawe nakigubát kadatu Amalekeo. Ay tu Moses se tu Aaron se tu Hur, ay nawe da nanùdu kitu bantay. 
EXO.17.11	Ay nu itatáyag tu Moses datu íma na, ay mangábà datu iIsrael. Ngamay nu ianìgad nada, ay datu Amalekeo datu mangábà. 
EXO.17.12	Ngamay nakásay pe yin datu íma tu Moses. Díkod tu kinuwa da, ay nangalà da ka batu wa nagtugawán na, ay se netatáyag tu Aaron se tu Hur datu íma tu Moses. Nagsissaán da datu íma na. Díkod netatáyag datu íma na panda kitu masirbut tu mata ngin. 
EXO.17.13	Ay tútu inábà de Josua datu Amalekeo.
EXO.17.14	Ay se la nga nán APU kitu Moses, “Isúrát mu idi ki libru ka panamdammán nu, ay se ikagim ke Josua: Ippà ku tutu wala daya Amalekeo kídi kalawagán, senu áwan makadamdam kaggída ngin,” nán na. 
EXO.17.15	Ay tútu nangwa tu Moses ka annìdúgán ka pagbasu. Ay nepangágan na ka “E APU ya banderà.” 
EXO.17.16	Ata nán na nga, “Itáyag ku ya bandera
EXO.18.1	Ay tu Jetro nga pádi ka Midian nga katugángan tu Moses, ay nagìna na ngámin datu kinuw-kuwa ne APU para kitu Moses se kadatu iIsrael nga tolay na. Nagìna na nu mapaanna tu nangngitálaw ne APU kadatu iIsrael ka Egipto. 
EXO.18.2+EXO.18.3+EXO.18.4	Ay kane papannan tu Moses tu Zipora nga atáwa na se datu duwa nga annánà da nga lalláki, ay inalà kammin natu Jetro da. Ya ngágan natu isa nga an-anà na, ay Gersom (áta nán tu Moses nga, “Gapu ta agtangeli yà ka nakaru,” nán na.) Ay ya ngágan tu isa, ay Eliezer (áta nán tu Moses nga, “Ya Dios datu apuapu ku ya sinummeng kiyà. Nelísi nà kitu aggasippatay natu ári kiyà,” nán na). 
EXO.18.5	Ay inumbet tu Jetro nga katugángan tu Moses kitu giyán de Moses kitu ir-ir-er nga ittu tu nagkampuwán da kitu adanni kitu bantay ne APU. Kabulun na tu atáwa Moses se datu duwa nga annánà na. 
EXO.18.6	Nepekagi na kitu Moses nga nán na, “Atán umbet nge Jetro nga katugángam. Kabulun na ya atáwam se daya duwa nga annánà nu,” nán na. 
EXO.18.7	Ay tútu nawe Moses sa nanabat kitu katugángan na, se nagukkab ka angrispitár na kaggína, ay se na inumàán. Nagkikinnumusta da, ay se dala nga nawe kitu báwi natu Moses. 
EXO.18.8	Ay se yala kinagi natu Moses kitu katugángan na ngámin datu kinuw-kuwa ne APU kitu ári datu iEgipto se kadatu iEgipto gapu kadatu iIsrael. Kinagi na pe datu ngámin na nagrig-rigátan da kitu dadalenán, se datu ngámin na nesisseng ne APU kaggída gapu kadatun. 
EXO.18.9	Ay naganggam tu Jetro gapu kadatun na napiya nga kinuw-kuwa ne APU para kadatu iIsrael, se itu nangitálaw na kaggída kadatu iEgipto.
EXO.18.10	Ay nán tu Jetro, “Maday-dáyaw we APU wa ittu ya nangilísi kadakayu kadatu iEgipto se kitu ári da. 
EXO.18.11	Kídi, ay ammu ku win na e APU, ay nangátu may ngámin daya diy-diyos. Ata nelísi na daya tolay na kadatu iEgipto nga ittu datu mangirupat tutu wala kaggída,” nán na. 
EXO.18.12	Ay se la nga nagbasu tu Jetro nga katugángan tu Moses ka sinìdug ga pagbasu ka pagdáyaw na ke Dios. Ay inumbet tu Aaron nga kabulun na datu pangmanàman datu iIsrael, ay se da nepangán kitu katugángan tu Moses kitúni nga nagdayáwan da ke Dios.
EXO.18.13	Ay kane láwa na, ay ginayatán tu Moses tu nagar-ariglu kadatu ríriríri datu tolay kadatu isaisa kaggída. Ginayatán na kitu pagmakát panda tutu wala kitu gabi yin. 
EXO.18.14	Ay kane masingan natu katugángan na tun na kuk-kuwaan na para kadatu tolay, ay nán na, “Nágan naya kuk-kuwaan mu? Taanna, tura ka sissa la nga mangwa kiyán para kadaya ngámin tolay? Ay manangalgaw kayu tutu wala se daya tolay!” nán na. 
EXO.18.15	Ay nán tu Moses kitu katugángan na, “Ata nu atán piyán dedi tolay ya ammuwán nu nágan naya piyán Dios, ay iyà ya kapannán da. 
EXO.18.16	Ay nu atán ríri naya isa kiya isa, ay iyà pe ya kapannán da se iyà ya mangguwes kaggída, ay se ku ipakammu kaggída ya bílin ne Dios se daya lin-lintag na,” nán tu Moses. 
EXO.18.17	Ay nán tu katugángan na kaggína, “Akkan napiya ya angwa mu. 
EXO.18.18	Unawán mu ya baggim kampela ngin nin se daya tolay. Nadammat pànang yán na ubra. Akkan mu mabalin pagasissaan yán. 
EXO.18.19	Gìnán nà ta law-lawagán taka. Ay sengán naka pe ye Dios. Ikaw ya mangiúni kadaya tolay ke Dios. Ay ikaw pe ya mangiamomán ke Dios kadaya ríri naya isa kiya isa kaggída. 
EXO.18.20	Ay ikaw pe ya magtùgud kaggída kadaya bil-bílin se lin-lintag ne Dios. Itùgud mu pe daya napiya nga sur-surútan da se daya napiya nga kuwaan da. 
EXO.18.21	Ngamay magsápul ka pe kada tolay nga annung da ya mangiapu. Pilíyam daya tolay ya managgansing ke Dios se daya mapiyár se daya akkan mabalin pasùsúán. Ay ittu dayán daya ippáy mu wa mangiapu kadaya tolay. Atán pangiapuwan mu ka maríbu, atán mangiapu magatut, se atán mangiapu ka limma púlu se atán mangiapu ka sangapúlu. 
EXO.18.22	Ittu dayán nin daya mangguwes peyang ngin kadaya tolay. Daya nadammat ta kásu, ay ittu dayán daya ilbet da kikaw. Ay nu daya bibittì a kásu, ay aggída kampela ngin nin ya makammu. Sengán daka kiya ubra, ay díkod malaptán ka. 
EXO.18.23	Ay nu pakunán mu kídi, sigun kiya piyán pe ne Dios nga kuwaan mu, ay akkan ka masulitán, ay se makaru pe nga maariglu daya tolay. Díkod makappan daya tolay pe yin na makaru kadaya babbabalay da nga napiya uray.”
EXO.18.24	Ginìna tu Moses datu kinag-kagi natu katugángan na. Ay kinuwa na kurug ngámin datu kinag-kagi na. 
EXO.18.25	Nagpíli kurug tu Moses ka lalláki kadatu iIsrael nga makabaal kitu ubra, ay se nada pangiapuwan kadatu tolay. Atán da tu mangiapu ka maríbu tolay, atán datu mangiapu ka magatut, atán mangiapu ka limma púlu tolay, ay se atán da mangiapu ka sangapúlu tolay. 
EXO.18.26	Aggída datu bíláng guwes datu tolay. Aggída kampela ngin tu mangguwes kadatu bittì ala nga kásu. Ay datu nadammat ta kásu, ay ittu datu nilbet da kitu Moses. 
EXO.18.27	Akkan nabayág panda kitun, ay nawe pe yin tu Jetro kitu íli na, ay pinarbuwát natu Moses sin.
EXO.19.1+EXO.19.2	Nagtálaw datu iIsrael ka Refidim. Ay kitu munna nga algaw kitu mekàlu búlán panda kitu inagtálaw datu iIsrael ka Egipto, ay dummatang da kitu ir-ir-er kitu bantay Sinai. Ay nagkampu da kitu adanni kitu bantay. 
EXO.19.3	Ay nanùdu tu Moses sa mawe makiamomán ke Dios. Ay kinumraw we APU kaggína kitu bantay nga nán na, “Kagiyam idi kadaya iIsrael nga gakagaka natu Jacob: 
EXO.19.4	Nasingan nu datu kinuwaán ku kadatu iEgipto. Ay se sikkaammu kayu kiya nangippan ku kadakayu kanedi. Arig ku ya karabúngan na nangikáyab kadakayu kanedi. 
EXO.19.5	Ay díkod nu kurugan nu daya kag-kagiyan ku se akkan nu paglikudán ya nagkakariyán tada, ay dakayu daya tolay ku. Kuw-kuwà ya ngámin kalawagán, ngamay dakayu ya idum-dúmà tutu wala kadaya ngámin tolay. 
