MAT.1.1	Jézi Kwi sé désandan Wa David épi désandan Abrahanm. Mi non jennenwasyonʼy:
MRK.9.38	Jan di Jézi, “Mèt, nou wè an nonm ki ka sèvi nonʼw pou i sa tiwé vyé lèspwi épi nou diʼy i pa pou fè sa, paski i pa menm konpanni épi nou.”
MRK.9.39	Jézi wéponn li, “Sé pa pou ou doubout li, paski pyèsonn ki fè an miwak an non mwen pa sa adan an lòt mouman di anyen ki mal kont mwen, 
MRK.9.40	paski moun-an ki pa kont nou-an, i pou nou. 
MRK.9.41	Èk si pyèsonn baʼw an pòt dlo pou ou sa bwè paski ou ka swiv mwen, mwen ka diʼw lavéwité, Bondyé kay péyé moun sala viwé.”
MRK.9.42	“Si pyèsonn fè yonn adan sé piti sala ki ka kwè an mwen-an abandonnen lafwa yo, i té kay pli mèyè pou moun sala si yo té jétéʼy an lanmè-a épi an gwo wòch mawé oliwon kouʼy. 
MRK.9.43	Si lanmenʼw ka annékòz ou péché, koupéʼy. I pli mèyè pou ou sa antwé an syèl enfim pito ou ni toulé dé lanmenʼw èk ou alé lanfè, koté difé-a pa ka janmen tenn. [ 
MRK.9.44	La sé vè-a pa ka mò pyès épi difé-a pa ka janmen tenn.] 
MRK.9.45	Si pyéʼw ka annékòz ou péché, koupéʼy. I pli mèyè pou ou sa antwé an syèl san dé pyéʼw pito ou ni toulé dé épi yo voyéʼw lanfè. [ 
MRK.9.46	La sé vè-a pa ka mò pyès épi difé-a pa ka janmen tenn.] 
MRK.9.47	Épi si zyéʼw ka annékòz ou péché, tiwéʼy. I pli mèyè pou ou sa antwé an syèl épi yon zyé pito ou ni toulé dé épi yo voyéʼw lanfè 
MRK.9.48	koté sé vè-a pa ka janmen mò épi difé-a pa ka janmen tenn.
MRK.9.49	“Zòt tout kay sizonnen épi difé. 
MRK.9.50	Sèl sé an bon bagay, mé si i ja pèd sistans li, ki mannyè ou sa fèʼy salé ankò? Sizonnen kòʼw épi pawòl Bondyé épi viv an lapé épi yonn a lòt.”
MRK.10.1	Kon sa Jézi kité plas sala épi i janbé Lawivyè Jouden épi i alé an pawès Joudiya. Ankò la té ni an chay moun ki vini otiʼy, épi kon i ni labitid, i enstwi yo.
MRK.10.2	Déotwa Fawizyen vini koté i té yé-a épi yo té ka gadé pou wè si i té kay palé kont lwa Moziz-la. Épi yo mandéʼy, “Ès si lwa-a ka bay an nonm pèwmi pou i sa dévosé madanm li?”
MRK.10.3	Jézi wéponn, “Ki sa Moziz té konmandé zòt?”
MRK.10.4	Yo di, “Moziz té ban nou pèwmi pou nou sa bay madanm-lan an papyé ka moutwé i ja dévosé, épi apwé sa ou sa voyéʼy alé.”
MRK.10.5	Jézi wéponn yo, “Moziz ékwi lwa sala paski tjè zòt té wèd. 
MRK.10.6	Mé an koumansman-an, tan-an Bondyé té fè latè épi syèl, lévanjil-la di, ‘I té fè yo nonm épi madanm. 
MRK.10.7	Épi pou wézon sala an nonm kay kité kay papaʼy épi manmanʼy épi i kay wèsté épi madanm li, 
MRK.10.8	épi yo dé-a kay viv kon yonn.’ Kon sa yo pa dé moun ankò, mé yo sé yonn. 
MRK.10.9	Kon sa si Bondyé ja mété dé moun ansanm, nonm pa sipozé sépawé yo.”
MRK.10.10	Lè yo viwé an kay-la, sé disip-la mandé Jézi pou èspliké sa i té di-a konsèné dévosé. 
MRK.10.11	Jézi di yo, “Nonm-lan ki kité madanm li-a épi i mayé épi an lòt sé yon adiltè. 
MRK.10.12	Épi si madanm-lan dévosé mawiʼy épi i mayé an lòt nonm i sé an adiltè osi.”
MRK.10.13	Déotwa moun mennen manmay bay Jézi pou i pasé lanmen bennédiksyon asou yo, mé sé disip-la di sé moun-an, “Pouki zòt ka mennen sé manmay sala pou anbété mèt-la kon sa?”
MRK.10.14	Lè Jézi wè sa yo té ka fè-a, i pa té sòti kontan. I di sé disip li-a, “Kité sé manmay-la vini jwenn mwen épi pa anpéché sé moun-an mennen yo ban mwen, paski sé moun ki kon sé manmay sala ki kay vini anba kondwit Bondyé. 
MRK.10.15	Mwen ka diʼw lavéwité, pyèsonn ki pa kité Bondyé kondwi yo kon sé ti manmay sala ka fè-a pa kay janmen vini anba kondwit Bondyé.” 
MRK.10.16	Épi i pwan sé manmay-la an bwaʼy, i mété lanmenʼy asou yo épi i benni yo.
MRK.10.17	Kon Jézi pati asou chimenʼy, an nonm kouwi vini jwenn li épi i ajounou douvanʼy. Nonm-lan mandé Jézi, “Bon mèt, ki sa mwen ni pou fè pou mwen sa ni lavi étonnèl?”
MRK.10.18	Jézi wéponn li, “Pouki ou ka di mwen bon? Apa di Bondyé, pyèsonn pa bon. 
MRK.10.19	Ou konnèt sé konmandman-an: Pa pou tjwé, pa pou fè adiltè, pa pou vòlè, pa pou mennen fo témwen, pa kwennen moun pou ou sa pwan bagay yo, wèspèkté manmanʼw épi papaʼw.”
MRK.10.20	Épi nonm-lan di, “Mèt, dépi lè mwen ti gason mwen ka obéyi tout sé konmandman sala.”
MRK.10.21	Jézi gadéʼy épi lanmityé an tjèʼy épi i di, “Ou ka mantjé an sèl bagay. Alé vann tout sa ou ni épi bay sé maléwé-a lajan-an épi ou kay ni wichès an syèl. Apwé ou fè sa, ou kay swiv mwen pou bon.”
MRK.10.22	Lè Jézi di sa, fidji nonm-lan tonbé menm kon moun ki an lapenn. Épi i alé asou chimenʼy tou an lapenn, paski i té benyen wichès.
MRK.10.23	Jézi tounen oliwon épi i gadé sé disip li-a épi i di yo, “I difisil pou moun ki ni wichès vini anba kondwit Bondyé.”
MRK.10.24	Sé disip-la té sipwi pou tann sa Jézi té di-a. Mé Jézi wépétéʼy ankò, “Manmay, i difisil pou vini anba kondwit Bondyé. 
MRK.10.25	I pli ézé pou an kanmèl pasé adan an zyé an zédjwi pasé an nonm ki wich vini anba kondwit Bondyé.”
MRK.10.26	Sé disip-la té pli sipwi toujou épi yo di anpami yo menm, “Ében, ki moun ki sa ni lavi étonnèl?”
MRK.10.27	Jézi gadé yo épi i di, “Épi nonm i enposib, mé pa épi Bondyé. Tout bagay posib épi Bondyé.”
MRK.10.28	Pita di Jézi, “Nou ja kité tout bagay pou nou sa swiv ou!”
MRK.10.29	Jézi wéponn, “Mwen ka diʼw lavéwité, pyès moun ki ja kité kay li ében fwèʼy ében séséʼy ében manmanʼy ében papaʼy ében ich li ében tèʼy pou lapéti mwen épi Bon Nouvèl-la 
MRK.10.30	kay wisivwè yon san fwa pli an tan sala. I kay wisivwè pli kay, fwè, sésé, manman, manmay épi tè — èk épi yo i kay jwenn an chay pèsikasyon, épi an tan pou vini-an, lavi étonnèl. 
MRK.10.31	Mé an chay moun ki pwèmyé kay vini dènyé épi an chay ki dènyé kay vini pwèmyé.”
MRK.10.32	Yo té asou chimen-an ka mouté Jérouzalèm épi Jézi té ka maché douvan. Sé disip-la té twoublé an tjè yo, épi sé lézòt-la ki té ka swiv yo-a té pè. Ankò Jézi kwiyé douz disip li-a asou koté épi i di yo ki sa ki té kay wivéʼy. 
MRK.10.33	I di yo, “Nou ka mouté Jérouzalèm, épi mwen Gason Lézòm kay tonbé anba pouvwa sé chèf pwèt-la épi sé titja lwa sé Jwif-la. Yo kay pasé jijman asou mwen ki kay di mwen sipozé mò, épi yo kay délivwé mwen bay moun ki pa Jwif, 
MRK.10.34	ki kay motjé mwen épi yo kay kwaché asou mwen, yo kay bat mwen épi kay tjwé mwen. Épi apwé twa jou, mwen kay wésisité hòd lanmò.”
MRK.10.35	Jan épi Jémz, sé gason Zèbèdi-a, vini épi yo di Jézi, “Mèt, nou vlé ou fè bagay-la nou kay mandéʼw-la ban nou.”
MRK.10.36	Jézi wéponn yo, “Ki sa zòt vlé mwen fè bay zòt?”
MRK.10.37	Yo diʼy, “Lè ou kay asid kon wa an pouvwa Papaʼw, nou vlé ou kité nou asid épiʼw yonn asou lanmen dwèt ou épi lòt-la asou lanmen gòch ou pou nou sa kondwi épiʼw.”
MRK.10.38	Jézi di yo kon sa, “Zòt pa menm sav ki sa zòt ka mandé pou-a. Ès si zòt kay sa bwè an pòt soufwans-lan mwen oblijé bwè-a? Ében ès si zòt kay sa batizé menm kon batenm lanmò-a mwen oblijé batizé-a?”
MRK.10.39	Yo wéponn, “Wi, nou sa fèʼy.”
MRK.10.39	Jézi di yo kon sa, “Zòt kay bwè an pòt soufwans-lan mwen oblijé bwè-a épi batizé an batenm lanmò-a mwen oblijé batizé-a. 
MRK.10.40	Mé sé pa mwen ki kay di ki moun ki kay asid asou lanmen dwèt épi lanmen gòch mwen. Sé Bondyé ki kay di ki moun ki kay asid la épi kondwi épi mwen. Okontwè i ja désidé ki moun sa kay yé.”
MRK.10.41	Lè sé lézòt dis disip-la tann sa, yo lévé faché kont Jémz èk Jan.
MRK.10.42	Jézi kwiyé sé disip li-a ansanm épi i di, “Zòt sav ki mannyè moun ki sipozé kondwi sé lézòt nasyon-an ka fè kouman? Dépi yo wivé adan an pozisyon pou yo sa kondwi, yo ka fè tout moun ki anba yo sav sé yo ki mèt. 
MRK.10.43	Sé pa kon sa i kay yé anpami zòt. Si zòt pyès vlé ni lotowité anlè sé lézòt-la, ou kay ni pou sèvi yonn a lòt sèvant. 
MRK.10.44	Épi si yonn vlé sé li ki pwèmyé, kitéʼy abésé kòʼy épi vini sèvant zòt tout. 
MRK.10.45	Menm kon mwen Gason Lézòm pa té vini pou sèvi moun kon sèvant mwen. Mwen vini pou sèvi moun sèvant épi pou mwen bay lavi mwen pou mwen sa fè an chay moun viv.”
MRK.10.46	Jézi èk sé disip li-a épi an gwan konpanni moun wivé an vil Jèriko. La té ni on nonm avèg nonʼy sété Batiméyòs gason Timéyòs, épi kon yo té ka kité vil-la i té asid bò chimen-an ka mandé lachawité. 
MRK.10.47	Lè i tann Jézi ki sòti Nazawèt té la, i koumansé andjélé, “Jézi! Gason Wa David, ni konpasyon asou mwen!”
MRK.10.48	An chay moun ki té la diʼy kon sa, “Pouki ou ka andjéléʼy kon sa? Doubout bétiz ou-a.”
MRK.10.48	Mé sé pli fò i ka andjélé, “Gason Wa David, ni konpasyon asou mwen!”
MRK.10.49	Jézi doubout épi i di, “Kwiyéʼy ban mwen.”
MRK.10.49	Kon sa yo kwiyé nonm avèg-la. Sé moun-an diʼy, “Pwan tjè. Doubout. I ka kwiyéʼw.” 
MRK.10.50	Batiméyòs tiwé gòl li vitman épi i voyéʼy asou koté, i soté asou dé pyéʼy épi i vini douvan Jézi.
MRK.10.51	Jézi mandéʼy, “Ki sa ou vlé mwen fè baʼw?”
MRK.10.51	Batiméyòs wéponn, “Mèt, mwen vlé wè klè ankò.”
MRK.10.52	Jézi diʼy kon sa, “Pou mannyè ou kwè an mwen, mwen ja djéwiʼw. Ou sa alé apwézan.” Épi la menm i vini wè klè épi i pati an lawout-la èk Jézi.
MRK.11.1	Jézi épi sé disip li-a, kon yo apwoché Jérouzalèm, yo wivé vilaj Bèfaj épi vilaj Bèfanni, bòdaj mòn-an yo ka kwiyé Mòn Òliv. Jézi voyé dé an sé disip-la douvan yo, 
MRK.11.2	épi i di yo, “Alé an vilaj-la ki douvanʼw-lan, épi kon ou ka antwé an vilaj-la ou kay wè an jenn bouwik mawé la, yonn pyèsonn pa janmen mouté. Démawéʼy épi mennenʼy isi-a. 
MRK.11.3	Si pyèsonn diʼw, ‘Pouki ou ka fè sa?’ diʼy, ‘Senyè-a bizwenʼy épi i kay voyéʼy viwé baʼw talè.’ ”
MRK.11.4	Kon sa yo alé épi yo jwenn an jenn bouwik ki té mawé bò lapòt-la épi i té doubout an chimen-an. Kon yo démawéʼy, 
MRK.11.5	déotwa moun ki té ka doubout la mandé yo, “Pouki zòt ka démawé bouwik sala?” 
MRK.11.6	Yo wéponn menm kon Jézi té di yo pou wéponn, épi sé moun-an kité yo alé. 
MRK.11.7	Lè yo mennen jenn bouwik-la bay Jézi épi yo té ouvè kanmizòl yo asouʼy, Jézi asid asouʼy. 
MRK.11.8	An chay sé moun-an té ouvè kanmizòl yo asou chimen-an, épi lòt moun té simen bwanch yo té koupé an sé pyé bwa-a adan savann-an. 
MRK.11.9	Sé moun-an ki té alé douvan-an épi sé sa ki té ka swiv Jézi-a andjélé,
MRK.11.9	“Annou glowifyé Bondyé!”
MRK.11.9	“Ou vini an non Senyè-a, ou benni.”
MRK.11.10	“Bondyé benni gouvèdman-an i établi anba kondwit gwanpapa nou Wa David, paski gouvèdman sala ka vini ankò.”
MRK.11.10	“Nou ka glowifyé Bondyé ki an syèl pou sa!”
MRK.11.11	Jézi antwé Jérouzalèm épi i alé an Kay Bondyé-a. I gadé tout bagay ki té oliwonʼy, mé paski i té ja ta i viwé an vilaj Bèfanni épi sé douz disip-la.
MRK.11.12	An li denmen, kon yo té ka kité Bèfanni, Jézi té fen. 
MRK.11.13	I wè adan an ti distans an pyé fwi ki té kouvè épi fèy, kon sa i alé gadé si i té sa jwenn pyès fwi asouʼy. Mé lè i wivé la, pyé-a té ni fèy sèlman paski i pa té tan kalité fwi sala. 
MRK.11.14	Jézi di pyé-a, “Pyèsonn pa kay janmen manjé fwi adanʼw ankò!” Épi sé disip-la tann lè i di sa-a.
MRK.11.15	Lè yo wivé Jérouzalèm, Jézi alé an Kay Bondyé-a épi i koumansé voyé dèwò sé moun-an ki té ka vann épi achté bagay andidan-an. I maté sé tab-la sé moun-an té ka chanjé lajan-an épi sé chèz-la sé moun-an té ka sèvi pou vann toutwèl-la. 
MRK.11.16	I anpéché pyèsonn pasé épi machandiz an lakou Kay Bondyé-a. 
MRK.11.17	Épi i di yo kon sa, “I ékwi an lévanjil, ‘Moun kay kwiyé kay mwen an plas tout nasyon kay sèvi pou pwédyé.’ Mé zòt ja fèʼy an kay koté vòlè ka séwé.”
MRK.11.18	Lè sé chèf pwèt-la épi sé titja lwa sé Jwif-la tann sa, yo koumansé gadé an mannyè pou yo té sa tjwéʼy. Yo té pè Jézi paski tout sé moun-an té kontan tann mannyè i té ka enstwi-a.
MRK.11.19	Lè sòlèy té ka kouché, Jézi épi sé disip li-a kité vil Jérouzalèm.
MRK.11.20	An li bonmaten, kon yo té ka pasé asou chimen-an, yo wè menm pyé fwi-a té mò nèt. 
MRK.11.21	Pita té chonjé ki sa ki té fèt-la épi i di Jézi, “Mèt! Gadé! Pyé fwi-a ou modi-a mò nèt!”
MRK.11.22	Jézi wéponn yo, “I nésésè pou ou sa kwè an Bondyé. 
MRK.11.23	Mwen ka diʼw lavéwité, si pyèsonn di mòn sala, ‘Alé, jété kòʼw an lanmè-a,’ épi ou diʼy èk tout tjèʼw, épi ou kwè sa ou di-a kay fèt, mwen ka diʼw i kay fèt baʼw. 
MRK.11.24	Sé pou wézon sala mwen diʼw, lè ou pwédyé épi ou mandé Bondyé an bagay, ou ni pou kwè ou ja jwenn li, épi Bondyé kay baʼw népòt bagay ou mandéʼy pou. 
MRK.11.25	Épi lè ou doubout pou ou pwédyé, ou ni pou pawdonnen népòt moun ki ja fèʼw ditò. Lè ou fè sa, Papaʼw an syèl kay pawdonnen péchéʼw osi. [ 
MRK.11.26	Si ou pa ka pawdonnen lézòt, Papaʼw an syèl pa kay pawdonnenʼw nonplis.]”
MRK.11.27	Yo viwé Jérouzalèm ankò épi patan Jézi té ka maché an lakou Kay Bondyé-a, sé chèf pwèt-la, sé titja lwa sé Jwif-la épi sé ofisyé légliz-la vini wè Jézi. 
MRK.11.28	Yo mandéʼy, “Ki dwa ou ni pou ou fè sé bagay sala? Ében ki moun ki baʼw pouvwa pou ou sa fè sa?”
MRK.11.29	Jézi wéponn yo, i di, “Mwen kay mandé zòt an sèl kwèsyon épi si zòt wéponn mwen, mwen kay di zòt ki dwa mwen ni pou fè sé bagay sala. 
MRK.11.30	Di mwen, ki moun ki té voyé Jan Batis batizé? Ès si sé Bondyé ében ès si sé nonm?”
MRK.11.31	Yo koumansé ka wézonnen anpami yo menm épi yo di, “Si nou wéponn sé Bondyé, i kay mandé nou pou ki wézon nou pa té kwè. 
MRK.11.32	Mé ès si nou sa di sé nonm?” (Yo té pè sé moun-an paski tout moun té ka di Jan Batis sété vwéman an pwòfèt.)
MRK.11.33	Kon sa yo wéponn Jézi, “Nou pa sav.”
MRK.11.33	Jézi wéponn yo, i di, “Mwen pa kay di zòt nonplis ki pouvwa mwen ni pou fè sé bagay sala.”
MRK.12.1	Jézi koumansé ka palé bay sé moun-an an pawabòl. I di, “An nonm planté an jaden wézen. I mété pak tout oliwonʼy, i bati on kay pou fè diven-an épi i fè an ti kay ki té byen ho pou i sa véyé pou jibyé épi lòt zannimo ki ka vini manjé an jaden-an. Lè i fini, i lwé jaden-an bay moun ki té vlé épi i kité lakay li épi i alé an lòt péyi. 
MRK.12.2	Lè tan wékòt-la wivé, i voyé an sèvant alé anmasé lo wézenʼy ba li an lanmen sé moun-an ki té ka lwé jaden-an. 
MRK.12.3	Mé yo tjenbé sèvant-lan, yo bat li épi yo voyéʼy alé lanmen vid. 
MRK.12.4	Kon sa mèt jaden-an voyé an lòt sèvant. Sé moun-an bat dézyenm sèvant-lan asou tèt li, yo ensiltéʼy épi yo maltwétéʼy. 
MRK.12.5	Mèt jaden-an voyé an lòt sèvant ankò. Kou sala yo tjwé sèvant-lan, épi yo twété an chay lézòt sèvant kon sa. Adan yo bat, épi yo tjwé sé lézòt-la. 
MRK.12.6	Sèl moun mèt jaden-an té wèsté pou i voyé sé gasonʼy-lan i kontan an chay-la. Kon sa i voyéʼy dènyé épi i di, ‘Yo kay pòté gason mwen-an wèspé.’
MRK.12.7	“Mé sé moun-an ki ka lwé jaden-an di bay yonn a lòt, ‘Mi sala ki kay jwenn tout popyétè papaʼy-la. Annou tjwéʼy épi tout bagay kay vini pou nou.’ 
MRK.12.8	Kon sa yo pwanʼy, yo tjwéʼy épi yo jété kòʼy dèwò jaden-an. 
MRK.12.9	Ki sa mèt jaden-an kay fè? I kay vini épi tjwé tout sé moun sala ki té ka lwé jadenʼy-lan, épi i kay pwan jaden-an épi lwéʼy bay lézòt.”
MRK.12.10+MRK.12.11	Épi i di sé moun-an ankò, “Ou oblijé ja li koté an lévanjil-la ki di,
MRK.12.10+MRK.12.11	‘Menm wòch-la sé jan-an ki ka fè kay-la widjèkté-a,
MRK.12.10+MRK.12.11	Bondyé fè wòch sala pli enpòtan an kay-la,
MRK.12.10+MRK.12.11	épi sa fè nou byen kontan.’ ”
MRK.12.12	Kon sa sé chèf sé Jwif-la éséyé pou awété Jézi paski yo sav pawabòl sala té kont yo. Mé paski yo té pè sé moun-an, yo kitéʼy épi yo alé fè chimen yo.
MRK.12.13	Pli ta, sé ofisyé sé Jwif-la voyé déotwa Fawizyen épi adan manm an patizan Wa Hèròd-la dèyè Jézi pou kwèsyonnenʼy pou pwan lanng li. 
MRK.12.14	Yo vini wèʼy épi yo di, “Mèt nou sav ou sé an nonm ki ka palé lavéwité. Ou pa ka anbété kòʼw épi sa moun kwè ében ki pozisyon yo ni an latè sala, mé ou ka enstwi nonm lavéwité, sa sé mannyè-a Bondyé ja mété pou nonm viv-la. Di nou, ès si ou kwè i dwèt pou nou péyé Wa Siza lajan, o pa? 
MRK.12.15	Ès si nou sipozé péyéʼy ében nou pa oblijé péyé?”
MRK.12.15	Mé Jézi sav sé ipokwit yo té ka fè, épi i wéponn yo, “Mwen sav zòt ka gadé si zòt sa fè mwen fè lèwè. Mennen an pyès dajan ban mwen pou mwen sa gadéʼy.”
MRK.12.16	Yo mennen an pyès dajan ba li épi i mandé yo, “Fidji ki moun épi non ki moun ki matjé asouʼy?” Yo wéponn li, “Sa Wa Siza.”
MRK.12.17	Kon sa Jézi di yo, “Zòt sipozé bay Wa Siza sa ki ka vini pou li, épi zòt sipozé bay Bondyé sa ki ka vini pou li osi.”
MRK.12.17	Épi sé moun-an wèsté épi bouch yo gwan ouvè.
MRK.12.18	Déotwa an sé Jwif-la yo ka kwiyé sé Sadisyen-an vini dèyè Jézi pou wè si yo té sa kwennenʼy. (Yo sé an konpanni Jwif ki di moun pa ka wésisité hòd lanmò.) 
MRK.12.19	Yo di, “Mèt, Moziz té ékwi lwa sala ban nou. I di kon sa, ‘Si an nonm mò épi i kité madanm li san pyès ich, fwè nonm-lan oblijé mayé èk madanm-lan pou i sa lévé ich bay fwè-a ki ja mò-a.’ 
MRK.12.20	Bon, i té ni an tan, la té ni sèt fwè. Pli gwan-an mayé, épi lè i mò, i pa té kité pyès ich. 
MRK.12.21	Lòt fwè-a ki té apwéʼy-la mayé épi menm madanm-lan, épi i menm vini mò mé i pa té kité pyès ich osi. Menm bagay-la wivé lòt fwè-a osi, 
MRK.12.22	épi tout lèstan sé fwè-a. Tout sèt sé fwè-a mayé madanm-lan, épi tout mò épi yo pa kité pyès ich. Épi apwé sa, madanm-lan vini mò. 
MRK.12.23	Kon sa, lè tout mò kay wésisité asou jou wézèwèksyon-an, madanm kilès an sé fwè-a i kay yé? Tout sèt sé fwè-a té mayé épiʼy.”
MRK.12.24	Jézi wéponn yo, “Zòt adan an chay lèwè, paski zòt pa konnèt ni lévanjil ni pouvwa Bondyé. 
MRK.12.25	Lè moun kay wésisité asou jou wézèwèksyon-an, yo pa kay mayé mé yo kay menm kon sé nanj-lan ki an syèl-la. 
MRK.12.26	Bon, konsèné ès si moun kay wésisité hòd lanmò-a, mwen sav zòt ja li adan sé liv-la Moziz té ékwi-a koté i palé konsèné wazyé-a ki té ka bwilé-a. Bondyé di kon sa, ‘Sé mwen ki Bondyé-a Abrahanm, Ayzak épi Jakòb ka adowé-a.’ 
MRK.12.27	Bondyé sé pa Bondyé jan ki ja mò, mé moun ki ka viv toujou. Ou wè! Zòt adan an chay lèwè.”
MRK.12.28	Yonn adan sé titja lwa sé Jwif-la té la épi i tann Jézi épi sé Sadisyen-an té ka chikannen. I wè Jézi té ja bay sé Sadisyen-an an bon wépons, kon sa i menm vini épi an kwèsyon pou i sa mandé Jézi. I di Jézi, “An tout sé konmandman-an, kilès ki pli enpòtan?”
MRK.12.29	Jézi wéponn li, “Konmandman-an ki pli enpòtan-an sé sa, ‘Kouté, jan Izwayèl! Bondyé Senyè nou, sé li yonn ki Bondyé. 
MRK.12.30	Ou oblijé enmen Bondyé Senyèʼw épi tout tjèʼw, épi tout lam ou, épi tout lidéʼw épi èk tout kouway ou.’ 
MRK.12.31	Apwé sa lòt konmandman-an ki pli enpòtan-an sé sa, ‘Ou oblijé enmen pwochenʼw menm kon ou enmen kòʼw.’ Pyès lòt konmandman pa enpòtan pasé dé sala.”
MRK.12.32	Titja lwa sé Jwif-la di Jézi, “Byen, mèt. Sa ou di-a vwé, kon sa sé Senyè-a sèlman ki Bondyé, épi la pa ni pyès lòt Bondyé mé sé li yonn. 
MRK.12.33	An nonm oblijé enmen Bondyé épi tout tjèʼy, èk épi tout lidéʼy, èk épi tout kouway li, èk i oblijé enmen pwochenʼy kon li menm. I pli mèyè pou ou sa obéyi dé konmandman sala pasé pou ou ofè zannimo ében fè lòt sakwifis bay Bondyé.”
MRK.12.34	Jézi apèsivwè mannyè titja lwa sé Jwif-la wéponn li épi lasajès, épi i diʼy kon sa, “Ou ja pwèskè an chimen-an ki kay mennenʼw anba kondwit Bondyé-a.”
MRK.12.34	Apwé sa tout moun té pè mandéʼy kwèsyon ankò.
MRK.12.35	Kon Jézi té ka enstwi adan Kay Bondyé-a, i mandé yo kwèsyon sala, “Ki mannyè sé titja lwa sé Jwif-la sa di Mèsaya-a kay an désandan Wa David? 
MRK.12.36	Lèspwi Bondyé té annékòz Wa David pou di,
MRK.12.36	‘Bondyé di bay Senyè mwen:
MRK.12.36	Asid la pou kondwi épi mwen
MRK.12.36	èk mwen kay mété tout lèlmiʼw anba dé pyéʼw.’
MRK.12.37	Mi, David menm kwiyé moun sala ‘Senyè mwen’. Di mwen, ki mannyè yo sa di ki i sé désandan David tousèl?”
MRK.12.37	Gwan konpanni moun-an ki té la-a té byen kontan pou yo té sa tann li.
MRK.12.38	Kon Jézi enstwi sé moun-an i di, “Véyé pou sé titja lwa sé Jwif-la, paski yo vlé moun wè yo kon jan ki enpòtan. Épi pou yo jwenn antansyon, yo ka maché oliwon épi lonng gòl yo, épi yo enmen moun adwésé yo épi wèspé lè yo alé laplas. 
MRK.12.39	Yo enmen asid jik douvan adan sé légliz-la koté moun kay wè yo, épi lè yo alé an fèsten, yo enmen asid anpami sé gwan jan-an. 
MRK.12.40	Yo ka pwan lavantay asou sé vèv-la. Yo ka sèvi pozisyon yo an légliz-la pou fè sé madanm sala pasé kay yo ében tout byen yo asou non yo. Épi kon an gwo wach yo ka fè an chay lonng lapwiyè. Pinisyon sé kalité nonm sala kay byen wèd.”
MRK.12.41	Jézi té asid pwé koté sé moun-an té ka mété lajan latjèt-la adan Kay Bondyé-a. Épi i té ka gadé kon sé moun wich-la té ka ladjé lajan-an an bwèt-la. An chay sé jan-an ki té wich-la mété an bon lavi. 
MRK.12.42	Mé an ti madanm maléwèz, mawiʼy té ja mò, vini épi i ladjé dé pyès lajan tjwiv lavalè kat sou adan bwèt-la.
MRK.12.43	Jézi kwiyé sé disip li-a ansanm épi i di yo, “Mwen ka di zòt lavéwité, vèv sala mété pli adan latjèt-la pasé tout lézòt. 
MRK.12.44	Paski sé lézòt-la mété an tizing an tout sé wichès-la yo ni-an, mé madanm sala, magwé i otan pòv, i mété tout sa i té ni. I pa té wèsté pyès lajan i té sa dépan asou ankò.”
MRK.13.1	Kon Jézi té ka kité Kay Bondyé-a, yonn an sé disip li-a diʼy kon sa, “Mèt, gadé sé manman wòch-la Kay Bondyé-a fèt épiʼy-la! Mésyé! Kay sala sé an gwo bèl kay!”
MRK.13.2	Jézi wéponn li, “Ou wè sé gwo bèl kay sala? La pa kay ni yon wòch ki kay wèsté doubout, paski kay sala kay kwazé nèt.”
MRK.13.3	Kon Jézi asid asou Mòn Òliv-la, fasad-la ki ka gadé Kay Bondyé-a, Pita, Jémz, Jan épi Androu, lè yo té pa kò yo, yo mandé Jézi, 
MRK.13.4	“Di nou ki tan sé bagay sala kay fèt? Épi ki kalité bagay nou kay wè ki kay di nou i ja tou pwé fèt?”
MRK.13.5	Jézi di yo, “Pwan pokosyon pou pyèsonn pa kwennenʼw, 
MRK.13.6	paski an chay moun kay vini sèvi non mwen épi yo kay di sé yo ki Mèsaya-a, wa-a Bondyé té pwonmèt pou voyé-a, épi yo kay kwennen an chay moun. 
MRK.13.7	Ou kay tann ladjè ka alé tou pwéʼw épi ou kay tann osi konsèné ladjè ki ka pwan kou byen lwenʼw. Pa kité sa twoubléʼw. Sé kalité bagay sala ni pou fèt. Mé latè-a pʼòkò kay bout. 
MRK.13.8	Nasyon kay lévé goumen épi yonn a lòt épi péyi kay lévé ladjè kont lòt péyi. La kay ni twanblanntè adan diféwan plas épi la kay ni lafen. Mé sa pʼòkò anyen. Sa sé koumansman soufwans tousèl.
MRK.13.9	“Mé zòt menm pwan bon pokosyon, paski sé lèlmi zòt-la kay awété zòt épi yo kay mennen zòt lodyans. Yo kay bat zòt adan sé légliz sé Jwif-la. Zòt kay doubout douvan gouvènè épi wa pou lapéti mwen, pou zòt sa di yo Bon Nouvèl-la. 
MRK.13.10	Avan bout-la vini Bon Nouvèl-la kay ni pou pwéché bay tout moun.
MRK.13.11	“Lè yo awété zòt épi yo mennen zòt lodyans, pa katjilé avan jou-a wivé ki sa zòt kay di. Lè jou-a wivé, di népòt bagay Bondyé bay zòt pou zòt sa di, paski sé pawòl-la ou kay palé-a sé pa pawòl ou menm. Sé Lèspwi Bondyé ki kay di zòt ki pawòl pou zòt sa palé.
MRK.13.12	“An fwè kay twayi an lòt fwè jis tan fwè-a jwenn lanmòʼy pou lapéti mwen. Papa-a kay fè ich-la menm bagay-la. Manmay kay lévé kont manman yo épi papa yo, épi yo kay annékòz lanmò yo osi. 
