MAT.1.1	Ɛnjɔ́ɔ cɛ ɔbɔ́ta ú *Yésus *Kilís, *Ɔɔ́nɔ́ u Táfit, a wáŋa ɔɔ́nɔ́ u *Abɛ́laham : 
MAT.26.49	Hí ahɛ́ Yútas ŋa kaáháma, yó bíkósíti nááyá, mbá ɔsɛ : « Muékúnyi, ciɔwɔ eécí e ? » Nyi wuúci bíémbi eényí. 
MAT.26.50	Mbá Yésus ɔsɛ nááyá : « Aláamɛ, bɔkɔ abɔ́ ɔ́ mɔɔ́ faaya ɔ ɔkɔkɛla aaha, buúbu kɛláka fiaŋɔ ! » Eéyé ekúlú, baacɔ a bá ŋa bɔ́ bá na Yútas ŋa bɔ́ bɛ́lɔ́cɛ́na Yésus, bé ŋé wuúci mɛɔ́mɛ́na. 
MAT.26.51	Ekúlú eéyé, ɔɔcɔ ɔmɔtɛ́ a baacɔ bá ɔlɔŋɔ ú Yésus ŋɔɔ́ sɔ́mɔ́ núáyɛ́ nɔsala nɔ́ ɔhána, yó súbíne munyiɔnɔ mu *mutéŋínyi beluli nyiínjie a muáŋá, u ŋé wuúci cála ɔ ɔcala ootú. 
MAT.26.52	Mbá Yésus ɔsɛ nááyá : « Hélúmúnyi núɔ́wɔ nɔsala nɔ́ ɔhána a abákála. Yááŋa anyía ɔɔcɔ okime ewú u kéé hétunyi nɔsala nɔ́ ɔhána ɔ ɔwɔɔ́nɔ sɔ́ɔ́kɔ́ kéé wé nɔsala nɔ́ ɔhána. 
MAT.26.53	O ti ŋóo menyi anyía ya mɛ́ŋa wu ɔbáŋgɛna ciamɛ Síkíne, yɔ́ mɛ tɔ́mɛ́na ɔ ɔtɔ́mɛ́na ɛlɔŋɔ ciéŋí ci *bililé bɛ́ masɔ́ma bí biité bɛ́ hɔ́laka tɔ́sɛ́na cíɔ́hátá ne ífendí e ? 
MAT.26.54	Mbá, mbɔ́kɔ yámɛ kɛla aáná, keyé anyána bɛsana bɛ́ Ciɔɔ́ŋɛ́ cɛ́ Bandɔ́mɛsɛ́ kéé bínyióyísíkínyi e ? Yááŋa anyía cɛ́ ŋa kɔ́ɔna cɛ́sɛ bɛsana ŋá nyɛmána bɛ́ ɔbɛ́kɛ́láka híáná. » 
MAT.26.55	E ekúlú eéyé, u ŋá báta baacɔ e bé ŋe bú wuúci mɛɔ́mɛ́na ɔsɛ : « Anyíatɛ́ nú ma nɔ́ fáakɔna ɔ ɔ kɔ́ mɛ mɛɔ́mɛ́na na tɔsala tɔ́ ɛhána na tɔŋɛndá, háyɛ anyía ya mɛ́ŋa ocónjólóŋó yɛ́ ɔɔcɔ e ? Yiíyi anyía mɔɔ́sɛ́ mekime ɛ ŋaá mɛ bá yémi limekine o oweékúnyi baacɔ eé *Ciíbe cɛ Bandɔ́mɛsɛ́ ; mbá anyíatɛ́ nu tɛ ɔ́mɔ nɔ́ mɛ mɛɔ́mɛ́na e ? 
MAT.26.56	Mbá bú ma bɛ́kɛ́láka aáná ananyía bɛsana ebí *behémúnyi bɛsana bá Bandɔ́mɛsɛ́ ŋa bɔ́ ɔɔ́ŋɔ́kɔ́ e bínyióyísinyi. » Aáná baákɔ́nɛ́na bekime ŋe bú wuúci bɛ́yúata, nyíábɔ́ nyɛcabakɛna eényí.
MAT.26.57	E elime eécí, baacɔ a bá ŋa bɔ́ mɛɔ́mɛ́na Yésus ŋe bú wuúci cɔbána ná Kayífe, mutéŋínyi beluli nyiínjie a muáŋá. Hɔ́á, ne *beékúnyi bikotí na baáŋá bé Besuif ŋa bɔ́ bɛ́bándáná. 
MAT.26.58	Bíel ŋaá bá waá látákɛ́na Yésus e elime haaca, ɔ ɔkɔɔ́háma a nɔháatɛ́ nú mutéŋínyi beluli nyiínjie a muáŋá. Ɛ́makɛ́la wé yóófíne a nɔháatɛ́ eénú, u ŋe fúle límine ne bibulúsu, anyía wá lɛcáka háyɛ asana ŋá cɔba o obíóndísínyi. 
MAT.26.59	Ne betéŋínyi beluli nyiínjie na baacɔ bé Hitúlé a hiáŋá bekime ŋa bɔ́ bá bábɔ́ áambaka hɛkɔma hɛ́ bɛfala hɛ́ ɔwɔɔ́nɛ́na Yésus e hiíhi. 
MAT.26.60	Mbá ta híáná, beébe te o hiíhi bɔ́ŋɔ, ta yɛ́ cáŋa á bá anyía baacɔ beéŋí ŋa bɔ́ faákɔ́na o okoó wuúci sɔ́mbɛ́na bɛsana. E elime eécí, baacɔ béfendí ŋá ka tálɛ́mɛ́na, 
MAT.26.61	mbá báyɛ : « Basɔ́ eebe tua sɔ́ŋa balɔ́kɔ́mákánɔ́ baabá eeye á kɔɔnaka ɔsɛ : “Ya mɛ́ŋa wu ɔkataka Ciíbe cɛ Bandɔ́mɛsɛ́ eeci, mío ciíci falɛfɔtɔkɔna ɔ mɔɔ́sɛ́ matátɔ́.” » 
MAT.26.62	Mutéŋínyi beluli nyiínjie a muáŋá ŋá hatɔ́na ɛndánáka, mbá ɔsɛ né Yésus : « Ɔ tɛ ŋɔ́ɔ bɛ́sɔ́mɔ ta hɛkɔma a tɔkɔma eetu atɔ́ baacɔ eebe ŋé bú o túme e ? » 
MAT.26.63	Mbá Yésus ŋeé lésíkínyi hú mbuumu. Mutéŋínyi beluli nyiínjie a muáŋá ŋé wuúci bícónyi ɔsɛ : « Ɛ ŋɔ mɛ́ ɔ laána eé nyiínyi nyɛ́ Bandɔ́mɛsɛ́ a wáŋa wɔɔ́sɔ anyía, basɔ́ bɛ́káma aámbáya “Ɛ́ɛ”, ta anyía “Eéʼeé” : Ɔ ɔ́ŋa *Mesíi, Ɔɔ́nɔ́ u Bandɔ́mɛsɛ́ e ? » 
MAT.26.64	Mbá Yésus ɔsɛ : « Kuɔŋɔ́, ɔ́ mɔɔ́ kɔɔna aáná. Mbá aá yaŋɔ́, ɛ ŋa mɛ́ banɔ́ láana ɛsɛ́ : Nu ká nɔ́ lɛ́cáka Ɔɔ́nɔ́ u ɔɔcɔ oliménénú a aháŋá yɛ́ ɔɔbɔ́ ú manɔ́mɛ ú Bandɔ́mɛsɛ́ Alámakɛ́nda, nuó wuúci lɛ́caka tɔ́na weé húlúkúne a bɛlɔndɔ́ bɛ́ ɛŋɔ́lɔ́muaná noómi. » 
MAT.26.65	Ɛ́makɛ́la mutéŋínyi beluli nyiínjie a muáŋá á lɔ́kɔ́má aáná, hilóbi ŋe wuúci timbie ; u ŋá laháka bíáyɛ́ bɛlaŋa, mbá ɔsɛ : « Aátɛ́ tɔ́na ! Tu tɛ ŋá háná asɔ́ aamba tɔkɔma tú etémbí. Nú ma nɔ́ lɔ́kɔ́ma na cáánɔ́ eetú háyɛ ú ŋe féníne Bandɔ́mɛsɛ́ ! 
MAT.26.66	A nyíánɔ́ʼo ? » Mbá báyɛ, ú maá kua asana, bá ŋá nyɛmána bé o wuúci ɔ́ɔ́nɔ. 
MAT.26.67	Aáná bé ŋe bú túme o wuúci túéne maatá eé buúse, bé wuúci túméke tɔnjɔkɔ ; bɔ́mɔtɛ́ wuúci aátákɛ́na ɛbɛ́lɛ́, bá kɔɔnaka báyɛ : 
MAT.26.68	« Ɔɔcɔ u bɔsɔ́ɔ́kɔ́ Mesíi ! Ɔ́ɔ basɔ́ laana, aányɛ́ ú mó yóo súbe e ? »
MAT.26.69	Bíel ŋaá bá wa yánáŋa limíne a nɔháatɛ́, ekúlú eyí munyiɔnɔ e muénjú a mumɔtɛ́ mu *mutéŋínyi beluli nyiínjie a muáŋá ŋo yoófíne. Mu ŋeé bíkósíti nááyá, mbá mɔsɛ : « Ɔ́kɔ, tɛ́ka kuɔŋɔ́ tɔ́na ɔ ŋɔɔ́ bá ɔlɔŋɔ ne Yésus, ɔnɔ́kɔ́ yɛ́ *Kalilé eeye e ? » 
MAT.26.70	Mbá Bíel ŋeé bínéŋítínyi eé buúse bɔ́ baacɔ bekime, ɔsɛ : « Ɛ tɛ ŋá mɛ lɔ́kɔ́ma aátɛ́ ɔ ŋɔɔ́ waamba ɔkɔɔna. » 
MAT.26.71	U ŋá hatɔ́na ɔ ɔháma. Munyiɔnɔ e muénjú a mumɔtɛ́ ŋé wuúci lɛcá ; u ŋó tóŋínyi baacɔ a bá ŋá bɔ́ bá hɔ́á ɔsɛ : « Nu ŋa nɔ́ lɛ́ca, ɔɔcɔ ooci ŋaá bá ɔ ɔlɔŋɔ ú Yésus, ɔnɔ́kɔ́ yɛ́ *Násalɛt. » 
MAT.26.72	Bíel ŋe túné bínéŋítínyi Yésus, ɔsɛ : « Háá, ɛ ŋa mɛ́ súátɛ́na aá taaká ɛsɛ́ : I ti ŋé mi menyi ɔɔcɔ oócí buúse bukime ! » 
MAT.26.73	Hikúlúkúlú, baacɔ a bá ŋa bɔ́ bá aáhá ŋa bɔ́ láana Bíel tɔ́na báyɛ : « Taatá, isuŋí tɛ á bá ɛmbányɛ, ɔ ɔ́ŋa u ɔlɔŋɔ oócí. Nyiɔ́wɔ nyɛnɔkɛna nyɛ́ ɔtáŋa ŋo tóŋínyi bɔmbányɛ haála ehé o ŋoó húle. » 
MAT.26.74	Aáná Bíel ŋeé túme ɔtáŋa, u súátákɛ́na, u bɛ́sɔ́mɔ́kɔ biinyie, ɔsɛ : « Aá taaká, i ti ŋé mí menyi ɔɔcɔ oócí ! » Hú a yaátɛ́ ekúlú, yaaka yɛ́ ɛkɔkɛ́ ŋá bɛ́lɛ́ta ɔ ɔbɛ́lɛ́ta. 
MAT.26.75	Aáná Bíel ŋaá bɛ́táá ɔtáŋa ewú Yésus ŋeé wuúci laána, ɔsɛ : « Ɔkɛla anyía yaaka yɛ́ ɛkɔkɛ́ é síke a bɛ́lɛ́ta, ɛ́cɛ o no moó mi bínéŋítíkínyi bikúlú bɛ́tátɔ́ asɛ o ti ŋóo mi menyi. » Aáná Bíel ŋaá hámá a nɔháatɛ́, nyíáyɛ́ nyitúme ɔkɔlɛ́la eényí na mahana mekime. 
MAT.27.1	Tútútú nɔɔ́nɔyá, ne betéŋínyi *beluli nyiínjie na *baáŋá bé *Besuif ŋa bɔ́ bɛ́bándákána anyía bábɔ́ lɔ́kɔ́mána a asana yɛ́ ɔwɔɔ́nɔ Yésus. 
MAT.27.2	Aáná bé ŋe bú iínjíé baacɔ makɛ́nda me o wuúci ɔɔ́tɔ́kɔ́kɔ, bé ŋé ké wuúci fiimbie ná Kɔ́mɛ́na Bílat.
MAT.27.3	Ɛ́makɛ́la Yútas, mufiimbie Yésus, má lɛ́ca anyía bá maá sɔ́mbɔ́tɔ́na ɔwɔɔ́nɔ Yésus, úúyé ɔtɛ́má ŋé túmé ɔbɛ́nyíá buéŋí ; u ŋá cɔbá anyía we ke hélúmúnyi biléŋú bɛ́ mɔɔnyɛ́ nyitíne na bíɔ́hátá né ne betéŋínyi *beluli nyiínjie na *baáŋá bé *Besuif, 
MAT.27.4	ɔsɛ náábɔ́ : « Ya mɛ́ŋa ɔkɛlákánɔ́ bɔɔbɛ́ a asana eyí í me mí fiimbie ɔɔcɔ awɔ́ u tɛ ɔ́mɔɔ́ kɛ́la bɔkɔ a bɔɔbɛ́. » Mbá bé ŋe bú wuúci bɛ́kámá báyɛ : « Yɔ́ɔ́wɔ eéyé, yɛ́ tɛ ŋá basɔ́ lɛ́ca ! » 
MAT.27.5	Yútas ŋe síké ná yááhɛ́na biléŋú bɛ́ mɔɔnyɛ́ eébí ɔ ɔmɛsɛ́ eé *Ciíbe cɛ Bandɔ́mɛsɛ́, u ŋe súéte, nyɛkabɛ́tɔ́ŋa eényí.
MAT.27.6	Betéŋínyi beluli nyiínjie ŋa bɔ́ kɔ́cáka biléŋú bɛ́ mɔɔnyɛ́ eébí, mbá báyɛ : « Tu tɛ ɔ́mɔ sɔ́ nyɛ́mana tú ɔháya mɔɔnyɛ́ eeme e hikóló hɛ́ mɔɔnyɛ́ hí Ciíbe cɛ Bandɔ́mɛsɛ́, anyía maáŋa mɔɔnyɛ́ ma ɛmbaka. » 
MAT.27.7	Aáná bá ŋa bɔ́ lɔ́kɔ́mákána, bɔ́ ŋɔ́ kɔ ɔɔ́ndɔ́ esíéné na mɔɔnyɛ́ eémé, bé ŋeé yiíyi lɔ́ŋɔ anyía esíéné yɛ́ mɔmaa anyía yá bámɔ́kɔ́na haála hé onyíéke bekenyí. 
MAT.27.8	Yaátɛ́ asana bá yá náŋa ɔ ɔlɔŋɔ esíéné eéyé ɔ ɔkɔɔ́háma aámbáya anyía « esíéné yɛ́ ɛmbaka. » 
MAT.27.9	Asana eéyé ŋeé bínyíóyísínyi háyɛ Sélémi, *muhémúnyi bɛsana mɔ Bandɔ́mɛsɛ́, ŋaá táŋáka ; u ŋaá kɔ́ɔna ɔsɛ : « Bé ŋe bú hiíte biléŋú bɛ́ mɔɔnyɛ́ nyitíne na bíɔ́hátá eébí, mɔɔnyɛ́ amá baacɔ bé *Islayɛ́l ŋa bɔ́ sɔ́mbɔ́tɔ́na o wuúci ɔɔ́ndɔ. 
MAT.27.10	Bé ŋe iínjíé mɔɔnyɛ́ eémé ɔ ɔwɔɔ́ndɔ esíéné yɛ́ mɔmaa. Aáná Otéŋí a Waáŋá Bandɔ́mɛsɛ́ ŋe yoónyísínyi ɔ mɛ laana anyía búa bɛ́kɛ́láka. »
MAT.27.11	Bá ŋaá cɔ́bána Yésus eé buúse bú Bílat ; u ŋé bícónyi Yésus, ɔsɛ : « Mbá ɔ ɔ́ŋa otéŋí u Besuif e ? » Mbá Yésus ɔsɛ : « Kuɔŋɔ́ ɔ ŋɔɔ́ kɔɔna aáná. » 
MAT.27.12	E elime eécí, ne betéŋínyi *beluli nyiínjie na *baáŋá bé *Besuif ŋe bú túme o wuúci túmé tɔkɔma mbá wuúci ta ɔbɛ́káma. 
MAT.27.13	Mbá Bílat ɔsɛ nááyá : « Mbá ɔ tɛ ŋɔ́ɔ bɛ́sɔ́mɔ ta hɛkɔma e ? Tɛ́ka ɔ ŋɔɔ́ lɔ́kɔ́ma anamánamá cá tɔkɔma ecé bé ŋe bú o túme e ? » 
MAT.27.14	Mbá u tɛ ɔ́mɔɔ́ háná wuúci bɛ́káma ta asana. Kɔ́mɛ́na ŋé kéké asana eéyé buéŋí.
MAT.27.15	Yááŋa anyía ɔ tuɔŋɔ tukime, e ekúlú yɛ́ bɔŋanda bɔ́ *Basíka, kɔ́mɛ́na ŋaá bá waá nyɛ́anakɛnɛna baacɔ bá bunɔŋɔ ɔɔcɔ ɔmɔtɛ́ u ciíbe cɛ ɛcaná awɔ́ bábɔ́ báta anyía wá nyɛána. 
MAT.27.16	Aáná, etéeyé ekúlú, ɔɔcɔ a wɔmɔtɛ́ ŋaá bá eé ciíbe cɛ ɛcaná, nyiínyi ɛ́cɛ [Yésus] Balábas, woómóomo a bɛsana a bɛɛbɛ́. 
MAT.27.17	Ɛ́makɛ́la Bílat á lɛ́ca aáná anyía baacɔ beéŋí má bɔ́ bɛ́bándákána, mbá ɔsɛ : « Nu ŋa nɔ́ áamba anyía yámɛ banɔ́ nyɛanɛ́na [Yésus] Balábas ayɛ́ʼ Yésus awɔ́ bɔ́ ŋɔɔ́ lɔ́ŋɔ báyɛ Mesíi e ? » 
MAT.27.18	Yááŋa anyía u ŋaá bá weé ményukune bɔmbányɛ bɔmbányɛ anyía bé ŋeé fiimbie Yésus nááyá a asana na muabɔ́ muliŋenene. 
MAT.27.19	Ekúlú eyí Bílat ŋaá bá wa yánáŋa limine o okélísi baacɔ, oónyí ŋé wuúci tɔ́mɛ́na ɔɔcɔ na ɛsɔ́ma, ɔsɛ : « Cɔ́kɔ́lɛ, atɛ aáláka asana yɛ́ atálɛ́mánánɔ́ yɛ́ ɔɔcɔ eéyé ; bɛlamá áŋa bí mi yébíkínyi buéŋí buutú bɔ́ hɛ́nánɔ a yááyɛ́ asana. »
MAT.27.20	Aáná, ne betéŋínyi *beluli nyiínjie na *baáŋá bé *Besuif ŋaá bá bébú oósíkínyi nyɛkɔca nyɛ́ baacɔ anyía bá batá Bílat, wé beébe nyɛanɛ́na Balábas, mbá u kɛla anyía bá yɔ́ɔ́nɔ́ Yésus. 
MAT.27.21	Kɔ́mɛ́na ŋa háná beébe bata ɔsɛ : « Aányɛ́ a baacɔ eebe béfendí nu ŋa nɔ́ áamba anyía yámɛ banɔ́ nyɛ́ánɛ́na e ? » Mbá báyɛ : « Balábasʼo ! » 
MAT.27.22	Mbá ɔsɛ : « Anyána yámɛ nyɛmána wu ɔkɛla aná ne Yésus awɔ́ bɔ́ ŋɔɔ́ lɔ́ŋɔ báyɛ Mesíi e ? » Beébe bekime báyɛ : « Ɔ ɔmbásá ɔ ɔmuanáʼo ! » 
MAT.27.23	Mbá ɔsɛ : « Bɔkɔ a bɔɔbɛ́ bɔ́ yaátɛ́ wáŋa ɔkɛlákánɔ́ e ? » Bé ŋé túné bɔmɛ́ta buáŋá báyɛ : « Ɔ ɔmbásá ɔ ɔmuanáʼo ! » 
MAT.27.24	Ɛ́makɛ́la Bílat á lɛ́ca anyía cííyí ɛmbataka tɛ ŋɔ́ yɔɔ́lɔ ta a bɔkɔ, baacɔ cɔbaka bɔ́ cɔbaka ne buúse o otuŋulinyi, u ŋa bata menyífé, u ŋá bɛ́súáka aabá eé buúse bɔ́ baacɔ bá hɔ́á, mbá ɔsɛ : « Ɛ tɛ ámɛ bá wu ɔbɛ́túáhɛ́na owé ú atálɛ́mánánɔ́ yɛ́ ɔɔcɔ eeye aámɛ a aatɔ́ ; wáánɔ́ ú ŋá lɛ́ca ! » 
MAT.27.25	Mbá baacɔ bekime báyɛ : « Tú me sú lumitine ɔbɛ́túáhɛ́na úúyé owé aasɔ́ a bɛɛtɔ́, na basɔ́ na báásɔ́ baáná áyá ! » 
MAT.27.26	Aáná Bílat ŋé beébe nyɛanɛna Balábas ; u ŋé iínjie makɛ́nda anyía bé súbéke Yésus ne mesue, nyi beébe wuúci fiimbine eényí anyía bé keé wuúci aátákɛ́na ɔ ɔmbásá.
MAT.27.27	Aáná bicénji bɛ́ kɔ́mɛ́na ŋaá hámánáná Yésus eé ciíbe cɛ kɔ́mɛ́na, bɛ́ ŋá bándáka úúbú ɔlɔŋɔ okime aáyá a maabána. 
MAT.27.28	Bí ŋeé wuúci laŋɔ́náka, bí ŋé wuúci laŋá kaba e cibólótoto ; 
MAT.27.29	bɛ́ ŋaá nuáka oboŋoli na ɛsándá, bí ŋé wuúci háya a aatɔ́ háyɛ atamba yí butéŋí. Bí ŋeé wuúci íínjíé nɔtɔŋɔtɔ́ŋɔ́ ɔ ɔɔbɔ́ ú manɔ́mɛ i iŋetí ci otúmbe ú butéŋí, aáná bí ŋeé wuúci túmékíne eŋéndu, bí wuúci cɛ́cáka báyɛ : « Hɔɔ́ɔʼ, Otéŋí u *Besuif ! » 
MAT.27.30	Bí wuúci túékíne maatá, bí wuúci súbéke a aatɔ́ na nɔtɔŋɔtɔ́ŋɔ́ enú bí ŋeé hitútúne e uúyé ɔɔbɔ́. 
MAT.27.31	Ɛ́makɛ́la bíé wuúci cɛ́cáká aáná, bí ŋé wuúci laŋɔ́na kaba e cibólótoto eécí, bí ŋé wuúci hélúmúnyi bíáyɛ́ bɛlaŋa ; nyi wuúci cɔbana eényí o okoó wuúci aátɛ́na ɔ ɔmbásá.
MAT.27.32	Ekúlú ayɛ́ bá ŋa bɔ́ bá bábɔ́ cɔ́cɔbakana Yésus o okoó wuúci aátɛ́na ɔ ɔmbásá, bá ŋá bɔ́ ɔ́ɔ́ndɛ́mána Símon, ɔɔcɔ a wɔmɔtɛ́ u bálɛ́ka ci Silɛ́ɛn. Bicénji ŋé wuúci éékínyi ɔbɛ́túáhɛ́na ɔmbásá ú Yésus. 
MAT.27.33	Bá ŋga háma aá haála ahá bɔ́ ŋɔɔ́ lɔ́ŋɔ báyɛ « Kɔlɔkɔ́ta » ; ɛ́cɛ « haála há nuɔ́ŋɔ́lɔ́ŋɔ́lɔ. » 
MAT.27.34	Bicénji ŋa sɛ́ bíé wuúci múúsi meluku a mááŋa malatákánɔ́ na bɔkanyɛ́ abɔ́ bɔ́ ŋɔ lɔ́ŋɔ anyía 
MAT.27.35	Nyíábɔ́ nyɛátákɛ́na Yésus eényí ɔ ɔmbásá, bá ŋá aáfákána bíáyɛ́ bɛlaŋa, ɛ́cɛ bá ma bɔ́ ááhakɛna ɔndɔŋɔ o omenyi bɔlaka abɔ́ ɔɔcɔ okime eé beébe áŋa wu ohiite. 
MAT.27.36	E elime eécí, bé ŋe bú límékíne a bɛtáta.
MAT.27.37	Bɔ́ ŋɔ yɔɔ́ŋɔ́kɔ hɛkɔma ehí bé ŋeé wuúci ɔɔ́nɛ́na e hiíhi ; bɔ́ háya ɔ ɔmbásá, ɔ ɔmuaná ú aatɔ́ yí Yésus. Bɔ́ ŋɔ yɔɔ́ŋɔ́kɔ báyɛ : « Ooci áŋa Yésus, otéŋí u *Besuif. » 
MAT.27.38	Bá ŋa bɔ́ aátákɛ́ná tɔ́na baŋána béfendí ɛ ɛmbásá hoóhi ne Yésus : Ooci ɔ ɔmbásá a wɔ́mɔtɛ́ a aháŋá yɛ́ ɔɔbɔ́ ú manɔ́mɛ, ooci a wɔmɔtɛ́ ɔ ɔmbásá a wɔ́mɔtɛ́ a aháŋá yɛ́ ɔɔbɔ́ ú meényi.
MAT.27.39	Baacɔ a bá ŋa bɔ́ bá bábɔ́ hɔ́laka aáhá ŋa bɔ́ bá bébú wuúci ɔɔ́mbɔ́náka, bé wuúci bíbúnúnéke, 
MAT.27.40	bá kɔ́ɔnaka báyɛ : « Ɔnɔ́kɔ́, kuɔŋɔ́ awɔ́ ɔ ɔ́ŋa wu ɔkataka *Ciíbe cɛ Bandɔ́mɛsɛ́, wɔ́ɔ falɛfɔtɔkɔna ci etémbí ɔ mɔɔ́sɛ́ matátɔ́, bínóhí kuɔŋɔ́ bɛ́muátá aná ; sɔ́ɔ́na ɔ ɔmbásá mbɔ́kɔ ɔ ɔ́ŋa Ɔɔ́nɔ́ u Bandɔ́mɛsɛ́. » 
MAT.27.41	Híáná tɔ́na, ne betéŋínyi *beluli nyiínjie, ne *beékúnyi bikotí, na *baáŋá bé Besuif ŋa bɔ́ bá bábɔ́ ɔɔ́mbɔ́náka Yésus, bá kɔ́ɔnaka báyɛ : 
MAT.27.42	« U ŋo nóhíki baacɔ bé etémbí, mbá u tɛ a bá wu obínóhi wuúci bɛ́muátá ! Otéŋí u *Islayɛ́l oócí aáná e ? Wá sɔ́ɔ́na ɔ ɔmbásá aná, mbá tuásɔ́ háya mɔŋɔlɛ́ nááyá. 
MAT.27.43	U ŋaá háya mɔŋɔlɛ́ ná Bandɔ́mɛsɛ́. Ɛ́hɛ́ɛ, mbɔ́kɔ Bandɔ́mɛsɛ́ ŋeé wuúci léne, wé wuúci háŋɔ́na aná ! Tɛ́ka u ŋaá kɔ́ɔ́na ɔsɛ wáŋa Ɔɔ́nɔ́ u Bandɔ́mɛsɛ́ e ? » 
MAT.27.44	Ta baŋána a bá ŋa bɔ́ bá baátákɛ́nánɔ́ ɛ ɛmbásá ɔlɔŋɔ ne wuúci ŋaá bá bébú wuúci ɔɔ́mbɔ́náka tɔ́na.
MAT.27.45	O otúme ɛ ɛkatɛ́katɛ́ cɛ buɔ́sɛ́, ɔ ɔkɔɔ́háma i injéŋí ciíci ɛ́tátɔ́, ibíne ŋaá kua i iisí ikime. 
MAT.27.46	I injéŋí ɛ́tátɔ́ eécí aná, Yésus ŋó bókíte buáŋá ɔsɛ : « 
MAT.27.47	Ɛ́makɛ́la bɔ́mɔtɛ́ a baacɔ a bá ŋa bɔ́ bá aáhá tálɛ́mákɛ́na ábɔ́ lɔ́kɔ́ma aáná, báyɛ : « U ŋɔɔ́ lɔ́ŋɔ Éli. » 
MAT.27.48	Hí a yaátɛ́ ekúlú, ɔɔcɔ a wɔmɔtɛ́ eé beébe ŋá cabɛ́tɛ́na ɔ ɔcabɛtɛna, ú ŋge yubíne kɔcá a bɛányákánɔ́ bí meluku, u ŋé ciíci fekí a nutɔŋɔtɔ́ŋɔ́, u ŋé ciíci kosíti e nyuúté nyí Yésus anyía wɔ́ cɔ́njɔkɔ. 
MAT.27.49	Mbá bɔsɔ́ɔ́kɔ́ ɔ bɔ́mɔtɛ́ báyɛ nááyá : « Caŋá ɔ wɔɔ́kɔ ; túɔ cɔba ɔ ɔlɛca mbɔ́kɔ Éli ŋa fáaya, yó koó wuúci kétúnyi ɔ ɔmbásá. »
MAT.27.50	E ekúlú eéyé Yésus ŋe túné bókíte bɔ́áŋánáŋána, nyiomboko aatɔ́ eényí. 
MAT.27.51	Hí e ekúlú etéeyé, ekéti yɛ́ bɔlaka a yɛ́ ŋaá bá yá sɔ́mbɔ́tɔ́kɔ́na *Ciíbe cɛ Bandɔ́mɛsɛ́ ŋa láhɛa ɛ ɛkatɛ́katɛ́, o otúme ɔ ɔmuaná ɔ ɔkɔɔ́háma ɛ ɛmbana. Aáná ɔmɛsɛ́ ŋeé bínyiétínyi, bɛandándá bɛ́ andányɛ́ bíɔ salɛaka. 
MAT.27.52	Biinyie bíó hélunueke, bɛlɔ́ŋɔ́ biéŋí bɛ́ bɛtálɛ́mánánɔ́ bɛ́ baacɔ ŋá háányúáka o owé ; 
MAT.27.53	bɛ́ ŋá hámɔ́kɔ́na e biinyie. Ɛŋakɛlá Yésus á háányúa o owé, bí ŋge oófókíne e efúúménénú yɛ́ bálɛ́ka. Baacɔ beéŋí ŋe bú biíbi lɛcáka na cáábɔ́ eése. 
MAT.27.54	Ne mutéŋínyi bicénji etíne atáánɔ na bɔsɔ́ɔ́kɔ́ a bá ŋa bɔ́ bá aáhá ne wuúci a bɛtáta bí Yésus ŋa bɔ́ lɛ́caka na ɔmɛsɛ́ ewú ú ŋe bínyiétínyi na bɛsana a bɛ́ ŋa bɛ́kɛ́láka e úúyé owé. Aáná bulíkílíki ŋeé beébe tímbíé, bá nákamaka, mbá báyɛ : « Yááŋa taaká anyía ɔɔcɔ ooci ŋaá bá Ɔɔ́nɔ́ u Bandɔ́mɛsɛ́. » 
MAT.27.55	Bɔ́mɔtɛ́ beénjú ŋa bɔ́ bá tálɛ́mákɛ́na enenyíé, bé bísíémúkúnyi. Beébe eébé bá ŋa bɔ́ bá ɔlɔŋɔ ne Yésus o otúme a *Kalilé, bé wuúci kɛlakɛna masɔ́ma. 
MAT.27.56	Eé beénjú eébé, na Malíi, itónyi cɛ Makatala, na Malíi, iinyí cɛ na Sáak na Yɔ́sɛb, ne oónyí u Sebeté a wáŋa iinyí cɛ bááyɛ́ baáná béfendí, ŋa bɔ́ bá. 
MAT.27.57	Nanyiɔ́fɔ́ eényí, ɛnɔ́mɛ cɛ ɔɔcɔ u bálɛ́ka cɛ Alɛmatɛ́, nyiínyi ɛ́cɛ Yɔ́sɛb, ŋa kaáháma. U ŋaá bá tɔ́na *muákɔ́nɛ́na a mumɔtɛ́ mu Yésus. 
MAT.27.58	Wuúci oócí u ŋga báta Bílat omime ú Yésus. Aáná Bílat ŋe yiínjie makɛ́nda anyía bé wuúci iínjíé. 
MAT.27.59	Yɔ́sɛb ŋé hiite omime, u ŋá bákákɛ́na na ɔmbɔ́mɔ́, 
MAT.27.60	nyikeényie eényí a yááyɛ́ eenyie a yɔɔ́sɔ eyí u ŋeé tímísíki a nyɛndányɛ́ noómi. E elime eécí, u ŋeé fúŋúlísíki yaandándá yɛ́ nyɛndányɛ́ e nyiofine nyí eenyie, u ŋé súéte. 
MAT.27.61	Na Malíi, itónyi cɛ Makatala, na Malíi ooci a wɔmɔtɛ́ ŋa bɔ́ bá límine enenyíé, eenyie eébú eé buúse.
MAT.27.62	Ɔ ɔyá ɔyá, buɔ́sɛ́ a bɔ́ ŋaá látá buɔ́sɛ́ bɔ́ ɔbɛ́tábɔ́nákɛna ehélúme yí *Besuif,
