MAT.1.1	Mukaanda kinkaaka kya Yesu Kiristo, mwaana Davidi, mwaana Abalaami.
LUK.10.24	Me nyileele kuri beenu ti: «Babikiri na bambyaasi balaka baba batya kumono, ma lukwemono beenu, ngo basii mono ko; na kuyuka ma lukweyuka beenu, ngo basii kuyuka ko.»
LUK.10.25	Mono, muyikisi mangisi mosi wateleme mu kukotoso Yesu mu nsindukulu, waleele ti: «Muyikisi, me nki nyelemini kusa, mu kubaka kidziingu kyahele manunu?» 
LUK.10.26	Yesu wamufuula ti: «Nki byatinu mu mangisi? Buri ye wuri mu kutaanga?» 
LUK.10.27	Nde wabvutula, waleele ti: «"Tya Mfumu Nzaambi yaaku mu mutima waaku ndemunso, mu muheebulu waaku ndemunso, mu makwa maaku momanso, na mu dyeele dyaaku dyodinso." Na ti: "Tya mbaasi yaaku bunu ye-meene."» 
LUK.10.28	Yesu wamuleele ti: «Ye heeri mvutu yayibwete. Sa bubwo, na ye sa waba na kidziingu.» 
LUK.10.29	Ngo muyikisi mangisi mu kusaka buungu mu nde-meene, wabweese kufuula Yesu ti: «Heki mbaasi me ngo na?» 
LUK.10.30	Yesu wamubvutula ti: «Muutu mosi wanangukini ku Yerusalemi, mu kukulumuka ku Yeriko. Ha lukesu, nde wabwa ha myooko mya bangaa-bumfuna, bo bamuholo na byobinso bi kaba na byo, bamutuuta nkuba na basaa mutabula ngaambu. 
LUK.10.31	Mu kinkuma, ngaanga-nzaambi mosi, waba kulumuka mu nzila yiniyo. Bu kamumono, wakeenge nzila na waluta. 
LUK.10.32	Kisari kya Nzo-nzaambi kimosi se bunubwo, wayisa kutubuka ha kibeendu kinikyo, bu kamumono nde se wakeenge nzila. 
LUK.10.33	Ngo Musamariya mosi, waba mu budyeengi, watubuka hari muutu wunde. Bu kamumono, wamubakila ngebe. 
LUK.10.34	Bu kakokosolo, wayitila maasi na malu mu maboko maandi, na wakaanga mo. Ha kamuteeteke ha yulu mpuunda ya nde-meene, na wamunata ku nzo banzeense ya kufutila, ku kamubukisa. 
LUK.10.35	Bwiisi bu bwakya, Musamariya waholo bidenali byoolo, waha kuri wukoosalaa mu nzo banzeense, na wamuleele ti: "Bakisa muutu wu, tumi bweeri ha nyibvutuka, me nyikufuta mipata mi wubweese kusalila ha yulu mimyo."» 
LUK.10.36	Yesu wafuula: «Heki mu ye, mu bo batatu babo, lo na wuri mbaasi muutu wunde wabwiiri mu myooko mya bangaa-bumfuna?» 
LUK.10.37	Muyikisi mangisi wabvutula ti: «Wunde wamubakiri ngebe.» Yesu wamuleele ti: «Yende, ye se weyirika ma bubwo.»
LUK.10.38	Bu baba mu nzila, Yesu wakoto mu bula bumosi, na mukyeetu mosi, nkuumbu Malata, wamutaambula. 
LUK.10.39	Nde waba na kibusi kimosi, kiri nkuumbu Mariya, [kiri] kaholaa dzakiri ha miilu mya Mfumu, mu kuyuka maampu maandi. 
LUK.10.40	Ngo kasi, Malata waba mutele-mutele mu ntoono bisalu byalaka. Bu kayisa, waleele ti: «Mfumu, ye wahele kunyoongo, mu kumono ti kibusi kya me wayekekele me bisalu? Muleele kabakisa me.» 
LUK.10.41	Mfumu wabvutula kuri nde ti: «Malata, Malata, ye wunyoongo na wukwekangara mu myalaka. 
LUK.10.42	Kitotolo kimosi kitsu kiri mufunu. Mariya sooriryee kikuuku kibvuriri bubwete, kiri lo bahele kumuyusula na kyo.»
LUK.11.1	Yesu waba saambilaana ha kibeendu kimosi. Bu kamana kusaambila, mosi mu bayiki baandi wamuleele ti: «Mfumu, yikisa beetu bwa kusaambikila bunu bwayikisa se Yowane kuri bayiki baandi.» 
LUK.11.2	Nde wabaleele ti: «Habaanaa lusaambila, lo luleelaa ti:
LUK.11.2	"Taata,
LUK.11.2	hemese nkuumbu yaaku yiduma;
LUK.11.2	hemese kimfumu kyaaku kiisa.
LUK.11.3	Tuha byandya byeetu bya kiluumbu, mpisi tsuku.
LUK.11.4	Tuhemesene masumu meetu,
LUK.11.4	bukuri beetu-meene se tukoohemisinaa mpisi watuyirikila dyadibi;
LUK.11.4	na yaa tunata mu nsindukulu ko."»
LUK.11.5	Yesu wabweese kubaleele ti: «Na mu beenu wuri kabaanaa wuri na mbaasi, ngo wiisiri kuri nde kakati dya butsuku, mu kumuleele ti: "Mbaasi me, soomboso me mampa matatu, 
LUK.11.6	bukuri mbaasi mosi, fumuni ku budyeengi wiisiri kuri me, ngo nyahele na kya kumuha." 
LUK.11.7	Heki mbuti mbaasi mvutu kumuheele munsa nzo ti: "Yaa kwaamisa me ko, mu lumalu mweelu weki wakaangu, na me na baala baami tweki ha yulu mbuka, me lo nyahele kubweese kusiimbika mu kuha ye mampa." 
LUK.11.8	Me nyiluleele: Ti hayuku, nde wahele kusiimbika mu kumuha mu kuri ti mbaasi yaandi, lo nde sa kusiimbika, mu kumuha bikari na nzala byo bukuri wuri mu kunamitina kuloombo kwahele nsoni. 
LUK.11.9	Hango, me nyiluleele ti: "Loombeenu sa baluha; sakeenu sa lwadzuukila; komboteenu sa baludzibukila. 
LUK.11.10	Bukuri mpisi wuloombaa wutaambulaa, wusakaa wudzuukilaa, kuri wukomboto sa bamudzibukila. 
LUK.11.11	Nkya taayi mu beenu, diri mwaana kamuloombaana nsu, nde ha kibeendu kya nsu kumuha nyoko? 
LUK.11.12	Bunu pe kamuloombaana diiki nde kumuha ngeenge? 
LUK.11.13	Ngo habaanaa beenu, luri na mutima-bubi, luyaari kuha bitotolo byabibwe kuri baala beenu, lo dyaburi Taayi dya ku yulu kahele bvula kuha Mpeeve Yangisi kuri babo bamuloombo?»
LUK.11.14	Yesu waba palisa mpeeve yayibi ya bubaba yaba mu muutu. Mpeeve yayibi bu yapala, baba dyadzoonso, na mampuumbu ma baatu makimuka. 
LUK.11.15	Babamosi mu bo, baleele ti: «Mu Beledzebule, mfumu mampeeve mamabi, nde kari mu kwebingisila mampeeve mamabi!» 
LUK.11.16	Bakaka mu kumukotoso mu nsindukulu bamuloombo kidiimbu kya ku yulu. 
LUK.11.17	Ngo nde bu kayaaba bitsimi bya bo, wabaleele ti: «Mpisi kimfumu kiri baatu bakwenwaana bo na bo, lo kyo kusa kubwa; na baatu bari nzo mosi babaanaa bakwenwaana bo na bo, lo nzo yibwiiri. 
LUK.11.18	Mbuti Satana wuri mu kunwaanisa nde-meene, lo kimfumu kya nde dyaburi kinamitina kuba? Beenu lo luleele ti mu Beledzebule me nyiri mu kwebingisila mampeeve mamabi. 
LUK.11.19	Mbuti me mu Beledzebule nyiri mu kwebingisila mampeeve mamabi, heki baala ba beenu, mu na bari mu kwebingisila? Hango-nkuumbu, bo sa baba batsuundisi ba beenu. 
LUK.11.20	Ngo mbuti mu muleembu Nzaambi [me] nyiri mu kwebingisila mampeeve mamabi, haho lo Kimfumu kya Nzaambi ki mwaakwiisa kuri beenu.»
LUK.11.21	«Habaanaa ngaa-makwa wuri na binwaanunu byakuka, wuri mu kukebe nzo, lo bitotolo byaandi byakebu kwakubwe. 
LUK.11.22	Ngo mbuti wubvuriri makwa na nde wiisiri, na wumubwiisiri, lo wumuhoriri na binwaanunu bi kabee wasikikila, na kaburi bitotolo bi kamuhoriri na byo.»
LUK.11.23	«Wunde wahele kuba kintwaari na me, lo mutaatu me; na wunde wahele kukutikisa kintwaari na me, lo wuri mu kutsamukisa.»
LUK.11.24	«Habaanaa, mpeeve yayibi yipariri mu muutu, lo yikweluta mu bibeendu byahele maampa, mu kwesaka ha kawuuma; na mbuti yahele kubaka, [haho] yileele ti: "Me mvutukiri mu nzo yaami, mumwo mu mbee nyapala." 
LUK.11.25	Na yo buyiisiri yimwiini ti nzo yeki yakoombolo na yasa bunkete; 
LUK.11.26	haho yo yikweende mu kuholo mampeeve nsaamu makimi, mabvuriri bubi na nde, mu kwiisa kukoto na kudzakala mu nzo yiyo. Mbeelu yampotulu ya muutu wunde, lo yeki yibvuriri bubi ti na yatete.»
LUK.11.27	Yesu bu kaba mu kuleele mamo, mukyeetu mosi kunsa mpuumbu wabaangula mbeembu, wamuleele ti: «Kiminu kuri mukyeetu wanata yimi dya ye, na wakunwiisa mabeene.» 
LUK.11.28	Nde wabvutula ti: «Kiminu lo kibvuriri kuri babo bayukaa maampu ma Nzaambi na bamasalilaana!»
LUK.11.29	Mampuumbu bu maba makutukina, Yesu wabeke mu kuleele ti: «Kiseendu kimaki, kiseendu kyakibi. Kiri mu kusaka kidiimbu. Ngo kwahele kidiimbu ki baha kuri kiseendu ki, mbuti kiri kya Yona ko. 
LUK.11.30	Mukwongo, bunu bwaba Yona, kidiimbu kuri bari Ninive, bunubwo se buba Mwaana muutu mu kiseendu kimaki. 
LUK.11.31	Mbyaasi ya mukyeetu ya ku baanda, sa kateleme mu kiluumbu kya mutsuundu, kintwaari na baatu ba kiseendu kimaki, na sa kabakesele mukanu, mu bukuri nde wafumuni mu manto ma butoto, mu kwiisa kuyuka madyeele ma Solomo. Ngo mono, wuri hamaha bvuriri na Solomo. 
LUK.11.32	Mu kiluumbu kya mutsuundu, babakala ba ku Ninive sa bateleme kintwaari na kiseendu kimaki, na sa babakesele mukanu, bukuri bo bayiingiri madyeele mu nyikusulu dza Yona; ngo mono, wuri hamaha bvuriri na Yona!»
LUK.11.33	«Kuri muutu ko wuri kanamukaana mwiinda, wumusuusiri kunsa kisweekulu, [bunu pe kunsa kisa]. Ngo kasi lo kumusuusa ha yulu kitetukulu kya mwiinda, mpisi heki bakoto, bamono buungi. 
LUK.11.34	Diisu ngo mwiinda nyutu. Mbuti diisu dya ye dyaditsiina, lo nyutu ye yoyinso yiri kunsa buungi. Ngo mbuti diisu dya ye dyabeele, lo nyutu ye yiri kunsa mampimbisi. 
LUK.11.35	Hango, sa madyeele mpisi buungi buri mu ye buhele kukituka mampimbisi. 
LUK.11.36	Ngo mbuti nyutu ye yoyinso yiri kunsa buungi, na yahele ti na mwaa hari mampimbisi, lo yoyinso sa yaba kunsa buungi, bunu bu haanaa mwiinda buungi kuri ye.»
LUK.11.37	Yesu kamana kudzoonso, Mufarisi mosi wamuteele mbila mu kwedya ku nzo nde. Nde bu kakoto wadzakala mu kudya. 
LUK.11.38	Mufarisi wakimuka mu kumono ti Yesu wahele tekesele kuswaaka myooko mu kudya. 
LUK.11.39	Mfumu waleele kuri nde ti: «Mu lumalu, beenu Bafarisi, lutsyeemisaa mbasa na lukoombo ku mbasi, ngo kasi beenu-meene kunsa-kati lwaluula mu kwiibi na mu bubi. 
LUK.11.40	Beenu biwulu! Wunde wayirikiri ku mbasi, buri wahele kuyirika se kunsa-kati? 
LUK.11.41	Hango, heenee mu kikabu kuri bawelu bibyo biri munsa mbasa na lukoombo, tumi byobinso biba byatsyeeme kuri beenu.»
LUK.11.42	«Ngo kyaari kuri beenu Bafarisi, bukuri beenu luhanaa kikuuku kyakuumi kya binkoolo biri nkuumbu hedwosemo, na pegano, na kya binkoolo bya bitsuumbu-bitsuumbu. Ngo kasi beenu lukwenyaafuna nsungumunu na ntiilu bya Nzaambi. Bibyo beenu luketi kusalila, kwahele kunyaafuna byakaka.»
LUK.11.43	«Kyaari kuri beenu Bafarisi, bukuri beenu lutiiri kwedzakala mu bibeendu byatete mu manzo mankutukunu, na kuri ti beeluha mamboto mu bibeendu bya bobanso. 
LUK.11.44	Kyaari kuri beenu, bukuri luri bunu mampeembe mahele kuyabakana, mari baatu badyaata ha yulu mo kwahele kuyaaba.»
LUK.11.45	Muyikisi mangisi mosi wabvutula, waleele kuri Yesu ti: «Muyikisi, wubaanaa wuleele mamo, lo beetu se ye wuri mu kutuka.» 
LUK.11.46	Yesu wabvutula ti: «Kyaari kuri beenu se, bayikisi ba mangisi. Bukuri beenu lukwetetekile baatu matsulu maleme mu kunata, ngo beenu-meene lwahele kubelemene matsulu mamo ti mu muleembu mosi. 
LUK.11.47	Kyaari kuri beenu, bukuri lukwetuunga mampeembe ma babikiri, koomosoko bataayi ba beenu babadzusiri. 
LUK.11.48	Hango beenu se luri bambaangi, na lumono kiminu mu biyiriki bya bataayi beenu; bukuri bo ngo baba kubadzusa, na beenu ngo lutuunga mampeembe. 
LUK.11.49	Hango-nkuumbu madyeele ma Nzaambi maleele ti: "Me sa nyabaheekele babikiri na bantumu; na bo sa badzusa babamosi, na kukwaamisa bakaka", 
LUK.11.50	mpisi heki kiseendu kimaki kifuta makila ma babikiri matsaamukini, kuholosono ku bayirikiri nsi, 
LUK.11.51	kuholosono mu makila ma Abele natee mu makila ma Dzakariya wu badzusiri ha kakati dya dziku na nzo yangisi. Heehe, me nyiluleele kuri beenu ti kiseendu kimaki sa kyafuta momanso mamo. 
LUK.11.52	Kyaari kuri bayikisi ba mangisi, bukuri beenu lwayusiri fungula dya nyaabulu, beenu-meene lwahele kukoto, na batiiri kukoto, beenu lubakakisila.»
LUK.11.53	Yesu bu kapala mu nzo yiyo, bayikisi ba mangisi na Bafarisi babaandika kumubakila nkesi dza makwa, na kumudzoonsolo mu misamu myalaka, 
LUK.11.54	na kwemutekele myeete mu kumubaka mu mipala mu munwa waandi.
LUK.12.1	Mu mantaangu mamo, mafuunda ma baatu makutukina, mu kiteesu kiri babamosi bakwedyaata mu yulu bitaambi bya bakaka. Yesu wabeke kudzoonso dyatete kuri bayiki baandi ti: «Seenee madyeele mu ntoono lufunusu lwa Bafarisi, ngo bumpitu-bumpyoongo bwa bo. 
LUK.12.2	Kuri kyasweeku ko, kihele kuba kyamonokono; na kuri nsweeki ko, yihele kuba yayabakina. 
LUK.12.3	Hango-nkuumbu, momanso ma luri lwaleele kunsa mampimbisi, sa bamayuka kunsa buungi; na ma luri lwadzoonsolo mu mamfuundu kunsa ntari sa babikisa mo ku yulu miluri.»
LUK.12.4	Banduku baami, me nyileele kuri beenu ti: «Yaa lubata bari badzusaana nyutu, ha mambisa haho bahele na ki babweese kusa. 
LUK.12.5	Me nyilusoongo wunde wuluyelemini kubata. Bateenu wunde wuri kamana kudzusa, wuri na lutumu lwa kutuba ku lubila. Heehe, me nyiluleele ti bateenu wa bubwo.»
LUK.12.6	«Buri bakooyarika maseke mataanu, mu mipata myoolo ko? Ngo kuri ti dimosi mu mo diri Nzaambi wadidzimbukina ko. 
LUK.12.7	Na mfu dza mutu weenu, dzodzinso dzataangu. Yaa luba na boomo ko; beenu lubvuriri ndaandu ti na maseke malaka!»
LUK.12.8	«Me nyileele kuri beenu ti, mpisi wunde wutaambula me ha busu bwa baatu, lo Mwaana muutu se sa kamutaambula, ha busu bwa bambasi ba Nzaambi. 
LUK.12.9	Ngo wunde wutuna me ha busu bwa baatu, lo sa bamutuna ha busu bwa bambasi ba Nzaambi.»
LUK.12.10	«Mpisi wuleele ntoono yayibi mu Mwaana muutu, lo sa bamuhemesene; ngo kasi wunde wusaana Mpeeve Yangisi, lo bamuhemesene ko.»
LUK.12.11	«Mu ntaangu yibalunata mu manzo mankutukunu, na ha busu bwa batsuundisi na bangaa-lutumu, lo yaa luba na boomo ko, ti buri lukalila manyutu meenu, bunu pe nki luleele; 
LUK.12.12	bukuri Mpeeve Yangisi sa kaluyikisa, mu kilookolo kikyo mamo mayelemene mu kuleele.»
LUK.12.13	Muutu mosi mu mpuumbu waleele kuri Yesu ti: «Muyikisi, leele kuri mpaangi me, mpisi tukaba masaala.» 
LUK.12.14	Yesu wabvutula kuri nde ti: «Muutu wu, na wasuusiri me mu kuba nzoonsi, bunu pe mukabiri masaala ma beenu?» 
LUK.12.15	Yesu waleele kuri bo ti: «Taleenu na seenee madyeele mu mpisi kiteesu kya ntiki-mboongo, bukuri ti hayuku muutu waluula mu busina, lo kidziingu kya nde kyahele kukaangama mu bitotolo bi kari na byo.» 
LUK.12.16	Yesu wabateele nkuma yimayi ti: «Muutu mosi wa kisina waba na manseke mapalisiri bimbutu byalaka. 
LUK.12.17	Nde watsima kunsa mutima ti: "Buri nyisa, bukuri nyahele na kibeendu ki nyisuusa bimbutu byaami?" 
LUK.12.18	Tumi waleele: "Me bumabu nyisa. Me nyitsaamuna matalaka ma nyiri na mo, mpisi ntuunga mabvuriri bunene, na nkutukisa masaangu momanso na bitotolo byaami. 
LUK.12.19	Tumi nyeki leele kuri muheebulu waami ti: Muheebulu waami, ye wuri na bitotolo byalaka byawuunguku mu mibvu myalaka. Sa wuuma kwaaku, dya, nwa na sa munkeembu." 
LUK.12.20	Ngo Nzaambi wamuleele ti: "Ye kiwulu, mu butsuku buubu ye bee fwiiri. Heki bi mwaakutukisa bibyo bya na biba?"» 
LUK.12.21	«Bunubwo se buba mu muutu wukutukisaa busina mu ntoono nde-meene, na wahele kusaka busina mu ntoono Nzaambi.»
LUK.12.22	Yesu waleele kuri bayiki [baandi] ti: «Hango-nkuumbu, me nyiluleele ti: yaa lwenyoongo mu ntoono kidziingu ko, mu bi ludya, na mu ntoono nyutu, mu bi lulwaata. 
LUK.12.23	Bukuri kidziingu kibvuriri ti na byandya, na nyutu yibvuriri ti na binkuta. 
LUK.12.24	Talee binkwaaka: Byo bikookunaa ko, bikootolaa ko; byahele na binzangala, na matalaka, kasi Nzaambi koobadiisilaa, ngo beenu lubvuriri mufunu na bo! 
LUK.12.25	Nani mu beenu, wuri mu minyoongi myaandi, lo bangusini kunonono kidziingu kyaandi, mwaa-kwantele?»
LUK.12.26	«Hango mbuti lo lwahele kubangisina ti mwaa kitotolo kyantele, dyaburi lukwenyoongo mu byakaka? 
LUK.12.27	Taleenu bu kwebuukula bifulu bya manseke: byo byasala ko, bya tuunga ko; ngo kasi, me nyiluleele ti: Solomo, kunsa nkeembu yaandi yoyinso, kasii lwaata bunu kitiiti ti kimosi mu byo ko. 
LUK.12.28	Ngo mbuti Nzaambi wulwiikaa bitiiti bya manseke, biri lumalu biri, ngo bweepari babitubiri ku muduku wa mbaawu, lo dyaburi nde kahele kubvula kulwiika beenu, baatu bari kanyi mwaa-dyantele! 
LUK.12.29	Ngo yaa lwesaka bi ludya na bi lunwa ko, na yaa lweba na minyoongi ko; 
LUK.12.30	bukuri byobinso bibyo bangooyi ba nsi yimayi bakwebisaka. Ngo kasi Taayi dyeenu yaari ti, beenu luri na nzala bibyo. 
LUK.12.31	Bvulee kasaka Kimfumu kyaandi, tumi bibyo baluha ha yulu haho.»
LUK.12.32	Yaa ba na boomo ko mwaa-mpuumbu, bukuri Taayi dyeenu wamwiini ti bwabubwete mu kuluha Kimfumu. 
LUK.12.33	Yarikeenu bitotolo byeenu, na kabuleenu kuri bawelu; yirikeenu bimpokoro bya mboongo byahele kufuuka, na sweekeenu ku mayulu, busina bwahele kuwa. Kukwo kuri ngaa-kwiibi lo wahele kukokosolo, na bisekisi byahele kudya. 
LUK.12.34	Bukuri, haho ha sweeku busina bweenu, hanaho se haba mutima weenu.
LUK.12.35	«Kaangee misweele myeenu, na namukee miinda myeenu. 
LUK.12.36	Beenee bunu baatu bari mu kukiingila mfumu yaaku, mu ntaangu yi kafumuna ku makweele, mpisi heki bu katubukiri na kombitiri, bo bamudzibukiri mu mawasu. 
LUK.12.37	Kiminu kuri bisari bibyo biri, Mfumu ha kakwiisa wubatangisini kuri bari naana. Mu ngwanwa me nyiluleele ti: nde sa kalwaata kinkuta kya kusalila, sa kabadzakisa mpisi badya, na sa kayooko mu kwebasiila byandya. 
LUK.12.38	Mbuti mu kitulu kyabyoolo bunu pe kyabitatu, nde kakwiisa kubatangusina kuri bari naana, lo kiminu kuri bo!»
LUK.12.39	«Ngo yabee dyo ti, mbuti ngaa-nzo kooyaabaa kilookolo ki kwiisa ngaa-kwiibi, nkani lo katala ko ti bamubula na nzo. 
LUK.12.40	Ngo beenu se, beenee bayirima, bukuri lwahele kuyaaba mu nkya kilookolo Mwaana muutu kakwiisa.»
LUK.12.41	Petelo wafuula ti: «Mfumu, nkuma yiyo, mu beetu teeriri yo, hoti mu baatu bobanso?» 
LUK.12.42	Mfumu waleele: «Nkya kisari kyakwiikama na kyalubuka, kiri mfumu wumuha lutumu ha yulu bisari bya mu nzo yaandi, mu kubaha byandya mu ntaangu yayelemene? 
LUK.12.43	Kiminu kuri kisari kikyo, kiri mfumu ha kakwiisa, wumumwiini kuri wuri mu kusa bubwo. 
LUK.12.44	Ngwanwa me nyiluleele ti, sa kamusuusa mu kukebe bitotolo byaandi byobinso. 
LUK.12.45	Ngo mbuti kisari kikyo wutsima kunsa mutima waandi ti: "Mfumu yaami wuri mu kudziingila mu kwiisa"; na baandikiri kulata bisari bya babakala na bya bakyeetu, na kwedya na kwekolo malu; 
LUK.12.46	lo mfumu kisari kikyo sa kiisa mu kiluumbu kiri nde wahele kumukiingila, na mu kilookolo kiri nde wahele kuyaaba. Sa kamubinga, na sa kabwiilila maseembu kintwaari na bahele kukwiikama.»
LUK.12.47	«Kisari kimwaayaaba kutya kwa mfumu yaandi, ngo wahele kuyirima, bunu pe wahele kusa bunu buri kutya kwa nde, lo sa bamusyooso nkwaasulu dzalaka. 
LUK.12.48	Ngo kasi kisari kiri kyahele kuyaaba, ngo kayirikiri mari nde yelemini kubwiilila nkwaasulu, lo kumulata mwaa-kwantele. Kuri wunde wu bari baha byalaka, sa bamuloombo byalaka; na kuri wunde wu bari basiimbisa byalaka sa bamuloombo bibvuriri.»
LUK.12.49	«Me nyayisiri mu kutuba mbaawu ha butoto, na me ntiiri nkani yeki yanamusu. 
LUK.12.50	Me nyiri na mbotokulu yi bambotoko, na me nyiri mu kubingikila nkani habee yiyirima mu mawasu.»
LUK.12.51	«Buri beenu bu lutsima ti me nyatweesi kiyeengi ha butoto? Pele, ngo kasi me nyiluleele ti nkabunu. 
LUK.12.52	Mukwongo, mu lumalu sa kuba bari bataanu mu nzo mosi, lo bakabumini kuri batatu betelemisi kitaatu mu boolo, na boolo mu batatu. 
LUK.12.53	Nkabunu sa dziba kuri lo taayi telemisi kitaatu mu mwaana wa mubakala, na mwaana wa mubakala se mu taayi; nguri mu mwaana wa mukyeetu, na mwaana wa mukyeetu mu nguri, nguri mulumi mu mukasi mwaana, na mukasi mwaana mu nguri mulumi.»
LUK.12.54	Yesu wabweese kuleele kuri mampuumbu ti: «Ha lukoomonaa beenu, tuti ditoombokiri ku dyaamunaa ntaangu, hanaho beenu luleelaa ti: "Mvula bee yinokini", na bunubwo se bukooyirimaa. 
LUK.12.55	Na mbuti kiteembu kikwiisikila dya ku sude, beenu luleelaa ti: "Lolo bee kubee mwiini", na bunubwo se bukooyirimaa. 
LUK.12.56	Beenu luri bangaa-bumpitu-bumpyoongo! Beenu luyaaba kubakula kinzeri kya butoto na yulu; ngo kasi ntaangu yimayi beenu lwahele kuyaaba kubakula?»
LUK.12.57	«Buri beenu luri, bitsimi kutsuundisa pe mu beenu-meene, mu kumono mamo masuunguma? 
LUK.12.58	Mukwongo, lubaanaa lukweende ku muyalu na wunde wu luri lwabakana, lo saka bu luyukisina na nde ha lwakiri mu nzila, mu kubata kuri ti kakukooko ha busu bwa mutsuundisi, na mutsuundisi kakuyakisa mu myooko mya muyongolo, na muyongolo kakusoko mu boroko. 
LUK.12.59	Me nyileele kuri ye ti, ye wuri mpalila mumwo ko, natee wakiri kufuta mwaa-mupata wampotulu.»
LUK.13.1	Mu ntaangu yiyo, baatu bayisa kuri Yesu mu kumuyaabisa mamo mayirimini mu bari Ngalili, bari Pilato kabadzusaana, ha kasaangiri makila ma bo na ma bibulu byaha mu kikabu. 
LUK.13.2	Nde wabvutula, waleele kuri bo ti: «Beenu bu lutsima ti bari Ngalili babo, bukuri bamwiini mpasi, bo babvuriri masumu ti na baatu bobanso bari Ngalili? 
LUK.13.3	Pele, me nyileele kuri beenu ti, mbuti beenu luyiingiri madyeele ko, lo beenu-banso se sa lwafwa bunu bo. 
LUK.13.4	Heki bo kuumi na mpoomo, babwiirikiri nzo ku Silowa baba fwa, beenu bu lutsima ti bo baba babvuriri lumvuki ti na baatu bobanso bari Yerusalemi? 
LUK.13.5	Pele, me nyileele kuri beenu ti, mbuti beenu luyiingiri madyeele ko, lo beenu-banso se sa lwafwa bunu bo.»
LUK.13.6	Yesu wabweese kuta nkuma yimayi: «Muutu mosi wakuna mungenge munsa nseke yaandi ya bviinya, ngo bu kayisa mu kusaka bimbutu mu nde wahele kubaka. 
LUK.13.7	Nde waleele kuri kisari kya bviinya ti: "Mono, mibvu myeki mitatu me nyiri mu kwiisa kusaka bimbutu mu mungenge wumawu, ngo nyahele kubaka. Hango, mutabula kwaandi, bukuri wuri mu kukala butoto kwa buunu." 
LUK.13.8	Kisari wabvutula kuri nde ti: "Mfumu, muhemeseeti mu mubvu wu, natee me nyimuhaka mu teteke na nziika bitiiti, 
LUK.13.9	kampe lo bee butiri bimbutu mu mantaangu makwiisa; mbuti pele tumi wamutabula."»
LUK.13.10	Yesu waba yikisaana mu nzo-nkutukunu mu kiluumbu kya mpuumunu. 
LUK.13.11	Mono, munumwo mwaba mukyeetu mosi, wuri kipilu kya mibvu kuumi na mpoomo, waba na mpeeve yamusa kipfuumi, kuri nde wakoromo na wahele kubangisina kusuunguma. 
LUK.13.12	Yesu bu kamumono, wamuteele mbila na wamuleele ti: «Mukyeetu, ye kuulukiri mu kipfuumi kyaaku.» 
LUK.13.13	Nde wamutetekele myooko, na hanaho, nde wasuunguma na wabeke kukeembese Nzaambi.
LUK.13.14	Ngo mukuutu nzo-nkutukunu wabaka nkesi, bukuri Yesu watsinikisi mubeeru mu kiluumbu kya mpuumunu. Nde waleele kuri mpuumbu ti: «Turi na biluumbu bisaamunu bi tuyelemini kusala. Wasamee mu biluumbu bibyo, mu kutaambula butsiina, nkani ka mu kiluumbu kya mpuumunu ko.» 
LUK.13.15	Mfumu wabvutula kuri nde, waleele ti: «Beenu bangaa-bumpitu-bumpyoongo, buri mpisi muutu mu beenu mu kiluumbu kya mpuumunu, kakoonyangunaa ngoombo yaandi ko, bunu pe mpuunda ko mu kidiilulu na kweemunwiisa maampa? 
LUK.13.16	Ngo mwaana Abalaami wa mukyeetu wumawu, wuri Satana wabee wamukaanga bikonyi, mu mibvu kuumi na mpoomo, buri habee lo kumunyaanguna pe mu kiluumbu kya mpuumunu?» 
LUK.13.17	Yesu bu kaleele mamo, bataatu ba nde bobanso bafwa nsoni; ngo mpuumbu yakeembe mu momanso mankimukunu ma kaba yirikaana.
LUK.13.18	Yesu ti: «Kimfumu kya Nzaambi kyafwanikina na nki? Na nki me nyitsitsa kukifwanikisa? 
LUK.13.19	Kyafwanikina na lusaangi lwa muti wuri nkuumbu sinapi, luri muutu kaholaana, kunini munsa munyaka waandi. Bu lumenini lweki muti, na banoni ba yulu bakwiisa kutuunga madzaansa kunsa bimpaala byaandi.»
LUK.13.20	Yesu wabweese kuleele ti: «Na nki me nyifwanikisa Kimfumu kya Nzaambi? 
LUK.13.21	Kyo kyafwanikina na lufunusu luri wa mukyeetu kaholaana saangiri na fufu dyakuka bisa bitatu, natee ku ditoomboko dyodinso.»
LUK.13.22	Yesu waba kwelutaana mu mabvula na mu mabula, na wukweyikisa kuri wuri mu kweende ku Yerusalemi. 
LUK.13.23	Muutu mosi wumufuula ti: «Mfumu, buri lutaangu lwa baatu babvuuka mwa-lwantele?» Yesu waleele kuri bo ti: 
LUK.13.24	«Nwanikinee mu kukoto mu mweelu wasweeteme, bukuri me nyiluleele ti, balaka sa basaka kukoto, ngo ka babangusina ko.»
LUK.13.25	«Mu ntaangu yiri ngaa-nzo, mwaateleme na mwaakaanga mweelu, haho beenu lubaandika kuteleme ku mbasi, na kukomboto ha mweelu, na kuleele ti: "Mfumu, wutudzibukila." Nde bu kabvutula sa kaleele kuri beenu ti: "Me nyahele kuyaaba beenu kari ba kuri!" 
LUK.13.26	Haho, beenu lubaandika kuleele ti: "Beetu twadiiri ha busu bwa ye, na ye wayikisiri mu manzila ma beetu." 
