MAT.1.1	Srakàda atehuŋ ma ke kú Yeso Kristò edɛ Ŋwa àfα Devì á yá ma Ŋwa Abràha huŋ.
MAT.16.19	Ŋ ke ŋa wò bú bo yi pyά ndɔ á ma ke ndu àfα akpachù huŋ. Mami gɛ à lè chì ŋɛ zhyɔ yi, ma bú bo chìyogbα akpachù yi. Mami gɛ à lè fòju ŋɛ zhyɔ yi, ma bú bo fòjuyogbα akpachù yi.” 
MAT.16.20	Ngèhuŋ, è gbi bo chwα lɛ, bo tété yaŋa nguzo lɛ, ngè Mpofye wa, yi Mbɔchù yá yate lɛ, è ke ya huŋ mu.
MAT.16.21	Chàkà ebɔ atehuŋ, Yeso chàwa ke yi màŋa wa e yi mbɔ̀bye wo ge hɛ bye lɛ, è ke dɔ bàlè Jèrosalɛ̀, e ke dɔ vèzri bwo wa àmbra wo àfα wa e tá Mbɔchù wo chɔche bɔ̀bye. Bo ke gbα ge bɛ, chi ke gbè sra huŋ, è ke ngàninju kwɔ yi.
MAT.16.22	Ngè Pità yá mbudɔ wo gè áwá yi, è chà ke gè, yi kɛmbu, ke bú e zà huŋ, yi zà lɛ “Mbɔchù tὰ Mpwèmya. Cho bú atehuŋ yî be e bɛkô wò mà baba mu.”
MAT.16.23	Bɛhuŋ, Yeso yá yasè zà wo Pità lɛ, “Chɔ̀ shyɔ ju ŋɛ yi Satà. À ma be tó á kùkɛnate pyɔ huŋ, ke sepɔ wo matê enke Mbɔchù mu, sepɔ wo ma enke ngru e yi vèbye huŋ.”
MAT.16.24	Ngè Yeso yá zà wo wa e yi mbɔ̀bye wo gè hɛ lɛ, “Ngru lè ka lɛ, e chikɛ ŋɛ, ngru alɔhuŋ pwɛ̀te bye e yi sepɔ ke drige huŋ kokro, e chαmbu tóàkpa ge, ke yi chi ŋɛ. 
MAT.16.25	È ma lɛ, mami nya á kate lɛ, e pofye gbαgbα ge abɔge, è ke táwá ge. Bɛhuŋ, ngru á táwá gbαgbα ge ke mì, è ke bɛ gbαgbα. 
MAT.16.26	Yi mbè gɛ, yi ngru ke bɛ, be è lè bɛ bye émyaŋɛ mbri bɛhuŋ, è táwá gbαgbα ge mɔ huŋ? Àmɔmu huŋ, ngɛ ngru ke ŋayasè ke gbαgbα ge? 
MAT.16.27	Be è ma àmɔ huŋ, ebɔ yi ya, yi chi Ŋwa Ngru ma ke yasè ya bàfɔ̀ wo nchèndé ge wo ngre á ju wo So ge huŋ. Ngèhuŋ, Ŋ̀ ke kpa mami nya be bú e yayi tɔ huŋ. 
MAT.16.28	Ma Ŋ yaŋa nɛ endɛndɛ lɛ, wazɔ ma ŋɛ e ke pɔpɔ̂ emya fi mu, tètè be bo ke ya vè Ŋwa Ngru be Ŋ yi ya be àfα yi.”
MAT.17.1	Chi chαmbazo yá kàjugbαyi huŋ, Yeso yá mbu Pità, Jɛ̂ wo Jɔ̂ ŋwanyɔ̀ Jɛ̂, bo ni se ànɛ̀ zo á kpɛbɛ̀te, bre bo dɔ ma yi vébo. 
MAT.17.2	Ngè bo vèwa be kpɔ Yeso yasète, ju ge yi mbu be nú yi, àse ge yi mbu lè powa. 
MAT.17.3	Ngèhuŋ, bo yi sra fovèwa mɔ be Mɔsè bombò Èlajà pàjya, yi ya chyα wo Yeso.
MAT.17.4	Pità yá zà wo Yeso lɛ, “Mpwèmya, è sɔ be nyi ma ŋɛ huŋ. Be à lè nɛte, Ŋ ke de ápɔ́ sra, nzo ke bù, nzo ke Mɔsè wo nzo ke Èlajà.”
MAT.17.5	Be Pità yi yafɔdɔ wo chyα atehɛ huŋ, ngèhuŋ embu achate huŋ, vokɛ̀shyawa bo. Nde yá ju nyihùŋ embu, yi zà lɛ, “Atehuŋ ma ŋwaŋɛ, è ma pushyɛ ŋɛ, Ŋ̀ yi pɔ sɔpɔ wo gè, yi bapɔ nɛ wo gè.” 
MAT.17.6	Ebɔ wa e yi Mbɔchù wo gè hɛ, pɔ nde atehuŋ, bo kùvɔkɛ̀wa jɔ bo zhyɔ yi wo esemɔ gbαwa. 
MAT.17.7	Bɛhuŋ, Yeso yá dɔ dùkpɛ bo, è zà wo bo lɛ, “Chitɔ nɛ mɔ, tété se nɛ mu.” 
MAT.17.8	Ebɔ bo kpɛbɛ̀ jɔ bo huŋ, bo vètê nguzo mu, bàlè Yeso vége.
MAT.17.9	Bo yá ju nú ànɛ̀, yi shya huŋ, Yeso dókα bo lɛ, “Tété yadùŋapɔ̂ nɛ nguzo bú nɛ vè huŋ mu, tètè be Ŋwa Ngru ke ngàninju gbαyi éfi yi.”
MAT.17.10	Wa e yi mbɔ̀bye wo gè hɛ, bi gè lɛ, “Ngɛ chɔche bɔ̀bye hɛ, yi zà lɛ, yi Èlajà e ke yambɔ̀yo wo Mpofye wa, yi Mbɔchù yá yate lɛ, è ke pwɛ̀ ya ke ge huŋ?” 
MAT.17.11	Yeso yá yasè zà wo bo lɛ, “È ma endɛndɛ lɛ, Èlajà ke yambɔ̀yo bàwa ke mbyabwαte bye mbri. 
MAT.17.12	Bɛhuŋ, Ŋ yi yaŋa nɛ lɛ, Èlajà yagbαyi mɔ bɛ wa vèyitê ge mu, ngè bo tɔ yi wo gè be bo kate huŋ. Ngè pyɔ atehuŋ, yi Ŋwa Ngru ke vèzri bwo bo yi.” 
MAT.17.13	Be è ya àmɔ huŋ, wa e yi mbɔ̀bye wo gè hɛ pɔchawa lɛ, e yi yaŋa bo ke Jɔ̂ Mvɔ́ wa zɔ̀ Mbɔchù.
MAT.17.14	Yeso wo wa e yi mbɔ̀bye wo gè hɛ, yá shya ànɛ̀, bo gbè bre fro wa ma huŋ. Ngè ngunwa zo yá sɛmbuya bɛ Yeso, yi kɛkúwa ju ge yi. 
MAT.17.15	È zà wo gè lɛ, “Mpwèmya, vè èsrɛ wo ŋwaŋɛ engunwa . E yi kpé wo dɔ́ kùfu, e yi vèzri gbαwa. Ebɔ zo huŋ, e yi kùpɔ épyo, ebɔ zo nyihùŋ zɔ̀ yi. 
MAT.17.16	Ŋ le mbu ya bɛ wa e yi mbɔ̀bye wo bù hɛ wo gè bɛ, bo mbyangàkô ge mu.”
MAT.17.17	Ngè Yeso yá zà lɛ, “Ô, nɛ wa mbrɔŋɛ á ma wa éwàwὰ hɛ, a pɔtê pushyɛ é Mbɔchù yi mu, yi fɔprakɔ nɛ yi ka lɛ, Ŋ shi wo nɛ? Yi fɔprakɔ nɛ yi ka lɛ, Ŋ kpɛkɛ pushyɛ ŋɛ é nɛ yi? Ya ŋa nɛ mì ŋwashyòsɔ̀ huŋ ŋɛ!” 
MAT.17.18	Bo yá ya wo gè, ngè Yeso dɛkα nkùchi á ma é ŋwashyò huŋ, ngè nkùchi huŋ juwa. Fɔnzo huŋ, ŋwashyòsɔ̀ huŋ, ngàwa.
MAT.17.19	Ngè wa e yi mbɔ̀bye wo Yeso hɛ, yá ví dɔ bi kokro kokro lɛ̀, “Ngɛ nyi lè kαjukô nkùchi alɔhuŋ mu ke gè?”
MAT.17.20	Yeso yá yasèŋa bo lɛ, “È ma ke fenyi nɛ ma baba. Endɛndɛ, Ŋ́ yi yaŋa nɛ lɛ, nɛ le mami wo fenyi baba be nji Mɔstà mɔ huŋ, nɛ yibe nɛ zà wo ànɛ̀ atehuŋ lɛ, pwɛ̀te bre atehuŋ, á dɔ ndate lɔŋɛ, è ke dɔwa, búzo matê e ke kàpɛju nɛ mu.” 
MAT.17.21	[Bɛhuŋ, à kαjukô cho nkùchi atehuŋ, á yá sofye Mbɔchù à bwé driwo wo mbɔ mu.]
MAT.17.22	Ebɔ Yeso wo wa e yi mbɔ̀bye wo gè hɛ gbòko ŋɛ pɔ́ Galìli huŋ, Yeso zà wo bo lɛ, “Bo ke ŋa Ŋwa Ngru bwo wa yi. 
MAT.17.23	Bo ke gbα ge, è ke gbè chi sra huŋ, è ke ngàninju éfi yi.” Be bo pɔ àmɔ huŋ, è nɛ̀wa bo shyɛ gbαwa.
MAT.17.24	Ebɔ Yeso wo wa e yi mbɔ̀bye wo gè hɛ, sɛsɛ nda jɛ̀ wa Kàpɛnàho huŋ, wa e yi kpɛ gɛndu ŋɛ tα Mbɔchù hɛ, yá bi Pità lɛ̀, “Chichà nɛ yi kpa gɛndu tα Mbɔchù yi?”
MAT.17.25	Pità yá yasèŋa bo lɛ, “Ɛ̂.” Ngè ebɔ Pità kàgbαyi pretα huŋ, Yeso yá ma ngru enkàpro ke ndu chyα atehɛ, yi bi lɛ̀, “Samù, á yi sepɔ lɛ gɛ? Àfé émyaŋɛ yi fye gɛndu wo bye kwɛ̀ wo bo kɔ? Bo yi fye wo zhyɛ ndi lɛ̀, wo wa eshyɔ̀?”
MAT.17.26	Pità yá yasèŋa ge lɛ, “Bo yi fye wo washyɔ̀. Ngè Yeso yá zà wo gè lɛ, á màŋa lɛ, zhyɛ ndi ke yi ŋatê mu. 
MAT.17.27	Be è mami àmɔ huŋ, nyi ke mbyatê bo lɛ, pushyɛ bo be mu, dɔ ŋɛ nyrɔ yi, á dɔ tαtro nú zɔ̀ yi. Asɛ̀ à ke kpɛ mbɔ̀yo huŋ, á pya mwɛ ge, à ke vè kɔbɔ̀ nchre nú. Mbuju dɔ kpa kɔbɔ̀ gɛndu tα sofye Mbɔchù akpè ke nyimbò bù.”
MAT.18.1	È yá ma ebɔ alɔhuŋ, wa e yi mbɔ̀bye wo Yeso hɛ, yá ya bɛ ge, yi bi lɛ̀, “Nya á kàpɛbà ŋɛ ndu àfα akpachù yi.”
MAT.18.2	Ngè Yeso yá bé ya wo ŋwashyò ebaba zo, è mbya ge ke ndate yra bo yi. 
MAT.18.3	Ngè e yi zà lɛ, “Endɛndɛ, ma Ŋ yaŋa nɛ lɛ, be nɛ lè yá yasètê zrɔbye nɛ, yi zrɔbye nɛ ma be yatra ebaba yi mu, nɛ ke kàpɔ̂ mɔ ndu àfα akpachù yi mu. 
MAT.18.4	Ngru á kàpɛbà ŋɛ ndu àfα akpachù huŋ, ma mami nya á mbubyashya wo drige zhyɔ, be ŋwashyò atehuŋ.
MAT.18.5	Mamiwa nya á fye ŋwashyò ebaba á ma be atehuŋ zre ŋɛ yi, ngè è fye yi ŋɛ.
MAT.18.6	Mamiwa nya á lè mbya nzo chɔ yatra ebaba atehuŋ, á pɔte pushyɛ bo é mì, ke tɔ abebe mɔ huŋ, e le sɔ lɛ, bo chìpɔ ge mpɛyo ámyɔ yi, bo chitɔ̀pɔ ge ávrúvrú zɔ̀ akpè yi.”
MAT.18.7	“Ezuzu ma wo wa émyaŋɛ, ke bye e yi mbya wa ke tɔ abebe huŋ. Cho bye alɔhɛ ke yi ya bàwa bɛhuŋ, ezuzu ma wo ngru e yi mbya lɛ, bye alɔhɛ ya huŋ. 
MAT.18.8	Be bu wo àmɔmu bá wo lè yi mbya wò lɛ, a tɔ abebe mɔ huŋ, kémbuju táwá ge. È ke sɔ wo bù ke bɛ shigbαgbα e yi gbαpɔ̂ mu nchrù bu àmɔmu nchrù bá, kàpɛju yi be a le ma wo bwo pyα àmɔmu bá pyα, yi bo tápɔ wò épyo e yi jepɔ̂ mu huŋ. 
MAT.18.9	Ngè be njìjwó wo lè yi mbya wò lɛ, á tɔ abebe mɔ huŋ, krámbuju táwá ge. È ke sɔ wo bù ke bɛ shigbαgbα e yi gbαpɔ̂ mu wo njìjwó nzo, kàpɛju yi be a le ma wo gé pyα mbri, yi bo tápɔ wò nyihùŋ krú nkùfi huŋ.”
MAT.18.10	“Ma vè nɛ lɛ, nɛ tété yi vèkakami mami nzo chɔ yatra ebaba atehɛ mu. Ma Ŋ yaŋa nɛ lɛ, ŋɛ akpachù huŋ, nchèndé e yi vɔ́kɛ bo hɛ, yi mabàtemɔ ju Soŋɛ á ma akpachù huŋ.” 
MAT.18.11	[Ŋwa Ngru yá ya ke tὰfye fɔju wa á wánatemɔ hɛ.]
MAT.18.12	“Nɛ yi sepɔ lɛ gɛ? Be ngru lè ma wo sɛ ge kpegrɔ̀, nzo chɔ ge yi lè wá mɔ huŋ, mê è ke pwɛ̀te é shyé wa nyɛ gbè je ju chwɔ̂ nyɛ enzɔ hɛ ànɛ̀, ke dɔ kabɛ enzo á wáte huŋ mû? 
MAT.18.13	Ma Ŋ yaŋa nɛ lɛ, ebɔ è ke kabɛ ge huŋ, è ke ma wo enɛte wo sɛ huŋ nzo, kàpɛju é shyé wa nyɛ gbè je ju chwɔ̂ nyɛ á yá wátê mu hɛ. 
MAT.18.14	Lèyɛwa pyɔ alɔhuŋ, Sonɛ á ma akpachù huŋ, katê lɛ, mamiwa nzo chɔ yatra ebaba atehɛ le wá mu.”
MAT.18.15	“Be ŋwazα lè tɔbɛ wò wo abebe, dɔ yaŋa ge eŋàdà ge nɛmbò ge wa pyα. Be è lè bapɔ wò, ngè à fye yi ge ekokro yi. 
MAT.18.16	Bɛhuŋ, be è lè bapɔ̂ wo bù mu, mbu ngru nzo àmɔmu wa pyα, nɛ dɔ bɛ ge ekokro lɛ, chyα hɛ mbri, ma wa pyα àmɔmu wa sra pɔ gé. 
MAT.18.17	Be è lè ŋɔ ke bapɔ wo bo, dɔ yaŋa wa chɔshì bú atehuŋ. Be è lè ŋɔ ke bapɔ, mami wo wa chɔshì, tɔ nɛ wo gè be bo yi tɔ wo ngru á yitê Mbɔchù mu huŋ, àmɔmu be ngru e yi kpɛ gɛndu yi.”
MAT.18.18	“Endɛndɛ, ma Ŋ yaŋa nɛ lɛ, mami gɛ a lè chìte ŋɛ zhyɔ yi, ma bú bo chìyogbα akpachù yi. Mami gɛ a lè fòju ŋɛ zhyɔ yi, ma bú bo fòjugbα akpachù yi.”
MAT.18.19	“Ndàndà huŋ, ma Ŋ yaŋa nɛ lɛ, be nɛ wa pyα ŋɛ myaŋɛ lè yafenyi ke bú nɛ yi bi ke gè huŋ, Soŋɛ á ma akpachù huŋ, ke tɔ ge ke nɛ. 
MAT.18.20	Ma yi nɛ lɛ, bre wa pyα àmɔmu wa sra, yi gbòko abre ke zre ŋɛ huŋ, Ŋ ma nú yra bo yi.”
MAT.18.21	Pità yá sɛdɔ chɛ Yeso, yi bi ge lɛ̀, “Mpwèmya, ŋwanyɔ̀ ŋɛ lè yi tɔ abebe wo mì mɔ huŋ, Ŋ̀ ke yi vèwáŋa bàte ge? Ŋ yibe Ŋ vèwáŋa ge dɔ gbè fɔ chwɔ̂ ju pyα?”
MAT.18.22	Yeso yá yasèŋa gè lɛ, “Ŋ yî be Ŋ zà wo bù lɛ, e ma fɔ chwɔ̂ ju pyα kwakwa mu bɛhuŋ, á vèwáŋa ge fɔ shyé wa sra gbè je, fɔ chwɔ̂ ju pyα.
MAT.18.23	È ma bú bo yibe bo màzà ndu àfα akpachù yi, wo àfα zo a yá ka ke fɔ̀gbòko vìbye ge wo wa chwɔ ge huŋ. 
MAT.18.24	Be è chà ke yi fɔgbòko huŋ, bo mbukàchya wo ngru chwɔ ge zo á kpɛshite ge wo tro ke àba kɔbɔ̀ je. 
MAT.18.25	Be è yá matê wo kɔbɔ̀ e yibe e kpapoŋa ge tro atehuŋ mu, ngè àfα huŋ, yá ŋa ngre lɛ, bo kpɛ ge, va ge, zhyɛ ge wo bye e ma hɛ mbri, bo fɔzhi, bo ya kpapoŋa tro alɔhuŋ.
MAT.18.26	Be àfα huŋ, ya àmɔ huŋ, ngru chwɔ huŋ, kɛkú nfɛnjɔ yi ju ge yi, è yi dàŋa ge mwɛ, yi zà lɛ, ‘Sâ, kpɛkɛ pushyɛ wo mì, Ŋ ke kpapoŋashì wò bye wo mbri!’ 
MAT.18.27	Èsrɛ yá mbya ngruse chwɔ ge ke pwɛ̀te ge, è vèwáŋa ge tro alɔhuŋ.”
MAT.18.28	“Bɛhuŋ ebɔ ngru chwɔ atesu huŋ, ju mya ke yi dɔ huŋ, è mbɔ̀kwawa bombò nguzo, yi bombò bo yayi tɔfɔ̀ chwɔ á kpɛma ge wo tro ke àbre kɔbɔ̀ nzo kwakwa. È yá vokpɛ ge ámyɔ, yi zà lɛ ‘kpa ŋɛ tro ŋɛ huŋ.’
MAT.18.29	Ngèhuŋ, ngru chwɔ huŋ, yá kɛkú nfɛnjɔ kpɛ, yi dàŋa ge mwɛ lɛ, ‘kpɛkɛ pushyɛ wo mì Ŋ ke kpapoŋa wò!’
MAT.18.30	Bɛhuŋ, ngunwa huŋ yá ŋɔ, è mbupɔpyα ge tαfi yi tètè be è lè kpapoŋâ ge tro alɔhuŋ mu, è ke jû mu. 
MAT.18.31	Ebɔ wa chwɔ enzɔ hɛ, vè bye e yi kàju hɛ, gé yá be bo shyɛ, ngè bo yá dɔ yaŋa àfα bo huŋ, bye á kàju hɛ mbri.
MAT.18.32	Ngè àfα huŋ, yá bé ya wo gè, ngè ebɔ è ya huŋ, è zà wo gè lɛ, ‘À ma ngru abebe! Ŋ̀ le vèwáŋa wò bye á kpɛshite ŋɛ hɛ mbri, ke à bɔ ŋɛ. 
MAT.18.33	À yî be á le vèko lè èsrɛ wo ngru nɛmbò bo yayi tɔfɔ̀ chwɔ atehuŋ, lèbe Ŋ yá vè lè èsrɛ wo bù huŋ mû?’ 
MAT.18.34	Ngè wo àvushyɛ huŋ, àfα yá ŋa ngre lɛ, bo pɔ ge tαfi, bo tɔ̀besɛ wo gè, tètè be è ke kpapoŋagbαyi tro ge mbri.” 
MAT.18.35	“Ngèhuŋ, è mamɔ yɛwa be Soŋɛ á ma akpachù huŋ, ke tɔ àmɔ wo mànya mànya chɔ nɛ, be ngru lè vèwáŋâ ŋwanyɔ̀ ge wo pushyɛ ge mbri mu.”
MAT.19.1	Ebɔ Yeso yagbαyi chyα atehɛ huŋ, è yá pwɛ̀te pɔ́ wa Galìli, è dɔwa ŋɛ pɔ́ Jùdya á ma pàju mɔ zɔ̀ Jodàn huŋ. 
MAT.19.2	Ngɔ̀ngɔ̀ fro wa yá chikɛna é gè, ngè è mbyangàwa wa á yayi kpé hɛ nú.
MAT.19.3	Wa Farìsi zɔ yá dɔ bɛ ge ke mbɔ̀vè ge, yi bi ge lɛ̀, “Bɔ̀bye fenyite lɛ, ngunwa kα va ge mamiwa ke drubú gɛ e sepɔte huŋ?”
MAT.19.4	È yá yasèŋa bo lɛ, “Nɛ bétê srakàda Mbɔchù e yi zà lɛ, è yá ma chàkà huŋ, ngru á mbya wa huŋ, yá mbya bo ke ma ngunwa wo nguva mû? 
MAT.19.5	È yá mbya bo àmɔ huŋ, ngè è zà lɛ, ‘Ke drubú atehuŋ, ngunwa ke pwɛ̀te sòwé wo nyɔ̀wé, ngè è ke gbòko abre wo va ge, bo yi pyα ke mamɔ ngru nzo.’ 
MAT.19.6	Ngèhuŋ, bo ke mandê wa pyα mu bɛhuŋ, bo ke ma ngru nzo. Ngè è ma lɛ, bú Mbɔchù gbòkogbα abre huŋ, ma ngru tété tre ke chɔfo mu.”
MAT.19.7	Wa Farìsi yá bi ge lɛ̀, “Ngè, ngɛ Mɔsè yá ŋate bɔ̀bye lɛ, ngunwa ŋa va ge srakàda chɔfo, ngè è kα ge huŋ?”
MAT.19.8	Yeso yá yasè lɛ, “È ma ke pushyɛ nɛ yá kwαkɛte, ngè Mɔsè yá pwɛ̀te lɛ, ngru yibe e chɔfo bα wo vα ge. Bɛhuŋ, è yá matê pyɔ atehuŋ, ebɔ chàkà yi mu. 
MAT.19.9	Ma Ŋ yaŋa nɛ lɛ, mamiwa nya á chɔfo bα wo va ge, be è lè matê lɛ, va ge na bombò ngunwa zo mu, è mbu bαndà va zo, è na yi va ngru.”
MAT.19.10	Wa e yi mbɔ̀bye wo gè hɛ, yá pɔ chyα atehɛ, ngè bo yá zà wo gè lɛ, “Be è lè ma àmɔ pyɔ atehuŋ wo nwa wo va, è ke sɔ lɛ, ngru tété bα mu!”
MAT.19.11	Yeso yá yasè lɛ, “È matê wa mbri á yibe bo fenyi wo embɔ̀ŋa atehuŋ mu, è mamɔ wa, yi Mbɔchù mbya lɛ, bo yibe bo fenyi, mbo e ke fenyi. 
MAT.19.12	Ma yiwa nɛ lɛ, wazɔ ma, yi bo mbà bo huŋ, yi bo ma be bo sαte bo. Wazɔ ma àmɔ huŋ, yi wazɔ á mbya bo ke ma pyɔ alɔhuŋ. Wazɔ ma edribo àmɔ huŋ, è ma mbo á mbya dribo ke zri ndu àfα akpachù. Ma ngru á yibe e fenyi wo embɔ̀ŋa atehuŋ, ma e fenyi.”
MAT.19.13	Wazɔ yá fɔ yatra ebaba, bo ya bɛ Yeso lɛ, e ngɔte bu ge é bo yi, e sofye Mbɔchù ke bo. Bɛhuŋ, wa e yi mbɔ̀bye wo gè hɛ, yá dɛ wa hɛ nde. 
MAT.19.14	Ngè Yeso yá zà lɛ, “Ma pwɛ̀te nɛ yatra ebaba, bo ya bɛ ŋɛ, tété tekɛte nɛ bo mu, ke ndu àfα akpachù ma ke cho wa a ma be atehɛ.” 
MAT.19.15	Be è ya àmɔ huŋ, è ngɔtewa bo wo bu ge, ngè è pwɛ̀tewa nú.
MAT.19.16	È yá kàju àmɔ lɛ, ngunwa zo yá dɔ vè Yeso, ngè è bi ge lɛ, “Chichà, yi cho bú asɔsɔ gɛ, Ŋ ke tɔbàlè bɛ, Ŋ̀ lɛ̀ bɛ shigbαgbα e yi gbαpɔ̂ mu huŋ?”
MAT.19.17	Yeso yá yasèŋa ge lɛ, “Ngɛ a yi bi ŋɛ ke bú asɔte huŋ, ke gè? Ngru á sɔte huŋ, mamɔ nzo. Be à lè ka ke kà ŋɛ bre shigbαgbα e yi gbαpɔ̂ mu huŋ, ma te bɔ̀bye hɛ.” 
MAT.19.18	Ngunwa huŋ, biwa lɛ̀, “Bɔ̀bye kɔ hɛ?” Yeso yá yasèŋa ge lɛ, “Tété gbα ngru mu, tété na va ngru àmɔ nwa ngru mu, tété ví mu, tété yafye ngru wo chyα zɛchu ke nguzo mu, 
MAT.19.19	zó sɛ̀wé wo zὰwé, ngè lɛ, nɛ wo nabàkɛ wo, be à nɛ wo driwo huŋ.”
MAT.19.20	Ŋwashyòsɔ̀ huŋ, zà wo gè lɛ̀, “Ŋ tegbαyi bɔ̀bye atehɛ mbri, ngɛ á mbatendà?”
MAT.19.21	Yeso yá yasèŋa ge lɛ, “Be à lè ka ke ma ngru á sɔngajute, ma dɔ fɔzhi bye à ma hɛ mbri, á fɔ kɔbɔ̀ alɔhɛ, a chɔfo ŋa wa èsrɛ, ngè à ke bɛ ntù ŋɛ akpachù yi. Ebɔ à tɔgbα àmɔ, ma ya, yi chi ŋɛ.”
MAT.19.22	Ebɔ ŋwashyòsɔ̀ huŋ, pɔ chyα atehɛ, ngè è juwa ke yi chɔ̀ shyɔ wo sebye ke è yá ma wo ngɔ̀ngɔ̀ vìbye.
MAT.19.23	Ngè Yeso yá zà wo wa e yi mbɔ̀bye wo gè hɛ lɛ, “Ma Ŋ yaŋa nɛ endɛndɛ lɛ, è ke kwα wo ngruvì ke kà ndu àfα akpachù yi. 
MAT.19.24	Ndàndà huŋ, ma Ŋ yaŋa nɛ lɛ, è ma fyɔwa wo kàmɛ ke kà pu àziché yi, kàju yi be ngruvì ke kà ndu àfα Mbɔchù huŋ.”
MAT.19.25	Ebɔ wa e yi mbɔ̀bye wo gè hɛ pɔ chyα atehɛ, bo yá sαfotewamɔ gbαwa, ngè bo bi lɛ̀, “Be è lè ma àmɔ huŋ, nya e ke bɛ pofye?”
MAT.19.26	Yeso yá vète bo tɛ́tɛ́, yi zà lɛ, “Bú atehuŋ, ma bú a kwαkàpɛ, yi ngru bɛ wo Mbɔchù, ke búzo ke kwαkàpɛjû ge mu.”
MAT.19.27	Pità yá yasèŋa gè lɛ, “Á vè, nyi pwɛ̀te yi bye nyi mbri ke yi chi wò, ngè ngɛ nyi edrinyi ke bɛ?”
MAT.19.28	Yeso yá zà wo bo lɛ, “Ma Ŋ yaŋa nɛ endɛndɛ yi lɛ, è ke ma ebɔ Ŋwa Ngru ke shite ŋɛ mbyɔ ngɔ̀ ge, á ma wo ezozo nyihùŋ myaŋɛ epokwre huŋ, nɛ wa á yayi chi ŋɛ hɛ, ke shi kpɛ ŋɛ mbyɔ ngɔ̀ hɛ je ju pyα ke yi kpà ekre wa Izrὰ hɛ je ju pyα. 
MAT.19.29	Mànya mànya á pwɛ̀te yi prɛndɔ ge, àmɔmu zhyɛnyɔ̀ ge éwanwa àmɔmu zhyɛnyɔ̀ ge éwavo àmɔmu sòwé àmɔmu nyɔ̀wé àmɔmu zhyɛ ge àmɔmu àwè ge ke zri ŋɛ, ngru alɔhuŋ ke bɛ bye wo wa kpegrɔ̀ kàju yi be è yá mayo huŋ, ngè è ke zhi bye á ma shigbαgbα e ke gbαpɔ̂ mu huŋ. 
MAT.19.30	Bɛhuŋ, wa á kànatepro mbrɔŋɛ hɛ, ke ma wa enchibá, ngè wa á ma wa enchibá mbrɔŋɛ hɛ, ke kàpro.”
MAT.20.1	Yeso yá yandà àchúchyα lɛ, “Ndu àfα akpachù ma be ngunwa ndu á ju mya mpùmɛ̀ zhyɛ ke bɔ wa chwɔ lɛ, bo dɔ tɔ chwɔ àwè ge huŋ. 
MAT.20.2	Be è dɔ bɛ bo huŋ, è kpàke wo bo ke kpa bo Dànarɔ̀
MAT.20.3	È yá ju dɔndàwa mya ŋɛ tú yi, ke nu chwɔ̂ ju nyɛ, ngè è vèwa wazɔ a ndatete nú, yi bo yi tɔtê búzo mu. 
MAT.20.4	È yá yaŋa bo lɛ ‘Dɔ tɔ nɛ chwɔ àwè ŋɛ yi kpɛ, Ŋ ke kpa nɛ be bo yi kpa huŋ.’ 
MAT.20.5	Be è zà mɔ, ngè bo dɔwa. È jundà mya ke njinu, ngè è mandà ke nú sra huŋ, è jundà mya ke yi bɔ wa. 
MAT.20.6	Ngè è nda ke nu chwɔ̂ ebɔ anzó huŋ, è ju dɔ vèwa wazɔ be bo ndate, ngè è bi bo lɛ̀, ‘Ngɛ nɛ ya ndatete ŋɛ chú ambrú mbri, yi nɛ yi tɔtê búzo mû?’
MAT.20.7	Bo yá yasèŋa ge lɛ, ‘È ma ke nguzo bɔtê nyi chwɔ mu.’ Ngè è zà wo bo lɛ, ‘ma dɔ, yi tɔ lè nɛ chwɔ àwè ŋɛ yi kpɛ.’
MAT.20.8	Ngè ebɔ è ma anzó huŋ, ngunwa ndu huŋ, zà wo ngruse wa chwɔ ge lɛ, ‘béfɔkà wo wa chwɔ hɛ, á kpa bo kɔbɔ̀ bo. À ke chà wo wa Ŋ bɔchibá hɛ, ngè à ke bàkɛte wo wa Ŋ yá bɔyo hɛ.’
MAT.20.9	Ngè è yá chà bo yi kpa. Wa bo bɔ chwɔ ke nu chwɔ̂ huŋ, yá ya, e kpa bo dànarɔ̀ nzo nzo. 
MAT.20.10	Ngè ebɔ wa bo bɔyo chwɔ hɛ ya lɛ, bo kpa bo huŋ, bo yi sepɔ lɛ, bo ke kpa bo kàpɛ wa enzɔ bɛhuŋ, bo kpawa lè bo Dànarɔ̀ nzo nzo. 
MAT.20.11	Be bo yi fye kɔbɔ̀ huŋ, bo chàwa evó yi dó ke ngunwa ndu huŋ, yi zà lɛ, 
MAT.20.12	wa atehɛ á bɔchibá hɛ, tɔ chwɔ mɔ ke nu nzo kwakwa bɛhuŋ, à kpawa lè nyi wo bo lèyɛwa á tɔ chwɔ chú ambrú, yi nu fαgbαmba hɛ.
MAT.20.13	Bɛhuŋ, è yá yasèŋa ngru nzo chɔ bo yi lɛ, ‘Zòŋɛ Ŋ tɔtê búzo abebe wo nɛ mu. Mê nyi le kpàkéte lɛ, Ŋ ke kpa nɛ dànarɔ̀ nzo nzo mû? 
MAT.20.14	Fye ekpamɔ wo á yi ngɔ. Ŋ mì á nɛte lɛ, Ŋ kpa lè wa á yachiba huŋ, yɛwa be Ŋ kpa wò huŋ. 
