MAT.1.1	Cartea genealogiei lui Iisus Hristos, fiul lui David, fiul lui Avraam:
MRK.1.28	Şi numaidecât s-a dus vestea pretutindeni, în tot ţinutul Galileii.
MRK.1.29	După ce a ieşit din sinagogă, Iisus a mers în casa lui Simon şi a lui Andrei, împreună cu Iacov şi Ioan. 
MRK.1.30	Soacra lui Petru zăcea cuprinsă de febră şi I-au spus îndată despre ea. 
MRK.1.31	Iar El s-a apropiat de ea şi a ridicat-o apucând-o de mână. Atunci febra a lăsat-o şi a început să le slujească.
MRK.1.32	Lăsându-se seara, pe când apunea soarele, i-au adus la El pe toţi bolnavii şi demonizaţii 
MRK.1.33	şi întreaga cetate era adunată la uşă. 
MRK.1.34	Iar El a vindecat pe mulţi dintre cei ce sufereau de diferite boli şi a scos mulţi demoni şi nu îi lăsa pe demoni să vorbească, fiindcă Îl cunoşteau. 
MRK.1.35	Apoi, trezindu-se foarte de dimineaţă, a ieşit şi S-a dus în loc pustiu şi se ruga acolo. 
MRK.1.36	Simon şi cei ce erau împreună cu el L-au căutat peste tot 
MRK.1.37	şi când L-au găsit, I-au zis: „Toţi Te caută.” 
MRK.1.38	El le-a spus: „Să mergem şi în altă parte, în celelalte sate, ca să predic şi acolo, căci pentru aceasta am venit.” 
MRK.1.39	Şi a mers, vestind în sinagogile lor din toată Galileea şi scoţând demonii.
MRK.1.40	Şi a venit la El un lepros, rugându-L şi căzând în genunchi: „Dacă vrei, poţi să mă curăţeşti!” 
MRK.1.41	Lui Iisus I s-a făcut milă, şi-a întins mâna, s-a atins de el şi i-a zis: „Vreau, curăţeşte-te!” 
MRK.1.42	Şi îndată s-a dus lepra de pe el şi s-a curăţit. 
MRK.1.43	Iisus i-a dat poruncă aspră şi l-a scos îndată afară 
MRK.1.44	şi i-a zis: „Vezi, să nu spui nimănui nimic. Du-te şi te arată preotului şi adu pentru curăţirea ta cele poruncite de Moise mai înainte, ca mărturie faţă de ei.” 
MRK.1.45	Dar el, când a ieşit, a început să vestească peste tot şi să răspândească vestea, aşa încât Iisus nu mai putea să intre pe faţă în cetate, ci stătea afară, în locuri pustii şi veneau la El oameni de pretutindeni.
MRK.2.1	După câteva zile, intrând iarăşi în Capernaum, s-a auzit că este în casă. 
MRK.2.2	Şi s-au adunat atât de mulţi, încât nu mai încăpeau nici măcar la uşă, iar El le grăia cuvântul. 
MRK.2.3	Şi au venit câţiva, aducând la El un paralitic purtat de patru oameni. 
MRK.2.4	Neputând să i-l aducă din pricina mulţimii, au desfăcut acoperişul unde era Iisus şi, prin spărtură, au coborât patul în care zăcea paraliticul. 
MRK.2.5	Iisus a văzut credinţa lor şi i-a zis paraliticului: „Fiule, iertate îţi sunt păcatele!” 
MRK.2.6	Erau acolo şi unii cărturari care şedeau şi se întrebau în inimile lor: 
MRK.2.7	„De ce vorbeşte acesta astfel? Huleşte! Cine poate să ierte păcatele, afară de singur Dumnezeu?” 
MRK.2.8	Îndată, Iisus a cunoscut în duhul Său că ei se întreabă astfel în sinea lor şi le-a zis: „De ce cugetaţi acestea în inimile voastre? 
MRK.2.9	Ce este mai uşor, să-i spui paraliticului: iertate îţi sunt păcatele? – sau să-i spui: Scoală-te, ia-ţi patul tău şi umblă!? 
MRK.2.10	Dar ca să ştiţi că Fiul Omului are putere să ierte păcatele pe pământ, 
MRK.2.11	ţie îţi vorbesc: scoală-te, ridică-ţi patul şi du-te acasă la tine.” 
MRK.2.12	El s-a sculat şi îndată, ridicându-şi patul, a ieşit înaintea tuturor, încât toţi erau uimiţi şi-L slăveau pe Dumnezeu zicând: „Aşa ceva n-am mai văzut niciodată.”
MRK.2.13	Iisus a ieşit iarăşi lângă mare şi toată mulţimea venea la El, iar El îi învăţa. 
MRK.2.14	Trecând pe acolo, l-a văzut pe Levi al lui Alfeu, şezând la vamă, şi i-a zis: „Urmează-Mi!” Iar el s-a ridicat şi I-a urmat. 
MRK.2.15	Şi pe când şedea Iisus în casa lui, mulţi vameşi şi păcătoşi stăteau la masă împreună cu Iisus şi cu ucenicii Săi. Pentru că erau mulţi şi Îl urmau. 
MRK.2.16	Iar cărturarii şi fariseii, văzând că mănâncă împreună cu păcătoşii şi cu vameşii, ziceau ucenicilor: „De ce mănâncă împreună cu păcătoşii?” 
MRK.2.17	Iisus, auzind, le-a zis: „Nu cei păcătoşi au nevoie de doctor, ci cei bolnavi. Căci nu am venit să îi chem
MRK.2.18	Ucenicii lui Ioan şi Fariseii posteau. Şi au venit şi I-au zis: „De ce ucenicii lui Ioan şi ucenicii fariseilor postesc, iar ai Tăi nu postesc?” 
MRK.2.19	Iisus le-a zis: „Pot oare prietenii mirelui să postească cât timp este mirele cu ei? 
MRK.2.20	Dar vor veni zile când mirele le va fi luat, iar atunci, în ziua aceea, vor posti. 
MRK.2.21	Nimeni nu coase la o haină veche un petic dintr-o bucată de stofă nouă. Altfel, peticul nou va trage din haina veche şi se va face o ruptură şi mai rea. 
MRK.2.22	Şi nimeni nu pune vin nou în burdufuri vechi. Altfel, vinul nou sparge burdufurile, vinul se varsă şi burdufurile se strică. Aşa că vinul nou trebuie să fie în burdufuri noi.”
MRK.2.23	Odată, într-o zi de sâmbătă, Iisus mergea prin semănături, iar ucenicii Săi au început să smulgă spice în drumul lor. 
MRK.2.24	Iar fariseii Îi ziceau: „Uite, de ce fac ei sâmbăta ceea ce nu se cuvine?” 
MRK.2.25	Şi El le-a zis: „N-aţi citit niciodată ce a făcut David când a avut nevoie şi i s-a făcut foame, lui şi celor ce erau împreună cu el? 
MRK.2.26	Cum a intrat în casa lui Dumnezeu în vremea marelui preot Abiatar şi a mâncat pâinile punerii înainte pe care nu se cuvenea să le mănânce decât preoţii, ba a dat şi celor care erau împreună cu el!” 
MRK.2.27	Şi le zicea: „Sâmbăta a fost făcută pentru om şi nu omul pentru sâmbătă! 
MRK.2.28	Aşa că Fiul Omului este Domn şi al sâmbetei.”
MRK.3.1	Şi a intrat din nou în sinagogă. Acolo era un om care avea mâna uscată. 
MRK.3.2	Unii însă Îl pândeau să vadă dacă-l va vindeca sâmbăta, ca să-L învinuiască. 
MRK.3.3	Atunci El i-a zis omului care avea mâna uscată: „Ridică-te şi vino în mijloc!” 
MRK.3.4	Iar celorlalţi le-a zis: „Ce trebuie să facă omul sâmbăta: să facă bine sau să facă rău? Să salveze o viaţă sau să o lase să piară?” Şi ei tăceau. 
MRK.3.5	Uitându-se la ei de jur împrejur cu mânie, şi întristat de împietrirea inimii lor, i-a zis omului: „Întinde mâna!” Şi el a întins-o şi mâna i s-a vindecat. 
MRK.3.6	Fariseii, ieşind, s-au sfătuit repede cu irodienii împotriva Lui, cum să facă să-L piardă.
MRK.3.7	Şi Iisus a plecat împreună cu ucenicii spre mare. Şi l-a urmat o mulţime mare de oameni din Galileea şi din Iudeea, 
MRK.3.8	din Ierusalim, din Idumeea şi de dincolo de Iordan şi de pe lângă Tir şi Sidon, mulţime care, auzind câte făcea, a venit la El. 
MRK.3.9	Iisus le-a zis ucenicilor Lui să aducă o corabie aproape de ţărm, ca să nu-L îmbulzească oamenii, 
MRK.3.10	fiindcă toţi cei ce erau bolnavi năvăleau peste El să se atingă de El, pentru că pe mulţi îi vindecase. 
MRK.3.11	Iar când Îl vedeau, duhurile necurate cădeau înaintea Lui şi strigau: „Tu eşti Fiul lui Dumnezeu!” 
MRK.3.12	Iar El le certa cu asprime, ca să nu le arate ele oamenilor cine este El.
MRK.3.13	Apoi a urcat pe munte şi a chemat acolo pe cine a vrut El şi aceia au venit la El. 
MRK.3.14	Şi a rânduit doisprezece oameni, pe care i-a şi numit apostoli, ca să fie cu El şi să-i trimită să vestească 
MRK.3.15	şi să aibă putere să scoată demonii. 
MRK.3.16	A rânduit doisprezece: pe Simon, căruia i-a pus numele Petru, 
MRK.3.17	pe Iacov al lui Zebedeu şi pe Ioan, fratele lui Iacov, cărora le-a pus numele Boanerghes, care înseamnă „fiii tunetului”; 
MRK.3.18	pe Andrei şi pe Filip, pe Bartolomeu şi pe Matei, pe Toma şi pe Iacov al lui Alfeu, pe Tadeu şi pe Simon Cananitul 
MRK.3.19	şi pe Iuda Iscarioteanul, care L-a şi vândut.
MRK.3.20	Apoi a intrat într-o casă şi s-a adunat iarăşi mulţimea, încât nu mai puteau mânca nici măcar pâine. 
MRK.3.21	Când au auzit ai Săi, s-au pornit să-L oprească, fiindcă ziceau că şi-a ieşit din minţi. 
MRK.3.22	Iar cărturarii care veniseră din Ierusalim ziceau că îl are pe Beelzebul şi că izgoneşte demonii cu puterea stăpânului demonilor. 
MRK.3.23	El însă, chemându-i, le vorbea în parabole, zicând: „Cum poate Satana să-l izgonească pe Satana? 
MRK.3.24	Dacă o împărăţie se dezbină pe ea însăşi, acea împărăţie nu mai poate dăinui. 
MRK.3.25	Iar dacă o casă s-a dezbinat pe ea însăşi, acea casă nu mai poate dăinui. 
MRK.3.26	Dacă Satana s-a ridicat împotriva lui însuşi şi s-a dezbinat, nu mai poate dăinui, ci şi-a găsit sfârşitul. 
MRK.3.27	Dar nimeni, când intră în casa unui om puternic, nu poate să îi răpească lucrurile, dacă nu-l va lega mai întâi pe cel puternic. Abia atunci îi va jefui casa. 
MRK.3.28	Adevărat vă spun: toate păcatele şi hulele, oricâte ar fi hulit, vor fi iertate fiilor oamenilor, 
MRK.3.29	dar cine va huli împotriva Duhului Sfânt, nu are iertare în veac, ci este vinovat de păcat veşnic.” 
MRK.3.30	Acestea le-a spus pentru că ziceau: „Are duh necurat.”
MRK.3.31	Şi a venit mama Lui şi fraţii Lui şi, stând afară, au trimis la El să-L cheme. 
MRK.3.32	Şi împrejurul lui şedea o mulţime de oameni şi îi ziceau: „Iată mama Ta şi fraţii Tăi sunt afară şi Te caută.” 
MRK.3.33	Iar El le-a răspuns: „Cine este mama Mea şi cine sunt fraţii Mei?” 
MRK.3.34	Şi i-a privit pe cei ce şedeau în jurul lui şi a zis: „Iată mama Mea şi fraţii Mei! 
MRK.3.35	Căci oricine, dacă face voia lui Dumnezeu, este fratele Meu şi sora Mea şi mama Mea.”
MRK.4.1	Şi iarăşi a început să-i înveţe lângă mare şi s-au adunat la El o mulţime de oameni, încât a trebuit să urce în corabie, ca să stea pe mare, iar mulţimea toată era aşezată pe pământ, lângă mare. 
MRK.4.2	Şi îi învăţa multe prin parabole şi, pe când îi învăţa, le zicea: 
MRK.4.3	„Ascultaţi! Iată, a ieşit semănătorul să semene. 
MRK.4.4	Şi, pe când semăna, o sămânţă a căzut lângă drum şi au venit păsările şi au mâncat-o. 
MRK.4.5	Alta a căzut pe piatră, unde nu a avut pământ mult, şi îndată a răsărit, pentru că nu avea pământ adânc, 
MRK.4.6	iar când a ieşit soarele, s-a veştejit şi, pentru că nu avea rădăcină, s-a uscat. 
MRK.4.7	Alta a căzut între spini, iar spinii s-au ridicat şi au înăbuşit-o şi nu a mai dat rod. 
MRK.4.8	Iar altele au căzut în pământ bun şi, înălţându-se şi crescând, au dat rod şi una a adus treizeci, alta şaizeci şi alta o sută.” 
MRK.4.9	Şi zicea: „Cine are urechi de auzit, să audă.”
MRK.4.10	Când au rămas singuri cu El, cei din jurul Lui împreună cu cei doisprezece L-au întrebat despre parabole. 
MRK.4.11	Şi le zicea: „Vouă vi s-a dat taina Împărăţiei lui Dumnezeu, iar pentru cei din afară toate sunt arătate în parabole, 
MRK.4.12	ca
MRK.4.13	Şi le-a zis: „Nu înţelegeţi această parabolă? Atunci cum veţi înţelege toate parabolele? 
MRK.4.14	Semănătorul seamănă cuvântul. 
MRK.4.15	Iar seminţele de lângă drum sunt cei în care se seamănă cuvântul, dar numai ce îl aud şi îndată vine Satana şi fură cuvântul semănat în ei. 
MRK.4.16	Iar cele semănate pe loc pietros sunt cei care, atunci când aud cuvântul, îl primesc numaidecât cu bucurie, 
MRK.4.17	dar pentru că nu au rădăcină în ei, ci sunt nestatornici, când se întâmplă vreun necaz sau vine vreo prigoană pentru cuvânt, îndată se poticnesc şi cad. 
MRK.4.18	Altele sunt cele semănate între spini: aceştia sunt cei care aud cuvântul, 
MRK.4.19	dar grijile veacului şi ademenirea bogăţiei şi celelalte pofte care intră în ei înăbuşă cuvântul şi devine neroditor. 
MRK.4.20	Iar cele care sunt semănate pe pământ bun sunt cei care aud cuvântul, îl primesc şi rodesc apoi unul treizeci, unul şaizeci şi unul o sută.”
MRK.4.21	Şi le zicea: „Oare făclia este adusă ca să fie aşezată sub pat? Nu ca să fie pusă în sfeşnic? 
MRK.4.22	Căci nu este nimic ascuns, fără să fie arătat, şi nimic tăinuit care nu va ieşi la vedere. 
MRK.4.23	Dacă cineva are urechi, să audă ceea ce e de auzit.”
MRK.4.24	Şi le zicea: „Aveţi grijă la ceea ce auziţi! Cu măsura cu care veţi măsura, vi se va măsura şi vouă; şi vi se va şi adăuga. 
MRK.4.25	Pentru că celui ce are i se va da, iar celui ce nu are şi ceea ce are i se va lua.”
MRK.4.26	Şi zicea: „Aşa este Împărăţia lui Dumnezeu, ca atunci când un om pune sămânţa în pământ. 
MRK.4.27	El se culcă noaptea şi se scoală ziua, zi de zi, iar sămânţa tot încolţeşte şi creşte, fără să ştie el cum. 
MRK.4.28	Pământul rodeşte de la sine, mai întâi firul ierbii, apoi spicul, apoi bobul de grâu deplin în spic. 
MRK.4.29	Iar când rodul se coace, omul trimite îndată secerătorii, pentru că a venit vremea secerişului.”
MRK.4.30	Şi zicea: „Cu ce vom asemăna Împărăţia lui Dumnezeu sau în ce parabolă o vom înfăţişa? 
MRK.4.31	Ea este ca grăuntele de muştar, care atunci când este semănat pe pământ este mai mic decât toate seminţele de pe pământ, 
MRK.4.32	iar după ce a fost semănat, creşte şi se face mai mare decât toate legumele şi face ramuri atât de mari, încât la umbra lui se pot adăposti păsările cerului.”
MRK.4.33	Şi prin multe astfel de parabole le grăia cuvântul, după cum puteau ei să-L asculte. 
MRK.4.34	Şi nu le vorbea decât în parabole, iar când era singur cu ucenicii Săi, le lămurea totul.
MRK.4.35	Şi în acea zi, pe când se lăsa seara, le-a zis: „Să trecem pe malul celălalt.” 
MRK.4.36	Şi lăsând mulţimea, L-au luat aşa cum era în corabie şi mai erau şi alte corăbii cu El. 
MRK.4.37	Şi s-a pornit furtună mare de vânt, iar valurile veneau peste corabie, aşa încât corabia deja se umpluse. 
MRK.4.38	Şi El dormea pe un căpătâi pe partea dinspre cârmă a corăbiei. L-au sculat şi I-au zis: „Învăţătorule, nu-ţi pasă că pierim?” 
MRK.4.39	Iar El, ridicându-se, a certat vântul şi i-a zis mării: „Taci, potoleşte-te!” Şi vântul a încetat şi s-a făcut linişte adâncă. 
MRK.4.40	Şi le-a spus: „De ce sunteţi aşa fricoşi? Cum de nu aveţi credinţă?” 
MRK.4.41	Iar ei s-au înspăimântat şi au fost cuprinşi de frică şi ziceau unii către alţii: „Oare cine este acesta, de Îl ascultă şi vântul şi marea?”
MRK.5.1	Şi au mers pe ţărmul celălalt al mării, în ţinutul gherasenilor. 
MRK.5.2	Iar când a coborât Iisus din corabie, îndată I-a ieşit înainte, din morminte, un om cu duh necurat, 
MRK.5.3	care îşi avea locuinţa în morminte şi nu-l putea lega nimeni, nici cu lanţuri, 
MRK.5.4	pentru că de multe ori fusese legat cu cătuşe şi lanţuri, dar el rupea lanţurile şi sfărâma cătuşele şi nimeni nu reuşea să îl potolească. 
MRK.5.5	Tot timpul, ziua şi noaptea, era în morminte şi prin munţi, strigând şi tăindu-se cu pietre. 
MRK.5.6	Când L-a văzut de departe pe Iisus, a alergat şi I s-a închinat 
MRK.5.7	şi a strigat cu glas puternic: „Ce ai cu mine, Iisuse, Fiul lui Dumnezeu cel Preaînalt? Te jur pe Dumnezeu, să nu mă chinuieşti!” 
MRK.5.8	Pentru că Iisus îi zicea: „Ieşi afară din om, duh necurat!” 
MRK.5.9	Şi Iisus l-a întrebat: „Care ţi-e numele?” iar el I-a zis: „Legiune este numele meu, pentru că suntem mulţi.” 
MRK.5.10	Şi se ruga mult de El, ca să nu îi trimită afară din ţinut.
MRK.5.11	Iar acolo, lângă munte, era o turmă mare de porci care păştea. 
MRK.5.12	Şi s-au rugat de El zicându-i: „Trimite-ne în porci, să intrăm în ei.” 
MRK.5.13	Atunci El le-a dat voie. Şi ieşind duhurile necurate din om, au intrat în porci, iar turma, aproape două mii de capete, s-a aruncat de pe mal în mare şi s-a înecat. 
MRK.5.14	Cei ce păşteau porcii au fugit şi au vestit în cetate şi în sate şi toţi au venit să vadă ce s-a întâmplat. 
MRK.5.15	Şi au venit la Iisus şi l-au văzut pe cel îndrăcit, cel care avusese o legiune de demoni, aşezat, îmbrăcat şi întreg la minte, şi s-au înfricoşat. 
MRK.5.16	Apoi, când cei ce văzuseră le-au povestit ce s-a întâmplat cu îndrăcitul şi despre porci, 
MRK.5.17	au început să-L roage să plece din hotarele lor. 
MRK.5.18	Iar demonizatul, când Iisus urca în corabie, îl rugă să-l lase să vină şi el să fie cu Iisus. 
MRK.5.19	Dar Iisus nu l-a lăsat, ci i-a zis: „Mergi în casa ta, la ai tăi, şi vesteşte-le câte ţi-a făcut Domnul şi cum a avut milă de tine.” 
MRK.5.20	Şi el s-a dus şi a început să vestească în Decapolis ce a făcut Iisus pentru el şi toţi se minunau.
MRK.5.21	După ce Iisus a trecut iarăşi în partea cealaltă a ţărmului, s-a adunat o mare mulţime în jurul lui, pe malul mării. 
MRK.5.22	Şi cineva cu numele Iair, unul dintre mai marii sinagogii, a venit şi, când L-a văzut, a căzut la picioarele lui 
MRK.5.23	şi L-a rugat mult, zicând: „Fiica mea e pe moarte. Vino, dar, să-ţi pui mâinile peste ea ca să scape şi să trăiască.” 
MRK.5.24	Şi Iisus a mers cu el.
MRK.5.24	Mulţimea mare Îl urma şi Îl îmbulzea. 
MRK.5.25	Iar o femeie, bolnavă de doisprezece ani de hemoragie, 
MRK.5.26	care suferise multe de la doctori şi cheltuise tot ce avea fără să aibă vreun folos, ba chiar ajunsese mai rău, 
MRK.5.27	auzind despre Iisus, a venit în mulţime în urma lui şi s-a atins de haina sa, 
MRK.5.28	pentru că zicea: „Dacă mă voi atinge fie şi de hainele lui, voi scăpa de boală.” 
MRK.5.29	Şi îndată a secat izvorul sângelui ei şi a simţit în trupul ei că s-a vindecat de boală. 
MRK.5.30	Iar Iisus, cunoscând numaidecât în Sine puterea care a ieşit din El, s-a întors către mulţime, zicând: „Cine s-a atins de hainele Mele?” 
MRK.5.31	Dar ucenicii I-au zis: „Vezi mulţimea care Te îmbulzeşte şi întrebi: Cine s-a atins de Mine?” 
MRK.5.32	Iar El se uita de jur împrejur să o vadă pe cea care a făcut aceasta. 
MRK.5.33	Atunci femeia, cuprinsă de frică şi tremurând, ştiind ceea ce se petrecuse cu ea, a venit şi a căzut înaintea Lui şi I-a spus tot adevărul. 
MRK.5.34	Iar El i-a zis: „Fiică, credinţa ta te-a mântuit. Mergi în pace şi fii vindecată de boala ta.”
MRK.5.35	Pe când Iisus vorbea încă, au venit unii de la mai marele sinagogii să-i zică: „Fiica ta a murit. De ce-L mai superi pe Învăţător?” 
MRK.5.36	Iisus însă auzind vorbele lor, i-a spus mai marelui sinagogii: „Nu te teme! Crede numai!” 
MRK.5.37	Şi nu a lăsat pe nimeni să-L urmeze, afară de Petru, de Iacov şi de Ioan, fratele lui Iacov. 
MRK.5.38	Şi au mers la casa mai marelui sinagogii şi au văzut tulburare mare şi pe cei ce plângeau şi se tânguiau mult. 
MRK.5.39	Şi intrând, le-a zis: „De ce vă tânguiţi şi plângeţi? Copila n-a murit, ci doarme.” 
MRK.5.40	Iar ei râdeau de El. El însă, scoţându-i pe toţi afară, l-a luat de o parte pe tatăl copilei, pe mama ei şi pe cei ce erau cu El şi a intrat în locul în care era copila. 
MRK.5.41	Şi apucând copila de mână, i-a zis: „Talitha kumi!” care înseamnă: „Fiică, Îţi zic, scoală-te!” 
MRK.5.42	Şi îndată copila s-a ridicat şi a început să meargă, căci era de doisprezece ani. Şi îndată ei s-au minunat foarte mult, cu mare uimire. 
MRK.5.43	Şi le-a poruncit straşnic ca nimeni să nu afle acest lucru, apoi le-a zis să-i dea fetiţei să mănânce.
MRK.6.1	Şi a ieşit de acolo şi s-a dus în patria Sa, iar ucenicii Lui L-au urmat. 
MRK.6.2	Când a venit sâmbăta, a început să înveţe în sinagogă. Mulţi din cei ce ascultau erau uimiţi şi ziceau: „De unde îi vin toate acestea? De unde îi este dată această înţelepciune şi aceste puteri care se arată prin mâinile lui? 
MRK.6.3	Nu este acesta tâmplarul, fiul Mariei şi fratele lui Iacov, al lui Iose, Iuda şi Simon? Şi nu sunt surorile Lui, aici la noi?” Şi se poticneau în acest lucru. 
MRK.6.4	Iar Iisus le zicea: „Un profet nu e dispreţuit decât în patria sa, între rudele sale şi în casa sa!” 
MRK.6.5	Şi acolo n-a putut face nici o minune, afară de faptul că, punându-şi mâinile peste câţiva bolnavi, i-a vindecat. 
MRK.6.6	Şi se mira de necredinţa lor. Şi străbătea satele din jur învăţând.
MRK.6.7	Atunci i-a chemat pe cei doisprezece şi a început să îi trimită doi câte doi, dându-le putere asupra duhurilor necurate 
MRK.6.8	şi poruncindu-le să nu ia nimic cu ei la drum, în afară de toiag. Nici pâine, nici traistă, nici punga cu bani la brâu, 
MRK.6.9	ci să fie încălţaţi cu sandale şi să nu se îmbrace cu două haine. 
MRK.6.10	Şi le zicea: „Oriunde, dacă veţi intra într-o casă, să rămâneţi acolo până ce veţi pleca din acel loc. 
MRK.6.11	Iar dacă nu vă vor primi în vreun loc şi nici nu vă vor asculta, plecaţi de acolo şi scuturaţi praful de pe talpa încălţărilor voastre, ca să le slujească drept mărturie.” 
MRK.6.12	Iar ei, când au plecat, au început să vestească oamenilor să se pocăiască, 
MRK.6.13	scoteau mulţi demoni şi ungeau cu untdelemn pe mulţi bolnavi şi-i vindecau.
MRK.6.14	A auzit dar şi regele Irod, căci numele lui devenise vestit, şi zicea că Ioan Botezătorul s-a ridicat din morţi şi de aceea lucrează puterile acestea în El. 
MRK.6.15	Alţii spuneau însă că El este Ilie, iar alţii ziceau că este un profet, ca unul dintre profeţi. 
MRK.6.16	Dar Irod, când a auzit, zicea: „Ba nu, este Ioan, căruia eu i-am tăiat capul şi care a înviat.” 
MRK.6.17	Şi asta, fiindcă Irod trimisese oameni să-l prindă pe Ioan şi l-a pus în temniţă în lanţuri din pricina Irodiadei, soţia lui Filip, fratele său, pentru că o luase de soţie. 
MRK.6.18	Iar Ioan îi zicea lui Irod: „Nu-ţi este îngăduit s-o iei de soţie pe femeia fratelui tău.” 
MRK.6.19	Aşa că Irodiada îl ura şi voia să-l omoare, dar nu putea, 
MRK.6.20	pentru că Irod se temea de Ioan, ştiindu-l bărbat drept şi sfânt, şi îl ocrotea, iar când îl asculta îl întreba multe lucruri şi chiar îi era drag să-l audă. 
MRK.6.21	A găsit însă un prilej într-o bună zi, când Irod a făcut un ospăţ de ziua sa de naştere împreună cu mai marii săi, cu căpeteniile oştirii şi cu fruntaşii Galileii. 
MRK.6.22	Atunci, după ce fiica Irodiadei a intrat şi a dansat, i-a plăcut lui Irod cât şi celor ce şedeau la masă împreună cu el, iar regele i-a zis fetei: „Cere-mi orice vei vrea şi-ţi voi da.” 
MRK.6.23	Şi s-a şi jurat înaintea ei: „Îţi voi da orice îmi vei cere, chiar şi jumătate din regatul meu.” 
MRK.6.24	Ea a ieşit şi i-a spus mamei sale: „Ce să cer?” Iar Irodiada i-a zis: „Capul lui Ioan Botezătorul.” 
MRK.6.25	Ea a intrat imediat la rege şi cu mare grabă a cerut, zicând: „Vreau să-mi dai, acum, pe o tipsie, capul lui Ioan Botezătorul.” 
MRK.6.26	Atunci regele s-a mâhnit adânc, dar din pricina jurământului şi a celor ce şedeau la masă n-a vrut să o respingă. 
MRK.6.27	Şi îndată regele a trimis un paznic, poruncindu-i să îi aducă pe tipsie capul lui Ioan. Paznicul i-a tăiat capul în temniţă, 
MRK.6.28	l-a adus pe o tipsie şi i l-a dat fetei, iar fata l-a dat mamei sale. 
MRK.6.29	Iar când ucenicii Lui au auzit, au venit, i-au luat trupul şi l-au pus în mormânt.
MRK.6.30	Când apostolii s-au adunat iarăşi în jurul lui Iisus, I-au spus toate câte au făcut şi au învăţat. 
MRK.6.31	Iar El le-a zis: „Veniţi numai voi, într-un loc ferit, în loc pustiu, şi odihniţi-vă puţin.” Căci erau mulţi cei care veneau la ei şi care apoi plecau, aşa încât nici nu mai aveau vreme să mănânce. 
MRK.6.32	Apoi au plecat într-o corabie către un loc pustiu, mai ferit. 
MRK.6.33	Dar oamenii i-au văzut plecând şi mulţi au înţeles şi, alergând pe ţărm de prin toate cetăţile, au ajuns în acel loc înaintea lor. 
MRK.6.34	Iar Iisus, când a ieşit din corabie, a văzut o mulţime mare şi I s-a făcut milă de ei, căci erau ca oile fără păstor. Atunci a început să îi înveţe multe. 
MRK.6.35	Dar făcându-se târziu deja, ucenicii au venit la El şi I-au zis: „Locul acesta este pustiu şi este târziu deja. 
MRK.6.36	Dă-le drumul, să meargă în cetăţile şi satele din apropiere să-şi cumpere ceva de mâncare.” 
MRK.6.37	Iisus însă le-a răspuns: „Daţi-le voi să mănânce.” Iar ei I-au zis: „Vrei să mergem noi să cumpărăm pâine de două sute de dinari şi să le dăm să mănânce?” 
MRK.6.38	El le-a zis: „Câte pâini aveţi? Mergeţi şi vedeţi.” Iar după ce au văzut, I-au spus: „Cinci pâini şi doi peşti.” 
MRK.6.39	Atunci le-a poruncit să-i aşeze pe toţi, cete-cete, pe iarba verde. 
MRK.6.40	Şi oamenii au şezut cete-cete, câte o sută şi câte cincizeci. 
MRK.6.41	Iar El, luând cele cinci pâini şi cei doi peşti şi ridicându-şi privirea către cer, a binecuvântat şi a frânt pâinile. Apoi le-a dat ucenicilor Săi, ca să le pună înaintea oamenilor; la fel a împărţit şi cei doi peşti, tuturor. 
MRK.6.42	Şi toţi au mâncat şi s-au săturat. 
MRK.6.43	Ba au luat şi douăsprezece coşuri pline cu fărâmituri şi cu ce-a rămas din peşti. 
MRK.6.44	Iar cei ce au mâncat pâinile erau cinci mii de bărbaţi.
MRK.6.45	Îndată după aceea Iisus i-a silit pe ucenicii Săi să intre în corabie şi să meargă înaintea Lui pe partea cealaltă, spre Betsaida, cât timp El va da drumul mulţimii. 
MRK.6.46	Iar după ce le-a dat drumul, s-a dus pe munte ca să se roage. 
MRK.6.47	Se făcuse seară şi corabia lor era în mijlocul mării, iar El era singur pe ţărm. 
MRK.6.48	Văzându-i cum se chinuiau vâslind, fiindcă vântul le era potrivnic, cam pe la a patra strajă din noapte
MRK.6.49	Dar ei, când l-au văzut că merge pe mare, au crezut că este o nălucă şi au început să ţipe, 
MRK.6.50	căci L-au văzut toţi şi s-au tulburat. Iisus a vorbit însă îndată cu ei şi le-a zis: „Îndrăzniţi, Eu sunt! Nu vă temeţi!” 
MRK.6.51	Şi s-a suit la ei în corabie şi vântul s-a potolit. Ei erau foarte uimiţi în sinea lor, 
MRK.6.52	pentru că nu pricepuseră nimic din înmulţirea pâinilor, iar inima le era împietrită.
MRK.6.53	După ce au trecut marea, au ajuns în ţinutul Ghenezaretului şi au tras la ţărm. 
MRK.6.54	Şi numai ce a ieşit din corabie, că îndată l-au şi cunoscut. 
MRK.6.55	Cutreierând tot ţinutul acela, oamenii au început să-i ducă pe bolnavi pe paturi oriunde auzeau că este El. 
MRK.6.56	Şi oriunde se ducea El, prin târguri, în cetăţi sau în sate, îi aşezau acolo, la marginea drumului, pe cei bolnavi şi Îl rugau ca măcar de poala hainei Lui să-i lase să se atingă, iar toţi cei care se atingeau de El se vindecau.
MRK.7.1	Fariseii şi unii dintre cărturari, venind din Ierusalim, s-au adunat la El. 
