GEN.1.1	Ti kucangtsi ti Rimam mam apupwen ti riben, 
DAN.2.36	“Ne ti si kurwa yi. Tine ati u ri te ukwe imbyi-yi. Ayi ta re. 
DAN.2.37	Afu ukwe ti si ukwe na abikwe ti Rimam ti ta apupwen nda pu wu afu kujwokwe, ti rurob, ti kpakang, ti riyinn. 
DAN.2.38	Afu ti awu sa ta risu ande ti utense, ti ibye kutur, ti inung ti ku yang apupwen. Awu nda fu nae ukwe risu-ba meme. Afu ti si risu wu ti a kwen te zinariya.
DAN.2.39	“Kujwokwe iki ti kpag-wu pangma afu be u ba nwunn isim-fu. Isim-yi, kujwokwe iki ti ita ti si bronzi u ba nae ukwe risu utense meme. 
DAN.2.40	Isim-yi, kujwokwe ti inje u ba nwunn, ti kpag pangma ikyabser ti ku mbub iken jwag jwag. Pangma ti ikyabser ku byinn mbub meme iken, awu u byinn mbub, u pwa ajwokwe ita yine nininam. 
DAN.2.41	Pangma ti afu sae afxen-wu ti akyikyin afxen-wu, ikyab iki si ikyabser, ikyab iki ama si ariben né, ayine ku tso baa, kujwokwe wu na u ba kata, amaa, awu u site ra kpakang ikyaen ikyabser pangma ti afu sae ikyabser naafa te ariben. 
DAN.2.42	Pangma ti kukyikyin afxen-wu ikyab iki si ikyabser, ikyab iki si ariben, ayi ku tso baa, ikyab kujwokwe wu iki u kpakang, ikyab iki ama u namtur. 
DAN.2.43	Pangma ti afu sae ikyabser renfa te ariben, ayi ku tso baa, ande ba na u naa ren atso uwae ribaen ti baen, amaa, aba u bae ren-ba atso be pangma ti ikyabser te ariben bae ren-yi atso be.
DAN.2.44	“Uwae kiye abikwe ba, Rimam ti apupwen u ye nwunn kujwokwe iki ti u twenji-wu ji be, unde iki ama u tsokyi-wu kujwokwe wu be. Kujwokwe wu u twenji tag ajwokwe yine, amaa, awu ti risu-wu u tsi ru fife yi uwe. 
DAN.2.45	Pangma ti afu sae kutxom wu yer ru ye ti ajwo-wu yi rikwen ba jwag mbub ikyabser wu, ti bronzi wu, ti ariben wu, ti azurfa wu, ti zinariya wu, ayi ku tso baa, Rimam ti site kuko na tso pu wu ukwe iken ti u ba nde uwe ike. Kurwa yi u ba nde kang, imbyi-yi si kubenti.”
DAN.2.46	Tiri, ukwe Nebukanezar si kú riben uwe Daniyel u nda wu rurob. Awu nda unju ti a na pu na Daniyel rinyangwae ti iken ti ku nung kuyang. 
DAN.2.47	Ukwe ri te Daniyel baa, “Kubenti, Rimam-fu skeb pu wu apxin, u si Itsekuru ana abikwe. Awu ti ku tatso ande iken ti kitam ikyaen ti, afu fxir tu pu fu imbyi kurwa yine.”
DAN.2.48	Ukwe ko ra Daniyel tso, ama u nda wu rinyangwae yang-yi. Awu nda Daniyel ta risu meme uten uten ti Babila, ama u si kyi unde ti ta risu ande ti ku myae na ukwe kumyae yi Babila. 
DAN.2.49	Ama Daniyel jwam ukwe ti awu na pu Shadirag, ti Meshag ti Abenego wande yi uten ti Babila. Amaa, Daniyel ta ti fikyi ukwe.
DAN.3.1	Ukwe Nebukanezar kwén iken iki te zinariya ti rikob-wu ti tso ritsen si kutun kujwo mae ita, riyaen-wu ama si afxen itsongnje. Awu kyae wu tsi yi itab iki ti ta uten Dura yi Babila. 
DAN.3.2	Ama ukwe Nebukanezar wu kunn funn tag ande ti rurob, ti afaen, ti gomna gomna, ti ande ti ku nda ukwe kumyae, ti ande ti ku ye su aser, ti ande ti ku pwen rikwen, ti ande ti ku nde wande yi kusog rikwén, ti meme ande ti uwe ti uwe yi uten uten-wu ti a na ba yerkob iken wu ti Nebukanezar kwén tsi. 
DAN.3.3	Ama meme ande ba ba funn uwe iken wu ti Nebukanezar kwén tsi ikyaen ti a u yerkob wu.
DAN.3.4	Unde ti ku ya iskin ukwe ri ira te ufxenjwin ti kpakang baa, “A nda ni unju, ani ande ti mbukwen mbukwen, ti unju uten uten baa, 
DAN.3.5	kiye ti ani a fxen a kunn kutumu, ti rijwaen, ti ripwaa, u byinn jita, ti wayae, ti guge, ti isu ti tso tso, ni si kú riben ti ni fen iken wu ti ukwe Nebukanezar kwén tsi. 
DAN.3.6	Unde ti a fen-wu iken wu be, a u ye wu jwunn sang uwae uvum urwa.”
DAN.3.7	Ikyaen yine, kiye ti aba fxen ti a kunn kutumu, ti rijwaen, ti ripwaa, u byinn jita, ti wayae, ti guge, ti isu ti tso tso, ande ti mbukwen mbukwen meme, ti unju uten uten meme, ku riben u fen iken wu ti ukwe Nebukanezar kwén tsi.
DAN.3.8	Kiye wu ariki uwae ande ti Babila ru ba ri ndembeb rinyi Mbayawuda. 
DAN.3.9	Aba ri te ukwe Nebukanezar baa, “Ukwe, unyang-fu ā ko ra ru yi uwe! 
DAN.3.10	Afu ukwe nda unju baa, unde ti na a fxen kutumu, ti rijwaen, ti ripwaa ti a kunn, ama fxen jita, ti wayae, ti guge, ti isu ti tso tso ti a byinn, a na ku riben u fen kang iken wu ti afu kwén te zinariya tsi. 
DAN.3.11	Ama unde ti a ku-wu riben u fen iken wu be, a u ye wu jwunn sang uwae uvum urwa. 
DAN.3.12	Mbayawuda ba ti afu pu ta risu wande yi uten Babila, aba Shadirag, ti Meshag, ti Abenego naa atong fxen-ba afu be. Aba fen-ba apxin-fu be, u ku riben na-ba iken wu ti afu kwén tsi be.”
DAN.3.13	Tiri, uwae rinae, Nebukanezar nda unju ti a na pu Shadirag ti Meshag ti Abenego na ba. Ama a pu ba ba uwe ukwe. 
DAN.3.14	Nebukanezar rang ba baa, “Ayi si kubenti ti ani Shadirag ti Meshag ti Abenego ku-ni riben u fen apxin-m ti apxin zinariya ti m mbye tsi be ané? 
DAN.3.15	To, kiye ti ani a fxen, a kunn kutumu, ti rijwaen, ti ripwaa, ti kiye ti a byinn jita, ti wayae, ti guge ti isu ti tso tso, ni ku riben ti ni fen iken wu. Amaa, asiti ani a shaen-ni, a u ye ni jwunn sang uwae uvum urwa, ti ame u nung baa, apxin titini ti u nwangruye ni kujwo-m.”
DAN.3.16	Ama Shadirag, ti Meshag ti Abenego cwe wu unju baa, “Ukwe Nebukanezar, ati site-ti ira iki ti ati u ri te fu risu ira yine be. 
DAN.3.17	Asiti a pu ti jwunn sang uwae urwa, Rimam ti ati ku fen u nwangruye tu ti uwae urwa atang, ti uwae kujwo-fu. 
DAN.3.18	Amaa, asiti awu a u nwangruye-wu ati be, ukwe ā nung baa, ati na u ku riben fen-ti iken ti afu ukwe kwen te zinariya tsi be.”
DAN.3.19	Nebukanezar ndembeb utob u ye uwe shirkyi shirkyi te Shadirag, ti Meshag, ti Abenego. Awu nda unju ti a na kyae urwa wu byag skeb ti kucang atsepu itsongfaen. 
DAN.3.20	Ama awu nda ariki ti kpag siskeb uwae akyirten-wu ti a na cwang Shadirag, ti Meshag ti Abenego, ti a na ye ba jwunn sang uwae urwa wu atang. 
DAN.3.21	A cwang ba renfa te arun ti a sī, ti atupwa ti a tso imbyi-ba, ti kubur risu-ba, ti atupwa-ba ti tsitsi ijwe-ba, ama ye ba jwunn sang uwae urwa wu. 
DAN.3.22	Ikyaen rinae ti ukwe tso u nda a kyae urwa wu byag timambe, iyam urwa wu twen wen akyirten ti ye Shadirag, ti Meshag, ti Abenego jwunn sang uwae urwa wu. 
DAN.3.23	A cwang Shadirag, ti Meshag ti Abenego jwunn sang uwae uvum urwa atang.
DAN.3.24	Tiri ayib fur ukwe Nebukanezar, awu nwunn ti ritsen u rang ande ti ku nda wu kumyae baa, “Aba si-ba ande ita ti ati cwang ba jwunn sang uwae uvum urwa wu be a.” Aba cwe u ri te ukwe baa, “Een, ukwe.”
DAN.3.25	Ukwe ri baa, “Nung! Ame sae ande inje ti ku kyang uwae urwa atang, iken iki nde-yi aba be. Unde ti inje-ba pangma umbae apxin.”
DAN.3.26	Nebukanezar ko ba fer ufu kusog urwa wu u kunn ira baa, “Shadirag, ti Meshag, ti Abenego, ani apyi Rimam ti skeb ti tag, ni ruye ti ni ba ike.” Ama aba ruye uwae urwa atang.
DAN.3.27	Ama ande ti rurob, ti afaen, ti gomna gomna, ti ande ti ku nda ukwe kumyae ba byir u sae ande ita ba, urwa fum-yi apwa ijwe-ba be, ikyinn risu-ba fum-yi fum be, atupwa-ba twen-yi twen be, ijwe-ba ama nung-yi ishing be.
DAN.3.28	Nebukanezar ri baa, “Ititeb ā si ana Rimam Shadirag, ti Meshag, ti Abenego ti tom atom-wu ti apupwen ba nwangruye apyi-wu ti ru kubenti uwog-wu. Aba nyatsa icwe ukwe, u cwe iticwu u ku riben fen-ba iken iki fa Rimam-ba be, nyáng Rimam amam. 
DAN.3.29	Ikyaen yine, tine, ame sa icwe tsi baa, unde iki, ko uten iki, ko unju uten iki ti a ri mbeb Rimam Shadirag, ti Meshag ti Abenego, a u kum ajwo-wu ti afxen-wu, u mbub kusog-wu si riben, ikyaen ti, apxin iki ta-wu ti u nwangru unde yi fengo yine be.”
DAN.3.30	Tiri ukwe ko rurob Shadirag, ti Meshag ti Abenego tso uwae uten ti Babila.
DAN.4.1	Ira ti ru uwog ukwe Nebukanezar ba uwog meme ande, ti ambukwen ande, ti unju uten uten ti ta utense ta re.
DAN.4.1	Kujimshwur-ni ā ko ra fufa.
DAN.4.2	Ayi nyang uwae-m ti m
DAN.4.2	u ri te ni iken ti ku fur ayib
DAN.4.2	ti Rimam ti skeb ti tag tatso m.
DAN.4.3	Iken ti ku fur ayib
DAN.4.3	ti awu ku tatso m ko timambe.
DAN.4.3	Iken ti ku fur ayib-wu
DAN.4.3	ti awu ku nde kpag timambe.
DAN.4.3	Kujwokwe-wu
DAN.4.3	si kujwokwe ti tsi yiyer.
DAN.4.3	Awu ti ta risu utense
DAN.4.3	ru fife yi uwe.
DAN.4.4	Ame ukwe Nebukanezar, uwae usom ti som na ukwe-m yi fikyi ukwe, ame site utob ti nae riben u shanum-m iken iki be. 
DAN.4.5	Amaa, ame ba sunn kurwa iki ti ye m ikyenricwu. Iken ti ame sae uwae kurwa yi nda utob-m nae-wu riben be. 
DAN.4.6	Ikyaen yine, ame nda unju ti a na kunn funn tag ande ti ben ayib ti ta uwae Babila ti a na ri te m imbyi kurwa yi. 
DAN.4.7	Ama ande ti ipwen, ti ande ti ben ayib, ti ande ti ku sae ayib, ti ande ti ku ri imbyi kurwa ba ru ba funn, ama ame pwen kurwa yi te ba, amaa, aba ri tu te-ba ame imbyi kurwa yi be. 
DAN.4.8	Isim-yi, Daniyel, ti ame fwa wu rinyi baa Beteshazar, rinyi apxin-m, awu ti site kusung apxin ti sisaen
DAN.4.9	Ame ri baa, “Beteshazar, unde ti uwe ande ti ipwen, ame nung afu site kusung apxin ti sisaen ama ira ti kitam iki ta-yi ti kpag skeb fu skeb be. Tsag te m kurwa yi ti ame sunn, ti imbyi-yi ama. 
DAN.4.10	Ame sunn kurwa. Ama uwae kurwa yi ame sae kutuku tiyang iki tsi kutampwa utense. 
DAN.4.11	Ama kutuku wu tso u kpag, rikob-wu tso ka tekunn apwa apupwen. Ko aka uwae utense ku sae kutuku wu. 
DAN.4.12	Kutuku wu shab atsing nyang, u waen timambe ti ko aye ci. Ibye kutur ku pu unyang yi uwum kutuku wu, inung ama kyae afug yi ajwo kutuku wu. Meme iken ti site unyang ba ku ci awaen-wu.
DAN.4.13	“Ti uwae kurwa wu ame sae atom ti saen kyag si apupwen ba.
DAN.4.14	“Awu ri tso te afxenjwin tiyang baa, ‘Ni tur kutuku wu si riben ti ni pye tag ajwo-wu, ti ni waen atsing-wu, ti ni pu awaen-wu jwunnshag jwunnshag, ti ibye kutur ti nae imbyi kutuku wu ā ter shag, anung ti nae ajwo-wu ama ā yaenshag. 
DAN.4.15	Amaa, yá ukum imbyi-wu ta ti riben atang ti irum ā shab pakob wu. Fae pakob wu te ikyabser ti bronzi uwae irum atang.
DAN.4.15	“ ‘Imenn ā sur fa wu atang, ti awu ā tsi fa te ibye kutur uwae irum atang.
DAN.4.16	“ ‘Uwae asang itsongfaen, utob-wu u si-yi ana unde be, a u kafe utob-wu ba utob ibye kutur.
DAN.4.17	“ ‘Ira yi ti a ri ne ru uwog atom wu ti apupwen ba. Awu atom wu ti saen kyag wu ti ri baa, iken yine u nde ikyaen ti meme ande ā nungye baa, Rimam ti skeb ti tag ti na ta risu meme kujwokwe ti ta utense. Awu u ndeye ti wu fxaembe yi u nda unde ti awu ku sha, unde ti nae risu riben uwog-wu.’
DAN.4.18	“Beteshazar, ayine si kurwa ti ame ukwe Nebukanezar sunn. Tsag te m imbyi kurwa yi, ikyaen ti, meme ande ti ben ayib ti ta kujwokwe-m ri tu-ba imbyi-yi te m be. Amaa, afu u ri tu ikyaen ti, kusung apxin ti sisaen te fu ta tetso.”
DAN.4.19	Tiri Daniyel, ti rinyi-wu iki si Beteshazar, kùnn unyang, ama ira ti kab-wu nda wu ikyenricwu. Ama ukwe ri te wu baa, “Beteshazar, kurwa yi ko imbyi-yi ā kùnn-yi afu unyang be.” Amaa, Beteshazar wu cwe baa, “Itsekuru-m, kurwa yi ā tso risu ande ti tsi ukub te fu, imbyi-yi ama ā tso risu ande rika-fu.
DAN.4.20	“Kutuku wu ti afu sae awu ser tso u kpag, ti rikob-wu ka tekunn apwa apupwen, ti meme ande utense sae wu, 
DAN.4.21	ti atsing-wu shab nyang, ti awu waen timambe, ti ko aye ba ci wu, ibye kutur ku pu unyang imbyi-wu, inung ama kyae afug-yi yi ajwo kutuku wu. 
DAN.4.22	Kutuku wu si afu ukwe ti tso u site pu fu rurob, ti iten rurob-fu ayi tso ka sang pu yi ti apwa apupwen, ama kujwokwe-fu shag kyife utense.
DAN.4.23	“Ama afu ukwe sae atom ti saen kyag si apupwen ba u ri baa, ‘Tur kutuku wu si ti fu twenji wu, amaa, yá ukum imbyi-wu ta ti riben atang, ti irum ā shab pakob wu. Fae pakob wu te ikyabser ti bronzi uwae irum atang. Imenn ā sur fa wu atang, ti awu ā tsi fa ibye kutur, se asang itsongfaen a nyatsa pu yi titawe.’
DAN.4.24	“Ukwe, imbyi kurwa wu ta re. Ira wune ru uwog Rimam ti skeb ti tag ba risu itsekuru-m ukwe 
DAN.4.25	baa, a na u rwae fu nwunn kutampwa ande kaa som te ibye uwae kutur. Afu u ka kub irum pangma indag, imenn ama u sur fa fu ka asang itsongfaen, se kiye ti afu a nungye baa, Rimam ti skeb ti tag na site kuko risu kujwokwe ande uwae utense, awu ama na ku sa yi na unde ti awu ku sha. 
DAN.4.26	Pangma ti a nda unju ti a na yá ukum imbyi kutuku wu ta te ipab-wu, ayine ku tso baa, kujwokwe-fu, a u sa kafe na fu ti atang kiye ti afu a nungye pu fu baa, Rimam na site kuko risu meme iken titawe. 
DAN.4.27	Ikyaen yine ukwe, ame ku jwam fu, paembe kumyae-m ayine, fxae ikentitibi-fu ti ti nde, ti fu nde iken ti pang atang, u sae ande ti afu ku sir ba sir te ayibrisi, ikibe afu u ci ko ka uwe.”
DAN.4.28	Meme iken yine ba nde te ukwe Nebukanezar. 
DAN.4.29	Isim ushaen rijwe asu ifaen, ukwe nwunn ku kyang pakob rukub kusog-wu yi Babila, 
DAN.4.30	Awu ri te ijwe-wu baa, “Awune si-wu Babila, uten tiyang wu ti ame mbye uwae rurob-m ti wu na si kuru ukwe ti ku tatso riyinn na kujwokwe-m be a.”
DAN.4.31	Ti ti awu ta ti uwae ira yi ti ti ri, afxenjwin si apupwen ba baa, “Nung! Ukwe Nebukanezar, ira wune ba uwog-fu baa, a na waen pu ba afu ukwe, 
DAN.4.32	ama a u rwae fu nwunn kutampwa ande u kaa som te ibye uwae kutur. Afu u ka kub irum pangma indag ka asang itsongfaen, se kiye ti afu a nungye pu fu baa, Rimam ti skeb ti tag na ta risu kujwokwe ande uwae utense, ama na ku sa yi na unde ti awu ku sha.”
DAN.4.33	Ti ritsen, ira yine kumunn risu Nebukanezar. A rwae wu nwunn kutampwa ande. Awu ru ka kub irum pangma indag. Rimenn ijwe-wu sib tag te imenn, asing ti ijwe-wu wae pangma asing ikwèn, afob ajwo-wu ti afxen-wu ama wae pangma ana inung.
DAN.4.34	Isim asang itsongfaen yi, ame Nebukanezar pu ayib sae tso apupwen, ama ira ti kab-m kafe ba ti atang. Ame teb Rimam ti skeb ti tag, u teb wu, u nda wu kuko, ikyaen ti,
DAN.4.34	awu ti nae ukwe ru fe yi uwe.
DAN.4.34	Kujwokwe-wu ama tsi yiyer,
DAN.4.34	ru fife yi utso ti ku ba uwe.
DAN.4.35	Meme ande utense
DAN.4.35	si-ba iken iki uwog-wu be.
DAN.4.35	Awu ku nde iken ti awu ku sha
DAN.4.35	kutampwa atom ti apupwen,
DAN.4.35	ti kutampwa ande ti ta uwae utense ike.
DAN.4.35	Unde iki ta-wu ti u tso wu
DAN.4.35	kujwo unju be,
DAN.4.35	ko ti awu u rang wu baa,
DAN.4.35	“Imi ti afu nde ne?”
DAN.4.36	Ti kiye wu, ira ti kab-m kafe ba ti atang, riyinn kujwokwe-m, ti rurob na kujwokwe-m meme kafe ba ti uwog-m. Ande ti ku nda m kumyae, ti afaen-m, sha kyae m u ye m tso ti kutxomkwe-m. Ama ame tu rurob kujwokwe-m skeb ti kucang. 
DAN.4.37	Kiye wu, ame Nebukanezar teb rinyi Ukwe ti apupwen. Ame ye tso u nda rinyi-wu kuko ikyaen ti, meme wande-wu si iken ti pang atang, fengo-wu ama si kubenti. Ande ti ku ndub risu, awu ku ye si ba.
DAN.5.1	Usir iki ukwe Belishazar nde ukwab tiyang ama yae ande-wu ti rurob kumbub kinjo, ama te ba ngwa ambyi anam tetso. 
DAN.5.2	Kiye ti Belishazar ngwa kyaen ambyi anam-wu, awu nda unju ti a na ka pu ruye isu zinariya ti azurfa ti itse-wu Nebukanezar pu kusog Rimam tiyang yi Urushelima ba, ti awu ukwe na ti ande-wu ti rurob, ti awa-wu ti kununn, ti isā-wu na u ngwa ambyi atang. 
DAN.5.3	Tiri a ka pu isu zinariya yi ba, ama ukwe, ti ande-wu ti rurob aba, ti awa-wu ti kununn, ti isā-wu ngwa ambyi anam atang. 
DAN.5.4	Aba ngwa ambyi anam yi ama teb rinyi apxin yi ti a kwén yi te zinariya, ti azurfa, ti bronzi, ti ikyabser, ti ayi ti a pab yi te kutuku ti kutxom.
DAN.5.5	Ti a u nunung, kukyikyin kujwo unde tsoye ku bae iken ru kupwe yi fikyi ukwe atang ru kwer uwog ti fitila tsi atang. Ama ukwe sae kujwo wu kiye ti kujwo wu ku bae iken yi. 
DAN.5.6	Tiri kutxuwe ukwe kafe utso iki txi, ikyenricwu ye wu, afxen-wu ku se ise ku gigigag, tijing-wu nam mbeb.
DAN.5.7	Ukwe nda unju ti kpakang ti a na kunn funn tag ande ti ipwen, ti ande ti ku ri imbyi ira, ti ande ti ku sae ayib. Ukwe ri te ande ti ben ayib ba ti ta uwae Babila baa, “Unde ti a nung putswa tu iken ti bae yine u ri tu imbyi-yi te m, a u pu kutupwa ti ru itibyaen si wu, u tā wu asuwa zinariya ukwae, ama u nda wu kafe unde ti kotub ukwe ti ita uwae kujwokwe wune.”
DAN.5.8	Kiye ti ande ti ben ayib ba sang ba fe, aba nung putsa tu-ba iken ti bae yi be, ama nda tu-ba imbyi ira yi be. 
DAN.5.9	Tiri ikyenricwu ye ukwe Belishazar, kutxuwe-wu kafe itso iki txi cwucwo ti nda ande-wu ti rurob uwog ukwab atang kyirunn.
DAN.5.10	Ti iya ukwe fxen ufxenjwin ukwe ti ande-wu ti rurob ba, awu sang ba uwog ukwab atang u ri baa, “Ukwe, unyang-fu ā ko ra ru yi uwe! Ndembeb-fu utob be. Yirkyi-fu kutxuwe-fu kyi be. 
DAN.5.11	Unde iki ta atang yi kujwokwe-fu ti site kusung apxin ti sisaen kiye ti itse-fu si ukwe. Unde wu site itinungye ti itsab pangma ayi na ru uwog Rimam ba. Ama itse-fu ukwe Nebukanezar nda wu ta risu meme ande ti ipwen, ti ande ti ben ayib. 
DAN.5.12	Awu site kusung iki ti nyang timambe, ti itinungye, ti itsab ti ku ri tu imbyi kurwa, ti ira ti rang ti rimang meme. Ande ku tu imbyi ira-ba uwog Daniyel wune ti ukwe fwa wu rinyi baa, Beteshazar. Kunn wu ba, awu u ri te fu imbyi ira yi.”
DAN.5.13	Ama a ka pu Daniyel ba uwe ukwe, ama ukwe rang Daniyel baa, “Afu ti si Daniyel kinjo uwae Mbayawuda ti itse-m ukwe ye ba apyi ru Yawuda ba a. 
DAN.5.14	Ame fxen iten ira-fu baa, afu na site kusung Rimam, ti itinungye, ti itsab, ama u ben ayib timambe. 
DAN.5.15	A pu ande ti ben ayib ti ande ti ipwen ba uwe-m ti a na nung putsa ira yi ti a bae ne, ti a na ri te m imbyi-yi, amaa, aba ri tu-ba imbyi-yi be. 
DAN.5.16	Amaa, ame fxen ti afu na ku ri tu imbyi ira, ama ande na ku tu imbyi ira uwog-fu. Nung! Afu a nung putsa ira yine u ri tu imbyi-yi na m, a u sī na fu kutupwa ti ru itibyaen, u pu asuwa zinariya tā fu ukwae, ama u sa fu kafe kotub ukwe ti ita uwae kujwokwe wune.”
DAN.5.17	Daniyel ri te ukwe baa, “Ame ku sha-m rinyangwae-fu be. Pu yi na-fu unde iki. Amaa, ame u nung putsa ira yi ti a bae ne na fu ukwe, u ri te fu imbyi-yi.
DAN.5.18	“Fxen, ukwe, Rimam ti Skeb ti tag nda itse-fu Nebukanezar nae ukwe u site kpakang, ti rurob, ti riyinn. 
DAN.5.19	Ikyaen rurob ti Rimam nda wu, meme ande, ti ambukwen ande, ti unju uten uten ku kyen ikyenricwu-wu. Awu ku wen unde ti awu ku sha, ku ya unde ti awu ku sha ti wu na tsi user ta ti unyang. Awu ku ye tso unde ti awu ku sha, u ku ko si unde ti awu ku sha ama. 
DAN.5.20	Amaa, kiye ti ijwe ti ndub sang ba yirkyi utob-wu, a waen wu ukwe, awu si-wu te riyinn cwucwo be. 
DAN.5.21	A rwae wu ruye kutampwa ande ama nda ira ti kab-wu kafe ana ibye. Awu ka som te ikyinnsu ti kutur, ku kub irum pangma indag. Ijwe-wu sib tag te imenn ti ku sur, se kiye ti awu nungye baa, Rimam ti Skeb ti tag ti na nae ukwe risu meme kujwokwe ti ta uwae utense, ama na ku sa yi na unde ti awu ku sha.
DAN.5.22	“Afu umbae-wu Belishazar ama nung tag ira yine u sa risu-fu si-fu riben be, 
DAN.5.23	ama ku myae risu-fu te Rimam ti ta apupwen, u ka pu isu ti si ana kusog Rimam ba ngwa ambyi anam atang, afu, ti afaen-fu, ti awa-fu ti kununn ti ti isā-fu meme. Afu teb apxin ti a kwén yi te zinariya, ti azurfa, ti bronzi, ti ikyabser, ti apxin ti a pab yi te kutuku fa ti kutxom ti ku sae-yi uwog be, ku fxen-yi ira be, ku nung-yi ira iki be. Amaa, awu Rimam ti unyang-fu ti wande-fu meme ta kujwo-wu, afu nda-fu awu rurob be. 
DAN.5.24	Ikyaen yine, Rimam nda kujwo ru ba bae iken yine.
DAN.5.25	“Iken yi ti a bae si ta re:
DAN.5.25	MENE, MENE, TEKEL, PARSIN 
DAN.5.26	Imbyi ira yine ta re:
DAN.5.26	MENE ku tso baa, Rimam na pwen tag pu wu usir kujwokwe-fu ama sa wu ba pu wu ricwunnkyi.
DAN.5.27	TEKEL ku tso baa, a na myae pu ba afu yi kitu kumyae, ama afu munn-fu be.
DAN.5.28	PERES ku tso baa, kujwokwe-fu na kata pu wu ifaen, kujwokyab kinjo a nda Mede, kujwokyab ti ifaen ama si ana Pasiya.”
DAN.5.29	Ama Belishazar nda unju, a pu kutupwa ti ru itibyaen ba si Daniyel, u tā wu asuwa ana zinariya ukwae, ama ya iskin baa, Daniyel na kafe pu wu kotub ukwe ti ita uwae kujwokwe wune.
DAN.5.30	Ti utitang usir wu, a yerwen Belishazar ukwe ande ti Babila. 
DAN.5.31	Ama Dariyusi unde ti Mede tsokyi ukwe kiye ti awu site asang mae ita mbe ifaen.
DAN.6.1	Ayi nyang uwae Dariyusi ti wu tsab ande ukob kinjo mbe rikom ti a na ta risu uten uten ti ta yi kujwokwe-wu. 
DAN.6.2	Awu tsab ande ita ti u ta risu-ba. Daniyel si kinjo uwae ande ita bane. Ande ba ti ta risu uten uten yine u ba ri te ba iken ti ku kyang ikyin ajwokwe-ba, ti ayi ā shir itijwunnsi na-yi ukwe be. 
DAN.6.3	Ama kujwo wande Daniyel tsi txi ra te wande ande ba ti tsitsi, ikyaen ti, awu site kusung iki ti nyang timambe. Ama ukwe kab ti wu na u sa Daniyel ta risu meme kujwokwe wu. 
DAN.6.4	Ikyaen yine, ande ti uwe aba sha fengo ti a u tu Daniyel te riraen yi uwog wande-wu ti a u ri ira titibi risu-wu, amaa, aba tu-ba ira iki ti a u sa kujwo kutsa atang u rimbeb wu be, ikyaen ti, awu si unde ti ku nde wande-wu uwae kubenti ama ande tu-ba awu te riraen iki be. 
DAN.6.5	Tiri, ande ba ri tetso baa, “Fengo iki ta-wu ti ati u sa kujwo kutsa atang u rimbeb Daniyel be, se iken ti a ren te icwe Rimam ti awu ku fen.”
DAN.6.6	Tiri ande ti uwe ba yer unju tetso u ba uwog ukwe ama ri baa, “Ukwe Dariyusi, unyang-fu ā ko ra ru yi uwe! 
DAN.6.7	Meme ande ti uwe ti uwe ti ku nde wande yi kujwokwe-fu, ti akwe rika, ti ande ti uwe na uten, ti ande ti ku myae ira, ti gomna gomna meme cwe pu ba ti ukwe na sa icwe ruye baa, asiti unde a jwam itijwam uwog apxin iki, ko unde iki ti si-yi afu be uwae usir rijweta ti ku ba, a na ye wu jwunn sang rukug itumu. 
DAN.6.8	Tine ukwe, bae icwe ruye ti fu kwa kujwo atang ti a u fi-ba yi fi be, putswa icwe Mede ti Pasiya.” 
DAN.6.9	Ikyaen yine, ukwe Dariyusi bae kutsingken icwe wu ruye u kwa kujwo atang.
DAN.6.10	Kiye ti Daniyel nungye baa, a na bae icwe na u kwa pu ba kujwo atang, awu ru kununn-wu u ka sang kusog-wu iki ti kiye kusog wu mbubta rukwer uwe ti Urushelima. Awu ka ku riben u jwam Rimam, ama tso fxaefa na Rimam atsepu ita uwae usir pangma ti awu ku nde kob. 
DAN.6.11	Tiri ande ba ti yer unju ti a kaa yer afxen Daniyel ne ba tu wu, awu ta uwae Rimam ti ti jwam ku sha itindeya uwog Rimam. 
DAN.6.12	Ama aba ka tu ukwe u rang wu ira risu icwe yi ti awu bae baa, “Ukwe, afu kwa-fu kujwo u sa icwe ruye baa, uwae usir rijweta ti ku ba, unde iki na ku-wu riben na apxin ko unde iki fa fu ukwe be, be a na u ye wu jwunn sang rukug itumu be a.”
DAN.6.12	Ukwe cwe ba unju baa, “Een icwe yi tsi ti atang, putswa icwe na Medesi ti Pasiya ti ku kafe-yi fe be.”
DAN.6.13	Ama aba ri te ukwe baa, “Daniyel, kinjo uwae Mbayawuda, ti a ye ba apyi ru ba ike, nae-wu risu riben te fu ukwe be, u ku putswa-wu icwe-fu be. Awu ku jwam bwe itijwam atsepu ita uwae usir.” 
DAN.6.14	Ama kiye ti ukwe fxen ira yine, utob-wu nae-wu riben be. Awu kwab fengo ti wu nwangruye Daniyel. Awu kwab itikwab yi ti kiskinn ti kiskinn pu usir sunn.
DAN.6.15	Tiri ande ba pu atso ba tu ukwe baa, “Afu nung ti icwe Medesi ti Pasiya ri baa, icwe ti ukwe a bae u kwa pu wu kujwo atang, a ku fi-ba yi fi be.”
DAN.6.16	Ama ukwe nda unju, a ka ye Daniyel ba jwunn sang rukug itumu. Ukwe ri te Daniyel baa, “Rimam ti afu ku fen ā nwangruye fu.”
DAN.6.17	Ama a kaen kutxom ba cwunn unju rukug itumu wu. Ama ukwe ti afaen-wu kwa kujwo ikyaen ti unde iki na nwangruye-wu Daniyel be.
