MAT.1.2	Abraham Aisaak vaa apa, Aisaak Jakop vaa apa, Jakop Judah leh anaovaa anpa. 
MAT.14.16	Chuta Jisu in ankuungah asonei, “Anmah in ansehnatu darkaar amnoh, anmah kuungah ansaaktuphu malaneive.” 
MAT.14.17	Chunna anmah in Jisu ta anson, “Inih tol ranga leh nga innihruta onna amning.” 
MAT.14.18	Jisu in “Mahchuta maanna keithlenve” ta asonei. 
MAT.14.19	Cheva amah in miitamta meiphul chunga maboknatu jathang amlanei; Jisu in tol ranga leh nga innihta alohche ringramma ahan an, amah in doi amlan mahche khoia aroita amlanei, che aroiin miitam ankuunga ansempei. 
MAT.14.20	Chunna annaamte in saa a anvon invahsa. Che anmah in anlei andihdah amitlonin luktoong somleinih sip. 
MAT.14.21	Mah aksaa eichu kumei maksi leh nao teenpinnoh a akpul rangavak ei.
MAT.14.23	Che miitamta Jisu in amlenglai, amah in muul in khat chungah ngennatu kalsa. Che khulouhram aphah in amunchunna akrouningsa, 
MAT.14.24	chuta mahsuungah mulivah tuiiboom alaia tuiisolh inlek a asihpei, alamva thliraangsoh intuuksa. 
MAT.14.25	Che khulouh nivaartum pung inthum atlaklaia Jisu in ankuungah tuiiboom chung akeh ah seh a thleng. 
MAT.14.26	Chuta tuiiboom chunga seh a thleng anmuh in anril lah a anson, “Mah i kukthlasa, che anmah in trih a ongsei.” 
MAT.14.27	Chuta Jisu in kak hang ankuunga asonei, “Nanril matrangve, keisang; intrinohve.” 
MAT.14.28	Che Pitar in amah kuungah amsang, “Akpu, nangcheleva, tuiichunga seh a nikuungah kivaanatu jathang kamlanro.” 
MAT.14.29	Chunna Jisu in ason, “Varo.” Che Pitar in mulinata trumma Jisu kuung avanatu tuiichungah sehsa. 
MAT.14.30	Chuta amah in thliraang amuh in intrisa, cheva tuiia anphuumsam invah onga ason, “Akpu keikalro!” 
MAT.14.31	Che kak hanga Jisu in akut ajamche matuh a ason, “Malot a inleu nango, jarella niril intluunnoh cheme?” 
MAT.14.32	Che anmah in mulisuung anluutlai thlikho inngaisa. 
MAT.14.33	Cheva mulisuunga ak am in Jisu kuungah thlenga mathruunna anson “Atak a nangvah Ringpu vaa Asa kupache.”
MAT.14.35	Che amunchunna mii in Jisu ta anromma anmah in anramma ak amiita trong amithuunpei mahche akna naamte amah kuungah anthlen. 
MAT.14.36	Che anmah in Jisu apuunta anpalnatu amah kuungah anngen. Che amah apuunrei akpaleita amah in amthratei.
MAT.15.2	“Jarelna nang niroi eiin anpa anpu in ansehna thlou ankhoihme? Alamva anmah in tol ansaaklai ankut silnoh ei.” 
MAT.15.3	Chuta Jisu in ankuungah amsangei, “Sehna thlouin alamveia jarelna Ringpu vaa trongthuun nankhoihme? 
MAT.15.4	Alamva Ringpu trongthuun in son, ‘Nannu nanpata injahve,’ che ‘Tunangkhat in anu nohle apata phool tlohle, mahmii khavah thiso.’ 
MAT.15.5	Chuta nannih in nanson, ‘Tunangkhat in anu nohle apata, kei ningnata akchuung nanphahphuta Ringpu kuungah kakatpei tihleva amah in apa injahna darkaar amnohsa.’ 
MAT.15.6	Nga tloh a nannih in sehnathlou khanna Ringpu trongta jakhatkho maveinohchou. 
MAT.15.7	Akthra veisin eio! Ringraan Isaiah in nannih turel thratea aphoongpei: 
MAT.15.8	‘Mahmii eiin annar avah keita kanjonang, chuta anril avah kikuungnata inlasei; 
MAT.15.9	Che anmah in miivaa trongsuurta amitheih che keita sulla kamithruunang.’ ”
MAT.15.10	Chunna Jisu in miitamta onga asonei, “Rungaia bahab tlave: 
MAT.15.11	narra akluut trongin miita sakmang maveinoh, chuta narnata anthruh khanna miita sakmang amvei.” 
MAT.15.12	Chunna amah aroiin akuungah thlenga anson, “Mah nison ita antheih lai Pharisi anril ansok i niromnohme?” 
MAT.15.13	Chuta amah in amsangei, “Ringramma am Pa in alinnoh thing anaamte aktangtu. 
MAT.15.14	Nga am eiso; anmahvah mitchoin aching mitchosei, chunna mitcho in mitchota lamchingleva khurra tlatuei.” 
MAT.15.15	Chunna Pitar in amah kuungah ason, “Mah pandam i kankuunga invuia kanisonro.” 
MAT.15.16	Chunna Jisu in asonei, “Nannihkho pekphah mah i bahap tlanoh mangchoume? 
MAT.15.17	Bao suungah akluut naamte vonpiiah luut, che ruungnata inthruh tih a romnoh mangchoume? 
MAT.15.18	Chuta baonata anthruhpot anaamte rilsuungnata thlengning, che mii in sakmang amivei. 
MAT.15.19	Alamva rilsuungnata akthranoh miithat, kumei kupa laal, miimei miisa laal, inru inraan, chimnoh a sakhi malan, miirilh miiloonna trong. 
MAT.15.20	Miita sakmang amvei i mah anaamte isa, chuta kut silnoh a saa invah miita sakmang maveinoh.”
MAT.15.22	Che anve, Kanaan na kumei khat in thlenga onga Jisu kuungah ason, “O Akpu, Devit vaa Asa kupa, Keita niril kamvolro, alamva kisakumei khousaar chuunga khalmo akchutpei.” 
MAT.15.23	Chuta Jisu in trong inkhatkho masangnohsa. Che aroiin thlenga akuungah ngenna anson, “Kumei i mathlahrosa, alamva iknungah ong onga amsa.” 
MAT.15.24	Amah in amsangei, “Israel innsuunga akmaang Sadam khoptua keita kamthlah ang.” 
MAT.15.25	Chuta kumei in thlenga amthruunche ason, “Akpu, kamjoomro.” 
MAT.15.26	Che amah in amsang, “Naoei tolta louva uii ankuungah lon thranoh.” 
MAT.15.27	Che kumei in ason, “Oi Akpu, uiiluung inkho anmah akpu tebornata aktla akningta ansaak.” 
MAT.15.28	Chunna Jisu in kumei kuungah amsang, “Kumeio, nangin namlot i khalmoa liin! Nangin nikditkha nangkuungah tlung veiso.” Cheva kak hanga asa kumeita thrasa.
MAT.15.30	Chunna miitam kehtlik, mitcho, trongtheihnoh, mipuhnoh aktlei jikcha akehkungah thlenna amitlolh mahche Jisu in amthratei, 
MAT.15.31	chunna trongtheihnoh in trong suuksei, mipuhnoh in mipuhsei, kehtlik in sehsei, che mitcho in muh anphahchuta anmuh in Israel vaa Ringpu ta paar amithratpei.
MAT.15.33	Chunna aroiin akuungah anson, “Vachah miitam ita anvahnatu mah rapril in ramna tol iktuuk ume?” 
MAT.15.34	Jisu in ankuunga asonei, “Nannih tol jikcha nansih mangme?” Che anmah in anson, “Tol sirih leh nga andih ste am.” 
MAT.15.35	Che miitamta tukleia maboknatu jathang amlanei. 
MAT.15.36	Che amah in tol sirih leh ngata loua Ringpu ampaakche khoia aroita amlanei, che aroiin miitamta amilanpei. 
MAT.15.37	Che annaamte in invah a ansaakche, anmah in akirkaar amichun luktoong sirih sip a amilei. 
MAT.15.38	Mah aksaa eichu kumei maksi leh nao teenpinoh a mii akpul manlivak ei. 
MAT.15.39	Che Jisu in miitamta amthlah eiche muli inkhat a chuunga Makadan ramma sehsa.
MAT.16.2	Jisu in ankuungah amsangei, “Khulouhram aphah in nannih in nanson, ‘Kini in aangsa; nihoongi thrasa.’ 
MAT.16.3	Che ‘Juktiinga nihoongi thranoh alamva marvaan in aang che olthem am.’ Akthra veisin eio! Nannih in marvaan ni ahoongva anna rom nanchek, chuta nannih in daangvaa lai mahche ahoongva romnohchou. 
MAT.16.4	Akthranoh leh miimei miisa laal ringnatluun in daang nanjon, chuta ringraan Jonah daangnoh a daang nanimlan nohtung.” Che anmahta mah a sehsa.
MAT.16.6	Chunna Jisu in ankuungah asonei, “Pharisi leh Sadukiis ancholkha cheksilve,” 
MAT.16.7	cheva anmahseeng seeng intella insonsei “Alamva inih in tolkho choinohsame.” 
MAT.16.8	Chuta Jisu in mahchu aromma ankuunga asonei, “Ah, malot ah trangnoh eio, jarella nannih seengta intella amchoume, alamva nannih in tol thlennoh choume? 
MAT.16.9	Nannih in tol ranga a mii akpul ranga mahche luktoong jikchah nanhomme bahaptla intheihnoh choume? 
MAT.16.10	Chunohle tol sirih ah mii akpul manli, che anrol luktoong jikchah nanhomme bahaptla intheihnoh choume? 
MAT.16.11	Keiin tol rella trongnoh ang tihvah khatloh a nannih in nanromme? Chuta nannih in Pharisi mahche Sadukii ei cholta cheksil tupotchou.” 
MAT.16.12	Chunna Jisu in anmahta chol jao tolta sonnoh chuta Pharisi mahche Sadukiis amtheihnata asonta bahab tlasei.
MAT.16.14	Chunna anmah in anson, “Mii arouin aklup John, arouin Elijah, che aktlei in Jeremiah nohle ringraan ankaarna inkhatche nantih ei.” 
MAT.16.15	Jisu in ankuungah asonei, “Chuta nannih invah keita tunangme nantih angme?” 
MAT.16.16	Cheva Simon Pitar in amsang, “Nangva akring Ringpu vaa Asa kupa Khrista che.” 
MAT.16.17	Jisu in akuunga amsang, “Simon Bar Jona! Doiphahkha nangche, alamva ruung leh thii in nangta nakphoongnoh, chuta ringramma am Pa in nangta nakphoongpei. 
MAT.16.18	Che keiinkho nangta kisonche, mah chuvah nangvah Pitar che, chunna kei khakla i mah lungpii chungin kimthrungtu, che akthivaa tuui in nangta nakcheknohtu. 
MAT.16.19	Keiin ringram huunna chapi kamlan uche, chunna nangin thaleichungah nikhitkha ringram akho inkhittu, nangin thaleichungah nak annohkha ringram akho veitu.” 
MAT.16.20	Chunnata Jisu i Khrista sa tih a tunangkhat ankuung akho anmah in ansonnoh natu aroita akchaak ei.
MAT.16.22	Chunna Pitar in Jisu ta athleipiche amahta saalla son amthronpei, mahchuva, “Akpu, mahchunang nikuungah veinohtu, nikuungnata inla veiso.” 
MAT.16.23	Chuta Jisu in Pitar kuungah anheiche ason, “Seitan, kikuung nata inheirosa! Nangin keita nakvat ang, alamva nangva Ringpu tingnanohche, chuta miitu veia nimdon.”
MAT.16.25	Alamva tunangkhat in amah achaan ankaljale mahkha maangtu, chuta keirella amah achaan mathlah miikhan aringna aktuuktu. 
MAT.16.26	Alamva mii khat in tukleiram apumte aphahche amah achaanta maangle, amakuunga jangachuungnah amme? Nohle mii khat in amah achaanta jaknangsoh amthleng ume? 
MAT.16.27	Alamva miivaa Asa kupa in Apavaa paarthra a amah ringroisoh inruuia thlengtu che amah in mii eita amah amah athlou nujuih a khaan amlantu. 
MAT.16.28	Keiin nankuungah tak a kisonchou, onna akngirmii arouin miivaa Asa kupa in amah ringram kurung huunna a athlenglai anmuhnohsot thikha matemnoh tuei.”
MAT.17.2	Che anmah maikuunga amah ameel tleisa, Jisu vaa amai kini nanga intle che apuunrei in kvaar nanga inngousa 
MAT.17.3	Che anve, Moses leh Elaiah in Jisu soh inruuia tronga am anmuh. 
MAT.17.4	Cheva Pitar in Jisu kuungah ason, “Akpu inih in onna iam thratu, nangin jacheleva, onna thiil inthum seemtang, inkhat in nangtu, inkhat in Moses tu che inkhat in Elaiah tu.” 
MAT.17.5	Amah in atrongsuung, anve, antle sumphai in anmahta amlihpei, che kak hanga sumphai kaarnata hou inkhat in thlenga ason, “Mah i keiin khalmo kirilvol Kisakupa, amah kuungah keiin pelsang, amah in ason rungaive.” 
MAT.17.6	Che aroiin mahchuta antheih lai, anmai makhup a khalmo intrisei. 
MAT.17.7	Chuta Jisu in thlenga anmahta palla asonei, “Inthouve, intrinohve.” 
MAT.17.8	Che anmah in inthoua an anlai Jisu noh a tukhatkho muhnohsei. 
MAT.17.9	Anmah in muulnata antrumsuunga Jisu in trong asonei, “Miivaa Asa kupa in thinata aringnosoot mah ahamuh i tukhat kuungkho sonnnohve.” 
MAT.17.10	Che aroi in Jisu ta anrui, “Chuleva Jarella ringjih lulok in Elaiah matsah a thlengtu antihme?” 
MAT.17.11	Amah in amsangei, “Elaiah in matsah a thlengtu, mahche poot anaamte amlengtu; 
MAT.17.12	chuta keiin nankuungah kitihchou, mah chuvah Elaiah va thlengchesa, anmah in amahta louromnoh ei, chuta anmah in antlohja akuungah antloh. Chunanga miivaa Asa kupakho anmah ankut a klah knang aphahtu tla.” 
MAT.17.13	Chunna Jisu in aklup John rella trongsa tih a aroiin anrompei.
MAT.17.15	“Akpu, kisa kupata niril mavolro, alamva amahta surpitumma klahsa; che amah in injomma mei leh tuiikaara luut. 
MAT.17.16	Chunna keiin amahta nang niroi ankuungah kithlen, chuta anmah in mathrat cheknohsei.” 
MAT.17.17	Chunna Jisu in akuunga amsang, “Ah, malot amnoh chimnoh akseh ringnatluun nannihsoh jikcha soot a keiin am umang angme? Amahta keikuungah keithlenve.” 
MAT.17.18	Cheva Jisu in khousaarta asaal, mahche amah ningnata inthruhsa, che mah laitalla naochu thrasa. 
MAT.17.19	Chunna Jisu kuungah aroiin inrukte thlenga anson, “Jarelna kannih in khousaarta manom cheknoh ungme?” 
MAT.17.20	Amah in ankuungah asonei, “Nannih in namilotnoh relna. Alamva keiin nannihta tak a kitihchou, nannih in intrammu tuihru malotchoule muultumta nantihtu, ‘Onnata ousonna inlenro’ che mahchu inlentu, che nankuungah veinohtu jakhatkho amnohtu. 
MAT.17.21	Chuta mainangi huh hella ngennoh avah tikniakho veinohtu.”
MAT.17.23	che anmah in anthattu, mahche nithum tihpia amah in ringtu.” Ohchuna anrilsok a klahsei.
MAT.17.24	Anmah in Kaparnaum a anthlenglai, Ringpu mathruunna thlaamma sekel aher akthrai in Pitar kuungah thlenga ason, “Nannih lulok in roithaang malannohme?” 
MAT.17.25	Amah in ason “Oi, athaang.” Che amah in innsuung aluutlai Jisu in akuungah ason, “Simon nangin jangta nimdonme? Thaleiramna kurung eiin tuningnata roithaang anlohme? Anmah ansakuung name chunohle aktlei ningnata anlohme?” 
MAT.17.26	Pitar in Jisu kuunga ason, “Rapkheimii ankuungnata amithaang.” Chunna Jisu in akuungah ason, “Chunohleva ansakupava khangvalmii veisei. 
MAT.17.27	Chusalakho inih in anmahta thlouvat eveinoh nahtu tuiiboomma seh a kuui thaangro, che matsah nikai ngakha abao ma aanga nianlai nangin baobeh apumkhat niktuuktu, mahchu loua nangleh keiturel ankuunga malanro.”
MAT.18.2	Chunna Jisu in andihnao khatta anmah ankaara onga ambok, 
MAT.18.3	che asonei, “Keiin nankuungah tak a kitihchou, nannih in nao nanga inlenga nanveinohmiil, nannih in ringram kurung huunna ah luut janohluung uchou. 
MAT.18.4	Churella tunangkhat in andihnao nanga atak ah inruruh amahkhavah ringram kurung huunna ah anrolremsa. 
MAT.18.5	Tunangkhat in keiminga mainang andihnao khatta roulouleh amah in keita keilohpei.”
MAT.18.7	Miita madoia aleh ah akthlak tukleiram i lahnasa ah! Alamva madoi i thlengnoh janoh. 
MAT.18.8	Nang nikut nohle nikeh in aleh ah nakthlakle mahkha tanna nang ningnata lonro, nikut innih nohle nikeh innih in nangta athih amnoh meikaara nakthlaktu ngutva, nikut tua nohle nikeh tua ringna ah niluut in nangtu akthra veitu. 
MAT.18.9	Che nimit in nangta aleh ah nakthlakle, nang ningnata kholla lonro; nimit innih in repnanga nangta nakthlak ngutva, nimit inkhatru amma ringna ah niluut in nangtu akthratna veitu.”
MAT.18.11	Alamva miivaa Asa kupa in akmaang khata kalnatu thlengsa. 
MAT.18.12	Nannih in jangta namidonme? Mii inkhat in Sadam reija asih, che ankaar nata inkhat maangsa, amah in sopkulei kuta amahche akmaang khatta muulla seh a jonnoh ume? 
MAT.18.13	Keiin nannihta atak a kitihchou, mah chuvah amah in invainoh a ak am sadam sopkulei ku khachunga inkhat aktuukhan thloiralla aroomthokna veinoh ume? 
MAT.18.14	Chunanaga andih naoei ankaar nata inkhat maangkha ringramma am Pa in amdon veinoh.”
MAT.18.16	Chuta amah inta nitrong rungainohle, nangsoh inruuia mii inkhat nohle innihnata akralla thlengpiro. Chuleva nangin nisontrong anaamtekha innih nohle inthumma mangirhnatu sakhi veitu. 
MAT.18.17	Che amah inta antrong rungai indahle khakla ah sonro, chuta amah in khakla akho nitrongta rungai indahle; niuhnaokha Jental leh roi akthrai mii nanga veisaso.”
MAT.18.19	Veikhatlakho nankuungah kisonchou, mah chuvah nannih in jangmekhat thaleichunga mii innih in inja a ngenchoule, ringramma am Pa in ankuunga am veitu. 
MAT.18.20	Alamva keimingah mii innih nohle inthum nanchunna khannna keikho ankaara amsang.”
MAT.18.22	Jisu in akuungah ason, “Keiin nikuungah veisrihru naktihnoh ang, chuta sirih kha sopsrih phaoa kitihche.”
MAT.18.24	Amah in hmapulna teen amthronlai, talen akpulsom intool mii khat akuungah anthlen; 
MAT.18.25	amah in siin acheknohrel Akpu in roijuihta amah akmei, asa ei mahche adoon akhaal naamte juura asiinnatu jathang amlan. 
MAT.18.26	Chunna roijuih in amaikuungah akhuk makamma antolhche ason, ‘Akpu, kakru thoa keingaakro, anaamte naksiin kirtang.’ 
MAT.18.27	Chunna roijuih akpuin amahta aringvol hanga amthlahpei. 
MAT.18.28	Chuta amah roijuihtal khanna seh a, amah denari reija antool aruul roijuih mii khat kuungah thlengsa mahmii chuta suura aruking raak a atih, ‘Nangin nantool baobehkha keisiinrosa.’ 
MAT.18.29	Che aruul roijuih in akehkungah intolh a amthruunche atih, ‘Kakru thoa keingaakro, keiin anaamte naksiin kirtang.’ 
MAT.18.30	Chuta amah in indah a, asehche aleiman antool naamte asiinnohsot amahta sim a asihpei. 
MAT.18.31	Chunna aruul roijuih eiin aksuuk chuta anmuh in khalmo anril asokpeia aksuuk naamte akpu kuungah thlenga antongpei. 
MAT.18.32	Chunna Akpu in amahta aongche ason, ‘Akthranoh roijuih, nangin kikuungah ningenrel keiin leiman nantol anaamte ki ipche. 
MAT.18.33	Keiin nangta kiringvol nanga nangkho niruul roijuihta niringvol phunohme?’ 
MAT.18.34	Che amah akpu in amlung inhaanga amah in leiman antol asiinnoh miil aminang natu ankuungah amsilpei. 
MAT.18.35	Chunna nannih in nan uh nannaota ril luut a ipnoh choule, ringramna Pa inkho mah khananga nanitlohtu.”
MAT.19.2	che miitam in amah aknuta anjuih, che ohkhanna anmahta amthratei.
MAT.19.3	Pharisi inkho amahta chaang anna veia anrui, “Mii khat in jangmekhat rella akmei inthrekpi i trongsuur in ajame?” 
MAT.19.4	Che matsahrem akseem Akpu amah in kupa khatkho kumei aseemta Jisu in ankuungah amsangei. 
MAT.19.5	Che mahchunang relna “Kupa inkhat in anuleh apa mathlah a akmeisoh amjoutu che anmah anruung innihkhata inkhat vei tuei” tih i nannih in paanohchoume? 
MAT.19.6	Chunnava anmah in mii innihnohsei, chuta ruungkhat veisei. “Oirella Ringpu in amchunkha tukhat inkho threknohso.” 
MAT.19.7	Anmah in Jisu kuunga anson, “Chuleva jarella Moses in inthrekna anjih rai malanna mathlahveta trongthuun amlanme?” 
MAT.19.8	Jisu in ankuunga asonei, “Nannih nanril atrangrella Moses in nanmeisoh inthrek amja, chuta matsahrem avah ngata veinoh. 
MAT.19.9	Che keiin nannihta kisonchou: tunangkhat in akmei miisoh leengnohta anthrekpiche, aktlei inkhatta changvaang miikha miimei laalthlou atlohche anthrekpi kumeita changvaang khakho miimei laalthlou atloh.”
MAT.19.10	Jisu aroiin akuungah ason, “Kupa inkhat in akmeisoh mahchunang veile changvaangnoh in thra.”
MAT.19.12	Alamva anmah in annu vonsuung nata aksarh inseemma akpok ammei, che mii in aksarh inseemkho ammei, che ringram kurung huunna turel anmah anruungin aksarh akseemkho ammei. Mah ita akromchek mii khanna mah i louso.”
MAT.19.14	Chuta Jisu in ason, “Andihnao eikha kikuungah thlengeiso, anmahta khaamnoh eive, alamva ringram kurung huunakha anmahnang anta.” 
MAT.19.15	Che amah in anchungah kut asihche mah chunnata sehsa.
MAT.19.17	Chunna Jisu in akuunga ason, “Jarelna keita akthra tih a nak ong angme? Ringpu noh a tukhatkho akthra amnoh. Chuta nangin ringna phah dichele trongthuunkha majuihro.” 
MAT.19.18	Amah in Jisu ta ason “Jaknangme?” Jisu in ason, “Nangin mii thatnohro, nangin miimei miisa laalnohro, nangin inrunohro, nangin chimnoh sakhi malannohro, 
MAT.19.19	nangin ninu napata injahro, che nanthringpi miita nitaknanga ringvolro.” 
MAT.19.20	Intlangsa in Jisu ta ason, “Mah naamte ivah nao kivei lainata juih a thlengsang; pek kimjuihtu akvaat jangam mangme?” 
MAT.19.21	Jisu in akuunga ason, “Nangin ralla akthra dichele, nangin nidoon naamte juura anranriing mii kuungah malanro, che thlenga kiknu keijuihro, nang nilal ringramma louamtu.” 
MAT.19.22	Chuta intlangsa in mah asonchuta atheihlai aril lah a inlengsa. Alamva amahvah khalmo doonkhaal mii.
MAT.19.24	Che veikhatlakho kisonchou, akdoon mii khat in ringram kurung huunna ah luutchunga vaksa inkhat in kukthrimpo ah luut in aklai.” 
MAT.19.25	Jisu aroiin mahchuta antheih lai khalmo salungkhoua anson, “Chuleva tunang in inkal achekume?” 
MAT.19.26	Chuta Jisu in anmahta antlinga asonei, “Miikuung avah mah i veinohtu thlou, chuta Ringpu avah bilam naamte veikir.”
MAT.19.28	Churel Jisu in ankuungah asonei, “Keiin nannihta atak a kitihchou, mah chuvah akthar tukleiramma miivaa Asa kupa in amahvaa paarthra phompiiah anboklai, kiknu keijuih nannih in phompii somlei innih ah inbok a Israel sakhei somlei innihta pichaar nantlohtu. 
MAT.19.29	Che keiturel a inn, alou, auh anao, anu apa, akmei asa, khatkho aram amuul amthlah mii in reija ah reija chaang anphahtu, che ache amnoh ringna anphahtu. 
MAT.19.30	Chuta tukhat matsah mii in juktooltu, che juktool mii in matsahtu.”
MAT.20.2	Amah in thlou aktlohtu miisoh nikhat kutlang baobeh injana hoonga amah in ngangli billa amseh ei. 
MAT.20.3	Che amah in pung kuvak atlaklai keithiil munna seh a jakhatkho tlohnoh a ngirra am amuh ei. 
MAT.20.4	Che amah in ankuunga asonei, “Nannihkho ngangli billa sehve che thlou tlohve chunna nanphahtu phukha kamlan uchou” chunna anmah in sehsei. 
MAT.20.5	Veikhatla amah in pung somleinih leh pung inthumvak akho amah in seh a juktiingna nanga atloh. 
MAT.20.6	Che pung rangavak jakhatkho tlonoh a talla ngirra am ankuungah asonei, “Nannih in jakhatkho tlonoh a jarella nikhat suuntla ngirra amchoume?” 
MAT.20.7	Anmah in akuungah asonei, “Alamva tukhat inkho kannihta thlou tlohnatu kanisonnoh ei.” Amah in ankuunga asonei, “Nannihkho ngangli billa sehve, che thlou tlohve nanphahtuphu kamlan uchou.” 
MAT.20.8	Chunna khulouhram aphahlai nganglibil akpuin amrel akputa ason, “Thlou aktlohmii onga juktoolnata matsah phah nikhat antlohman malaneiro. 
MAT.20.9	Che pung rangavak ah akthleng mii in nikhat kutlangna baobeh anphah. 
MAT.20.10	Chuta matsah a akthleng miiva thloia anphahphu, chuta aktleisoh intrimma baobeh anphah. 
MAT.20.11	Che anmah in mahchuta anphahlai, ram akpu kuunga insoa antih, 
MAT.20.12	Juktoolla akthleng mii in pung inkhatruta antlohning, che nangin anmahta nikhat antlohna amanleh kini insa kanimrat akdou kannihsoh nimtrim. 
MAT.20.13	Chunna ankaarna inkhatta amah in ason, Ruul o, keiin nankuunga chimnoh tlohnoh ang, nangleh keiin nikhat kutlang manna injanoh meme? 
MAT.20.14	Nangta jikchahme loua inlengrosa, nikuunga kimlan nanga juktoolna miikho malan kikdit. 
MAT.20.15	Kitak in dia madonna kitloh i janohme? Chunohle kiril athratrelna nimit intaangsme? 
MAT.20.16	Chunna juktool in matsahtu mahche matsah in juktooltu, alamva mii khalmo tam aong, chuta steruta achartu.”
MAT.20.18	“Anve inih in Jerulalem a seh ume; che miivaa Asa kupata akthloi thiimpu mahche ringjih lulok ankut a amilantu, che amahta thatnatu amilantu, 
MAT.20.19	Che amahta aminuihnatu, ankhonnatu mahche thingkharh ah thatnatu Jental ankut ah amilantu, che nithum tihpia amah in veikhat kiringtu.”
MAT.20.21	Che Jisu in akuungah ason, “Nangin jangnikdtime?” Amah in Jisu kuungah ason, “Mah kisakupa innih i nang kurung huunna ah inkhat in nikchangtonga che inkhat in nikveitonga inboknatu jathang malaneiro.” 
MAT.20.22	Chuta Jisu in amsang, “Nangin jangta ninihme tihkho romnohche, keiin ki iinnasam chapla nannih in iin nanchek ume?” Che keiin kinlupna a nannih in inlup nanphahchek ume? Anmah in “Kanchektu” ta amisang. 
MAT.20.23	Chunna Jisu in ankuungah asonei, “Nannih in kei chaplata nan iintu, chuta kikchangtong leh kikveitonga nanboknatu amlanva keitanoh. Chuta maiva Pa in amchaang anmahninga amlantu.” 
MAT.20.24	Chunna aroi som in mahchuta antheih lai unao innih anchunga amailung inhaangsa. 
MAT.20.25	Chuta Jisu in anmahta aongche asonei, “Nannih in nanrom mah chuvah aktlei Jental rampuui eiin miichunga akpu veia paallei, che anmah anchunga aktloh akhal eiin liinna anlenna. 
MAT.20.26	Nannih nankaar avah mahchunang veinoh. Chuta nannih nankaara tunangkhat in akliin vei dile amah khanna nannihtu roijuih hukveiso, 
MAT.20.27	che nankaara tunangkhat in akliin aveija khanna nannihtu roijuih hukvei tuei. 
MAT.20.28	Miivaa Asa kupa in keita rou keitlohveta thlengnoh, chuta miita routlohnatu mahche miita thloknatu amah chaanta mathlah thlengsa.”
MAT.20.30	Che anve, mitcho mii innih in lamkomma inbok a amsei, Jisu in lam vanna sehta antheih in onga antih, “Devit vaa Asa kupa o! Kannihta kanirilvolro!” 
MAT.20.31	Miitam in anmahta rim amveta ansaalei, chuta anmah in ral ralla onga antih, “Devit vaa Asa kupa Akpu o! Kannihta kanirilvolro!” 
MAT.20.32	Jisu in anngeihche anmahta asonei, “Keita nannih turel jangnamitlohja angme?” 
MAT.20.33	Anmah in Jisu kuungah antih, “Akpu, kanmit kanimmuhro.” 
MAT.20.34	Mahchunna anmahta arilvolsei, che anmah anmitta apalpei. Che kak hang anmit muh anphahpei, cheva amah aknuta anjuihpei.
MAT.21.2	“Nannih nanmaa a am khuusonna vaave che kak hanga nannih in samong apuileh atesoh inruuia khit a ansih nantuuktu, mahchuta majak a keikuung thlenve. 
MAT.21.3	Che tukhat in nannihta jarelname nanitihle, ‘Akpu in darkaar am’ tihve, che kak hanga amah in nanimlantu. 
MAT.21.4	Mah anaamte i ringraan in asonkha atlungnasa, mah chuvah nga tloh a ason, 
MAT.21.5	Jaion vaa asakumei kuungah sonve, ‘Anro, nang kurung in nikuungah thlengsa, amahvah inruruh mahche samong chunga chuung, samong ate inkhat, samong apui inkhat ah.’ ”
MAT.21.6	Jisu in aroita amtheihna nujuih a anmah in seh a antlohpei; 
MAT.21.7	anmah in samong aruulta anthlenche achunga puun anthah, che Jisu in achunga chuungsa. 
MAT.21.8	Che miitam in anmah anpuunrei lamma anrouthah, mii arouin thingbaak tuk a lamma anrouthah 
MAT.21.9	Cheva miitam in amah amaa a che aknu akjuih in onga antih, “Devit vaa Asa kupa ah Hosana! Akpu minga akthleng miikha doiphah khasa! Ankaang remma Hosana.” 
MAT.21.10	Che Jisu in Jerusalem a alutlai, khuuboomna miinaam in derder tih a ansonpei, “Mahmii i tume?” 
MAT.21.11	Chunna miitam in anson, “Mahmii i Kalili vaa Najareth na ringraan Jisu khare.”
MAT.21.13	Che Jisu in ankuungah asonei, “Mah i injih a amsa, ‘Kei innvah ngenna inn tih a in ongtu’ chuta nannih in inru inraanvaa anbu namiveipei.”
MAT.21.14	Cheva mathruunna thlaamsuunga mitcho mahche kehtlik in Jisu kuungah thlengsei che anmahta amthratpei. 
MAT.21.15	Chuta akthloi thiimpu mahche ringjih lulok eiin Jisu in atlohthlou khanna salungkhou seia “Hosana, Devit vaa Asa kupa!” tih anao in an ong anmuh in amilung inhaanga akuungah ason, 
MAT.21.16	“Anmah in ansonni nitheihme?” Jisu in ankuungah asonei, “Oi, kitheih, Anjih in ason, nangta nandomnatu andihnao mahche chuh in annarra thradek a nandomnatu namchaang,” tih i nannih in paanohchoume? 
MAT.21.17	Cheva Jisu in anmahta mah a khuuboom nata Bethani a sehsa, che mahchunna riiksa.
MAT.21.18	Juktiinga Jisu in khuuboomma anlenglai avon traamsa 
