MAT.1.1	A daŋgonŋâ daŋgonŋâ muyagem gane Yesu Kristo, zâk Abaram sot Dawidi, zekât kiun muyageip. 
MRK.6.11	Kamân ŋâi takâne a ambân ziŋâ mân buku otziŋgâmŋâ dinziŋâ birâne kândâtzâŋgom ko kinziŋan gwapgwap lâŋ gâbârine gei topziŋâ nâŋgâbi. Zen yatâ opŋâ kamân zo birâm âibi.” 
MRK.6.12	Yatâ sâi zen âimŋâ a ambân umziŋ melâŋbigât den sâm dâzâŋgowe. 
MRK.6.13	Wâke doŋbep moliziŋgâwe. A mâsekziŋoot doŋbep kelâk saŋgonziŋgâm kubikziŋgâwe.
MRK.6.14	Yesugât den siŋgi laŋ kârâm a kutâ Herodegâren ari nâŋgip. A nâmbutŋâ ziŋâ Yesugât itâ sâwe, “Yohaneŋâ too saŋgonziŋgip, zâkŋâ mumuŋan gâbâ zaat kâwaliŋoot ândiap.” 
MRK.6.15	A nâmbutŋandâ Yesugât itâ sâwe, “Zâk Elia zaat ândiap.” Sâne nâmbutŋandâ itâ sâwe, “Zâk Propete ŋâi, Propete sâŋgiŋâ yatâ.” 
MRK.6.16	Herodeŋâ den zo nâŋgâm sâip, “Buŋâ. Yohane sa gânduŋ kârâm mânâŋgârâwe, zâkŋâ zaat ândiap.”
MRK.6.17	Herode zâk mârumŋan kâwali a sâŋgonzâŋgoi Yohane gâsum tâk namin parâwe. Mârum ombeŋan Herodeŋâ munŋâ Pilipo zâkkât ambinŋâ Herodia bekŋan meip. Ambân zâkkât opŋâ Yohaneŋâ Herode itâ dukuip. 
MRK.6.18	“Gâ mungaŋgât ambân mein, zo mân dap uap.” 
MRK.6.19	Yatâ sâi ko Herodegât ambinŋâ Herodia, zâk Yohanegât um kâlak nâŋgâm ândeip. Yohane kumbat sâm mâtâp kârum ândeip. 
MRK.6.20	Herodeŋâ ko Yohane a târârak sot âlipŋâ sâmŋâ hurat kwâkŋaŋgâm galem ândeip. Herodeŋâ Yohanegât den nâŋgâm um zagât oip. Oi laŋ diŋâ zo nâŋgâm âkŋâleip.
MRK.6.21	Oi Herodiaŋâ Yohane kumbap sâm matâp itâ muyageip. Herodegât âsaâsagiŋ narâkŋâ mâte oi sii nalem om a sâtŋâ sot kâwali a patâ sot Galilaia hânân gâbâ a zâizâiŋâ minduziŋgâm nalem ziŋgip. 
MRK.6.22	Mindunetâ ko Herodia bâratŋâ, zâk mâteziŋan zâi kep ândeip. Kep ândei Herode sot arâpŋâ ziŋ ekŋâ âkŋâliwe. Herodeŋâ ambân itâ sâm dukuip, “Gâ wan mo wangât otgigap? Sâna gibâ.” 
MRK.6.23	Yatâ sâm a patâ mâteziŋan sâm kâtigeip, “Wan mo wangât otgigi âlip sâna gibat. Hânnaŋgât sâna âlipŋâ mânâŋgât toren gibat.”
MRK.6.24	Ambân zo âkŋan âi mamŋâ mâsikâm sâip, “Nâ wan wangât sâbâ?” Sâi mamŋandâ dukuip, “Yohane too saŋgonziŋgip, zâkkât gânduŋâ mânâŋgât kâukŋâ niban.” 
MRK.6.25	Sâi ambân zo sârârâk kârâm âim a kutâgâren itâ sâip, “Yohane too saŋgonziŋgip, zâkkât gânduŋ mânâŋgât kâukŋâ hâkop patin pam ni.” 
MRK.6.26	Herodeŋâ den zo nâŋgâm pârâkpam umŋâ bâleip. Zâk a sâtŋâ zeŋgât mâteziŋan sâm kâtigeip, zorat op zo bon upapkât sâi diŋâ nâŋgip. 
MRK.6.27+MRK.6.28	Kegâk kâwali a ŋâi Yohanegât kâukŋâ mem gâbapkât sâŋgonguip. Kâwali a zo tâk namin âim Yohane gânduŋ mânâŋgât kâukŋâ hâkop patin pam mem ga ambân zo pindip. Ambân zorâŋ memŋâ mamŋaŋgâren mem arip. 
MRK.6.29	Oi Yohane arâpŋandâ siŋgi zo nâŋgâm âi kâmbarâŋâ mem hanguwe.
MRK.6.30	Aposolo zen âburem ga Yesugâren mindum ko kut ŋâi ŋâi urâwe, zorat den siŋgi dukum naŋgâwe. Den siŋgi âlipŋâ sâwe, zorat dukuwe. 
MRK.6.31	Narâk zoren doŋbep patâ târotâroyâk mindum âim gawe. Âim ganetâ zen dap op nalem nimbe. Zorat Yesuŋâ arâpŋâ itâ sâm dâzâŋgoip, “Zen ganetâ a mân ândiândiŋan âi ândeindâ sâkniŋ sânduksâik.” 
MRK.6.32	Oi zen ziiŋik waŋgâyân zâim a mân ândiândiŋan ba âiwe. 
MRK.6.33	Ka a ambân kâmut ziŋgitnetâ âine kamânŋâ kamânŋâ mindum sârârâk kârâm âim ziŋon âim takâwe.
MRK.6.34	Oi Yesuŋâ waŋgâyân gâbâ gem gamŋâ a ambân kâmut patâ ziŋgiri râma galem a buŋâ, yatâ ândiwe. Yesuŋâ zo yatâ ziŋgitŋâ umŋâ nâŋgip. Yatâ ziŋgitŋâ zorâŋak den siŋgi âlipŋâ doŋbep dâzâŋgoip. 
MRK.6.35+MRK.6.36	Mirâsiŋ geibâ sâi arâpŋâ ziŋâ Yesugâren âim sâwe, “Zi mân ândiândiŋan ândeindâ ŋâtiksapkât a ambân zâmbana kamân tap ariabân âim nalem sâŋgân mem nimbi.” 
MRK.6.37	Sânetâ itâ sâm dâzâŋgoip, “Wangât âibigât se? Ziŋâ nalem ŋâi ziŋgânek.” Sâi itâ dukuwe, “Nen âim kât 2 handeret yatâ zorâŋ nalem kwâlâm ga ziŋgânatkât sat?” 
MRK.6.38	Sâne itâ sâm mâsikâziŋgip, “Zeŋgâren nalem dabutâ ziap, zo âi iknek.” Sâi zen âi ekŋâ dukuwe, “Nalem bâtnâmbut sot saru zuuŋâ zagât.”
MRK.6.39	Sânetâ Yesuŋâ sâi a zen hibuk kwâkŋan kâmutŋâ kâmutŋâ ge tarâwe. 
MRK.6.40	Teŋgâ ŋâi 1 handeret, teŋgâ ŋâi 50, yatâ tarâwe. 
MRK.6.41	Tatnetâ Yesuŋâ nalem bâtnâmbut sot saru zuu zagât mem siŋâ sumbemân ek sâiwap sâm sonpam ziŋgip. Nalem zo mamuŋ arâp ziŋgi ziŋâ kâsâpkum a ziŋgâwe. Saru zuuŋâ kâsâpkum ziŋgi yatik urâwe. 
MRK.6.42	Oi zen aksik nem âkon urâwe. 
MRK.6.43	Nalem sot zuu buputŋâ tâip, zo mine irâ kiin zagât piksâip. 
MRK.6.44	A nalem niwe, zo ko 5 tausen yatâ.
MRK.6.45	Oi Yesuŋâ sâi arâpŋâ waŋgâyân zâim ândiren Besaida kamânângen âiwe. Yesu zik ko a ambân zâmbanbam tâip. 
MRK.6.46	Yesuŋâ kândâtziŋ kelikŋâ ninâu sâbam bâkŋan zarip. 
MRK.6.47	Ŋâtiksâi waŋgâ saru tânâmŋan âim tâi Yesu zikŋik saru sâtŋan tâip. 
MRK.6.48	Oi pibâ sâŋgânziŋan gâbâ gâi âinam osim biraŋâwe. Oi Yesuŋâ ziŋgitŋâ haŋsâsâgât ŋâtikŋâ saru kwâkŋan lâŋ lâŋ zeŋgâren âim walâziŋgâbam oip. 
MRK.6.49	Yesuŋâ saru kwâkŋan ari ek wâke gaap sâm keŋgât urâwe. 
MRK.6.50	Zen aksik ekŋâ keŋgât patâ urâwe. Yatâ utne den itâ sâm dâzâŋgoip, “Zen umziŋ diim geik. Ninak gaan. Zen mân keŋgât utnek.” 
MRK.6.51	Yatâ sâm waŋgâyân zari pibâ hiriŋsâip. Hiriŋsâi a zen imbaŋziŋ buŋ oip. 
MRK.6.52	Nalem ziŋgip, zorat topŋâ mân nâŋgâwe. Nâŋgânâŋgâziŋ mân pâroŋsâip, zorat.
MRK.6.53	Saru nâmbutken âim Genesarete hânân takâm waŋgâ saawe. 
MRK.6.54+MRK.6.55	Waŋgâyân gâbâ gine zorâŋak a ambân ziŋ Yesu ekŋâ kamân dâp âimŋâ a mâsekziŋoot helâŋ aam minziŋgâm Yesugâren gawe. 
MRK.6.56	Yesuŋâ kamân patin sot mâik mâigân ari ko a ambân mâsekziŋoot sombemân zâmbane âi hâmbâ murukŋan gâsum âlipziŋ upigât Yesu dukune nâŋgip. Dukune nâŋgi hâmbâŋan gâsum âlipziŋ urâwe.
MRK.7.1	Parisaio sot Yerusalem kamânân gâbâ Kembugât gurumin den zorat galem a, zen Yesugâren ga minduwe. 
MRK.7.2	Oi Yesu arâpŋâ osetziŋan gâbâ nâmbutŋandâ Parisaio a zeŋgât den mân luwe. Zen bitziŋ mân saŋgon nalem nine ziŋgirâwe. 
MRK.7.3	Parisaio sot Yuda a aksik patâ, zen bitziŋ saŋgon nalem nemarâwe. Sâkurâpziŋ zeŋgât den lum yatâ opmarâwe. 
MRK.7.4	Zen mindumindu sombemân gâbâ gam too sâŋgonŋâ nalem nemarâwe. Oi zorik buŋâ. Âmaŋ sot hâkop saŋgonsaŋgon sot kut ŋâi ŋâi nâmbutŋaŋgât sâkurâpziŋaŋgât den, zo lum ândiwe. 
MRK.7.5	Zorat Parisaio sot Kembugât gurumin den zorat galem a, zen Yesu mâsikâm sâwe, “Arâpkâ wangât sâkurâpniŋ zeŋgât den kom bitziŋ mân saŋgon nalem nime?” 
MRK.7.6	Sânetâ itâ sâm dâzâŋgoip, “Sarâ a zen. Zeŋgât op Propete Yesaiaŋâ Anutugât den itâ sâm kulemgoip,
MRK.7.6	‘A kâmut zi lâuziŋandik mâpâsenime. Umziŋandâ ko birânime. 
MRK.7.7	Oi den bonŋaŋgât hâuŋâ a ziiŋ den sâm kwâkâm aŋgâme. Zen lâuziŋandik mâpâsenime, nâ zorat nâŋga yen opmap.’
MRK.7.8	Zen Anutugât gurumin den zo birâne gei a denâk lum ândime. 
MRK.7.9	Zen ziŋâ nâŋgânâŋgâyân gâbâ den zo mem ko Kembugât gurumin den zo birâm mâtâp ŋâin âime. 
MRK.7.10	Mose zâk Anutugât gurumin den itâ sâm dâzâŋgoip, ‘Gâ ibâ mamgâ sâtzik lum hurat kwatzikâban. Ŋâi zâk ibâ mamŋâ sâm bâliŋan kwatzikâbap, zo kune mumbap.’ 
MRK.7.11	Zen ko itâ sâme, ‘A ŋâi zâk ibâ mamŋâ itâ dâzâkobap. Kut zo zo zikâbam, zo Anutugât siŋgi sâm paan.’ 
MRK.7.12	Yatâ dâzâkoi zen diŋâ mem kâtikŋan pam mam ibâŋ kore otzikâbâ sâi mâtâp pâke kwâkŋaŋgâme. 
MRK.7.13	Yatâ op Anutugât den komŋâ sâkurâpziŋaŋgât den lum game. Oi zorik buŋâ kut ŋâi ŋâi nâmbutŋâ yatik upme.”
MRK.7.14	Yesuŋâ yatâ sâm a ambân dum minduziŋgâm itâ sâm dâzâŋgoip, “Nâ den dâzâŋgua zen aksik nâŋgâm kwâkânek. 
MRK.7.15	Kut ŋâi ŋâi nine tep kâmboziŋan geimap, zorâŋ mân sumunkomap. Ka umziŋan gâbâ kopgâmap, zorâŋâ ko sumonkomap. 
MRK.7.16	A kindapŋoot zorâŋ den zi nâŋgâbap.”
MRK.7.17	Yatâ sâmŋâ birâziŋgâm mirin zari arâpŋâ ziŋâ den sumbuŋâ topŋaŋgât mâsikâwe. 
MRK.7.18	Mâsikânetâ sâip, “Zen yatik um nâŋgânâŋgâziŋâ buŋ ândime? Topŋâ itâ mân nâŋgâme? Kut ŋâi ŋâi tep kâmboziŋan geimap, zorâŋ dabân sumunkomap? 
MRK.7.19	Zorâŋ umziŋan mân âimap. Zo yen tep kâmboziŋan giari mem kubigi mâtâpŋan geimap.” Yesu zâk yatâ sâm nalemgât den sâm nâmbâsâpkoip. 
MRK.7.20	Oi den ŋâi itâ sâip, “Umziŋan gâbâ kopgâmap, zorâŋâ ko sumunkomap. 
MRK.7.21	A umân gâbâ den itâ kopgamap. Nâŋgânâŋgâ bâliŋâ, âkŋâle nep, kâmbu. 
MRK.7.22	Kâmbam ku, ambân mem birâbirâŋ, sarâ, zâizâiŋâ, um kâtik, den bâliŋâ sot bâliŋâ top topŋâ. 
MRK.7.23	Bâliŋâ sâlâpkuan, zorâŋâ a umziŋan gâbâ kopgâi sumunkomap.”
MRK.7.24	Yesu zâk kamân zo birâm âim Tiro Sidoŋ kamân zagât zo zeŋgâren takip. Takâm mirâ ŋâin zâim tik tap nâŋgâbat sâip. Oi dap yatâ tik tâpap? 
MRK.7.25	Taki zorenâk ambân ŋâi zâk siŋgi nâŋgip. Zâkkât bâratŋâ wâkeŋâ zâk sot ândeipkât ga Yesugât um topŋan pindiŋsâip. 
MRK.7.26	Ambân zo Grik ambân Siro-Poinika gokŋâ. Zâk bâratŋaŋgât umŋan wâke zo molibapkât dukuip.
MRK.7.27	Dukui Yesuŋâ itâ sâip, “Katep zeŋgât nalem wâu ziŋgindâ mân dâp upap. Katep zen nalem ninetâ ko buputŋâ zo mem wâu ziŋgânat.”
MRK.7.28	Sâi ambânŋâ den itâ mâburem pindip, “Kembu, zo nâŋgan. Ka katep ziŋâ nalem nine gwapgwapŋâ gei wâu zen laŋdâ nime.”
MRK.7.29	Oi Yesugoot itâ sâm dukuip, “Den zo yatâ sat, zorat op ko nâŋgâgigan. Âi eknan. Wâkeŋâ bâratkâ birâŋâŋgap.” 
MRK.7.30	Sâi ambân zo âimŋâ mirâŋan zâim egip. Wâkeŋâ bâratŋâ pam ari nâŋzam tâip.
MRK.7.31	Yesu zâk Tiro kamânân gâbâ puriksâm Sidoŋ kamân walâmŋâ kamân bâzagât zeŋgâren takâmŋâ Galilaia saruyân takip. 
MRK.7.32	A nâmbutŋâ, ziŋâ a ŋâi kopa, kindap bâpsâsâŋ diim gam Yesuŋâ weebapkât dukuwe. 
MRK.7.33	Dukune nâŋgâm a zo diimŋâ ginŋan pâi zikŋik kiri Yesu zâk bikŋandâ kindapŋan weemŋâ bikŋan tâpkum nâmbâlamŋan weegip. 
MRK.7.34	Yatâ opŋâ sumbemân egi zaari yaak memŋâ ziŋ denân sâip, “Epata (niiŋ denân ko, pâroŋsâ).” 
MRK.7.35	Yatâ sâi a kindapŋâ pâroŋsâi nâmbâlam âburei den âlip sâip. 
MRK.7.36	Oi Yesu zâk den siŋgi zo mân sapsubigât dâzâŋgoip. Yatâ sâi zen ko kâtigem sâne laŋ kârâm arip. 
MRK.7.37	Zen âiwap pamŋâ itâ sâwe, “Kut ŋâi ŋâi tuugi âlip opmap. Kindapziŋ bâpâsâŋ kubikziŋgâmap. A dinziŋ buŋ den muyagem ziŋgâmap.”
MRK.8.1	Narâk zoren a ambân kâmut patâ Yesugâren mindum nalem buŋ ândine Yesuŋâ arâpŋâ minduziŋgâm dâzâŋgoip, 
MRK.8.2	“A ambân kâmut zi sirâm karâmbut nen sot ândimŋâ tepziŋaŋgât mue, zorat umnâ nâŋgan. 
MRK.8.3	Zen nalem buŋâ sâŋgonzâŋgoindâ sâi mâtâbân âim nalemgât tâmbetagobe. Nâmbutŋâ zen kamân kârebân gâbâ gawe, zorat.” 
MRK.8.4	Yatâ sâi arâpŋâ ziŋ itâ sâm dukuwe, “A mân ândiândiŋan ândiengât dap yatâ nalem muyagem ziŋgânat?” 
MRK.8.5	Sâne itâ mâsikâziŋgip, “Zeŋgâren nalem dabutâ ziap?” Sâi ziŋâ sâwe, “Nâmburân zagât ziap.” 
MRK.8.6	Dukune sâi a ambân mindumŋâ hânân ge tarâwe. Ge tatne Yesuŋâ nalem nâmburân zagât zo memŋâ sâiwap sâm sonpam namuŋ ziŋgip. Arâpŋâ ziŋgi mem kâsâpkum a ambân ziŋgâwe. 
MRK.8.7	Oi Yesu arâpŋâ zen saru zuuŋâ mâik bitugâk zagât mo karâmbut yatâ zo Yesu pindâne mem sâiwap sâm a ambân ziŋgâbigât arâpŋâ dâzâŋgomŋâ ziŋgip. 
MRK.8.8	A ambân kâmut, zen nalem nem âkon urâwe. Yesu arâpŋâ zen nalem buputŋâ tap arip, zo mindune irâ nâmburân zagât zoren gei piksâip. 
MRK.8.9	A ambân niwe, zo 4 tausen yatâ. Nine ko Yesuŋâ sâŋgonzâŋgom zâmbâri ba âiwe.
MRK.8.10	Yesuŋâ a ambân sâŋgonzâŋgoi âine sâp kânok zikŋâ sot arâpŋâ waŋgâyân zâim Dalimanuta hânân âi takâwe. 
MRK.8.11	Zoren ândinetâ Parisaio a, zen Yesugâren gam zâk sot âraguwe. Ziŋâ itâ dukuwe, “Sumbemân gâbâ imbaŋâ ŋâi gei sen mârât kulem ŋâi kona iknâ” Zo mâsikâm topŋâ iknam sâwe. 
MRK.8.12	Yatâ sâne Yesuŋâ yaak op mâsikâziŋgâm sâip, “Narâk ziren a zen wangât op top likuliku kulem âsagibapkât se? Perâkŋak dâzâŋgobâ. A zo zen kut zo mânâk tirâpzâŋgobat.” 
MRK.8.13	Yatâ sâmŋâ birâziŋgâm arâpŋâ diiziŋgi waŋgâyân zâim saru nâmbutken âiwe. 
MRK.8.14	Arâpŋâ zen nalemgât nelâmzâŋgoi âiwe. Nalem kânogâk waŋgâyân tâip. 
MRK.8.15	Oi Yesuŋâ arâpŋâ girem den itâ dâzâŋgoip, “Zen Parisaio sot Herode zeŋgât sii daŋgâtŋâ nalemziŋan mân pam om nimbi.” 
MRK.8.16	Yesuŋâ yatâ sâm dâzâŋgoi ko kwakŋâ âragum sawe, “Nalemgât nelâmnâŋgoi birâm gen, zorat sap?” 
MRK.8.17	Den yatâ sâm tatne Yesugât kindapŋan giari nâŋgâm itâ sâm dâzâŋgoip, “Nalemgât nelâmzâŋgoip, zorat wangât âragum te? Zen den zorat topŋâ mân nâŋge? Umziŋâ mân pâroŋsap? 
MRK.8.18	Zen sinziŋandâ mân ikme? Kindapziŋandâ den mân nâŋgâme? Kut zo orâwan, zo mârum nelâmzâŋgoi mân nâŋge? 
MRK.8.19	Nâ nalem bâtnâmbut kâsâpkum a 5 tausen ziŋgâwan. Oi buputŋâ zo sândune irâ dabutâ giarip? Mâsikâziŋgi sâwe, “Kiin zagât.” 
MRK.8.20	Sâne sâip, “Nalem nâmburân zagât kâsâpkum a ambân 4 tausen ziŋgindâ buputŋâ sândune irâ dabutâ piksâip?” Mâsikâziŋgi dukum sâwe, “Nâmburân zagât.” 
MRK.8.21	Sâne dâzâŋgoip, “Wangât umziŋ tok mân pâroŋsap?”
MRK.8.22	Yesu sot arâpŋâ, zen âi Besaida kamânân takâne a sen ŋâtâtik ŋâi Yesugâren diim gam bikŋandâ weebapkât dukuwe. 
MRK.8.23	Dukunetâ Yesuŋâ a siŋ bâpâsâŋ zo bikŋan gâsumŋâ kamân ginŋan âim siŋan tâpkum bikŋandâ kâukŋan pam itâ dukuip, “Gâ kut ŋâi ŋâi, zo eksat mo buŋâ?” 
MRK.8.24	Yatâ mâsiki ekŋâ sâip, “Nâ a ziŋgitsandâ nakkât tobat yatâ op âim gam kinze.” 
MRK.8.25	Dum zagâtŋâ Yesuŋâ siŋan weegi a zo siŋâ ânâŋgâri kârebân sot pâŋkânogân, zo ek kwâtâteip. 
MRK.8.26	Oi Yesuŋâ sâŋgongum sâip, “Gâ kamân patin mân zâim tigâk mirâgan zâi.”
MRK.8.27	Yesu sot arâpŋâ, zen Kaisarea kamân patâ a kutâ Pilipoŋâ sâi tuuwe, zorat kamân mâik mâik, zeŋgâren âiwe. Mâtâbân âim Yesuŋâ arâpŋâ mâsikâziŋgâm sâip, “A zen nâgât ŋâi sâme?” 
MRK.8.28	Mâsikâziŋgi itâ sâm dukuwe, “Yohane too zaŋgonziŋgip sâme. Nâmbutŋandâ ko Elia sâme. Nâmbutŋâ zen Propete ŋâi sâme. Gâgât yatâ sâme.” 
MRK.8.29	Sânetâ ko mâsikâziŋgip, “Ka ziiŋâ ko nâgât ŋâi sâme?” Sâi Peteroŋâ itâ dukuip, “Bâliŋan gâbâ mâkâniŋgâban. Gâ Kristo.” 
MRK.8.30	Yatâ sâi ko a nâmbutŋâ laŋ mân dâzâŋgobigât sâm kâtigeip.
MRK.8.31	Narâk zoren topkwapŋâ den itâ sâm muyageziŋgip, “A bonŋâ, nâ gâtâm sâknam nâŋgâbat. A patâ sot tirik namâ galem a patâ sot Anutugât gurumin den zorat galem a, ziŋâ gâsânom none momŋâ sirâm karâmbut tapŋâ zaatpat.” 
MRK.8.32	Den zo sâm kâkŋan pam dâzâŋgoip. Dâzâŋgoi ko Peteroŋâ diim kwâkâŋaŋgâm dukuip. 
MRK.8.33	Dukui Yesuŋâ puriksâm arâp ziŋgitŋâ Petero kwâkâŋaŋgâm sâip, “Sataŋ, gâ siriksâ. Gâ den sat, zo Anutugât den buŋâ. Zo a den.”
MRK.8.34	Yesuŋâ sâi a ambân kâmut tarâwe, zen sot arâpŋâ gane itâ sâm dâzâŋgoip, “Zen nâ molininâ sâm um sâkziŋaŋgât den birâm poru nakziŋ lumŋâ nâgat mâtâp, zo lâŋbi. 
MRK.8.35	Zen ândiândiziŋ aŋgân kârâbi, zo ko gulipzâŋgobap. Zen nâgât opŋâ sot den siŋgi âlipkât op ândiândiziŋ birâbi, zo ko ândiândi bonŋâ muyagibi. 
MRK.8.36	Zen hângât kut kiŋ kiŋ mem ândiândiziŋ buŋ oi wan wan âlipŋâ zemziŋgâbap? 
MRK.8.37	Zen dap yatâ ândiândiziŋ suup mei târokwap ziŋgâbap? 
MRK.8.38	Zeŋgâren gâbâ ŋâi zâk a ambân ândi mâmanziŋ bâliŋâ zi, zeŋgât oserân ândim kwâimbânibap mo dinaŋgât nâŋgi aŋunŋoot upap, zâkkât a bonŋâ, nâŋâ Ibânaŋgât sumbem âsakŋâ sot kâwali a zen sot gamŋâ a zo yatik kwâimbâŋaŋgâbat.”
MRK.9.1	Yesuŋâ itâ sâm dâzâŋgoip, “Nâ perâkŋak dâzâŋgobâ. A kinze zi, nâmbutŋâ zen mân mune Anutu um topŋan ândiândiŋaŋgât narâk oi zorâŋâ imbaŋâŋoot âsagei ikpi.”
MRK.9.2	Yesu zâk sirâm nâmburân kânok ândim Petero sot Yakobo sot Yohane diiziŋgi bak kârebân zâiwe. Zen ziiŋik zoren tatne Yesugât holi tobatŋâ ŋâi âsageip. 
MRK.9.3	Yesugât hâmbâŋâ zo kâu timan timan. Aŋâ mân tuutuuŋâ yatâ oip. 
MRK.9.4	Oi Mose sot Elia zorenâk muyagem gam Yesu sot den den urâwet. 
MRK.9.5	Oi Peteroŋâ Yesu den itâ sâm dukuip, “Patâniŋâ, mat ŋâi zi ândien. Zorat silep karâmbut tuunâ. Gâgât ŋâi, Mosegât ŋâi, Eliagât ŋâi.” 
MRK.9.6	Yesu arâpŋâ zen keŋgât op sânâmziŋ sâmbui Peteroŋâ laŋ sâip. 
MRK.9.7	Yatâ utnetâ sasa ŋâi gei kwâtepzâŋgoip. Sasa kâligen gâbâ den ŋâi itâ âsageip, “Zi nannâ. Umnâ zâkkâren kinzap. Ziŋâ diŋâ nâŋgâm biraŋbi.” 
MRK.9.8	Arâpŋâ zen den yatâ nâŋgâm zorâŋak ek kârune buŋ oi Yesu zikŋik kiri igâwe.
MRK.9.9	Bâkŋan gâbâ gem gam tatne Yesuŋâ arâpŋâ itâ sâm dâzâŋgoip, “Zen wan wan ikse, zo a ambân mân dâzâŋgone a bonŋâ, nâ mumuŋan gâbâ zaatpat.” 
MRK.9.10	Yatâ sâm dâzâŋgoi arâpŋâ zen den zo nâŋgâm kwakŋâ itâ âraguwe, “Mumuŋan gâbâ zaatzaat sap, zorat top dap yatâ.?” Oi kut ŋâi igâwe, zorat siŋgi a ambân mân dâzâŋgowe. 
MRK.9.11	Zen Yesu itâ mâsikâm sâwe, “Kembugât gurumin den zorat galem a, zen wângât itâ sâme? Eliaŋâ Kristo kândom okŋaŋgâm takâbap.” 
MRK.9.12	Yatâ sâm mâsikâne sâip, “Elia perâkŋak kândom gam kut ŋâi ŋâi ek kubikpapkât sâsâŋâ. Oi bet ko a bonŋâ nâ sâknam patâ nim kâbakŋenibi. Nâgât op Kembugât ekabân dapkât op yatâ kulemguwe? 
MRK.9.13	Eliagât itâ dâzâŋgobâ. Elia mârum ga ândei kut ŋâi ŋâi zo laŋ okŋaŋgâwe. Anutugât ekabân den kulemguwe, zo yatik okŋaŋgâwe.”
MRK.9.14	Yesu sot arâpŋâ karâmbut bâkŋan gâbâ gem arâpŋâ nâmbutŋâ zeŋgâren gam igâwe. A ambân doŋbep patâ haamzâŋgom kine Kembugât gurumin a zen Yesugât arâpŋâ sot âragum tarâwe. 
MRK.9.15	A ambân aksik, zen Yesu ekŋâ pârâkpam zâkkâren sârârâk kârâm âim sâtâre okŋaŋgâwe. 
MRK.9.16	Yesuŋâ mâsikâziŋgip, “Zen wan den sâm ârague?” 
MRK.9.17	Sâi a zeŋgât oserân gâbâ a ŋâiŋâ itâ dukuip, “Patâ, wâke kopaŋâ nannaŋgât umŋan gei tâi gâgâren diim gaan. 
MRK.9.18	Wâkeŋâ narâk dâp katep zo sâknam kwâkŋaŋgâm mem kâbakgwâbakŋe okŋaŋgi lepâuŋâ gei sâtŋâ zim kâtiŋsâi kiŋ bikŋâ kâtigem kinmap. Oi gâgât arâpkâ ziŋâ molibigât sa ko molinâ sâm kwakŋâ bire.”
MRK.9.19	Sâi Yesuŋâ arâp dâzâŋgoip, “Zen nâŋgâm pâlâtâŋziŋ buŋâ. Nâ narâk dabutâ zen sot tap âkom diiziŋgâm ândimâmbat? Katep zo nâgâren diim ganek.” 
MRK.9.20	Sâi katep zâkkâren diim gane wâkeŋâ Yesu ekŋâ katep mem ŋâi ŋâi okŋaŋgi hânân gei kom purik op zei lepâuŋâ gem zeip.
MRK.9.21	Yesuŋâ katepkât ibâŋâ mâsikâm sâip, “Narâk dabutin oip?” Sâi ko ibâŋandâ sâip, “Katepŋan gâbâ muyageip. 
MRK.9.22	Wâkeŋâ katep tâmbetkubat sâm kârâp sot tooyân mem kâbakŋei geimap. Gâ imbaŋâgâ zemgigap oi ko nekât umgâ bâliŋ oi betnikŋan me.” 
MRK.9.23	Yatâ sâm mâpâsei Yesuŋâ itâ dukuip, “Imbaŋaŋgât satkât sa nâŋgâ. Ŋâi zâk nâŋgâm pâlâtâŋ kwatnim ândibapŋâ kut ŋâi ŋâi sâi âlip âsageŋaŋgâbap.” 
MRK.9.24	Yesu zâk yatâ sâm dukui zorâŋak katepkât ibâŋandâ sâip, “Nâ nâŋgâm pâlâtâŋ kwatgigan. Gâ gikak nâŋgâm pâlâtâŋnâ lotŋâ, zo mem kâtikŋan pa.” 
MRK.9.25	Oi a ambân doŋbep mindum ga kine Yesuŋâ ziŋgitŋâ wâke molim sâip, “Wâke kopa gâ dâgoga takâm âi. Oi dum mân puriksâm ga geiban.” 
MRK.9.26	Yesuŋâ yatâ sâi wâkeŋâ den kâtik sâm katep lâŋ kâbakŋem ari katep hânân gei mumbam op zeip. A ambân zen zo ekŋâ katep muap sâwe. 
MRK.9.27	Yatâ sânetâ Yesuŋâ katep bikŋan gâsum mem zaari kirip.
MRK.9.28	Yesu zâk mirin zari arâpŋâ zen mâsikâm sâwe, “Nen dapkât op wâke molim osien?” 
MRK.9.29	Sâne dâzâŋgoip, “Wâke yatâ zo ko ninâuŋâ ko âlipŋâ molimoliŋâ. Ka kut zo nâmbutŋandâ ko buŋâ.”
MRK.9.30	Oi hân zo birâm ba Galilaia hân walâm âiwe. 
MRK.9.31	A ambân, ziŋâ nâŋgâbegât tigâk âiwe. Âimŋâ Yesuŋâ arâpŋâ itâ sâm dâzâŋgom ândeip, “A bonŋâ, nâ a bitziŋan zaria gâsunim none momŋâ sirâm karâmbut tap ko zaatpat.” 
MRK.9.32	Yatâ sâm dâzâŋgoi den zo nâŋgâm topŋaŋgât mâsikânam kwakŋâ birâwe.
MRK.9.33	Oi Kapenaum kamân takâm mirâ ŋâin zâim Yesuŋâ arâpŋâ mâsikâziŋgâm sâip, “Mâtâbân gam wan den sâm ârague?” 
