GEN.1.1	I begynnelsen skapte Gud himmelen og jorden. 
1SA.12.18	Så ropte Samuel til Herren, og samme dag sendte Herren torden og regn. Da ble hele folket grepet av stor frykt for Herren og for Samuel. 
1SA.12.19	Og hele folket sa til Samuel: Be for dine tjenere til Herren din Gud, så vi ikke skal dø! For vi har lagt den misgjerning til alle våre andre synder at vi har krevd en konge. 
1SA.12.20	Da sa Samuel til folket: Frykt ikke! Dere har gjort alt dette onde. Men forlat nå bare ikke Herren! Tjen Herren av hele deres hjerte! 
1SA.12.21	Vend dere ikke bort, slik at dere følger de tomme avgudene, som ikke kan hjelpe eller frelse, fordi de er bare tomhet. 
1SA.12.22	For sitt store navns skyld vil ikke Herren forlate sitt folk - siden Herren har funnet for godt å gjøre dere til sitt folk. 
1SA.12.23	Men jeg, det være langt fra meg å synde mot Herren ved å holde opp med å be for dere. Jeg vil lære dere den gode og rette veien. 
1SA.12.24	Frykt bare Herren og tjen ham i sannhet, av hele deres hjerte! Se hvor store ting han har gjort for dere! 
1SA.12.25	Men gjør dere det som ondt er, da skal både dere og kongen deres gå til grunne. 
1SA.13.1	I ett år hadde Saul den gang vært konge. Da han hadde vært konge over Israel i to år, 
1SA.13.2	valgte han seg tre tusen mann av Israel. Av dem var to tusen med Saul i Mikmas og i Betel-fjellene, og tusen var med Jonatan i Gibea i Benjamin. Resten av folket lot han fare hjem hver til sitt telt. 
1SA.13.3	Og Jonatan slo filistrenes vaktposter i Geba. Dette fikk filistrene høre. Men Saul lot hornet lyde rundt omkring i hele landet og sa: Hebreerne skal høre om det! 
1SA.13.4	Og hele Israel fikk høre meldingen om at Saul hadde slått filistrenes vaktposter, og likeså at filistrene hadde lagt Israel for hat. Og folket ble kalt sammen for å følge Saul til Gilgal. 
1SA.13.5	Filistrene samlet seg for å føre krig mot Israel: Tretti tusen vogner, seks tusen hestfolk, og fotfolk så mange som sanden ved havets bredd. De dro opp og slo leir ved Mikmas øst for Bet-Aven. 
1SA.13.6	Da Israels menn så at de var i fare fordi folket ble hardt angrepet, gjemte de seg i huler og hellere og fjellkløfter og kjellere og brønner. 
1SA.13.7	Noen av hebreerne gikk over Jordan til Gads og Gileads land. Men Saul var ennå i Gilgal, og hele folket fulgte ham skjelvende. 
1SA.13.8	Han ventet sju dager - til den tiden Samuel hadde fastsatt. Men Samuel kom ikke til Gilgal, og folket spredte seg og forlot Saul. 
1SA.13.9	Da sa Saul: Kom hit til meg med brennofferet og fredsofferet! Og så ofret han brennofferet. 
1SA.13.10	Men da Saul var ferdig med å ofre brennofferet, se, da kom Samuel. Og Saul gikk ut for å møte ham og hilse ham. 
1SA.13.11	Da sa Samuel: Hva har du gjort? Saul svarte: Jeg så at folket begynte å spre seg og forlate meg. Du kom ikke til den fastsatte tiden, og filistrene samlet seg ved Mikmas. 
1SA.13.12	Så tenkte jeg: Nå drar filistrene ned mot meg til Gilgal, og jeg har ennå ikke bønnfalt Herren. Da tok jeg mot til meg og ofret brennofferet. 
1SA.13.13	Da sa Samuel til Saul: Du har handlet som en dåre! Du har ikke holdt det bud som Herren din Gud ga deg. Da ville Herren nå ha stadfestet ditt kongedømme over Israel for alle tider. 
1SA.13.14	Men nå skal kongdømmet ditt ikke stå ved makt. Herren har søkt seg ut en mann etter sitt hjerte, og ham har Herren bestemt til fyrste over folket sitt. For du har ikke holdt det Herren bød deg. 
1SA.13.15	Så gjorde Samuel seg klar og dro fra Gilgal opp til Gibea i Benjamin. Og Saul mønstret de folkene han hadde hos seg - omkring seks hundre mann. 
1SA.13.16	Saul og sønnen hans Jonatan og de folkene som de hadde hos seg, lå i Geba i Benjamin. Og filistrene hadde slått leir ved Mikmas. 
1SA.13.17	Da dro det en flokk ut av filistrenes leir for å herje. Den var delt i tre lag. Det ene laget tok veien til Ofra, til Sjual-bygden. 
1SA.13.18	Det andre laget tok veien til Bet-Horon. Det tredje laget tok veien til den bygden som rager opp over Sebo’im-dalen bort imot ørkenen. 
1SA.13.19	Den gang fantes det ikke en smed i hele Israels land, for filistrene tenkte som så: Hebreerne kunne ellers lage seg sverd og spyd. 
1SA.13.20	Hele Israel måtte gå ned til filistrene for å få kvesset sine plogjern og sine hakker, sine økser og sine plogskjær. 
1SA.13.21	Og prisen var en pim for å få skjerpet plogjern og hakker, og en tredjedels sekel for økser og for å få en pigg påsatt. 
1SA.13.22	Slik gikk det til, at på den dagen da striden sto, fantes det ikke sverd eller spyd hos noen av alle de folk som var med Saul og Jonatan, bare Saul og sønnen hans Jonatan hadde det. 
1SA.13.23	Filistrenes forpost rykket fram til Mikmas-skaret. 
1SA.14.1	Så hendte det en dag at Jonatan, Sauls sønn, sa til våpensveinen sin: Kom, la oss gå over til filistrenes forpost der borte på den andre siden! - Men han sa ikke noe om det til sin far. 
1SA.14.2	Saul lå den gang i utkanten av Gibea under granatepletreet ved Migron. Krigsfolket som han hadde hos seg, var omkring seks hundre mann. 
1SA.14.3	Der var også Akia, sønn til Akitub, som var bror til Ikabod, sønn av Pinehas, sønn av Eli, Herrens prest i Sjilo. Det var Akia som den gang bar efoden*. Men folket visste ikke at Jonatan var gått. 
1SA.14.4	På hver side av skaret der Jonatan prøvde å komme over til filistrenes forpost, var det en bratt klippe. Den ene hette Boses og den andre Senne. 
1SA.14.5	Den ene klippen reiser seg bratt i nord midt imot Mikmas, den andre i sør midt imot Geba. 
1SA.14.6	Så sa Jonatan til våpensveinen: Kom, la oss gå over til forposten til disse uomskårne! Kanskje Herren gjør noe for oss. Ikke noe hindrer Herren fra å frelse, enten det er ved mange eller ved få. 
1SA.14.7	Våpensveinen svarte ham: Gjør alt det du har i sinne! Gå du bare! Jeg skal følge deg hvor du vil. 
1SA.14.8	Da sa Jonatan: Nå går vi over til mennene der, og da vil de få se oss. 
1SA.14.9	Hvis de da sier til oss: Stå stille til vi kommer bort til dere! - så blir vi stående hvor vi er, og går ikke opp til dem. 
1SA.14.10	Men hvis de sier: Kom opp til oss! - så går vi opp, for da har Herren gitt dem i vår hånd. Dette skal vi ha til tegn. 
1SA.14.11	Da de nå begge var kommet så langt at de kunne bli sett fra filistrenes forpost, sa filistrene: Se, der kommer hebreerne ut fra hulene som de har gjemt seg i! 
1SA.14.12	Og mennene på forposten ropte til Jonatan og våpensveinen hans og sa: Kom opp til oss, så skal vi si dere noe! Da sa Jonatan til våpensveinen: Stig opp etter meg, for Herren har gitt dem i Israels hånd. 
1SA.14.13	Så klatret Jonatan opp på hender og føtter, og våpensveinen hans fulgte etter ham. Jonatan felte dem, og våpensveinen gikk etter ham og slo dem i hjel. 
1SA.14.14	Ved det første angrepet Jonatan og våpensveinen gjorde, falt omkring tjue mann på en strekning som halvparten av den marken som kan pløyes på én dag. 
1SA.14.15	Da kom det redsel i leiren, på marken omkring og blant hele folket. Også forposten og herjeflokken ble grepet av redsel. Jorden skalv, og det kom en redsel fra Gud. 
1SA.14.16	Sauls vakter i Gibea i Benjamin fikk se at flokken oppløste seg og beveget seg hit og dit. 
1SA.14.17	Da sa Saul til folket som han hadde hos seg: Tell etter og se hvem som er gått fra oss! Så talte de etter, og det viste seg at Jonatan og våpensveinen hans ikke var der. 
1SA.14.18	Da sa Saul til Akia: Kom hit med Guds ark! Guds ark var på den tiden der blant Israels barn. 
1SA.14.19	Men mens Saul talte med presten, ble larmen i filistrenes leir større og større. Da sa Saul til presten: La det være! 
1SA.14.20	Saul og alt folket som var med ham, samlet seg. Da de kom dit hvor striden sto, fikk de se at den ene hadde løftet sverd mot den andre, og forvirringen var veldig stor. 
1SA.14.21	Også de hebreerne som nå likesom før var med filistrene, og som hadde dratt opp med dem og var rundt omkring i deres leir, slo seg nå sammen med de israelittene som var med Saul og Jonatan. 
1SA.14.22	Og da alle de israelittene som hadde gjemt seg i Efra’im-fjellene, hørte at filistrene flyktet, satte også alle disse etter dem og kjempet mot dem. 
1SA.14.23	Slik frelste Herren Israel denne dagen. Og striden dro seg bortover forbi Bet-Aven. 
1SA.14.24	Israels menn var svært slitne denne dagen, for Saul hadde latt folket sverge og si: Forbannet være den som nyter noe mat før i kveld, når jeg har fått hevnet meg på mine fiender! Og det var ingen av folket som smakte mat. 
1SA.14.25	Så kom alt folket inn i skogen, og der var det honning på marken. 
1SA.14.26	Med det samme folket kom inn i skogen, fikk de se en hel strøm av honning. Men ingen av folket førte hånden til munnen, for de fryktet for eden. 
1SA.14.27	Men Jonatan hadde ikke hørt at hans far lot folket sverge. Han rakte ut staven han hadde i hånden, og dyppet enden av den i en vokskake og førte så hånden til munnen igjen. Da ble hans øyne klare. 
1SA.14.28	Da tok en mann av folket til orde og sa: Din far har latt folket sverge og si: Forbannet være den som tar til seg mat i dag! Derfor er folket blitt utmattet. 
1SA.14.29	Jonatan svarte: Min far har ført ulykke over landet. Se bare hvor klare øynene mine er blitt fordi jeg har smakt litt av denne honningen! 
1SA.14.30	Hvor mye større ville ikke mannefallet blitt blant filistrene dersom folket i dag hadde fått ete av det byttet de har tatt fra fiendene sine. 
1SA.14.31	Den dagen slo de filistrene og forfulgte dem fra Mikmas til Ajalon. Folket var da svært utmattet, 
1SA.14.32	og tok straks fatt på byttet. De tok småfe og storfe og kalver og slaktet dem på marken og åt kjøttet med blodet i. 
1SA.14.33	Så kom det noen og fortalte Saul dette og sa: Se, folket synder mot Herren og eter kjøtt med blodet i. Han sa: Dere har vært troløse! Velt nå en stor stein hit til meg. 
1SA.14.34	Så sa Saul: Gå omkring blant folket og si til dem at de skal komme hit til meg, hver med sin okse og sitt lam og slakte dem her og ete, for at dere ikke skal synde mot Herren og ete kjøttet med blodet i. Da førte hver mann av folket med egen hånd sin okse fram om natten og slaktet dem der. 
1SA.14.35	Og Saul bygde et alter for Herren. Det var det første alter han bygde for Herren. 
1SA.14.36	Deretter sa Saul: La oss dra nedover og sette etter filistrene nå i natt, og plyndre dem til morgenen lyser fram. La ikke en eneste mann blant dem bli i live. De svarte: Gjør som du synes! Da sa presten: La oss tre fram for Gud! 
1SA.14.37	Og Saul spurte Gud: Skal jeg dra nedover og sette etter filistrene? Vil du gi dem i Israels hånd? Men han svarte ham ikke den dagen. 
1SA.14.38	Da sa Saul: Kom fram, alle høvdinger blant folket, så dere kan få vite og se hvordan det har seg med den synden som er begått i dag! 
1SA.14.39	For så sant Herren lever, han som frelser Israel, om så skylden er hos sønnen min Jonatan, skal han sannelig dø! Men ingen av hele folket svarte ham. 
1SA.14.40	Så sa han til hele Israel: Stå dere på den ene siden, så skal jeg og Jonatan, sønnen min, stå på den andre siden. Folket svarte Saul: Gjør som du synes! 
1SA.14.41	Da sa Saul til Herren, Israels Gud: La sannheten komme fram! Og loddet falt på Jonatan og Saul, men folket gikk fri. 
1SA.14.42	Så sa Saul: Kast lodd mellom meg og sønnen min Jonatan! Og loddet falt på Jonatan. 
1SA.14.43	Da sa Saul til Jonatan: Si meg hva du har gjort! Jonatan fortalte ham det og sa: Jeg tok litt honning på enden av staven jeg hadde i hånden min, og smakte på den. Her står jeg, jeg må dø. 
1SA.14.44	Da sa Saul: Gud la det gå meg ille både nå og siden om du ikke skal dø, Jonatan! 
1SA.14.45	Men folket sa til Saul: Skulle Jonatan dø, han som har vunnet denne store seieren for Israel? Langt derifra! Så sant Herren lever, skal det ikke falle et hår av hodet hans til jorden. For med Guds hjelp har han gjort sin gjerning i dag. Slik fridde folket Jonatan fra døden. 
1SA.14.46	Men Saul holdt opp med å forfølge filistrene og dro hjem. Og filistrene dro tilbake til sitt land. 
1SA.14.47	Da Saul hadde tatt kongedømmet over Israel, førte han krig mot alle fiendene sine rundt om: mot Moab og mot Ammons barn og mot Edom og mot kongene i Soba og mot filistrene. Overalt hvor han vendte seg hen, seiret han. 
1SA.14.48	Han viste sin styrke ved å slå amalekittene, og han fridde Israel fra dem som plyndret dem. 
1SA.14.49	Sauls sønner var Jonatan og Jisjvi og Malkisjua. Han hadde to døtre, den førstefødte hette Merab og den yngste Mikal. 
1SA.14.50	Sauls kone hette Akinoam, hun var datter til Akima’as. Hans hærfører hette Abner, han var sønn til Ner, som var onkel til Saul. 
1SA.14.51	For Kis, Sauls far, og Ner, Abners far, var sønner av Abiel. 
1SA.14.52	Krigen mot filistrene var hard alle Sauls dager. Og når Saul så en sterk og krigsdyktig mann, tok han ham i sin tjeneste. 
1SA.15.1	Samuel sa til Saul: Det var meg Herren sendte for å salve deg til konge over hans folk, over Israel. Så lyd nå Herrens ord! 
1SA.15.2	Så sier Herren, hærskarenes Gud: Jeg vil straffe Amalek for det han gjorde mot Israel, at han la seg i veien for ham da han dro opp fra Egypt. 
1SA.15.3	Gå nå av sted og slå Amalek. Slå med bann alt det han har. Spar ham ikke, men drep både mann og kvinne, både barn og diebarn, både okse og sau, både kamel og esel. 
1SA.15.4	Så kalte Saul folket til våpen og mønstret dem i Tela’im. Det var to hundre tusen mann fotfolk og ti tusen mann fra Juda. 
1SA.15.5	Da Saul kom til amalekittenes by, la han et bakhold i dalen. 
1SA.15.6	Og Saul sa til kenittene: Gå bort, skill dere fra amalekittene og dra ned, så jeg ikke skal ødelegge dere sammen med dem! For dere gjorde vel mot alle Israels barn da de dro opp fra Egypt. Så skilte kenittene lag med amalekittene. 
1SA.15.7	Saul slo amalekittene og forfulgte dem fra Havila til bort imot Sur, som ligger øst for Egypt. 
1SA.15.8	Agag, Amaleks konge, tok han til fange levende. Alt folket slo han med bann og drepte dem med sverdets egg. 
1SA.15.9	Men Saul og folket sparte Agag og det beste av småfeet og storfeet og gjøfeet og lammene - alt som så godt ut, og ville ikke slå dem med bann. Men alt det feet som var dårlig og verdiløst, det slo de med bann. 
1SA.15.10	Da kom Herrens ord til Samuel, og det lød slik: 
1SA.15.11	Jeg angrer at jeg har gjort Saul til konge, for han har vendt seg bort fra meg og har ikke gjort det jeg har befalt ham. Da ble Samuels vrede opptent, og han ropte til Herren hele natten. 
1SA.15.12	Morgenen etter sto Samuel tidlig opp for å møte Saul. Da kom noen og sa til Samuel: Se, Saul kom til Karmel*, og der reiste han et minnesmerke for seg selv, og så snudde han og dro videre ned til Gilgal.
1SA.15.13	Da nå Samuel kom til Saul, sa Saul til ham: Velsignet være du av Herren! Jeg har gjort etter Herrens ord. 
1SA.15.14	Men Samuel sa: Hva er da dette for en breking av småfe som lyder for ørene mine? Og hva er det for rauting av storfe jeg hører? 
1SA.15.15	Saul svarte: De har ført dem med fra amalekittene. For folket sparte det beste av småfeet og av storfeet for å ofre det til Herren din Gud. Men resten har vi slått med bann. 
1SA.15.16	Da sa Samuel til Saul: Hold opp! Så vil jeg forkynne deg hva Herren har talt til meg i natt. Han sa til ham: Tal! 
1SA.15.17	Samuel sa: Da du var liten i dine egne øyne, ble du hode for Israels stammer, og Herren salvet deg til konge over Israel. 
1SA.15.18	Og Herren sendte deg av sted og sa: Gå og slå disse synderne, amalekittene, med bann og før krig mot dem til du får gjort ende på dem! 
1SA.15.19	Hvorfor adlød du da ikke Herrens ord, men kastet deg over byttet og gjorde det som var ondt i Herrens øyne? 
1SA.15.20	Da sa Saul til Samuel: Jeg har adlydt Herrens ord og har gått den veien Herren sendte meg. Jeg har ført Agag, Amaleks konge, hit og slått Amalek med bann. 
1SA.15.21	Men folket tok av byttet, småfe og storfe, det beste av det bannlyste, for å ofre det til Herren din Gud i Gilgal. 
1SA.15.22	Da sa Samuel: Har vel Herren like meget behag i brennoffer og slaktoffer som i lydighet mot Herrens ord? Nei, lydighet er bedre enn offer, lydhørhet er bedre enn fettet av værer. 
1SA.15.23	For gjenstridighet er ikke bedre enn trolldoms-synd, og tross er som avgudsdyrkelse. Fordi du har forkastet Herrens ord, har han forkastet deg, så du ikke skal være konge. 
1SA.15.24	Da sa Saul til Samuel: Jeg har syndet! Jeg har overtrådt Herrens bud og dine ord, for jeg var redd folket og gjorde som de sa. 
1SA.15.25	Men tilgi meg nå min synd, og bli med meg tilbake, så jeg kan tilbe Herren! 
1SA.15.26	Samuel svarte Saul: Jeg vil ikke gå tilbake sammen med deg! For du har forkastet Herrens ord, og derfor har Herren forkastet deg, så du ikke skal være konge over Israel. 
1SA.15.27	Dermed vendte Samuel seg og ville gå. Men Saul grep fatt i kanten av ytterkappen hans, så den ble revet av. 
1SA.15.28	Da sa Samuel til ham: Herren har i dag revet kongedømmet over Israel fra deg og gitt det til en annen, som er bedre enn du. 
1SA.15.29	Og han som er Israels ære lyver ikke og angrer ikke. For han er ikke et menneske så han skulle angre. 
1SA.15.30	Saul svarte: Jeg har syndet, men vis meg likevel ære nå for mitt folks eldste og for Israel og vend tilbake sammen med meg, så jeg kan tilbe Herren din Gud. 
1SA.15.31	Da fulgte Samuel ham tilbake, og Saul tilba Herren. 
1SA.15.32	Så sa Samuel: Før Agag, Amaleks konge, hit til meg! - Glad til sinns gikk Agag bort til ham, og Agag sa: Sannelig, dødens bitterhet er veket bort! 
1SA.15.33	Men Samuel sa: Likesom sverdet ditt har gjort kvinner barnløse, så skal nå din mor bli barnløs fremfor andre kvinner! Så hogg Samuel Agag ned for Herrens åsyn i Gilgal. 
1SA.15.34	Deretter dro Samuel til Rama. Men Saul dro opp til sitt hus i Sauls Gibea. 
1SA.15.35	Helt til sin dødsdag gikk ikke Samuel for å treffe Saul, for Samuel sørget over Saul. Men Herren angret at han hadde gjort Saul til konge over Israel. 
1SA.16.1	Herren sa til Samuel: Hvor lenge vil du sørge over Saul, enda jeg har forkastet ham, så han ikke skal være konge over Israel? Fyll hornet ditt med olje og gå av sted! Jeg sender deg til Isai i Betlehem, for jeg har sett meg ut en av hans sønner til å være konge. 
1SA.16.2	Men Samuel sa: Hvordan kan jeg gjøre slik en ferd? Får Saul høre det, slår han meg i hjel. Da sa Herren: Ta med deg en kvige av buskapen og si: Jeg er kommet for å ofre til Herren! 
1SA.16.3	Innby Isai til ofringen, så vil jeg la deg få vite hva du skal gjøre. Du skal salve for meg den jeg sier deg. 
1SA.16.4	Samuel gjorde som Herren sa. Da han kom til Betlehem, gikk byens eldste ham skjelvende i møte og sa: Kommer du med fred? 
1SA.16.5	Han svarte: Ja, jeg kommer med fred. Jeg kommer for å ofre til Herren. Hellige dere og kom med meg til ofringen! Og han lot Isai og sønnene hans hellige seg og innbød dem til ofringen. 
1SA.16.6	Da de kom, og han fikk se Eliab, sa han: Sannelig, Herrens salvede står her for Herren! 
1SA.16.7	Men Herren sa til Samuel: Se ikke på utseendet hans og på hans høye vekst! For jeg har forkastet ham. Jeg ser ikke på det mennesket ser på, for mennesket ser på det ytre, men Herren ser på hjertet. 
1SA.16.8	Så kalte Isai på Abinadab og lot ham tre fram for Samuel. Men han sa: Heller ikke ham har Herren utvalgt. 
1SA.16.9	Isai lot så Sjamma tre fram. Men han sa: Heller ikke ham har Herren utvalgt. 
1SA.16.10	Slik lot Isai sju sønner tre fram for Samuel. Men Samuel sa til Isai: Herren har ikke utvalgt noen av disse. 
1SA.16.11	Og Samuel sa til Isai: Er dette alle guttene du har? Han svarte: Ennå er den yngste igjen, se, han gjeter småfeet. Da sa Samuel til Isai: Send bud og hent ham! Vi setter oss ikke til bords før han kommer. 
1SA.16.12	Så sendte han bud og hentet ham. Han var rødhåret og hadde vakre øyne og var vakker av utseende. Da sa Herren: Stå opp og salv ham! For han er det. 
1SA.16.13	Da tok Samuel oljehornet og salvet ham midt iblant brødrene hans. Og Herrens Ånd kom over David fra denne dagen og siden. Så brøt Samuel opp og gikk til Rama. 
1SA.16.14	Men Herrens Ånd vek fra Saul, og en ond ånd fra Herren forferdet ham. 
1SA.16.15	Da sa Sauls tjenere til ham: Se, en ond ånd fra Gud forferder deg. 
1SA.16.16	Herre, si bare fra til dine tjenere som står her for ditt ansikt, at de skal finne en mann som kan spille harpe. Når så en ond ånd fra Gud kommer over deg, skal han spille på harpen sin. Så vil det bli bedre med deg. 
1SA.16.17	Da sa Saul til tjenerne sine: Ja, finn en mann som spiller godt, og før ham hit til meg! 
1SA.16.18	En av de unge menn svarte og sa: Se, jeg har sett en sønn av Isai fra Betlehem, som er kyndig i å spille. Han er en djerv mann og en stridsmann. Han er god til å tale for seg og er en vakker mann. Og Herren er med ham. 
1SA.16.19	Da sendte Saul bud til Isai og sa: Send til meg sønnen din David, han som gjeter småfeet! 
1SA.16.20	Så tok Isai et esel, som han lesste brød på, en skinnsekk med vin og et kje og sendte det med sin sønn David til Saul. 
1SA.16.21	Slik kom David til Saul, og han ble i hans tjeneste. Saul ble meget glad i ham, og han ble hans våpensvein. 
1SA.16.22	Og Saul sendte bud til Isai og sa: La David bli i min tjeneste! For jeg har fått godvilje for ham. 
1SA.16.23	Når da ånden fra Gud kom over Saul, tok David harpen og spilte på den. Da fikk Saul lindring. Det ble bedre med ham, og den onde ånden vek fra ham. 
1SA.17.1	Filistrene samlet hærene sine til kamp og kom sammen i Soko, som hører til Juda. De slo leir mellom Soko og Aseka ved Efes-Dammim. 
1SA.17.2	Saul og Israels menn samlet seg også. De slo leir i Terebintedalen og fylket seg mot filistrene. 
1SA.17.3	Filistrene sto ved fjellet på den ene siden, og israelittene ved fjellet på den andre siden, så de hadde dalen mellom seg. 
1SA.17.4	Da kom det en tvekjemper ut fra filistrenes leir. Han hette Goliat og var fra Gat. Han var seks alen og et spann* høy. 
1SA.17.5	På hodet hadde han en kobberhjelm, og han var kledd i en skjellbrynje. Brynjens vekt var fem tusen sekel kobber. 
1SA.17.6	Han hadde kobberskinner på leggene og et kastespyd av kobber på ryggen. 
1SA.17.7	Skaftet på spydet hans var som en vevbom, og spydodden veide seks hundre sekel jern. Skjoldbæreren hans gikk foran ham. 
1SA.17.8	Han sto fram og ropte over til Israels fylking og sa til dem: Hvorfor drar dere ut og fylker dere til strid? Er ikke jeg filisteren og dere Sauls treller? Velg ut en mann og la ham komme ned til meg! 
1SA.17.9	Hvis han kan kjempe med meg og felle meg, så skal vi være trellene deres. Men hvis jeg får bukt med ham og feller ham, så skal dere være trellene våre og tjene oss. 
1SA.17.10	Så sa filisteren: I dag har jeg hånet Israels fylking. Kom hit med en mann, så vi kan kjempe med hverandre! 
1SA.17.11	Da Saul og hele Israel hørte hva filisteren sa, ble de motløse og meget redde. 
1SA.17.12	David var sønn av den efratitten fra Betlehem i Juda som hette Isai, og som hadde åtte sønner. Denne mannen var i Sauls dager gammel og skrøpelig. 
1SA.17.13	Isais tre eldste sønner var dratt ut med Saul i krigen. Den eldste av disse tre sønnene som var dratt i krigen hette Eliab, den andre Abinadab og den tredje Sjamma. 
1SA.17.14	David var den yngste. De tre eldste hadde fulgt Saul, 
1SA.17.15	men David gikk iblant hjem igjen fra Saul for å gjete sin fars småfe i Betlehem. 
1SA.17.16	Både morgen og kveld kom filisteren fram, i førti dager stilte han seg fram. 
1SA.17.17	Så sa Isai til sin sønn David: Kjære, ta en efa av dette ristede kornet og ti brød til brødrene dine og skynd deg til leiren med det - til dine brødre. 
1SA.17.18	Men disse ti stykker fersk ost skal du ha med til den øverste høvedsmannen. Så skal du se til brødrene dine om det går dem vel, og få med deg et pant fra dem. 
1SA.17.19	Saul er med dem og alle Israels menn i Terebintedalen og kjemper mot filistrene. 
1SA.17.20	Morgenen etter sto David tidlig opp og overlot småfeet til en gjeter. Så tok han det han skulle ha med, og gikk av sted, slik Isai hadde befalt ham. Da han kom til leiren, dro hæren nettopp ut for å fylke seg til strid og oppløftet krigsropet. 
1SA.17.21	Og Israel og filistrene stilte seg opp, fylking mot fylking. 
1SA.17.22	David la ned de tingene han hadde med seg hos den som hadde tilsyn med forsyningene, og sprang fram til fylkingen. Da han kom dit, hilste han på brødrene sine. 
1SA.17.23	Mens han talte med dem, kom tvekjemperen, filisteren Goliat fra Gat, nettopp fram fra filistrenes fylking og ropte de samme ordene som før, og David hørte det. 
1SA.17.24	Alle Israels menn flyktet for mannen da de så ham, og var meget redde. 
1SA.17.25	Og en mann av Israel sa: Ser dere den mannen som kommer fram der? Han kommer for å håne Israel. Den mannen som feller ham, vil kongen gi stor rikdom og la ham få datteren sin og gjøre hans fars hus skattefritt i Israel. 
1SA.17.26	Da sa David til de mennene som sto tett ved ham: Hva skal han få den mannen som feller denne filisteren og tar skammen bort fra Israel? For hvem er han vel denne uomskårne filisteren, som våger seg til å håne den levende Guds hær? 
1SA.17.27	Og folket gjentok for ham de samme ordene og sa: Det og det skal den mannen få som feller ham. 
1SA.17.28	Eliab, hans eldste bror, hørte hva han snakket med mennene om. Da ble hans vrede opptent mot David, og han sa: Hvorfor er du kommet hit ned? Hvem har du overlatt de få sauene til der ute i ørkenen? Jeg kjenner ditt overmot og ditt hjertes ondskap! Du er bare kommet hit ned for å se på slaget. 
1SA.17.29	Men David sa: Hva har jeg gjort nå? Det var jo bare et ord! 
1SA.17.30	Så vendte han seg fra ham til en annen og spurte om det samme, og folket svarte ham som første gang. 
1SA.17.31	Det kom da ut hva David hadde sagt, og Saul fikk også høre det. Han lot ham hente til seg. 
1SA.17.32	Og David sa til Saul: Ingen må miste motet på grunn av ham! Din tjener vil gå og kjempe med denne filisteren. 
1SA.17.33	Men Saul sa til David: Du kan ikke gå mot denne filisteren og kjempe med ham. Du er ung, og han er en krigsmann fra sin ungdom av. 
1SA.17.34	Men David svarte Saul: Din tjener gjette småfeet for sin far. Kom det da en løve eller en bjørn og tok en sau fra flokken, 
1SA.17.35	da sprang jeg etter den og slo den og rev sauen ut av gapet på den. Og reiste den seg så mot meg, tok jeg den i skjegget og slo den og drepte den. 
1SA.17.36	Både løve og bjørn har din tjener slått i hjel. Og det skal gå denne uomskårne filisteren som en av dem, fordi han har hånet den levende Guds hær. 
1SA.17.37	Så sa David: Herren, som har fridd meg av løvens og bjørnens vold, han skal også fri meg av denne filisterens vold. Da sa Saul til David: Gå, og Herren være med deg! 
1SA.17.38	Saul ga David sine egne klær. Han satte en kobberhjelm på hodet hans og hadde på ham en brynje. 
1SA.17.39	Og David bandt sverdet hans om seg utenpå klærne sine og ville til å gå, for han hadde ikke prøvd det før. Og David sa til Saul: Jeg kan ikke gå med dette, for jeg har ikke prøvd det før. Så tok David alt dette av seg. 
1SA.17.40	Han tok staven sin i hånden og søkte seg ut fem glatte steiner i bekken. Dem la han i gjetertasken som han hadde med seg, og slyngen sin hadde han i hånden. Så gikk han fram mot filisteren. 
1SA.17.41	Filisteren kom nærmere og nærmere bort mot David, og skjoldbæreren hans gikk foran ham. 
1SA.17.42	Da filisteren så fremfor seg og fikk se David, foraktet han ham, fordi han var ung og rødhåret og fager å se til. 
1SA.17.43	Og filisteren sa til David: Er jeg en hund, siden du kommer mot meg med kjepper? Og filisteren forbannet David ved sin gud. 
1SA.17.44	Så sa filisteren til David: Kom hit til meg, så skal jeg gi kjøttet ditt til himmelens fugler og markens dyr. 
1SA.17.45	David svarte filisteren: Du kommer mot meg med sverd og lanse og kastespyd. Men jeg kommer mot deg i Herrens, hærskarenes Guds navn, han som er Gud for Israels fylkinger - han som du har hånet. 
1SA.17.46	I dag skal Herren gi deg i min hånd, og jeg skal slå deg i hjel og skille hodet ditt fra kroppen. Jeg skal i dag gi likene fra filistrenes leir til himmelens fugler og til jordens ville dyr. Og all jorden skal få se at Israel har en Gud. 
1SA.17.47	Og hele dette folket skal få se at det ikke er ved sverd og spyd Herren frelser. For Herren råder for krigen. Og han skal gi dere i vår hånd. 
1SA.17.48	Da nå filisteren gjorde seg ferdig og gikk fram og kom nærmere bort mot David, skyndte David seg og sprang fram mot fylkingen, mot filisteren. 
1SA.17.49	Og David stakk hånden i tasken og tok fram en stein. Den slynget han ut og traff filisteren i pannen. Steinen trengte dypt inn i pannen hans, og han falt med ansiktet mot jorden. 
1SA.17.50	Slik vant David over filisteren med slyngen og steinen. Han slo filisteren og drepte ham, enda David ikke hadde noe sverd i hånden. 
