GEN.1.1	Diyà te puunà midlimbag te Megbevayà is langit wey is kelibutan. 
DEU.11.17	Emun ebeelan niw heini, egkepeukan kew te 
DEU.11.18	Umbe, ipependalid niw heini is menge lalag ku ziyà te gehinawa niw wey isip niw. Bevekelew kew etawa tutubew kew te edsuratan kayi su para kenè niw melipati. 
DEU.11.19	Ipenurù niw heini te menge anak niw. Ilalag niw heini kandan ke ziyè kew te valey niw wey ke edhipanew kew, zutun te kedhizeǥè niw wey zutun te ked-enew niw. 
DEU.11.20	Isurat niw heini ziyà te menge marku te gemawan te menge valey niw wey ziyà te pultahan te menge inged niw, 
DEU.11.21	para luǥeyazi kew te untung duma te menge anak niw duen te tanà he impenangdù te 
DEU.11.22	“Emun ebpurungan niw edtumana heini is langun he ibeǥey ku keniyu he menge suǥù, he ebmahalen niw is 
DEU.11.23	edsegseǥen te 
DEU.11.24	Is langun he tanà he egkeveyaan niw, egkehimu he keniyu: puun te sibsivayan pehendiyà te Lebanon, wey puun te Wahig he Eufrates pehendiyà te Zaǥat he Mediteraneo. 
DEU.11.25	Wazà ebpekeeǥen keniyu. Su iyan impenaad te 
DEU.11.26	“Pemineg kew! Ibpepilì ku sikiyu ǥuntaan te tuvad etawa rawak. 
DEU.11.27	Edtuvazan kew emun edtumanen niw is menge suǥù te 
DEU.11.28	Edrewaken kew emun kenè niw edtumanen heini is menge suǥù te 
DEU.11.29	Emun ed-uwiten kew en te 
DEU.11.30	Heini he menge vuntud diyà dapit te edsenlepan te Wahig he Jordan, diyà te tanà te menge Canaanhen he meǥinged diyà te Araba he uvey te inged he Gilgal. Kenà heini meziyu te menge kayu he ulayan diyà te More.
DEU.11.31	Edlayun kew en te Jordan te kedseled wey ked-angken duen te tanà he ibeǥey te 
DEU.11.32	ne tumana niw is langun he menge suǥù wey is menge sulunuzen he ibeǥey ku keniyu ǥuntaan.
DEU.12.1	“Iyan heini menge suǥù wey menge sulunuzen he kinahanglan he ebpurungan niw edtumana zutun te ked-ubpè niw ziyà te tanà he ibeǥey keniyu te 
DEU.12.2	Emun edsegseǥen niw en is menge etew he ebpen-ubpà dutun, purungi niw pemengkaǥa is langun he menge lugar he zutun dan ed-ezapa is ebpen-ezapen dan he tarù he menge megbevayà he ziyà te metikang wey mevavà he menge vuntud wey sihung te merapung he menge kayu. 
DEU.12.3	Pemengkaǥa niw is menge pemuhatè dan, penrupeta niw is tedeman dan he menge vatu, peminsuli niw is menge tukud he simbulu te vahi he ed-ezapen dan he si Ashera, wey penrupeta niw is ledawan te ebpen-ezapen dan su para melipati en heini zutun he lugar.
DEU.12.4	“Kenè niw iringi is paaǥi zan te ked-azap emun ed-ezapen niw is 
DEU.12.5	kekenà, dangep kew ziyà te 
DEU.12.6	Dutun niw uwita is menge ibpemuhat niw he edtutungen wey is duma pa he menge pemuhat, is ikepulù niw, is ispisyal he menge gasa niw, is insaad niw he idhalad, is kineugelingen he menge halad, wey is kinekekayan te menge uyaǥen niw. 
DEU.12.7	Ne ziyè kew egkaan te etuvangan te 
DEU.12.8	“Guntaan ebeelan niw is minsan hengkey he egkesuatan niw te ebaal, su ebpemuhat kew ǥuntaan diyà te minsan hendei zà duen he lugar he egkesuatan niw. Piru kenè niw en heeyan beeli 
DEU.12.9	emun ebpekeuma kew en duen te lugar he zutun kew ebpekehimeley. Heini he lugar ibeǥey keniyu te 
DEU.12.10	Emun ebpekelayun kew en te Jordan ne ed-ubpè kew en duen te tanà he ibeǥey keniyu te 
DEU.12.11	Kinahanglan he ed-uwiten niw is menge pemuhat niw ziyà te lugar he ebpilien te 
DEU.12.12	Ne medlipey kew zutun diyà te etuvangan te 
DEU.12.13	Kenè niw ipemuhat is menge pemuhat niw he edtutungen diyà te minsan hendei zà duen he lugar he egkesuatan niw, 
DEU.12.14	kekenà, diyè niw zà ipemuhat te lugar he ǥaked te sevaha he tribu niw he ebpilien te 
DEU.12.15	“Piru egkehimu mulà he edlapè kew wey egkaan kew te usa ziyà te minsan hendei he lugar. Egkehimu ke egkaan kew taman te egkesuatan niw iring te kegkaan niw te selazeng wey gasila sumalà te idtuvad keniyu te 
DEU.12.16	Piru kenè niw keena is lengesa; iitis niw heini ziyà te tanà iring te wahig. 
DEU.12.17	Iyan heini kinahanglan he kenè niw egkeenen diyà te keugelingen niw he ubpeey: is ikepulù te paras niw, binu niw, lana niw, kinekekayan te menge uyaǥen niw, is minsan hengkey he idsaad niw he idhalad, is kineugelingen he menge halad, wey is ispisyal he menge gasa. 
DEU.12.18	Diyè niw zà heini keena te etuvangan te 
DEU.12.19	Kenè niw limbe pesegdana is menge Levihanen mintras kemulu kew pa ed-ubpà diyà te tanè niw.
DEU.12.20	“Emun edtumanen en te 
DEU.12.21	Emun meziyù diyà te keniyu is lugar he ebpilien te 
DEU.12.22	iring te kegkeena niw te gasila wey selazeng. Is minsan hentei keniyu egkehimu he egkaan kayi, ed-isipen man sikandin he neremerikan etawa lumpiyu. 
DEU.12.23	Mebpekevantey kew zà he kenè kew mekekaan te lengesa, su is untung ne ziyà te lengesa. Kenè niw ipedregkesà te egkaan is untung wey is usa. 
DEU.12.24	Kekenà, iitis niw is lengesa ziyà te tanà iring te wahig. 
DEU.12.25	Kenè niw heini keena su wey mebmeupiya is kebpekesavuk niw wey te menge kevuwazan niw, su meupiya ziyà te etuvangan te 
DEU.12.26	“Uwita niw ziyà te lugar he ebpilien te 
DEU.12.27	Ipemuhat niw sikan is usa he pemuhat he edtutungen para te 
DEU.12.28	Tumana niw heini is langun he sulunuzen he ibeǥey ku keniyu, su wey layun meupiya is kebpekesavuk niw wey is menge kevuwazan niw te taman te taman, su is kedtuman kayi meupiya wey hustu ziyà te etuvangan te 
DEU.12.29	“Ebpengelinteuwan te 
DEU.12.30	Emun egkezezeetan niw en sikandan, mebantey kew he kenè kew mepekeizi pinaaǥi te ked-iring kandan. Kenè kew en mebpenginginsà bahin te menge ed-ezapen dan. Kenè kew kaǥi te, ‘Ebmenumenu zan is ebpenilbi te kandan he megbevayà? Ed-iringan tew is ebpen-ul-ulahan dan.’ 
DEU.12.31	Kenè niw iringi is paaǥi zan emun ed-ezapen niw is 
DEU.12.32	“Tumana niw is langun he insuǥù ku keniyu. Kenè niw heini umani wey kenè niw terini.
DEU.13.1	“Emun duen ebpeneuven etawa pereseysey te kehuluǥan te teǥeinep he ebpenaad diyà te keniyu he ebpaahà sikandin te menge singyal wey menge egkein-inuwan he menge vaal, 
DEU.13.2	ne egketuman is egkeǥiyen din, ne egkaǥi te, ‘Hendini kew su ed-azap kiw te selakew en he ebpen-ezapen’ (ebpen-ezapen he wazè niw mekilala), 
DEU.13.3	kenè kew pemineg kandin. Egezaman kew zà te 
DEU.13.4	Iyan dà is 
DEU.13.5	Kinahanglan he edhimetayan haazà is ebpeneuven etawa pereseysey te kehuluǥan te teǥeinep, su ebpenuruen kew zin te kedribildi ziyà te 
DEU.13.6	“Penenglitan duen nu suled etawa anak, pinelanggè nu he esawa etawa utew nu emiǥu, he meeles he ed-iniyat kenikew ne egkaǥi te, ‘Ed-azap ki te selakew en he menge ed-ezapen’ (menge ed-ezapen he wazè nu mekilala wey te menge kepuun nu). 
DEU.13.7	Emun ed-iniyaten ke zin te ked-azap te menge ed-ezapen te menge etew he nekeelingkus keniyu etawa menge etew ziyà te meziyù he lugar, 
DEU.13.8	kenè ka mebpeuwit wey mebpemineg kandin. Kenè nu sikandin kehizuwi wey kenè nu levani. 
DEU.13.9	Kinahanglan he edhimetayan sikandin. Iyan ka huna tuleng kandin te vatu te kedhimatey kandin, ne edsunud is kezekelan. 
DEU.13.10	Ebpenulengen sikandin te vatu taman te kebpatey zin su geina te edtinguhà sikandin ebpekeziyù kenikew puun te 
DEU.13.11	Ne egkezineg heini te langun he menge Israilihanen ne egkengehandek sikandan, ne wazè en ebaal ziyà te keniyu te iring dutun te utew mezaat he vaal.
DEU.13.12	“Penenglitan ebpekezineg kew te tudtul he sevaha zuen te menge inged he ibeǥey te 
DEU.13.13	is duen duen lalung he menge etew he midtazin dan is menge meǥinged dutun he inged su migkaǥi sikandin te, ‘Ed-azap kiw te selakew en he menge ed-ezapen’ (menge ed-ezapen he wazè niw mekilala). 
DEU.13.14	Kinahanglan he ebpurungan niw heini edsusiya ke tutuu ve. Ne emun tutuu he neulaula heini is utew mezaat he vaal, 
DEU.13.15	kinahanglan he egeraan niw is langun he meǥinged dutun he inged ragkes en is menge uyaǥen dan. Kinahanglan he wazà edresik kandan. 
DEU.13.16	Tiǥuma niw is langun he egkekuwa niw zutun he inged ne itambù niw ziyà te teliwazà te pelasa, ne vinsuli niw heini wey is tivuuk he inged he pemuhat he edtutungen para te 
DEU.13.17	Kenè kew medtipig te minsan hengkey he vutang he zutun te inged su neteǥane en heeyan he edezeetan. Emun edtumanen niw heini is langun, id-awà te 
DEU.13.18	Ebeelan heini te 
DEU.14.1	“Menge anak kew te 
DEU.14.2	Su iyan kew menge etew he intapid puun te zuma he menge etew para te 
DEU.14.3	“Kenè kew megkaan te minsan hengkey he langgam he ed-isipen he meremerik. 
DEU.14.4	Iyan heini menge langgam he egkehimu he egkeenen niw: vaka, kerehidu, kambing, 
DEU.14.5	selazeng, leew he kambing, leew he kerehidu, wey zuma he kelasi te selazeng. 
DEU.14.6	Egkehimu he egkeenen niw is minsan hengkey he langgam he netevì is sulu zan wey ed-umanan dan edsepaa is kinaan dan. 
DEU.14.7	Piru kenè niw keena is menge langgam he ed-uman edsepà te kinaan dan he wazà metevi is sulu zan, iring te kemilyu, rabit, wey badir. Heini he menge langgam isipa niw he meremerik. 
DEU.14.8	Kenè niw zaan keena is bavuy, su minsan netevì is sulu kayi piru kenà kayi ed-umanan edsepaa is kinaan din. Kenè niw keena heini he menge langgam wey kenè niw semsama is minatey kandan.
DEU.14.9	“Egkehimu he egkeenen niw is minsan hengkey he egkeuyag diyà te wahig he zuen dan kapey wey hun-ap. 
DEU.14.10	Piru kenè niw keena is wazè din kapey wey hun-ap. Isipa niw heini he meremerik. 
DEU.14.11	Egkehimu he egkeenen niw is minsan hengkey he kelasi te tagbis he ed-isipen he lumpiyu. 
DEU.14.12+DEU.14.13+DEU.14.14+DEU.14.15+DEU.14.16+DEU.14.17+DEU.14.18	Piru kenè niw keena is banug, uwak, menge tagbis he edaas te etew etawa langgam, dapay, ekang, kalamun, menge tagbis he ebpendawi te isdà, tulabung, dugwak, wey kaveg. 
DEU.14.19	Kenè niw keena is menge dezeizey he keranapranap he ebpemenlayang. 
DEU.14.20	Piru egkehimu he egkeenen niw is ebpemenlayang he ed-isipen he lumpiyu.
DEU.14.21	“Kenè niw keena is minsan hengkey he langgam he zaan he minatey. Egkehimu ke ibeǥey niw heini etawa ibelegyè niw ziyà te kenà menge Israilihanen he emurè niw te inged, ne egkeenen dan heini. Piru kenè kew mulà kaan kayi, su iyan kew menge etew he insivey para te 
DEU.14.21	“Kenè niw sevawi is nati he kambing te gatas te iney zin.
DEU.14.22	“Kinahanglan he idtapid niw is ikepulù te langun he egkeraǥun niw ziyà te menge pemuleey niw kada tuig. 
DEU.14.23	Uwita niw is ikepulù te menge paras, binu, wey lana niw, wey is kinekekayan te menge uyaǥen niw ziyà te lugar he ebpilien te 
DEU.14.24	Iyan, emun meziyù diyà te keniyu is lugar he ebpilien te 
DEU.14.25	liwai niw te selapì is ikepulù niw ne uwita niw haazà is selapì diyà te lugar he ebpilien te 
DEU.14.26	Ne ipemasa niw haazà is selapì te vaka, kerehidu, binu wey zuma pa he inumen, etawa minsan hengkey he egkesuatan niw. Ne zutun keena niw haazà te tivuuk he pemilya ziyà te etuvangan te 
DEU.14.27	Ne kenè niw lipati is menge Levihanen su wazà tanà he nepengevilin dan.
DEU.14.28	“Diyà te ketepusan te kada iketelu he tuig, tiǥuma niw is ikepulù te egkeraǥun niw zutun he tuig, ne uwita niw ziyà te teleǥuey kayì ziyà te inged niw. 
DEU.14.29	Ne iveǥey niw heini ziyà te menge Levihanen (he wazà tanà he nepengevilin), diyà te kenà menge Israilihanen, diyà te menge ilu wey menge valu he vahi he ebpemen-ubpà diyà te menge inged niw su para mekekaan daan sikandan su wey zan mengahantey. Emun ed-ul-ulahan niw heini, edtuvazan kew te 
DEU.15.1	“Ketepusan te kada ikepitu he tuig, kinahanglan he kenè niw en edsukuten is langun he utang diyà te keniyu. 
DEU.15.2	Iyan heini veeli niw: kinahanglan he kenè en edsukuten te mibpeutang is utang te zuma zin he Israilihanen. Kenè din en edsukuten su neume en is timpu he midtelaan te 
DEU.15.3	Egkehimu ke edsukutan niw is kenà menge Israilihanen, piru kinahanglan he kenè niw en mulà edsukutan is duma niw he Israilihanen.
DEU.15.4	“Ereg he wazà pubri keniyu, su edtuvazan kew te 
DEU.15.5	Iyan heeyan egkeulaula emun ebpezumdumahan niw is 
DEU.15.6	Edtuvazan kew te 
DEU.15.7	“Emun duen pubri ziyà te inged niw, zutun te tanà he ibeǥey keniyu te 
DEU.15.8	Kekenà, tulengezi niw sikandan ne ipesambey niw sikandan te menge kinahanglan dan. 
DEU.15.9	Kenè kew med-isip te selakew, kenè niw isipa he tenged te hapit en egkeuma is ikepitu he tuig, he iyan kes tuig he kenè en edsukuten is utang ne kenè kew en ebpeutang te pubri he zuma niw he meǥinged. Su emun edangep heini is pubri ziyà te 
DEU.15.10	Kinahanglan he ebpuun te keputian te atey niw is kebeǥayi niw kandin. Emun ed-ul-ulahan niw heini ne edtuvazan kew te 
DEU.15.11	Siguradu zuen menge pubri ziyà te nasyun niw, umbe ebmenduan ku sikiyu te kebeǥey kandan he ebpuun diyà te keputian te atey niw.
DEU.15.12	“Emun duen duma nu he Hebriyuhanen, maama man etawa vahi, he ebpeuripen kenikew, ne ebpekepenilbi en sikandin kenikew seled te heenem he tuig, ne zutun te ikepitu he tuig kinahanglan he ipeǥawas nu en sikandin te kegkeuripena nu kandin. 
DEU.15.13	Ne emun ibpeǥawas nu en sikandin, ne kenè nu sikandin ipeǥenat he wazè din uwiten. 
DEU.15.14	Tulengezi nu sikandin, beǥayi nu te menge uyaǥen, trigu, wey vinu, sumalà is kedtuvazi kenikew te 
DEU.15.15	Tentenuzi niw he menge uripen kew zengan diyà te Ehipto ne impeǥawas kew te 
DEU.15.16	“Piru emun egkaǥi haazà is uripen nu te, ‘Kenà a ed-awà diyà te kenikew su pelanggè ku sikew wey is pemilya nu, wey meupiya is kebpekesavuk ku ziyà te kenikew,’ 
DEU.15.17	ne zumaha nu sikandin diyà te ǥemawan te valey nu ne tinlangi nu is telinga zin ne zutun egkehimu en sikandin he uripen nu seled te tivuuk he untung din. Ne iring ded daan kayi is beeli nu ziyà te vahi he uripen nu.
DEU.15.18	“Kenè ka mebpengenuǥun emun ibpeǥawas nu en is uripen nu su is neǥastu nu kandin dutun te kebpenilbi zin kenikew seled te heenem he tuig, ne egketakep heeyan emun terebahanti is edsuhulan nu. Emun ed-ul-ulahan nu heini edtuvazan te 
DEU.15.19	“Isivey niw he para te 
DEU.15.20	Kekenà, keena niw heini zuma te pemilya niw ziyà te etuvangan te 
DEU.15.21	Piru emun duen sazir zutun he uyaǥen, emun penenglitan piang etawa bulag etawa zuma he sazir, ne kinahanglan he kenè niw heini ipemuhat diyà te 
DEU.15.22	Kekenà, keena niw heini ziyà te menge inged niw. Ebpekekaan kayi is langun, ed-isipen man sikandin he neremerikan etawa lumpiyu, iring te kegkeena niw te selazeng etawa gasila. 
DEU.15.23	Iyan, kinahanglan he kenè niw egkeenen is lengesa, iitis niw heini ziyà te tanà iring te wahig.
DEU.16.1	“Silibraha niw is Pista te Kedlavey te Belinsuǥuen te vulan he Abib para te kebeǥey te zengeg diyà te 
DEU.16.2	Pemuhat kew te kerehidu etawa vaka zutun te kedsilibraha niw te Pista te Kedlavey te Belinsuǥuen. Ipemuhat niw heini para te 
DEU.16.3	Keena niw heini zuma te supas he wazè din tapey. Seled te pitu he andew kaan kew te supas he wazè din tapey iring te mibeelan niw hein egaanggaan kew is egenat puun te Ehipto, keenà niw heini he supas he simbulu te ked-antus niw, su para metenuzi niw seled te tivuuk he untung niw is timpu te kegawas niw puun te Ehipto. 
DEU.16.4	Kinahanglan he wazà tapey he egkaahà diyà te menge valey niw seled te tivuuk he nasyun seled te pitu he andew. Wey kinahanglan he wazà egkesamà duen te usa he ibpemuhat taman te edsunud he meselem.
DEU.16.5	“Haazà is uyaǥen he ibpemuhat niw zutun te kedsilibriha niw te Pista te Kedlavey te Belinsuǥuen, ne kenè niw ipemuhat diyà te minsan hendei zà he inged he ibeǥey keniyu te 
DEU.16.6	kekenà, diyè niw zà ipemuhat te lugar he ebpilien din he zutun sikandin ebeǥayi te zengeg. Wey kinahanglan he ibpemuhat niw heini emun edsanlep en is andew he iyan kes uras te kebpuun niw ziyà te Ehipto. 
DEU.16.7	Hilutua niw heini ne keena niw ziyà te lugar he ebpilien te 
DEU.16.8	Kaan kew te supas he wazè din tapey seled te heenem he andew. Ne te ikepitu he andew, kenè kew terebahu, kekenà, tiǥum kew te ked-azap te 
DEU.16.9	“Bilang kew te pitu he simana puun te kebpuun te tiraǥun. 
DEU.16.10	Ne zutun silibraha niw is Pista te Kedraǥun te kebeǥey te zengeg diyà te 
DEU.16.11	Ne medlipey kew ziyà te etuvangan te 
DEU.16.12	Tentenuzi niw he menge uripen kew zengan diyà te Ehipto, umbe purungi niw sunuza heini he menge sulunuzen.
DEU.16.13	“Silibraha niw is Pista te Kebaal te menge Lawig seled te pitu he andew zutun te kegketapus te tiraǥun, dutun te egkepasad en is kegunas te trigu wey egkekeres en is paras. 
DEU.16.14	Medlipey kew is edsilibra kayi he pista duma te menge anak niw, menge suluǥuen niw, menge Levihanen, menge kenà Israilihanen, menge ilu wey menge valu he vahi he menge meǥinged diyà te inged niw. 
DEU.16.15	Seled te pitu he andew is kedsilibraha niw kayi he pista te kebeǥey te zengeg te 
DEU.16.16+DEU.16.17	“Kada tuig, kinahanglan he edtampu is langun he menge maama niw kayi te tetelu he pista: is Pista te Supas he Wazè din Tapey, is Pista te Kedraǥun, wey is Pista te Kebaal te menge Lawig. Is kada sevaha kandan ne medhendiyà te etuvangan te 
DEU.16.18	“Pilì kew te menge zatù wey menge upisyal te kada tribu niw ziyà te langun he inged he ibeǥey keniyu te 
DEU.16.19	Kenè dan bulegkua is hustu he kukuman ne emun edhukum sikandan kinahanglan he wazè dan edlevanan. Kenè dan medawat te suhul su is suhul ebpekepelakap te uluwanen wey metazeng, wey ebpekeipiktu te kedhukum dan. 
DEU.16.20	Kinahanglan he egkeikul is hustu he kukuman su wey kew meuyag ne egkaangken niw sikan is tanà he ibeǥey keniyu te 
DEU.16.21	“Kenè kew pehitindeg te tukud he simbulu zuen te vahi he ed-ezapen he si Ashera ziyà te avey te pemuhatà he ebeelan niw he para te 
DEU.16.22	wey kenè kew vangun te tedeman he vatu he para te ked-azap, su egkeepesan heini te 
DEU.17.1	“Kenè niw pemuhata is 
DEU.17.2	“Penenglitan duen sevaha he maama etawa vahi he meǥinged diyà te sevaha zuen te menge inged he ibeǥey keniyu te 
DEU.17.3	wey midsupak te suǥù din pinaaǥi te ked-azap din te selakew en he ed-ezapen etawa andew etawa vulan etawa menge vituen. 
DEU.17.4	Emun egkezineg niw heini kinahanglan he ebpurungan niw edsusiya. Ne emun tutuu he ebeelan diyà te Israel haazà is utew mezaat he vaal, 
DEU.17.5	ne uwita niw haazà is mibaal ziyà te pultahan te inged niw ne penulenga niw te vatu taman te kebpatey zin. 
DEU.17.6	Egkehimu he edhimetayan is etew emun egketuenan he nekesalà sikandin pinaaǥi te kebpenistiǥus te zezuwa etawa tetelu he menge tistiǥus, iyan, emun sevaha zà is ebpenistiǥus ne kenà egkehimu he edhimetayan. 
DEU.17.7	Haazà is menge tistiǥus iyan edhuna edtuleng kandin te vatu, ne edsunud is kezekelan. Kinahanglan he id-awè niw haazà is mezaat he vaal pinaaǥi kayi.
DEU.17.8	“Penenglitan duen kasu ziyà te kurti niw he mehitenged te kedhimatey, kedtebek etawa kebpememuǥel he utew mereǥen he edisisyunan. Ne iyan beeli niw is, uwita niw heeyan he kasu ziyà te lugar he ebpilien te 
DEU.17.9	he zutun is menge memumuhat he menge kevuwazan ni Levi wey is menge zatù he ebpengindatù dutun he timpu, ne iyan sikandan edisisyun dutun he kasu. 
DEU.17.10	Kinahanglan he edewaten niw is disisyun he midhimu zan diyà te lugar he ebpilien te 
DEU.17.11	Ke hengkey is egkedisisyunan dan he pinesikad te kesuǥuan, ereg he edsunuzen niw. Kenè niw supaka is egkeǥiyen dan keniyu. 
DEU.17.12	Is etew he kenà edawat te disisyun te zatù etawa memumuhat he ebpenilbi te 
DEU.17.13	Ne ke egkezineg heini te langun he etew, ne egkahandek dan, ne kenè dan en human edsupak.
DEU.17.14	“Emun ebpekeseled kew en duen te tanà he ibeǥey keniyu te 
DEU.17.15	Kinahanglan he iyan niw ebpilien he hadì is etew he mibpilì te 
DEU.17.16	Kinahanglan he kenà ebpekehebeten te hadì niw is menge kudè din wey kenè din ipelikù diyà te Ehipto is menge etew zin te kebpemasa te menge kudà, su is 
DEU.17.17	Kinahanglan he kenà mahabet is esawa zin su kela ke iniyuǥi zin is 
DEU.17.18	“Emun ebpinuu en sikandin diyà te pinuuwè din te kedhadì, kinahanglan he egkupya ziyà te etuvangan te menge memuhat he menge kevuwazan ni Levi kayi he menge kesuǥuan te para mismu kandin. 
DEU.17.19	Kinahanglan he edtipiǥan din heini wey layun din ebesaha seled te tivuuk he untung din su para mekeistudyu te kedtahud te 
DEU.17.20	Pinaaǥi te layun din kebesaha kayi ne kenà sikandin ebpekepahambug he edhuna sikandin he meupiya te zuma zin he menge Israilihanen, ne kenà sikandin ebpekesupak te menge suǥù te 
DEU.18.1	“Is menge memumuhat he kevuwazan ni Levi wey is duma pa he sakup te tribu ni Levi, iyan sikandan tribu te Israel he wazà tanà he egkepengevilin dan. Iyan dà egkekaan dan is puun duen te menge pemuhat pinaaǥi te hapuy he ibpemuhat diyà te 
DEU.18.2	Kenè dan iring te menge zuma zan he menge Israilihanen su wazà mulà tanà he egkepengevilin dan; 
DEU.18.3	“Iyan heini vahin te menge memumuhat he ebpuun te menge vaka etawa menge kerehidu he ibpemuhat te menge etew: is pemenayen, is bakà, wey is getek. 
DEU.18.4	Iveǥey niw zaan diyà te menge memumuhat is egkehuna he vahin te trigu, binu, lana, wey vulvul te kerehidu niw. 
DEU.18.5	Su ziyà te langun he tribu te Israel iyan sikandan wey is menge kevuwazan dan mibpilì te 
DEU.18.6	“Is minsan hentei he Levihanen he meǥinged diyà te minsan hendei he inged he sakup te Israel egkehimu ke edhendiyà te lugar he ebpilien te 
DEU.18.7	ne ebpekepenilbi sikandin dutun te 
DEU.18.8	Ebpekezawat daan sikandin te kandin he vahin duen te menge ibpemuhat minsan duen selakew en he egkekuwa zin puun te pemilya zin.
DEU.18.9	“Emun ebpekeseled kew en duen te tanà he ibeǥey keniyu te 
DEU.18.10	Kinahanglan he wazà minsan sevaha keniyu he ibpemuhat din is anak din pinaaǥi te hapuy. Etawa ebpenagnà, etawa ebpeveveyilan, etawa ebpeǥingkuris, etawa teǥelemayan, 
DEU.18.11	etawa mememarang, etawa ebaal te ebeelan te menge etew he edsarig te menge mulin-ulin, etawa ebpekidlalag te ǥimukud te nemematey en. 
DEU.18.12	Is minsan hentei he ebaal kayi he menge vaal, ne mezaat is ked-isipa kandin te 
DEU.18.13	Kinahanglan he wazà igkesawey keniyu ziyà te etuvangan te 
DEU.18.14	“Heini he menge nasyun, is menge etew zuen he edsegseǥen niw, ne ebpemendangep diyà te ebpemenagnà etawa menge veyilan. Iyan, sikiyu mulà imbandu keniyu te 
DEU.18.15	Kekenà, duen ebpeneuven te 
DEU.18.16	Su iyan heini mibuyù niw ziyà te 
DEU.18.17	“Umbe migkaǥi is 
DEU.18.18	Edsuǥù a ziyà te kandan te ebpeneuven ku he iring kenikew, su zuma zan he Israilihanen. Ne ibpekaǥi ku kandin is langun he egkesuatan ku te egkaǥi ziyà te kandan. 
DEU.18.19	Edsilutan ku is minsan hentei he kenà ebpemineg te menge lalag ku he ibpekaǥi ku te ebpeneuven ku. 
DEU.18.20	Kinahanglan he edhimetayan is ebpeneuven he wazè ku suǥua te kedlalag he egkaǥi he midsuǥù ku etawa egkaǥi te midsuǥù sikandin te selakew en he menge ed-ezapen.’
DEU.18.21	“Kela ke ed-insè kew te, ‘Hengkey is igketueni zey he is menge lalag te sevaha he ebpeneuven ne kenà diyà ebpuun te 
DEU.18.22	Emun kenà egkeulaula etawa kenà egketuman is egkeǥiyen te ebpeneuven he ibpekaǥi kun kandin te 
DEU.19.1	“Emun edezeetan en te 
DEU.19.2	ne pilì kew te tetelu he inged he eputà duen te tanà he ibeǥey keniyu te 
DEU.19.3	Behina niw te tetelu he distritu sikan is tanà he ibeǥey keniyu te 
DEU.19.4	Emun ebpekepatey is sevaha he etew te zuma zin he etew he wazè din tivevaa wey wazà igkepeuki zin duen, ne ebpekepelaǥuy sikandin diyà te sevaha kayi he menge inged ne wazà edhilavet kandin.
DEU.19.5	“Penenglitan, mibpezumahà is dezuwa he telesiringan diyà te ketelunan su ebpengayu zan. Ne te kebpiley te kayu te sevaha kandan ne nepesuk is wasey zin, ne ziyà haazà meketimbag te zuma zin, ne impatey zin haazà. Ne egkehimu ke ebpelaǥuy sikandin diyà te sevaha kayi te menge inged he eputà ne wazà edhilavet kandin. 
DEU.19.6	Emun sebsevaha zà is inged he eputà, kela ke meziyù diyà te etew he nekepatey, ne egkeseutan sikandin te edal-as kandin he ebpenimales, ne egkepatey sikandin. Kenà sikandin ereg he edhimetayan su wazè din tivevaa is kebpekepatey zin wey wazà igkepeuki zin dutun te nepatey zin. 
DEU.19.7	Iyan heini hinungdan ke maan is idsuǥù ku keniyu is kebpilì te tetelu he inged he eputà.
DEU.19.8	“Ebpekeluaǥen te 
DEU.19.9	Ebeelan heini te 
DEU.19.10	Umani niw is menge inged he eputà su para wazà etew he egkepatey he wazà mekesalà diyà te tanè niw he ibeǥey keniyu te 
DEU.19.11	“Piru emun edumut is sevaha he etew te iring din ne ebenteyanan din haazà ne edhimetayan din, ne ebpelaǥuy sikandin diyà te sevaha zuen te menge inged he eputà, 
DEU.19.12	kinahanglan he ibpekuwa sikandin te menge edumala ziyà te inged din ne ibeǥey ziyà te egkesuat he ebales kandin su wey mehimetayi sikandin. 
DEU.19.13	Kenè niw sikandin kehizuwi. Kinahanglan he id-awè niw puun te Israel is kebpenhimatey te wazà mekesalà he menge etew su para mebmeupiya is kebpekesavuk niw.
DEU.19.14	“Emun ebpekeuma kew en duen te tanà he ibeǥey keniyu te 
DEU.19.15	“Kenè kew hukum he nekesalà is sevaha he etew emun sevaha zà is ebpenististiǥus he nekesalà haazà. Is sumbung kinahanglan he zezuwa etawa tetelu he tistiǥus is ebpenistiǥus zuen. 
DEU.19.16	Emun edtarùtarù diyà te husayen is sevaha he tistiǥus ne egkaǥi te nekesalà is sevaha he etew, 
DEU.19.17	ne ibpehitindeg sikandan is dezuwa ziyà te etuvangan te 
DEU.19.18	Kinahanglan he ebpurungan sikandan ed-imbistigaha te menge zatù. Ne emun egkesusiyan dan he midtarùtarù haazà is tistiǥus pinaaǥi te ked-ulug te kewusa ziyà te zuma zin he etew, 
DEU.19.19	ne kinahanglan he iyan sikandin edsilutan te silut he para pezem duen te insumbung din. Kinahanglan he id-awè niw heini he mezaat he vaal ziyà te keniyu. 
DEU.19.20	Is ebpekezineg mehitenged kayi, ne egkahandek ne wazè en ebpekaaku he ebaal en maan te iring kayi te mezaat he vaal. 
