MAT.1.1	Satu dit matuntunan dat ginnapuwan Jesu Kristu un kaganakan didit Ali David un ganak didit Abraham.
LUK.13.4	“Padan dadit kagwampuḻu’t waḻu un iSiloe un natoya naḻdugan sidit naḻbaan dit nataknataknanga boḻoy. Utnat kanan yu nadagdagson dit basuḻ da nu sadat uduma tagu’n ummili utdin Jerusalem? 
LUK.13.5	Ibagak kan dikayu, bokon. Ta ulay dikayu nu adi kayu mandadaoli pada yu dida un matoy kayu pay ot maisina kayu kan Apudyus.”
LUK.13.6	Imbagan Jesus tu un abalig kan dida un kanana’n, “Inggaw osa’n tagu un nangimuḻa si igus sidit mumuḻ-ana’t ubas. Utdit nakadakoḻ, umoy na bilibilingon ta mansallap si bunga na yoong maida taḻon indasana. 
LUK.13.7	Ot imbagana’t dit man-aayyuwanona un, ‘Pokpokom tuwa igus ta tuḻu’n daguna lawaona umoyak bilibilingon nu awad bunga na yoong naida taḻon. Kaynga ullawa tun pita’n inggawana.’ 
LUK.13.8	Kanan dit man-aayyuwan un, ‘Oni man yan. Piga pay tun tawon ta bukaḻok tun nanliput asik kuan si lasana. 
LUK.13.9	Ot nu mamunga nu tawon napiya pay yoong nu adina kampay, asita pokpokon.’ ”
LUK.13.10	Inggaw osa’n aḻ-aḻgawa iillongan, mantudtudtudu si Jesus sidit sinagoga. 
LUK.13.11	Inggaw osa’n babai un sinakayan di nadadaga ispiritu ot pinambukut na si kagwampuḻu’t waḻu un dagun ot adina’n taḻon matunung dit mansisikad na. 
LUK.13.12	Utdit mailan Jesus inayagana un pinaadani kan siya asina kinnanan un, “Buḻun, napawayaan kaon sinat paligat nu.” 
LUK.13.13	Ot inyagpad Jesus dit imana kan siya. Dagusa nangeknat ot nantunung dit mansisikad na. Utdiyon, indaydayaw na si Apudyus.
LUK.13.14	Mansidi, nakasuḻag dit pangaton didiya sinagoga gaputa aḻ-aḻgawa iillongan dit nampapiyaan Jesus sit masakit. Ot kinnanana utdat tagu’t di un, “Onoma aḻgaw nat mantalibasuwan taku ot dumatong kayu’t datuwa aḻ-aḻgawa mampaagas bokona sit aḻ-aḻgawa iillongan.”
LUK.13.15	Summungbat si Jesus kan siya un, “Man-ag-agin napiya ka ullawa. Maid kad mangussag si baka onnu dangki na utdit naisiluwana asina umoy painuman nu aḻ-aḻgawa iillongan? 
LUK.13.16	Satuwa babai un kaganakan Abraham un binaḻud Satanas kan pinalpaligat na si kagwampuḻu’t waḻu un dagun, bokon kada napiya nu mawayaan ulay nu aḻ-aḻgawa iillongan?”
LUK.13.17	Utdiya insungbat Jesus, losan dat kabusuḻ na un nabainan. Yoong sadat udum amod dit lagsak da utdit nakaskasdaawa kingkingwana.
LUK.13.18	Intulutuluy Jesus un kanana’n, “Singngadan nat kapadan dit mangiyapuwan Apudyus? Sin dit mangiyaligak? 
LUK.13.19	Maiyalig si bukoḻ di mustasa un bangbang-oga bukoḻ un immuḻan dit tagu’t dit mumuḻ-ana. Ot utdit dummakoḻ, kama’t kayu dit kadakoḻ na ot ummoy dat sissiwit nanlubu utdat sanga na.”
LUK.13.20	Kinnanan Jesus payyan un, “Ngad pay din mangiyaligak sin mangiyapuwan Apudyus? 
LUK.13.21	Kama si bubud un itamay dit babai si adu’n alina ot pabotaḻona’n losan dit maitamayana.”
LUK.13.22	Intuluy Jesus dit kumikkiyangana’n umoy Jerusalem ot nantudtudu’t dat kailin-ili un nilausana. 
LUK.13.23	Inggaw osa’n nangimus kan siya un, “Apu, akit kada lawa dat taguwon Apudyus?”
LUK.13.24	Kinnanan Jesus kan dida’l losan un, “Igga yu ud kabooḻan yu un mangoy sit nasupita luwangana umoy langit. Ta ibagak kan dikayu un adu dan mamadasa lumnok yoong adida makaḻnok.
LUK.13.25	“Ta kama’t dit boḻoy un nu ombanon dit simboḻoy dit sawang naidon makaḻnok sidat awad sit lasin. Ulay nu iyumyum-og yu un mangkogkog kan mampakaasi un kanan yu un, ‘Apu, mangaasi ka ta ibukatan dikami.’ Yoong sumungbat dit simboḻoya kanana’n, ‘Naid tigammuk kan dikayu kan nu nanligligwatan yu.’ 
LUK.13.26	Ot kanan yu un, ‘Nakakan kan nakainum kami kan sika kan nantudtudu ka pay sin boboḻoy mi.’ 
LUK.13.27	Yoong sumungbat uman dit simboḻoy un, ‘Naid tigtigammuk nu nanligligwatan yu. Umadayu kayu, dikayu’n losana mankokokwa’t nadadag.’ 
LUK.13.28	Ot dikayu’n inggaw sin lasin, mampaibil kan mampangilot kayu nu dumtong dit timpu nu maila yu dat aappu taku un sada Abraham, Isaac kan Jacob kan sadat losana propetan Apudyus un naidagamung sin mangiyapuwan Apudyus yoong naḻsin kayu kan dida. 
LUK.13.29	Utdiya aḻ-aḻgaw, manligwat dat tagu uttun nangkalliputa pita un umoy sumangu’t din kakakkanan sidin mangiyapuwan Apudyus.
LUK.13.30	“Tuttuwa tun ibagak. Awad da ud tagu’n maudi uttun satun yoong maun-una dan tu ot awad da ud maun-una uttun satun yoong maudi dan tu.”
LUK.13.31	Utdi payona aḻ-aḻgaw, inggaw da ud Fariseo un dummatong kan Jesus ot kanan da kan siya un, “Masapula tengyam yan tuwa igaw ta panggop Herodes un papatoy sika.”
LUK.13.32	Summungbat si Jesus un, “Umoy kayu ibaga’t nat nasikapa tagu ta uttun satun kan nu bigat, man-addagak sidan dimunyu kan papiyaok dan masakit. Ot nu maikatlu’n aḻ-aḻgaw magangput kuwon tun talibasuk. 
LUK.13.33	Yoong masapula ituluy ku un manaḻan sin Jerusalem situn aḻgaw, bigat kan inggana’t kabigat na ta bokona lobbong na un mapatoy dan propetan Apudyus sin uduma igaw nu adi utdin Jerusalem.
LUK.13.34	“Inay kayu paya iJerusalem! Ta pinatoy yu dat propetan Apudyus kan binatubatu yu pay dat imbaun na un manudtudu kan dikayu. Namimpiga un piyaok dagupon dikayu un ayyuwanan un padan din manalikopkopan din manuk sidan siyop na, yoong ummadi yu. 
LUK.13.35	Ot sinsatunon ipatungad Apudyus nat igaw yu. Ot ibagak kan dikayu un maidon ilan yu kan sakon inggana’t din timpu un mangibagaan yu un, ‘Binindisyunan Apudyus tun dummatonga imbaun na un pannakalong-ag na!’ ”
LUK.14.1	Sin-aḻgawana iillongan, ummoy si Jesus sit boḻoy dit pangpangaton dat Fariseo ta inawis da un umoy makakan. Ot sadat tagu’t di limalimadan da dat koona.
LUK.14.2	Ininggaw osa’n tagu’t din sanguwan Jesus un nanlollotog dat iki kan imana. 
LUK.14.3	Utdi, inimusan Jesus dat mimistulun di lintog kan dat Fariseo utdi un kanana’n, “Makwa kad sit lintog taku un man-agas nu aḻ-aḻgawa iillongan onnu adina?” 
LUK.14.4	Naida taḻon gumguminga ot inaggoman Jesus dit tagu ot pinapiyana asina pinadaḻan.
LUK.14.5	Utdiyon kinnanan Jesus kan dida’n dit ininggaw sidi un, “Singngadan na kan dikayu ud adi managdagusa manganguy sit abeng na onnu baka na nu maotdag si bitu nu aḻgawa iillongan?”
LUK.14.6	Yoong adida masungbatan dit imbagan Jesus.
LUK.14.7	Utdit nadlaw Jesus un sadat tagu’n naawis sad piliyon da dit kabaḻuwana igaw, imbagana tuwa abalig kan dida’n losan.
LUK.14.8	“Nu awad mangawis kan dikayu si boda, adiyu umoy piliyon dit kabaḻuwana igaw ta tuwan nu awad nangatngatu nu dikayu un naawis. 
LUK.14.9	Ta nu awad, umoy dit nangawis kan dikayu ot kanana’n, ‘Pangngaasim ta itdom nata tutuppakan kan siya.’ Kad maibabain kayu ot kapilitana umoy kayu mantupak sit igaw dan nadoba’n tagu.
LUK.14.10	“Isunga nu maawis kayu’t amung, umoy kayu mantupak sit igaw dan nadoba’n tagu daḻapnu nu umoy dit nangawis kan dikayu ot kanana un, ‘Umoy kayu mantupak sin sangu,’ maidayaw kayu’t dan losana tagu’n awad sidi. 
LUK.14.11	Ta sat tagu’n mangipangatu utdit long-ag na maidoba, yoong sat tagu’n mampakumbaba maipangatu.”
LUK.14.12	Utdiyon, imbagan Jesus sidit nangawis kan siya un, “Nu awad iyawis nu si kakan onnu amung bokona sadat gagayyom nu, susunud nu, kakabagiyam onnu dat babaknanga kasog-on nu ullawa dat awisom. Ta mabalin da un awison pay sika ot supapakan da dit namakanam kan dida. 
LUK.14.13	Yoong nu man-amung ka sad awisom dan nakapus, napikon, napilay kan nakuḻap. 
LUK.14.14	Ta maid maisupapak da kan sika. Ot nagasat ka ta si Apudyus ud mangtod si gun-guna kan sika nu dumatong nat aḻ-aḻgawa mampaungaḻana’t dat nalintoga tagu.”
LUK.14.15	Magngoḻan man dit osa un nakaubung kan dida’n nangan dit abalig Jesus, kanana un, “Nagasat dit tagu’n makakan sit amung sin mangiyapuwan Apudyus.”
LUK.14.16	Utdi, inyabalig Jesus dit sungbat na un kanana’n, “Inggaw osa’n tagu’n nampaamung ot nan-awis sidat adu’n tagu. 
LUK.14.17	Utdit nakasagana’n losanon dit makan, imbaun dit nampaamung dit baba-unona ta umoy na ibaga’t dat naawis un, ‘Awe yuwon ta nakasagana’n losanon din makan.’
LUK.14.18	“Yoong nanlasun dat losana naawis. Kanan dit osa un, ‘Dispinsalon yu ullawa, adiyak makaoy ta kaggatangak si payaw ot umoyak yan ilan.’ 
LUK.14.19	Kingwanan pay dit osa un, ‘Dispinsalon yu ullawa, adiyak makaoy ta kaggatangak si lima’n palisa baka ot umoy ku yan ipadas dida un man-aḻadu.’ 
LUK.14.20	Kanan payyan dit osa un, ‘Dispinsalon yu ullawa, adiyak makaoy ta kaas-awaaka lawa.’
LUK.14.21	“Utdi, nan-ulin dit baba-unon ot imbagana’n losan dadit lasun da kan apuna.
LUK.14.21	“Sadit apu nakasuḻag ot imbagana’t dit baba-unona un, ‘Daḻsoma umoy sidan losana kaḻsa kan nampadaddaḻan situn boboḻoy ta idallay nu un losan dat nakapus, dat napikon, dat nakuḻap kan dat napilay.’
LUK.14.22	“Bokona nabayag, nan-ulin dit baba-unon ot kanana’t dit apu na un, ‘Apu, nakwaon dit bilin nu yoong adu payyana maigawan.’
LUK.14.23	“Utdi, kanan dit apu uman un, ‘Umoy ka utdan uduma kaḻkaḻsa kan nampadaddaḻana manaḻan sidat uduma boboḻoy ot papilitom idallay dat tagu’t tu daḻapnu mapnu tun boḻoy ku. 
LUK.14.24	Ta ibagak kan dikayu un maid sidadit ummuna’n inawis ku ud pakapkapak situn makana insaganak.’ ”
LUK.14.25	Sin-aḻgawan sidit manaddaḻanan Jesus un umoy Jerusalem, tinung-ud dat un-unaya tagu. Utdi, summangu kan dida un kanana’n, 
LUK.14.26	“Nu awad tagu’n mamiya un mambalina disipulus ku, masapula sakon ud ipotog na un bokona sadat maḻong-ag na, susunud na, asawa na, aabeng na kan ulay sadit long-ag na pay lawan. 
LUK.14.27	Padana pay un sat tagu’n adi mamukud sit kulus
LUK.14.28	“Ta awad kad tagu un mampangpanggop un mangwa’t dakodakoḻana boḻoy un adina unaona listaon dat magastu na ta ilana nu awad umanay un mangangput na utdit tuudona? 
LUK.14.29	Ta nu paḻangona yoong maid umanaya mangangput na, losan dat mangila duḻaon da un kanan dan, 
LUK.14.30	‘Inlugi na un paḻangon yoong maid mangangput na.’
LUK.14.31	“Padana pay sit osa’n ali un mamiya’n gumubat sit kabusuḻ na un ali. Bokon kada somsomkona un umuna nu kabooḻan dat simpuḻu’n libu un taguna un abakon dat duwampuḻu’n libu un tagu’n dit kabusuḻ na? 
LUK.14.32	Ta nu adida kabooḻan sidit pattapatta na, mangibaun si umoy mangabat sidit ali un kabusuḻ na nu adayu payyan ta umoy makikapiya.
LUK.14.33	“Padana pay kan dikayu. Masapula am-ammaan yu un somsomkon asikayu maitung-ud kan sakon. Ta adina mabalina mambalin kayu un disipulus ku nu adiyu iwayang dat losana awad kan dikayu.”
LUK.14.34	Intultuluy Jesus dit nan-abalig un kanana’n, “Naselbi nat asin nu mannanayun dit apgad na yoong nu nangkubayon adinaon mabalina maiyulin dit apgadna. 
LUK.14.35	Ot naidon selbi na ta adina pay mabalinona mailasa si pita. Maidawata lawaon.
LUK.14.35	“Ot dikayu’n awad si inga’n makagngoḻ, dumngoḻ kayu,” kinnanan Jesus.
LUK.15.1	Sin-aḻgawan adu dat man-uuḻup si bugis kan dat ibilang dat Judio un gumabasuḻa nandatdatonga umoy mandongoḻ kan Jesus.
LUK.15.2	Nampangonot dat Fariseo kan mimistulun di lintog un kanan dan, “Inon pay dituwa tagu, naanggoma maibuḻbuḻun sidan gumabasuḻ kan makakan pay kan dida.”
LUK.15.3	Utdi, imbagan Jesus tuwa abalig un kanana’n,
LUK.15.4	“Kaspagaligan ta osa kan dikayu’d awad si singgasuta kannelu ot mataḻak din osa singngadan nat koona? Adina kad tengyan dat siyamapuḻu’t siyam sit tangsa ta umoy na inapon dit osa’n nataḻak inggana’t odasana? 
LUK.15.5	Ot nu maodasanaon amod dit lagsak na un mamukuda mangidallay. 
LUK.15.6	Ot nu dumatong sit boḻoy da ayagana dat gagayyom na kan kapaway na un kanana’n, ‘Aweyu ta lagsakan taku tun nangdasak sit nataḻaka kanneluk.’
LUK.15.7	“Ibagak kan dikayu un padana pay un amoamod din laglagsak sin langit maipagapu’t din osa’n gumabasuḻa mandadaoli nu sadan siyamapuḻu’t siyama adida bigbigon un masapula mandadaoli da.”
LUK.15.8	Intuluy Jesus si abalig ot kanana’n, “Nu sanat osa’n babai’n awad si simpuḻu un palata ot mataḻak nat osa, ngadan nat koona? Adina kad tonggan dit silaw asina sagadan dit boḻoy na ta ammaana un inapon inggana’t odasana? 
LUK.15.9	Ot nu maodasanaon ayagana dat gagayyom na kan kapaway na un kanana’n, ‘Naanggomak ta indasak tun nataḻaka palatak ot manlagsak taku.’
LUK.15.10	“Ibagak kan dikayu un padana pay un manlaglagsak dat anghel Apudyus nu mandadaoli nat osa’n gumabasuḻ.”
LUK.15.11	Imbagan pay Jesus tuwa abalig un kanana’n, “Ininggaw osa’n tagu un duwa dat abeng na un laḻaki. 
LUK.15.12	Sin-aḻgawan, kinnanan dit naudi’n abeng sit ama na un, ‘Ama, itdomon dit bingay ku utdat sanikuwam.’ Utdi, biningay dit ama dit ipatawid na utdat duwa un abeng na. 
LUK.15.13	Mapalabas man piga’n aḻgaw inniplak dit naudi un abeng dat losana bingay na ot kaysan si adayu’n boboḻoy un umoy na ullawa binusbusbus dit pilak na udsi bokobokona mantatagu. 
LUK.15.14	Utdit nagastu na un losan dit pilak na, dummatong dit uḻat sidiya boboḻoy ot naidona taḻon mangaḻ-ana’t igatang na si kanona. 
LUK.15.15	Utdi, umoy nanlabbu udsi osa’n tagu’t diya boboḻoy ot sat talibasu un impakwa da kan siya, mampapakan si boḻok sit tattaḻun. 
LUK.15.16	Amod dit bitil na ot piyaona un mangan sit kakannon dat boḻok yoong naid nangitod kan siya. 
LUK.15.17	Utdit masomsomok na, kanana un, ‘Adu’n masawaḻ sit kanon dadit baba-unon amak sin boḻoy mi yoong antuwak situ un matmattoyan situn bitil ku. 
LUK.15.18	Manaḻanakot ta mangulinak kan ama ot kanak kan siya un, ‘Ama, pakawanonak ta nakabasuḻak kan Apudyus kan padana pay kan sika. 
LUK.15.19	Adiyakon maibagaya abeng nu yoong pangngaasim ta ibilangak un osa’n baba-unom.’ 
LUK.15.20	Kadon, kaysana nangulin kan amana.
LUK.15.20	“Inggaw payyan sit adayu’n dumoḻdoḻ, naotap dit amana. Nadaguwan dit ama na ot nanodtoddaka ummabat kan siya’n kummawoḻ asina inogkan. 
LUK.15.21	Utdi, kinnanan dit abeng sit ama na un, ‘Ama, nakabasuḻak kan Apudyus padana pay kan sika. Adiyakon maibagaya abeng nu.’ 
LUK.15.22	Yoong inayagan dit amana dadit baba-unona ot imbagana kan dida un, ‘Daḻason yu. Ikayu aḻan dit kabaḻuwana badut ta ibadut yu kan siya. Sikkalangan yu kan kapatusan yu. 
LUK.15.23	Umoy yu aḻan dit pinaḻungpu taku’n ubbun di baka ta paltiyon yu ta manlagsak taku. 
LUK.15.24	Gaputa satu un abeng ku, alig na ud natoy yoong ummungaḻ. Alig na ud naiyawa yoong naodasan,’ kinnanan dit ama. Utdiyon inlapu daon dit manlaḻagsak.
LUK.15.25	“Sadit pangu’n abeng ininggaw sit pappayaw un mangkokwa. Dumoḻdoḻ man sit boḻoy un dit nanlokat dingngoḻ na dit gangsa kan sadat mantatadok. 
LUK.15.26	Utdi, inayagana dit osa’t dat baba-unon da ot inimus na nu ngadan dit mapaspasamak. 
LUK.15.27	Summungbat dit baba-unon un, ‘Manlaḻagsak da ta nangulin si sunud nu un kapkapiya ot pinapaltin amayu dit pinaḻungpu taku’n ubbun di baka,’ kinnanana. 
LUK.15.28	Amod dit suḻag dit pangu’n abeng ot taḻona adina lumnok sit boḻoy. Ot lummaksun dit amana ta umoy na alallukona paḻnokon. 
LUK.15.29	Yoong kinnanana’t dit amana un, ‘Piga’n dagun un kamaak si babbaun nu un nantaltalibasu un adik nansuksukil kan sika? Yoong naid gapu’d intod nu kan sakon un makaanggomak sidan gagayyom ku, ulay okyan nu ubbun di kalding. 
LUK.15.30	Sanata abeng nu un umoy na ullawa binusbusbus dit pilak nu utdan nadadaga babai man-ulin kad ipaltiyam si kaḻungpuwana ubbun di baka.’ 
LUK.15.31	Summungbat dit amana un, ‘Anak ku, iinggaw ka kan sakon ot losana awad kan sakon kuwam. 
LUK.15.32	Yoong masapula man-amung taku ta manlagsak taku ta satun sunud nu alig na ud natoy yoong ummungaḻ, alig na ud naiyawa yoong naodasan.’ ”
LUK.16.1	Utdi, imbagan Jesus tuwa abalig sidat disipulus na un, “Inggaw osa’n baknang un inggaw man-aayyuwanona’t dat kukuwana. Naikubit kan siya un busbusbusona lawan dit man-aayyuwan dit pilak na.
LUK.16.2	“Utdi, pinaayag dit baknang dit man-aayyuwan ot inimusana un, ‘Apay tun nadamag ku un maipanggop kan sika? Aḻam situ dat losana listaan dat kukuwak ta kaanok sika un man-aayyuwanok.’
LUK.16.3	“Kinnanan dit man-aayyuwan sit domdom na un, ‘Inon kad nin tun kook nu kaanonakona man-aayyuwan? San mamboka adik makwa. Ot mabainak pay un tumaptapaya si ikataguk. 
LUK.16.4	Ay, tigammukon ud kook daḻapnu ulay makaanak situn talibasuk awad da payyan ud gagayyom ku un mamaḻnok kan sakon sidan boḻoy da,’ kinnanan dit man-aayyuwan.
LUK.16.5	“Utdi, inayagana un losan dat nakagawat sit apu na un sinin-ossa. Ot kinnanana’t dit ummuna un, ‘Piga dit gawat nu kan apuk?’ 
LUK.16.6	‘Singgasuta angang un lana,’ insungbat na. Kinnanan dit man-aayyuwan un, ‘On, antu dit listaan nu. Sukatam, ikanglit nu un limampuḻu.’ 
LUK.16.7	Utdit osa kinnanana un, ‘Sika nu piga dit gawat nu?’ ‘Sinlibu’n saḻup un binayu,’ insungbat na. ‘Antu dit listaan nu,’ kinnanan dit man-aayyuwan. ‘Mangwa ka si sabali. Ikanglit nu ud waḻu’n gasuta saḻup.’
LUK.16.8	“Matigammuwan man dit apu, indayaw na dit kinasikap dit man-aayyuwan. Onta sadan bokona tagun Apudyus nasiksikap da un makatulag sidan pada da maipanggop si mangkapiyaan da nu sadan tagun Apudyus.
LUK.16.9	“Ot ibagak kan dikayu un usalon yu dat binaknang yu uttun lubung un ituḻung sidan mangkasapulan daḻapnu nu naidon dat kinabaknang yu, awaton dikayu utdin mannanayuna igaw yu utdin langit. 
LUK.16.10	Sanat tagu’n mataḻgodan un mangayyuwan si akita banag, mataḻgodan pay un mangayyuwan si adu. Sanat bokona mataḻgodana mangayyuwan si akita banag, amo bokona mataḻgodana mangayyuwan si adu. 
LUK.16.11	Ot nu adi kayu mataḻgodana mangayyuwan sidan binaknang situn pita inona’n maitaḻgod kan dikayu dan gattoka binaknang sidin langit? 
LUK.16.12	Nu adi kayu mataḻgodan sidan bokona kukuwa yu singngadan nat mangitodon si kuwa yu?
LUK.16.13	“Maid ud baba-unon si mandisanona un manselbiyan dan duwa’n apu. Ta lawengona dit osa ot piyaona dit osa, onnu ipasnok na un manselbi’t dit osa ot duḻaona dit osa. Ot padana pay kan dikayu un adiyu mabalina mandisanon din manselbi kan Apudyus kan gumamgama gumaknang,” kinnanan Jesus kan dida.
LUK.16.14	Nagngoḻan dat Fariseo un nagamgam si pilak datun losana imbagan Jesus ot inyaḻbuwang da. 
LUK.16.15	Yoong kinnanan Jesus kan dida un, “Ipappaila yu utdan tagu un nalintog kayu yoong tigammun Apudyus nat annat sinat somsomok yu. Sat ibilang di tagu un taḻona napotog, gassuḻon ud Apudyus.”
LUK.16.16	Intuluy Jesus un kanana’n, “Sat lintog Apudyus un ingkanglit Moses kan sadat ingkanglit dat propetana dat naipatpatungpal agingga’t dit dummakngan ud Juan un Mambubunyag. Yoong manipudon sit timpun Juan, sadit Nabaḻu’n Damag un maipanggop sit mangiyapuwan Apudyus dit maitudtudu. Ot osaosa iyaangos na un taḻon nat maidagamungana. 
LUK.16.17	Naḻasḻasu’n mangkigad tun langit kan pita nu san mawaswasan din kaban-ogana ugud sidin lintog na. 
LUK.16.18	Padan dit lintog maipanggop si asawa un, sanat osa’n laḻaki’n mangidang sinat asawa na ta asi mangasawa si sabali, makabasuḻ si dagdagas. Ot sanat laḻaki’n mangasawa utdit naidangana babai, makabasuḻ si dagdagas.”
LUK.16.19	Inyabalig payyan Jesus un kanana’n, “Ininggaw osa’n baknanga tagu un nangkabanol dat badut na kan inaḻgawa nadumaduma’n nangkapippiya’n makan dat maisunad kan siya.
LUK.16.20	“Ot inggaw pay nakapusa tagu’n nagolegoled dit losana long-ag na un mangngadan kan Lazaro. Inaḻgawa umoy da ibanat sit luwangan dit nabaknanga tagu. 
LUK.16.21	Ta taḻona piyaona un kanon dat bugtan dit baknang. Ot ummoy pay dat asu ud dildildilan dat goled na.
LUK.16.22	“Sin-aḻgawan natoy dit nakapusa tagu ot inyoy dat anghel Apudyus sit kawadan Abraham. Natoy pay dit nabaknanga tagu ot innilbon da. 
LUK.16.23	Utdit inggaw sit Hades un mampalpaligat, nantangad dit baknang ot naotap na utdit adayu da Abraham ot inggaw si Lazaro utdit sog-on na. 
LUK.16.24	Ot nampakuy dit baknang un, ‘Ama Abraham, kaasiyanak ta ibaun nu si Lazaro ta isanong na nat pungtun pagayyamot na utnat danum ta todtodana tun dilak. Ta taḻona mampalpaligatak situn antuwaka apuy.’
LUK.16.25	“Yoong summungbat si Abraham un, ‘Somsomkom abeng ku un sadit katattagum losana napiya ininggaw kan sika yoong si Lazaro sinagapaḻ na ud ligat. Sinsatunon antu uttu un kapkapiyaon ot sika pay nat mampalpaligaton. 
LUK.16.26	Adina pay makwa nat umoy sinata manligwat situ onnu manligwat sinata umoy situ ta awad gassud situn boḻaat taku.’
LUK.16.27	“Kinnanan dit baknang un, ‘Ama Abraham, pangngaasim ta ibaun nu si Lazaro utdin boḻoy da amak 
LUK.16.28	ta awad da ud lima un sunud ku utdi, ta umoy na bagaan dida ta amangan nu umoy da uttun igaw di amoda ligat.’
LUK.16.29	“Yoong summungbat si Abraham un, ‘Awad dit ugud Apudyus un ingkanglit da Moses kan dat propetana un siya’d makatigammuwan da.’
LUK.16.30	“Summungbat dit baknang un, ‘Adida tuttuwaon danat ama Abraham, yoong nu sanat tagu’n umungaḻ nat umoy mangibaga kan dida manuttuwa da kad mandadaoli da utdat basuḻ da.’
LUK.16.31	“Yoong imbagan Abraham un, ‘Nu adida tuttuwaon dit ugud Apudyus un ingkanglit da Moses kan dat propetana ulay pay nu ummungaḻa natoy nat umoy mangibaga kan dida adida payon maawisa manuttuwa.’ ”
LUK.17.1	Imbagan pay Jesus sidat disipulus na un, “Awada awad maigapuwan nat makabasuḻan di osa’n tagu. Yoong kaasi pay nat tagu’n maigapuwan di osa un mambasuḻ. 
LUK.17.2	Un-unnaya lawa’n matakodan si dakoḻana gigillingana batu din bagang na asi maidawat sin baybay nu siya’d maigapuwan di makabasuḻan di osa un nadoba’n tagu. 
LUK.17.3	Siya’d gapuna un ammaan yu nat kokkoon yu.
LUK.17.3	“Nu makabasuḻ nat buḻun yu kan dikayu, igimau yu ot nu mandadaoli, pakawanon yu. 
LUK.17.4	Nu mamimpitu’t sin-aḻgawa makabasuḻ ot kada makabasuḻ umoy mampakawan kan dikayu, pakawanon yu.”
LUK.17.5	Utdi, imbagan dat apostoles kan Jesus un, “Apu, pabilgom ud tun mantututtuwa mi.”
LUK.17.6	Summungbat si Jesus un kanana’n, “Nu awad pammati yu un kama’t bukoḻ di mustasa nat kadakoḻ na, mabalin un ibagayu’t din kayu un, ‘Mabagut ka ta asika maimuḻa utdin baybay,’ ot tuttuwaon dikayu.”
LUK.17.7	Imbagan pay Jesus un, “Kaspagaligan ta awad osa kan dikayu’d awad baba-unona un ummoy nanabḻut onnu ummoy man-ayyuwan si kannelu ta dumatong, dagus kad un kanam kan siya un ‘Umoy ka manganon?’ 
LUK.17.8	Bokon, ta kanam un, ‘Umoy ka man-asug asika mansukat ot sunadanak sinat timpu’n manganak. Ot nu maabusaka mangan asika payon maisongwat.’
LUK.17.9	“Ot nu maabusa koon dit baba-unon dat imbilin nu un koona, masapul kad un manyamanam? Bokon ta siya’d talibasu na di. 
LUK.17.10	Pada na pay kan dikayu. Nu natungpal yu un losan dat naibilina koon yu adiyu nanam-ona maidayaw kayu nu adi kanan yuwoton un, ‘Baba-unon dikami ullawa ot kingwa mi ullawa dit naibilin kan dikami un koon mi.’ ”
LUK.17.11	Utdit manaddaḻanan da Jesus un umoy Jerusalem nangoy da utdin boḻaat Samaria kan Galilea. 
LUK.17.12	Dumatong da man sit osa’n boboḻoy ummabat dat simpuḻu’n nakutoḻ. Summikad da utdit ad-adayu asida 
LUK.17.13	impakuy kan Jesus un, “Apu, kaasiyan dikami.”
LUK.17.14	Nailan Jesus dida ot kanana un, “Ikayu mampaila utdat papadi.”
LUK.17.15	Magiknan man dit osa un naidon dit kutoḻ na nangulin kan Jesus ot nampappakuya nandaydayaw kan Apudyus. 
LUK.17.16	Umoy nampalintumong sit atubang Jesus un nanyaman. Sadiya tagu, Samaritano.
LUK.17.17	Utdi, kinnanan Jesus un, “Bokon kada simpuḻu dat tagu’n kummiya ot kawad dat siyam nu? 
LUK.17.18	Apay un satun bokona Judio tun os-ossaana umoy manyaman kan Apudyus ya simpuḻu da?”
LUK.17.19	Ot kinnanan Jesus sidit tagu un, “Lumigwat kaon ot manaḻan ka ta kummiya ka gapu’t nat pammatim.”
LUK.17.20	Utdi, gaputa inggaw da ud Fariseo un nangimus kan Jesus nu kapiga dit manlapuwan dit mangiyapuwan Apudyus, summungbat si Jesus un, “Maid makail-an sit manlugiyan dit mangiyapuwan Apudyus. 
LUK.17.21	Maid makaibaga un, ‘Antu uttu,’ onnu ‘Andi utdi,’ ta sat mangiyapuwana antu uttu un mismu kan dikayu uttun satun.”
LUK.17.22	Imbagana utdat disipulus na un, “Dumtong nat timpu un piyaon yu un maila’d sakona Inyanak di Tagu, ulay nu sin-aḻgawa lawa yoong adiyu ud sakon maila.
LUK.17.23	“Ot awad dat mangibaga kan dikayu un, ‘Andi utdi,’ onnu ‘Antu uttu,’ yoong adiyu un taḻon tuttuwaon dida. 
LUK.17.24	Ta kama’t din kilat nu dumelang, madoḻangana’n losan din langit ot maila dan losana nangkalliput, siya’d kamaana nu mangulinaka Inyanak di Tagu. 
LUK.17.25	Yoong masapula sagapaḻok yan dat adu’n ligat kan sumdiyanak sidat tagu’t tun satun. 
LUK.17.26	Nu mangulinaka Inyanak di Tagu, maipada dit kokkoon dat tagu’t dit timpun Noe utdat kokkoon dat tagu’n dakngak. 
