MAT.1.1	Salbacü Jesus Abrahampïtawan Davidpa milayninpïmi śhamun. Paypa awquilluncuna caycunam cala:
MAT.22.15	Chay nishanta uyalishanpïmi fariseocunaca aśhucalcälil limanaculcäla imanuypapis quiquin Jesuspa shimillan cunca cuchuynin cananpä. 
MAT.22.16	Chaynu limanacalcälilmi puliwshïnincunacta Herodes partipi śhalcünincunactawan caćhapäcula Jesusman cay nichï: “Yaćhachicü taytáy, tantiapäcümi rasuncälla amćhu caśhanta. Nunacuna limaśhanwan manamá iwichicunquichu nïtacmá pimanpis śhalcuyanquichu. Aśhwanpa Diosninchic munaśhannu rasuncällactam yaćhachinqui. 
MAT.22.17	Chayurá má, niycälillämay ¿Roma gubirnuman alcabälacta uycunapä Tayta Dios awninchun icha manachun?” nin.
MAT.22.18	Chay mana allin pinsayninta tantialmi Jesus nila: “Pasaypi ishcay cära nunacuna ¿imapïtan imamanpis palpuchiyta munapämanqui? 
MAT.22.19	Má, alcabäla pägapäcunayqui illaycäta licachimay” nil.
MAT.22.19	Niptinmi juc dinariu nishan illayta upäcula.
MAT.22.20	Jinaptinmi tapula: “Cay illaycäćhu ¿pitá cayan? ¿Pip śhutintatacmi apan?” nil.
MAT.22.21	Niptinmi: “Romap Puydï Mandänin Cesarpam” nipäcula.
MAT.22.21	Niptinmi Jesus: “Chayurá Cesarpa cäcätá, payman-ari uycäliy. Diospa cäcätá Diosmantac-ari uycäliy” nin.
MAT.22.22	Niptinmi licapayllaman camälälil, Jesusta caćhaycul cuticulcäla.
MAT.22.23	Chay muyuntacmi wañücuna śhalcamunanman mana quiripäcü saduseocunaca śhapämula. Paycunam Jesusta nipäcula: 
MAT.22.24	“Yaćhachicü taytay, Moises camachicuyninćhümi niñä: ‘Juc wayapa mana chuliyu ima wañucuptin'a, cäsu canmi wanücäpa śhullcanwan biudaca casaraculcul punta wayapanpa milayninta śhalcachinanpä’
MAT.22.25	Chayurá ¿imaninquitan? Ya'acunaćhüshi capäcula anćhish wawi-caśha. Chayshi mayurca walmiculcul mana chuliyu ima wañucula. Jinaptinshi chay biudaca casaracula chay umrip śhullcanwan. 
MAT.22.26	Chaynüllatacshi chaypa atimünincäta jinaman lluy atimünincunätapis pasälun. 
MAT.22.27	Chaynu anćhishnintin wañuculcaptinshi chay walmipis wañucun. 
MAT.22.28	Chayurá má, śhalcamunan muyunćhu ¿mayanninpa walmintá can'a, anćhishnintinwan casaracuśha cayaptin'a?” nil.
MAT.22.29	Nipäcuptinmi Jesus nila: “¡Maynu pantaśham cayalcanqui Diospa limaynintapis munaynintapis mana tantiapäcuśhayquipi! 
MAT.22.30	Chay śhalcamuycäćhu umripäpis walmipäpis manañam casaracuycuna can'achu. Sinu'a janay pachäćhu anjilcunanümi capäcun'a. 
MAT.22.31	Chay wañücuna śhalcamunanpïtá ¿manachun lïgipäculanqui quiquin Dios nishanta: 
MAT.22.32	Wañuśha cayalcaptinpis nila: ‘Ya'am cayá Abrahampa, Isaacpa, Jacobpa alawayalcäśhan Diosnin’
MAT.22.33	Chaynüta uyalipäculmi llapa nunacunaca licapayllaman camälälila.
MAT.22.34	Chaynu saduseocunäta upällachishanta yaćhälälilmi fariseocunaca palpuchinanpä limanaculcul 
MAT.22.35	jucnin allin yaćhachicüninta Jesusman caćhala tapü: 
MAT.22.36	“Yaćhachicü taytay, Diospa camachicuynincunapi ¿mayannintan mas puydïninca?” nil.
MAT.22.37	Niptinmi: “ ‘Tayta Diosllayquiman tucuy śhun'uyquitapis, llapan pinsayniquitapis, lluy callpayquitapis ćhulaycuy’
MAT.22.38	Caymari lluy mandamäśhanchiccunapïpis mas punta puydïninca. 
MAT.22.39	Ñatac cayman atïcäpis chay-yupayllatacmi: ‘Nuna-masiquita tucuy śhun'uyquiwan quiquiquitanuy cuyal licaycuy’
MAT.22.40	Cay ishcayninmi lluy camachicuypïpis, Diospa willacünin lluy yaćhachishancunapïpis sumä puydïninca cayan” nila.
MAT.22.41	Canan chayćhu lluy juntula quiquin fariseocunätañatacmi Jesus tapula: 
MAT.22.42	“¿Imanipäcunquitan Dios Caćhamunan Salbacücäpi? Má, ¿amcunapïtá mayanpa caśhtantá canman?” nil.
MAT.22.42	Niptinmi nipäcula: “Unay Mandacü Davidpïmi” nil.
MAT.22.43	Niptinmi nila: “Chaynu milayllan cayaptin'a ¿imapïtan David Chuya Ispiritu Salmos librunćhu limachiptin ‘Duyñümi’ ninman Diostanülä canpis?
MAT.22.44	Chayćhümi
MAT.22.44	‘Diosninchicmi munayniyu Duyñüta nin:
MAT.22.44	“Cay-lädulläman taycaycamuy ćhïnishüniquicunäta maquiquiman ćhulaycamunäcama
MAT.22.44	wiñay simpri uyshuycälishunayquipä”
MAT.22.45	“Chayurá ¿imanuypatan Salbacüca Davidpa milaynillan canman quiquin David ‘Duyñú’ Diostanülä niyaptin'a?” nil.
MAT.22.46	Niptinmi uchucllapis nï mayanninpis ima limalcuytapis atipapäculachu. Chaymi chay muyunpi Jesusta manaña tapućhaculcälañachu.
MAT.23.1	Chaypïtam Jesus nila yaćhapacünincunactawan chayćhu cä nunacunäta: 
MAT.23.2	“Yaćhachicücunäwan, fariseocunämi cayalcan Moisespa camachicuyninta yaćhachinanpä. 
MAT.23.3	Chaymi amcuna uyalicul yaćhachicuynintapis lulapäcunquiman. Lulaynincunactañatacmi ichá ama atichipäcuychu; yaćhachishancäpïta jucwätatacmari lulayta jicutayalcan. 
MAT.23.4	Paycunap yaćhachicuynin sumä mana atipanan llasä-cama ipictanuy amcunaman ćhulcuyalcäśhannümari. Paycunañatacmi ichá juc dïdullawanpis mana yanapaycälinchu. 
MAT.23.5	Lulapäcun nunacunaca allinpa licanallanpämi. Chaymi aläjapa Moisespa camachicuyninta jatun lataśhcunawanlä ulcunman, liclancunaman watacuśha pulipäcun. Chaynütacmi Diosllapäña maynu capäcuśhanta licachiculcänallanpä müdananćhüpis aläjapälä jatućhaćhä shalshipnin walcacälälisha pulipäcun.
MAT.23.6	“Ima fistaćhüpis juntunaculcänan wasincunaćhüpis allin nunacunap täcunallanmanmi wañupaculcan. 
MAT.23.7	Läsacunäćhüpis lluy nuna ‘sumä yaćhachicü taytay’ nipäcul allinpa licapäcunallanpïtacmi wañupacun.
MAT.23.8	“Amcunam ichá nunacunäwan yaćhachicüpa licachicuyta ama ashipäcunquichu. Lluypis amcuná wawi-caśhallam cayalcanqui; rasun yaćhachicüniqui ya'allamá cayá. 
MAT.23.9	Cay pachäćhu amatacmi pictapis ‘sumä taytay’ nipäcunquimanchu. Sumä taytayqui'a janay pachäćhu cäcällam. 
MAT.23.10	Amatacmi yaćhachicücunäpa puydïnin cayta ashipäcunquichu. Juc yaćhachicüllayquim cayan: ya'a Caćhamuśhan Salbacücämá. 
MAT.23.11	Amcunaćhu mas jatun puydïninca, juccunäpa uywaynin cachun. 
MAT.23.12	Ñatac mayanpis nunatucüśha cäcunacá uyshulächisham can'a. Mana nunatucullal cäcunämi ichá altuman juluycuśha can'a.
MAT.23.13	“Ishcay cära fariseocuna, pasaypi yaćhachicücuna, ¡imalä bïdayqui can'a! Amcunam Diosman aśhuycälimunanpä mićhacuyalcanqui. Chaymi Diospa gubirnunman mana yaycapämunquichu, nï yaycachipämunquitacpischu.
MAT.23.13	˻ 
MAT.23.14	“Ishcay cära fariseocuna, pasaypi yaćhachicücuna, ¡imalä bïdayqui can'a! Amcuna japanyäśha walmicunap wasincunacta waycayalcalpis cärayqui cañälämi allinpa licachiculcänallayquiwan mana camacaycütalä Tayta Diosta mañacuyalcänayquipä canpis. Caycunapïmá mas mas mućhuycachisha capäcunqui.˼
MAT.23.15	“Ishcay cära fariseocuna, pasaypi yaćhachicücuna, ¡imalä bïdayqui can'a! Amcunam ulayta wichayta sïlup sapincamapis cürricaćhapäcunqui ima-nilä atïniquicunactapis ashipäcunayquipä. Chay talishayquicunäta amcunapïpis sumä mas fïnunnin Satanaśhpa chulinmanlämi muyuchipäcunqui.
MAT.23.16	“Puśhaycaćhä aplacuna ¡imalä bïdayqui can'a! Amcuna nipäcunqui: ‘Diospa chuya wasinwan tacyalpachil limalicuśhanchiccá manam lulaycunanchic prisïsanchu. Ñatac Diospa chuya wasinćhu cä ürunwan tacyalpachil limalicuśhanchiccämi ichá lulaycunanchic’ nil. 
MAT.23.17	¡Mana yaćhayniyu pasaypi tullu umacuna! ¿Mayannintan mas puydïca? ¿Üruchun icha üructapis chuyaman muyuchï Diospa wasinchun? 
MAT.23.18	Chaynütacmi nipäcunqui: ‘Diospä uycunanwan tacyalpachil limalicuśhanchiccá yan'allam. Ñatac quiquin uycuśhanchicwan tacyalpachil limalicuśhanchiccämi ichá lulaycunanchic’ nil. 
MAT.23.19	Pasaypi mana umayu aplacuna. ¿Mayannintan mas puydïca? ¿Uycuśhanchiccächun icha Diospä uycunan uycuśhanchiccätapis chuyaman muyuchïcächun? 
MAT.23.20	Diospä uycunanwan tacyalpachïcá chayćhu lluy cänintinwantacmari tacyalpayächin. 
MAT.23.21	Chaynütacmi Diospa chuya wasinwan tacyalpachïcäpis chayćhu yaćhä Diosninchicwantac-ari tacyalpayächin. 
MAT.23.22	Chaynütacmi janay pachäwan tacyalpachïcäpis chayćhu mandananpä taycunantinwan quiquin mandä Tayta Dioswantac tacyalpayächin.
MAT.23.23	“Ishcay cära fariseocuna, pasaypi yaćhachicücuna, ¡imalä bïdayqui can'a! Mastá wañupaculcanqui ‘Diospä ima mintacunapïpis, aniscunapïpis cuminucunapïpis japächaśhun’ nishallanman. Ñatac Diosman chalapacullal, llaquipaywan cuyacuywan tincüninman licaycuy nishuśhayquitam ichá ipanchayalcanqui. Chaymi chullanllanta lulaśhayquinu'a pulantapis lulanquiman cala. 
MAT.23.24	Puśhaycaćhä aplacuna, chuspichacunäta altayalcalpis, jatun camïllucunätam ichá pasalpayalcächinqui.
MAT.23.25	“Ishcay cära fariseocuna, pasaypi yaćhachicücuna, ¡imalä bïdayqui can'a! Amcunam plätu, bäsu janallan pa'aśhanüpis cayalcanqui. Ñatac śhun'uyquiwan pinsayniqui'a imapis suwacuśhayquip, waycacuśhayquip juntäśham cayan. 
MAT.23.26	Apla fariseocuna. Śhun'uyquitaläri bäsup lulïninta pa'acä-yupaypis pa'aculcay. Chayćha lluy cayniquipis tuqui chuya caycun'a.
MAT.23.27	“Ishcay cära fariseocuna, pasaypi yaćhachicücuna, ¡imalä bïdayqui can'a! Amcuna tuqui allichäśha nïchunümi cayalcanqui. Janallayqui'a maynu sumä tuqui cayaptinpis lulïniquićhu'a aśhnayä junta tullucunallawan anlacunallam winalayan. 
MAT.23.28	Chaynümi amcunapis capäcunqui. Cärallayqui'a maypis ‘allin nuna’ ninam. Śhun'uyquim ichá pasaypi imapïpis wañuyä, mana allin lulaycunallacta pinsayä.
MAT.23.29	“Ishcay cära fariseocuna, pasaypi yaćhachicücuna, ¡imalä bïdayqui can'a! Diospa unay willacünincunap nïchunta sumätalä śhalcayächinquipis. Chaynütacmi allin nunacunäpa nïchunta tuqui-tuquimanlä impidrayalcanquipis. 
MAT.23.30	Jinacalcälilmi: ‘Awquillunchiccunap timpunćhu ya'anchic cawsal'a, manaćh wañuchiyta yanapayachwanchu cala’ nipäcunquilä canpis. 
MAT.23.31	Caynu nishayquiwanmá quiquillayquicuna chay wañuchïcunäpa caśhtan capäcuśhayquita willacuyalcanqui. Chayurá paycunanüllamá capäcunqui. 
MAT.23.32	Canan-ari unay awquilluyquicuna Diospa willacünincunacta wañuchiy allaycuśhanta apuraypa camacalpäliy.
MAT.23.33	“Satanaśhpa milaynincuna, ¿imanuypatá amcuna nina waläcäpi lluptïlälinquiman? 
MAT.23.34	Diospa willacünincunacta, allin umayücunacta yaćhachicücunactawan caćhamuptïpis waquintá wañuchipäcunquim. Waquintañatacćha chacatapäcunqui. Juccunactañatacćha juntunaculcänayqui wasicunaćhu supay-apachipäcul malcan-malcan aticaćhapäcunqui. 
MAT.23.35	Chaynu allin nuna wañuyninpi mućhuycachisha capäcunayquipä janayquićhüñam cacuyan. Am quiquiqui wañuchipäcuśhayquinümi cayan allin nuna Abelpïta aśhta Diospa wasinćhu uycunancäpa chimpanćhu Berequiaspa chulin Zacariasta wañuchishancama. 
MAT.23.36	Rasunpa lluy cay lulaśhancunapïta canan timpu nunacunämi mućhuyta apapäcun'a.
MAT.23.37	“¡Ay, Jerusalen nunacuna! ¡Ay, imananquilä Dios caćhamuptin willacünincunacta lumi tamshaywan wañuchïcuna! Juc wallpa chipchincunacta juntuycücänümi achca cuti llapayquitapis jucllaman juntuycuyta munalá. Jinaptïpis amcuna manamá munapäculanquichu. 
MAT.23.38	Canan licapäcuy; amcunap malcayqui lluy pulumäśhañam licalin'a. 
MAT.23.39	Rasunpa cananpi-pacham manaña nï uchucllapis licapämanquiñachu aśhta ‘¡Altuman juluśha cachun Diospa Pudirnin Śhamüca!’ nil nipämänayquicama” nila.
MAT.24.1	Diospa chuya wasinpi Jesus yalalcamul liyta allaycuyaptinmi, yaćhapacünincuna aśhuycälil nipäcula “Licay, cay wasi maynu sumä-sumämi caculläñä” nil.
MAT.24.2	Niptinmi: “Cayta licayalcanquimá. Rasunpa cay caśhancäćhu licachillapäpis manamá juc lumillapis caycun'achu. Lluymi pampaman muyun'a” nila.
MAT.24.3	Ñä Ulibus ulüman ćhaycälil Jesus täcuyaptinmi, yaćhapacünincuna aśhuycälil nipäcula: “Niycälimay-ari ¿imaymi chay lulacacun'a? Cutimunayquipä ñatac cay timpup camacaynin ji'acaycayämuptin ¿ima siñalcunam śhamun'a?” nil.
MAT.24.4	Niptinmi Jesus nila: “Yan'al-lätac pipis ingañapäcuśhunquiman. 
MAT.24.5	Ya'atucul achca śhapämulmi ‘Ya'am Caćhaśhan Salbacüca cayá’ nil achca nunacunacta pantachin'a. 
MAT.24.6	Ñatac wicćhüpis cayćhüpis gïrrash nïcunacta uyalipäcul ama manchaculcaychu. Chaycuna pasananmi yaćhacun masqui manalä camacayca cayaptinpis. 
MAT.24.7	Chaynütacmi chaypá nasyuncunapis malcacunapis gïrranaculcan'a. Chaynütacmi mayćhu chayćhüpis micuy wanacunapis ishyaycunapis śhaśhaycunapis cacun'a. 
MAT.24.8	Lluy caycuna ñacaycunap allaycuyllanlämi.
MAT.24.9	“Chayćhu ya'a-laycumá supay-apachipäcuśhunayquipä ćhïnipapäcuśhunayquipä wañuchipäcuśhunayquipäpis ćhulaycapäcuśhunqui. 
MAT.24.10	Chay timpućhümi achca ipanchapäman'a. Chaymi quiquin-pulacuna ćhïninaculcan'a, jitaycanaculcan'a. 
MAT.24.11	Yan'al willacütucücuna licalilcamulmi achca nunacta pantachin'a. 
MAT.24.12	Ancha-anchap mana allin lulaycunallaña timpuyaptinmi, lluy nunacunapapis śhun'un lumiyalpuyan'aña. 
MAT.24.13	Wañuycäcama tacyaycücämi ichá salbacun'a. 
MAT.24.14	Caypa allin willacuyninmi jinantin pachäman willaycuśha can'a lluy nunacuna lisipäcunanpä. Chaylämi cäraycunan muyunca śhamun'a.
MAT.24.15+MAT.24.16	“¿Manachun willacünin Daniel isquirbila chay Sumä Millachicüman Muyuchïcäpi? Chayurá cayta lïgïcunaca, sumäta tantiapäcuy. Chay Millachicüca Diospa chuya wasinćhu licalimuptinmi, Judea-lädućhu yaćhäcunaca juclla ayipäcunan ulucunäman. 
MAT.24.17	Chaynütac wasinpa altuśhninćhu cäcunaca imallanta juluycunallanpäpis timpu manañam can'añachu. 
MAT.24.18	Ćhaclanćhu cäcunäpis müdanallanta juntulcü cutipämunallanpäpis timpu manañatacmi can'añachu. 
MAT.24.19	¡Maynu llaquićh can'a patayu walmicunäpä, chaynütac wawinta ñuñücunäpä! 
MAT.24.20	Chaycuna tamya timpućhu nï ima warda muyunćhüpis pasananpä Diosta ruygaculcay. 
MAT.24.21	Cay sumä ñacaycunänu'a cay pachap allaycuyninpïpis manam pasalachu, nïtacmi can'atacchu. 
MAT.24.22	Chay timpucta Tayta Dios mana mirmachiptin'a manaćh mayanpis salbaculcanmanchu; ñatac japächacuśhancuna-laycum mirmaycachin'a.
MAT.24.23	“Chay timpu mayanpis ‘¡Licay! ¡Diospa Salbacüca cayäñä wicćhümi, cayćhümi!’ nil nipäcuśhuptiquilätac, quiriyalcanquiman. 
MAT.24.24	Rasunpa salbacütucücuna willacütucücuna śhalcapämulmi imaymana milagrucunacta lulapäcul Diospa aclacuśhancunätapis atipayänülä pantachiyta jicutapäcun'a. 
MAT.24.25	Ñam yaćhaycachishaña cayalcanqui.
MAT.24.26	“Chaymi masqui ‘Salbacüca wic ulućhümi cayan’ nipäcuśhuptiquipis ama lipäcuychu. ‘Cayćhümi pacalayan’ nil nipäcuśhuptiquipis ama quiripäcuychu. 
MAT.24.27	Aśhwanpa ya'a Rasun Nunap Chulinca cutimuptí inti yalamunanpi aśhta inti ji'alpunancama, sumä wacli uyaypa camalämuśhancänümá can'a. 
MAT.24.28	Maynümi aycha captin uyaypa wisculcuna
MAT.24.29	Chay sumä ñacay timpuca pasalcullaptinmi intica wañun'a;
MAT.24.29	quillapis manañam acchin'achu;
MAT.24.29	uyllurcunapis lluyñam palpatityamun'a;
MAT.24.29	janay pachäćhu lluy cäcunäpis śhaśhalin'am.
MAT.24.30	“Chayćhümi ya'a Rasun Nunap Chulinca janay pachäćhu camalacamuśhä. Jinaptïmi intiru malcacuna pucutay jananćhu altuman juluycuśha sumä munayniyu ya'acta cutiyämüta licapämal awćhuyllaman camapäcun'a. 
MAT.24.31	Jinaptinmi anjilnïcunacta caćhamuśha juc curnitilla sumä-sumä tucalpamuyćhu jinantin pachäpi llapa aclaśha nunäcunacta juntuchimunäpä aśhta sïlup sapinćhu cäcunätapis.
MAT.24.32	“Yaćhapäcuy-ari lanta tantiachimäśhallanchictapis. Pallaynincunaćhu chillquilimuptinmi tamya timpumanña ćhaycuśhanchicta tantianchic. 
MAT.24.33	Chaynu-ari lluy caycuna pasaśhanta licapäcul'a janayquićhüña timpuca caśhanta yaćhapäcuy. 
MAT.24.34	Rasunpa lluy caycuna pasan'a manaläpis cay timpu nunacunaca camacaptinlämi. 
MAT.24.35	Cay pachäwan janay pachäćhu licaśhallanchiccuna camacällam. Ya'ap nishäcunañatacmi ichá wiñay simpripä caycü.
MAT.24.36	“Ñatac chay śhamuná ürätam ichá nï pipis yaćhanchu. Manam quiquïpis nïtac anjilcunapis sinu'a Taytallämi yaćhan. 
MAT.24.37	Ya'a Rasun Nunap Chulincäpa cutimuyní can'a Noé timpućhu pasaśhannümi. 
MAT.24.38	Manaläpis chay tamya fisyu ćhämuptinlämi llapa nunapis upyayllacta, casaracuycunallacta, fistacunallacta jawca lulaculcäla aśhta Noé barcunman yaycunancama. 
MAT.24.39	Chaynu mana imallactapis tantiaculcaptinmi tamya fisyu chalälun. Chaynümi ya'a Rasun Nunap Chulinca cutimuptïpis pasan'a. 
MAT.24.40	Chaypun masqui ishcay nuna ćhaclaćhu cayalcaptinpis jucninmi puśhacuśha can'a, jucninñatacmi caćhaycuśha can'a. 
MAT.24.41	Chaynütacmi ishcay walmicuna a'ayalcaptinpis jucnin puśhacuśha can'a, juccäñatacmi caćhaycuśha can'a.
MAT.24.42	“Chayurá musyat-musyatlla capäcuy; manamá imay üra cutimunäta yaćhapäcunquichu. 
MAT.24.43	Maynümi wasiyüca suwanan üräta yaćhayalñá, mana jawcachu puñucun, aśhwanpam listuña täpayan mana suwachicunanpä. 
MAT.24.44	Chaynümá licchat-licchat capäcunayqui. Ya'a Rasun Nunap Chulinca mana imapis ucuśhayqui üram śhamuśhä.
MAT.24.45	“Chayurá capäcuy chalapacuna yaćhay-sapa tantiayniyu uyway nunanuy. Caynu nunactamá ‘cay wasïpi incargacuy’ nil maquinman ćhulaycunman lluy nunantapis ürallanćhu micachinanpä. 
MAT.24.46	Cushisha cachun imam chalapacuśhanmannuy lulayäta talïluptin'a. 
MAT.24.47	Paytamá duyñun lluy cänintapis licaycunanpä maquinman ćhulaycun'a. 
MAT.24.48+MAT.24.49	Yan'al-lätac chaynu mana allin śhun'uyu nunan ‘canan imayläćha cutimun'a’ nilcul uyway-masincunacta ñacachiyta allacuycunman. Jinal munaśhanta lulal upyacunman micucunman wasictapis lluy un'aycul ima. 
MAT.24.50	Rasunpa duyñun un'aypi mana pinsaśhan üra ćhämul, ¿imanälun'aćh? 
MAT.24.51	Sumä lawćhayculćhá ishcay cära mana chalapacücunap laśhćhunman ćhaycälichin'a. Chayćhüćha awćhupäcul quiluctapis lawćhićhicyachipäcun'a.
MAT.25.1	“Chay muyuncunaćhu Diosninchicpa gubirnun'a can'a ćhunca wamlacuna acchin apticüśha casamintuman linanpä casaracücäta alcäcänümi. 
MAT.25.2	Chay picha wamlacunämi lucla-cama capäcula; chay juc picha wamlacunäñatacmi tantiayniyü-cama capäcula. 
MAT.25.3	Chay luclacunämi ash asaytillantawan michïrunta apapäcula. 
MAT.25.4	Chay tantiayniyu wamlacunäñatacmi ichá juntay-juntay asaytiyüta michïrunta apapäcula. 
MAT.25.5	Chay casaracüca manalä ćhäcälimuptinmi puñuy aysäläliptin puñülälin. 
MAT.25.6	Chaynu puñulcaptinmi ćhawpi tutanuy ayaycaćhacayämun ‘¡Casaracüca śhacayämunñam! ¡Yalapämuy ćhasquipäcunayquipä!’ nil. 
MAT.25.7	Niptin-pacham śhalcacalcälil acchincunacta lluy allichäcuyalcan. 
MAT.25.8	Chaymi chay lucla wamlacunaca nipäcula juccunäta: ‘Asaytiquicta laquipaycälillämay; michïrümi wañucalpuyällanña’ nil. 
MAT.25.9	Niptinmi: ‘Manam camamachwanchu ampäwan'a. Aśhwanpa lantimü licäläliy’ nin. 
MAT.25.10	Chaynu lantï liculcäśhancamam casaracüca ćhämuptin chay picha tantiay-sapacunaca lluy cumpañänincunactawan liwshil yaycacaycälilaña casamintüman. Jinaptinmi puncüpis lluyña wićhacämula. 
MAT.25.11	Chaynüman chay picha ćhälälimulmi ‘¡Taytay Taytay, quićhallämay-ari!’ nicuyalcan. 
MAT.25.12	Niptinmi ‘Rasunpa ¿mayanćha caculcanquipis? Manam ya'a lisicchu’ nimula. 
MAT.25.13	Chaynümi amcunapis musyat-musyat capäcunayqui. Manamá amcuna yaćhapäcunquichu imay muyun, nï imay üra cutimunätapis.
MAT.25.14	“Chaynütac Diospa gubirnun'a juc nuna juc-lädu nasyunta licunanpä llapa nunancunacta ayalcachil lluy illayninta licaycunanpä aypuycücänümi cayan. 
MAT.25.15	Má, unayshi tincüninman-cama uycula jucninta picha walanga illayta, jucnintañatac ishcay walangacta, jucnintañatac walangallacta. Jinalculshi biäjicta licula. 
MAT.25.16	Chay picha walangacta ćhasquï nunäshi chay illaywan nigusyal, chaynu picha walanga mastalä milächin. 
MAT.25.17	Chaynütacshi chay ishcay walangacta ćhasquïcäpis, ishcay walangamantac milächin. 
MAT.25.18	Chay walangallacta ćhasquïcäñatacshi ichá illay uśhancäta juc ućhcucta lulaycul pampälun.
MAT.25.19	“Chaypïtash chay patrunnin una-unaypïtalä cutïmul nunancunacta watucula illayninta licaycunanpä. 
MAT.25.20	Chayshi picha walangacta ćhasquï nunan picha walanga milayniyüta apapacüśha śhalcamul: ‘Taytay, picha walanga umäśhayquita picha walanga masmanmi milachillá. Cayllá’ nil uycula.
MAT.25.21	“Niptinshi: ‘¡Allinmi! Am'a allin chalapacuna nunamá cañanqui. Ash uśhäcällactapis tincüninman licaycuśhayquipam canan achcactalä maquiquiman ćhulaycamuśhä. ¡Canan yaycamuy ya'awan cusca cushisha canayquipä!’ nin.
MAT.25.22	“Jina ipanmanñatacshi ishcay walanga ćhasquïcäpis ćhaycamul: ‘Taytay, ishcay walanga umäśhayquita ishcay walangamantacmi milachillá. Cayllá’ nil uycula.
MAT.25.23	“Niptinshi: ‘¡Añalláw! Am'a allin chalapacuna nunamá cañanqui. Ash uśhalläcätapis tincüninman licaycuśhayquipam canan achcactalä maquiquiman ćhulaycamuśhä. ¡Canan yaycamuy ya'awan cusca cushisha canayquipä!’ nin.
MAT.25.24	“Jinamanshi walangallacta ćhasquïca ćhaycamul: ‘Taytay, chalat-chalatyayä nunamá am cañanqui. Mana talpucuśhayquipïmá cusichacunqui. Mana wacacuśhayquipïmá pallacunqui. 
MAT.25.25	Chaymi manchacuypïta illay umäśhayquita pampäman lluy pacälá. Cay-ari cay illayniqui’ nila.
MAT.25.26	“Niptinshi: ‘¡Ima-nilä pasaypi illa nunam cañanqui! Mana talpuśhäpi cusichaśhäta yaćhayal'a, mana wacacuśhäpi pallaśhäta yaćhayal'a 
MAT.25.27	¿manachun cay illaynïta bancuman ćhulaycämunquiman cala cutimul milayniyüta ćhasquinäpä?’ nila. 
MAT.25.28	Nilculshi chayćhu cäcunäta nila: ‘Cay walanga uywaśhan illaycäta quitalcul, chay ćhunca walangayücäman uycuy. 
MAT.25.29	Caynu achca cäniyücunämanćha masta uycuśha can'a. Ash cäniyücunallactañatacćha ichá ash cällantapis quitalpuśha can'a. 
MAT.25.30	Cay mana bälï nunätá waśha tutapäcäman-ari wicapäluy. Chayćhüćha awćhun'a quiluctapis lawćhićhicyachishtin’ nil.
MAT.25.31+MAT.25.32	“Chaynütac ya'a Rasun Nunap Chulinca lluy anjilnïcunap ćhawpinćhümi sumä munayniyu cutimuśhä. Jinalculmi mandanäpä täcunäcäman taycuycuśhä jinantin pachäpi nunacunäta juntuycamunäpä. Chayćhümi uwish michï capishcunäta japä laquïcänuy, ya'apis nunacunäta laquishä. 
MAT.25.33	Uwishcunätam allïnï-läduman; capishcunätañatacmi ichünï-läduman. 
MAT.25.34	Jinalculmi sumä mandacüca caynïwan allïnïćhu cäcunäta nishä: ‘Taytäpa śhun'unpa cäcuna, śhapämuy. Cay pacha allaycuśhanpi unanchaycapäcuśhuśhayqui mandacuynïman yaycapämuy. 
MAT.25.35	Micuypi cayaptïpis uycälimälanquim. Yacupi puliyaptïpis chacchaycälimälanquim. Pulicü nunanuy puliyaptïpis jamaycälichimälanquim. 
MAT.25.36	Müdanapi palpüśha cayaptïpis müdalcachipämälanquim. Ishyayaptïpis watucaycälimälanquim. Carsilćhu wićhalayaptïpis licaycüní śhapämulanquim’ nil.
MAT.25.37	“Niptïmi chay allïnïćhu cäcunaca nipäman'a: ‘Taytay, ¿imaytan micuypi cayaptiqui uycälilac, yacupi cayaptiqui chacchaycälilac? 
MAT.25.38	¿Imaytan pulicü nunactanuy lical, jamaycälichilac? Müdanapi yalüśha cayaptiqui ¿imaytan uycälilac? 
MAT.25.39	¿Imaytan ishyäta ütac carsilćhu wićhalayäta lical śhapämulac?’ nil.
MAT.25.40	“Nipämaptinmi nishä: ‘Rasunpa mayanllan nunalläta masqui licaytapis mana munaśhacunällacta uyculpis, ya'a quiquïtamá uycälimälanqui’ nil.
MAT.25.41	“Ñatac chay ichünïćhu cäcunätañatacmi nishä: ‘¡Pasaypi nunacuna, ñawïpïta chincapäcuyña Satanaśhpäwan atïnincunapä lulaśha mana camacaycü nina waläcäman! 
MAT.25.42	Micuypi cayaptïmi mana uycälimälanquichu. Yacupi cayaptïmi mana chacchaycälimälanquichu. 
MAT.25.43	Pulicü nunanuy puliyaptïmi mana jamaycälichimälanquichu. Müdanapi palpüśha cayaptïmi, mana müdalcachipämälanquichu. Ishyayaptïpis, carsilćhu wićhalayaptïpis licaycüllapis śhapämulanquichu’ nil. 
MAT.25.44	Niptïmi nipäman'a: ‘Taytay, ¿imaytan micanäśhacta, yacunäśhacta, pulicü nunanuy puliyäta licapäculac mana uycälinacpä? ¿Imaytan müdanannäta, ishyayäta ütac carsilćhu wićhalayäta licapäculac mana yanapaycälinacpä?’ nil. 
