GEN.1.1	Ala y'a ka danni daminɛ tuma min na, a kɔnna ka sankolo ni dugukolo le dan.
LEV.23.4	«Aw ka kan ka ɲɔgɔn lajɛn ka ne Masaba bato n ka ɲanagwɛ siginin minw na, olu filɛ nin ye:
LEV.23.6	 Kalo nin tile tan ni duurunan loon, 
LEV.23.7	A tile fɔlɔ la, aw ka ɲɔgɔn lajɛn ka ne bato, aw kana baaragwɛlɛn si kɛ. 
LEV.23.8	Aw ka saraka jɛni ne ye tile wolonwula kɔnɔ. A tile wolonwulanan loon, aw ka lajɛn ka ne bato tugu, aw kana baaragwɛlɛn si kɛ.»
LEV.23.9	Masaba y'a fɔ Musa ye ko: 
LEV.23.10	«A fɔ Isirayɛlidenw ye ko: Ne bena jamana min di aw ma, n'aw donna o kɔnɔ tuma min na, n'aw ye suman tigɛ, aw ka na n'aw ka suman kuun fɔlɔw sirinin ye sarakalasebaga fɛ. 
LEV.23.11	Sarakalasebaga k'o fifa ne Masaba ɲakɔrɔ janko ne k'aw ka saraka minɛ. A k'o fifa lafiɲɛlon dugusagwɛ. 
LEV.23.12	Aw b'o suman fifa loon min na, saga min ye saan kelen sɔrɔ ni fiɲɛ t'a la, aw k'o kɛ saraka jɛnita ye ne Masaba ye. 
LEV.23.13	Ka fara o kan, aw ka mugu tɛntɛnnin kilo wɔɔrɔ ta ka tulu ɲagami o la k'a jɛni pewu saraka ye ne Masaba ye. A kasa ka di ne ye. Duvɛn litiri kelen ni tilancɛ ka fara o kan. 
LEV.23.14	Aw kana sumankura buru dumu, aw kan'a kisɛ yirannin, walima a kɛnɛman ɲimi n'aw ma saraka nin bɔ aw ka Ala ye fɔlɔ. O ye sariya ye aw kɔmɔgɔw bɛɛ fɛ aw ka sigiyɔrɔw bɛɛ la, o tena dabila abada.
LEV.23.16	Aw ka tile bi duuru jati fɔɔ ka taga se lafiɲɛlon wolonwulanan dugusagwɛ ma. O tile bi duurunan loon, aw ka sumankura saraka bɔ ne Masaba ye. 
LEV.23.17	Aw ka na ni burukun fila ye ka bɔ aw ka sigiyɔrɔw la, k'u fifa Masaba ɲakɔrɔ. O burukun kelen kelen bɛɛ ka dilan ni mugu tɛntɛnnin kilo saba saba ye ka fununan kɛ u la k'u wusu. O ye sɛnɛfɛn deen fɔlɔw saraka ye ne Masaba ye. 
LEV.23.18	O buru ni sagajigi wolonwula minw ye saan kelen kelen sɔrɔ ni fiɲɛ t'o la, ani tura kɛɲɛnin kelen, ni sagajigi fila, ka na n'o ye. Olu bena kɛ saraka jɛnita ye ne Masaba ye, u n'u ka suman sarakaw, ni jii. Saraka lo min be jɛni pewu, a kasa ka di ne ye. 
LEV.23.19	Aw ka bakɔrɔnin kelen bɔ hakɛ yafa saraka ye ka saga fila bɔ minw ye saan kelen kelen sɔrɔ, k'u kɛ jɛnɲɔgɔnya saraka ye. 
LEV.23.20	Sarakalasebaga ka saga fila nunu, ni sɛnɛfɛn deen fɔlɔw burukunw fifa ne Masaba ɲakɔrɔ ɲɔgɔn fɛ. U ye ne niyɔrɔ ye, u be kɛ sarakalasebaga ta ye. 
LEV.23.21	Aw ka jama lajɛn ɲɔgɔn kan ka ne Masaba bato o loon yɛrɛ la, aw kana baaragwɛlɛn si kɛ. O ye sariya ye aw kɔmɔgɔw fɛ aw ka sigiyɔrɔw bɛɛ la, o tena dabila abada.
LEV.23.23	Masaba y'a fɔ Musa ye ko: 
LEV.23.24	«A fɔ Isirayɛlidenw ye ko: Saan kalo wolonwulanan tile fɔlɔ ka kɛ lafiɲɛlon ye aw fɛ. Aw ka buru fiyɛ o ɲanagwɛ koo la, ani ka ɲɔgɔn lajɛn ka ne bato janko ka ne hakili jigi aw koo la. 
LEV.23.25	Aw kana baaragwɛlɛn si kɛ o loon na. Aw ka saraka bɔ ne Masaba ye min be jɛni pewu.»
LEV.23.26	Masaba y'a fɔ Musa ye ko: 
LEV.23.27	 «O kalo wolonwulanan tile tannan loon ye hakɛ yafalon ye. Aw ka lajɛn ka ne Masaba bato, ka suun don, ani ka saraka bɔ ne Masaba ye min be jɛni pewu. 
LEV.23.28	Aw kana baara si kɛ o loon na. Hakɛ yafalon lo, aw ka hakɛ yafa be daali loon min na, ne Masaba aw ka Ala ɲakɔrɔ. 
LEV.23.29	Ni mɔgɔ min ma suun don o loon na, o tigi be gwɛn ka bɔ a ka mɔgɔw cɛma. 
LEV.23.30	Ni mɔgɔ min ye baara kɛ o loon na, ne yɛrɛ bena o tigi halaki k'a bɔ a ka mɔgɔw cɛma. 
LEV.23.31	Aw kana baara si kɛ o loon na. O ye sariya ye min tena dabila abada aw kɔmɔgɔw bɛɛ fɛ aw ka sigiyɔrɔw bɛɛ la. 
LEV.23.32	O ye lafiɲɛlon ye aw fɛ, baara te kɛ o loon, aw ka suun don. K'a ta tilekun dontuma na o kalo tile kɔnɔntɔnnan loon na fɔɔ ka ta'a bila a dugusagwɛ tilekun dontuma na, aw k'o lafiɲɛlon bato.»
LEV.23.34	«A fɔ Isirayɛlidenw ye ko: Saan kalo wolonwulanan tile tan ni duuru loon, 
LEV.23.35	A loon fɔlɔ, jama ka lajɛn ka ne bato, aw kana baaragwɛlɛn si kɛ. 
LEV.23.36	Tile wolonwula kɔnɔ, aw ka sarakaw bɔ ne Masaba ye minw be jɛni pewu. A tile seeginan loon, aw ka lajɛn ka ne bato, ani k'o saraka ɲɔgɔn jɛni ne ye. Ɲanagwɛ lajɛnni laban lo, aw kana baaragwɛlɛn si kɛ o loon na.
LEV.23.37	«Olu ye ɲanagwɛw ye, ne Masaba ye minw sigi, ko aw ka jama lajɛn ɲɔgɔn kan ka sarakaw bɔ ne ye minw be jɛni pewu, ko u ka ne bato o loonw na. Aw ka saraka jɛnitaw bɔ, ni suman sarakaw, ani jɛnɲɔgɔnya sarakaw, ni jii, k'o bɛɛ bɔ ka kɛɲɛ n'u bɔlon ye. 
LEV.23.38	O saraka nunu ka fara ne Masaba ka lafiɲɛlonw sarakaw kan, n'aw ka boɲafɛnw, ani aw ka dajuru sarataw, ni aw ka diyanasarakaw bɛɛ kan, aw be minw di ne Masaba ma.
LEV.23.39	«K'a ta saan kalo wolonwulanan tile tan ni duuru loon na, n'aw ye aw ka suman ladon ka ban tuma min na, aw ka ɲanagwɛ kɛ ka ne Masaba boɲa fɔɔ tile wolonwula. O ɲanagwɛ loon fɔlɔ n'a loon seeginan ka kɛ lafiɲɛlonw ye. 
LEV.23.40	A loon fɔlɔ, aw ka yiriden ɲanamanw ta, ni tamarofuraburuw, ni yiribolo minw furaburu ka ca, ani kɔda la yiribolow, ka nisɔndiya ne Masaba aw ka Ala ɲakɔrɔ tile wolonwula kɔnɔ. 
LEV.23.41	Aw ka ɲanagwɛ nin kɛ ne Masaba ye tile wolonwula kɔnɔ saan o saan. O ye sariya ye aw kɔmɔgɔw bɛɛ fɛ min tena dabila abada. Aw k'a kɛ saan kalo wolonwulanan na. 
LEV.23.42	Aw ka sigi gwataw kɔrɔ tile wolonwula kɔnɔ. Isirayɛlidenw bɛɛ ka sigi gwataw kɔrɔ, 
LEV.23.43	janko aw kɔmɔgɔw k'a lɔn ko ne ye Isirayɛlidenw bɔ Ezipiti jamana na tuma min na, ko ne y'a kɛ u sigira gwataw kɔrɔ. Ne le ye Masaba aw ka Ala ye.»
LEV.23.44	A kɛra ten, Masaba ye ɲanagwɛ minw sigi, Musa y'o bɛɛ fɔ Isirayɛlidenw ye.
LEV.24.1	Masaba y'a fɔ Musa ye ko: 
LEV.24.2	«A fɔ Isirayɛlidenw ye ko u ka na ni olivutulu ɲanaman ye i fɛ. O bena kɛ fitinɛ tulu ye, janko fitinɛ mananin ka to loon bɛɛ sufɛ. 
LEV.24.3	Arɔn k'o fitinɛ labɛn Ɲɔgɔnkunbɛn fanibugu cɛtigɛfani ɲafɛ, min be ne Ala ka layidu taamasiɲɛ kɛsu datugu. A mananin ka to ne Masaba ɲakɔrɔ k'a ta wulafɛ fɔɔ ka dugu gwɛ, a man kan ka faga fewu. O ye sariya ye min tena dabila abada aw kɔmɔgɔw bɛɛ fɛ. 
LEV.24.4	Fitinɛ bilayɔrɔ ka kɛ ni sanu yɛrɛ yɛrɛ ye, Arɔn ka fitinɛw bila yen u mananin ka to ne Masaba ɲakɔrɔ loon bɛɛ sufɛ.
LEV.24.6	I k'o burukun tan ni fila tilan fila ye k'o la tabali kan min dilanna ni sanu yɛrɛ yɛrɛ ye, k'u bila ne Masaba ɲakɔrɔ, layɔrɔ kelen kelen bɛɛ burukun wɔɔrɔ wɔɔrɔ. 
LEV.24.7	I ka wusulan yɛrɛ yɛrɛ kɛ o layɔrɔ kelen kelen bɛɛ kan. O bena jɛni pewu ne Masaba ye buru nɔɔ na. O ka kɛ hakilijigifɛn ye. 
LEV.24.8	Lafiɲɛlon o lafiɲɛlon, o buru ka bila ne Masaba ɲakɔrɔ. O ye koo ye, Isirayɛlidenw ka kan ka min kɛ kudayi. 
LEV.24.9	 Buru nin ka kɛ Arɔn n'a deenw ta ye. Olu k'u dumu yɔrɔ senuman dɔ la, bari o ye fɛɛn saniyanin ye kosɔbɛ ka bɔ sarakaw la minw be jɛni ne Masaba ye pewu. O bena kɛ u niyɔrɔ ye tuma bɛɛ.»
LEV.24.10	Muso dɔ tun be yen, Isirayɛliden dɔ tun lo, a cɛɛ tun ye Ezipitika ye. Deen dɔ tun b'u fɛ. Deen nin bɔra ka taga Isirayɛlidenw fɛ. Kɛlɛ wilil'a ni Isirayɛliden dɔ cɛ jama ka sigiyɔrɔ la. 
LEV.24.11	Muso nin deen ye Ala tɔgɔjugu fɔ. O la, u tagara n'a ye Musa fɛ. Deen nin baa tɔgɔ ko Selomiti, Dan kɔmɔgɔ Dibiri denmuso tun lo. 
LEV.24.12	U ye deen nin datugu yɔrɔ dɔ la fɔɔ Masaba k'a sago yira o koo la k'a gwɛya u ye.
LEV.24.13	O kɔ, Masaba y'a fɔ Musa ye ko: 
LEV.24.14	«Taga n'o Ala tɔgɔ cɛnbaga nin ye jama ka sigiyɔrɔ kɔfɛ. A ye kuma fɔ mɔgɔ minw bɛɛ ɲana, olu k'u bolo la a kuun na, o kɔ, jama bɛɛ k'a bon ni kabakuruw ye k'a faga. 
LEV.24.15	A fɔ Isirayɛlidenw ye ko ni mɔgɔ o mɔgɔ y'a ka Ala tɔgɔjugu fɔ, o tigi ka hakɛ kunko bena to a yɛrɛ kunna. 
LEV.24.16	Ni mɔgɔ min ye ne Masaba tɔgɔjugu fɔ, o ka kan ka faga. Jama bɛɛ k'a bon ni kabakuruw ye. Mɔgɔ te bɔ mɔgɔ la, dugulen walima lonan, min siginin be aw cɛma, n'a ye ne tɔgɔjugu fɔ, a ka kan ka faga.
LEV.24.18	Ni mɔgɔ dɔ ye mɔgɔ wɛrɛ ka begɛn faga, a ka kan k'a ɲɔgɔn di.
LEV.24.19	«Ni mɔgɔ o mɔgɔ y'a mɔgɔɲɔgɔn mandimi, a ye min kɛ, o ɲɔgɔn ka kan ka kɛ a la fana. 
LEV.24.20	 N'a y'a kolo kari, a kolo dɔ fana ka kari. Ɲaa juru be bɔ ni ɲaa ye. Ɲiin juru be bɔ ni ɲiin ye. N'a ye mɔgɔ mandimi cogo min na, o ɲɔgɔn ka kɛ a la fana. 
LEV.24.21	Mɔgɔ min ye begɛn faga, o tigi k'o ɲɔgɔn di. Nga n'a ye mɔgɔ faga, a fana ka kan ka faga.
LEV.24.23	Musa y'o fɔ Isirayɛlidenw ye. U tagara ni Ala tɔgɔ cɛnbaga nin ye jama sigiyɔrɔ kɔfɛ k'a bon ni kabakuru ye. Masaba y'a fɔ Musa ye ko min ka kɛ, Isirayɛlidenw y'o kɛ.
LEV.25.1	Masaba y'a fɔ Musa ye Sinayi kulu kan ko: 
LEV.25.2	 «A fɔ Isirayɛlidenw ye ko: Ne bena jamana min di aw ma, n'aw donna yen tuma min na, dugukolo ka kan ka lafiɲɛ janko ne Masaba ka boɲa sɔrɔ. 
LEV.25.3	Aw k'aw ka forow sɛnɛ saan wɔɔrɔ kɔnɔ, k'aw ka 
LEV.25.4	Nga saan wolonwulanan bena bila ne Masaba ye, o ka kɛ dugukolo ka lafiɲɛsan ye. Aw kana sɛnɛ kɛ, aw kana aw ka ɛrɛzɛnsunw bolomisɛnw tigɛ o saan kɔnɔ. 
LEV.25.5	Aw kana suman mananw ladon, aw kana ɛrɛzɛnw tigɛ aw ka ɛrɛzɛnsunw na, aw ma janto minw na. O saan ka kɛ dugukolo ka lafiɲɛsan ye. 
LEV.25.6	Suman manan bena kɛ aw ka dumuni ye dugukolo ka lafiɲɛsan na. Aw yɛrɛw, n'aw ka jɔncɛw, n'aw ka jɔnmusow, n'aw ka baaradenw, ni lonan minw b'aw cɛma. 
LEV.25.7	Aw ka begɛnw, ni kongosogo minw be aw ka jamana kɔnɔ, olu bena balo ni suman manan nunu bɛɛ ye.
LEV.25.8	«Aw ka saan wolonwula jati fɔɔ siɲɛ wolonwula. O saan wolonwula sigiyɔrɔman wolonwula be bɛn saan bi naani ni kɔnɔntɔn ma. 
LEV.25.9	Aw k'a to u be buru fiyɛ belebele faan bɛɛ la saan kalo wolonwulanan tile tannan loon. Hakɛ yafalon na, aw ka buru fiyɛ aw ka jamana yɔrɔ bɛɛ la. 
LEV.25.10	Aw ka saan bi duurunan bila ne Ala ye ka hɔrɔnyali wango la jamana yɔrɔ bɛɛ la a kɔnɔ mɔgɔw bɛɛ ye. Aw ka saan nin wele ko saan bi duurunan ɲanagwɛ. Aw kelen kelen bɛɛ bena segi ka taga aw ka fadenyabolo la, k'aw ka dugukolow tigiya kɛ tugu. 
LEV.25.11	O saan bi duurunan bena kɛ ɲanagwɛ saan ye aw fɛ, aw kana danni kɛ, aw kana suman manan tigɛ, aw kana 
LEV.25.12	Saan nin ye ɲanagwɛ saan ye, a ka kɛ saan ye min bilara ne ye aw fɛ. Aw ka suman manan dama le dumu.
LEV.25.13	«Ɲanagwɛ saan nin na, aw kelen kelen bɛɛ ka segi ka taga aw ka dugukolow tigiya kɛ tugu. 
LEV.25.14	Ni aw ye dugukolo dɔ feere aw balima dɔ ma, walima ka dɔ san a fɛ, aw kana ɲɔgɔn tɔɲɔ. 
LEV.25.15	I be min san i balima fɛ, saan minw tɛmɛna ɲanagwɛ saan kɔ, olu kana jati a sɔngɔ la. Ale min b'a feere i ma fana, o sɔngɔ ka kɛɲɛ ni sɛnɛkɛsan tɔw daa ye. 
LEV.25.16	N'o saan tɔw ka ca, i k'a sɔngɔ caya ka kɛɲɛ n'o ye. N'u ka dɔgɔ, i k'a sɔngɔ dɔgɔya ka kɛɲɛ n'o ye. Bari a b'a feere ka kɛɲɛ ni sumantigɛwaatiw daa ye. 
LEV.25.17	Aw kana ɲɔgɔn tɔɲɔ, aw ka siran aw ka Ala ɲa. Ne le ye Masaba aw ka Ala ye.
LEV.25.18	«Aw ka ne ka sariyaw bato, ne ye kuma minw fɔ, aw ka banba ka olu kɛ. N'o kɛra, aw bena sigi hɛrɛ la jamana nin kɔnɔ. 
LEV.25.19	Sɛnɛ bena ɲa, aw bena dumuni kɛ ka fa, ani ka sigi hɛrɛ la jamana nin kɔnɔ.
LEV.25.20	«N'a b'aw kɔnɔ ko: ‹Anw bena mun dumu saan wolonwulanan nin kɔnɔ, ni anw ma danni kɛ ka se ka suman tigɛ?› 
LEV.25.21	Ayiwa, ne bena aw ta ɲa saan wɔɔrɔnan na fɔɔ suman nin tena ban aw fɛ saan saba kɔnɔ. 
LEV.25.22	A saan seeginan na, aw bena sɛnɛ kɛ, nga aw bena sumankɔrɔ dumu fɔɔ sumankura ka se, a saan kɔnɔntɔnnan na.
LEV.25.23	«Dugukolo man kan ka feere ka to a sanbaga bolo kudayi, bari dugukolo ye ne ta ye. Aw ye lonanw ni sigibagaw dama ye ne ka yɔrɔ la. 
LEV.25.24	Aw bena jamana min tigiya kɛ, ni mɔgɔ ye dugukolo san o kɔnɔ yɔrɔ o yɔrɔ, o tigi k'a lɔn ko sira dinin be dugukolo feerebaga ma ka dugukolo nin san a fɛ tugu.
LEV.25.25	«N'i balima dɔ dɛsɛra fɔɔ a y'a ka dugukolo dɔ feere, a balima min ka surun a la kosɔbɛ, ale ka na ka dugukolo nin sɔngɔ kɔsegi a sanbaga ma k'a minɛ. 
LEV.25.26	Ni mɔgɔ ma sɔrɔ, n'a yɛrɛ ye cogoya sɔrɔ tuma min na, n'a be se ka segi k'a san tugu, 
LEV.25.27	saan minw tɛmɛn'a feerenin kɔ, a k'olu jati. Saan tɔɔ minw tora, a k'o sɔngɔ kɔsegi a sanbaga ma. O kɔ, a be se ka segi ka kɛ a ka yɔrɔ tigi ye. 
LEV.25.28	N'a ma cogo sɔrɔ ka se k'o tigi ta d'a ma, a ye yɔrɔ min feere, o bena to a sanbaga bolo fɔɔ saan bi duurunan ka se. N'o saan sera, a bena segi a ma, o tuma na, a bena se ka segi ka kɛ a tigi ye.
LEV.25.29	«Dugu min laminina ni kogo ye, ni dɔ y'a ka soo feere o kɔnɔ, a be se ka segi k'a minɛ tugu a sanbaga fɛ k'a ka wari segi a ma. O daan ye saan kelen ye. 
LEV.25.30	Soo min be dugu kɔnɔ min lamininin be ni kogo ye, n'a tigi ma se ka segi k'a minɛ saan kelen dafanin kɔ, a bena kɛ a sanbaga n'a kɔmɔgɔw ta ye, kudayi. A te segi ka di a tigikɔrɔ ma saan bi duurunan na. 
LEV.25.31	Dugu minw lamininin tɛ ni kogo ye, o duguw kɔnɔ soow bena jati i n'a fɔ forow. Soo nunu feerebagaw be se ka segi k'u san tugu, u bena segi ka di u tigiw ma saan bi duurunan na.
LEV.25.32	«Sira dinin be Levi kɔmɔgɔw ma waati bɛɛ ka segi k'u ka soow san tugu u ka duguw kɔnɔ. 
LEV.25.33	Hali ni soo nin sanbaga ye Levi kɔmɔgɔ ye fana, ni saan bi duurunan sera, a tigi be bɔ soo nin kɔnɔ k'a to a tigikɔrɔ ye, bari Levi kɔmɔgɔw ka soo minw be u ka duguw kɔnɔ, olu le ye u niyɔrɔ ye Isirayɛlidenw cɛma. 
LEV.25.34	Foro minw be Levi kɔmɔgɔw ka duguw lamini na, olu te se ka feere, bari olu ye u ta ye kudayi.
LEV.25.36	I kana tɔnɔ ɲini a fɛ cogo si la, nga i ka siran i ka Ala ɲa, janko i balima ka se ka to aw cɛma. 
LEV.25.37	 Kana wari juru don a la tɔnɔ kama. Kana dumuni dɔndɔ a ma fana tɔnɔ kama. 
LEV.25.38	Ne le ye Masaba aw ka Ala ye, min y'aw bɔ Ezipiti jamana na ka Kanaan jamana di aw ma, ani ka kɛ aw ka Ala ye.
LEV.25.40	I k'a minɛ i ko baaraden, walima tɛmɛbaga, aw cɛma. A ka baara kɛ i fɛ fɔɔ saan bi duurunan ɲanagwɛ ka se. 
LEV.25.41	O saan na, i ka sira d'a ma, a n'a deenw ka segi ka ta'a ka fadenyabolo la, k'a faaw ka dugukolo tigiya kɛ tugu. 
LEV.25.42	Isirayɛlidenw ye ne ka baarakɛlaw ye, ne y'u bɔ Ezipiti jamana na. O la, u man kan ka feere i n'a fɔ jɔɔnw. 
LEV.25.43	Kana kuntigiya digi u kan, nga i ka siran i ka Ala ɲa.
LEV.25.44	«Aw bena jɔncɛ ni jɔnmuso minw san, olu ka kan ka bɔ siya wɛrɛw la, minw be aw lamini na. 
LEV.25.45	Lonan minw be aw fɛ, aw be se ka olu san k'u kɛ jɔɔnw ye fana. U ye deen minw sɔrɔ k'u to aw ka jamana na, aw be se k'olu fana san ka kɛ aw ta ye. 
LEV.25.46	U ka kɛ aw deenw cɛɛn ye aw kɔ. Aw be se k'u kɛ jɔɔnw ye kudayi, nga aw man kan ka kuntigiya digi aw balima Isirayɛlidenw kan.
LEV.25.47	«Lonan min be aw fɛ, walima min tɛmɛtɔ lo, n'u dɔ kɛra fɛntigi ye, i balimaw dɔ ka kɛ fantan ye, fɔɔ a y'a yɛrɛ feere lonan nin ma, min siginin be aw cɛma, walima lonan nin ka fadenyabolo mɔgɔ dɔ ma, 
LEV.25.48	a feerenin kɔ, a be se ka hɔrɔnya tugu ni wari ye. A balimaw dɔ be se k'o kɛ. 
LEV.25.49	A facɛfitini walima ale dencɛ, walima a facɛkɔrɔba, walima ale dencɛ be se k'a hɔrɔnya. A ka fadenyabolo mɔgɔ wɛrɛ, min ka surun a la balimaya la, o fana be se k'o kɛ. Ni ale yɛrɛ ye fɛɛn sɔrɔ, a be se k'o wari di k'a yɛrɛ hɔrɔnya. 
LEV.25.50	A n'a sanbaga ka jatiminɛ kɛ ɲɔgɔn fɛ, k'a daminɛ a feeresan na ka ta'a bila saan bi duurunan na. A ka hɔrɔnya sɔngɔ ka kɛɲɛ n'o saanw daa ye. O saanw be sara ka kɛɲɛ ni baaraden saracogo ye. 
LEV.25.51	N'o saan tɔw ka ca, a hɔrɔnya sɔngɔ ka kan ka kɛɲɛ n'o ye. 
LEV.25.52	Saan tɔɔ minw tora sanni saan bi duurunan ka se, ni olu man ca, a ka jatiminɛ kɛ k'a hɔrɔnya sɔngɔ kɛɲɛ n'o ye. 
LEV.25.53	U k'a minɛ i n'a fɔ baaraden min be sara saan o saan. Aw kan'a to a kuntigi k'a ka fanga digi a kan. 
LEV.25.54	Hali n'a ma se ka hɔrɔnya o cogo nunu si la, ni saan bi duurunan sera, a n'a deenw be labila o kɔnɔ.
LEV.25.55	«Ɔnhɔn, Isirayɛlidenw ye ne ka jɔɔnw ye! Ne ka baarakɛlaw lo, ne ye minw bɔ Ezipiti jamana na. Ne le ye Masaba, aw ka Ala ye.
LEV.26.2	«Aw ka lafiɲɛlonw bato ne kama, ka ne ka sigiyɔrɔ boɲa. Ne le ye Masaba ye.
LEV.26.4	o tuma na, ne bena sanji di aw ma a waati la, sɛnɛ bena ɲa, yiriw bena den, 
LEV.26.5	aw bena suman caaman sɔrɔ k'a gosi fɔɔ ka se 
LEV.26.6	Ne bena hɛrɛ kɛ jamana mɔgɔw ye. Aw bena la, mɔgɔ si tena siranya bila aw la. Ne bena sogojuguw gwɛn ka bɔ jamana na. Kɛlɛ tena don aw ka jamana kɔnɔ. 
LEV.26.7	Aw bena tugu aw juguw kɔ k'u halaki ni murujan ye. 
LEV.26.8	Aw ka mɔgɔ duuru bena mɔgɔ kɛmɛ gwɛn, mɔgɔ kɛmɛ bena mɔgɔ waa tan gwɛn. Aw bena aw juguw halaki ni murujan ye. 
LEV.26.9	Ne bena n janto aw la k'aw jiidi, k'aw caya ka ne ka layidu dafa aw ye. 
LEV.26.10	Aw bena to ka sumankɔrɔw le dumu. Aw bena sumankɔrɔ bɔ bondo kɔnɔ ka kuraman don yen. 
LEV.26.11	Ne bena sigi aw cɛma, aw koo tena goya ne ye. 
LEV.26.12	 Ne bena to aw cɛma ka kɛ aw ka Ala ye, aw bena kɛ ne ka mɔgɔw ye. 
LEV.26.13	Ne le ye Masaba aw ka Ala ye, ne y'aw bɔ Ezipiti jamana na, janko aw kana kɛ Ezipitikaw ka jɔɔnw ye tugu. Aw tun be jɔnya la mɔgɔ minw bolo, ne ye olu ka fanga bɔ aw kunna, ka kunkɔrɔta di aw ma.
LEV.26.14	«Nga n'aw ma sɔn ka mɛnni kɛ ne fɛ ka ne ka kuma nunu bɛɛ bato, 
LEV.26.15	n'aw banna ne ka fɔta ma, ni ne ka sariyaw koo goyara aw ye, fɔɔ aw be ban ka ne ka kuma bɛɛ bato, n'aw ye an ka bɛɛn cɛn, 
LEV.26.16	ne bena min kɛ aw la, o filɛ nin ye. Ne bena jatigɛkobabaw lase aw ma, mɔgɔfasabana ni farigwan bena aw ɲaa cɛn, k'aw barika ban dɔɔni dɔɔni. Aw bena danni kɛ fu, bari aw juguw bena o suman dumu. 
LEV.26.17	Ne bena wili aw kama. O la, aw juguw bena se aw kɔrɔ, aw kɔniyabagaw bena kɛ aw kuntigiw ye. Aw bena boli hali ni mɔgɔ si te aw nɔɔ fɛ.
LEV.26.18	«O bɛɛ kɛnin kɔ, ni aw ma sɔn ka mɛnni kɛ ne fɛ, ne bena o tɔɔrɔ ɲɔgɔn wolonwula la aw kan aw ka hakɛ kosɔn. 
LEV.26.19	Fanga min b'aw la n'aw be to k'aw yɛrɛ yira n'a ye, ne ben'o cɛn, ka sankolo kɛ i n'a fɔ nigɛ aw fɛ, ani k'aw ka dugukolo kɛ i n'a fɔ zira, sanji benbaliya kosɔn. 
LEV.26.20	Aw bena sɛgɛn fu, bari aw ka sɛnɛfɛnw tena ɲa, jamana yiriw tena den.
LEV.26.21	«Ni aw banna ne ma, n'aw ma sɔn ka mɛnni kɛ ne fɛ, ne bena o tɔɔrɔ ɲɔgɔn wolonwula la aw kan aw ka hakɛ kama. 
LEV.26.22	Ne bena sogojuguw bila aw la, u bena aw deenw minɛ k'aw ka begɛnw halaki. Aw tɔɔ bena kɛ fitini fɔɔ mɔgɔ tena sɔrɔ min be taama aw ka siraw kan tugu.
LEV.26.23	«N'o koow si ma aw kolo, n'aw tora ka ban ne ma, 
LEV.26.24	o tuma na, ne fana bena ban aw la. Ne bena aw ka tɔɔrɔ ɲɔgɔn wolonwula la aw kan aw ka hakɛ kama. 
LEV.26.25	Ne ben'a kɛ murujan be se aw ma ka ne ka dimi bɔ aw la, bari aw ye an ka bɛɛn cɛn. Aw bena yɛrɛsutarayɔrɔ ɲini aw ka dugubabaw kɔnɔ, nga ne bena fɔɲɔbana bila aw la, aw bena don aw juguw bolo fana. 
LEV.26.26	Ni ne ye aw ka dumuni sɔrɔko gwɛlɛya tuma min na, muso tan bena se k'aw ka buru jɛni dibi kelen kɔnɔ. U bena dɔɔni min d'aw kelen kelen ma, o bena dɔgɔya fɔɔ aw bena dumuni min kɛ, o tena aw ka kɔngɔ nɔgɔya.
LEV.26.27	«O bɛɛ kɛnin kɔ, ni aw ma sɔn ka mɛnni kɛ ne fɛ, n'aw tora ka ban ne ma halibi, 
LEV.26.28	o tuma na, ne diminin bena ban aw la. Ne yɛrɛ le bena aw ka tɔɔrɔ ɲɔgɔn wolonwula la aw kan tugu aw ka hakɛ kama. 
LEV.26.29	Aw bena aw dencɛw n'aw denmusow le dumu. 
LEV.26.30	Ne bena aw ka sɔnnikɛyɔrɔw cɛn k'aw ka wusulan sarakabɔyɔrɔw halaki, k'aw suuw lala aw ka joo cɛnninw kan. Aw koo bena goya ne ye. 
LEV.26.31	Ne bena aw ka dugubabaw kɛ yɔrɔlakolonw ye k'aw ka batolikɛyɔrɔw cɛn. Aw ka sarakaw kasa diman tena diya ne ye tugu. 
LEV.26.32	Ne bena jamana nin cɛn fɔɔ aw jugu minw bena sigi a kɔnɔ, olu bena kabakoya. 
LEV.26.33	Ne bena aw jɛnsɛn siyaw cɛma ka murujan bila aw nɔɔ fɛ. Aw ka jamana bena cɛn, aw ka dugubabaw bena kɛ yɔrɔlakolon ye.
LEV.26.34	«O tuma na, k'aw to aw juguw ka jamana na, aw ka dugukolo ben'a ka lafiya sɔrɔ, a tena sɛnɛ o waati bɛɛ la. A ma lafiɲɛ sɔrɔ saan minw na k'aw to a kɔnɔ, a bena o sɔrɔ o waati la. 
LEV.26.35	Ka jamana labilanin to, a bena lafiya sɔrɔ, a ma min sɔrɔ 
LEV.26.36	«Aw tɔɔ minw ɲanaman bena to, ne bena olu kɛ siranbagatɔw ye u juguw ka jamana na, fɔɔ u bena boli yirifuraburu mankan ɲa. U bena boli, i n'a fɔ mɔgɔ be boli murujan ɲa cogo min na, u bena ben, k'a sɔrɔ mɔgɔ si te tugura u kɔ. 
LEV.26.37	U seenw bena talon ɲɔgɔn na, i n'a fɔ u be boli murujan ɲa, k'a sɔrɔ mɔgɔ si te tugura u kɔ. Aw tena se ka lɔ aw juguw ɲa. 
