GEN.1.1	Nang pasimula ay nilikha ng Diyos ang langit at ang lupa;
GEN.23.14	Sumagot si Efron kay Abraham, 
GEN.23.15	“Apatnaraang pirasong pilak po ang halaga ng lupa. Huwag na nating pag-usapan; basta't paglibingan na ninyo.” 
GEN.23.16	Nagkasundo sila. Sa harapan ng mga tao'y tumimbang si Abraham ng halagang apatnaraang pirasong pilak, ayon sa halaga ng salaping umiiral noon sa pamilihan.
GEN.23.17	Kaya't ang lupang iyon ni Efron sa Macpela sa silangan ng Mamre, pati na ang yungib at mga punongkahoy sa paligid nito 
GEN.23.18	ay naging pag-aari ni Abraham. Sinaksihan ito ng mga Heteong dumalo sa pagpupulong na iyon sa may pintuan ng lunsod. 
GEN.23.19	At inilibing nga ni Abraham si Sara sa yungib na iyon sa Macpela, silangan ng Mamre, sa lupain ng Canaan. Ito'y tinatawag ngayong Hebron. 
GEN.23.20	Ang lupa ngang iyon at ang yungib na dating pag-aari ng mga Heteo ay binili ni Abraham upang gawin niyang libingan.
GEN.24.1	Matandang-matanda na noon si Abraham, at pinagpapalang mabuti ni Yahweh. 
GEN.24.2	Sinabi niya sa pinakamatanda niyang alipin na kanyang katiwala, “Ilagay mo ang iyong kamay sa pagitan ng aking mga hita at manumpa ka. 
GEN.24.3	Sumumpa ka sa akin sa pangalan ni Yahweh, ang Diyos ng langit at ng lupa, na hindi ka rito sa Canaan pipili ng mapapangasawa ng aking anak na si Isaac. 
GEN.24.4	Pumunta ka sa bayan kong tinubuan, at pumili ka sa aking mga kamag-anak doon ng mapapangasawa niya.”
GEN.24.5	“Kung ayaw pong sumama ng mapipili ko, maaari po bang si Isaac na ang papuntahin doon?” tanong ng alipin.
GEN.24.6	“Aba, hindi! Huwag mong papupuntahin doon si Isaac,” tugon ni Abraham. 
GEN.24.7	“Nilisan ko ang tahanan ng aking ama at iniwan ang lupain ng aking mga kamag-anak sapagkat dito ako pinapunta ni Yahweh, ang Diyos ng kalangitan. Nangako siyang ibibigay ang lupaing ito sa aking lahi. Magsusugo siya ng kanyang anghel na mauuna sa iyo upang tulungan ka sa pagpili ng mapapangasawa ng aking anak. 
GEN.24.8	Ngayon, kung ayaw sumama ng mapipili mo, wala ka nang pananagutan sa akin. Ngunit huwag mong papuntahin doon ang anak ko!” 
GEN.24.9	Kaya't inilagay ng alipin ang kanyang kamay sa pagitan ng hita ng panginoon niyang si Abraham, at nanumpang susundin ito.
GEN.24.10	Naghanda ang alipin ng sampung kamelyo ng kanyang panginoon. Matapos kargahan ng maraming panregalo, naglakbay siya patungong Mesopotamia, sa lunsod na tinitirhan ni Nahor. 
GEN.24.11	Pagsapit sa labas ng lunsod, huminto siya at pinaluhod ang mga kamelyo sa tabi ng balon ng tubig na naroon. Sa gayong oras, tuwing magdarapit-hapon, dumarating ang mga babae para umigib. 
GEN.24.12	Siya'y nanalangin nang ganito: “Yahweh, Diyos ng panginoon kong si Abraham, maging matagumpay nawa ang aking lakad; tuparin po ninyo ang inyong pangako sa aking panginoong si Abraham. 
GEN.24.13+GEN.24.14	Tatayo po ako rito sa tabi ng balon at hihintayin ang pagdating ng mga babae buhat sa lunsod, para umigib. Ako po'y makikiinom sa isa sa kanila. Kapag sinabi niyang, ‘Uminom ka, at paiinumin ko rin ang iyong mga kamelyo,’ iyon na sana ang babaing inihanda ninyo para sa inyong aliping si Isaac. Sa gayon malalaman kong tinupad na ninyo ang inyong pangako sa aking panginoon.”
GEN.24.15	Hindi pa natatapos ang kanyang panalangin, dumating si Rebeca na may pasan na banga ng tubig. Siya ay anak ni Bethuel at apo ni Milca na asawa ni Nahor na kapatid ni Abraham. 
GEN.24.16	Siya'y dalaga pa at napakaganda. Lumusong siya sa kinaroroonan ng balon, pinuno ang kanyang banga, at umahon. 
GEN.24.17	Sumalubong agad ang alipin at sinabi, “Maaari bang makiinom?”
GEN.24.18	“Aba, opo,” sagot ng babae. At inalalayan niya ang banga habang umiinom ang alipin. 
GEN.24.19	Nang ito'y makainom na ay sinabi pa ng dalaga, “Paiinumin ko na rin po ang inyong mga kamelyo hanggang gusto nila.” 
GEN.24.20	Isinalin niya sa painuman ang laman ng banga at pabalik-balik siyang sumalok hanggang sa mapainom ang lahat ng kamelyo. 
GEN.24.21	Tahimik na pinagmasdan ng alipin ang dalaga at iniisip kung iyon na kaya ang sagot ni Yahweh sa kanyang panalangin.
GEN.24.22	Matapos makainom ang mga kamelyo, inilabas ng alipin ang dala niyang mamahaling singsing
GEN.24.23	Pagkatapos, ito'y tinanong niya, “Sino ba ang iyong mga magulang? Maaari ba kaming makituloy sa inyo ngayong gabi?”
GEN.24.24	Sumagot ang babae, “Ako po'y anak ni Bethuel na anak nina Nahor at Milca. 
GEN.24.25	Maluwag po sa amin at maraming pagkain para sa inyong mga hayop.”
GEN.24.26	Pagkarinig niyon, lumuhod ang alipin at sumamba kay Yahweh, 
GEN.24.27	“Purihin si Yahweh, ang Diyos ng panginoon kong si Abraham! Hindi siya sumira sa kanyang pangako. Pinatnubayan niya ako sa pagpunta sa bahay ng mga kamag-anak ng aking panginoon.”
GEN.24.28	Nagmamadaling umuwi ang dalaga at isinalaysay ang buong pangyayari sa tahanan ng kanyang ina. 
GEN.24.29	Si Rebeca ay may kapatid na lalaki na ang pangalan ay Laban. Patakbo siyang pumunta sa balong kinaroroonan ng lalaki 
GEN.24.30	nang marinig niya ang salaysay ng kanyang kapatid, at makita ang singsing
GEN.24.31	Sinabi ni Laban, “Bakit nandiyan po kayo sa labas? Tayo na po sa amin, lalaking pinagpala ni Yahweh! Nakahanda na po ang pagpapahingahan ninyo at ang sisilungan ng inyong mga kamelyo.”
GEN.24.32	Sumama nga ang alipin. Pagdating sa bahay, ibinabâ ni Laban ang karga ng mga kamelyo at pinakain ang mga hayop. Ang alipin nama'y binigyan niya ng tubig upang maghugas ng paa pati ang mga kasama nito. 
GEN.24.33	Binigyan siya ng pagkain, ngunit sinabi ng alipin, “Sasabihin ko muna ang aking pakay bago ako kumain.”
GEN.24.33	“Sige, sabihin ninyo,” sabi ni Laban.
GEN.24.34	Ganito ang salaysay niya: “Ako po'y alipin ni Abraham. 
GEN.24.35	Pinagpala ni Yahweh ang aking panginoon. Pinarami ang kanyang mga kawan ng tupa, kambing at baka. Pinagkalooban rin siya ng maraming pilak at ginto, mga aliping babae at lalaki, mga kamelyo at asno. 
GEN.24.36	Ang asawa niyang si Sara ay nagkaanak pa kahit siya'y matanda na. Ang anak na ito ang tanging tagapagmana ng kanilang kayamanan. 
GEN.24.37	Ako po'y pinanumpa ng panginoon kong si Abraham na hindi ako kukuha sa Canaan ng mapapangasawa ng anak niyang ito. 
GEN.24.38	Dito po niya ako pinapunta sa mga kamag-anak ng kanyang mga magulang upang ihanap ng mapapangasawa ang kanyang anak. 
GEN.24.39	Tinanong ko po siya ng ganito: ‘Kung ang babaing mapili ko ay hindi sumama sa akin, ano po naman ang aking gagawin?’ 
GEN.24.40	Ang sagot po niya'y sasamahan ako ng anghel ni Yahweh upang magtagumpay sa aking lakad. Dito raw sa angkan ng kanyang ama ako kumuha ng mapapangasawa ng kanyang anak. Iyan po ang utos sa akin. 
GEN.24.41	Ang sabi pa niya sa akin, ‘Kung sundin mo ito, natupad mo na ang iyong tungkulin. Kung tanggihan ka naman ng aking mga kamag-anak, wala ka nang pananagutan sa akin.’
GEN.24.42	“Pagdating ko po sa may balon kanina, ako'y nanalangin nang ganito: ‘O Yahweh, Diyos ng panginoon kong si Abraham, panagumpayin mo ang aking gagawin! 
GEN.24.43	Tatayo po ako sa may tabi ng balong ito at kapag may dumating na dalaga upang umigib, ako'y makikiinom. 
GEN.24.44	Kapag ako'y pinainom pati ang aking mga kamelyo, iyon na po sana ang pinili ninyo upang mapangasawa ng anak ng aking panginoon.’ 
GEN.24.45	Hindi pa natatapos ang aking panalangin, dumating nga si Rebeca na pasan ang isang banga. Lumusong siya sa bukal at sumalok ng tubig. Nakiusap po ako sa kanyang ako'y painumin. 
GEN.24.46	At hindi lamang ako ang pinainom, pati po ang aking mga kamelyo. 
GEN.24.47	Tinanong ko po siya, ‘Kanino kang anak?’ Ang sagot po'y, ‘Kay Bethuel na anak ng mag-asawang Nahor at Milca.’ Kaya't kinabitan ko siya ng hikaw sa ilong at sinuotan ng mga pulseras sa braso. 
GEN.24.48	Pagkatapos, ako'y lumuhod at sumamba kay Yahweh, sa Diyos ng panginoon kong si Abraham, sapagkat pinatnubayan niya ako at inihatid sa tahanang ito. At dito ko nga natagpuan ang dalagang dapat mapangasawa ng kanyang anak. 
GEN.24.49	Kaya hinihiling kong sabihin ninyo sa akin kung sang-ayon kayo sa hangad ng aking panginoon. Kung hindi naman, sabihin din ninyo at nang malaman ko naman kung ano ang aking gagawin.”
GEN.24.50	Sumagot ang mag-amang Bethuel at Laban, “Dahil ang bagay na ito'y mula kay Yahweh, wala na kaming masasabing anuman. 
GEN.24.51	Isama mo si Rebeca pag-uwi mo upang mapangasawa ng anak ng iyong panginoon, ayon sa sinabi ni Yahweh.” 
GEN.24.52	Pagkarinig nito, ang alipin ni Abraham ay muling nagpatirapa at nagpuri kay Yahweh. 
GEN.24.53	At inilabas niya ang mga damit at mga hiyas na ginto't pilak para kay Rebeca. Binigyan din niya ng mamahaling regalo ang kapatid nitong si Laban at ang kanilang ina.
GEN.24.54	Pagkatapos, ang alipin at ang mga kasama nito ay kumain na at uminom, at doon na nga nagpalipas ng gabi. Kinabukasa'y nagpaalam na siya. 
GEN.24.55	Ngunit hiniling ng ina at ng kapatid ni Rebeca na magpalipas muna ng isang linggo o sampung araw bago umalis.
GEN.24.56	Ngunit sinabi ng alipin, “Sapagkat pinagtagumpay ako ni Yahweh sa aking lakad, pahintulutan na po ninyo akong magbalik sa aking panginoon.”
GEN.24.57	“Kung gayon,” sabi nila, “tawagin natin si Rebeca at tanungin kung ano ang kanyang pasya.” 
GEN.24.58	“Sasama ka na ba sa taong ito?” tanong nila.
GEN.24.58	“Opo,” tugon niya. 
GEN.24.59	Kaya si Rebeca at ang kanyang yaya ay pinahintulutan nilang sumama sa alipin ni Abraham at sa mga kasama nito, 
GEN.24.60	matapos basbasan nang ganito:
GEN.24.60	“Ikaw nawa, O Rebeca ay maging ina ng marami,
GEN.24.60	at sa lunsod ng kaaway, ang iyong lahi ang magwagi.”
GEN.24.61	Nang handa na ang lahat, si Rebeca at ang mga utusan niyang babae ay sumakay sa kamelyo, at umalis kasunod ng alipin ni Abraham.
GEN.24.62	Nang panahong iyon, si Isaac ay naninirahan sa lupain ng Negeb. Minsan, napadako siya sa ilang ng Beer-lahai-roi. 
GEN.24.63	Nang magtatakip-silim, siya'y namasyal sa kaparangan at nakita niyang may dumarating na mga kamelyo. 
GEN.24.64	Natanaw ni Rebeca si Isaac kaya't bumabâ siya sa sinasakyang kamelyo, 
GEN.24.65	lumapit sa aliping sumundo sa kanya at nagtanong, “Sino ang lalaking iyan na papalapit sa atin?”
GEN.24.65	“Siya po ang aking panginoon,” sagot nito. Kumuha ng belo si Rebeca at tinakpan ang kanyang mukha.
GEN.24.66	Isinalaysay ng alipin kay Isaac ang mga ginawa niya. 
GEN.24.67	Pagkatapos, dinala ni Isaac si Rebeca sa tolda ni Sara na kanyang ina at ito'y naging asawa niya. Minahal ni Isaac si Rebeca at siyang naging kaaliwan niya sa pagkamatay ng kanyang ina.
GEN.25.1	Muling nag-asawa si Abraham at ang pangalan ng babae ay Ketura. 
GEN.25.2	Ang mga anak niya rito ay sina Zimran, Jocsan, Medan, Midian, Isbak at Suah. 
GEN.25.3	Si Jocsan ang ama nina Seba at Dedan. Kay Dedan nagmula ang mga Asurim, Letusim at Leumim. 
GEN.25.4	Ang mga anak naman ni Midian ay sina Efa, Efer, Enoc, Abida at Eldaa. Lahat sila'y buhat kay Ketura.
GEN.25.5	Kay Isaac ipinamana ni Abraham ang lahat niyang ari-arian. 
GEN.25.6	Ngunit bago siya namatay, pinagbibigyan na niya ng regalo ang mga anak niya sa ibang asawa, at pinapunta sa lupain sa dakong silangan para mapalayo kay Isaac.
GEN.25.7	Si Abraham ay nabuhay nang 175 taon. 
GEN.25.8	Matandang-matanda na siya nang mamatay. 
GEN.25.9	At inilibing siya nina Isaac at Ismael sa yungib ng Macpela sa silangan ng Mamre, sa parang na dating kay Efron, anak ni Zohar na Heteo. 
GEN.25.10	Ang
GEN.25.11	Pagkamatay ni Abraham, pinagpala ng Diyos si Isaac. Doon siya tumira sa Beer-lahai-roi.
GEN.25.12	Ito naman ang lahi ni Ismael na anak ni Abraham kay Hagar, ang taga-Egiptong alipin ni Sara. 
GEN.25.13	Si Nebayot ang panganay, sumunod sina Kedar, Abdeel at Mibsam. 
GEN.25.14	Sumunod sina Misma, Duma at Massa; 
GEN.25.15	pagkatapos ay sina Hadad, Tema, Jetur, Nafis at Kedema. 
GEN.25.16	Sila ang labindalawang anak ni Ismael na naging pinuno ng kani-kanilang lipi. Isinunod sa kanilang mga pangalan ang mga bayan at pinagkampuhan ng kani-kanilang mga lipi. 
GEN.25.17	Namatay si Ismael sa gulang na 137 taon, at siya'y inilibing. 
GEN.25.18	Ang lahi ni Ismael ay tumira sa lupain sa pagitan ng Havila at Shur, sa daang patungo sa Asiria sa silangan ng Egipto. Nakabukod sila sa ibang mga lipi ni Abraham.
GEN.25.19	Ito naman ang kasaysayan ni Isaac na anak ni Abraham. 
GEN.25.20	Apatnapung taon na si Isaac nang mapangasawa niya si Rebeca, anak na dalaga ni Bethuel, isang Arameong taga-Mesopotamia. Si Rebeca'y kapatid ni Laban, isa ring Arameo. 
GEN.25.21	Hindi magkaanak si Rebeca, kaya't nanalangin kay Yahweh si Isaac. Dininig naman siya at si Rebeca'y naglihi. 
GEN.25.22	Kambal ang kanyang dinadala at nasa tiyan pa'y nagtutulakan na ang dalawa. Kaya't nasabi ng ina, “Kung ngayon pa'y ganito na ang nangyayari sa akin, bakit pa ako mabubuhay?” Kaya't siya'y nagtanong kay Yahweh. 
GEN.25.23	Ganito
GEN.25.23	“Dalawang sanggol ang dala mo sa loob ng iyong tiyan,
GEN.25.23	larawan ng dalawang bansa na magiging magkalaban;
GEN.25.23	magiging higit na malakas ang mas bata kaysa sa nauna,
GEN.25.23	kaya maglilingkod ang mas matanda sa bata niyang kapatid.”
GEN.25.24	Dumating ang panahon at nanganak nga siya ng kambal. 
GEN.25.25	Mamula-mula ang kutis at mabalahibo ang katawan ng panganay, kaya't Esau
GEN.25.26	Nang lumabas ang pangalawa, nakahawak ito sa sakong ng kanyang kakambal, kaya Jacob
GEN.25.27	Lumaki ang mga bata. Naging mahusay na mangangaso si Esau at sa kaparangan na halos tumitira. Si Jacob naman ay tahimik at lagi sa bahay. 
GEN.25.28	Higit ang pagtingin ni Isaac kay Esau, palibhasa'y kinawiwilihan niyang kainin ang mga nahuhuli nito sa pangangaso, samantalang si Jacob naman ang mas mahal ni Rebeca.
GEN.25.29	Minsan, si Jacob ay nagluluto ng sinabawang pulang patani; siya namang pagdating ni Esau mula sa pangangaso. 
GEN.25.30	Sinabi niya, “Gutom na gutom na ako, bigyan mo naman ako niyang mapulang niluluto mo.” At dahil dito'y tinawag siyang Edom.
GEN.25.31	Sumagot si Jacob, “Ibigay mo muna sa akin ang iyong karapatan bilang panganay.”
GEN.25.32	“Payag na ako,” sabi ni Esau, “aanhin ko pa ang pagiging panganay kung mamamatay naman ako sa gutom?”
GEN.25.33	“Kung
GEN.25.34	Ibinigay naman ni Jacob kay Esau ang niluto niyang gulay at binigyan pa ito ng tinapay. Matapos kumai't uminom, umalis na agad si Esau. Iyon lamang ang halaga sa kanya ng kanyang karapatan bilang panganay.
GEN.26.1	Tulad ng nangyari nang panahon ni Abraham, nagkaroon muli ng taggutom sa lupain ng Canaan, kaya't nakarating si Isaac sa Gerar, sakop ni Abimelec na hari ng mga Filisteo. 
GEN.26.2	Nagpakita si Yahweh kay Isaac at nagsabi, “Huwag kang pupunta sa Egipto; manirahan ka sa lupaing ituturo ko sa iyo. 
GEN.26.3	Dito
GEN.26.4	Pararamihin kong gaya ng mga bituin sa kalangitan ang iyong lahi, at lahat ng lupaing ito'y ibibigay ko sa kanila. At hihilingin sa akin ng lahat ng bansa sa daigdig na sila'y pagpalain ko tulad ng ginagawa ko sa iyong lahi. 
GEN.26.5	Pagpapalain kita dahil kay Abraham, sapagkat sinunod niya ako at tinupad ang aking mga utos.”
GEN.26.6	Doon nga tumira si Isaac sa Gerar. 
GEN.26.7	Kung
GEN.26.8	Hindi pa sila nagtatagal sa lugar na iyon, nadungawan minsan ni Abimelec sina Isaac at Rebeca na naglalambingan. 
GEN.26.9	Ipinatawag agad ni Abimelec si Isaac at ang sabi'y, “Tiyak na asawa mo ang babaing iyon, hindi ba? Bakit ang sabi mo'y kapatid mo?”
GEN.26.9	“Natatakot po ako na baka ako'y patayin kung sabihin kong asawa ko siya,” tugon ni Isaac.
GEN.26.10	“Bakit mo ito ginawa sa amin?” wika ni Abimelec. “Kung siya'y ginalaw ng isa sa mga tauhan ko, isinubo mo pa kami sa kapahamakan!” 
GEN.26.11	At sinabi ni Abimelec sa kanyang nasasakupan, “Papatayin ang sinumang umapi sa mag-asawang ito.”
GEN.26.12	Nang taóng iyon, si Isaac ay nagsaka sa lupain ng Gerar at makasandaang ibayo ang kanyang inani kaysa kanyang itinanim. Pinagpala siya ni Yahweh. 
GEN.26.13	Patuloy na lumago ang kanyang kabuhayan, at siya'y naging napakayaman. 
GEN.26.14	Nainggit sa kanya ang mga Filisteo sapagkat marami siyang alipin at mga kawan ng tupa at baka. 
GEN.26.15	Kaya't tinabunan nila ang mga balong ginawa ng mga alipin ni Abraham noong ito'y nabubuhay pa.
GEN.26.16	Sinabi ni Abimelec, “Umalis ka na, Isaac; mas makapangyarihan ka pa ngayon kaysa amin.” 
GEN.26.17	Kaya, umalis si Isaac at nanirahan muna sa libis ng Gerar. 
GEN.26.18	Ipinahukay niyang muli ang mga balon ni Abraham na tinabunan ng mga Filisteo. At ang mga balong iyon ay tinawag ni Isaac sa dating tawag dito ng kanyang ama.
GEN.26.19	Ang mga tauhan ni Isaac ay nakahukay ng isang malakas na bukal sa libis, 
GEN.26.20	ngunit nakipag-away ang mga pastol na taga-Gerar at inangkin ang bukal ng tubig na iyon. Kaya't ang balong iyon ay tinawag ni Isaac na “Balon ng Away” sapagkat sila'y inaway ng mga tagaroon.
GEN.26.21	Nang makahukay muli sila, nakipagtalo na naman sa kanila ang mga taga-Gerar, kaya't tinawag naman itong “Balon ng Pagtatalo.” 
GEN.26.22	Lumayo sila roon at humukay ng ibang balon. Wala nang umangkin nito, kaya't tinawag niyang “Balon ng Kalayaan.” Ang sabi niya, “Uunlad tayo sa lupaing ito, sapagkat binigyan tayo ni Yahweh ng kalayaang mamuhay sa lupaing ito.”
GEN.26.23	Umalis si Isaac at nagpunta sa Beer-seba. 
GEN.26.24	Nang gabing iyon, nagpakita sa kanya si Yahweh, at ang sabi,
GEN.26.24	“Ako ang Diyos ng iyong amang si Abraham,
GEN.26.24	huwag kang matakot, sapagkat sasamahan kita;
GEN.26.24	pagpapalain kita, at pararamihin ko ang iyong lahi
GEN.26.24	alang-alang kay Abraham na tapat kong alipin.”
GEN.26.25	Nagtayo si Isaac ng altar doon at sinamba si Yahweh. Tumigil sila sa lugar na iyon at humukay muli ng balon ang kanyang mga alipin.
GEN.26.26	Dumating
GEN.26.27	Tinanong siya ni Isaac, “Bakit mo ako dinalaw? Hindi ba't galit ka sa akin at ako'y pinaalis mo sa iyong bayan?”
GEN.26.28	Ito ang sagot nila: “Naniniwala na kami ngayon na kasama mo ang Diyos; nais naming makipagkasundo sa iyo. Ipangako mo sanang 
GEN.26.29	hindi mo kami pipinsalain, sapagkat hindi ka rin naman namin pininsala. Pinakitaan ka namin ng mabuti at hindi ka ginambala sa iyong pag-alis. Ikaw ngayon ang pinagpapala ni Yahweh.” 
GEN.26.30	Naghanda si Isaac ng malaking salu-salo at sila'y nagkainan at nag-inuman. 
GEN.26.31	Kinaumagahan, sila'y nagsumpaang magiging magkaibigan, at saka mapayapang naghiwalay.
GEN.26.32	Nang araw ring iyon, ibinalita ng mga alipin ni Isaac na sila'y nakahukay na ng tubig. 
GEN.26.33	Tinawag niyang “Balon ng Panata” ang balong iyon. Kaya, hanggang ngayon ay Beer-seba
GEN.26.34	Apatnapung taon si Esau nang siya'y mag-asawa; si Judit na anak ng Heteong si Beeri ang napangasawa niya. Naging asawa rin niya si Basemat, anak naman ni Elon, isa ring Heteo. 
GEN.26.35	Ang dalawang ito ang naging dahilan ng malaking sama ng loob nina Isaac at Rebeca.
GEN.27.1	Si Isaac ay matanda na at halos hindi na makakita, kaya ipinatawag niya si Esau, ang anak niyang panganay. 
GEN.27.2	Sinabi niya rito, “Anak, matanda na ako at malapit nang mamatay. 
GEN.27.3	Pumunta ka sa parang at mangaso. Ihuli mo ako ng hayop 
GEN.27.4	at lutuin ang putahing gusto ko. Pagkakain ko'y igagawad ko sa iyo ang aking basbas bago ako mamatay.”
GEN.27.5	Nakikinig pala si Rebeca samantalang kinakausap ni Isaac si Esau. Kaya't nang umalis ito upang sundin ang bilin ng ama, 
GEN.27.6	tinawag ni Rebeca si Jacob at sinabi, “Narinig ko ang sinabi ng iyong ama kay Esau: 
GEN.27.7	‘Ihuli mo ako ng hayop at lutuin mo para sa akin. Pagkakain ko, babasbasan kita sa harapan ni Yahweh bago ako mamatay.’ 
GEN.27.8	Kaya't ganito ang gawin mo, anak: 
GEN.27.9	Kumuha ka agad ng dalawang kambing na mataba at iluluto ko para sa iyong ama. Ipaghahanda ko siya ng pagkaing gustung-gusto niya, 
GEN.27.10	at ipakain mo sa kanya upang ikaw ang mabigyan ng basbas bago siya mamatay!”
GEN.27.11	Ngunit sumagot si Jacob sa kanyang ina, “Balbon po si Esau, samantalang ako'y hindi. 
GEN.27.12	Malalaman ng aking ama na nililinlang ko siya kapag ako'y kanyang nahipo; susumpain niya ako sa halip na basbasan.”
GEN.27.13	Sumagot ang ina, “Hayaan mong sa akin tumalab ang anumang sumpa niya. Basta't sumunod ka, anak; ako na ang bahala. Kumuha ka na ng kambing.” 
GEN.27.14	Kumuha nga si Jacob ng kambing, at iniluto ng kanyang ina ang putahing gustung-gusto ng kanyang ama. 
GEN.27.15	Binihisan ni Rebeca si Jacob ng pinakamagarang damit ni Esau na nakatabi sa bahay. 
GEN.27.16	Ang mga braso at leeg ni Jacob na walang balahibo'y binalutan niya ng balat ng kambing. 
GEN.27.17	Pagkatapos, ipinadala sa anak ang putahe na may kasama pang tinapay na niluto rin niya.
GEN.27.18	Lumapit si Jacob kay Isaac. “Ama!” sabi niya.
GEN.27.18	“Sino ka ba?” tanong nito.
GEN.27.19	“Ako po si Esau,” sagot ni Jacob. “Nagawa ko na po ang inyong iniuutos sa akin. Narito na po ang gusto ninyong pagkain; bumangon na kayo at kainin na ninyo ito nang ako'y mabasbasan na ninyo pagkatapos.”
GEN.27.20	“Napakadali mo naman yatang nakahuli?” tanong ni Isaac.
GEN.27.20	“Tinulungan po ako ni Yahweh na inyong Diyos,” sagot ni Jacob.
GEN.27.21	Nagtanong muli si Isaac, “Ikaw ba talaga si Esau? Lumapit ka nga rito nang matiyak ko kung ikaw nga.” 
GEN.27.22	Lumapit naman si Jacob at siya'y hinawakan ng ama. “Kay Jacob ang tinig ngunit ang bisig ay parang kay Esau!” wika ni Isaac. 
GEN.27.23	Hindi niya nakilala si Jacob, sapagkat ang mga bisig nito'y mabalahibo ring tulad ng kay Esau. Babasbasan na sana ni Isaac si Jacob, 
GEN.27.24	ngunit muli pang nagtanong, “Ikaw nga ba si Esau?”
GEN.27.24	“Ako nga po,” tugon ni Jacob.
GEN.27.25	Kaya't sinabi ni Isaac, “Kung gayon, akin na ang pagkain at pagkakain ko'y babasbasan kita.” Iniabot ni Jacob ang pagkain at binigyan din niya ng alak. 
GEN.27.26	“Halika anak, at hagkan mo ako,” sabi ng ama. 
GEN.27.27	Nang
GEN.27.27	“Ang masamyong halimuyak ng anak ko,
GEN.27.27	ang katulad ay samyo ng kabukirang si Yahweh ang nagbasbas;
GEN.27.28	Bigyan ka nawa ng Diyos, ng hamog buhat sa itaas,
GEN.27.28	upang tumaba ang lupa mo't ikaw nama'y makaranas
GEN.27.28	ng saganang pag-aani at katas ng ubas.
GEN.27.29	Hayaan
GEN.27.29	bilang pinuno, ikaw ay kilalanin.
GEN.27.29	Igagalang ka ng mga kapatid mo,
GEN.27.29	mga anak ng iyong ina ay yuyuko sa iyo.
GEN.27.29	Sila nawang sumusumpa sa iyo ay sumpain din,
GEN.27.29	ngunit ang nagpapala sa iyo ay pagpalain.”
GEN.27.30	Matapos igawad ni Isaac ang kanyang basbas, umalis si Jacob. Siya namang pagdating ni Esau na may dalang usa. 
GEN.27.31	Niluto niya ito nang masarap at dinala sa ama. Sinabi niya, “Maupo kayo, ama, at kainin ninyo ang dala kong pagkain upang ako'y inyong mabasbasan.”
GEN.27.32	“Sino ka ba?” tanong ni Isaac.
GEN.27.32	“Si Esau po, ang inyong panganay,” tugon naman niya.
GEN.27.33	Nanginig ang buong katawan ni Isaac. Sabi niya, “Kung gayo'y sino ang naunang nagdala sa akin ng pagkain? Katatapos ko lang kumain nang ika'y dumating. Binasbasan ko na siya at tataglayin niya iyon magpakailanman.”
GEN.27.34	Humagulgol ng iyak si Esau nang marinig ito at nagmamakaawa, “Basbasan din po ninyo ako, ama!”
GEN.27.35	Ngunit sinabi ni Isaac, “Nilinlang ako ng iyong kapatid kaya nakuha niya ang basbas ko para sa iyo.”
GEN.27.36	Nagsalita
GEN.27.37	“Wala na akong magagawa, anak,” sagot ni Isaac. “Siya'y panginoon mo na ngayon; ginawa ko nang alipin niya ang kanyang mga kamag-anak. Ibinigay ko na sa kanya ang kasaganaan sa pagkain at inumin, kaya wala nang nalalabi para sa iyo.”
GEN.27.38	Ngunit
GEN.27.39	Sinabi
GEN.27.39	“Ang magiging tahanan mo'y malayo sa kasaganaan,
GEN.27.39	pati hamog mula sa langit, ika'y pagkakaitan.
GEN.27.40	Tabak
GEN.27.40	kapatid mo'y iyong paglilingkuran;
GEN.27.40	upang kalayaa'y iyong makamit,
GEN.27.40	kailangang ikaw ay maghimagsik.”
GEN.27.41	Namuhi si Esau kay Jacob sapagkat ito ang binasbasan ng kanyang ama. Kaya't ganito ang nabuo sa kanyang isipan: “Pagkamatay ng aking ama, at ito'y hindi na magtatagal, papatayin ko si Jacob!”
GEN.27.42	May
GEN.27.43	Makinig ka sa akin, anak. Umalis ka kaagad! Pumunta ka sa Haran at doon ka muna tumira sa aking kapatid na si Laban. 
GEN.27.44	Doon ka muna hanggang hindi humuhupa ang galit ng iyong kapatid; 
GEN.27.45	malilimutan din niya ang ginawa mo sa kanya. Hayaan mo't pababalitaan kita kung maaari ka nang bumalik. Masakit man sa loob ko ang malayo ka sa akin, lalong hindi ko matitiis ang kayo'y parehong mawala sa akin.”
GEN.27.46	Sinabi ni Rebeca kay Isaac, “Hirap na hirap na ang loob ko sa mga dayuhang asawa ni Esau. Kapag Hetea ring tulad nila ang napangasawa ni Jacob, mabuti pang mamatay na ako.”
GEN.28.1	Kaya tinawag ni Isaac si Jacob at matapos basbasan ay pinagbilinan, “Huwag kang mag-aasawa ng Cananea. 
GEN.28.2	Pumunta ka sa Mesopotamia, sa bayan ng iyong Lolo Bethuel. Doon ka pumili ng mapapangasawa sa mga pinsan mo, sa mga anak ng iyong Tiyo Laban. 
GEN.28.3	Sa iyong pag-aasawa, pagpalain ka ng Makapangyarihang Diyos, at nawa'y magkaroon ka ng maraming anak upang ikaw ay maging ama ng maraming bansa. 
GEN.28.4	Pagpalain
