GEN.1.1	Nang pasimula, nilikha ng Dios ang langit at ang lupa. 
2SA.19.40	Nang makatawid na si David, pumunta siya sa Gilgal kasama si Kimham at ang buong hukbo ng Juda at kalahati ng hukbo ng Israel.
2SA.19.41	Nagpunta ang buong hukbo ng Israel sa hari at nagreklamo kung bakit ang mga kadugo nilang taga-Juda ang nanguna sa pagpapatawid sa kanya at sa sambahayan niya, at sa lahat ng tauhan niya. 
2SA.19.42	Sumagot ang mga taga-Juda sa mga sundalo ng Israel, “Ginawa namin ito dahil ang hari ay malapit naming kamag-anak. Bakit kayo nagagalit? Nakatanggap ba kami ng pagkain o anumang regalo galing sa kanya? 
2SA.19.43	Sumagot ang mga taga-Israel, “Sampu kaming lahi ng Israel kaya sampung beses ang karapatan namin sa hari kaysa sa inyo. Bakit ang baba ng tingin nʼyo sa amin? Hindi baʼt kami ang unang nagsabi na pabalikin natin ang ating hari?” Pero ayaw magpaawat ng mga taga-Juda, at masasakit na salita ang isinasagot nila sa mga taga-Israel.
2SA.20.1	Ngayon, may isang tao mula sa lahi ni Benjamin na laging naghahanap ng gulo. Siya ay si Sheba na anak ni Bicri. Pinatunog niya ang trumpeta at pagkatapos ay sumigaw, “Mga taga-Israel, wala tayong pakialam kay David na anak ni Jesse! Umuwi na tayong lahat!” 
2SA.20.2	Kaya iniwan ng mga taga-Israel si David at sumunod kay Sheba na anak ni Bicri. Pero nagpaiwan ang mga taga-Juda sa hari nila at sinamahan siya mula 
2SA.20.3	Nang makabalik na si David sa palasyo niya sa Jerusalem, iniutos niyang dalhin sa isang bahay ang sampung asawa niyang iniwan para asikasuhin at bantayan ang palasyo. Ibinigay niya lahat ng pangangailangan nila pero hindi na niya sinipingan ang mga ito. Doon sila nanirahan na parang mga biyuda hanggang sa mamatay.
2SA.20.4	Pagkatapos, sinabi ng hari kay Amasa, “Tipunin mo ang mga sundalo ng Juda at pumunta kayo sa akin sa ikatlong araw mula ngayon.” 
2SA.20.5	Kaya lumakad si Amasa at tinipon ang mga sundalo ng Juda, pero hindi siya nakabalik sa itinakdang araw ng hari. 
2SA.20.6	Kaya sinabi ng hari kay Abishai, “Mas malaking pinsala ang gagawin sa atin ni Sheba kaysa sa ginawa ni Absalom. Kaya ngayon, isama mo ang mga tauhan ko at habulin nʼyo siya bago pa niya maagaw ang mga napapaderang lungsod at makalayo siya sa atin.”
2SA.20.7	Kaya umalis si Abishai sa Jerusalem para habulin si Sheba na anak ni Bicri. Isinama niya si Joab at ang mga tauhan nito, ang mga 
2SA.20.8	Nang naroon na sila sa malaking bato sa Gibeon, nakasalubong nila si Amasa. Nakabihis pandigma si Joab at nakasuksok ang espada sa sinturon niya. Habang lumalapit siya kay Amasa, lihim niyang hinugot ang espada niya.
2SA.20.9	Sinabi niya kay Amasa, “Kumusta ka, kaibigan?” Pagkatapos, hinawakan niya ng kanan niyang kamay ang balbas ni Amasa para halikan siya. 
2SA.20.10	Pero hindi napansin ni Amasa ang espada sa kaliwang kamay ni Joab. Sinaksak siya ni Joab sa tiyan at lumuwa ang bituka niya sa lupa. Namatay siya agad kaya hindi na siya muling sinaksak ni Joab. Nagpatuloy sa paghabol kay Sheba ang magkapatid na Joab at Abishai. 
2SA.20.11	Tumayo sa tabi ni Amasa ang isa sa mga tauhan ni Joab at sinabi 
2SA.20.12	Nakahandusay sa gitna ng daan ang bangkay ni Amasa na naliligo sa sarili niyang dugo. Sinumang dumadaan doon ay napapahinto at tinitingnan ang bangkay. Nang mapansin ito ng mga tauhan ni Joab, kinaladkad nila ang bangkay ni Amasa mula sa daan papunta sa bukid, at tinakpan ito ng tela. 
2SA.20.13	Nang makuha na ang bangkay ni Amasa sa daan, nagpatuloy ang lahat sa pagsunod kay Joab sa paghabol kay Sheba.
2SA.20.14	Samantala, pumunta si Sheba sa lahat ng lahi ng Israel para tipunin ang lahat ng kamag-anak niya.
2SA.20.15	 Joab at ng mga tauhan niya, nagpunta sila sa Abel Bet Maaca at pinalibutan ito. Gumawa sila ng mga tumpok ng lupa sa gilid ng pader para makaakyat sila, at unti-unti nilang sinira ang pader.
2SA.20.16	May isang matalinong babae sa loob ng lungsod na sumigaw 
2SA.20.17	Kaya pumunta si Joab sa kanya, at nagtanong ang babae, “Kayo ba si Joab?” Sumagot si Joab, “Oo, ako nga.” Sinabi ng babae, “Makinig po kayo sa sasabihin ko sa inyo.” Sumagot si Joab, “Sige, makikinig ako.” 
2SA.20.18	Sinabi ng babae, “May isang kasabihan noon na nagsasabi, ‘Kung gusto nʼyong malutas ang problema nʼyo, humingi kayo ng payo sa lungsod ng Abel.’ 
2SA.20.19	Isa po ako sa mga umaasang magpapatuloy ang kapayapaan sa Israel. Pero kayo, bakit pinipilit nʼyong ibagsak ang isa sa mga nangungunang lungsod
2SA.20.20	Sumagot si Joab, “Hindi ko gustong ibagsak ang lungsod nʼyo! 
2SA.20.21	Hindi iyan ang pakay namin. Sumalakay kami dahil kay Sheba na anak ni Bicri na galing sa kaburulan ng Efraim. Nagrebelde siya kay Haring David. Ibigay nʼyo siya sa amin at aalis kami sa lungsod ninyo.” Sinabi ng babae, “Ihahagis namin sa inyo ang ulo niya mula sa pader.”
2SA.20.22	Kaya pinuntahan ng babae ang mga nakatira sa lungsod at sinabi niya sa kanila ang plano niya. Pinugutan nila ng ulo si Sheba at inihagis nila ito kay Joab. Pagkatapos, pinatunog ni Joab ang trumpeta at umalis ang mga tauhan niya sa lungsod at umuwi. Si Joab ay bumalik sa hari, sa Jerusalem.
2SA.20.23	Si Joab ang kumander ng buong hukbo ng Israel. Si Benaya naman na anak ni Jehoyada ang pinuno ng 
2SA.20.24	Si Adoniram ang namumuno sa mga alipin na sapilitang pinagtatrabaho. Si Jehoshafat na anak ni Ahilud ang tagapag-ingat ng mga kasulatan sa kaharian. 
2SA.20.25	Si Sheva ang kalihim ng hari. Sina Zadok at Abiatar ang 
2SA.20.26	Si Ira na taga-Jair ang personal na pari ni David.
2SA.21.1	Noong panahon ng paghahari ni David, nagkaroon ng taggutom sa loob ng tatlong taon. Kaya nanalangin si David sa 
2SA.21.2	Ang mga Gibeonita ay hindi 
2SA.21.2	Ipinatawag ni David ang mga Gibeonita, 
2SA.21.3	at tinanong, “Ano ang maaari kong gawin sa inyo para mabayaran ang kasalanang ginawa ni Saul sa inyo, at para pagpalain ninyo ang mamamayan ng 
2SA.21.4	Sumagot ang mga Gibeonita, “Hindi po mababayaran ng pilak o ginto ang galit namin kay Saul at sa pamilya niya. At ayaw din naming pumatay ng sinumang Israelita bilang paghihiganti 
2SA.21.5	Sumagot sila, “Tinangka po kaming patayin ni Saul para walang matira sa amin sa Israel. 
2SA.21.6	Kaya ibigay nʼyo sa amin ang pitong lalaki na mula sa angkan niya, dahil papatayin namin sila at pababayaan ang kanilang bangkay sa lugar na malapit sa lugar kung saan sumasamba sa 
2SA.21.7	Hindi ibinigay ni David sa kanila si Mefiboset na anak ni Jonatan at apo ni Saul, dahil sa sumpaan nila ni Jonatan sa presensya ng 
2SA.21.8	Ang ibinigay ni David ay ang dalawang anak ni Saul na sina Armoni at Mefiboset. Ang ina nila ay si Rizpa na anak ni Aya. Ibinigay din ni David ang limang anak na lalaki ni Merab. Anak ni Saul si Merab at asawa ni Adriel na anak ni Barzilai na taga-Mehola. 
2SA.21.9	Ibinigay sila ni David sa mga Gibeonita, at pinagpapatay silang pito roon sa burol na malapit sa lugar kung saan sumasamba sa 
2SA.21.10	Si Rizpa na anak ni Aya ay kumuha ng sako at inilatag ito sa isang malaking bato para gawin niyang higaan. Binantayan niya ang mga bangkay upang hindi kainin ng mga ibon kapag araw at para hindi kainin ng mababangis na hayop kapag gabi. Nanatili siya roon simula nang mag-umpisa ang anihan hanggang sa magtag-ulan.
2SA.21.11	Nang malaman ni David ang ginawa ni Rizpa na asawa ni Saul, 
2SA.21.12	nagpunta siya sa mga naninirahan sa Jabes Gilead at hiningi ang mga buto ni Saul at ng anak nitong si Jonatan. (Nang mapatay sina Saul at Jonatan sa pakikipaglaban nila sa mga Filisteo sa Gilboa, ibinitin ng mga Filisteo ang mga bangkay nila sa plasa ng Bet Shan, at lihim na kinuha ng mga taga-Jabes Gilead ang mga bangkay nila.) 
2SA.21.13	Dinala ni David ang mga buto nina Saul at Jonatan, pati na rin ang mga buto ng pitong pinagpapatay ng mga Gibeonita. 
2SA.21.14	Ipinalibing niya ito sa mga tauhan niya sa pinaglibingan ng ama ni Saul na si Kish, sa bayan ng Zela sa Benjamin. Natupad ang lahat ng iniutos ni David. Pagkatapos nito, sinagot ng 
2SA.21.15	Dumating ang panahon na muling naglaban ang mga Filisteo at mga Israelita. At nang nakikipaglaban na si David at ang mga tauhan niya, napagod siya. 
2SA.21.16	Si Ishbi Benob 
2SA.21.17	Pero dumating si Abishai na anak ni Zeruya para iligtas si David, at pinatay niya ang Filisteo. Pagkatapos nito, sinabi ng mga tauhan ni David sa kanya, “Hindi na po kami papayag na muli kayong sumama sa amin sa labanan. Tulad kayo ng ilaw sa Israel at ayaw naming mawala kayo.”
2SA.21.18	Nang sumunod na mga panahon, muling naglaban ang mga Filisteo at mga Israelita sa Gob. Sa labanang ito, pinatay ni Sibecai na taga-Husha si Saf, na isa sa mga angkan ng Rafa. 
2SA.21.19	At sa isa pa nilang labanan sa Gob, pinatay ni Elhanan na anak ni Jaare Origem, na taga-Betlehem, si Goliat na taga-Gat. Ang sibat ni Goliat ay mabigat at makapal.
2SA.21.20	Muli pang naglaban ang mga Filisteo at mga Israelita, nangyari ito sa Gat. Sa labanang ito, may isang tao na sobrang laki, may tig-aanim na daliri sa mga kamay at paa niya. Isa rin siya sa mga angkan ng mga Rafa. 
2SA.21.21	Nang kutyain niya ang mga Israelita, pinatay siya ni Jonatan na anak ng kapatid ni David na si Shimea.
2SA.21.22	Ang apat na Filisteong ito ay mula sa angkan ng Rafa na taga-Gat. Pinatay sila ni David at ng mga tauhan niya.
2SA.22.1	Umawit si David sa 
2SA.22.2	Ito ang awit niya:
2SA.22.2	“
2SA.22.2	Kayo ang aking Tagapagligtas na nag-iingat sa akin.
2SA.22.2	Bilang 
2SA.22.3	Sa inyo ako tumatakbo at kumakanlong.
2SA.22.3	Inililigtas nʼyo ako sa mararahas na tao.
2SA.22.4	Karapat-dapat kayong purihin 
2SA.22.5	Tulad ng mga alon, ang kamatayan ay nakapalibot sa akin.
2SA.22.5	Ang mga pinsalaʼy tulad ng malakas na agos na tumatangay sa akin.
2SA.22.6	Ang kamatayaʼy parang lubid na nakapulupot sa akin at parang bitag sa aking daraanan.
2SA.22.7	Sa aking kahirapan, humingi ako ng tulong sa inyo, 
2SA.22.7	at pinakinggan nʼyo ang panalangin ko roon sa inyong templo.
2SA.22.8	Lumindol, at ang pundasyon ng kalangitan ay nayanig,
2SA.22.8	dahil nagalit kayo, 
2SA.22.9	Umusok din ang inyong ilong,
2SA.22.9	at ang inyong bibig ay bumuga ng apoy at mga nagliliyab na baga.
2SA.22.10	Binuksan nʼyo ang langit at kayoʼy bumaba,
2SA.22.10	at tumuntong sa maitim at makapal na ulap.
2SA.22.11	Kayoʼy sumakay sa isang kerubin,
2SA.22.11	at mabilis na lumipad na dala ng hangin.
2SA.22.12	Pinalibutan mo ang iyong sarili ng kadiliman, ng madilim at makapal na ulap.
2SA.22.13	Kumidlat mula sa inyong kinaroroonan,
2SA.22.13	at mula rooʼy bumagsak ang mga yelo at nagliliyab na baga.
2SA.22.14	Ang tinig nʼyo, Kataas-taasang Dios na aming 
2SA.22.15	Pinana nʼyo ng kidlat ang inyong mga kalaban
2SA.22.15	at nataranta silang nagsitakas.
2SA.22.16	Sa inyong tinig at matinding galit, 
2SA.22.16	pati na rin ang pundasyon ng mundo ay nalantad.
2SA.22.17	At mula sa langit akoʼy inabot nʼyo
2SA.22.17	at inahon mula sa malalim na tubig.
2SA.22.18	Iniligtas nʼyo ako sa kapangyarihan ng aking mga kalaban na hindi ko kayang labanan.
2SA.22.19	Sinalakay nila ako sa oras ng aking kagipitan.
2SA.22.19	Ngunit sinaklolohan nʼyo ako, 
2SA.22.20	Dinala nʼyo ako sa lugar na walang kapahamakan dahil nalulugod kayo sa akin.
2SA.22.21	Pinagpala nʼyo ako dahil akoʼy namumuhay sa katuwiran.
2SA.22.21	Sa kalinisan ng aking kamay akoʼy inyong ginantimpalaan.
2SA.22.22	Dahil sinusunod ko ang inyong kalooban,
2SA.22.22	at hindi ko kayo tinalikuran, 
2SA.22.23	Tinutupad ko ang lahat ng inyong utos.
2SA.22.23	Ang inyong mga tuntunin ay hindi ko sinusuway.
2SA.22.24	Alam nʼyong namumuhay ako ng walang kapintasan,
2SA.22.24	at iniiwasan ko ang kasamaan.
2SA.22.25	Kaya naman akoʼy inyong ginagantimpalaan,
2SA.22.25	dahil nakita nʼyong wala akong ginagawang kasalanan.
2SA.22.26	Tapat kayo sa mga tapat sa inyo,
2SA.22.26	at mabuti kayo sa mabubuting tao.
2SA.22.27	Tapat kayo sa mga taong totoo sa inyo,
2SA.22.27	ngunit mas tuso kayo sa mga taong masama.
2SA.22.28	Inililigtas nʼyo ang mga mapagpakumbaba,
2SA.22.28	ngunit ibinababa nʼyo ang mga mapagmataas.
2SA.22.29	Sa kadiliman kayo ang aking ilaw.
2SA.22.30	Sa tulong nʼyo, kaya kong salakayin ang grupo ng mga sundalo,
2SA.22.30	at kaya kong akyatin ang pader ng kanilang tanggulan.
2SA.22.31	Ang pamamaraan nʼyo, O Dios ay walang kamalian.
2SA.22.31	Ang inyong mga salita ay maaasahan.
2SA.22.31	Kayoʼy katulad ng isang kalasag sa mga naghahanap ng kaligtasan sa inyo.
2SA.22.32	Kayo lang, 
2SA.22.32	At kayo lang talaga ang aming batong kanlungan.
2SA.22.33	Kayo ang nagbibigay sa akin ng kalakasan,
2SA.22.33	at nagbabantay sa aking daraanan.
2SA.22.34	Pinatatatag nʼyo ang aking paa tulad ng paa ng usa,
2SA.22.34	upang maging ligtas ang pag-akyat ko sa matataas na lugar.
2SA.22.35	Sinasanay nʼyo ako sa pakikipaglaban, tulad ng pagbanat ng matibay na pana.
2SA.22.36	Ang katulad nʼyo ay kalasag na nag-iingat sa akin,
2SA.22.36	at sa pamamagitan ng inyong tulong ay naging kilala ako.
2SA.22.37	Pinaluwang nʼyo ang aking dadaanan,
2SA.22.37	kaya hindi ako natitisod.
2SA.22.38	Hinabol ko ang aking mga kalaban at inabutan ko sila,
2SA.22.38	at hindi ako tumigil hanggang sa naubos ko sila.
2SA.22.39	Hinampas ko sila hanggang sa magsibagsak,
2SA.22.39	at hindi na makabangon sa aking paanan.
2SA.22.40	Binigyan nʼyo ako ng lakas sa pakikipaglaban,
2SA.22.40	kaya natalo ko ang aking mga kalaban.
2SA.22.41	Dahil sa inyo, umatras ang aking mga kaaway na may galit sa akin,
2SA.22.41	at silaʼy pinatay ko.
2SA.22.42	Humingi sila ng tulong, ngunit walang sinumang tumulong.
2SA.22.43	Dinurog ko sila hanggang sa naging parang alikabok na lamang na inililipad ng hangin,
2SA.22.43	at tinatapak-tapakan na parang putik sa kalsada.
2SA.22.44	Iniligtas nʼyo ako 
2SA.22.44	Ginawa nʼyo akong pinuno ng mga bansa.
2SA.22.44	Ang mga taga-ibang lugar ay sumusunod sa akin.
2SA.22.45	Yumuyukod sila sa akin nang may takot at sinusunod ang aking mga utos.
2SA.22.46	Nawawalan sila ng lakas ng loob,
2SA.22.46	kaya lumalabas sila sa kanilang pinagtataguan na nanginginig sa takot.
2SA.22.47	Buhay kayo, 
2SA.22.47	Karapat-dapat kayong purihin at dakilain,
2SA.22.47	O Dios na aking batong 
2SA.22.48	Pinaghigantihan nʼyo ang aking mga kaaway,
2SA.22.48	at ipinasailalim mo ang mga bansa sa aking kapangyarihan.
2SA.22.49	Inilalayo nʼyo ako sa mararahas kong kalaban,
2SA.22.49	at pinagtagumpay nʼyo ako sa kanila.
2SA.22.50	Kaya pararangalan ko kayo sa mga bansa, O 
2SA.22.50	Aawitan ko kayo ng mga papuri.
2SA.22.51	Sa hinirang nʼyong hari ay nagbigay kayo ng maraming tagumpay.
2SA.22.51	Ang inyong pagmamahal ay ipinadama nʼyo kay David at sa kanyang lahi magpakailanman.”
2SA.23.1	Pinatanyag ng Kataas-taasang Dios si David na anak ni Jesse. Pinili siya ng Dios ni Jacob para maging hari, at sumulat siya ng magagandang awit ng Israel. Ito ang mga huling pangungusap niya:
2SA.23.2	“Nagsalita ang Espiritu ng 
2SA.23.2	ang mga mensahe niyaʼy nasa aking mga labi.
2SA.23.3	Sinabi sa akin ng Dios, na bato 
2SA.23.3	‘Ang namumuno nang matuwid at may takot sa Dios,
2SA.23.4	tulad ng liwanag ng araw na sumisikat sa umaga na walang maitim na ulap,
2SA.23.4	na nagpapakinang sa mga damo pagkatapos ng ulan!’
2SA.23.5	Ganyan ang pamilya ko sa paningin ng Dios,
2SA.23.5	at gumawa siya ng kasunduang walang hanggan sa akin.
2SA.23.5	Maayos at detalyado ang kasunduang ito at hindi na mapapalitan.
2SA.23.5	Kaya nakatitiyak ako na palagi akong ililigtas ng Dios
2SA.23.5	at ibibigay niya sa akin ang lahat ng aking mga ninanais.
2SA.23.6+2SA.23.7	Ngunit ang masasamang taoʼy gaya ng matitinik na mga halaman na itinatapon.
2SA.23.6+2SA.23.7	Hindi sila pwedeng kunin sa pamamagitan lang ng kamay, kailangan pa itong gamitan ng kagamitang gawa sa bakal o kahoy,
2SA.23.6+2SA.23.7	at susunugin sila sa lugar na kinaroroonan nila.”
2SA.23.8	Ito ang mga matatapang na tauhan ni David:
2SA.23.8	Si Josheb Bashebet na taga-Takemon ang nangunguna sa tatlo 
2SA.23.9	Ang sumunod sa kanya ay si Eleazar na anak ni Dodai na angkan ni Ahoa, na isa sa tatlo 
2SA.23.10	pero nagpaiwan siya at pinagpapatay niya ang mga Filisteo hanggang sa mapagod na ang kamay niya at manigas sa pagkahawak sa espada. Pinagtagumpay sila ng 
2SA.23.11	Ang sumunod ay si Shama na anak ni Agee na taga-Harar. Isang araw, nagtipon ang mga Filisteo sa Lehi, at sinalakay nila ang mga Israelita sa taniman ng mga gisantes. Tumakas ang mga Israelita, 
2SA.23.12	pero nagpaiwan si Shama sa gitna ng taniman para protektahan ito, at pinatay niya ang mga Filisteo. Pinagtagumpay sila ng 
2SA.23.13	Nang panahon ng tag-ani, pumunta kay David ang tatlo niyang tauhan doon sa kweba ng Adulam. Ang tatlong taong itoʼy kasama sa 30 matatapang na tauhan 
2SA.23.14	at naagaw nila ang Betlehem. Habang naroon si David sa isang matatag na kublihan, 
2SA.23.15	nauhaw siya. Sinabi niya, “Mabuti sana kung may kukuha sa akin ng tubig na maiinom doon sa balon malapit sa pintuang bayan ng Betlehem.” 
2SA.23.16	Kaya palihim na pumasok ang tatlong matatapang na iyon sa kampo ng mga Filisteo, malapit sa pintuang bayan ng Betlehem. Kumuha sila ng tubig sa balon at dinala ito kay David. Pero hindi ito ininom ni David, sa halip ay ibinuhos niya ito bilang handog sa 
2SA.23.17	Sinabi niya, “
2SA.23.17	Iyon ang ginawa ng tatlong matatapang na tauhan ni David.
2SA.23.18	Si Abishai na kapatid ni Joab, na anak ni Zeruya ang pinuno ng 30
2SA.23.19	At dahil sa siya ang pinakatanyag sa 30, naging pinuno nila siya pero hindi siya kabilang sa tatlong matatapang.
2SA.23.20	May isa pang matapang na tao na ang pangalan ay Benaya. Taga-Kabzeel siya, at ang ama niya ay si Jehoyada. Marami siyang kabayanihang ginawa, kabilang na rito ang pagpatay sa dalawang pinakamahuhusay na sundalo ng Moab. Minsan, kahit umuulan ng yelo, bumaba siya sa pinagtataguan ng leon at pinatay ito. 
2SA.23.21	 pinatay niya ang isang napakalaking Egipcio na may armas na sibat, habang isang pamalo lang ang armas niya. Inagaw niya ang sibat sa Egipcio at ito rin ang ipinampatay niya rito. 
2SA.23.22	Ito ang mga ginawa ni Benaya na anak ni Jehoyada. Naging tanyag din siya gaya ng tatlong matatapang na tao, 
2SA.23.23	pero hindi siya kabilang sa kanila. At dahil siya ang pinakatanyag sa kanyang 30 kasama, ginawa siyang pinuno ni David ng kanyang mga personal na tagapagbantay.
2SA.23.24	Ito ang iba pang miyembro ng 30 
2SA.23.24	si Asahel na kapatid ni Joab;
2SA.23.24	si Elhanan na anak ni Dodo na taga-Betlehem;
2SA.23.25	sina Shama at Elika na taga-Harod;
2SA.23.26	si Helez na taga-Palti;
2SA.23.26	si Ira na anak ni Ikkes na taga-Tekoa;
2SA.23.27	si Abiezer na taga-Anatot;
2SA.23.27	si Mebunai
2SA.23.28	si Zalmon na taga-Ahoa;
2SA.23.28	si Maharai na taga-Netofa;
2SA.23.29	si Heleb
2SA.23.29	si Itai na anak ni Ribai na taga-Gibea, na sakop ng Benjamin;
2SA.23.30	si Benaya na taga-Piraton;
2SA.23.30	si Hidai
2SA.23.31	si Abi Albon na taga-Arba;
2SA.23.31	si Azmavet na taga-Bahurim;
2SA.23.32	si Eliaba na taga-Shaalbon;
2SA.23.32	mga anak ni Jasen;
2SA.23.33	si Jonatan na anak ni Shama
2SA.23.33	si Ahiam na anak ni Sharar na taga-Harar;
2SA.23.34	si Elifelet na anak ni Ahasbai na taga-Maaca;
2SA.23.34	si Eliam na anak ni Ahitofel na taga-Gilo;
2SA.23.35	si Hezro na taga-Carmel;
2SA.23.35	si Paarai na taga-Arba;
2SA.23.36	si Igal na anak ni Natan na taga-Zoba;
2SA.23.36	ang anak ni Haggadi;
2SA.23.37	si Zelek na taga-Ammon;
2SA.23.37	si Naharai na taga-Beerot (ang tagadala ng armas ni Joab na anak ni Zeruya);
2SA.23.38	sina Ira at Gareb na mga taga-Jatir;
2SA.23.39	at si Uria na Heteo.
2SA.23.39	Silang lahat ay 37.
2SA.24.1	Muling nagalit ang 
2SA.24.2	Kaya sinabi ni Haring 
2SA.24.3	Pero sumagot si Joab sa hari, “Paramihin sana ng 
2SA.24.4	Ngunit nagpumilit si David, kaya lumakad si Joab at ang mga opisyal ng mga sundalo para isensus ang mga mamamayan ng Israel. 
2SA.24.5	Tumawid sila sa 
2SA.24.6	Pumunta rin sila sa Gilead, sa Tatim Hodsi, sa Dan Jaan, at umikot sila papuntang Sidon. 
2SA.24.7	Pagkatapos, pumunta sila sa napapaderang lungsod ng Tyre, at sa lahat ng bayan ng mga Hiveo at Cananeo, at sa kahuli-hulihan, nagpunta sila sa Beersheba, sa timog
2SA.24.8	Nalibot nila ang buong bansa sa loob ng 9 na buwan at 20 araw, at pagkatapos, bumalik sila sa Jerusalem.
2SA.24.9	Sinabi niya kay Haring 
2SA.24.10	Nakonsensya si David, matapos niyang ipasensus ang mga tao. Kaya sinabi niya sa 
2SA.24.11	Hindi pa nakakabangon si David kinaumagahan nang sabihin ng 
2SA.24.12	“Pumunta ka kay David at papiliin mo siya kung alin sa tatlong parusa ang gusto niyang gawin ko sa kanya.”
2SA.24.13	Kaya pumunta si Gad at sinabi, “
2SA.24.14	Sumagot si David kay Gad, “Nahihirapan akong pumili. Mas mabuti pang ang kamay ng 
2SA.24.15	Kaya nagpadala ang 
2SA.24.16	Nang papatayin na ng anghel ang mga mamamayan ng Jerusalem, naawa ang 
2SA.24.17	Nang makita ni David ang anghel na pumapatay ng mga tao, sinabi niya sa 
2SA.24.18	Nang araw na iyon, nagpunta si Gad kay David at sinabi sa kanya, “Umakyat kayo sa giikan ni Arauna na Jebuseo at gumawa kayo roon ng altar para sa 
2SA.24.19	Kaya umakyat si David gaya ng iniutos ng 
2SA.24.20	Nang makita ni Arauna na paparating si David at ang mga tauhan nito, lumabas siya at lumuhod sa harapan ni David 
2SA.24.21	Sinabi ni Arauna, “Mahal na Hari, bakit po kayo nandito?” Sumagot si David, “Pumunta ako rito para bilhin ang giikan mo, dahil gagawa ako ng altar para sa 
2SA.24.22	Sinabi ni Arauna, “Kunin nʼyo na lang po at ihandog 
2SA.24.23	Mahal na Hari, ibibigay ko po itong lahat sa inyo, at tanggapin sana ng 
2SA.24.24	Pero sumagot si David, “Hindi ko ito tatanggapin ng libre; babayaran kita. Hindi ako maghahandog sa 
2SA.24.25	Pagkatapos, gumawa siya roon ng altar para sa 
1KI.1.1	Matandang-matanda na si Haring David at kahit kumutan pa siya ng makapal ay giniginaw pa rin siya. 
1KI.1.2	Kaya sinabi ng kanyang mga lingkod, “Mahal na Hari, payagan nʼyo po kaming maghanap ng isang dalagita na mag-aalaga sa inyo. Tatabihan po niya kayo para hindi kayo ginawin.” 
1KI.1.3	Kaya naghanap sila ng magandang dalagita sa buong Israel, at nakita nila si Abishag na taga-Shunem, at dinala nila siya sa hari. 
1KI.1.4	Talagang maganda si Abishag at naging tagapag-alaga siya ng hari. Pero hindi sumiping ang hari sa kanya.
1KI.1.5	Ngayon, si Adonia na anak ni 
1KI.1.6	Hindi siya kailanman pinakialaman ng kanyang ama 
1KI.1.7	Nakipag-usap siya kay Joab na anak ni Zeruya at sa paring si Abiatar tungkol sa balak niyang maging hari, at pumayag ang dalawa na tumulong sa kanya. 
1KI.1.8	Ngunit hindi pumanig sa kanya ang paring si Zadok at ang propetang si Natan, pati si Benaya na anak ni Jehoyada, gayon din sina Simei at Rei at ang magigiting na bantay ni David.
1KI.1.9	Isang araw, pumunta si Adonia sa Bato ng Zohelet malapit sa En Rogel at naghandog siya roon ng mga tupa, mga baka, at mga pinatabang guya. Inimbita niya ang halos lahat ng kapatid niyang lalaki kay David at ang halos lahat ng pinuno ng Juda. 
1KI.1.10	Pero hindi niya inimbita ang propetang si Natan, si Benaya, ang magigiting na bantay ng hari at si Solomon na kanyang kapatid.
1KI.1.11	Pumunta si Natan kay Batsheba na ina ni Solomon, at nagtanong, “Hindi mo ba alam na ang anak ni Hagit na si Adonia ay ginawang hari ang sarili at hindi ito alam ni Haring David? 
1KI.1.12	Kung gusto mong maligtas ang buhay mo at ang buhay ng anak mong si Solomon, sundin mo ang payo ko. 
1KI.1.13	Puntahan mo si Haring David at sabihin mo sa kanya, ‘Mahal na Hari, hindi po baʼt nangako kayo sa akin na ang anak nating
1KI.1.14	At habang nakikipag-usap ka sa hari, papasok ako at patutunayan ko ang iyong sinasabi.”
1KI.1.15	Kaya nagpunta si Batsheba sa kwarto ng hari. Matanda na talaga ang hari at si Abishag na taga-Shunem ang nag-aalaga sa kanya. 
1KI.1.16	Yumukod si Batsheba at lumuhod sa hari 
1KI.1.17	Sumagot si Batsheba, “Mahal na Hari, nangako po kayo sa akin sa pangalan ng 
1KI.1.18	Ngunit ipinalagay ni Adonia na siya na ang hari ngayon, at hindi mo ito alam. 
1KI.1.19	Naghandog siya ng maraming torong baka, mga pinatabang guya at mga tupa. Inanyayahan niya ang lahat ng anak mong lalaki, maliban kay Solomon na iyong lingkod. Inanyayahan din niya ang paring si Abiatar at si Joab na kumander ng inyong mga sundalo. 
1KI.1.20	Ngayon, Mahal na Hari, naghihintay po ang mga Israelita sa inyong pasya kung sino po ang papalit sa inyo bilang hari. 
1KI.1.21	Kung hindi kayo magpapasya, ako at ang anak nating si Solomon ay ituturing nilang traydor kapag namatay kayo.”
1KI.1.22	Habang nakikipag-usap si Batsheba sa hari, dumating ang propetang si Natan. 
1KI.1.23	Pumunta sa silid ng hari ang kanyang lingkod at sinabi na dumating si Natan 
1KI.1.24	at sinabi, “Mahal na Hari, sinabi po ba ninyong si Adonia ang siyang papalit sa inyo bilang hari? 
1KI.1.25	Ngayong araw na ito, naghandog siya ng maraming toro, pinatabang guya at mga tupa. At inimbita niya ang halos lahat ng inyong anak na lalaki, ang kumander ng iyong mga sundalo at ang paring si Abiatar. Ngayoʼy kumakain at nag-iinuman sila at nagsasabi, ‘Mabuhay si Haring Adonia!’ 
