MAT.1.1	Tèntə diʼ təzhiʼ tə vətìʼ Yesò Klistò, wàyn Devìt yì a tìʼì wen ndiʼ Ablaham. 
MRK.1.3	Wutsen ə zɨmə gàʼà fa nse zɨm la, ‘Ghə̀ŋ shɨtə jì Bobo. Ghə̀ŋ ne mə jìtə mə wen mə nàyn.’” 
MRK.1.4	Joyn wù ku à mù mfʉ li vì a nse zɨm sə shə̀ʼtə̀ ntɨm Nyìngòŋ gàʼà la, “Viʼi kwitə tətyɨm tə vəwenə ə shi mu ndi Nyìngòŋ maʼa nyʉ̀ byɨvə vəwenə.”
MRK.1.5	Viʼi lù fa loʼ Judiyà nə̀ fa Jelusalèm tò vətsèm ə̀ dyʉ̀ à wen sə dì byìʼì mbyɨsə vəwenə. Ghə̀ ku mu à vəwenə à mù mə Jodàn.
MRK.1.6	Kə ndiʼ a lì Joyn mòʼò ndisə mu və bo nə̀ nyɨŋsə nyàm tsen a və dzàŋə nə̀ Kamel, kwiʼi kətəŋ mu və shɨ̀tə̀ nə̀ gwʉ̀ nyàm. Fozhɨvə wen ndìʼ tò ngùməsə nə̀ fədyom. 
MRK.1.7	Ghə̀ nshə̀ʼtə̀ kənyʉ̀ kə Nyìngòŋ à viʼi gàʼà la, “Wìʼ ə vì fà mò bàm a ghə̀ chò mò. Mà ko kwʉ̀ʼ tè a nə̀ kəkòs əlaŋtə la mà zàtə̀ mpfʉ̀sə gwʉsə aghʉ wen. 
MRK.1.8	Mà ku mu à ghə̀ŋ tò nə̀ mu a lì ghə̀ diʼ vì ku mu à ghə̀ŋ nə̀ kəzhwì kə ŋwoʼəkə.”
MRK.1.9	Andìʼ to mətsì ayì, Yesò lù fa Nazalèt ashə loʼ Galìlì ə̀ dyʉ̀ Joyn ku mu à wen à mù mə Jodàn. 
MRK.1.10	Ghə̀ nè shì mu sə mfʉ̀ kuʼu vì fa mu, ə̀ yèn ando kaŋ bòʼmə̀, kəzhwì kə ŋwoʼəkə fʉ̀ shiʼi à wen a kətʉ diʼ tò nə̀ kəlàto. 
MRK.1.11	Gɨ̀ tsen fʉ̀ fa kàŋ gàʼà la, “Wù dìʼ wàyn kòŋ mò. Mà saŋlə̀ byìʼì wù nəkwoŋ.”
MRK.1.12	No a zhʉ̀ kò, kəzhwì kəŋwoʼkə nè Yesò lù dyʉ̀ a nse zɨm, 
MRK.1.13	ə̀ tsì tsu mətsi məwum nkàʼ, Satan mwòmsə̀ wen, ghə̀ be tsi dyʉ̀ tò a shi a nyamsə toʼ sə ntsi tsu, alì ntsɨ̀ŋsə ngə̀ŋ Nyìngòŋ sə nlye wen.
MRK.1.14	A ndìʼ ando və nwè Joyn a mfɨŋ, Yesò bwènə̀ kuʼ dyʉ̀ a Galìlì sə shə̀ʼtə̀ ntɨm jùŋ Nyìngòŋ tsu, 
MRK.1.15	gàʼà la, “Zhʉ kwʉʼʉ̀ li, soʼo Fòyn Nyìngòŋ boʼsə li. Ghə̀ŋ kwitə tətyɨm təŋtə fà ghə̀ŋ a mbyɨsə ə̀ byɨmə ntɨm jùŋə ghèn.”
MRK.1.16	Andiʼ kətsi kətsenkə Yesò sə nchò fa mbyɨ̀ mo Galìlì, ə̀ yèn Simon wenə̀ lèmə̀ wen Andɨ̀lò, vəwenə mòʼò dyʉ̀ nə̀ fəlàm fə a tì à mù əku shʉsə ando andìʼ ə shwèʼè vəwenə. 
MRK.1.17	Ghə̀ mù gàʼ à vəwenə la, “Ghə̀ŋ vi ə dzɨ̀mtə̀ mò, mà ziʼi ghə̀ŋ, ghə̀ŋ mbòŋsə̀ kutə̀ viʼi.” 
MRK.1.18	No a zhʉ̀ kò, vəwenə ghʉsə məlàm mə vəwenə tsu ə dzɨ̀mtə̀ Yesò.
MRK.1.19	Ghə̀ bè sə dyʉ̀tə̀ tò alə̀ bè yèn Jems wenə̀ lèmə̀ wen ə̀ Joyn vunə Zebedì vəwenə ŋwʉʼ à vəwenə a nkànuʼ temə məlàm mə vəwenə. 
MRK.1.20	Ando Yesò nyenə vəwenə ghə̀ dzàŋ vəwenə tò dzàŋə. Vəwenə fʉ̀ ghʉ̀sə tìʼ vəwenə wenə̀ viʼi shwèʼ vi a və ndiʼ tsu a tì nkànuʼ ayì ə̀ dzɨ̀mtə̀ dyʉ̀ nə̀ Yesò.
MRK.1.21	Vəwenə nè dyʉ̀ zaʼa a ntə̀ʼ Kàbanùm, a nsə ndiʼ a kətsi kə zhʉtəkə, ghə̀ dyʉ̀ kwèn a ngə̀ŋ ntsèntə̀ sə ziʼi viʼi tsu. 
MRK.1.22	Ziʼi wen nè viʼi sə diʼ nə̀ kaynə byìʼàndo ghə̀ ko ndìʼsə̀ a nə̀ ndìʼsə̀sə təsoʼ. Ghə̀ ndìʼsə̀ a nə̀ wìʼ a ghə̀ kìʼ àdyoʼ.
MRK.1.23	A sətsèn və yen wìʼ a ngə̀ŋ ntsèntə̀ ayì ghə̀ kiʼ kəzhwì kə byɨkə kə nè ghə̀ zɨmə 
MRK.1.24	ə̀ gàʼ la, “Wù kəŋə ghò à yès a ntìntìn a Yesò wàyn wù Nazalèt ghèn, wù vi əbyɨsə yes mu? Mà kɨ li wìʼ a wù diʼ wen. A dìʼ wù, wu ŋwoʼə Nyìngòŋ.”
MRK.1.25	A lì Yesò kəŋkə̀ kəzhwì kə byɨkə akì gàʼà la, “Kə be gàʼ! chò fʉ̀ fa wèn wìʼ ghèn!”
MRK.1.26	Kəzhwì kə byɨkə akì nə̀ʼ wìʼ ayì no nànto ə̀ bè zɨ̀mə no a gɨ to ə̀ mù fʉ̀ fa wen a wèn. 
MRK.1.27	Viʼi sə diʼ nə̀ kanə mù sə bèmə̀ à vəwenə a ntìntìn la, “Kènkə dìʼ ghò? Nki ziʼi fighə mu? Wìʼ ghèn ə kàyntə̀ nyʉ̀ nə̀ àdyoʼ no tè bè zhwì byɨvə zhʉ wen.” 
MRK.1.28	Əzìtə̀ fa zhʉ ayì, soʼgho byìʼì ziʼi wen ayi sàykə dyʉ̀ no a shì tsèm a Galìlì.
MRK.1.29	Yesò wenə Jems nə̀ Joyn fʉ̀ fa ngə̀ŋ ntsèntə̀ yì no a zhʉ̀ kò ə̀ nàyn tò fəchìʼ a ngə̀ŋ Simon bènə̀ Andɨ̀lò. 
MRK.1.30	Kə nsə ndiʼ a lì chì Simon ə wùwì kiʼ fiba. Yesò sə nkwenə vì a ngə̀ŋ no a zhʉ̀ kò və shə̀ʼtə̀ kwaʼa ayi à wen. 
MRK.1.31	Ghə̀ dyʉ̀ ghàʼ kəvu kə wen ə̀ tsòʼsə̀ wen, no a zhʉ̀ kò bvìʼ wen yì mè ghə̀ lù ku fozhɨvə vəwenə zhɨ.
MRK.1.32	A nè sə ndiʼ a kəlyɨŋ kə zhʉ mpfwòmə, viʼi vì nə̀ viʼi və kwaʼkəvə vəwenə no vətsèm bènə̀ vi a və nkiʼi zhwì byɨvə, 
MRK.1.33	viʼi lù fa ntə̀ʼ ayì no vətsèm ə̀ vì zhùŋtə̀ tò a chʉ ngə̀ŋ ayì. 
MRK.1.34	Yesò chʉʼ viʼi no vəghoʼo a və nkiʼi təkwaʼa tò a tənkì a tənkì, be dzɨ̀m shìsə̀ zhwì byɨvə no ghoʼo fa təwèn vətsenvə. Ghə̀ ndzɨ̀mə̀ a lì kò ghə̀ lə mbyɨmə la no kəzhwì kə byɨkə kə mùʼ kə gàʼ kənyʉ̀ byìʼàndo zhwì byɨvə a vyi nkɨ wen.
MRK.1.35	Tʉʼʉ sə nlàynə vì, ghə̀ lu ə̀ fʉ̀ dyʉ̀ a kəshi kəlyomtəkə tò wen nyɨŋ, mù sə jɨ̀mə̀. 
MRK.1.36	Simon wenə̀ viʼi jèʼè wen mù sə jèʼè kəŋə wen. 
MRK.1.37	A ndìʼ ando vəwenə nyènə wen, vəwenə gàʼ a wen la, “Və kəŋ wù tò vətsèm!”
MRK.1.38	Ghə̀ gàʼ à vəwenə la, “Ghə̀ŋ vi vəghəŋ dyʉ̀ a ntə̀ʼsə sətsensə a sə boʼsə a shə̀, ndi mà be shə̀ʼtə̀ dyʉ̀ nə̀ kənyʉ̀ kə Nyìngòŋ kə tsu, byìʼàndo a dìʼ kənyʉ̀ a mà tə vì ənè.”
MRK.1.39	Ghə̀ gàʼ a lì sə jèʼè no shi tsèm a Galìlì, kwenə a aloʼ ntsèntə̀sə vəwenə gàʼà kənyʉ̀ kə Nyìngòŋ tsu, be dzɨ̀mə̀ shìsə̀ zhwì byɨvə fà viʼi a təwèn.
MRK.1.40	Wù kənsòtə̀ tsen vì ə̀ shiʼi à wen a nchiʼsə alwi a shɨ Yesò mù sə sensə̀ wen gàʼà la, “Wù sətsèn kòŋ mù wù zi wù chʉʼ mo.”
MRK.1.41	Yesò sə diʼ nə̀ kusə nshinsə à wìʼ ayì no nànto ə̀ nàʼsə̀ kəvu kə wen ə̀ kùmsə̀ wen ə̀ gàʼ la, “Ma kòŋ li, to lì.” 
MRK.1.42	No a zhʉ̀ kò, kənsòtə̀ akì mè fa wen a wèn ghə̀ to. 
MRK.1.43	Yesò mù gàʼ à wen la ghə̀ ə̀ ndyʉ̀ bè pfàntə̀ wen la, 
MRK.1.44	“Kə a mwòm la wù shə̀ʼtə̀ kənyʉ̀ a wìʼ a kə yì chò. Dyʉ̀ diʼ wen ə wu tò à pfèm ə̀ ngə̀ŋ Nyìngòŋ bè kù kəku kì a soʼ Mosìs ngàʼa, ndi dìʼ la wù to li fà wù a kənsòtə̀.” 
MRK.1.45	Ghə̀ bòŋsə̀ dyʉ̀ sə kwe no ndo ghə̀ shə̀ʼtə̀ kənyʉ̀ akì tò shə̀ʼtə̀ à wen. Soʼgho ayì sàykə̀ a shi no tsèm, kə mù sə chò Yesò ə ghə̀ kwen a tì ntə̀ʼ ayì a dayn, ghə̀ mù sə jèʼè dyʉ̀ tò fa wenə̀ loʼ a nse zɨm. Alì viʼi be sə fʉ fa shi tsèm tò fʉ vi yenə wen tsu.
MRK.2.1	Andìʼ ando, Yesò bwènə̀ dyʉ̀ a Kabanùm, viʼi zhʉ̀ la ghə̀ pfwo li, 
MRK.2.2	mù dyʉ̀ zhùŋtə̀ a ngə̀ŋ tsu no vəghoʼo a ji a no kəshi kə ko bè ndiʼ a tì ngə̀ŋ ko a kəbəŋ ə viʼi tɨmə tsu. Ghə̀ mù sə shə̀ʼtə̀ kənyʉ̀ kə Nyìngòŋ à vəwenə. 
MRK.2.3	A sə laʼtə viʼi vətsenvə vəkàʼ byèʼè wù kənkwàʼkə̀ sə vì nə̀ wen a əghàm. 
MRK.2.4	Vəwenə vì kò jì lu ndiʼ, vəwenə kuʼ a kətʉ kə ngə̀ŋ ə̀ tsuʼ kəbʉ̀ʼ a kətʉ kə kəshi a Yesò ndìʼ tsu. Ə̀ shiʼsə wù kənkwàʼkə̀ ayì fa tsu ə̀ nyòŋsə̀ a shɨ Yesò. 
MRK.2.5	Yesò nè yèn byɨmə yi a viʼi a vyi nkiʼi ə̀ gàʼ à wù kənkwàʼkə̀ yì la, “Və maʼà li nyʉ̀ byɨvə ə̀ wù.”
MRK.2.6	Ndìʼsə̀sə təsoʼ sə tsensə a sə ŋwʉʼ tsu yen kənyʉ̀ akì mù sə nyoʼo kantə̀ à vəwenə a ntìntìn la, 
MRK.2.7	“Byìʼì ghò a wìʼ ghèn gàʼà alə̀ a? Ghə̀ telə̀ Nyìngòŋ. A lè zì à maʼa ndo nyʉ̀ byɨvə ə̀ wìʼ ə chò tò Nyìngòŋ a.”
MRK.2.8	Nò a zhʉ̀ kò, Yesò kɨ nyʉ̀ vyi a vəwenə nkwòʼtə̀ lì mù bèm à vəwenə la, “Ghə̀ŋ kantə̀ nyʉ̀ venə alə̀ byìʼì ghò? 
MRK.2.9	A bwaʼmə̀ kə kò; əgàʼ à wù kənkwàʼkə̀ ghèn a? La, ‘Və maʼà li nyʉ̀ byɨvə’ wù mu əgàʼ à wen la, ‘Lù lyɨ̀ əghàm wu ə njèʼè lò’? 
MRK.2.10	Mà a dìʼ à ghə̀ŋ luwèn la wàyn wìʼ kiʼi kədyòʼ a nse a shèn ə maʼa nyʉ̀ byɨvə viʼi.” 
MRK.2.11	Ando ghə̀ ngàʼ a lì, ghə̀ mù gàʼ à wù kənkwàʼkə̀ yì la, “Mà gàʼà à wù la wù lu lyɨ̀ əghàm wu ə mpfwo!”
MRK.2.12	Tò a zhʉ ayì, ghə̀ lù tò a shɨ viʼi vətsèm ə̀ lyɨ̀ əghàm kə wen ə̀ fʉ sə dyʉ̀. Vəwenə vətsèm ndìʼ nə̀ kanə mù sə bwomsə̀ Nyìngòŋ gàʼà la, “Yès nko təmə̀ yèn nki kənyʉ̀ alə̀.”
MRK.2.13	Yesò bwènə̀ dyʉ̀ a mbyɨ̀ mo Galìlì. Viʼi zhùŋtə̀ a wen a mbyɨ̀ no vəghoʼo ghə̀ mù sə ziʼi vəwenə. 
MRK.2.14	Ghə̀ nè lù sə njèʼè dyʉ̀ yèn Levì wàyn Alphùyùs a andiʼì wù tinə̀ kənsè ghə̀ ŋwʉʼ a tò yì a və ntinə kənsè tsu, ə̀ gàʼ à wen la, “Dzɨ̀mtə̀ mo” No a zhʉ̀ ko, ghə̀ lù sə dyʉ̀ fà wen a bàm.
MRK.2.15	Yesò wenə̀ ndzɨ̀mtə̀sə bàm wen nè dyʉ̀ ŋwʉʼʉ a kəshi kə kəzhɨ a ngə̀ŋ Levì viʼi ntinə kənsè vətsenvə bènə̀ viʼi nè nyʉ̀ byɨvə vətsenvə no vəghoʼo vì tsèntə̀ Yesò wenə̀ ndzɨ̀mtə̀sə bàm wen a kəshi kə kəzhɨ byìʼàndo andìʼ a lì viʼi jèʼè fa bàm Yesò no vəghoʼo. 
MRK.2.16	Ndìʼsə̀sə təsoʼ shì bènə̀ Falàsi vi a və ndiʼì tsu nè yèn ando ghə̀ zhɨ wenə̀ viʼi ne nyʉ̀ byɨvə bènə̀ viʼi tinə̀ kənsè, mù sə bèmə̀ à ndzɨ̀mtə̀sə bàm wen la, “Byìʼì ghò a ghə̀ zhɨ wenə̀ viʼi tinə̀ kənsè bènə̀ viʼi nè nyʉ̀ byɨvə vətsenvə a?”
MRK.2.17	Yesò zhʉ kənyʉ̀ a vəwenə mbèmə̀ mù bèm à vəwenə la, “A lu mbi ngə̀ŋ ndò ghə̀ bè sə kəŋə kəfʉ a? A nə̀ nkəŋə tò viʼi vəkwaʼkəvə. Mà ko tə vì ə tisə viʼi kənyʉ̀ kə tɨməkə. Mà tə vì ə tisə viʼi nè nyʉ̀ byɨvə.”
MRK.2.18	Tʉʼ layn kətsi kətsenkə, ndzɨ̀mtə̀sə bàm Joyn wù ku à mù bènə̀ Və Falàsi sə bamə chʉ̀, viʼi vì bèm à Yesò la, “Ndzɨ̀mtə̀sə bàm Joyn sə bamə chʉ̀, ndzɨ̀mtə̀sə bàm Və Falàsi sə bè bamə chʉ̀, shyə̀sə zhɨ tò zhɨ byìʼì ghò?”
MRK.2.19	Yesò bwènsə̀ gàʼ à vəwenə la, “Viʼi zì kò və lə̀ dyʉ̀ a lam mbamə chʉ̀ lɨm ə wùwì bo bu tsu. Ghə̀ sətsèn ndiʼ tò tsu kò vəwenə à faŋ ke zhɨ. 
MRK.2.20	Kətsi kə lu vì a və a lyɨ̀ lɨm ə̀ wùwì lù nə̀ wen fà vəwenə a ntìntìn, vəwenə mu mbamə chʉ̀ a zhʉ ayì.
MRK.2.21	“Wìʼ zì kò ghə̀ lə̀ lyɨ̀ kəbàs kə ndisə kəfi kə əbaʼsə ndisə mu sə tsu byìʼàndo ghə̀ sətsèn nè a lì, kəbàs kə ndisə kə fikə akì à bwènsə̀ tsuʼmə, sə tsuʼmə a zhʉ ayì tsuʼ ghoʼsə kəbʉ̀ʼ akì a və yì bàʼsə lì. 
MRK.2.22	Wìʼ zì kò ghə̀ lə̀ wè məlyʉ̀ʼ kèn la mə to li a vəsàʼ və gwʉ̀ nyàm və muvə. Ghə̀ sətsèn we, məlyʉ̀ʼ a mì nè sə to bàytə̀ vəsàʼ a vyi à mu ndiʼ la məlyʉ̀ʼ ə le li, vəsàʼ be nle. Kə bòŋ la və nwe məlyʉ̀ʼ kèn la mə to li tò a vesàʼ və fivə.”
MRK.2.23	A sə ndiʼ a kətsi kə zhʉtəkə kətsenkə, Yesò sə nchò fa mbwaʼ sɨ̀m asaŋ dyə wenə̀ ndzɨ̀mtə̀sə bàm wen, vəwenə sə kwàʼtə̀ tʉ asaŋ tsenəvə. 
MRK.2.24	Və Falàsi vi mù bèm à wen la, “Byìʼì ghò a ndzɨ̀mtə̀sə bàm wù sə nè nki kənyʉ̀ kènkə a kətsi kə zhʉtəkə a soʼ ko byɨmə a?”
MRK.2.25	Yesò bwènsə̀ bèm à vəwenə la, “Ghə̀ŋ bè ko təmə̀ dzàŋ əzhʉ kənyʉ̀ kì a Devìt nlù nè a tʉʼ yì a ghə̀ nkəŋ kəfo əzhɨ ando jɨ̀ŋ nzafə wen wenə̀ viʼi wen lo? 
MRK.2.26	Ghə̀ nkwen a ngə̀ŋ Nyìngòŋ wenə̀ viʼi wen a vyi, andiʼ Abyatà diʼ kətʉ kə Tʉtʉ vəpfèm və ngə̀ŋ Nyìngòŋ tsu, ə̀ lyɨ̀ kəbayn və nku kəku tsu a Nyìngòŋ ə̀ zhɨ a soʼ ndìʼ la a diʼi zhɨ tò vəpfèm və ngə̀ŋ Nyìngòŋ.”
MRK.2.27	Yesò gàʼ a lì bè mù gàʼ mwètə̀ la, “Nyìngòŋ nshɨ̀tə kətsi kə zhʉtəkə kèn a njùŋ wìʼ ghə̀ nko shɨ̀tə wìʼ la ghə̀ ghʉ kətsi kə zhʉtəkə kədyàŋ. 
MRK.2.28	Adiʼ kənyʉ̀ ki a Wàyn Wìʼ kìʼ kədyòʼ ənè no ghò a kətsi kə zhʉtəkə kèn.”
MRK.3.1	A bè nè sə ndiʼ kətsi kətsenkə, Yesò dyʉ̀ kwen a ngə̀ŋ ntsèntə̀, wutsen diʼ tsu mu kwoŋ wen tsenghə pfʉ li. 
MRK.3.2	Viʼi ghʉ ashɨ a wèn Yesò əyen la ghə̀ a chʉʼ wìʼ ayì a kətsi kə zhʉtəkə ndi vəwenə kiʼi jì ghàmə̀ wen lo. 
MRK.3.3	Yesò gàʼ à wù mpfʉ̀ kwòŋ ayì la, “chò vì a shèn.” 
MRK.3.4	Ghə̀ chò, Yesò mù bèm à vəwenə la, “Soʼ byɨmə la və ne njùŋ a kətsi kə zhʉtəkə mu mbyɨ lo, ghə̀ byɨmə la və bwoŋsə wìʼ mu və zhwi wen zhwi lo?”
MRK.3.4	Vəwenə chɨmə tò la kùʼ. 
MRK.3.5	Yesò ki kaʼsə nə̀ vəwenə alə̀ mu tin wen fwi li alì be kusə̀ nshinsə byìʼì chiʼi kətʉ vəwenə. Ghə̀ mù gàʼ à wìʼ ayì la, “Nàʼsə kwoŋ wu.” Ghə̀ nàʼsə̀ no a zhʉ kò kwoŋ ayì to. 
MRK.3.6	Və Falàsi vi nè fʉ̀ no a zhʉ kò ə̀ ghàʼa ntsèntə̀ wenə̀ viʼi Helòd mù sə shɨ̀tə̀ jì əzhwi Yesò.
MRK.3.7	Yesò wenə̀ ndzɨ̀mtə̀sə bàm wen lù dyʉ̀ a mbyɨ̀ mo Galìlì. Viʼi dzɨ̀mtə̀ dyʉ̀ nə̀ vəwenə mu və lù fa Galìlì bènə̀ fa Judiyà. 
MRK.3.8	Vətsenvə nlu fa Jelusalèm, fa Idumiya, vətsenvə tɨm ə̀ vì fa ndzèn mo Jodàn, bènə̀ fa shyə Tayà nə̀ Sidòn, ando vəwenə nzhʉ nyʉ̀ vyi a Yesò ə̀ nè. 
MRK.3.9	Yesò mù gàʼ à ndzɨ̀mtə̀sə bàm wen la sə vi nə̀ nkànuʼ ghə̀ kwen tsu a bwen a lì viʼi à mfaʼsə̀ wen, 
MRK.3.10	byìʼàndo andìʼ a lì mu ghə̀ chʉʼ li viʼi no vəghoʼo. No ndo a ghə̀ nkwaʼa mù sə fosə̀ vì tò vi ndi əkùmsə̀ wen. 
MRK.3.11	Viʼi a və nkiʼ zhwì byɨvə nyenə wen no a zhʉ̀ kò, zhwì byɨvə a vyi nè vəwenə fəŋkə a nse sə zɨmə̀ dì gàʼà la, “Wù dìʼ wàyn Nyìngòŋ!”
MRK.3.12	Yesò ə ku soʼ à vəwenə la kə və a shə̀ʼtə̀ wìʼ a yi diʼi wen.
MRK.3.13	A nè sə ndiʼ a zhʉ tsenghə, Yesò kuʼ ə̀ dyʉ̀ a kwi pfen ə̀ dzàŋ viʼi a ghə̀ nkəŋə la və dzɨ̀mtə̀ kùʼ nə̀ wen. 
MRK.3.14	Ghə̀ tsuʼ vətsenvə fà vəwenə a ntìntìn njʉ̀sə̀bò la və njèʼè boʼsə wen ə̀ ghʉ̀ vəwenə a viʼi ntɨm wen la və njèʼè shə̀ʼtə̀ kənyʉ̀ kə Nyìngòŋ, 
MRK.3.15	be kiʼ àdyoʼ ədzɨ̀m shìsə zhwì byɨvə.
MRK.3.16	Viʼi ntɨm a vyi ndìʼ Simon yì a Yesò nkù zhiʼ wen tsenghə nə̀ Bità, 
MRK.3.17	nə̀ Jems wenə̀ lèmə̀ wen ə Joyn vunə Zebedì. Yesò chʉ zhiʼ tsenghə à vəwenə nə̀ Bonelges a ghə̀ shə̀ʼtə̀ la vəwenə diʼ vunə ghʉ̀ bwanə ghə̀. 
MRK.3.18	A mbe ndìʼ Andɨ̀lò nə̀ Filib nə̀ Bàtòlòmiyà, nə̀ Matìyò, nə̀ Tomòs, nə̀ Jems wàyn Alphùyùs, nə̀ Tadiyòs, nə̀ Simon a və ndzàŋə̀ wen nə̀ Zilyòt, 
MRK.3.19	bènə̀ Judàs Iskalìyòt yì a ghə̀ nlù bàʼlə Yesò.
MRK.3.20	Yesò nè bwènə̀ pfwo, viʼi bè vì zhùŋtə̀ à wen a mbyɨ̀ no vəghoʼo a ji a jì nko ndìʼ ə Yesò wenə̀ Ndzɨ̀mtə̀sə bàm wen sə zhɨ kəfo. 
MRK.3.21	Viʼi wen nè yèn ando ghə̀ nshwèʼè dyʉ̀ tò dyʉ̀ sə kəŋə dyʉ̀ nə̀ wen ə nyɨŋsə wen byìʼàndo viʼi nsə̀ gàʼà la tof kətʉ wen nyɨŋ li.
MRK.3.22	Ndìʼsə̀sə təsoʼ sətsensə a sə mvi fa Jelusalèm sə̀ gàʼà tò la, “Belzibùl dìʼ à wen a bèm.” Bè gàʼà la, “Ghə̀ dìʼ alə̀ dzɨ̀mtə̀ shìsə̀ zhwì byɨvə nə̀ kədyoʼkə mu à kù fòn ə̀ zhwì byɨvə.” 
MRK.3.23	Yesò mù dzàŋ vəwenə ə̀ mò ngàynsə sətsensə à vəwenə la, “Satan lè zì ghə̀ ndzɨ̀mə̀ shìsə̀ tò Satan fà viʼi a wèn ale?”
MRK.3.24	Viʼi mù yì ndiʼ viʼi loʼ mùʼ, ə nkiʼ kəngə̀sə̀ à vəwenə a ntìntìn, vətsenvə soynə vətsenvə kò loʼ ayi a fàŋ ke fəŋ. 
MRK.3.25	Viʼi sətsèn ndiʼ viʼi ngwàʼa ngə̀ŋ mùʼ, ə̀ nkiʼ kəngə̀sə̀ a vəwenə a ntìntìn, mu ngwàʼa ngə̀ŋ ayi a sàykə̀. 
MRK.3.26	Loʼ Satan lè sətsèn ndiʼ a ndzensə a ndzensə bwènsə̀ soynə wenə wen mu ghə̀ a fəŋ, kə ndiʼ la kənsèsə̀ kə ki kə vi li.
MRK.3.27	Wìʼ zì kò ghə̀ lə̀ kwèn a ngə̀ŋ wù kədyòʼ ə̀ ghaʼ shì fo wen, a bwen tò la ghə̀ ghaʼ li ə̀ kwiʼ wen a mbì mi.
MRK.3.28	“Mà gàʼà à ghə̀ŋ nəmwèʼè la àdìʼ tè mbyɨ kò a viʼi nè mu Nyìngòŋ zì ghə̀ maʼa bè màʼà no tè mbàʼ ko a vəwenə te wen tsu, 
MRK.3.29	alì mu no ndo sətsèn tè kəzhwì kə ŋwoʼəkə kò və lə̀ bè lyèsə̀ ku wen. Mu kə lì dìʼì la mbyɨ wen faŋ li à wen a kətʉ tò ghan mùʼ.” 
MRK.3.30	Yesò ngàʼà a lì byìʼàndo vəwenə ngàʼà la, “Ghə̀ kìʼ kəzhwì kə byɨkə.”
MRK.3.31	Lì Yesò bènə̀ vəlèmə̀ və wen vì tɨ̀mə a kəbəŋ ə̀ tɨ̀m la və dzàŋ wen. 
MRK.3.32	Andìʼ a lì mu nòyn viʼi ŋwʉʼʉ li nkaʼ Yesò. Vəwenə gàʼ à wen la, “Yen a! lì wù wenə̀ vəlèmə̀ vyə dìʼ a kəbəŋ kəŋ wù.”
MRK.3.33	Yesò bwènsə̀ bèm à vəwenə la, “Lì ghom nə̀ vəlèmə̀ vwomə diʼ vəndò?” 
MRK.3.34	Ando ghə̀ ngàʼa a lì ə̀ ki kaʼsə nə̀ vəwenə mù gàʼ la, “Lì ghom nə̀ vəlèmə̀ vwomə diʼ viʼi venə. 
MRK.3.35	No ndò a ghə̀ ne kənyʉ̀ kì a Nyìngòŋ kəŋə dìʼ lèmə̀ ghom, wùwì nə̀ wulɨm à bè dìʼ lì ghom.”
MRK.4.1	Yesò bè zìtə̀ sə dìʼsə̀ viʼi a mbyɨ̀ mo Galìlì. Nòynə viʼi a və mvì a kəshi ayì ndìʼ no ghoʼo. Ghə̀ yen a lì ə̀ kwen ŋwʉʼʉ a nkànuʼ a tì à mù, viʼi a vyi tɨmə kàʼ a wèn à mù. 
MRK.4.2	Ghə̀ dìʼsə̀ vəwenə no nə̀ nyʉ̀ ghoʼvə tò a ngàynsə. Ghə̀ gàʼ à vəwenə à wen a ziʼi la, 
MRK.4.3	“Ghə̀ŋ zhʉtə a! wutsen nlu li ə̀ fʉ̀ ə mòʼo ngwàʼ wen, 
MRK.4.4	sə mòʼò, ghətsen fəŋkə a kəghʉ̀ kə ji a ghə̀ nchò fa sɨm, mənyin vì tsə̀btə̀ ə̀ pfìʼ no tsèm. 
MRK.4.5	Ghətsen fəŋkə a təwu kò nse nghoʼo tsu, ə̀ zàŋsə̀ fʉ̀ byìʼàndo nse ntyenə. 
MRK.4.6	No a zhʉ̀ kò a chwìchwì mbanə ə̀ nyʉ̀ʼ ngwàʼ ayì ghə̀ zɨm byìʼàndo aghaŋ yi nkò kwen shìʼi a nse. 
MRK.4.7	Ashɨ a tsenghə fəŋkə a kəshi a ndzoŋsə nkuʼu tsu, nè fʉ̀, ndzoŋsə a shìsə kuʼ ə̀ sùlə̀ à wenə ghə̀ kò ghə̀ lə̀ kumə. 
MRK.4.8	A tsenghə fəŋkə no a nse jùŋə, kuʼ ə̀ kù no a nkayn, və sə fʉ pfì. Ashɨ asaŋ nku a kətʉ kə saŋ tsenghə ghoʼo zaʼa a məwum ntaʼ; ku a kətsenkə məwum ntʉfə, be ku a kətsenkə ghɨ.” 
MRK.4.9	Yesò gàʼ a vəwenə la, “No ndò a ghə̀ tofə ghə̀ tùʼù zhʉtə.”
MRK.4.10	Nòyn yi nè gə̀sə̀ fa mbyɨ̀ Yesò ghə̀ faŋ tò wenə̀ viʼi ntɨm wen vi njʉ̀sə̀bò bènə̀ ndzɨ̀mtə̀sə bàm wen sətsensə. Vəwenə mù bèm à wen la ngàynsə ashìsə gàʼà la ghò lo. 
MRK.4.11	Ghə̀ bwènsə̀ gàʼ à vəwenə la, “Nyìngòŋ ku li tof à ghə̀ŋ la ghə̀ŋ nzhʉ kɨ nyʉ̀ lyomtəvə a və diʼì kùmə̀ soʼ fòn Nyìngòŋ, alì və diʼi dìʼsə viʼi vətsenvə tò a ngàynsə 
