MAT.1.1	Neꞌeŋa a Yesu one a David yaaŋ, ka a Abraham yaaŋ la yaanam yela. 
MAT.24.10	Ka nidib bedego na bas yelsida suer la lieb tuumbeꞌed dimi n gbiꞌid taaba, ka kis taaba. 
MAT.24.11	Ka ziri nodiꞌesidib bedego na due panꞌas nidib bedego ka ba yidig. 
MAT.24.12	Ka tuumbeꞌedi peꞌesid la zugoo ka nidib bedego noŋilim na sie. 
MAT.24.13	Ka one na modigi paae li ben la na nye faangir. 
MAT.24.14	Ka Winaꞌam soꞌolim labakaŋa nwa na mooli gilig dunia, ka buudi wusa na wumi li, ka li ben nyaan paae.
MAT.24.15	“Ka ya yaꞌa nye bun kisa line saꞌamid siꞌel mekama, lin ka Winaꞌam nodiꞌes Daniel da sob li yela la, ka li ziꞌe Winaꞌam zinꞌisuŋin la, (kel ka one karem la baŋ neꞌe gbin,) 
MAT.24.16	bane be Juuda teŋin zom keŋ zueya ni. 
MAT.24.17	Ka bane be yiiŋ da lem kpenꞌ doodin ye ba zaŋ siꞌela. 
MAT.24.18	Ka one be poogin da fendigi leb yin ye o zaŋ o fuugo. 
MAT.24.19	Li na toe saŋkan la tis poꞌab bane mor poos ne bane mor bilies. 
MAT.24.20	Sosimi Winaꞌam ka ya zoos saŋa da siaꞌal waad saŋa bee Jew dim vuꞌusum daare. 
MAT.24.21	Ka namistitaꞌar na kena n toe hale n gaad dunia pinꞌilugin la n ti paae saŋkan la, ka namisug ku len bee zem wuu neꞌeŋa yaꞌasa. 
MAT.24.22	Ka Winaꞌam yaꞌa pu deŋim sien dabisa laa, ka ba gima, soꞌ naan ku tiliginee. Amaa nidib ban ka o gaans la zug, o na sie dabisa la.
MAT.24.23	“Ka soꞌ yaꞌa yeli ya ye, ‘Gosimi, Kiristo nwa, bee Kiristo la be kpeꞌe sa,’ da siakiyaa. 
MAT.24.24	Ka ziri Kiristonam ne ziri nodiꞌesidib na due tum tuumnyalima ne tuum kpiꞌema line na paꞌal ye ba mor paŋ, hale n ti boodin ye ba naani panꞌasin ban ka Winaꞌam gaans la (li yaꞌa tunꞌe niŋin.) 
MAT.24.25	Man yeti ya neꞌeŋa ne ye ya guꞌus ka li nan pu paa na.
MAT.24.26	“Ka ba yaꞌa yeli ya ye, ‘Gosimi, o be moogin,’ da keŋi anii. Bee ba yaꞌa ye ‘O suaꞌ doogin,’ yanam da siaki. 
MAT.24.27	Ka Ninsaal Biig la ken la na, na wenne wuu saa naani iank ya nyaꞌaŋ n ti paae ya tuona la. 
MAT.24.28	Bunkpiiluŋ yaꞌa be zinꞌisiꞌa, zuund na laꞌas ani.
MAT.24.29	“Ka namis kaŋa yaꞌa kpelim naae, ‘winig na lieb zibisug, ka nwadig ku nie, ka nwadibibis na naam saazug n lut na. Ye ka siꞌelnam bane mor paŋ agol na dam.’
MAT.24.30	“Ka Ninsaal Biig ken la na, zanbin na nie saazug. Ka dunia buudi wusa na kaasidi nweꞌedi ba meŋ. Ka ba na nye Ninsaal Biig la n kenna n be saŋgbana zug ne paŋ ne o naꞌam ka li nyeen pil pil. 
MAT.24.31	Ka o na tum o maleknam ka naꞌatan piꞌeb hale ka ba laꞌas ninban ka Winaꞌam gaans la, dunia zinꞌis ben wusa.
MAT.24.32	“Keli ka kekaŋ paꞌali ya siꞌel. Kekaŋ yaꞌa ti bus vanpola n ti nobugi sobig la, ya miꞌ ye seeung liꞌeliya. 
MAT.24.33	Ala men ya yaꞌa nye neꞌenam wusa ya na baŋ ye Ninsaal Biig la lebug liꞌelne, hale n paae zaꞌanoorin. 
MAT.24.34	Asida ka m yeti ya ye, zumaaŋ kaŋa nwa nidib ku gaade, asee neꞌenam wusa naam. 
MAT.24.35	Saazug ne dunia na gaad, ka man pianꞌad la lee ku gaade.
MAT.24.36	“Ka li dabisa ne li saŋa la, soꞌ ku baŋi lii, hale baa maleknam bane be arazana ni bee Biig la meŋa, asee Baꞌ one a Winaꞌam la gullim. 
MAT.24.37	Ninsaal Biig la ken na, na wenne Noa saŋa la ne. 
MAT.24.38	Kuꞌom da nan pu di dunia la, saŋkan la nidib daa dit ka nuud, ka dit poꞌab ka tisid ba biis sidib hale n ti paae daakan ka Noa kpenꞌ aaruŋ titaꞌarin la. 
MAT.24.39	Ka ba pu baŋi li yela hale saa ni ka kuꞌom di ba wusa. Li me na ane ala n tis Ninsaal Biig ken la na. 
MAT.24.40	Ka dapa ayi na be poogin ka ba na zaŋ yinni ka bas yinni. 
MAT.24.41	Poꞌaba ayiꞌiŋa na be neerin, ka ba zaŋ yinni ka bas yinni.
MAT.24.42	“Guꞌusimi; ka ya ziꞌ ya Zugsob la na leb daasiꞌer naa. 
MAT.24.43	Baŋimi ye yidaan la yaꞌa baŋ saŋkan ka naꞌayiig na kena ye o zuu, o na tiꞌebi gur, hale ka naꞌayiig la ku nyaŋe kpenꞌ zuu. 
MAT.24.44	Dinzugo yanam me tiꞌebimi; ka Ninsaal Biig la na kena saŋkan ka ya ku baŋi.
MAT.24.45	“Dinzugo anoꞌone lee a tumtum kane a yelsida sob ne yaꞌamdaana, ka o zugsob noke o yir wusa guꞌul o, ka tisi o noor ye o diisim bane be ani la saŋa kane nara. 
MAT.24.46	Tumtum kan na paam yelsum o zugsob yaꞌa leb na nye ka o tum ne wuu one yel o siꞌem la. 
MAT.24.47	Li ane asida ka m yeti ya ye o zugsob la na ke ka o gur on soꞌe siꞌel wusa. 
MAT.24.48	Ka o yaꞌa a tumtum one a bugis, ka tenꞌes o meŋ yela ye, o zugsob ku kul toꞌo naa. 
MAT.24.49	Ka o pinꞌili buꞌud o tumtum taaba la, ka dit ka nuud ne danuudib, 
MAT.24.50	ka o zugsob na leb na daakan ka o ku baŋi, 
MAT.24.51	ka o na namis o, ka ke ka o laꞌas ne zam dim. Anina ka ba na kum ka gaꞌad nyina.
MAT.25.1	“Dinzugo saŋkan la Winaꞌam soꞌolim na a wuu poꞌasada piiga bane zaŋ ba fitlanam n keŋ ye ba tuꞌos poꞌadit la. 
MAT.25.2	Ka anu mor yaꞌam. Ka anu kaꞌa yaꞌam. 
MAT.25.3	Ka bane kaꞌa yaꞌam la, mor ba fitlanam, ka pu mor kpaam. 
MAT.25.4	Amaa bane mor yaꞌam la, mor kpaam ne ba laas. 
MAT.25.5	Ka poꞌadit la yuug la zug ka ba wusa zoonsim gbis.
MAT.25.6	“Ka yuꞌuŋ tisoos, ka kuŋ kaas ye, poꞌadit la kenna, duom n yi n tuꞌos o.
MAT.25.7	“Ka poꞌasada la wusa due n maali ba fitlanam lauŋ. 
MAT.25.8	Ka bane kaꞌa yaꞌam la, yel bane mor yaꞌam la ye, ‘Buꞌomi ya kpaam la n tisi ti; ka ti fitlanam kpigidne.’
MAT.25.9	“Ka bane mor yaꞌam la lebis ye, ‘Ayei, ti yaꞌa niŋ ala, kpaam la ku siak tinam ne yanam wusa. Kemi bane kuosid kpaam saꞌan n daꞌe na.’
MAT.25.10	“Ka ban ken ye ba daꞌ la, ka poꞌadit la paae na, ka bane tiꞌebi naae la, dol o kpenꞌ diꞌema la zinꞌigin. Ka ba yoꞌ zaꞌanoor la.
MAT.25.11	“Ka bane kpelim la, paae na n buon n yet ye, ‘Zugsoba, zugsoba, yoꞌogum n tisi ti.’
MAT.25.12	“Ka o lebis ye, ‘Li ane ameŋa ka m yeti ya ye, m ziꞌ yaa.’ ”
MAT.25.13	Ka Yesu ye, “Dinzugo yanam me guꞌusimi, bozugo ya ziꞌ daakan ka Ninsaal Biig la na kenaa.
MAT.25.14	“Yelkaŋa yaꞌas na wenne dau soꞌ one daa tiꞌebid ye o nwie. Ka buol o tumtumnib n zaŋ o arazaꞌas niŋi ba nuꞌusin, 
MAT.25.15	ka tis yinni ligidi yon anu, ka tis yinni yon ayi, ka tis yinni yolug yinni. O tisne soꞌ wusa on na tunꞌe siꞌem ben, ka nwie. 
MAT.25.16	Ka one diꞌe yon anu la pu yuuge, ka due nok o ligidi la n tolum n nye yon anu nyood. 
MAT.25.17	Ala men ka one diꞌe yon ayi la, nye yon ayi nyood. 
MAT.25.18	Amaa ka one diꞌe yolug yinni la keŋ n tu bok n pinꞌ o zugsob ligidi la.
MAT.25.19	“Ka li yuug hale, ka ba zugsob leb kul na ye o gelig ban tum siꞌem. 
MAT.25.20	Ka one diꞌe yon anu la, kena ne yon anu n paas n yel ye, ‘M zugsoba, fu daa tisi m yon anu. Gosima, m nye yon anu n paas.’
MAT.25.21	“Ka o zugsob yel o ye, ‘Li a suꞌum. Fu ane tumtumsuŋ one tum ne sida. M tis uf bun biꞌela, ka fu tum sida ne li. Dinzugo m na ke ka fu soꞌe bunam bedego. Zinꞌinim n maal sumalisim ne fu zugsob.’
MAT.25.22	“Ka one diꞌe yon ayi me kena n yel ye, ‘M zugsoba, fu daa tisi m yon ayi. Gosima, m nye yon ayi n paas.’
MAT.25.23	“Ka o zugsob yel o ye, ‘Li a suꞌum. Fu ane tumtumsuŋ one tum ne sida. M tis uf bun biꞌela ka fu tum sida ne li. Dinzugo m na ke ka fu soꞌe bunam bedego. Zinꞌinim n maal sumalisim ne fu zugsob.’
MAT.25.24	“Ka one diꞌe yolug yinni la, kena n yel ye, ‘M zugsoba, m miꞌ fu ane sukpiꞌeuŋ daan. Ka fu bunne zinꞌig kan ka fu pu bude, ka kuꞌon zinꞌig kan ka fu pu yadige. 
MAT.25.25	Din ka m zo dabiem, ka keŋ pinꞌ fu ligidi la teŋin. Diꞌemi fu bun.’
MAT.25.26	“Ka o zugsob lebis ye, ‘Tumtumbeꞌed nwa. Fu ane gbanyaꞌa. Fu miꞌ ye m bun zinꞌig kan ka m pu bude, ka kuꞌon zinꞌig kan ka m pu yadige. 
MAT.25.27	Li suꞌum ka fu daa naan zaŋin m ligidi n digil banki ni. Ka m yaꞌa kena la, man naan diꞌen m ligidi la ne nyood. 
MAT.25.28	Diꞌem o ligidi la n tis one mor yon piiga la. 
MAT.25.29	Bozugo ban wusa mor la, ba na nye paas, ka ba morem zuꞌe. Amaa one pu mor la, ba na diꞌe on mor siꞌel wusa la.’ 
MAT.25.30	Ka o zugsob yel ye, ba yiisimi dau beꞌed kaŋa n bas likin. Anina ka ba na ti kaasid ka gaꞌadi ba nyina.
MAT.25.31	“Saŋkan ka man, Ninsaal Biig la, na ti kena ne m naꞌam titaꞌar ne m maleknam wusa la m na zinꞌi m naꞌam gbauŋ venliŋ la zugin. 
MAT.25.32	Ka dunia soꞌolim wusa na laꞌas m tuon, ka m na baki ba ben ben wenne konbkem bakid o peꞌes ne o boos ben ben siꞌem la, 
MAT.25.33	ka ziꞌel peꞌis m datiuŋ ka ziꞌel boos m dagobug.
MAT.25.34	“Ka naꞌab la na yel bane be o datiuŋ la ye, ‘Kemi na yanam bane mor m Baꞌ Winaꞌam yelsum la. Ya na diꞌe soꞌolim kan ka Winaꞌam pun tiꞌeb ye o tisi ya, hale ka dunia nam pu pinꞌil la. 
MAT.25.35	Bozugo m koꞌom daa zabid, ka ya tisi m diib. Kuꞌonuud daa more m, ka ya tisi m kuꞌom ka m nu. M daa ane saan, ka ya diꞌe m. 
MAT.25.36	M daa ane biel, ka ya tisi m fuud, ka daa benꞌed, ka ya kaae m, ka daa be sarega ni, ka ya kenn m saꞌan na.’
MAT.25.37	“Ka bane a tuumsuma dim la na lebis ye, ‘Zugsoba, saŋkan ka ti nye uf, ka fu koꞌom zabid, ka ti tis uf diibo? bee kuꞌonuud mor uf, ka ti tis uf kuꞌom? 
MAT.25.38	Bee saŋkan ka ti nye uf ka fu ane saan, ka ti diꞌe fo? Bee saŋkan ka fu a biel, ka ti tis uf fuude? 
MAT.25.39	Bee saŋkan ka ti nye uf, ka fu benꞌed, bee fu be sarega ni, ka ti kaae uf?’
MAT.25.40	“Ka naꞌab na lebisi ba ye, ‘Li ane ameŋa ka m yeti ya ye, yanam daa niŋ ala n tis m baꞌabiig one kpelim kpaar la, li ane mane la ka ya niŋ tis.’
MAT.25.41	“Ka o na yel bane be o dagobug la ye, ‘Kemi sa, yanam bane ka Winaꞌam po noor n tisi ya la. Kemi kpenꞌ bugum kane pu kpiigida la, bugum line ka Winaꞌam tiꞌeb ye o kpenꞌes Sutaana ne o nyaꞌandolib la. 
MAT.25.42	Bozugo m koꞌom daa zabid, ka ya pu tisi m diibo. Kuꞌonuud daa mor m, ka ya pu tisi m kuꞌom ye m nu. 
MAT.25.43	M daa ane saan, ka ya pu diꞌe ma. M daa ane biel, ka ya pu tisi m fuude. M daa benꞌed bee m daa be sarega ni, ka ya pu kaae ma.’
MAT.25.44	“Ka ba na lebis o ye, ‘Ti Zugsoba, saŋkan ka ti nye uf, ka fu koꞌom zabid, bee kuꞌonuud mor uf, bee fu a saan, bee fu a biel, bee fu benꞌed, bee fu be sarega ni, ka ti pu suŋi fu?’
MAT.25.45	“Ka o na lebisi ba ye, ‘Ameŋa ka m yeti ya ye, yanam daa pu niŋ ala n tis m baꞌabiig one kpelim kpaar la, li ane mane la ka ya pu niŋ tise.’
MAT.25.46	“Ka ba na keŋ kpenꞌ namisug line kaꞌ ben la ni. Amaa tuumsuma dim la na diꞌe nyovur line kaꞌ naare.”
MAT.26.1	Yesu n daa pianꞌ pianꞌad nwa naae la, ka yel o nyaꞌandolib la ye, 
MAT.26.2	“Baŋimi ye li kpelim daba ayi ka kuꞌum malek gaadug maluŋ la tienr dabisir paae. Ba na zaŋ Ninsaal Biig la n tis ka ba kpaꞌ o tabil dapuudir zug.”
MAT.26.3	Ka Winaꞌam maalmaan kpeenmnam ne teŋin kpeenmnam laꞌas taaba n ken Kaifas yin. Kaifas da ane Winaꞌam maalmaan kpeenm. 
MAT.26.4	Ka ba tuꞌas ne taaba n gbanꞌe noor yinni ban na niŋ siꞌem n suaꞌ gbanꞌe Yesu n ku o. 
MAT.26.5	Ka ba yel ye, “Kaꞌa maluŋ la daar laa, bozugo nidib la na ti zabidi o zug.”
MAT.26.6	Ka Yesu daa be Simon one da a kukom la yin n be Betani teŋin. 
MAT.26.7	Ka Yesu da be ani n dit ka poꞌa soꞌ da kenn o saꞌan na n mor alabasta kugir kolibir ne tudaare din ligidi zuꞌe hale bedego n kpaꞌe n waligi Yesu zug.
MAT.26.8	Ka o nyaꞌandolib n nye li la, ba sunya pelig ne. Ka ba buꞌos ye, “Bo ligsaꞌuŋi nwa? 
MAT.26.9	Bozugo ba naani kuosin tudaare nwa ligidi bedego n zaŋi li suŋ noŋ dim.”
MAT.26.10	Amaa Yesu baŋ ba tenꞌesug ka yeli ba ye, “Bo ka ya daam poꞌa la ala? O maal man yelsum. 
MAT.26.11	Noŋ dim bene ya saꞌan daar wusa, amaa man ku be ne yanam saŋa wusa. 
MAT.26.12	On kpaꞌe tudaare niŋe m niŋgbiŋ nwa, paꞌal ye o tiꞌebidi ban na ti mum mam siꞌem. 
MAT.26.13	Yelmeŋir ka m yeti ya ye, labasuŋ la n ken zinꞌisiꞌa wusa dunia zug, ba na yel poꞌa nwa yela, ka li niŋ o tienr.”
MAT.26.14	Ka Yesu nyaꞌandol yinni, on yuꞌur buon Judas Iskariot, daa keŋ maalmaan kpeenmnam saꞌan 
MAT.26.15	n yeli ba ye, “Ya na tisi m bo, ka m zaŋ Yesu niŋ ya nuꞌugine?” Ka ba yo o anzurifa ligidi piistanꞌ. 
MAT.26.16	Ka din saŋa, ka o pinꞌil n bo suer kan ka o na zam Yesu.
MAT.26.17	Maluŋ pinꞌilug daar kan ka ba na di bodobodo lin ka ba pu niŋ dabin la, Yesu nyaꞌandolib kenn o saꞌan na n buꞌos o ye, “Fu bood ye ti maal zinꞌikane ka fu na di maluŋ tienr diib la?”
MAT.26.18	Ka o lebis n yeli ba ye, “Kemi teŋ poogin la soꞌ saꞌan n yel o ye, ‘Ti Paꞌan la yel ye, “M saŋa paaeya. Ka m na maal maluŋ tienr fu yin, man ne m nyaꞌandolib.” ’ ” 
MAT.26.19	Ka o nyaꞌandolib la niŋ wenne Yesu n yeli ba la, n maal maluŋ tienr la diib.
MAT.26.20	Ka zaam maꞌae, ka o zinꞌin ne o nyaꞌandolib pii ne yi la ye ba di. 
MAT.26.21	Ka ban dit la, Yesu yeli ba ye, “Yelmeŋir ka m yeti ya ye, nid yinni ya saꞌan nwa na zam man.”
MAT.26.22	Ka ba sunya saꞌam hale, ka ba pinꞌil n buꞌosid o yinni yinni ye, “Zugsoba, li ane man bee?”
MAT.26.23	Ka Yesu lebisi n yeli ba ye, “On ka o nuꞌug na siaꞌal ne m nuꞌug laan la, one na zam man. 
MAT.26.24	Ninsaal Biig la na kpi wenne din pun da sob m yela siꞌem la. Amaa toog be one zam Ninsaal Biig la zug. Li da pu suꞌum ye o ma duꞌa o.”
MAT.26.25	Ka Judas one na zam Yesu la lebis n yel ye, “Paꞌana, li ane man bee?”
MAT.26.25	Ka Yesu yel o ye, “Fun yel ala.”
MAT.26.26	Ka ban daa dit la, Yesu zaŋ bodobodo n puꞌus Winaꞌam bareka ka gbenꞌes n tis o nyaꞌandolib la, ka yeli ba ye, “Diꞌem nwa n di. Lina a m meŋ niŋgbiŋ.”
MAT.26.27	Ka o zaŋ nwam n puꞌus Winaꞌam bareka ka tisi ba ye, “Ya wusa diꞌem nu. 
MAT.26.28	Bozugo nwa ane man ziim line ane nonaar yela. Ziim line yi ye nidib bedego nye suguru. 
MAT.26.29	M yeti ya ne ye, m ku lem nu daam nwa yaꞌase, asee daar kan ka m na lem nu danpaal ne ya, m Baꞌ soꞌolim ni la.”
MAT.26.30	Ka ban daa yuum Winaꞌam yuuma n naae la, ba yi n ken Olives Zuerin la.
MAT.26.31	Ka Yesu yeli ba ye, “Yanam wusa na kiꞌis ka bas man zina yuꞌuŋa, bozugo li sobne ye,
MAT.26.31	‘M na ku konbkem la ka peꞌes na widig.’
MAT.26.32	Amaa man yaꞌa ti vuꞌug ka bas kuꞌum, m na deŋi ya tuon keŋ Galilee.”
MAT.26.33	Ka Piita lebis ye, “Hale baa bama wusa yaꞌa na zo ka bas fun, man ku bas foo.”
MAT.26.34	Ka Yesu yel Piita ye, “Yelmeŋir ka m yet uf ye, zina yuꞌuŋa nwa, fu na kiꞌis man noor atanꞌ ka noraug naan kaas.”
MAT.26.35	Ka Piita lebis yel ye, “Hale baa li yaꞌa suꞌum ye man kpi ne fun, m ku kiꞌisi fu.” Ka o nyaꞌandolib la wusa me yel ala.
MAT.26.36	Ka ban ne Yesu yi ken zinꞌikan buon Gesemane la, ka o yel o nyaꞌandolib la ye, “Kpelimi kpela, ka man keŋ tuon n sos Winaꞌam.” 
MAT.26.37	Ka Yesu dol Piita ne Zebedee biis ayi. Ka o suunr saꞌam bedego. 
MAT.26.38	Ka o yeli ba ye, “M suunr saꞌameya, hale ka li wenne mam ye m kpine. Kpelimi kpela ka guri m.”
MAT.26.39	Ka o keŋ tuon biꞌela n vanbin teŋin, ka sos Winaꞌam ye, “M Baꞌ, li yaꞌa a suꞌum, ke ka daam nwam nwa line paꞌal m namisug la, gaad ka ke mam. Amaa kaꞌane ye m sunf boodim, amaa lin ka fu bood ye li niŋ la.”
MAT.26.40	Ka o leb o nyaꞌandolib la saꞌan n nye ka ba gbisidne. Ka o buꞌos Piita ye, “Yanam ku tunꞌe nie ne man baa biꞌela? 
MAT.26.41	Niemi, ka sos Winaꞌam ka ya da kpenꞌ makirine. Siig la bood Winaꞌam dolim, amaa ya niŋgbina kaꞌ paŋa.”
MAT.26.42	Ka o lem leb yaꞌas n sos Winaꞌam n yel ye, “M Baꞌ, daam nwam nwa yaꞌa ku gaad ka ke mam asee m nu li, kel ka li niŋne fu yaꞌam boodim.”
MAT.26.43	Ka o lem leb o nyaꞌandolib la saꞌan na yaꞌas, ka nye ka ba kpelim gbisidne, bozugo gbenn um daa more ba hale.
MAT.26.44	Ka o ke ba, ka leb yaꞌas, noor atanꞌ daan n sos Winaꞌam ne pianꞌad yin la gullim. 
MAT.26.45	Ka o lem leb o nyaꞌandolib la saꞌan na, ka buꞌosi ba ye, “Ya kpelim gbisidne ka vuꞌusidaa? Gosimi, saŋa paae na, ka ba pun zam Ninsaal Biig la, ka zaŋ o niŋ tuumbeꞌed dim nuꞌusin. 
MAT.26.46	Duomi ka ti keŋ. Gosim one n zam man la paae na.”
MAT.26.47	Ka on nam kpelim pianꞌad la, ka Judas one a o nyaꞌandolib pii ne yi la nid yinni, kenna ne nidib bedego bane yi maalmaan kpeenmnam ne kpeenmnam saꞌan na, ne suꞌuraad ne balaya. 
MAT.26.48	One zam o la, pun paꞌali ba siꞌel ye, “On ka m muak o noor la, one la. Gbanꞌam o.” 
MAT.26.49	Ka Judas paae Yesu saꞌan na ka kpelim puꞌus o ye, “Naa, Paꞌana,” ka muak o noor.
MAT.26.50	Ka Yesu buꞌos o ye, “M zua, fu kena ye fu niŋ bo?”
MAT.26.50	Ka ba kena gbanꞌe Yesu. 
MAT.26.51	Ka Yesu nid yinni fue o suꞌuraug n kiaꞌ maalmaan tumtum tobir n fiꞌig.
MAT.26.52	Ka Yesu yel o ye, “Lebisim fu suꞌuraug la su li teongun, bozugo bane zabid ne suꞌus la na kpi ne suꞌus.” 
MAT.26.53	Ka Yesu buꞌos o ye, “Fu pu baŋ ye m tunꞌe sos m Baꞌ ka yimmo ka o na tis man maleknam tusa siꞌem naa? 
MAT.26.54	Ka li yaꞌa niŋ ala, Winaꞌam gbauŋ n daa yel siꞌel la, na niŋ wala ka li a ameŋa?”
MAT.26.55	Ka Yesu buꞌos nidib bedego la ye, “Ya kena ne suꞌuraad ne balaya ye ya gbanꞌe m wenne faand bee? Daar wusa ka m be Winaꞌam yin n zamisid nidib, ka ya pu gbanꞌe ma. 
MAT.26.56	Amaa nwa wusa niŋne n paꞌal ye Winaꞌam nodiꞌesidib n daa yel siꞌel n sob Winaꞌam gbauŋin la, ane ameŋa.” Ka o nyaꞌandolib la wusa bas o ka zo.
MAT.26.57	Ka bane gbanꞌ o la, mor o keŋ maalmaan kpeenm Kaifas yin. Anina ka gbauŋmiꞌidib ne kpeenmnam daa pun laꞌas. 
MAT.26.58	Ka Piita be nyaꞌaŋ sa n dol hale n paae maalmaan kpeenm la samanin. Ka o kpenꞌ zakin zinꞌi ne tumtumnib, ye o baŋ li koosug a siꞌem.
MAT.26.59	Ka maalmaan kpeenmnam ne nimbane yiti gbanꞌe noor Jew dim yela la zanꞌasa, bo ziri kaset dim ye ba maꞌ tis Yesu, ka ba ku o. 
MAT.26.60	Ka ba pu nye baa yinni, hale baa ziri kaset dim bedego daa maꞌ ziri tis o.
MAT.26.60	Li nyaꞌaŋ la ka nidib ayi due 
MAT.26.61	n ziꞌe, ka yel ye, “Dau nwa daa yel ye, o na tunꞌe nwaꞌe Winaꞌam puꞌusum yir la, ka lem nok daba atanꞌ n meꞌ li naae.”
MAT.26.62	Ka maalmaan kpeenm la due n ziꞌe, ka buꞌos Yesu ye, “Fu ku lebis siꞌel ne bane yet siꞌem wusa tis uf laa?” 
MAT.26.63	Amaa ka Yesu pu lebis siꞌela.
MAT.26.63	Ka maalmaan kpeenm lem pianꞌad ne Yesu yaꞌas ye, “Poom ne Winaꞌam one voe la, ka yele ti, fu yaꞌa ane Kiristo one a Winaꞌam Biig la.”
MAT.26.64	Ka Yesu lebis n yel o ye, “Fun yel ala.” Amaa m yeti ya ye, “Lin pinꞌil zina zaŋ ken sa, ya na ti nye Ninsaal Biig la ka o zinꞌin Winaꞌam one soꞌe paŋ la datiuŋ ka kenna ne saŋgbana.”
MAT.26.65	Ka maalmaan kpeenm aaenn o meŋ fuud, ka yel ye, “Fu tuꞌud Winaꞌam. Ti pu lem bood ye soꞌ lem di kaset yaꞌase. Ya pu wum on tuꞌud Winaꞌam siꞌem la. 
MAT.26.66	Ya tenꞌesid ye bo?”
MAT.26.66	Ka ba lebis ye, “O suꞌum ne kuꞌum.”
MAT.26.67	Ka ba tubis nintoond n mad o nindaa, ka nweꞌ o ne kpisinkpila. Ka sieba nweꞌ o ne tampianꞌas 
MAT.26.68	n yel o ye, “Fun Kiristo, baŋim one nweꞌ uf la.”
MAT.26.69	Ka Piita daa zinꞌi zakin la, ka bipuŋ keŋ o saꞌan na n yel o ye, “Fu me daa bene ne Yesu, one yi Galilee la.”
MAT.26.70	Ka o kiꞌis ba wusa tuon n yel ye, “M pu baŋ fun yel siꞌel laa.”
MAT.26.71	Ka o yi yaŋirin ka bipuŋ soꞌ lem nye o, ka yel bane be anina la ye, “Oŋa me daa be ne Yesu, one yi Nazaret la.”
MAT.26.72	Ka Piita kiꞌis yaꞌas, ka po ye, “M ziꞌ oo.”
MAT.26.73	Li niŋ biꞌela, ka bane ziꞌe la liꞌel Piita ka ye, “Ameŋa, oŋa ane Yesu nid yinni, bozugo o pianꞌad viig o gbin.”
MAT.26.74	Ka Piita pinꞌili po, ka kaanb kaanbbeꞌed tis o meŋ ye, “Mam ziꞌ dau nwaa.” Ka saŋkan la ka noraug kaas. 
MAT.26.75	Ka Piita yuꞌun tienn Yesu n sa yel siꞌel la ye, “Fu na kiꞌis noor atanꞌ ye, fu ziꞌ ma, ka noraug nyaan kaas.” Ka o yi yiŋ n kum hale bedego.
MAT.27.1	Ka beug nie ka maalmaan kpeenmnam ne kpeenmnam sieba gbanꞌe noor ye ba ku Yesu. 
MAT.27.2	Ka ba loo o more keŋ Pilate one a Gomena la saꞌan.
MAT.27.3	Ka Judas one zam Yesu la n nye ka ba gbanꞌ o lo ye ba ku o la, ka o sunf saꞌam ka o mor anzurifa ligidi piistanꞌ la n lebi tis kpeenmnam la 
MAT.27.4	ka yel ye, “M tum taalne man zam nid kane pu tum beꞌede ka ba na kuu o la.”
MAT.27.4	Ka ba yel ye, “Ti baꞌa kaeꞌ. Li ane fu zugin yela.”
MAT.27.5	Ka Judas lob ligidi la bas ka keŋ yul o meŋi kpi.
MAT.27.6	Ka kpeenmnam la zaŋ ligidi la ka ye, “Li ane ziim ligidi. Li pu nar ka ti zaŋ ligidi la n gendig puꞌusum yin ligidi nii.” 
MAT.27.7	Ka ba gbanꞌe noor yinni ye ba nok ligidi la daꞌ yaꞌab yaꞌab poog ye ba mum saam. 
MAT.27.8	Hale laꞌam ne zina ba kpelim buon zinꞌikan la ye ziim poog. 
MAT.27.9	Ka lin ka Winaꞌam nodiꞌes, Jeremia da sob la sid niŋ sida ye, “Ka ba nok anzurifa ligidi piistanꞌ, ligikan la ka Israel yaas da gbanꞌe noor yinni ye ba yoo la 
MAT.27.10	n daꞌ yaꞌab yaꞌab poog la wenne Zugsob la yeli m siꞌem la.”
MAT.27.11	Ka Yesu ziꞌe Gomena la tuon ka o buꞌos o ye, “Fune a Jew dim naꞌab laa?”
MAT.27.11	Ka o lebis o ye, “Eenn, fune yel ala.”
MAT.27.12	Ka kpeenmnam la yel ye o niŋ siꞌelnam ka li a tuumbeꞌed. Ka o pu lebis siꞌela. 
MAT.27.13	Ka Pilate yel o ye, “Fu pu wum ban yet siꞌem la wusa n ziꞌel uf laa?” 
MAT.27.14	Ka o pu lebis siꞌel siꞌela, ka li lidig Gomena la hale.
MAT.27.15	Li da ane anwa kuꞌum malek gaadug daar tienr diꞌema saŋa la, ka li mor suer ye Gomena la yiis sarega nid yinni bas, on ka nidib bedego na gaŋ la. 
MAT.27.16	Saŋkan la ba daa mor nimbeꞌug one be sarega ni, ka ba buon o Barabbas. 
MAT.27.17	Ka nidib la laꞌas bedego na, ka Pilate buꞌosi ba ye, “Anoꞌon ka ya bood ye m basi, Barabbas bee Yesu, on ka ba buon Kiristo la?” 
MAT.27.18	Pilate baŋ ye li ane nennim yela ka ba gbanꞌ Yesu.
