GEN.1.1	A tîra Pathianin lei leh vân a siam khân 
1CH.6.27	Eliaba, Jerohama, Elkana.
1CH.6.28	Samuela fapa upa zâwk chu Joela a ni a, a naupang zâwk chu Abija a ni.
1CH.6.29	Meraria thlah, a chhuan indawtin hêngte hi an ni: Mahlia, Libnia, Simeia, Uza, 
1CH.6.30	Simea, Hagia, Asaia.
1CH.6.31	Jerusalem khuaa Thuthlung bâwm an lâk luh hnu chuan lal Davidan hêng mite hi Pathian biak huna zaipâwl huaihawt tûrin a ruat. 
1CH.6.32	Lal Solomonan Tempul a sak hnu chuan hêng mite hi pâwla insiamin Inbiakna bûka hla sa tûrin an inkalchhâwk ṭhîn. 
1CH.6.33	Chûng mite inthlah chhâwn dân chu hetiang hi a ni:
1CH.6.33	Kohata thlahte: Zaipâwl khat hotu chu Joela fapa Hemana a ni. Hemana thlahtute chu an chhuan indawtin hêngte hi an ni: Joela, Samuela, 
1CH.6.34	Elkana, Jerohama, Eliela, Toa, 
1CH.6.35	Zufa, Elkana, Mahata, Amasaia, 
1CH.6.36	Elkana, Joela, Azaria, Zefania, 
1CH.6.37	Tahata, Asira, Ebiasafa, Kora, 
1CH.6.38	Izara, Kohata, Levia, Jakoba.
1CH.6.39	Asafa chu zaipâwl dang hotu a ni. Asafa thlahtute chu an chhuan indawtin hêngte hi an ni: Berekia, Simea, 
1CH.6.40	Mikaela, Baaseia, Malkija, 
1CH.6.41	Ethnia, Zera, Adaia 
1CH.6.42	Ethana, Zima, Simeia, 
1CH.6.43	Jahata, Gersona, Levia.
1CH.6.44	Meraria thlah Ethana chu zaipâwl dang hotu a ni. Ethana thlahtute chu an chhuan indawtin hêngte hi an ni: Kisia, Abdia, Maluka, 
1CH.6.45	Hasabia, Amazia, Hilkia, 
1CH.6.46	Amzia, Bania, Semera, 
1CH.6.47	Mahlia, Musia, Meraria, Levia.
1CH.6.48	An chipui, Levia chi dangte chu, Pathian biakna hmuna tih tûr hrang hrang ti tûrin hna an ruatsak bawk a.
1CH.6.49	Arona leh a thlahte hi maichâma rimtui hâl a, hâlral thilhlan hlântu an ni. Hmun Thianghlima Pathian biak hi an hova tih tûr a ni. Pathianin a mite sual a ngaihdam nân, thilhlan pawh anni hian an hlân tûr a ni. Pathian chhiahhlawh Mosia sawi ang chiah zêlin chûng chu an ti ṭhîn. 
1CH.6.50	Arona thlahte chu a chhuan indawtin hêngte hi an ni: Eleazara, Finehasa, Abisua, 
1CH.6.51	Bukia, Uzia, Zerahia, 
1CH.6.52	Meraiota, Amaria, Ahituba, 
1CH.6.53	Zadoka, Ahimaaza.
1CH.6.54	Arona thlah Kohat-ho awmna ram chu hei hi a ni: Levia chite awmna tûra an ruatsak hmasaah an awm a ni. 
1CH.6.55	Judai ramah chuan Hebron-ah an awmtîr a, a vêl ran tlatna pawh an chan a ni. 
1CH.6.56	He khaw huam chhûnga khawperte leh lo ramte chu Jefunea fapa Kaleba chan a ni. 
1CH.6.57	Arona thlahte awmna tûra an ruat chu hêng hi a ni: Hebron, inhumhimna khua a ni nghâl bawk; Libna, Jatir, Estamoa, 
1CH.6.58	Hilen, Debir 
1CH.6.59	Asan, Beth-semes khaw dai, ran tlatnate nên. 
1CH.6.60	Benjamin-ho bialah hêng khuate leh an dai ran tlatnate hi an behtîr a: Geba, Alemet, Anathot. An chhûngkua zawng zawng awmna tûra an ruat chu khaw sâwm leh pathum a ni. 
1CH.6.61	Khawthlang lam Manasea thlahte bialah Kohata thlah mi dangte awmna tûr ṭhumvâwrin a chhûng chhûngin khaw sâwm an ruatsak a.
1CH.6.62	Gersona thlahte, a chhûng chhûnga an awmna tûr, Isakara-ho ramah te, Aser-ho ramah te, Naftali-ho ramah te leh khawchhak lama Manasea thlahte awmna Basan ramah te khaw sâwm leh pathum an ruatsak a.
1CH.6.63	Chutiang bawkin Reuben-ho te, Gad-ho te leh Zebulun-ho awmna ramah khaw sâwm leh pahnih Meraria thlahte, a chhûng chhûnga an awmna tûr an ruatsak a.
1CH.6.64	Chutiang bawkin Israel mite chuan Levia chite awmna tûr khua, a dai vêl ran tlatna tûrte nên an ruatsak a 
1CH.6.65	(Juda-ho te, Simeon-ho te, Benjamin-ho te ram chhûng khua an ruatsak pawh kha ṭhum vâwra tih a ni).
1CH.6.66	Kohata thlah chhûng ṭhenkhat chu Efraim-ho awmna ramah khaw ṭhenkhat leh a dai vêl ran tlatnate an awmna atân an ruatsak a. 
1CH.6.67	Efraim tlângrama awm inhumhimna khua Sekem te, Gezer te, 
1CH.6.68	Jokmeam te, Beth-horon te, 
1CH.6.69	Aijalon te leh Gath-rimon te hi. 
1CH.6.70	Khawthlang lam Manase-ho ramah pawh Aner leh Bileam khuate chu a dai vêl ran tlatnate nên an chanah an ruatsak bawk.
1CH.6.71	Gersona thlahte awm nân hêng khuate hi, a dai vêl ran tlatna nên an ruat bawk: Khawchhak lam Manase-ho awmna Basan bialah Golan leh Astarot khuate hi.
1CH.6.72	Isakar-ho awmnaah: Kedes khua te, Daberat khua te, 
1CH.6.73	Ramot khua te, Anem khua te hi.
1CH.6.74	Aser-ho awmnaah: Masal khua te, Abdon khua te, 
1CH.6.75	Hukok khua te, Rehob khua te hi.
1CH.6.76	Naftali-ho awmnaah: Galili-a Kedes khua te, Hamon khua te, Kiriathaim khua te hi.
1CH.6.77	Meraria thlah dangte chu, hêng khua leh a dai vêl ran tlatnate hi an ruatsak a: Zebulun-ho awmna Rimon leh Tabor khua te.
1CH.6.78	Jordan chhak lam Jeriko zâwn Reuben-ho awmnaah: Tlâng zâwla Bezer khua te, Jahza khua te, 
1CH.6.79	Kedemot khua te, Mefaat khua te hi.
1CH.6.80	Gad-ho awmnaah: Gilead biala Mahanaim khua te, 
1CH.6.81	Hesbon khua te, Jazer khua te hi.
1CH.7.1	Isakara khân fapa pali - Tola te, Pua te, Jasuba te, Simrona te a nei a. 
1CH.7.2	Tola hian fapa paruk, Uzia te, Refaia te, Jeriela te, Jamaia te, Ibsama te, Semuela te a nei a. Chûng chu Tola thlahte chhûngkaw hotu an ni a, mi huaisen hmingthang tak tak an ni; Davida hun laiin an thlahte chu mi sînghnih leh sânghnih leh zaruk an ni.
1CH.7.3	Uzia hian fapa pakhat Izrahia a nei a, Izrahia leh a fa pali Mikaela te, Obadia te, Juda te, Isahia te hi chhûngkaw hotu an ni ṭheuh va. 
1CH.7.4	Nupui an ngah a, fate pawh an nei tam a, indo mi sîngthum leh sângruk an awm.
1CH.7.5	Isakara thlah chhûngkaw zîngah sipaia ṭang thei mi sîngriat leh sângsarih hming ziak a ni.
1CH.7.6	Benjaminan fapa pathum - Bela te, Bekera te, Jediaela te a nei a. 
1CH.7.7	Bela hian fa panga - Ezbona te, Uzia te, Uziela te, Jerimota te, Iria te a nei a, thlah khat zîngah hotu an ni ṭheuh, an thlahte chu mi sînghnih leh sânghnih leh sawmthum leh pali sipaia chhawr theih an awm.
1CH.7.8	Bekera hian fapa pakua, Zemira te, Joasa te, Eliezara te, Elioenaia te, Omria te, Jeremota te, Abija te, Anathota te, Alemeta te a nei a. 
1CH.7.9	Thlah tin chhiarnaah sipaia ṭang tlâk mi sînghnih leh zahnih hming ziak a ni.
1CH.7.10	Jediaelan fapa pakhat, Bilhana a nei a. Bilhana hian fapa pasarih, Jeusa te, Benjamina te, Ehuda te, Kenaana te, Zethana te, Tarsisa te, Ahisahara te a nei a. 
1CH.7.11	Thlah khat lu ṭheuh an ni a, huaisenah an hming a thang. An thlahte zîngah sipai ṭang tlâk mi sîngkhat leh sângsarih leh zahnih an awm. 
1CH.7.12	Supim leh Hupim-ho pawh hêng chi zînga chhiar tel hi an ni. Husima chu mi dang thlah a ni.
1CH.7.13	Naftali hian fapa pali - Jaziela te, Gunia te, Jezera te, Saluma te, a nei a (Bilhaii thlahte an ni).
1CH.7.14	A nupui Aram mi nên Manasean fa pahnih Asriela leh Makira a nei a. Makira hi Gileada pa a ni. 
1CH.7.15	Makira hian Hupima leh Supima tân nupui a zawnsak a. A farnu chu Maaki a ni. Makira fa pahnihna chu Zelofehada a ni, ani hian fa hmeichhia chauh a nei a. 
1CH.7.16	Makira nupui Maaki hian fapa pahnih - Peresa leh Seresa a nei a. Peresa hian fapa pahnih - Ulama leh Rekema a nei a. 
1CH.7.17	Ulama hian fa pakhat Bedana a nei a. Hêngho hi Gileada thlahte chu an ni. Gileada pa chu Makira a ni a, a pu chu Manasea a ni.
1CH.7.18	Gileada farnu Hamoleketi chuan fapa pathum - Isoda te, Abiezera te, Malaa te a nei a 
1CH.7.19	(Semida chuan fapa pali - Ahiana te, Sekema te, Likhia te, Aniama te a nei).
1CH.7.20	Efraima thlahte chu a chhuan indawtin hêngte hi an ni: Suthela, Bereda, Tahata, Eleada, Tahata, 
1CH.7.21	Zabada, Suthela, Efraima hian fapa Ezera leh Eliada a nei bawk a; mahse, Gath khaw mite berâm an ru lai an lo that a. 
1CH.7.22	An pa Efraima chuan a sûn a, a unaute chuan an rawn lênpui a, an thlamuan a. 
1CH.7.23	A nupui chu a pâwl leh a, nau a pai a, fapa a hring a, an chunga buaina a thlen avângin a hmingah Beria an sa a.
1CH.7.24	Efraima chuan fanu Seeri a nei bawk; Beth-horon chuanchung leh chuanhnuai khua leh Uzen-seer khuate hi a siam a ni.
1CH.7.25	Efraima hian fapa dang Refaa a nei bawk a, chu mi thlahte chu a chhuan indawtin hêngte hi an ni: Resefa, Tela, Tahana, 
1CH.7.26	Ladana, Amihuda, Elisama, 
1CH.7.27	Nuna, Josua.
1CH.7.28	An ram lâk, an awm tâkna ram chuan Bethel leh a chhehvêl khua aṭangin chhak lamah Naaran khua a thleng a, thlang lamah Gezer leh a chhehvêl khua a thleng bawk. Sekem leh Aia khua, an chhehvêl khua te nên a huam bawk.
1CH.7.29	Hêng khawpui Beth-sean te, Taanak te, Megido te, Dor te leh an chhehvêl khuate hi Manasea thlahte thuhnuaiah an awm, khîng hmunahte khian Jakoba fa Josefa thlahte chu an awm a ni.
1CH.7.30	Hei hi Aser thlah chhuina a ni. Fapa pali - Imna te, Isva te, Isvia te Beria te a nei a; fanu Seri a nei bawk.
1CH.7.31	Beria hian fapa Hebera leh Malkiela a nei a. Malkiela hian Birzait khua hi a din a ni.
1CH.7.32	Hebera hian fapa pathum - Jafleta te, Somera te, Hothama te a nei a, fanu Suai a nei bawk.
1CH.7.33	Jafleta hian fapa pathum - Pasaka te, Bimhala te, Asvata te a nei.
1CH.7.34	A nau Somera pawh hian fapa pathum - Roga te, Jehuba te, Arama te a nei bawk. 
1CH.7.35	An tlum ber Hothama hian fapa pali - Zofa te, Imna te, Selesa te, Amala te a nei.
1CH.7.36	Zofa thlahte chu a chhuan indawtin hêngte hi an ni: Sua, Harnefera, Suala, Beria, Imra, 
1CH.7.37	Bezera, Hoda, Sama, Silsa, Ithrana, Beera.
1CH.7.38	Jethera thlahte chu Jefunea te, Pispa te, Ara te an ni. 
1CH.7.39	Ula thlahte chu Ara te, Haniela te, Rizia te an ni.
1CH.7.40	Khîng khi Asera thlahte chu an ni. A chi hrang hotute chu indonaa hmingthang, hruaitu fel tak tak an ni. Asera thlahte zîngah sipaia ṭang tlâk mi sînghnih leh sângruk an awm.
1CH.8.1	Benjaminan fapa panga a nei a, an upat dân indawtin, hêngte hi a nei: Bela, Asbela, Ahara, 
1CH.8.2	Noha, Rafa. 
1CH.8.3	Bela chuan fapa hêngte hi a nei: Adara, Gera, Abihuda, 
1CH.8.4	Abisua, Naamana, Ahoa, 
1CH.8.5	Gera, Sefufana, Hurama.
1CH.8.6	Ehuda thlahte chu Naamana te, Ahija te, Gera te hi an ni. Geba khuaa chi hrang hrang awmte hotu an ni; salah Manahat-ah an hruai a, 
1CH.8.7	chutah chuan an awm ta a, Uza leh Ahihuda pa Gera hovin an chhuak a ni.
1CH.8.8	Saharaima chuan a nupui pahnih Husimi leh Baari chu a ṭhen a; chumi hnu chuan Moab ramah a awm a. 
1CH.8.9	Nupuiah Hodesi a nei a, fapa pasarih - Jobaba te, Zibia te, Mesa te, Malkama te, 
1CH.8.10	Jeuza te, Sakia te, Mirma te a nei a. A fate chu an chi hruaitute an ni hlawm. 
1CH.8.11	Husimi nên khân fapa pahnih Abituba leh Elpaala an nei.
1CH.8.12	Elpaala hian fapa pathum - Ebera te, Misama te, Semeda te a nei a. Semeda hian Ono leh Lod hi an chhehvêl khuate nên a din a.
1CH.8.13	Beria leh Sema hi Aijalon khuaa awm tate chi hrang hrang hotute an ni, Gath khuaa awm ṭhînte chu an ûm chhuak a. 
1CH.8.14	Beria thlahte chu hêng hi an ni: Ahioa te, Sasaka te, Jeremota te, 
1CH.8.15	Zebadia te, Arada te, Edera te, 
1CH.8.16	Mikael te, Ispa te, Joha te.
1CH.8.17	Elpaala thlahte chu: Zebadia te, Mesulam te, Hizkia te, Hebera te, 
1CH.8.18	Ismerai te, Izlia te, Jobaba te an ni. 
1CH.8.19	Simeia thlahte chu: Jakim te, Zikri te, Zabdi te, 
1CH.8.20	Elienai te, Zilethai te, Eliel te, 
1CH.8.21	Adaia te, Beraia te, Simrata te an ni.
1CH.8.22	Sasaka thlahte chu: Ispan te, Eber te, Eliel te, 
1CH.8.23	Abdon te, Zikri te, Hanan te, 
1CH.8.24	Hanania te, Elam te, Anthothiza te, 
1CH.8.25	Ifdeia te, Penuela te an ni.
1CH.8.26	Jerohama thlahte chu: Samseraia te, Seharia te, Athalia te, 
1CH.8.27	Jaaresia te, Eliza te, Zikria te an ni.
1CH.8.28	Chûng chu hêng hnam thlahtu bulte chu an ni, an thlahte hi Jerusalem khuaah an awm.
1CH.8.29	Jeielan Gibeon khua hi a din a, a awm ta a. A nupui chu Maaki a ni. 
1CH.8.30	A fa upa ber chu Abdona a ni, a fa dangte chu Zura te, Kisa te, Baala te, Nera te, Nadaba te, 
1CH.8.31	Gedora te, Ahioa te, Zekera te, Miklota te an ni. 
1CH.8.32	Miklota hi Simea pa a ni. Hêngho thlahte hi an chipuite bul, Jerusalem-ah an awm.
1CH.8.33	Nera hian fapa Kisa a nei a, Kisa hian fapa lal Saula a nei a. Saula hian fapa pali - Jonathana te, Malkisua te, Abinadaba te, Esbaala te a nei a. 
1CH.8.34	Mika pa Merib-baala chu Jonathana fa a ni.
1CH.8.35	Mika hian fapa pali - Pithona te, Meleka te, Tarea te, Ahaza te a nei a. 
1CH.8.36	Ahaza chuan fapa Jehoada a nei a, ani chuan fapa pathum - Alemeta te, Azmaveta te, Zimria te a nei a. Zimria chuan fapa Moza a nei a. 
1CH.8.37	Ani chuan fapa Binea a nei a, Binea chuan fapa Rafa a nei a, ani chuan fapa Eleasa a nei a, Eleasa chuan fapa Azela a nei a.
1CH.8.38	Azela hian fapa paruk: Azrikama te, Bokerua te, Ismaela te, Searia te, Obadia te, Hanana te a nei a. 
1CH.8.39	Azela nau Eseka chuan fapa pathum - Ulama te, Jeusa te, Elifeleta te a nei a.
1CH.8.40	Ulama fate chu sipai huai tak tak an ni, thal kah an thiam êm êm. Tu leh fa za leh sawmnga a nei. Hêngho hi Benjamin hnam zînga mi vek an ni.
1CH.9.1	Israel mi zawng zawng hming chu a chhûng chhûngin ziak vek a ni a. “Israel lalte Lehkhabu” tihah chuan ziak luh a ni. Judai rama mi zawng zawng chu an sual avânga hrem nân Babulon-ah sala hruai vek an ni. 
1CH.9.2	An in leh lo awmna khuaa lo kîr hmasate chu Israel mi narân te, puithiam te, Levia chi te, Tempul enkawltu te an ni. 
1CH.9.3	Juda hnam te, Benjamin hnam te, Efraim hnam te leh Manase hnam te chu Jerusalem khuaah awm tûrin an kal a.
1CH.9.4	Juda fa, Pereza thlahte hruaitu chu Amihuda fapa Uthaia a ni, a pu chu Omria a ni. A thlahtute zîngah Imria leh Bania an tel. 
1CH.9.5	Juda fa Sela thlahte hruaitu chu Asaia a ni, an chhûngkaw hotu ber a ni. 
1CH.9.6	Juda fa Zera thlahte hruaitu chu Jeuela a ni, Juda thlah Jerusalem-a awmte chu mi zaruk leh sawmkua an ni.
1CH.9.7	Benjamin hnam hrang hrang Jerusalem-a awmte chu hêngte hi an ni: Mesulama fa Salua te chhûng: Mesulama pa hi Hodavia a ni, a pu chu Hasenua a ni;
1CH.9.8	Jehorama fapa Ibneia te chhûng; Uzia fapa, Mikria tupa Ela te chhûng; Sefatia fapa Mesulama te chhûng: Sefatia hi Reuela fa Ibnija tupa a ni. 
1CH.9.9	He hnam hi Jerusalem-ah chhûngkaw zakua leh sawmnga leh paruk an awm. An hming sawite khi chhûngkaw hotu vek an ni.
1CH.9.10	Hêng puithiamte hi Jerusalem-ah an awm: Jedaia te, Jehoiariba te, Jakina te, Hilkia fapa Azaria te, Ani hi Tempul hnaa hotupa ber a ni. A pute chu a chhuan indawtin: 
1CH.9.11	Mesulama, Zadoka, Meraiota, Ahituba.
1CH.9.11	Jerohama fapa Adaia te; ani hi a pute chu Pasura te, Malkija te an ni. 
1CH.9.12	Adiela fapa Maasaia te, a pute chu Jazera te, Mesulama te, Mesilemita te, Imera te an ni.
1CH.9.13	Puithiam, chhûngkhat hotute chu mi sângkhat leh zasarih leh sawmruk an ni. Tempula tih tûr ti thiam vek an ni.
1CH.9.14	Hêng Levia chite hi Jerusalem-ah an awm:
1CH.9.14	Hasuba fapa Semaia: A pate chu Azrikama te, Hasabia te an ni, Meraria thlah an ni;
1CH.9.14	Bakbakara te, Heresa te, Galala te.
1CH.9.15	Mika fapa Matania te: A pute chu Zikria te, Asafa te an ni. Semaia fapa Obadia te, a pute chu Galala te, Jeduthuna te an ni;
1CH.9.16	Asa fapa Berekia te: a pu chu Elkana a ni, Netofa khaw ram chhûnga awm ṭhîn an ni.
1CH.9.17	Hêng Tempul Pulis-te hi Jerusalem-ah an awm: Saluma te, Akuba te, Talmona te, Ahimana te; Saluma hi an hotu a ni. 
1CH.9.18	Hetih hun thleng hi chuan lal kawngkhâr an tih khawchhak lamah an awmtîr ṭhîn a. Tûn hnuah erawh hi chuan Levia chite awmna kawngkhâr an vêng ṭhîn.
1CH.9.19	Korea fapa Saluma, Ebiasafa tupa chu Kora chite nên biakbûk kawngkhâr vêngtu an ni; an thlahte pawh 
1CH.9.20	Eleazara fapa Finehasa chu (
1CH.9.21	Meselemia fapa Zekaria pawh Biakbûk kawngkhâr vêngtu a ni.
1CH.9.22	Kawngkhâr vêngtuah mi zahnih leh sâwm leh pahnih an thlang chhuak a. An awmna khaw indawtin an hming an ziak a. Lal Davida leh zâwlnei Samuelan an hna hi an siamsak a ni. 
1CH.9.23	Anniho leh an thlahte hian Tempul kawngkhâr an vêng ta zêl a ni. 
1CH.9.24	Chhim lam te, hmâr lam te, chhak lam te, khawthlang lam hawi tein kawngkhâr a awm a, chûng vêngtute chuan hotu hran an nei ṭheuh a ni. 
1CH.9.25	Hêng kawngkhâr vêngtute hi an chhûngte, thingtlânga awmte pawhin an ṭanpui ṭhîn. 
1CH.9.26	Hêng hotu pali, thuneitu berte hi Levia chi an ni. Tempula pindan hrang hrang te, a chhûnga thil dah vên him te an mawhphurhna a ni. 
1CH.9.27	Tûk tin zîngah Tempul kawngka an hawng a, a vêngtu an nih nghâl bawk avângin Tempul bul hnaiah an awm ṭhîn.
1CH.9.28	Levia chi ṭhenkhatte chu Tempula bungbêl hman enkawltu an ni. An hman dâwnin an lo chhinchhiah vek a, an hman zawha an rawn dah kîr lehin an lo chhinchhiah leh vek ṭhîn. 
1CH.9.29	Ṭhenkhat chu Tempul thil serh enkawltu an ni; chhangphut te, uain te, oliv hriak te, rimtui hâl tûr te, mosola te an kutah a awm.
1CH.9.30	Rimtui hâl tûr mosola chawhpawlh erawh hi chu puithiam tih tûr a ni.
1CH.9.31	Kora thlah Saluma fapa upa ber Matithia chu thilhlana telh tûr chhang kang hotu a ni. 
1CH.9.32	Kohata thlahte hi sabat apianga Tempula dah tûr chhang serh siamtu tûr an ni.
1CH.9.33	Levia chi bawk, mi ṭhenkhat chu Tempula rimawi tumtu an ni. A chhûn a zânin, eng lai pawha koh theih an nih avângin an hotute chu Tempul pindan ṭhenkhatah an awm ṭhîn, hna dang an thawk lo.
1CH.9.34	Hêng hi anmahni chhuan zawng zawnga hotu, Levia chhûngkaw hotute an ni. Jerusalem khuaah an awm a.
1CH.9.35	Gibeona ho hruaitu Jeiela chu Gibeon khuaah a awm a, a nupui chu Maaki a ni. 
1CH.9.36	A fapa upa ber chu Abdona a ni. Chu mi naute chu Zura te, Kisa te, Baala te, Nera te, Nadaba te, 
1CH.9.37	Gedora te, Ahioa te, Zekaria te, Miklota te an ni. 
1CH.9.38	Miklota hi Simea pa a ni a. Chûngho chu Jerusalem-ah an thlahte nên an chipui dangte awmna bulah an awm.
1CH.9.39	Nera hian fapa Kisa a nei a, chu mi chu Saula pa a ni. Saula hian fapa pali Jonathana te, Malkisua te, Abinadaba te, Esbaala te a nei a. 
1CH.9.40	Jonathana hian fapa Merib-baala a nei a, ani chu Mika pa a ni. 
1CH.9.41	Mika hian fapa pali - Pithona te, Meleka te, Tarea te, Ahaza te a nei a. 
1CH.9.42	Ahaza chuan fapa Jara a nei a, ani hian fapa pathum - Alemeta te, Asmaveta te, Zimria te a nei a. Zimria hian fapa Moza a nei a. 
1CH.9.43	Moza fapa chu Binea a ni. Binea hian fapa Refaia a nei a, chu mi chuan fapa, Azela pa Eleasa a nei a.
1CH.9.44	Azela hian fapa paruk - Azrikama te, Bokerua te, Ismaela te, Searia te, Obadia te, Hanana te a nei.
1CH.10.1	Filistia leh Israel-te chu Gilboa tlângah an inbei a. Israel mi tam tak chu an that a, mi dang chu Saula leh a fate nên an tlânchhia a. 
1CH.10.2	Filistia-ho chuan an nangchîng a, Saula fa pathum - Jonathana te, Abinadaba te, Malkisua te chu an that a. 
1CH.10.3	Saula bulah chuan an inbei nasa hle a, hmêlmain thalin an kâp fuh a, a hliam na viau va. 
1CH.10.4	Tlangvâl, a râlthuam kengtu hnênah, “I khandaih phawi la, min that mai teh, Filistia serh tan lohho hian min uankhum dah ang e,” a ti a; mahse, râlthuam kengtu chuan a hlau êm a, a that thei lo. Chuvângin, Saula chuan ama khandaih chu a la a, a bawh ta a. 
1CH.10.5	Tlangvâl chuan Saula thi a hmuh chuan a khandaih ken chu a bawh a, a thi ve ta a. 
1CH.10.6	Saula leh a fate pathum chu an thi a, an lalna pawh chu a tâwp ta a. 
1CH.10.7	A sipaite chu an tlânchhia a, Saula leh a fate pawh an thi tih an hriatin Jezreel ruama awmte chuan an khua chu an tlânchhiatsan a, Filistia mite chu an lo kal a, an rawn luah ta a.
1CH.10.8	A tûkah Filistia-ho chu an mi thahte râlthuam hlihsak tûrin an lo kal a, Gilboa tlângah chuan Saula leh a fate ruang chu an va hmu a. 
1CH.10.9	Saula lu chu an la a, an râlthuam chu an hlihsak a, Filistia ram tinah, he thil lâwmawm tak hi an milemte leh an mite hrilh tûrin mi an tlântîr a. 
1CH.10.10	Saula râlthuamte chu an pathian Tempulahte an dah a, a lu chu an pathian Dagon tempulah an târ a. 
1CH.10.11	Gilead rama Jabes khaw miten Filistia-hovin Saula an sawisak dân an han hriat chuan, 
1CH.10.12	an pasalṭhaho chu an thawk chhuak a, Saula leh a fate ruang chu an va hlâwm a, Jabes khuaah an rawn hâwn a, chutah chuan sasaw buk hnuaiah an phûm a, ni sarih chaw an nghei a.
1CH.10.14	 râwn lovin mitthi thlûk thiam a râwn; chuvângin, 
1CH.11.1	Hebron khuaa Davida hnênah Israel mi zawng zawng chu an kal a, “I thisen zawmpui kan ni a, 
1CH.11.2	Saula lal a nih lai pawh khân Israel mite chu indonaah i ho ṭhin kha. 
1CH.11.3	Israel hotu zawng zawng chu Hebron-ah Davida hnênah an lo kal a, Davida chuan 
1CH.11.4	Lal Davida leh Israel-te chu an kal a, Jerusalem khua bei tûrin an han kal a; chutih lai chuan Jebus tih a ni ṭhîn. Jebus mi, a tîr aṭanga lo awmte an la awm reng a ni. 
1CH.11.5	Jebus-ho chuan, “Khuaah i lo lût thei hauh lo vang,” an lo ti a; mahse, Davida chuan Zion kulh chu a la ta a, chu kulh awmna mual chu ‘Davida khawpui’ tih a ni ta a. 
1CH.11.6	Davida khân, “Jebus mi that hmasa ber chu sipai hotu-ah ka dah ang,” a ti a. Zeruii fapa Joaba chuan khaw bei tûr chuan hma a hruai a, sipai hotu berah a ṭang ta a ni. 
1CH.11.7	Chumi kulhah chuan Davida a awm tâk avângin ‘Davida khawpui’ tih a ni ta a.
1CH.11.8	Khaw kulh chu Milo an tih tlâng chhak lam ruama lei chhûn khahna lai aṭangin a siam ṭan a, a dang zawng chu Joaban a chhunzawm a. 
1CH.11.9	Lal Davida chu a chak tulh tulh a, Engkim 
1CH.11.10	Hêng hi Davida sipai hmingthangte chu an ni a; anni hian Israel mi zawng zawng nên lalah an siam a, 
1CH.11.11	‘Pasalṭha pathum’ an tih zînga hotu deuh ber chu Hakmon mi Jasobeama a ni. Mi zathum feiin a bei a, ṭum khatah a that vek a ni.
1CH.11.12	Pasalṭha pathum an tih zînga pakhat leh chu Aho chi, Dodoa fapa, Eleazara a ni. Pasdamim-ah Filistia-ho leh Davida-hote an inbei a, 
1CH.11.13	ani chu Davida lamṭang a ni; Barli hmuna an awm laiin Israel-te chu an tlânchhe ta mai a. 
1CH.11.14	A fate nên an lo ding a, Filistia-ho chu an that a, 
1CH.11.15	Ni khat chu Davida awmna Adulam pûkah a pasalṭha sawmthum chu an awm ve a, Filistia rual khat chuan Refa-ho awmna phaiah bûk an khuar tlat a. 
1CH.11.16	Chu hmun hima Davida a awm lai chuan Filistia mite chu Bethlehem khuaah an inkulh a. 
1CH.11.17	Davida chuan a khua Bethlehem chu a ngai hle a, “Bethlehem kawngka bula tuikhur tui min va chawisaktu awm teh sela ka va ti em,” a ti a. 
1CH.11.18	Pasalṭha pathumte chuan Filistia sipaihote chu an tâwn tlang a, Bethlehem kulh kawngka bula tuikhur tui chu an va thâl a, Davida chu an rawn pe a; mahse, ani chuan a lo in duh lo. 
1CH.11.19	“He tui hi ka in thei lo, mi huaisen thih huamte thisen in ka ni ngawt dâwn alâwm, thih huama va chawi an ni si a,” a ti a. Chûng chu ‘Pasalṭha Pathum’ an tihte thil tih chu a ni.
1CH.11.20	Joaba u Abisaia chu, ‘Pasalṭha sawmthum’ an tih zînga hotu ber a ni. Feiin mi zathum a bei a, a that vek a, a hming a ṭha ta hle a ni. 
1CH.11.21	‘Pasalṭha sawmthum’ an tih zînga hmingthang ber a ni, an hotu berah a ṭang ta a. ‘Pasalṭha pathum’ an tih zîngah erawh chuan a tel pha lo. 
1CH.11.22	Kabzeel khaw pasalṭha, Jehoiada fapa Benaia pawhin thil mak tak tak a ti. Moab chhuan êm êm milian pahnih a that a, vûr tlâk laiin a pûka sakeibaknei tawm a that bawk. 
1CH.11.23	Aigupta mi pa lian tak, tawng ngaa sâng a that bawk a ni. He pa hian kechâwn tiat dâwn laia lian fei hi a hmang a, Benaia hian talhtum nên a bei a, a fei chu a chhuhsak a, chu fei chuan Aiguptapa chu a chhun hlum a ni. 
1CH.11.24	Pasalṭha sawmthum zînga mi Jehoiada fapa Benaia chuan hêng thil hi a ti a, ‘Pasalṭha sawmthum’ zîngah chuan a hming a ṭha hle a, 
1CH.11.25	‘Pasalṭha pathum’ zîngah erawh chuan a tel pha lo. Davida chuan amah vêngtute hotu-ah a dah a.
1CH.11.26	Pasalṭha dangte: Joaba nau Asahela te, Bethlehem mi Dodoa fapa Elhanana te, 
1CH.11.27	Haror mi Samota te, Pelon mi Heleza te, 
1CH.11.28	Tekoa mi Ikesa fapa Ira te, Anathot mi Abiezera te, 
1CH.11.29	Husa mi Sibekaia te, Aho mi Ilaia te, 
1CH.11.30	Netofa mi Maharaia te, Netofa mi Baana fa Heleda te, 
