MAT.1.1	Jijajiji palka-jarrija Tapiti-kirlangu-ngurlu manu Yipuruyamu-kurlangu-ngurlu turnu-warnu-ngurlu. 
MRK.1.30	Ngulangkaju nyurnulpa ngunaja Jimaniki kurriji-nyanu. Nyurnulpa ngunaja jurrukupurda ngawurrngawurrpa-nyayirni. Ngulajulurla Jijajikiji yimi-ngarrurnu nyurnuju. 
MRK.1.31	Ngula-jangka, Jijajiji yanurnu, yaninjarla yarnkajarla nyurnukuju rdakaku, manu yarnkanjarla karrinja-yirrarnulku. Nyanunguju kapanku ngurrju-jarrija. Ngula-jangkaju, mangarrilki-jana ngayi-purraja, purranjarla yungu-jana Jijaji-pinkiki.
MRK.1.32	Parrangka jintangka-juku wanta yukanja-warnurla wuulywuulypalku, yapa yalumpu-wardingki kirri-wardingki-paturlu, kangurnulpalu-jana murrumurru manu ngalya-kari juju-kurlu palkangka-kurlu. 
MRK.1.33	Jintakumarrarni-jiki yapalurla turnu-jarrija Jijajiki. Ngulalpalu yurlapardi lirri-karrinja-yanu tuwangka. 
MRK.1.34	Jijajirliji nyangulpa-jana. Ngalya-karilpa-jana parlpuru-manu. Ngalya-karikilpa-jana wangkanjarlu jurnta yilyaja juju panu-jarlu palka-ngurlu. Kujalu juju-paturlu nyangu Jijaji, kapulu-jana milya-pinjarla wangkayarla marda yapa-karikilki. Lawa, yirdi-maninja-kujakuju Jijajirliji-jana jarraly-pinja-wangurlu rdamu-pakarnu tarnnga-kirli.
MRK.1.35	Parra-pardu-karirlalku rangkarr-kanja-wangurla-juku, Jijajiji yakarra-pardija. Ngula-jangka, karrinja-pardinjarla jinta warru pardijarra. Yanu kirri-ngirliji warlangarrangarra-kurra yapa-wangu-kurra yangarlu-kurra. Ngulangkarla wangkaja Kaatukuju. 
MRK.1.36	Kujalu Jimani manu nyanungu-nyangu wungu-warnu yakarra-pardija, ngulangkujulurla lawa-nyangu Jijajikiji. Lawa-nyanjarlalu puraja wirliya. 
MRK.1.37	Puranjarla rdipijalurla, manulurla wangkaja, “Yapangku panungku kangkulu warrirni.”
MRK.1.38	Ngula-jangkaju, nyanungulku-jana wangkaja, “Yankurlipa yinya-kurra kirri-kari kirri-kari-kirra, ngularlangurla yungurna-jana yimi-ngarrirni Yimi Ngurrju yapa-karirlanguku. Ngulakunyarna yanurnu nyampu-kurraju walya-kurra.” 
MRK.1.39	Junga-juku, warru-jana yimi-ngarrirninja-yanu jirrnganja Yimi Ngurrju jaaji-kari jaaji-karirla warrukirdikirdi Kaliliyirla-juku. Manulpa-jana ngalya-karikiji yapaku jurnta yilyaja jujuju.
MRK.1.40	Ngula-jangkaju, watijirla yanurnu Jijajiki pinti wijini-kirli panu-kurlu. Junga-juku, kamparru-jukurla mirdijirrpijirrpi parntarrinjunu. Jijajikijirla warlkirninjarla wangkaja, “Warlalja-Wiri, nyuntulurlu kanpa mardarni yartarnarri Kaatu-kurlangu yapaku parlpuru-maninjaku. Kajilpanpaju mari-jarriyarla ngajukuju, ngulaju kajikanpaju wijini parlpuru-mani manu karaly-mani!”
MRK.1.41	Junga-juku, Jijajirla mari-jarrija, ngula waku wipinjarla marnpurnu. Ngularla wangkaja Jijajiji, “Kari-nganta karnangku mari-jarri yungurnangku parlpuru-mani wijini-jangkaju! Parlpuru-jarriya wijini-jangkaju manu karalypa-jarriya pintiji!” 
MRK.1.42	Junga-juku, pintiji kapanku karalypa-jarrija wijini-jangkaju kirlkalku.
MRK.1.43+MRK.1.44	Ngula-jangkaju, Jijajilkirla wangkaja watiki, “Ngajukuju yimi-ngarrirninja-wangu nyinaya! Juwu-kurlangu-kurra Yuwarli Maralypi-kirra-wiyi yanta! Milki-yirrarninjintangku pinti yangka wijini-jangka wati jinta-kurra maralypikingarduyu-kurra yungungku pintiji miimii-nyanyi ngurrjulku. Kajingki miimii-nyanjarla kirlka-pajirni pintiji, ngulakujurla maninjarla yungka jurlpu-jarra wita-jarra ngulaju kuruwarri-ka ngunami Mujuju-kurlangu kujaju. Ngula-kurra kajingkili nyanyi ngalya-karirli yapangku, kapungkulu milya-pinyi kirlkalku wijini-wangulku.”
MRK.1.45	Junga-juku, yangka wati, ngulangkuju-jana yimiji kutu yimi-ngarrirninja-yanu. Yali yimi, kujalpa-jana warru yimi-ngarrurnu Jijaji-kirli, ngulaju kapanku pirri-yanu nguru-kari nguru-kari-kirra. Kujalu ngalya-karirli yapangku purda-nyangu Jijaji-kirlangu yimi, ngulaju kalalurla purda-nyanjarla turnu-jarrija, manu kalalu wipinja-wangu-manu warrarda. Kujarlaju, kula Jijajiji yukayarla panu-puruju kirri-kari kirri-kari-kirraju. Kulalpa nyinaja turnu-warnurla, lawa. Nyinajalpa yangarlu warlangarrangarrarla jinta. Ngulakujulpalurla yapaju warrarda yanurnu-juku.
MRK.2.1	Jijaji-jana jirrnganja yanurnu pina kurdungurlu-patuku kirri-kirra Kapurniya-kurra. Yapangkujulu panungku pina parlu-pungu nyanunguju, palka ngantalpa nyinaja nyanungu-nyangurla. 
MRK.2.2	Jijajikilirla yanurnu nyanjaku yapa panu-jarlu, yanurnulu nyanungu-nyangu-kurra. Turnu-jarrijalurla, panu-jarlulkulpalu jilyirr-nyinaja kaninjarni, manulpalu karrija yurlapardirlangu. Kulalu nyarrpara-wanalku yukayalarni panu-kariji. Jijajirlilpa-jana yimi-ngarrurnu jaru Kaatu-kurlangu. 
MRK.2.3	Kujalpa-jana wangkaja, ngula-puruju wati-patu-karirlijilpalurla kangurnu tarlu wapanja-wangu pangkarrarla murntu-palarlu. 
MRK.2.4	Ngulangkujulu-jana puta raa-pinja-yanu kulkurru-wanaju. Ngulalurla jirrnganja warru yanu purdangirli yuwarli-wanaju. 
MRK.2.5	Kuja-jana Jijajirli nyangu, wangkaja-nyanu kanunju-kariji, “Nyampu-patuju tarlu manu nyanungu-nyangu puntu, ngulaju kajulu ngajuku wala nyinami yungurna parlpuru-mani.” Jijaji wangkajarla nyampuku tarluku, “Wiyarrpaku, kujanparla karlirr-yanu jurnta Kaatuku wilji-wiyi, ngulaju ngula-juku. Ngajulurlu karnangku majumajuju jurnta maninjarla kijirni.”
MRK.2.6	Ngulangka ngalya-karilpalu nyinaja kuruwarrikingarduyu-patu. Purda-nyangulu Jijaji wangkanja-kurra, manulu-nyanu wangkaja kanunju-kariji. 
MRK.2.7	“Nyampuju wati kulalparla kuja wangkayarla, lawa! Kaatulku kuja kanyanu ngarrirni nganta. Kaatu-miparlu kajana majumajuju jurnta maninjarla kijirni yapakuju.”
MRK.2.8	Jijajirlilpa-jana miyalurlu manu, manu nyangulpa-jana miyalurlu kujalpalurla miyalu kanunju-kari nginji-wangkaja. Ngula-jangka-jana wangkajalku, “Nyarrpa-yijala kankulu kujaju nginji-wangka? 
MRK.2.9	Nyarrpa kankulu nyurrurlarlu manngu-nyanyi? Nyarrpa-manirna nyampu tarluju? Kajikarnarla mayi wangka yangka kujarnarla majumajuju jurnta maninjarla kujurnu? Kajikarna mayi karrinja-yirrarninjarla wapanjaku ngurrju-mani yungu pangkarra maninjarla karrinja-pardi? 
MRK.2.10	Ngajujurna Yapa-nyayirni-wangu Kaatu-kurlangu. Kaaturluju ngajuju yilyajarni yartarnarri-kirli yungurna-jana ngajurlangurlu majumaju jurnta kijirni yapakuju. Jalangu yungurna tarlu nyampuju parlpuru-mani yungunkujulu ngaju milya-pinyilki.”
MRK.2.11	Junga-juku, Jijaji wangkajarla tarluku, “Ngaju karnangku wangka, karrinja-pardiya, manu pangkarrangku manta nyuntu-nyangu, ngula-kurluju ngurra-kurralku pina-yanta!”
MRK.2.12	Junga-juku, tarlu-jangkaju karrinja-pardija, manu-nyanu pangkarra. Ngula-jangkaju, karrinja-pardinjarla wilypirra-pardija jingijingi yapa-wanaju. Yanu pinalku. Kuja Jijajirli tarlu karrinja-yirrarnu, ngulakujulurla marlaja paa-karrija-nyayirni. Ngula-jangkaju, rdirri-yungulu pulka-pinjakulku Kaatuku. Wangkajalu-nyanu yapa panuju, “Kularlipa nyampu-piya nyangu nyurru-wiyi!”
MRK.2.13	Ngula-jangka, Jijaji yalumpu-ngurlu kulpari yanu mangkuru Kaliliyi-kirra. Pirntinyarrarlalpa yaninja-yanu. Ngula-jangkaju, yapa panu-jarlulkulurla turnu-jarrija. Ngulajulpa-jana pinarri-manu. 
MRK.2.14	Yali-jangkaju yampija nguru yaliji, manu wapanja-yaninjarni yanulpa yirdiyi-wanaju. Kamparrurla yirdiyirla, yuwarli-pardulpa tala-kurlangu karrija wupuju-pardu, ngulangkajulpa wati warrki-jarrija kaninjarni yirdiji Liipi. Kala-jana warrki-jarrija Ruumu-wardingkiki, ngulaju talakungarduyu. Nyanungukupalangu kirda-nyanu yirdiji Yalpiya. Kuja Jijaji yaninjarni yanurnu, parlu-pungu Liipi warrki-jarrinja-kurra, ngularla wangkaja Jijaji, “Liipi, ngajuju puraya, manu kurdungurlu-jarriya ngaju-nyangu!” Junga-juku, Liipiji karrinja-pardija, Jijajilki puraja.
MRK.2.15	Ngula-jangkaju, Jijajiji yanu Liipi-kirlangu-kurra ngurra-kurra miyiki ngarninjaku. Ngulangkaju-jana jirrnganja ngarnu miyi kurdungurlu-patuku nyanungu-nyanguku manu ngalya-kariki yapaku tala puntarninjakungarduyu-patuku Liipi-piya-patuku manu ngalya-kariki yapaku majuku kuja kalalu-jana punku-pajurnu. Nyampurra-piyarlu yapangku kalalu warrarda puraja Jijajiji. 
MRK.2.16	Ngalya-kari yapa pinarri-patu yangka Paraji-patu, ngulangka-yijalalpalu nyinaja yuwarlirla. Ngulangkujulpalu-jana lirlki-nyangu Jijaji jirrnganja ngarninja-kurra. Nyampu-paturlu Paraji-paturlulu-jana payurnu Jijaji-kirlangu kurdungurlu-patuju, “Nyiyaku kajana jirrnganja ngarni nyampurrakuju maju-patuku?”
MRK.2.17	Jijajirli purda-nyangu-jana wangkanja-kurra Paraji-patuju, ngulakuju-jana wangkajalku nyanunguju, “Ngurrju yapa kulalpalu yantarla ngangkayi-kirli-kirra, kula nyiyaku? Kala nyurnu-nyayirni kajilpalu ngangkayi-kirli-kirra, ngulaju ngula-juku. Ngajurna ngangayi-kirli-piya Kaatu-kurlangu. Yanurnu kujarna ngaju nyampu-kurra walya-kurra, ngulaju kula yapaku ngurrju-mipaku yajarninjakuju. Kala ngarirna yanurnu yapaku wilji-panuku yajarninjakuju.”
MRK.2.18	Jaanu Papitaji-kirlangu-patu kurdungurlu-patu manu Paraji-kirlangu kurdungurlu-patu, ngulaju kalalu nyinaja mangarri ngarninja-wangu parra wiri munga wiri ngulaju yungulurla nganta yati-wangkami Kaatuku. Kala Jijaji-kirlangu kurdungurlu-patu, ngulangkuju kalalu mangarri ngarnu kutu yampinja-wangurlu. Ngula-jangkaju, nyangulu-jana ngarninja-kurra yapa-patu-karirliji, ngulajulurla yanurnu Jijajiki, payurnulu, “Nyiya-jangkarlulku-yijala kalu nyuntu-nyangurluju kurdungurlu-paturlu mangarriji kutu ngarni? Kala nyampu-kari kuja kalu nyinami mangarri ngarninja-wangu?”
MRK.2.19	Jijajirli-jana jangku-manu, “Jaanu-kurlangu-paturlu manu yangka Paraji-kirlangu-paturlu kalu purami-jiki kuruwarri Mujuju-kurlangu. Kala kurdungurlu-paturlu ngaju-nyangurlu kalu purami kuruwarri ngaju-nyangu jalangu-warnuju. Nyampuju yimi-nyayirni-wangu yungurna-nyarra yirri-pura yupukarra-kurlu yungunkulu pinalku nyina kuruwarri ngaju-nyangukuju. Watingki nganangku-puka kaji mani karnta nyanungu-parnta, ngulakungarntirliji kajana yirrarni kurapaka-wiyi nyanungu-nyanguku puntu-watiki yungulu ngarni. Ngula kaji palka-juku nyina yangkaju wati, ngarni-jiki kalu ngampurrparlu puntu-watirli nyanungu-nyangurlu. Kulalpalu-nyanu ngarninja-wangu-mantarla. Ngarni-jiki kalu ngampurrparlu. 
MRK.2.20	Ngakarrangakarra marda yangkaju wati kapulu-jana yapangku puntu-patukuju jurnta kanyilki. Ngula-jangkaju, kapulu-nyanu mangarri-wangu-manilki maringkiji.”
MRK.2.21	Jijaji-jana yarda wangkaja, “Nyampuju yimi-nyayirni-wangu yungurna-nyarra yirri-pura jinajina-kurlu nyurru-warnu-kurlu yungunkulu pinalku nyina kuruwarri ngaju-nyangukuju. Nyurru-warnukuju rdilypirrpakuju jinajinakuju, kulalparla nganangku jalangu-warnu jinta-maninjarla parnta-yirrakarla wita-kariji pijijiji. Kajilpa yapangku parnta-yirrakarla jalangu-warnu pijiji nyurru-warnurla jinajinarla, ngula-jangka kajika wita-jarrimi pijijiji paljirninja-warnu, ngulangkuju kajika yangka parnta-yirrarninja-warnurlu yarda wantiki-mani rdilypirrpaju, kajika larra-pajirninja-yanilki jinajinaju.”
MRK.2.22	Jijaji-jana yarda wangkaja, “Nyampuju yimi-nyayirni-wangu yungurna-nyarra yirri-pura pama-kurlu jalangu-warnu-kurlu yungunkulu pinalku nyina kuruwarri ngaju-nyangukuju. Kula nganangku-puka winjikarla jalangu-warnu pama yakuju-piya-kurra nyurru-warnu-kurra pilikutu-kurlangu-kurra pinti-kirra pama-kurlangu-kurraju. Kajilpa pama winjikarla nyurru-warnu-kurra yakuju-piya-kurra, ngulaju kajika lirrinjarla rdurl-pardi yakuju-piyaju. Ngula-jangkaju, pama kajika karli walya-kurralku.
MRK.2.23	Ngaka-pardu-kari, Jijajijilpa-jana jirrnganja yaninja-yanu nyanungu-nyangu-purnuku kurdungurlu-patuku. Jirrnganja-jana yaninja-yanu kulkurru-jarra kujalpa miyi pardija lukarrara-piya. Ngula-piyalpalu wapanja-karrarlu-juku pajirninja-yanu rdakangkuju kurdungurlu-paturluju ngarninjakungarntirli. 
MRK.2.24	Paraji-paturlu kujalpalu-jana nyangu miyi pajirninja-kurra, ngula-jangka yanurnulurla Jijajiki, ngulajulurla wangkaja, “Jalangu Jarrirtiyi ngulaju Kaatu-kurlangu Parra-nyayirni-wangu. Warrki-wangulparlipa nyinakarla jalanguju! Nyuntu-nyangu-paturlu kurdungurlu-paturlu kalu kuruwarri juwa-kijirni ngalipa-nyangu kuja kalu miyiji pajirninja-yani Parra-nyayirni-wangurla!”
MRK.2.25+MRK.2.26	Jijaji-jana wangkaja Paraji-patuku, “Milya-pinyi kankulu yimi Tapiti-kirli kujalpa-jana warrmarla nyanungu-nyangu mardarnu nyurru-wiyi. Mangarri-wangulpalu nyinaja yarnunjuku-nyayirni. Ngula-jangka, jirrnganja-jana yanu Tapitiji Kaatu-kurlangu-kurra Kaluku Tarruku-kurra. Ngulangkanya kala warrki-jarrija wati jinta maralypikingarduyu Ngardarri-kirlangu Wiri yirdi Piyata. Kaninjarni kaluku-nyayirni-wangurla kalalurla mardarnu mangarri-nyayirni-wangu tarruku-nyayirni Kaatuku. Nyampuju mangarri-nyayirni-wangu, ngulajulparla kurapaka ngunaja Kaatu-kurlangu. Ngulaju kalalu ngarnu maralypikingarduyu-miparlu Piyata-piya-miparlu. Kala yapa-karirliji kulalu nganjarla, lawa. Junga-juku, yukajarni Tapiti kaluku-kurra, mangarri-nyayirni-wangu manu kutu, manu-jana maninjarla yungu warrmarlaku nyanungu-nyanguku. Kujakuju Kaaturlu kula warntarla-pajurnu, lawa.”
MRK.2.27	Jijaji-jana yarda wangkaja Paraji-patuku, “Kaaturlu-jana ngurrju-manu yapaju ngulaju kula nyampuku Parra-nyayirni-wanguku. Kaaturlu-jana kaji-yirrarnu Parra-nyayirni-wangu nyanungu-nyangu yapaku yungulu ngurrju rarralypa nyinami. 
MRK.2.28	Ngula-juku, ngajujurna Yapa-nyayirni-wangu Kaatu-kurlangu. Warlalja-Wiri karna nyina nyampukuju Parra-nyayirni-wangukuju Kaatu-kurlanguku.”
MRK.3.1	Ngaka-kari Kaatu-kurlangurla Parra-nyayirni-wangurla, Jijaji yanurnu pina jaaji-kirra Juwu-kurlangu-kurra, ngulangkaju parlu-pungu wati rdaka manjanja-kurlu. 
MRK.3.2	Ngulangka-yijalalpalu Paraji-patuju karrija, Jijajilpalu karrinjarla warrawarra-kangu kaji marda parlpuru-mani wati rdaka manjanja-kurlu Parra-nyayirni-wangurla Kaatu-kurlangurla. Kajilpa Jijajirli wati rdaka manjanja-kurlu parlpuru-mantarla Parra-nyayirni-wangurlaju, kajikalurla jangkardu wangkami kujaju, “Nyuntulurlu kanpa rdilyki-pinyi Mujuju-kurlangu kuruwarriji.” 
MRK.3.3	Junga-juku, Jijajirla wangkaja watiki rdaka manjanja-kurluku, “Karrinja-pardiya, manu yantarni nyampu-kurra!” 
MRK.3.4	Ngula-jangka, Jijajirli-jana japurnu yapa panu-juku kujalpalu karrija warru, “Nyarrpa kangalpa Kaatu wangka kuruwarrirla nyanungu-nyangurla? Nyarrpa-manirlipa nyurnu kajilparlipa nyangkarla Parra-nyayirni-wangurla? Jina-mardarni mayirlipa, kapi mayirlipa yampimi? Pinyi mayirlipa tarnnga-kurra, kapi mayirlipa wankaru-mani? Nyarrpa kankulu purda-nyanyi nyurrurlarluju?”
MRK.3.4	Wurdungulkulpalu paa-karrija. Kulalu nyarrpalku wangkayarla. 
MRK.3.5	Jijaji-jana kulu-jarrija Paraji-patuku. Mari-jarrija-jana wiljiki warntarlaku. Junga-juku, wangkajarla watiki rdaka manjanja-kurluku, “Waku wipiya!” Junga-juku, rdakaju wurr-kijirninjarla wipija, ngula rdakaju ngurrju-jarrija pina. 
MRK.3.6	Paraji-paturlu nyangulu Jijaji wati-kirra parlpuru-maninja-kurra, ngula-jangkarluju, yampinja-yanulkulu jaajiji. Ngula-jangka, turnu-jarrijalu Paraji-patu manu Yarurdu-kurlangu-patu kurdungurlu-patu. Turnu-jarrinjarla jaaly-manulpalurla jangkardu Jijajiki nyarrparlu yungulu pinyi.
MRK.3.7+MRK.3.8	Ngula-jangka, Jijaji manu nyanungu-nyangu kurdungurlu-patu yanulkulu pina mangkuru-kurra ngapa wiri-kirra Kaliliyi-kirra. Yapa panungku yalumpu-wardingkirli Kaliliyi-wardingkirli, purajalu Jijaji yali-kirraju. Manu yapa-karirlilpalu purda-nyangu nguru-kari nguru-karirla yimi nyanungu-kurlu. Ngula-jangkaju, purda-nyanjarla yanurnulpalu Jijajiki nyanjaku. Panu-karijilirla yanurnu Jurdiya-jangka, Jurujulumu-jangka, Yitumiya-jangka, manu nguru kakarrara-jangka kuja-ka ngunami karru yirdi Jurdunu ngulangka payangkarra, kujalpa karrija ngurrara-kari. Panu-karijilpalurla yanurnu kirri-jarra-jangka Taya-jangka manu Jirdana-jangka. 
MRK.3.9+MRK.3.10	Kamparru-wiyilpa-jana Jijajirli parlpuru-manu panu-kari yapa, yangka kujalpalurla wapirdi parnkaja nyurnunyurnu. Junga-juku, kujalu yapa-karirli purda-nyangu yimi Jijaji-kirli, kuja-jana parlpuru-manu nyurnunyurnu, ngulakulurla turnu-jarrija yali-kirra-juku yungulu marnpirni nyanungu palka parlpuru-jarrinjakungarntirli. Ngulangka, wangkaja-jana Jijaji kurdungurlu-patuku, “Kangkarnijili pawurtu nyampu-kurra, yungurna warrkarni pawurturla yapa panu-kujaku. Kajikajulu marda ngurl-kanjarla katirni yapa panungkuju.” 
MRK.3.11	Ngalya-kari yapangku kujalpalu nyangu Jijaji juju-kurlurlu maju-kurlurlu, kalalurla yaninjarla yaruju-juku parntarrinjunurnu Jijajikiji, manu kalalurla waakarra-parnkanjarla wangkaja, “Nyuntujunpa Ngalapi-nyanu Kaatu-kurlangu!” 
MRK.3.12	Jijajirli kala-jana rdamu-pakarnu jujuju, manu kurnta-ngarrurnu kujarlu, “Nyampu-warnuju wurdungulu nyinaya! Kalakankulu-jana ngaju milki yirdi-mani! Kujarlajulu ngajuku yimi-ngarrirninja-wangu nyinaya wurulypa!”
MRK.3.13	Ngula-jangkaju, Jijajiji yanu pamarrpa-kurra, ngulangka yaninjarla warrkarnu. Yilyaja-jana jaru wati-patuku kujalpa-jana nyanungurlu wardu-pungu. Ngula-jangkajulurla yanurnu. 
MRK.3.14	Ngula-jangkaju, wati-patu-jana milarnu, ngulaju 12-pala, manu-jana yirdi yirrarnu ‘Kurdungurlu Wiriwiri’. Wangkaja-jana, “Nyurrurla karna-nyarra ngungu-mani manu milarni yungunkulu-jana ngaju-wana nyina. Manu ngaka yungurna-nyarra yilyami yungunkulu-jana yimi-ngarrirni ngaju-nyangu jaru yapa-kariki. 
MRK.3.15	Ngakarna-nyarra yilyami yartarnarri-kirli, yungunkulu-jana jurnta yilyami juju ngawungawu yapaku.”
MRK.3.16+MRK.3.17+MRK.3.18+MRK.3.19	Nyampu-patunya yirdiji wati-jana milarnu: Jimani (ngulakujurla Jijajirliji yirdi-karilki yirrarnu Piita); Jamaji manu nyanungukupurdangka kukurnu-nyanu Jaanu, nyampu-jarraju-pala ngalapi-nyanu-jarra Jipiti-kirlangu. (Jijajirli yirdi-palangu yirrarnu ‘Kulinypa-jarra Wirnpa-piya-jarra’); Yanturu, Pilipi, Parrjulumu, Matiyu, Tamiji, Jamaji ngulaju ngalapi-nyanu Yalpiya-kurlangu, Tardiyu, Jimani ngulaju ‘Kulu-parnta Wita-wangu’, manu Jutuju Yikariya. Nyampurlu Jutujurlu yangka kuja-jana ngaka yimi kangu Juwu-patuku wiriwiriki yungulu puuly-mardarninjarla pinyi Jijaji.
MRK.3.20	Ngula-jangkaju, Jijaji manu nyanungu-nyangu kurdungurlu-patu yanulkulu pina kirri-kirra Kapurniya-kurra yuwarli nyanungu-nyangu-kurra, kujalpalu nyinaja kamparru-wiyi. Ngula-kurrajulpalu yali-kirraju yapa panu-karilki yarda turnu-jarrija. Ngulangkujulpalu-jana warrarda kapakapa-manu Jijaji manu nyanungu-nyangu kurdungurlu-patu miyi-kirra ngarninja-kurra. 
MRK.3.21	Ngula-puruju nyanungukupalangurlu ngati-nyanurlu manu nyanungukupurdangka-paturlu kukurnu-nyanu-paturlu purda-nyangulu kirri-kari-ngirli kujalpalu kapakapa-manu nganta warrarda Jijajiji. Ngulalu-nyanu wangkaja, “Yali Jijaji, rama-jarrija nganta! Yankurliparla yungurlipa jina-mardarni.” Junga-juku, yanulkulurla Jijajikiji jina-mardarninjaku.
MRK.3.22	Kujalpa-jana Jijaji jirrnganja nyinaja kurdungurlu-patuku, yalumpurla-yijalalpalu nyinaja yangkaju kuruwarrikingarduyu-patu Jurujulumu-wardingki-patu. Warlkalpalu-jana wangkaja yapa-patu-kariki jaruju kujanya, “Jijajiji-ka nyinami Juju Ngawu-kurlu yirdi-kirli Pirljipu-kurlu palkangka-kurluju. Pirljipu yangka Juju Ngawu ngulaju kajana juju-kari juju-kariki nyinami wiri-jarlu. Ngula-kurlurlunya Pirljipu-kurlurlu Jijajirli kajana jurnta yilyami juju-patu-karilki yapakuju.”
MRK.3.23	Kuja-jana Jijajirli purda-nyangu wangkanja-kurra, ngulakuju-jana wangkaja, “Yantarnili nyampu-kurra!” Junga-juku, Jijaji-pirdi-kirralu yanurnu, kujalpa nyinaja. Yirri-puraja-jana yimi-nyayirni-wangu jukurrpa kujarlu, “Juju Ngawungku, kajilpa nyinakarla kaninjarni yapangka, nyarrparlu kajika-nyanu wilypi-maninjarla yilyami yapa-ngurlu? Lawa! Kulalpa-nyanu wilypi-maninjarla yilyayarla! 
MRK.3.24	Manu yimi-kari yungurna-nyarra yirri-pura. Ngurrara-jintarlu kajilpalu-nyanu yapangku warrarda pakakarla, kulalpalu ngulaju turnulku jintangkalku warrarda nyinakarla, ngulaju kajikalu muku lawa-jarrimilki. 
MRK.3.25	Manu kajilpalu-nyanu kirda-nyanurlu, ngati-nyanurlu, papardi-nyanurlu, manu ngawurru-nyanurlu warrarda pakakarla nyanungu-paturlu warlaljarlu, yalumpu-paturlangu kulalpalu nyinakarla turnu-juku jintangka-juku, ngulaju kajikalu muku lawa-jarrimi-yijala. 
MRK.3.26	Manu kulalpa-jana Juju Ngawungku Pirljipurluju juju-kari juju-kari jurnta yilyayarla yapakuju, lawa. Kajilpa-jana jurnta yilyayarla, ngulaju kajika rampaku-jarrinjarla lawa-jarrimilki.”
MRK.3.27	Ngula-jangkaju, Jijaji-jana yarda wangkaja yimi-nyayirni-wangu-kari Juju Ngawu-kurlu-yijala. “Juju Ngawu ngulaju wati-piya kulu-parnta-piya. Milya-pinyi-yijala kankulu kajilpa purunjunju yukayarla wati-kirlangu-kurra kulu-parnta-kurlangu-kurra yuwarli-kirra wijikingarnti. Ngulakungarntiji kamparru-wiyi yarnkami karla kulu-parntakuju, manu wayirni-ka rdaka-jarra wirliya-jarra. Ngula-jangkarlunya-ka manilki wijingkiji jurnarrpaju. Ngula-piya-yijala ngaju karna pirrjirdi-nyayirnilki nyina Juju Ngawu-piya-wangu!”
MRK.3.28	Ngula-jangkaju, yarda-jana wangkaja Jijajiji, ngulaju kuja, “Langa-kurra-mantalu! Nganangku-puka kajilpa punku-pajikarla Kaatu marda manu marda yapa jinta-kari, ngula-jangkaju Kaatu kajikarla yawuru-jarrimi-juku yalala-yirrarninja-warnukuju. 
MRK.3.29	Kala nganangku-puka kajilpa punku-pajikarla Pirlirrpa Kaatu-kurlanguju, ngulakuju Kaaturluju kajika-nyanurla kunka-mani. Tarnnga-juku kapu nyinami wilji panu-juku Kaatu-wangu.” 
MRK.3.30	Nyampunya jaru Jijaji wangkaja kujalu kamparrurlu-wiyi yangka kuruwarrikingarduyu-paturlu warlkangku juju-pajurnu Jijajiji.
MRK.3.31	Ngula-jangkaju, yanurnulurla ngati-nyanu manu kukurnu-nyanu Jijajiki nyanjaku. Ngulaju karrijalpalu yitirli-jiki yarlungka. Yali-ngirlijikili yilyajarni yapa jinta kaninjarni-kirraju yajarninjaku Jijajiki. 
MRK.3.32	Ngula-jangkaju, panu-jarlu-nyayirnilpalurla warrukirdikirdi nyinaja Jijajikiji, manu wangkajalurla, “Jijaji, ngati-puraji manu kukurnu-puraji-purnu kalu karrimi yitirlirla yarlungka. Wangkami yungungkulu.”
MRK.3.33	Jijajirli-jana payurnu, “Ngana ngajukupalangu ngatiji warlaljaju? Manu ngana-kari ngajukupurdangkaju warlaljaju?” 
MRK.3.34	Manu-jana nyangu Jijajirliji yapa, kujalpalu warrukirdikirdi nyinaja nyanungu-wana. Ngula-jangka wangkaja-jana, “Nyampurra-jala-ngarra ngajuku ngatiji manu ngajukupurdangkajulu warlaljaju. 
MRK.3.35	Nganangku-puka kaji purda-nyanyi Kaatu wilji-wangurlu manu purami, ngulanyalu ngajukupurdangka kukurnu, ngawurru, manu ngajuku ngati warlaljaju.”
MRK.4.1	Ngaka-pardu-karilki, Jijajilpa nyinaja pirntinyarra mangkuru Kaliliyirla. Ngula-kurrajukulurla yapa panu yanurnu, manu turnu-jarrijalkulpalurla yungulu purda-nyanyi jaru pinarri-maninja-kurra. Kujakungarntiji Jijajiji warrkarnu pawurtu-kurralku, ngulangkalkulpa nyinaja. Yapajulpalu karrija warru pirntinyarrarla-juku. 
MRK.4.2	Ngulakuju-jana yimi-ngarrurnu jaru Kaatu-kurlu, nyiyarningkijarralpa-jana yimi-nyayirni-wangu jukurrpa yirri-puraja, wangkaja-jana,
MRK.4.3	“Purda-nyangkajulu! Yungurna-nyarra jaru wita yirri-pura ngarrka-kurlu jinta-kurlu kujalpa mardarnu yakujurla ngurlu panu. Kujalpa warru yanu yarlu-wana, ngulajulpa ngurluju warru pirri-kujurnu miyiki pardinjakungarnti. 
MRK.4.4	Kujalpa warru wapaja, ngulangkuju warru kujurnu ngurlu kuja-purda kuja-purda. Panu-kariji ngurluju wantija yirdiyirla. Ngurlu, kujalpalu wantija yirdiyirla, ngulajulpalu-jana jurlpungku jayirr-maninjarla muku ngarnu.
