GEN.1.1	Puꞌun-puꞌun it langit baw banwa, giyuna it Ampuꞌang Diyus. 
1SA.17.32	Pagꞌabut ni David duꞌut ki Saul kaꞌampang kanya, nga maat ya, “Kagalang-galang nga Adiꞌ, ega naga yan maranggaꞌan tami it nakem sabap lamang it iyan ngayan nga Filisteo. Aku i lumaban it kanya.”
1SA.17.33	Katubag si Saul, “Ayaw kat paꞌuruꞌ-uruꞌ, ega bayan kaya muy Filisteo ngayan. Ka magtatangag ka pat uyatengen. Ta kanya ngayan, bantug na nga mamumunuꞌ.”
1SA.17.34	Temed atgat magbulsut nga tinaꞌi si David. Maat ya, “Aku baꞌ i manigꞌeper it mga tupa namen. Basta yan may esa it pagꞌeperan ku ngayti nga masepetan it leon u oso, 
1SA.17.35	maski yan ipalagyu na nira, pagꞌusigen ku, ka pagꞌagawun ku naga i tupa nga natkeb nira. Ta basta yan siyarunga nira aku, seꞌang nirang lagi i pagꞌinggapen kut semkel, iꞌindiꞌ ku manang patay na. 
1SA.17.36	Talagang may napatay ku nang matuud nga mga leon baw oso. Siguraduytu nga mapatay ku gasiꞌ i Filisteo ngayan, ka pagtegelen ya na ngaytut tibabaꞌ i mga sundaluꞌ it Ampuꞌang Diyus nga Egen.” 
1SA.17.37	Maat pay beken nga inaat ni David, “Iyan 
1SA.17.37	Aypaꞌ miyaat na lamang si Saul, “Ta in atkayan, labanan mu na kanya. Sana tatarimaen ka it 
1SA.17.38	Ta egay beken, ipiyapakay yat ki David i pakayan yat magpakibunuꞌ, katupung baw kanukal nga tumbaga. 
1SA.17.39	Bawnga siyaꞌbit ni David i basiꞌ ni Saul bawnga simnukdan kanyat mapanaw. Temed maski lakad makuriꞌ kanya kalakad, sabap it ega ubas yay iti ngayting mga pakayan. Ta it atkayti, maat yat ki Saul, “Pasinsiya na lamang, ega na bayan gamiten ku i mga itu ngaytu.” Inawaꞌ ya nay piyakay ya ngayti baw siyaꞌbit ya ngayti. 
1SA.17.40	Pagkaꞌawaꞌ ya, kiyuꞌmit ya nay pagsungku-sungkudun ya, bawnga nanguꞌmit kanya duꞌut sapaꞌ it limang batuy batu nga mapupuyu-puyuꞌtung baw malinuꞌ. Ibintang ya duꞌun it puyuꞌ-puyuꞌ ya nga gamit it manigꞌeper it tupa, bawnga napanaw na nga dumarugpaꞌ it ki Goliat ngayti. Sekel ya na i subuk tiradur ya.
1SA.17.41	Ki Goliat ngayti, magpanaw na gasiꞌ nga magsusmu it ki David. Maggigiyaringan lamang kanya kat manigtaban ngaytit taming ya. 
1SA.17.42	Pagleteg ni Goliat, iyan naltegan ya nga si David ngayti, lugmas, egay unu-unu, talagang tinibabaꞌ ya ka waꞌwaꞌ, kanaꞌkan na lamang. 
1SA.17.43	Baw iningkut yat taꞌis-taꞌis nga ingkut nga magꞌaat, “Unuy tanud mu? Unu, keꞌdeng i labanen mu ka sungkud lamang i sekel mu?” Bawnga ipiyagsamayaꞌ ni Goliat duꞌut kanirang mga pagtaꞌwagan si David ngayti. 
1SA.17.44	Maat pay beken nga inampang ni Goliat ngayti, “Dumaliꞌ ka na sini, isaꞌun makapakaꞌen ku ikaw it mga manu-manuk baw mga ramu-ramu.”
1SA.17.45	Pagtubag ni David, maat ya, “Karis, besak baw besa-besak i taban mut imu, temed aku, labanen ku ikaw kat ngaran it 
1SA.17.46	Ibgay ya ikaw it aken kayti. Punggutun ku i ulu mu, bawnga sang kamuwan it mga kaꞌibaan mu ngayan i ipakaꞌen ku it mga manu-manuk baw mga ramu-ramu. Sikayan maꞌrutan it muꞌsang banwa nga may gunaan nga magkampiꞌ it Israel, nga egay belag, Ampuꞌang Diyus. 
1SA.17.47	Baw muꞌsa ngaytung taw situ kayti, matantuwan nira nga talagang Manriribri i 
1SA.17.48	Sigi-siging elep ni Goliat ngayti, magpapalagyu si David nga magsusmut kanya. 
1SA.17.49	Maglalaꞌut i sang baling alima ya duꞌut puyuꞌ-puyuꞌ ya ngayti ka magkuwat it batu. Tiniradur ya si Goliat ngayti, peges i naꞌiguꞌ. Limimbeng i batu ngayti, unupat magkekleb si Goliat ngayting gimimbaꞌ.
1SA.17.50	Diyaꞌeg ni David si Goliat it tiradur lamang, napatay ya it maski egay kanyang babasiꞌ. 
1SA.17.51	Magpapalagyu si David nga minlep it ki Goliat ngayting gimimbaꞌ. Pagꞌabut ya, biyarut yay pagsasaꞌbiten naga ni Goliat ngayti nga karis ya, bawnga piyunggutan yat ulu.
1SA.17.51	Pagkalteg it mga Filisteo it napatay nay kasarigan nira ngayti, nagsigpalagyu na sira. 
1SA.17.52	Subuk giyaw-giyaw i mga Israelita nga mamagaꞌuy. Tiyaraꞌusig niray mga Filisteo ngayti, ipiyasked duꞌut Gat nga duꞌun nat pagseldan duꞌun it Ecron. Nagꞌaru-arubangtayen nay mga miyatay nga mga Filisteo, gimnaring duꞌun it Saaraim miyabut duꞌun it Gat seked duꞌun nat Ecron ngayti. 
1SA.17.53	Pagkaꞌuliꞌ it mga Israelita ngayting timnaraꞌusig it mga Filisteo, iyan siꞌ i binwat nira, riyangpasan niray kampu it mga Filisteo ngayti ka piyamisiꞌ niray kumpur magkaꞌirgan nira. 
1SA.17.54	Tiyaban ni David duꞌut Jerusalem i ulu ni Goliat ngayti, temed iyan mga basiꞌ ni Goliat, taban ya nat miyuliꞌ.
1SA.17.55	Pagleltegan ni Saul si David ngayting magꞌelep it ki Goliat, iningkut yay piyakapagbayaꞌen it sundaluꞌ ya. Maat ya, “Abner, siyu talaga nga mga taw i giyaringan it iyang waꞌwaꞌ?”
1SA.17.55	“Kagalang-galang nga Adiꞌ,” maat i tubag ni Abner ngayti, “ega bayan magkaꞌrutan ku.”
1SA.17.56	“Magayen siguru,” maat i adiꞌ ngayti, “pateke-tekeꞌan muy pasar it mga giyaringan ya.”
1SA.17.57	Aypaꞌ pagꞌuliꞌ ni David it nakaꞌimatay na ngaytit ki Goliat, siyusmu kanya ni Abner. Inibaan kanya it naꞌaduꞌun it ki Saul, taba-taban ya pay ulu ni Goliat ngayti.
1SA.17.58	Iningkut kanya ni Saul, nga magꞌaat, “Kasiyu ka baytung anak, Dunguꞌ?”
1SA.17.58	“Aaꞌ,” maat ni David ngayti, “anak aku baytu ni Jesse nga taga Betlehem.”
1SA.18.1	Natupus nay sugi-sugid na Saul duwa ni David. Ta garing kayti, talagang pagmaꞌalen si David ni Jonatan nga anak ni Saul ngayti nga adiꞌ. Yay matuud, raras yat ki David ngayti, subung nagat raras yat sadili ya nga bilug. 
1SA.18.2	Baw garing gasiꞌ sikayti, ega na piyaꞌuliꞌ ni Saul si David. 
1SA.18.3	Sabap it talagang matuud i pagmaꞌal ni Jonatan it ki David ngayti, isiyanggup ya nga magꞌiba-iba sirang matuud it egay katupusan nga pagꞌiba-iba. 
1SA.18.4	Keseg it sanggup ya ngayti, ibinggay ya nat ki David i pati pagpapakayen ya, gulamen ya baw beken paꞌ, baw mga paggamiten it magpakibunuꞌ, pati karis ya, panaꞌ ya baw sinturun ya. Ibinggay ya nang tanan.
1SA.18.5	Talagang magpandaꞌeg si David ngayti, maski ari parumpakan ni Saul. Ta it atkayti, egay beken, binwat na kanya ni Saul ngayti nga esang pagbayaꞌen nat mga sundaluꞌ ya. Nasagyaan it muꞌsang Israelita i pagtaꞌas it katengdanan ni David ngayti. May katengdanan it ega, talagang masasagya sira. Pati mga taawan duꞌun it pamalay-balay it adiꞌ ngayti, masagya gasiꞌ.
1SA.18.6	Ta pagkapatay ni David it ki Goliat, baw pagkatiwas nat pakibunuꞌ nirat mga Filisteo, miyuliꞌ nay adiꞌ ngayti nga si Saul baw mga sundaluꞌ ya duꞌut babalayan nira. Kat panguliꞌ nira ngayti, kada yan pesagen nira nga lansangan, susmuun sirat mga mamagkakantaꞌ-kantaꞌ nga may turugtugun baw mamagbabayliꞌ-bayliꞌ nga mga kabababayan nga taga duꞌun. 
1SA.18.7	Magꞌaat i pagkantaꞌ-kantaꞌen nira, “Ribu-ribu i napatay it adiꞌ nga si Saul, iyan ki David nga napatay, piyuluꞌ-puluꞌ nga ribu.”
1SA.18.8	Pagkagneg ni Saul kayti, miniseg kanya ka ereꞌeret nga kaꞌinggit ya. “Ta yan palan in pagpuluꞌ-puluꞌun na ngayan nirang ribu i ki David nga napatay, aken desang ribu-ribu, daꞌga in atkayan palan, yamanay kurang, si David na ngaytuy kilalaen nirang adiꞌ.” 
1SA.18.9	Unupat gimnaring duꞌun kayti, kat kadakulat inggit ya, belag nay panenyekan ya it ki David.
1SA.18.10	Pagꞌeyag siꞌ, riyangtan siꞌ si Saul it magpapulpug ngayti nga maraꞌe-raꞌet nga ipagpaꞌabut it 
1SA.18.11	Unupat kadwa bakalen ya si David, ka kuꞌimatayen ya. Gayen lamang nalyasan naga ni David.
1SA.18.12	Magꞌiꞌlam si Saul it ki David ngayti ka natantuwan ya nga ega na kanya i pagtatarimaen it 
1SA.18.13	Aypaꞌ ka isaꞌun lamang kapaꞌalaid duꞌun it kanya, binwat ya si David nga pagbayaꞌen it sang ribu nga mga sundaluꞌ. Pagpanguꞌnaan ni David i sang ribu ngayti it magpakibunuꞌ. 
1SA.18.14	Baw yay matuud, maski ari-ari pakibunuꞌan na David, magpandaꞌeg sira, sabap it talagang pagtatarimaen kanyang pirmi it 
1SA.18.15	Ta sabap it atkayti na ngayti, subuk timnalaluꞌ i iꞌlam ni Saul it ki David ngayti. 
1SA.18.16	Takaꞌ kat mga taw, puꞌsang mga taga Israel, nga ega lamang mga kaduguꞌ ya nga taga Juda, subrang pagmaꞌalen nira si David ngayti, sabap duꞌut mga pandaꞌeg ya kat maski siyu nga mga kakuntraꞌ nira.
1SA.18.17	Iyan atkayti na ngayti, maat ni Saul it ki David, “Ipaꞌasawa kut imu i anak ku nga akaꞌ nga si Merab in magsirbi ka it magayen situt aken baw sariyan mut pakibunuꞌ i bangsat taw nga magpakikuntraꞌ it 
1SA.19.8	Saꞌup sing nagburunuꞌan i mga Israelita baw mga Filisteo, riyumpak siꞌ ni David baw mga taawan ya ngaytit kanya i mga Filisteo ngayti. Nandaꞌeg siꞌ na David. Yagay ega naꞌimatay nira, iyan namagkapalagyu.
1SA.19.9	Kaꞌsa siꞌ, riyangtan sit maraꞌe-raꞌet nga ipagpaꞌabut it 
1SA.19.10	Sakaling biyakal siꞌ kanya ni Saul, takaꞌ nalyasan ya naga gasiꞌ. Besak ngayti, timindek duꞌun it dingding. Aypaꞌ iti nagang delem, miyalagyu na si David, ka magpaliped-liped na.
1SA.23.14	Gimnaring it iting timpu, seked naꞌlay nang naꞌlay, sigi gang tiꞌes ni Saul it ki David. Kamatuudan, mintras egen kanya, ega pagpepdekan yat tumulus. Temed ta, paribasay ega ipagꞌintulut it Ampuꞌang Diyus, ega magkaparagan ya. Si David ngayti, binwat ya nga pagpatataguꞌan ya, duꞌut rugar nga maraꞌang i babalayan baw mabuludun nga duꞌut Zif. 
1SA.23.15	Talagang ega magpepdek it keber-keber i seled ni David ka urut ya nga pagtiꞌsen nga banar kanya ni Saul. 
1SA.23.16	Iyan kaꞌsa nga duꞌun kanyat Hores nga duꞌun nagat rugar ngaytit Zif, inaduꞌun kanya ni Jonatan nga anak ngayti ni Saul. Piyakseg yay nakem ni David kat pamayaꞌ ya it Ampuꞌang Diyus. 
1SA.23.17	Maat i inaat yat kanya, “David, ayaw kat iꞌlam. Daꞌka yan maꞌimatay ni Amaꞌ. Ikaw yan i magꞌadiꞌ situt Israel. Pangadwa mana nga katengdanan i aken. Urut naytu ni Amaꞌ i itung mga bagay.” 
1SA.23.18	Piyapaꞌgen nira siꞌ i upakat nga pagꞌiba-iba nira ngayti, nga pagdedngegen it 
1SA.24.1	Kaꞌsa, pagkaꞌuliꞌ ni Saul garing miyusig it mga Filisteo, may simnugid duꞌut kanya nga, si David, duꞌun it rugar nga kapupuyangtan nga duꞌun it En-gedi. 
1SA.24.2	Pagkaꞌrut ya, miniliꞌ kanya it tulung ribu i mga ega babasta-bastaen nga sundaluꞌ ya. Iti i piyabayaꞌ ya it tumulus it ki David duꞌun it bukid nga pagpangaranan it Bukid it Mga Maklag nga Kambing.
1SA.24.3	Napsag it panaw nira i esang kubkub nga duꞌun it esang pagkurungan it mga tupa nga duꞌun it umid it dalan. Siminled si Saul duꞌun ka magrara i tinaꞌi ya. Egay uru-urut ya nga, palan, duꞌun it seled it iting kubkub na David namagpatataguꞌ. 
1SA.24.4	Inaat si David it mga taawan ya, “Siguru katumanan na baytu it inampang ngayan it 
1SA.24.5	Temed pagkabwat ya kayti, timimbaw kat nakem ya nga ega magayen i binwat ya ka subung nat tinibabaꞌ ya i adiꞌ ngayti. 
1SA.24.6	Aypaꞌ ka maat ni David it mga taawan ya, “Talagang ega yan kaꞌirgan it 
1SA.24.7	Ta, kat iting inampang ya nasabatan naga ni David i mga kaꞌibaan ya ngayti nga kuꞌimatay it ki Saul. Aypaꞌ piyataꞌnan nira lamang nga napanaw si Saul ngayti.
1SA.26.1	Iyan duꞌun si Saul it Gabaa may miyabut duꞌut kanya nga mga Zifeo. Isiyugid nira nga duꞌun si David magpatataguꞌ it bulud it Haquila, nga kat lebatang ayun it Jesimon. 
1SA.26.2	Pagkaꞌrut ni Saul, napanaw nga lagi kanya. Tulung ribu i mga ega babasta-bastaen nga mga sundaluꞌ ya nga piyabayaꞌ ya, ka tulusun nira si David ngayti.
1SA.26.3	Nagkampu sira duꞌun it umid it dalan nga duꞌun it bulud ngayti it Haquila. Na David ngayti, duꞌun sira it kapupuyangtan nga rugar. Pagkabaritaꞌ ni David it pagtulusun siꞌ kanya ni Saul, 
1SA.26.4	may piyapanaw ya nga magbaklay-baklay. Pagkaꞌuliꞌ it mga piyapanaw ya ngayti, naꞌrutan ya nga talagang pagtulusun kanya nga matuud ni Saul.
1SA.26.5	Pagkaꞌrut ni David, napanaw kanya nga naꞌaduꞌun it pagkakampuwan na Saul ngayti. Timnaksiꞌ kanya, mamuyaan ya, paglilibutun si Saul it mga sundaluꞌ ya, baw pagꞌigaꞌan ni Saul ngayti, duꞌun it ulid it piyakapagbayaꞌen it sundaluꞌ ya nga si Abner, nga anak ni Ner.
1SA.26.6	Inupakat ni David i esang Heteo nga si Abimelec baw si Abisai, nga sulsug ni Joab nga anak ni Sarvia. Maat ya it kanira, “Siyuy mayaꞌ it aken duꞌun it kampu na Saul?”
1SA.26.6	“Aken, mayaꞌ aku,” maat ni Abisai.
1SA.26.7	Pagdelem daꞌnay parbitik na David, duwa ni Abisai, it siminled duꞌun it kampu na Saul ngayti. Abutan nira, duꞌun naga si Saul magꞌigaꞌ, nga paglilibutun it mga sundaluꞌ ya, baw duꞌun kanya nagat ulid ni Abner. Magrurugsuk i besak ni Saul duꞌun it uluwan ya. 
1SA.26.8	Maat ni Abisai ngayti it ki David, “Talagang ipiyagꞌildaw na it Ampuꞌang Diyus it imu i kalaban mu ngaytu. Unu, ireg mu nga tursadan ku na kanya it besak? Talagang kaꞌsa lamang tu, ega naytuy saꞌupun.”
1SA.26.9	Temed katubag si David, “Ayaw! Ega buwaten mu yan. Dakulaꞌ talaga nga kasalaꞌan i mimatay it taw nga ipiyatindeg it 
1SA.26.10	Talagang pagsisiguruun ku nga 
1SA.26.11	Talagang ega yan kaꞌirgan it 
1SA.26.12	Egay beken, pinsiꞌ ni David i besak ngayti nga magrurugsuk duꞌun it uluwan ni Saul baw dadanuman ngayti, bawnga napanaw na sira. Maski sang kataawan, egay nasulag it kadakel nira ngayti, ka piyaꞌlek it 
1SA.31.1	Iyan riyumpakan siꞌ it mga Filisteo ngayti i mga Israelita duꞌun it bukid it Gilboa, dakel i napatay nga mga Israelita. Iyan beken, nagsigpalagyu na. 
1SA.31.2	Tiniꞌes it mga Filisteo si Saul ngayti baw mga anak ya. Naꞌimatay niray tulu ngayting anak ni Saul nga si Jonatan na ngayti, si Abinadab baw si Melquisua. 
1SA.31.3	Si Saul ngayti baw manigtaban it ipagpakibunuꞌ ya, nasepetan it mga Filisteo nga mga mamamanaꞌ. Nabungadan si Saul it ega teꞌe-teꞌeng nga bungad.
1SA.31.4	Egay beken, inaat ni Saul i manigtaban ngaytit ipagpakibunuꞌ ya, “Sigi lumsanen mu na aku, ka ega ireg kung egen aku paꞌ i madakep it maraꞌway ngayting mga Filisteo, ka barang kalabtaꞌen nira paꞌ aku.” Temed ega simnaꞌa-saꞌang i pagsekaten ya ngayti ka dakulaꞌ nagay iꞌlam yat mimatay it adiꞌ ngayti. Pagkamuya ni Saul kayti, pagbarut yat basiꞌ ya ka tiyumbur ya nay bilug ya. 
1SA.31.5	Pagkalteg it manigtaban ya ngayti, atkayti nagay binwat ya nga nangeget na gasiꞌ. 
1SA.31.6	Aypaꞌ kat iting aldaw natay si Saul, tulu ngayti nga mga anak ya, pati manigtaban ngaytit ipagpakibunuꞌ ya. Baw ta yanayti, dakel i mga taawan nira nga napatay.
1SA.31.7	Mga Israelita nga magtataꞌid duꞌun it saꞌli it pagbunuꞌan ngayti baw duꞌut daranasan it Jordan, pagkamuya nira nga miyatras nay mga sundaluꞌ ngayting mga Israelita baw napatay na si Saul baw tulu ngayting mga anak ya, egay beken nagsigpalagyu na gasiꞌ sirat kanira. Tiyananan nira nay mga lansangan nira. Ta unupat piyasubliyan nat mga Filisteo ngayti ka tiyaꞌidan na nira.
2SA.2.1	Iyan nakataꞌlib nay iting mga kaꞌulugan, subuk namꞌun si David duꞌun it 
2SA.2.1	Maat i tubag it 
2SA.2.1	Mampang siꞌ si David, maat ya, “Ariyen yan i abutun ku nga lansangan?”
2SA.2.1	“Duꞌut lansangan it Hebron,” maat siꞌ i tubag it 
2SA.2.2	Ta it atkayti, nagrikan-rikan na na David ka namagpanaw na, uyut yay duwang asawa ya nga esa, taga Jezreel nga si Ahinoam i ngaran, baw esa si Abigail, siyubli ya na ngayting nabaluwan nga asawa ni Nabal nga taga Carmelo. 
2SA.2.3	Tundan naga ni David i muꞌsang mga taawan ya, pati mga asawa baw mga anak nira. Duꞌun nat Hebron baw mga baryu nga kat linibut ya i tiyaꞌidan nirang muꞌsa. 
2SA.2.4	Iyan duꞌun na na David it Hebron, nagsigꞌabut duꞌun i mga taga Juda. Pagkatiꞌmes nira, piyaturuꞌan nirat lana i ulu ni David ka papagꞌadiꞌen nira na duꞌut Juda ngayti.
2SA.3.1	Temed ega tiyanggap si David it mga kaꞌanak-anakan it tagnaꞌ ngayting adiꞌ nga si Saul. Piyakibunuꞌan nira ga. Kimnaꞌlay talaga i pagraraꞌet nira it pamalay-balay ni David. Temed magkeseg-magkeseg i pamalay-balay ni David. Iyan kat pamalay-balay ni Saul, maglubay-maglubay.
2SA.5.1	Pagtaꞌlib it pitung taꞌun, nagꞌupa-upakaten i beken ngayting mga kuyunang mga tungtung-inapuꞌ ni Israel nga paꞌaduꞌun sirat Hebron ka pakikita it ki David. Pagꞌabut nira duꞌun, maat nirat ki David ngayti, “Kami ngaytu, ega naga baytu mga puyra mu nga taw. Sang kaduguꞌan ta nagaytu. 
2SA.5.2	Ka daꞌga basaꞌan, iyan si Saul paꞌ ngayan i adiꞌ tami, ikaw ngayan i nanguꞌna it mga sundaluꞌ it Israel in magpakibunuꞌ? Daꞌga baꞌ isiyanggup it 
2SA.5.3	Aypaꞌ pagkatingped it muꞌsang mga ginuꞌu it Israel duꞌun it Hebron, nagꞌurupakaten sira kat adapan it 
2SA.5.4	Tulung puluꞌ nang taꞌun i idad ni David pagꞌadung ya ngaytit pagkaꞌadiꞌ. Nagꞌadiꞌ kanya it mga epat nga pulung taꞌun. 
2SA.5.5	Ka duꞌut Hebron ngayti, nagꞌadiꞌ kanya it pitung taꞌun baw enem nga bulan kat rugar it Juda, baw duꞌut Jerusalem nagꞌadiꞌ kanyat tulung puluꞌ may tulung taꞌun kat muꞌsang Israel pati Juda naga.
2SA.5.6	Iyan adiꞌ na ngayti kanya, piyanguꞌnaan yay mga sundaluꞌ ya it nanrumpak it mga Jebuseo nga duꞌun it Sion, nga sang bagiꞌ it siyudad it Jerusalem nga pagkukutaꞌen it sadili ya.
2SA.5.7	Temed ta, diyaꞌeg naga sira ni David. Siyakep ya nay Sion ngayti. Iti na ngayti i tiyaꞌwag nga Siyudad ni David.
2SA.5.9	Duꞌun nay tiyaꞌidan ni David it pagkukutaꞌen ngayti nga Sion. Tiyaꞌwag na nga Siyudad ni David. Piyadungagan na ni David i kutaꞌ ngayti baw piyalayaw ya nay siyudad, garing duꞌut siyudad ngayting lagi isaꞌun uyut na gasiꞌ i Millo nga liꞌwan it kutaꞌ nga lagi. 
2SA.5.10	Magdungag-magdungag i kabantugan ni David sabap it pagtatarimaen kanya nga pirmi it 
2SA.5.17	Pagkabaritaꞌ it mga Filisteo, nga adiꞌ na si David it muꞌsang bangsa nga Israel, ega na desang duꞌut Juda, binwat nira, tiningped nira i muꞌsang mga sundaluꞌ nira ka rumpakan nira kanya. Temed nabaritaꞌan naga ni David. Aypaꞌ binwat ya, naꞌaduꞌun kanya it pagkukutaꞌen. 
2SA.5.18	Pagꞌabut it mga Filisteo ngayti, nagkampu sira duꞌun it daranasan it Refaim. 
2SA.5.19	Binwat ni David ngayti, nanalangin kanya nga pamꞌun ya duꞌun it 
2SA.5.19	Maat i tubag it 
2SA.5.20	Egay beken, piyakibunuꞌan na ni David. Diyaꞌeg yang matuud i mga Filisteo ngayti duꞌun it Baal-perazim. Magꞌaat ni David, “Talagang diyaredes it 
2SA.5.21	Natutuduꞌ i taban it mga Filisteo ngayti nga mga tiyaw-taw nga ladawan it mga pagbete-beteꞌen nga mga diyus nira. Binwat na David, pinsiꞌ niray mga iti ngayti.
2SA.5.22	Temed ta, lamang diyaꞌeg i mga Filisteo ngayti, namagpaꞌuliꞌ naga. Duꞌun nagat daranasan it Refaim ngayti i piyagkampuwan nira. 
2SA.5.23	Binwat ni David, nanalangin naga kanya nga pamꞌun ya duꞌun it 
2SA.5.24	Bawnga melat ka it may magnegan mu nga subuk dulineg it tegday it taw asat ugbus it kakakayuwan ngayan. Pagkagneg mu, daliꞌan mi na sirat dumarmuk, sabap aku naga yan nga 
2SA.5.25	Piyamayaꞌ ni David i ipiyagꞌurdin ngaytit kanya it 
2SA.6.1	Pagkatiwas kayti, tiniꞌmes ni David i tulung puluꞌ nga ribu nga mga piliꞌ nga mga lalaki nga taga Israel. 
2SA.6.2	Piyanguꞌnaan yay muꞌsang mga miyayat kanya, naꞌaduꞌun sira it Baale-juda sabap pisiꞌen na nira i Kaban ngaytit Pakiꞌupakat. Kaban ngayti, magpademdem it ega basta-bastang kabantugan it 
2SA.6.3	Pinsiꞌ na nira i Kaban ngayti duꞌut balay ni Abinadab nga duꞌun it bulud. Ikiyargaꞌ na nira duꞌun it baꞌgu nga karitun. Pagꞌaꞌagbayen naga it duwang anak ni Abinadab nga si Uza baw si Ahio. 
2SA.6.4	Si Ahio, duꞌun it uꞌnaan it Kaban ngaytit Pakiꞌupakat. 
2SA.6.5	Adiꞌ ngayti nga si David baw mga kaꞌibaan ya ngayti, mamagbabayliꞌ-bayliꞌ sirat sagya. Mamagkakantaꞌ paꞌ sira nga pagsasabayen it tugtug it mga turugtugun nga alpa baw beken pang pagpatinggen nira.
2SA.6.6	Iyan adeꞌdeng na sira duꞌut papanggiꞌkan ni Nacon, namagkakulyas i mga bakaꞌ ngayti nga magguguyud it karitun. Binwat ni Uza ngayti, kimpetan ya i Kaban ngaytit Pakiꞌupakat isaꞌun ega maꞌulug. 
2SA.6.7	Kat iting binwat nga tiyapal yay Kaban ngayti, miniseg i 
2SA.6.8	Riyaꞌe-raꞌetang banar it nakem ni David i nabetangan ngayti ni Uza nga pabetang it 
2SA.6.9	Ta sabap it iti ngayting kaꞌulugan, miniꞌlam si David it 
2SA.6.10	Egay beken, ega na piyangaasan ya nga tabanen duꞌut siyudad ya, aypaꞌ ka binwat ya, ipiyatuluy na nira duꞌun it balay ni Obed-edom nga taga Gat. 
2SA.6.11	Seledat tulung bulan duꞌun paꞌ i Kaban ngaytit Pakiꞌupakat. Inildawan nga banar it 
2SA.6.12	May nakabaritaꞌ duꞌut adiꞌ ngayti nga si David nga inildawan nga banar it 
2SA.7.1	Nakatiꞌen-tiꞌen na si David kat balay ya nga balay it adiꞌ. Baw sabap it tabang it 
2SA.7.2	Ta it atkayti, ipiyatawag ya i prupitaꞌ nga si Natan. Siyugi-sugid ya nga magꞌaat, “Kayti magkaltegan mu nga pagtataꞌidan ku, mabakas na nga pamalay-balay ka buwat-buwat ya purus tablaꞌ nga sedro. Temed iyan Kaban it Pakiꞌupakat it Ampuꞌang Diyus, duꞌun lamang it magkapuru-purun nga bala-balay.”
2SA.7.3	Katubag si Natan ngayti, maat ya, “Magayen yan i magkapikir mu ngayan nga kubwaten mu. Ipatabus mu lamang sabap magkaꞌrutan ku nga pagpanguꞌnaan ka nga pirmi it 
2SA.7.3	(Maski napikir ni David nga yay kubwaten ya, ega natabus ya ka may ampang it Ampuꞌang Diyus nga miyabut duꞌun it prupitaꞌ ngayting si Natan nga magꞌaat, “Aduꞌunun mu si David. Aaten mu nga ega kanya i kapatindeg it balay ku ngaytu. Ipatindeg manaytu it esang anak ya nga sumubli it kanya.”
2SA.7.3	Natuman tu kat timpu ni Solomon. Papagsambaan ngayting ipiyatindeg nira, piyangaranan nirat Templo.)
2SA.11.1	Pagsaylu sit taꞌun, iyan timpu siꞌ nga magayeng ipagpakibunuꞌ, piyasulung siꞌ ni David i muꞌsang sundaluꞌ it Israel. Piyakapagbayaꞌen nga si Joab i magpanguꞌnaan. Dakel i piyangimatay nira nga mga Ammonita bawnga kiyulung nira i Rabba nga puꞌun nga siyudad it mga Ammonita ngayti. Temed si David ngayti, duꞌun nagat Jerusalem, ega miyayat kanira.
2SA.11.2	Kaꞌsang apun, minigaꞌ si David. Pagkasulag ya it apu-apun na, miyapyat duꞌut mapatag nga atep it mabakas ngayting balay ya. Ta it duꞌun na kanya magpanaw-panaw, may nalawag ya nga magpamaꞌyuꞌ nga babay nga masyadung kadaraga.
2SA.11.3	Ipiyapariksaꞌ ya in siyuyti nga babay. Nasugid duꞌut kanya nga anak kanya ni Eliam, si Bat-seba i ngaran. Pagꞌaꞌasawaen it Heteo nga si Urias i ngaran. 
2SA.11.4	Ta, ipiyapisiꞌ ni David si Bat-seba ngayti nga yapay katiwas ya it adat nira nga paglimpiyuꞌ in pagduguꞌun. Inulid kanya ni David bawnga piyaꞌuliꞌ naga. 
2SA.11.5	Ta, sabap it iti nga kaꞌulugan nagdarugmatiꞌ si Bat-seba. Ipiyasugid ya duꞌut ki David nga piyagsipatan kanya. 
2SA.11.6	Pagkaꞌrut ni David, may piyapanaw ya duꞌut piyakapagbayaꞌen ngaytit sundaluꞌ ya nga si Joab. Tinggunan ya nga paꞌuliꞌen daꞌan duꞌut Jerusalem si Urias. 
2SA.11.7	Pagꞌabut ni Urias, iningkut kanya ni David nga magꞌaat, “Kumusta naga si Joab baw kadaklan it mga sundaluꞌ ta? Talaꞌga?” Maat ya pang beken, “Unuy pagbara-baraꞌan it pakibunuꞌ mi duꞌun?” 
2SA.11.8	Bawnga inaat ya si Urias ngayti, “Magayen,” maat ya, “muliꞌ ka daꞌan duꞌut imyu isaꞌun kapaꞌna ka, ka alaid ti i giyaringan mu ngayti.” Aypaꞌ napanaw na si Urias ngayti. Binggayan paꞌ it adiꞌ ngayti si Urias it pangaꞌen nga iꞌabut ya duꞌut balay. 
2SA.11.9	Temed ega limnangbus si Urias duꞌut balay nira. Duꞌun i inigaꞌan ya it puwirtaꞌan it mabakas ngayting balay it adiꞌ, nagpakiꞌigaꞌ na duꞌut mga guwardiya it puwirtaꞌan.
