MAT.1.1	Ибрайымның урпағы, Даўыттың урпағы Ийса Масихтың
MAT.24.44	Сонлықтан сизлер де таяр болып турыўыңыз шәрт! Өйткени Адам Улы сизлер ойламағанда келеди.
MAT.24.45	Ийеси үй-ишимдегилерди басқарсын ҳәм оларға ўақтында аўқатын берсин деп тайынлаған исенимли ҳәм ақыллы хызметши ким? 
MAT.24.46	Ийеси келгенде оның солай ислеп атырғанын көрсе, сол хызметши бахытлы! 
MAT.24.47	Сизлерге шынын айтып турман: ийеси оны өзиниң пүткил мал-мүлкин басқарыўшы етип тайынлайды. 
MAT.24.48	Ал егер сол хызметши жаман болып, ишинен: «Ийем тез келе қоймас», – деп ойлап, 
MAT.24.49	хызметши жолдасларын сабап, мәскүнемлер менен бирге ишип-жесе, 
MAT.24.50	сонда сол хызметшиниң ийеси күтпеген күни ҳәм ойламаған ўақытта келип, 
MAT.24.51	оны қатты жазалап, еки жүзлилердиң аўҳалына салады. Сол жерде ол жылап, пушайман жейди.
MAT.25.1	– Сол күни Аспан Патшалығы шыраларын алып, күйеўди қарсы алыўға шыққан он қызға уқсайды. 
MAT.25.2	Олардың бесеўи ақылсыз, ал бесеўи ақыллы болыпты. 
MAT.25.3	Ақылсыз қызлар шыраларын алыпты да, бирақ аўысық май алмай шығыпты. 
MAT.25.4	Ал ақыллы қызлар шыралары менен қоса май қуйылған ыдысларын да алып шығыпты. 
MAT.25.5	Күйеў кешиккеннен соң олардың ҳәммеси қалғып, уйықлап қалыпты. 
MAT.25.6	Бирақ түн ортасы болғанда: «Күйеў киятыр, оны қарсы алыўға шығыңлар», – деп бақырған даўыс еситилипти. 
MAT.25.7	Сонда қызлардың ҳәммеси турып, өзлериниң шыраларын таярлапты. 
MAT.25.8	Ақылсыз қызлар ақыллыларға: «Бизлерге майларыңыздан аз-маз бериңлер, шыраларымыз сөнип атыр», – депти. 
MAT.25.9	Ал ақыллы қызлар: «Бизлерге де, сизлерге де жетпей қалыўы мүмкин, жақсысы, сатыўшыларға барып сатып алыңлар», – деп жуўап берипти. 
MAT.25.10	Олар май сатып алыўға кеткен ўақытта күйеў келип, таяр турған қызлар оның менен бирге тойханаға киргеннен соң, қапы бекитилипти. 
MAT.25.11	Соңынан қалған қызлар да келип: «Ийем! Ийем! Бизлерге қапыны аш!» – деп жалыныпты. 
MAT.25.12	Бирақ ол: «Сизлерге шынын айтып турман: мен сизлерди танымайман!» – деп жуўап қайтарыпты.
MAT.25.13	Солай етип, сергек болыңлар, себеби Адам Улының келетуғын күнин ҳәм ўақтын билмейсизлер-ғо.
MAT.25.14	– Аспан Патшалығы бир адамның узақ жолға кетпесинен бурын хызметшилерин шақырып алып, оларға өзиниң мал-мүлкин аманат еткенине уқсайды. 
MAT.25.15	Олардың уқыбына қарай, биреўине бес, екиншисине еки, үшиншисине бир талант берип, жолға атланыпты. 
MAT.25.16	Бес талант алғаны дәрриў барып, ақшаны саўдаға айландырып, және бесеўин арттырыпты. 
MAT.25.17	Еки талант алғаны да солай ислеп, және екеўин арттырыпты. 
MAT.25.18	Бир талант алғаны барып, ийесиниң ақшасын жерге көмип жасырыпты.
MAT.25.19	Арадан көп ўақыт өткеннен соң хызметшилердиң ийеси қайтып келип, олардан есап талап етипти. 
MAT.25.20	Сонда бес талант алғаны және бесеўин әкелип: «Ийем, маған бес талант берген едиңиз, минекей, мен және бесеўин арттырдым», – депти. 
MAT.25.21	Ийеси оған: «Бәрекелла, жақсы ҳәм исенимли хызметшим! Кишкене исте исенимли болдың, мен саған үлкен ис тапсырмақшыман. Жүр, мениң қуўанышыма ортақ бол!» – депти. 
MAT.25.22	Еки талант алғаны да келип: «Ийем, сиз маған еки талант берген едиңиз, минекей, мен және екеўин арттырдым», – депти. 
MAT.25.23	Ийеси оған: «Бәрекелла, жақсы ҳәм исенимли хызметшим! Кишкене исте исенимли болдың, мен саған үлкен ис тапсырмақшыман. Жүр, мениң қуўанышыма ортақ бол!» – депти.
MAT.25.24	Соңынан бир талант алғаны да келип: «Ийем, сизиң қатал адам екениңизди билемен. Сиз өзиңиз екпеген жериңизден орып, шашпаған жериңизден жыйнайсыз. 
MAT.25.25	Сонлықтан мен сизден қорқып, талантыңызды жерге көмип жасырған едим. Минекей, ақшаңыз, алың», – депти. 
MAT.25.26	Ал ийеси оған жуўап қайтарып былай депти: «Ҳәй, жаман ҳәм жалқаў хызметшим! Мениң өзим екпеген жерден орып, шашпаған жерден жыйнайтуғынымды сен билипсең. 
MAT.25.27	Сонлықтан да, мениң ақшамды айланысқа жиберетуғын адамға бериўиң тийис еди, қайтып келгенимде өзимдикин пайдасы менен алар едим-ғо. 
MAT.25.28	Енди оннан талантты алыңлар да, оны он таланты барға бериңлер! 
MAT.25.29	Өйткени кимде бар болса, оған және де мол етип бериледи, ал кимде жоқ болса, оның бары да тартып алынады. 
MAT.25.30	Ал мына жарамсыз хызметшини сыртқы қараңғылыққа шығарып таслаңлар. Сол жерде ол жылап, пушайман жейди».
MAT.25.31	– Адам Улы Өз салтанатында ҳәм барлық периштелери менен бирге келгенде, Өзиниң салтанатлы тахтына отырады. 
MAT.25.32	Сонда барлық халықлар Оның алдына жыйналады ҳәм Ол шопанның қойларды ешкилерден айырғаны сыяқлы, оларды айырып бөледи. 
MAT.25.33	Қойларды оң жағына, ешкилерди сол жағына қояды. 
MAT.25.34	Сонда патша оң жағындағыларға: «Келиңлер, Әкемнен жарылқанғанлар, дүнья жаратылғаннан бери сизлер ушын таярлап қойылған Патшалықты мийрас етип алыңлар. 
MAT.25.35	Себеби Мен аш болғанымда, сизлер Маған аўқат бердиңлер, шөллегенимде, суў бердиңлер, жат жерде жүргенимде, Мени қабыл алдыңлар. 
MAT.25.36	Жалаңаш болғанымда, Маған кийим бердиңлер, наўқас болғанымда, Мени күттиңлер, қамақта болғанымда, Маған келдиңлер», – дейди. 
MAT.25.37	Сонда ҳақ адамлар Оған: «Ийем! Бизлер қашан аш болғаныңды көрип, Саған аўқат бердик, қашан шөллегениңди көрип, суў бердик? 
MAT.25.38	Қашан жат жерде жүргениңди көрип, Сени қабыл еттик, қашан жалаңаш болғаныңда, Саған кийим бердик? 
MAT.25.39	Қашан наўқас ямаса қамақта болғаныңды көрип, Саған бардық?» – дейди. 
MAT.25.40	Патша оларға жуўап берип: «Сизлерге шынын айтып турман: сизлердиң усы ислерди Мениң мына ең қарапайым туўысқанларымның биреўине ислегениңиз – Маған ислегениңиз болады», – дейди. 
MAT.25.41	Соннан кейин, Ол сол жағындағыларға: «Ҳәй, ғарғыс алғанлар! Мениң қасымнан арман, шайтан ҳәм оның хызметшилери
MAT.25.42	Өйткени Мен аш болғанымда, сизлер Маған аўқат бермедиңлер, шөллегенимде, суў бермедиңлер. 
MAT.25.43	Жат жерде жүргенимде, Мени қабыл алмадыңлар, жалаңаш болғанымда, Маған кийим бермедиңлер, наўқас, қамақта болғанымда, Маған келмедиңлер», – дейди. 
MAT.25.44	Сонда олар жуўап берип: «Ийем! Бизлер Сениң қашан я аш болғаныңды, я шөллегениңди, я жат жерде жүргениңди, я жалаңаш, я наўқас, я қамақта болғаныңды көрип, Саған хызмет етпедик?» – дейди. 
MAT.25.45	Сонда патша жуўап қайтарып: «Сизлерге шынын айтып турман: сизлер усы ислерди мына ең қарапайым биреўине ислемегениңиз – Маған ислемегениңиз болады», – дейди.
MAT.25.46	Солай етип, олар мәңгилик азапқа жибериледи, ал ҳақ адамлар мәңгилик өмирге ериседи.
MAT.26.1	Ийса усы сөзлердиң ҳәммесин айтып болғаннан кейин, Өз шәкиртлерине:
MAT.26.2	– Енди еки күннен соң, Қутқарылыў байрамы
MAT.26.3	Сол ўақытта бас руўханийлер ҳәм халық ақсақаллары Каяфа деген бас руўханийдиң ҳәўлисине жыйналды. 
MAT.26.4	Олар Ийсаны ҳийле менен қолға түсирип алып өлтириў ҳаққында тил бириктирди. 
MAT.26.5	Бирақ олар: «Халық арасында қозғалаң болмаўы ушын, бул исти байрам күнлери ислемейик», – дести.
MAT.26.6	Ийса Бетанияда, бурын мақаў кесел болған Симонның үйинде 
MAT.26.7	дастурхан басында отырғанда, қолында қымбатлы әтир майға толған мәрмер ыдысы бар бир ҳаял Оның қасына келип, әтир майды Оның басына қуйды. 
MAT.26.8	Буны көрген шәкиртлери ашыўланып:
MAT.26.8	– Бундай ысырапкершиликтиң неге кереги бар? 
MAT.26.9	Бул әтир майды қымбатқа сатып, ақшасын жарлыларға үлестириўге болар еди-ғо, – дести.
MAT.26.10	Бирақ Ийса буны еситип, оларға:
MAT.26.10	– Бул ҳаялды неге уялтып атырсызлар? Ол Маған жақсылық иследи-ғо. 
MAT.26.11	Жарлылар сизлер менен бәрқулла бирге, ал Мен сизлер менен бәрқулла бирге болмайман. 
MAT.26.12	Ол бул әтир майды денеме қуйып, Мени жерлеўге таярлады. 
MAT.26.13	Сизлерге шынын айтып турман: Хош Хабар дүньяның қай жеринде жәрияланса да, бул ҳаял еске алынып, оның ислеген иси айтылатуғын болады, – деди.
MAT.26.14	Соңынан Ийсаның он еки шәкиртиниң бири болған Яҳуда Исқариот деп аталған адам бас руўханийлерге барып:
MAT.26.15	– Ийсаны сизлерге услап берсем, маған не бересизлер? – деп сорады.
MAT.26.15	Олар оған отыз гүмис теңге усынды. 
MAT.26.16	Яҳуда да сол ўақыттан баслап Ийсаны услап бериўге қолайлы пайыт изледи.
MAT.26.17	Ашытқысыз нан байрамының
MAT.26.17	– Қутқарылыў байрамының асын жеўиң ушын қай жерде таярлық көриўимизди қәлейсең? – деп сорады.
MAT.26.18	Ол жуўап берип былай деди:
MAT.26.18	– Қаладағы пәленше деген адамға барып, оған: «Устазымыз: „Мениң күним жақынлап қалды. Шәкиртлерим менен бирге байрам аўқатын сениң үйиңде жеймен“, деди», – деп айтыңлар.
MAT.26.19	Шәкиртлери Ийсаның тапсырғанын ислеп, байрам аўқатын таярлады.
MAT.26.20	Кеш болғанда, Ийса он еки шәкирти менен бирге дастурхан әтирапына отырды. 
MAT.26.21	Олар аўқатланып отырғанда, Ийса оларға:
MAT.26.21	– Сизлерге шынын айтып турман: араңыздағы бириңиз Маған сатқынлық ислейди, – деди.
MAT.26.22	Сонда олар қатты қапа болып, биринен соң бири Оннан:
MAT.26.22	– Мен емеспен бе, Ийем? – деп сорай баслады.
MAT.26.23	Ийса оларға жуўап берип:
MAT.26.23	– Мениң менен бирге табаққа қолын салғанның өзи Маған сатқынлық ислейди. 
MAT.26.24	Деген менен, Адам Улы Өзи ҳаққында Мухаддес Жазыўда айтылғандай баратыр, бирақ Адам Улына сатқынлық қылыўшы ҳәсирет шегеди! Ол адамның бул дүньяға келмегени өзи ушын жақсырақ болар еди, – деди.
MAT.26.25	Сонда Оған сатқынлық қылатуғын Яҳуда:
MAT.26.25	– Мен емеспен бе, Устаз? – деди.
MAT.26.25	Ийса оған:
MAT.26.25	– Буны сен өзиң айттың, – деп жуўап берди.
MAT.26.26	Олар аўқатланып отырғанда Ийса нанды алып, Қудайға шүкирлик етти ҳәм оны сындырып, шәкиртлерине берди де:
MAT.26.26	– Алыңлар, жеңлер, бул – Мениң денем, – деди.
MAT.26.27	Соңынан Ол кесени қолына алып, Қудайға шүкирлик етти ҳәм оларға кесени берип былай деди:
MAT.26.27	– Ҳәммеңиз буннан ишиңлер! 
MAT.26.28	Себеби бул – көп адамның гүналарының кеширилиўи ушын төгилетуғын, Жаңа Келисимди бекитетуғын Мениң қаным. 
MAT.26.29	Сизлерге айтатуғыным: Әкемниң Патшалығында сизлер менен жаңасын ишетуғын күниме дейин, Мен бундай жүзим ишимлигинен қайтып ишпеймен.
MAT.26.30	Соңынан олар Қудайды жырлайтуғын қосық айтып, Зәйтүн таўына кетти.
MAT.26.31	Сонда Ийса оларға:
MAT.26.31	– Бул түни ҳәммеңиз Мени таслап кетесизлер. Өйткени Мухаддес Жазыўда былай деп айтылған:
MAT.26.32	Бирақ қайта тирилгенимнен кейин, сизлерден бурын Галилаға бараман, – деди.
MAT.26.33	Петр Оған жуўап берип:
MAT.26.33	– Сени ҳәммеси таслап кетсе де, мен Сени ҳеш қашан таслап кетпеймен, – деди.
MAT.26.34	Ийса оған:
MAT.26.34	– Саған шынын айтып турман: бүгин түнде қораз шақыраман дегенше, сен Меннен үш рет танасаң, – деди.
MAT.26.35	Петр Оған:
MAT.26.35	– Маған Сениң менен бирге өлиўге туўра келсе де, мен Сеннен ҳеш қашан танбайман, – деди.
MAT.26.35	Басқа шәкиртлериниң ҳәммеси де солай деди.
MAT.26.36	Соңынан Ийса шәкиртлери менен бирге Гетсемани деген жерге келип, оларға:
MAT.26.36	– Мен ана жерге барып дуўа етип боламан дегенше, сизлер усы жерде отырыңлар, – деди.
MAT.26.37	Өзи менен бирге Петрди ҳәм Зебедейдиң еки улын алып кетти де, қайғырып қыйнала баслады. 
MAT.26.38	Сонда Ийса оларға:
MAT.26.38	– Жаным өлердей қыйналып тур. Сизлер усы жерде қалып, Мениң менен бирге сергек болып турыңлар, – деди.
MAT.26.39	Соңынан Ол бираз шетирек барды да, бетин жерге басып, былай деп дуўа ете баслады:
MAT.26.39	– Әкем Мениң! Егер де мүмкин болса, бул азап кесеси Меннен өтсин. Бирақ Мениң емес, Сениң қәлеўиң болсын!
MAT.26.40	Шәкиртлериниң қасына қайтып келип, олардың уйықлап атырғанын көрди де, Петрге:
MAT.26.40	– Солай етип, сизлер Мениң менен бирге уйықламай бир саат та отыра алмадыңлар ма? 
MAT.26.41	Азғырылмаўыңыз ушын сергек болып, дуўа етиңлер! Руўх қәлейди, бирақ дене ҳәлсиз, – деди.
MAT.26.42	Ийса екинши рет барып, және былай деп дуўа етти:
MAT.26.42	– Әкежаным! Егер бул азап кесеси Мен ишпей Меннен өте алмаса, онда Сениң еркиң орынлансын.
MAT.26.43	Қайтып келип, олардың және уйықлап атырғанын көрди. Өйткени көзлерин уйқы басқан еди.
MAT.26.44	Оларды қалдырып, және барып, үшинши рет те сол сөзлерин қайталап дуўа етти. 
MAT.26.45	Соңынан шәкиртлериниң қасына қайтып келип, оларға:
MAT.26.45	– Сизлер еле уйықлап, дем алып атырсызлар ма? Мине, ўақыт болды, Адам Улы гүнакарлардың қолына услап бериледи. 
MAT.26.46	Турыңлар, кеттик. Қараңлар, Маған сатқынлық қылыўшы жақынлады, – деди.
MAT.26.47	Ийса еле сөйлеп турғанда, он екиниң бири Яҳуда келди. Оның менен бирге бас руўханийлер ҳәм халық ақсақаллары жиберген жүдә көп адамлар бар еди. Адамлар қолларына қылыш ҳәм шоқмар услаған еди. 
MAT.26.48	Ийсаға сатқынлық қылыўшы оларға белги берип: «Мен кимди сүйсем, Ол – Соның Өзи. Оны қолға алыңлар», – деген еди.
MAT.26.49	Ол дәрриў Ийсаның қасына барып:
MAT.26.49	– Ассалаўма әлейкум, Устаз! – деп Оны сүйди.
MAT.26.50	Ийса оған:
MAT.26.50	– Ҳәй, достым, неге келдиң? – деди.
MAT.26.50	Сонда олар Ийсаға жақынлап келди де, Оған қол салып услап алды. 
MAT.26.51	Сол ўақытта-ақ Ийса менен бирге болғанлардың биреўи қылышын суўырып алып, бас руўханийдиң қулының қулағын шаўып таслады. 
MAT.26.52	Бирақ Ийса оған:
MAT.26.52	– Қылышыңды қынабына салып қой! Қылыш көтериўшилердиң ҳәммеси де қылыштан қаза табады. 
MAT.26.53	Сен егер Мен ҳәзир Әкемнен сорасам, Ол Маған он еки легионнан
MAT.26.54	Бирақ егер ондай болса, Мухаддес Жазыўлардағы солай болыўы тийис деген сөзлер қалайынша орынланар еди? – деди.
MAT.26.55	Сонда Ийса халыққа:
MAT.26.55	– Мени услаў ушын, жынаятшыға қарсы шыққандай болып, қылыш ҳәм шоқмар алып келдиңлер ме? Мен ҳәр күни Ибадатханада отырып тәлим беретуғын едим, бирақ сизлер Мени усламадыңлар. 
MAT.26.56	Усылардың ҳәммеси пайғамбарлардың Жазыўларының орынланыўы ушын болды, – деди.
MAT.26.56	Сонда шәкиртлериниң ҳәммеси Оны таслап, қашып кетти.
MAT.26.57	Ийсаны қолға алғанлар Оны Каяфа деген бас руўханийге апарды. Ол жерге диний муғаллимлер менен ақсақаллар жыйналған еди. 
MAT.26.58	Петр Ийсаға бас руўханийдиң ҳәўлисине дейин узақтан ерип барды ҳәм соңын көриў ушын ишке кирип, сақшылар менен бирге отырды. 
MAT.26.59	Бас руўханийлер ҳәм пүткил жоқарғы кеңес Ийсаны өлим жазасына ҳүким етиў ушын, Оған қарсы жалған гүўалық изледи. 
MAT.26.60	Көплеген жалған гүўалар келсе де, таба алмады. Ақырында еки жалған гүўа келип:
MAT.26.61	– Ол: «Қудайдың Ибадатханасын бузып, Оны үш күнниң ишинде қайта тиклей аламан», – деп айтты, – деди.
MAT.26.62	Сонда бас руўханий орнынан турып, Ийсадан:
MAT.26.62	– Олар Саған қарсы гүўалық берип атыр-ғо. Сен неге ҳеш жуўап бермейсең? – деп сорады.
MAT.26.63	Бирақ Ийса үндемеди. Сонда бас руўханий Оған:
MAT.26.63	– Мен Саған тири Қудайдың аты менен буйыраман. Бизлерге айтшы: Қудайдың Улы, Масих – Сенбисең? – деп сорады.
MAT.26.64	Ийса оған:
MAT.26.64	– Өзиң айттың. Сизлерге айтатуғыным: усы ўақыттан баслап, сизлер Адам Улының Қүдиретлиниң
MAT.26.65	Сонда бас руўханий өз кийимлерин жыртып:
MAT.26.65	– Ол Қудайға тил тийгизди-ғо! Енди бизлерге гүўалардың неге кереги бар? Сизлер ҳәзир Оның Қудайға тил тийгизгенин өзлериңиз еситтиңиз-ғо! 
MAT.26.66	Сизлердиң ҳүкимиңиз қандай болады? – деп сорады.
MAT.26.66	Олар жуўап қайтарып:
MAT.26.66	– Ол өлим жазасына тартылыўы тийис, – деди.
MAT.26.67	Сонда олар Оның бетине түкирип, Оны ура баслады. Биреўлер бетине шапалақ пенен урып, 
MAT.26.68	Оған:
MAT.26.68	– Ҳәй, Масих! Бизлерге ўәлийлик етип айт: Сени ким урды? – деди.
MAT.26.69	Сол ўақытта Петр сыртта, ҳәўлиде отырған еди. Оның қасына бир шоры қыз келип:
MAT.26.69	– Сен де галилалы Ийса менен бирге едиң-ғо, – деди.
MAT.26.70	Бирақ ол ҳәммениң алдында танып:
MAT.26.70	– Сениң не айтып турғаныңды түсинбеймен, – деди.
MAT.26.71	Ол дәрўазаға қарай баратырғанда оны басқа бир шоры қыз көрип, сол жердегилерге:
MAT.26.71	– Мына адам Насыралы Ийса менен бирге болған-ғо, – деди.
MAT.26.72	Ол ант ишип:
MAT.26.72	– Мен ол Адамды танымайман, – деп және танды.
MAT.26.73	Бираздан кейин, сол жерде турғанлар Петрге жақынлап келип, оған:
MAT.26.73	– Шынында да, сен солардың бирисең. Бул сениң сөйлегениңнен анық билинип тур-ғо, – деди.
MAT.26.74	Сонда Петр:
MAT.26.74	– Шынын айтып турман, мен ол Адамды танымайман, – деп ант ишип, өзин өзи ғарғай баслады.
MAT.26.74	Сол ўақытта-ақ қораз шақырды. 
MAT.26.75	Сонда Ийсаның: «Қораз шақыраман дегенше, сен Меннен үш рет танасаң», – деген сөзи Петрдиң есине түсти. Ол сыртқа шығып кетип, өкирип жылады.
MAT.27.1	Таң атқанда, барлық бас руўханийлер менен халық ақсақаллары Ийсаны өлтириў туўралы кеңести де, 
MAT.27.2	Оны байлатып, римли ҳәким Понтий Пилатқа апарып тапсырды.
MAT.27.3	Сонда Ийсаға сатқынлық қылған Яҳуда Оның жазаға ҳүким етилгенин көрип өкинди де, алған отыз гүмис теңгени бас руўханийлер менен халық ақсақалларына қайтарып берип:
MAT.27.4	– Мен сатқынлық қылдым. Айыпсыз қанды төктирип, гүна иследим, – деди.
MAT.27.4	Олар оған:
MAT.27.4	– Бизлерге не? Өзиң бил, – деди.
MAT.27.5	Сонда Яҳуда гүмисти Ибадатхананың ишине ылақтырып таслады да, сыртқа шығып кетип, асылып өлди.
MAT.27.6	Бас руўханийлер гүмисти алып:
MAT.27.6	– Буны Ибадатхана қазнасына салыўға болмайды, себеби бул қанның қуны-ғо, – деди.
MAT.27.7	Олар өз ара ойласып, сол ақшаға гүлалшының егислик жерин сатып алды да, оны жат жерден келгенлерди жерлеўге арнады. 
MAT.27.8	Сонлықтан сол жер усы күнге дейин «Қан жери» деп аталады.
MAT.27.9	Солай етип, Еремия пайғамбардың алдын ала айтқан мына сөзлери орынланды:
MAT.27.11	Ийса римли ҳәкимниң алдында турғанда, ҳәким Оннан:
MAT.27.11	– Сен Яҳудийлердиң Патшасымысаң? – деп сорады.
MAT.27.11	Ийса оған:
MAT.27.11	– Сол екенимди өзиң айттың, – деп жуўап берди.
MAT.27.12	Ал бас руўханийлер менен халық ақсақаллары Оны айыплағанда, Ол ҳеш жуўап бермеди.
MAT.27.13	Сонда Пилат Оған:
MAT.27.13	– Саған қарсы қаншама гүўалықлар айтып атырғанын еситип турған жоқсаң ба? – деди.
MAT.27.14	Бирақ Ийсаның өзиниң бирде бир сөзине жуўап қайтармағанына ҳәким қатты ҳайран қалды.
MAT.27.15	Қутқарылыў байрамында халық сораған бир тутқынды босатып бериў – ҳәкимниң әдети еди. 
MAT.27.16	Сол ўақытта қамақта Бараба деген белгили бир жынаятшы бар еди. 
MAT.27.17	Халық жыйналып болғанда, Пилат оларға былай деди:
MAT.27.17	– Сизлер кимди босатып бериўимди қәлейсизлер? Барабаны ма ямаса Масих деп аталатуғын Ийсаны ма?
MAT.27.18	Өйткени ол олардың Ийсаны өзине күншиллик пенен услап бергенин билетуғын еди.
MAT.27.19	Пилат ҳүким гүрсисинде отырғанда, ҳаялы оған мынадай хабар жиберди: «Сол ҳақ Адамға ҳеш нәрсе ислеме. Мен бүгин түсимде Ол себепли көп азап шектим».
MAT.27.20	Бас руўханийлер менен халық ақсақаллары халықты үгитлеп:
MAT.27.20	– Барабаны босатып берип, Ийсаны өлтириўди талап етиңлер, – деди.
MAT.27.21	Ҳәким олардан және:
MAT.27.21	– Сизлерге екеўиниң қайсысын босатып бериўимди қәлейсизлер? – деп сорады.
MAT.27.21	Олар:
MAT.27.21	– Барабаны, – деди.
MAT.27.22	Пилат оларға:
MAT.27.22	– Ал Масих деп аталатуғын Ийсаға не ислейин? – деп сорады.
MAT.27.22	Олардың ҳәммеси де:
MAT.27.22	– Оны атанақ ағашқа шегелетип тасла! – деди.
MAT.27.23	Ал Пилат олардан:
MAT.27.23	– Ол қандай жаманлық иследи, ақыры? – деп сорады.
MAT.27.23	Бирақ олар бурынғысынан бетер:
MAT.27.23	– Оны атанақ ағашқа шегелетип тасла! – деп бақырысты.
MAT.27.24	Пилат ҳеш нәрсе ислей алмайтуғынын ҳәм қозғалаң басланажағын сезип, суў алды да, халықтың көз алдында қолын жуўып:
MAT.27.24	– Бул Адамның қанының төгилиўине мен айыплы емеспен, сизлер жуўапкерсиз, – деди.
MAT.27.25	Пүткил халық:
MAT.27.25	– Оның қаны ушын бизлер ҳәм бизлердиң балаларымыз жуўапкер болғаймыз! – деп жуўап қайтарды.
MAT.27.26	Сонда Пилат оларға Барабаны босатып берди. Ал Ийсаны қамшылатқаннан соң, атанақ ағашқа шегелеўге тапсырды.
MAT.27.27	Сонда ҳәкимниң әскерлери Ийсаны ҳәкимниң ҳәўлисине алып барып, оның алдына пүткил әскерлерди жыйнады. 
MAT.27.28	Оның кийимлерин шешип, үстине шым қызыл шапан кийгизди де, 
MAT.27.29	тикенли шыбықлардан таж өрип, Оның басына салды. Оң қолына қамыс таяқты услатты да, Оның алдында дизелерин бүгип:
MAT.27.29	– Жасасын, Яҳудийлердиң Патшасы! – деп мазақ етти.
MAT.27.30	Оған түкирип, қамысты алып, Оның басына урды. 
MAT.27.31	Оны мазақ қылып болғаннан соң, үстиндеги шым қызыл кийимди шешип алып, Оған Өз кийимин кийгизди де, атанақ ағашқа шегелеў ушын алып кетти.
MAT.27.32	Әскерлер шығып баратырғанда Симон атлы бир киренели адамды ушыратып, оны Ийсаның атанақ ағашын арқалап алып жүриўге мәжбүрледи. 
MAT.27.33	Голгота деп аталған, яғный «Бас сүйек орны» дегенди аңлататуғын жерге келгенде, 
MAT.27.34	олар Ийсаға өт қосылған шарапты ишиўге берди, бирақ Ол татып көрип, ишиўден бас тартты.
MAT.27.35	Оны атанақ ағашқа шегелеп болғаннан соң шек тасласып, кийимлерин өз ара бөлисти
MAT.27.36	соңынан отырып, Оны қараўыллады. 
MAT.27.37	Оның айыбын көрсететуғын: «БУЛ – ЯҲУДИЙЛЕРДИҢ ПАТШАСЫ ИЙСА» деген жазыўды бас бетиндеги ағашқа қағып қойды. 
MAT.27.38	Ийса менен бирге еки қарақшыны да, биреўин оң тәрепине, екиншисин сол тәрепине атанақ ағашларға шегеледи.
MAT.27.39	Ийсаның жанынан өтип баратырғанлар басларын шайқады ҳәм Оны мазақ етип:
MAT.27.40	– Ҳәй, Ибадатхананы бузып, Оны үш күнниң ишинде қайта тиклейжақ болған, Сен! Егер Сен Қудайдың Улы болсаң, қәнекей, Өзиңди Өзиң қутқар! Атанақ ағаштан түсип көрши! – дести.
MAT.27.41	Бас руўханийлер, диний муғаллимлер ҳәм ақсақаллар да Оның үстинен күлип былай деди:
MAT.27.42	– Бул басқаларды қутқарып, Өзин Өзи қутқара алмайды. Егер Ол Израилдың Патшасы болса, ҳәзир атанақ ағаштан түссин. Сонда бизлер Оған исенермиз. 
MAT.27.43	Ол Қудайға арқа сүйеп тур. Егер Қудай қәлесе, ҳәзир Оны қутқарсын. Себеби Ол: «Мен Қудайдың Улыман», – деген еди-ғо.
MAT.27.44	Ийса менен бирге атанақ ағашқа шегеленген қарақшылар да Оны усылай мазақ етти.
MAT.27.45	Түски саат он екиден баслап, түстен кейин саат үшке дейин, пүткил жерди қараңғылық қаплап турды. 
MAT.27.46	Саат үшлер шамасында Ийса қатты даўыс пенен:
MAT.27.46	– Ели, Ели! Лама сабахтани? (Яғный: «Қудайым, Қудайым! Неге Мени таслап кеттиң?»
MAT.27.47	Сол жерде турғанлардың гейбиреўлери буны еситип:
MAT.27.47	– Ол Илиясты шақырып атыр, – дести.
MAT.27.48	Дәрриў олардың биреўи жуўырып барып, бир сорғышты сирке суўына сиңдирди де, оны таяққа қадап, Оған ишиўге берди.
MAT.27.49	Ал басқалары:
MAT.27.49	– Тоқтай тур, Илияс келип, Оны қутқарар ма екен, көрейик, – дести.
MAT.27.50	Ийса және қатты даўыслап бақырды да, жан тапсырды.
MAT.27.51	Сол ўақытта-ақ Ибадатхананың Мухаддесханасындағы перде жоқарыдан төменге дейин қақ айырылып, екиге бөлинди. Жер силкинип, жартаслар жарылды. 
MAT.27.52	Қәбирлер ашылып, жатырған мухаддес адамлардың көбиси қайта тирилди. 
MAT.27.53	Ийса қайта тирилгеннен кейин, олар қәбирлеринен шығып, мухаддес қалаға барды ҳәм көп адамларға көринди.
MAT.27.54	Жер силкиниўдиң ҳәм басқа ўақыялардың болғанын көрген жүзбасы ҳәм оның менен бирге Ийсаны қараўыллағанлар қатты қорқысып:
MAT.27.54	– Бул ҳақыйқаттан да, Қудайдың Улы екен! – дести.
MAT.27.55	Сол жерде узақтан қарап турған көп ҳаяллар да бар еди, олар Ийсаның изине Галиладан ерип келип, Оған хызмет еткен еди. 
MAT.27.56	Олардың арасында магдалалы Мәриям, Яқып пенен Юсуптың анасы Мәриям ҳәм Зебедейдиң улларының анасы да бар еди.
MAT.27.57	Кеш болғанда, Ариматиядан Юсуп атлы бир бай адам келди. Ол да Ийсаның шәкирти еди. 
MAT.27.58	Ол Пилатқа барып, Ийсаның денесин сорады. Пилат оған бериўди буйырды. 
MAT.27.59	Юсуп денени алып, оны таза кепинликке орады да, 
