GEN.1.1	Yakapde hikngä Anätutä kepkät yekäpkät yawän yiwikin. 
GEN.15.11	Pewän dayike, käpämdä epu naninnge epä, Abramdä yäwambän datäkukin.
GEN.15.12	Tiwänä gusitdä pukuxawän, Yawetä natäpän, däpmunä kupsä hikngä pekut. Pexawän, kupilä täkngaxät naxälä täkngaxät apän naxälakut.
GEN.15.13	Tiwän Yawetä inikut. “Wamu ganiwa, hiyäkängän natäpso. Bapuka kewu womdune päku, apuyiwit däkngake, uwomune nanäle kematde yiwitning. Tiwän puyä kitokngä yämä pahaxawä, äminu sipmäxäwik pahawä malixawä, 400 krismas apuxuning. 
GEN.15.14	Tiwän äminu gin pahawä maliningu, nätä tokngä däkä äpme yämit. Tiwän bapuka hängä täpänä naxälä päke, yolu uwomu teke kuning. 
GEN.15.15	Tiwänä gän, yiwitäke kuhika, äminälake hikngä damänsim tike, bänip kwikwik täkngane kupi kwayining. 
GEN.15.16	Bapuka gwenu gwenaläxät gwenaläxät sakngäläxawänä, ane apning. Amor nanäle wäyinä inulung hikngä tiwän kakengä, anetä yäwämba epuxuning,” yang inikut.
GEN.15.17	Gusitdä pukuwän kupilä tiwänu, gäpma kupänä käyä gwenkät, aläkätäwu däkinä käyä täpäxätdä tingalake, kälawu wehike pekulune bänäkändekän apuxukumäläk. 
GEN.15.18	Täpduxu unggwenune Yawetä Abramu hiyäkän wam täknga using inikut. “Bapukale kewu awomunin yämit, Isipde yanggä dupinetä apuxu yanggä inulungu Yufrites dupine. 
GEN.15.19	Ken, Kenis, Kadmon, 
GEN.15.20	Hit, Peres, Repa, 
GEN.15.21	Amor, Kenan, Girgas, äwä Jebus yangge sakngayile kewu undä bapukale yämit,” yang inikut.
GEN.16.1	Sarai, Abramde mängälu, engangu dondukngikut. Tiwändeyä mängälä täpätu Isip nanä puyä äminäle yiwikulu umanä Hagar. 
GEN.16.2	Ge Saraitä Abram inikut. “Yawetä bänipna umumbän, engangu dondukngit. Ge kuyo. Tiwän puyä äminaxät däpmunu pesimäläk. Dasingga? Itä enganga äpmembä betangamik?” yang inikut.
GEN.16.2	Iniwän Abramu täke natäpgut, Saraitä yawänun. 
GEN.16.3	Abramu Kenan täku krismasu 10 yiwikut. Tiwänä, Saraitä puyä äminä Hagaru Abramde imikut.
GEN.16.4	Tiwän Hagarxät yiwät, tängene käyä tikut. Tiwän kake, Hagaru inäle natäpänu axopgut. Tiwän towikngä
GEN.16.5	Tiwänä Saraitä Abramu using inikut. “Gätä tahawi, nä meyä pänggat. Puyä ämina uläpä nina gäle kätaxune tekum. Tiwändeyä Hagaru tängene käyä tiwän kake, itä nandupänu, kwakwakngä tinggak. Ge Yawetä gäxät näxälu äpme uhinggiwik,” yang inikut, Saraitä Abramun.
GEN.16.6	Yawän yäkwäle Abramdä using inikut. “Täke. Gika puyä ämin. Gika dasingga tahawiläkge natäläxu, gika tängäne yiwixak,” yang inikut. Yawänä Saraitä mähemähe kaxäwik tahanggawän, Hagaru datäkukut.
GEN.16.7	Yawele angelätä kepgän gomune, Hagaru yanggä akondokayingune kakut. Yanggä akondokayingu unggwäxu Surde kähit kwayimune yiwixak. 
GEN.16.8	Tiwän ängelatä using inikut. “Hagar, Saraile puyä ämin, sänetä apuläkngä, säne kunggaläk?” yang inikut.
GEN.16.8	Iniwän “Nä towiknga Saraile naxälake datängapunggat,” yang inikut.
GEN.16.9	Iniwän Yawele ängelatä inikut. “Hipdu päku towikga Saraile gepbine yiwiyo,” yang inikengä, 
GEN.16.10	unetäkänu using inikut. “Nätä tahawa, ayika sakngälawä meyä tiwän, kendetnangäsä doliwik. 
GEN.16.11	Gä äpmanu tängakane käyä. Ge engangu wäwi täpä dukngiwiläk. Tikengä umanä Ismael
GEN.16.12	Wawakga uläpä donggi tuk bimä däkngake, äminbamde iwalnä däkngawik. Däkngawän yäkwäle iwalnä däkngawä, tahake yiwitning. Tikengä notnämbamkälu gupsängu doyiwitning,” yang inikut.
GEN.16.13	Yawetä Hagaru wam inikutde, “Ananduxak Täpä axat,” yake, umanä täkngatu using inikut. “Anätu Ananduxaläk Täpänin” yang inikut. 
GEN.16.14	Ile tiwän yanggä akondokayingu unggwäxu umanä “Käluk Yiwäxäwik Nanduxak Täpäle Yanggä” yang inikin. Yanggä akondokayingu unggwäxu Kadeskät Beretkätde bänäkängän yiwäxak.
GEN.16.15	Tiwänä Hagardä Abramde wawak dukngiwän, Abramdä umanä Ismael yang inikut. 
GEN.16.16	Abramu krismasnä 86 yiwixawän, Hagardä Ismaelu une dukngikut.
GEN.17.1	Abramu krismasnä 99 yiwixawän, Yawetä apu inikut. “Nä Anätu Kitokngäna Käyä Täpä. Näxät gatäke yiwixäwik, nomängän pahayo. 
GEN.17.2	Kontraknga gäxät tahakumäxu aläpa kitokawän, tahawa bapuka meyä hikngä tiwik,” yang iniwän, 
GEN.17.3	Abramdä sopäsopä puke, kuhilä kewune täpu temgut.
GEN.17.3	Tiwän Anätutä using inikut. 
GEN.17.4	“Näle kontraxu using. Mahande kantri yiwitäke kuninggäne bapunä däkngawiläk. 
GEN.17.5	Ile tiwän umanda Abram
GEN.17.6	Nätä tahawa, bapuka meyä dukngixäwik, kantri däkngake yiwitäke kuning. Tiwän bapuka täpätuyi kingge yiwitning. 
GEN.17.7	Kontraknga hipdu täpa kitokawän, iwikge using yiwik, bapuka mahande alätninggexät. Nä gäle Anätuka, tiwän bapuka mahande alätningge Anätunä. 
GEN.17.8	Gä Kenande kewune apuyiwitde päkapu yiwixaläk. Tiwändeyä kewu Kenandäne awomu undä gäxät bapuka mahande alätningkätde gihäle tupäkände damike, Anätunäle yiwit,” yang yakut.
GEN.17.9	Tikengä unetäkänu using inikut. “Gäxät bapuka mahande alätningkälu näle kontrak tawake yiwitnong. 
GEN.17.10	Kontraknga uläknga using. Wäwi undä gität yiwixayingu, yämunäle gup matänong. 
GEN.17.11	Kontrakngitde tuwängge gupnä matäkaningu uläkngatä yiwik. 
GEN.17.12	Wäwi gität yiwitning, engangu wäwi alake täpduxu 8 yiwitning, äwä malä nanä puyä äminsäle moninggä uhining yangu, undä gupnä matänong. Usäkän bapuka mahande alätningkäyä usinggän tahanong. 
GEN.17.13	Yotsäne alätning bä moninggä uhining yangu undä gupnä amatänong. Uläkngatä tuwängge yiwän, kontraknga iwikge yiwixäwik. 
GEN.17.14	Tike wäwi täpätu iminda gupnä domatäwixu, näle kontraxu doläwämbik. Ge aläwämbä epuxuyok,” yang inikut.
GEN.17.15	Täkngatu using inikut. “Mängätda Sarai yang inikakinu aleke, Sara yang ininong. 
GEN.17.16	Nätä bänip kwikwik ima, wawakga dukngiwik. Unetäkänu nätä bänip kwikwik ima, yotyotde hawanä däkngawik. Tiwän ayinä täpätuyi kingge yiwitning,” yang inikut.
GEN.17.17	Iniwän Abrahamdä sopäsopä puke, kuhilä kewune täpu temäke, using natäpgut. “Wäwi krismasnä 100 tiwänu, engangu äpme towimbik? Saraxäyä krismasnä 90. Ge engangu äpme dukngiwik?” yang natäpän, kwakwakngä tiwän mikut. 
GEN.17.18	Tikengä Anätu using inikut. “Wamu yaläxu, Ismaelde täkembä imiläk?” yang inikut.
GEN.17.19	Tiwänä Anätutä inikut. “Ile donatäke yat. Tike mängätda hikngä, Saratä wäwi täpätu äpme dukngiwik. Tiwän umanä Aisak yang iniyo. Tiwänä kontraknga ixät tahake, täpa kitokawän, iwikge using yiwik, bapunä mahande alätninggexät. 
GEN.17.20	Ismaelde yaläxu anatät. Ge ixäyä bänip kwikwixu äpme ima, engangu meyä towimbik. Wawakngä 12 towimbän, uläkwäxu kuhiläle yiwike, kantrinä täke yiwitning. 
GEN.17.21	Tiwändeyä kontraknga uläknga Aisakät tahahim. Äminu uläpä krismasu ende gwenuneyä Saratä kake täpik, täpduxu asawomune,” yang inikut. 
GEN.17.22	Wamu Abraham iniwän puluwänu, Anätu axukut.
GEN.17.23	Täpduxu inä unggwenunekän Abrahamdä Ismael, wäwi inäxät yiwixakin, moninggä uhikut yangu wäwi undä gupnä Anätutä inikut using matäkut. 
GEN.17.24	Abrahamu krismasnä 99 tixawän, gupnä matäkin. 
GEN.17.25	Tike wawakngä Ismaelu krismasnä 13. 
GEN.17.26	Täpduxu inä unggwenunekän Abrahamkät Ismaelkätde guwu matäkin. 
GEN.17.27	Abraham, wäwi inäxät yiwixakin, moninggä malä nanä uhikut yangu wäwi undä gupnä matäkin.
GEN.18.1	Abrahamu selyotnä Mamrele pa takwän däkändäkäle kwayimune täku tapikut. Ngä täpduxu gwendune gusilu tokngä tiwän, selyotnäle yämäne yiwixawän, Yawe apgut. 
GEN.18.2	Abrahamu kuhilä kwayiwän enawän, äminu täpäyalä täpätu päkapu yiwikinä dayipgut. Unin dayikengu, selyotnä yämä däkänetä ihapmäke kuke, sopäsopä puke, kuhilä kep däkäne temgut.
GEN.18.3	Temäke using yakut. “Bulämbam täpä, nä ilakngä nandukengu, puyä äminda manapmake kuyo. 
GEN.18.4	Puyä ämina iniwa, yanggä täkapu damän, bälängsä häluke, pa andäkale gepmäne yiwä täkanong. 
GEN.18.5	Näle apuyingge, naxu mätekngä hangdama, nakitokakengä, axunangge natäyingune kunong,” yawän, “Täke. Usingu täke tahawiläk,” yang yakin.
GEN.18.6	Tiwän Abrahamu yupsäng ihapmäke, selyotkätan kopgut, Sarale. Ko Sara using inikut. “Flawa gwälamu bulämbamu tupäyalä päke, bret hayo,” yang inikut.
GEN.18.7	Tikengä ihapmäke, towiyä gämände kukut. Ku towiyä gämän mätexu tänge ilakngäkänu gwendu täkapu, puyä äminä täpätule imän, itä yupsäng matäke hakut.
GEN.18.8	Tiwänä towiyä gämändäne mäm yanggä kälukät, äwä mäm yanggä awäke pewä kitokakinkät, towiyä gämän mätexu u hakinkät päkapu yämikut. Yämike, pa gepmä yiwike, daying yiwixawän, nakin.
GEN.18.9	Tikengä using inikin. “Mängätda Sara sandan?” yang yawä “Endesing. Selyotkätan,” yang yänikut.
GEN.18.10	Tiwänä u yiwikinu täpätutä using yakut. “Täpduxu asämbimä gwenu krismasu endenggwenune apa, mängätda Sara engangu wäwi täpä kake täpik,” yang inikut.
GEN.18.10	Wamu u yakinu, Sara selyolune yiwixäwik natäpgut. 
GEN.18.11	Abrahamkät Saraxälu äminäläke hikngä tiwät, engangä dukngitnangäsä täpduxu ayapmikut. 
GEN.18.12	Ge Sara using natäpgut. “Apnaxät nilu äminäläke alimäk. Engang äpme dukngiwik yake yänggak?” yang natäke, mipäkohopikut.
GEN.18.13	Tiwän Yawetä Abrahamu using inikut. “Sara inale mikgak? ‘Engangu kake tänangäsändo. Äminäläke alit,’ yangu inale yänggak? 
GEN.18.14	Hängä täkngatu Yawetä using tiwik yang natäpänu, doaläwik? Tiwän täpduxu angganit gwenune hiyäkände äpme apit. Tiwän engangu wäwi täpä kake täpik,” yawän, 
GEN.18.15	Sara anaxälake “Domit,” yawän, Yawetä “Hiyäkände. Amiläk,” yang inikut.
GEN.18.16	Äminu uläkwäxu Sodomde kuningge enawä, Abrahamkät kukin. Kuke päku kahitbänä yiwike, yot gäpangkätan kakin. 
GEN.18.17	Yawetä using natäpgut. “Hängä tahawitde natälu, Abrahamu doxanghopike tahawit, 
GEN.18.18	inale Abrahamu bapunä sakngälake, kantri inätä täke yiwä, kitokngänä käyä tiwik. Tiwän Abrahamde tiwän, kantri kewune nanä undä bänip kwikwik päning. 
GEN.18.19	Abrahamu, engangä, bapunä yang yänindämumbän, nomängän tahaxäwik, Yawele kahit täwaningge tuwängukum. Ge hiyäkän wamu Abraham inikumu, inä using pahawit,” yang natäpgut.
GEN.18.20	Tikengä Yawetä using inikut. “Sodom nanäxät Gomora nanäxät gutongä hikngä pahaxawä, kwänäm tixäwik, näle yayingu meyä hikngä. 
GEN.18.21	Ge nina pukuke dayikengä, hängä wäyi pahawä wamu natäpgumu hiyäkän bä kem yangu natäpit,” yang inikut.
GEN.18.22	Tiwänä äminu Yawexät kukin täpäyalu Sodomde kuxawät, Yawexät Abrahamkälu ayiwikumäläk. 
GEN.18.23	Yawetä yiwikulune inälängän ku, Abrahamdä using inikut. “Ngä dasing? Äminomänkät gutongä äminkät undä sipnangge tinggaläk? 
GEN.18.24	Ngä äminomänu 50 tiwänu, ile butayä donatäxäwik, yolu undä gäpangu pahawi malining? 
GEN.18.25	Gätä gutongä ämin sipmäkengu, äminomänu dosipnangäsä, inale undä sipmäkengu, meyä usakän yämiläxunin. Kewu undä womde meyä uhinggikgaläxunin. Kekem usingu dolahanangäsä,” yang inikut.
GEN.18.26	Tiwänu Yawetä using inikut. “Sodomkätanu äminomänu 50 dayikengu, butayä ile natäke, yolu undä gäpang tewa yiwik,” yang inikut.
GEN.18.27	Tiwänä Abrahamdä hipdu using inikut. “Nä kep ämingän. Wamu yänangäsändo. Tiwändeyä hipdu yäwit. 
GEN.18.28	Äminomänu 5-u wenä tiwän, 45-kän tiwänu, dasing? Yolu undä gäpangu asipiläk?” yang iniwän, “45 dayikengu, dosipit,” yang inikut, Yawetän.
GEN.18.29	Tiwänä hipdu using inikut. “Ngä 40-kän tiwänu, dasing?” yawän, “Äminu 40 uläkwäkge tiwänu, dosipit,” yang inikut.
GEN.18.30	Iniwän hipdu “Täkeläpä, tokngä manandupso. Hipdu yänanggenggat. Ngä 30-kän tiwänu, dasingga?” yawän, “Dowahawit, 30-kän tiwikäyän,” yang inikut.
GEN.18.31	Iniwän hipdu inikut. “O, Täkeläpä, wamu hipdu angganinggat. Ayäwa kakengu, mähe manatängamiyo. Ngä undanu 20-kän tiwänu, dasing?” yawän, “20-kän dayikexäyä, dosipit,” yang inikut.
GEN.18.32	Iniwänä “O Täkeläpä, wamu wäsekngä hikngä ganiwit. Dasing? Äwä undanu 10-gän dayikengun?” yawän “10-gän dayikexäyä, dosipit,” yang inikut.
GEN.18.33	Tiwänu wamu yakumäläxu, une using ku yiwikut. Tiwän Yawe teke kuxawän, Abrahamu yotnäle hipdu kukut.
GEN.19.1	Lolu taunu Sodomde yämä däkäne, wamu inulung wopwom yiwik yakakin womune puku yiwike yiwixawän, ängela uläpäyalu kupilä täkngaläknga kundopgumäläk. Kundopät dayikengu enake, ku sopäsopä uläpäyatde puke, kuhilä kep däkäne temgut. 
GEN.19.2	“Bulämbam täpä, nä puyä äminsä. Ge yotnane apät kuna. Päku bälängsä häluwät, une petnim. Ge enakengä, gihä natämäläxune kuhol,” yang yänikut.
GEN.19.2	Yäniwän yäkwäle using yakumäläk. “Ane, kekewune pesim,” yang inikumäläk.
GEN.19.3	Tiwän Lotdä kitokawän, ile yolune kukin. Flawa yisnä wenä hangyämike, nakäyä meyä hake, yämän nakin. 
GEN.19.4	Yämän nake, awetningge däpi tixawän, wäwi Sodom nanä undä, wawakdäkä, äminäläke yang Lotde yolu yiwit täpän gwähawän, 
GEN.19.5	Lotde yangoke yakin. “Äminu gäle apumäläxu, yawi epuxuwät tahakana,” yang yakin.
GEN.19.6	Tiwän Lotdä epuxuke, yämä mehene gupsäng tahake, yänikut. 
GEN.19.7	“O mäte notna. Wäyi täknga usingu malahanong. 
GEN.19.8	Tike yäpana täpäyalä wäwixälu doyiwixayingu undan. Ge unin päkepu dama, gihä natäying täknga unuxät yiwitnong. Tike äminu aläpäyalu mawahawä malinong, inale näle yolunekän apumäläk,” yang yänikut.
GEN.19.9	Yäniwän, “Kuke nipmit,” yang inikin. Inikengä yakin. “Lolu womdune nanä täpätä päkapu yiwike, ninu gutongä äminde nininggak,” yang yakin. Tikengä using inikin. “Meyä uläpäyatde natämäng täknga gäle tahana, meyämbamu gätä päpiläk,” yang yake, Lolu tekwätämapä kuxawän, yämä uputningge tahakin.
GEN.19.10	Tiwändeyä okupi yiwikumäläxu uläpäyatdä Lolu tulitämapät kopän, yämä gupsäng tahakuhikumäläk. 
GEN.19.11	Tikengä kepmän yiwikinu uläkwäxu undä pahawät, kayi kupilawä, yämä däkä kanangäsä dolikut.
GEN.19.12	Tiwänä uläpäyatdä Lolu using inikumäläk. “Yepmäka, wawakga, yäpaka, bä gikaxät nanä täpätuyi andanu käyä kakengu, päpi awomu teke kukanong, 
GEN.19.13	inale yolu anggapangu awahata malining. Äminu ane nanätä gutongä pahaxawä, Yawele kwänäm tixäwik yayingu meyä hikngä tiwän, Yawetä niningyäpiwän, nitdä pahata maliningge apumäk. Ge notda päpi, yolu awomu teke kukanong,” yang inikumäläk.
GEN.19.14	Iniwät Lolu enake epuxuke, yepme yäpanä uläpäyat pähimäläkge tuwungukin täpäyatde kuke yänikut. “Yupsäng enake, yolu anggäpangu teke kukahol, inale Yawetä pahawän malinangge tinggak,” yang yäniwän, “Yamändetbä nininggak?” yang natäpgumuläk.
GEN.19.15	Gusilu moyokän akondoxawän, ängelatä Lolu iningyäpikumäläk. “Mängätda yäpaka yang päke epuxunggayo. Tike yolu anggäpangkät pahata malinäng,” yang inikumäläk.
GEN.19.16	Tiwändeyä Lolu hipnalä tahangyiwikut. Tinggawän ängelatä Lot mängätnä yäpanä yang kätakngäne päke, epu päke kukumäläk, inale Yawetä Lotde butayä natäpgut. 
GEN.19.17	Epu päke kuke, ängela täpätutä using yänikut. “Tupäkände datäkukanong. Päkungu kupi gwenune mayiwä täkanong. Tiwän maläpä täkwämbän kanong. Tupäkändekän täwalune datäkukanong. Tike dahipän kumnäng,” yang yänikut.
GEN.19.18	Tiwändeyä Lotdä using yakut. “O, Bulämbam täpä, usingu mayawi tahanom. 
GEN.19.19	Nä axumnangäsä tiwändeyä, gätä puyä äminda ilakngä nanduke, nandung yiwixawi, käluk yiwixat. Tiwän täwalu malä hikngä. Ge unele datäkuxätna, meyä uläkngatä apungu, anihipän kumnimunin. 
GEN.19.20	Tike yolu atunggäpangsimu wäkngäsim. Tiwän mätekngä hikngä. Ge une täkembä datäkuke doxupit?” yang inikut.
GEN.19.21	Iniwän ängelatä inikut. “Täke. Wamu u yänggaläxu using tahawit. Yolu unggäpangsimu dowahawa malining. 
GEN.19.22	Tiwän yupsäng ihapmäke, datäkunggayo, inale yolu gäpangsimune doxuxawi, näta hängä täkngatu pahanangäsändo.” (Yolu unggäpangsimu Lotdä mätekngä yang inikutde, umanä Soar yang inikakin.
GEN.19.23	Gusilu moyokän ako apuxawän, Lolu Soar kundopgut. 
GEN.19.24	Kundopän kakengä, Yawetä huwu tokngä yähakaying gwengwenu,
GEN.19.25	Tiwän Yawetä pahawän, ämin, yot, hängäläpä yangu kupi unggwenune yiwixayingu undä yähakukin. 
GEN.19.26	Unin ihiwän natäke, Lotde mängälu täpän täkwämbän kake, hup bimä
GEN.19.27	Yolu yähakuxawä, gwäsi hikngä Abrahamu Yawexät yakap yiwikumäläk womune täku yiwike, hapäpu, 
GEN.19.28	Sodom, Gomora, kupi unggwen yang kaxawän, gwäha bulämbam hikngä kewu uwomkätandä mingändäkä bimä gwendä kopän kakut. 
GEN.19.29	Anätutä yot kupi unggwen yang pahawän malikin täpduxu, Abrahamde natäke, Lolu iniwän, andatäkuke meyä uläknga yapmikut.
GEN.19.30	Lolu Soar yiwitnanggengu anaxälake, yäpanä täpäyalu päpän, päko täwal däkäne hupgänangkätan yiwikin. 
GEN.19.31	Täpduxu gwendune päyenätä ulapnä inikut. “Nanilu äminäläke hikngä alinggak. Tiwän kewu anggomune mängälä ayä käyäkän. Tike kewu awomkätanu nit päke yiwitnangäsä wäwi wenä. 
GEN.19.32	Ge nanilu wain imita, tängoke andatdawuwänä, unuxät petnim. Unetäyä engangu käyä tiwik,” yang inikut.
GEN.19.33	Ge kupilä unggwenune nanä wain imät tängopgut. Tangopänä yäpanä yakap täpätä kuwän pekumäläk. Tiwändeyä nanä donatäpgut.
GEN.19.34	Kwepdätä päyenätä ulapnä inikut. “Kupilä anggwenune nankälu axuwa pemäk. Ge hipdu imita tängoke datdawuwik. Tiwänä kuwi pesimäläk,” yang inikut. 
GEN.19.35	Ge kupilä unggwenune wainu hipdu tängoke datdawuxawänä, yäpanä mahan täpätä kuwän pekumäläk. Tiwändeyä nanä donatäpgut.
GEN.19.36	Unin tahakengä nanätä yäpanäle engangmuhiwu pängyämikut. 
GEN.19.37	Tiwänä yäpanä yakäp täpä engangu wäwi täpa dukngike, umanä Moap
GEN.19.38	Inä usinggän yäpanä mahan täpäxäyän wawakngä dukngike, umanä Ben-Ammi
GEN.20.1	Abrahamu Mamrele pa gänang teke, Negep päku, Kadeskät Surxätde bänäkan yiwikut. Päku Geraru mätekngä wesim yiwixäwikngä, 
GEN.20.2	mängätnäle “Hamina” yang yakut. Tiwänä Gerarle kingu Abimelekgä puyä äminä yäningyäpiwän, ku Sara täkapu imä, yotnäne tekut.
GEN.20.3	Tiwän kupilä gwendune Anätutä dambu tängäne apuke, Abimelexu inikut. “Gä axumnangge tinggaläk, inale gä mängälä uläpä täkuläxu ayä käyä,” yang inikut.
GEN.20.4	Tiwändeyä Abimelexu Saraxät däpmunu dowekumäläk. Ge Abimelekgä using inikut. “Täkeläpä, äminu gutongänä wenä asipiläk? 
GEN.20.5	Abrahamdä Sarale ‘Hamina,’ yawän, Saratäxayä ‘Hamina,’ yakut. ‘Ayä wenämbä,’ yake yäwa ku täkapgin. Tiwändeyä nätä gutongä täkngatu ile dolahakum. Ge undanu gutongä wenä,” yang inikut.
GEN.20.6	Iniwän Anätutä dambu tängäne inikut. “Hiyäkände. Gä donatäxäwik tahakuläk yangu anatät. Ile tiwän, nätä natäpa, mängälä uläpä doläke, wäyi täknga dolahakuläk, nälen. 
GEN.20.7	Ge mängälä uläpä hipdu ayäle imiyo. Äminu uläpä profet. Ge aimi, itä gäle tumuk wam yawänu, gä doxupiläk. Tike doimiläxu, yäko! Gä äwä gikaxät nanä yangu undä axumning,” yang inikut.
GEN.20.8	Kwepdätä gwäsi hikngä, Abimelekgä puyä äminä undä yangyäwämbän apä, meyä apgutdäne yäniwän, anaxälakin. 
GEN.20.9	Tiwänä Abraham yatäwämbän apän, inikut. “Gä ninde dasing tahanggaläk? Nätä gäle meyä täkngatu dolahakum. Tiwändeyä gä kem yake, meyä täknga ninde täkapunggaläk. Äminbamdä dowahakaying täknga, gätä ninde tahanggaläk. 
GEN.20.10	Yäpuli inale hikngä tahakuläk?” yang inikut.
GEN.20.11	Tiwänä Abrahamdä inikut. “‘Ane nanä Anätule donaxäläke, nuke mängätna tänäng,’ yang natäpgum. 
GEN.20.12	Tike ‘Hamina’ yangu hiyäkände yakum. Nanilu uläpäninggän. Tike mingilu inäinä. Tiwändeyä mängätnale täkum. 
GEN.20.13	Tiwänä Anätutä natäpän, yotna teke, kewu womduwomdu tihikuxäwik, mängätna using inikum. ‘Gätä näle nomän tahaxawi, yotyotbä säneka kuhimu, näle gätä “Hamina” yang yäniyo,’ yang inikum,” yang yakut, Abrahamdän.
GEN.20.14	Tiwänä Abimelekgä Sara Abrahamde hipdu imikut. Imike towiyä gämän, sipsip, puyä ämin yang imikut. 
GEN.20.15	Imikengä Abrahamu using inikut. “Awomu näle kepgän. Gika sawomuneka yiwitnangge natäkengu, une yiwiyo,” yang inikut.
GEN.20.16	Inikengä Sara using inikut. “Nätä hamindale moningu silwa meyänä 1000 sekel
GEN.20.17+GEN.20.18	Tiwänä Abrahamdä Anätule tumuk wam yakut. Tupä Abimelekgä Abrahamde mängät täpän, Yawetä mängälä undä Abimelekät nanä engang dayike pänangäsä bäniyä umukut. Tiwäna Abrahamdä ile tumuk wam yawän, Anätutä Abimelek, mängätnä, mängälä puyä äminä yang gatängyämän, hipdu engang dayike pänangäsä täke tikin.
GEN.21.1	Yawetä Sarale natäke apuke, yakäp wamu hiyäkän täknga yakulu tahawän bulä tikut. 
GEN.21.2	Abrahamu äminäläke aliwänä, Sara tängene käyä tiwän, täpduxu Anätutä yakut gwenune, engangu wäwi täpä kake täkut. 
GEN.21.3	Täpänä Abrahamdä umanä Aisak
GEN.21.4	Tixawän täpduxu 8 gwendä apän, Abrahamdä engangäle gup matäkut, tupä mämä wam täknga Anätutä yakut using. 
GEN.21.5	Abrahamu krismasnä 100 yiwixawän, Aisaxu alakut.
GEN.21.6	Saratä using yakut. “Anätutä bänip gwaläng täknga namän, axuläkake mikgat. Ge äminbamdä ile natäkengu, näxät axuläkake mitnim,” yang yakengä, 
GEN.21.7	unetäkän yakut. “Tupä äminbamu ‘Abrahamde mängälu Sara engangä dombä kake täpik?’ yang natäpgin. Tiwändeyä Abrahamu äminäläke aliwänä, engangä kake tänggat,” yang yakut.
GEN.21.8	Aisaxu bulämbam tike, mämu tewän kakengä, Abrahamdä naxu bulämbam gwen hawän nakin. 
GEN.21.9	Tiwänä Saratä kaxawänu, wawakngä Aisaxu Abrahamdä Isip nanä mängälä Hagar uläpä täkutde wawakgä wäyi täkngaläknga inixäwik inimikut. 
GEN.21.10	Kakengä Abrahamu inikut. “Mängälä puyä äminda uläpäxät wawakngäxälu yangyäwämbi kukakun. Axungwäxawi, puyä äminda uläpäle wawakgä hängä täpäka dowäpik. Tike näle wawaxu Aisakgäkän päpik,” yang inikut.
GEN.21.11	Ismaelu Abrahamdä inä wawak. Ge ayangyäwämbikge yawänu, meyä päkut. 
GEN.21.12	Tiwän Anätutä Abrahamu using inikut. “Wawakga Ismael äwä puyä äminda Hagar yangyäwämbiläkge, meyä mawäyo. Saratä dasingga yak using tahayo, inale ‘Bapukambamu meyä hikngä tiwik,’ yangu hiyäkän wam täknga ganikumu, wawakga Aisakge tiwän yakum. 
GEN.21.13	Tike puyä ämindale wawakäyä tahawa, meyä sakngälake kantrinä inätä täke yiwitning, inale ixäyä wawakga,” yang inikut.
GEN.21.14	Kwepdätä gwäsi hikngä, Abrahamdä nak, yanggä kälap guwune uhike pekinunin yang päkapu, Hagarde gwälamune pekut, wawakngäxät. Pewän päke, Berseba kepgän womune päke tihikukut. 
GEN.21.15	Yanggä kälap guwune päkulu alängopät puluwän, wawakngä pa mätekngä kwämbätsimde gepmä tekut. 
GEN.21.16	Teke “Wawaknga kayitä hikngä doxaxawa kupik,” yake, inäkän päku malähimsim yiwixäwik, kwänämnä tikut.
GEN.21.17	Engängä kwänäm tiwän, Anätutä natäpgut. Tiwän Anätule ängelatä Hagaru yekäwunetä using inikut. “Hagar, inale tikgaläk? Engang täpä awexäwik tixu, Anätutä anatäk. Ge manaxälayo. 
GEN.21.18	Ku kätakngäne täke täpi enawän, inale nätä tahawa ile engangu meyä sakngälake, kantrinä inätä täke yiwitning,” yang inikut.
GEN.21.19	Tiwänä Anätutä tahawän, kayi kakalä tiwän, gäpma yanggäle kwayikinu däkätu kake, täku kälap guwu une tewän pukuwän dopän, täkapu wawakngä imän tängopgut.
GEN.21.20	Wäwi mätexu uläpä aläkaxawän, Anätu ixät yiwikumäläk. Paran kepgän womune yiwixäwik, kwalemu mutnatäpgut. 
GEN.21.21	Tixawän mingätä mängätnä Isip nanä täkapu imikut.
GEN.21.22	Täpduxu gwendune Abimelekät Fikol amäk äminäle kuhiläle yiwixakut uläpäxät ku, Abrahamu using inikumäläk. 
GEN.21.23	“Inaka pahaläxu, Anätutä gatänggaminggak. Ge Anätule umande wamu kitokngä hikngä naniyo. ‘Gä, wawakga, bapuka yangu kemu dondaniwit,’ yang niniyo. Nätä gäle nomän tahakum usinggän, gätäxäyä nä äwä kantri anggäpang apuyiwitde päkapu yiwixaläk yangge usinggän tahayo,” yang inikut.
GEN.21.24	Iniwän Abrahamdä “Anätule umande kitokngä hikngä yänggat. U yänggaläk usingu äpme tahawit,” yang inikut.
GEN.21.25	Tikengä using inikut. “Yanggä gäpma däkätu kwayikumu, puyä ämindatä kukäle inale täke towikngä däkngaying?” yang inikut.
GEN.21.26	Tiwändeyä Abimelekgä “Ngä, itä täkin yangu donatät. Moyokän tahawä donanikuläk. Ngä äpmangän yawi natäxat,” yang inikut.
