GEN.1.1	Худа һәммидин бурун пүтүн аләмни яратти. 
GEN.24.6	Ибраһим мундақ җавап бәрди: 
GEN.24.6	— Оғлумни һәргиз у йәргә апарма! 
GEN.24.7	Пәрвәрдигар, йәни асмандики Худа мени жут вә уруқ-җамаитимдин айрип, бу зиминни әвлат­лиримға тәғдим қилишқа қәсәм қилип вәдә бәргән. Шуңа У Өз периш­тә­сини сениң алдиңға әвәтип, оғлумға у йәрдин бир қиз тепишиңға ярдәм қилиду. 
GEN.24.8	Мабада у қиз сән билән келишкә унимиса, бу қәсәмдин хали болисән, лекин оғлумни һәргиз у йәргә апармиғин! 
GEN.24.9	Буниң билән һелиқи чакар қолини ғоҗайини Ибраһимниң икки йотисиниң астиға қоюп туруп, Ибраһимниң тапшуруғини бәҗа кәлтүрүшкә қәсәм бәрди. 
GEN.24.10	Чакар ғоҗайининиң төгилиридин онни таллап, уларға һәр хил қиммәт баһалиқ соғиларни артип, йолға чиқти. Улар Аррам-Наһараим райониға берип, Наһор турған шәһәргә йетип кәлгәндин кейин, 
GEN.24.11	шәһәрниң сиртидики бир қудуқниң йенида төгиләрни чөктүрди. Бу күн петип қалған чағ болуп, қизлар қудуққа су алғили чиқидиған вақит еди. 
GEN.24.12	Чакар мундақ дәп дуа қилди: 
GEN.24.12	— Әй Пәрвәрдигар! Сән ғоҗайиним Ибраһим етиқат қилип кәлгән Худасән. Ғоҗайинимға меһир-шәпқәт көрситип, ишимни оң қилғайсән. 
GEN.24.13	Мән һазир қудуқ йенида туримән. Шәһәр қизлири бу йәргә суға келиду. 
GEN.24.14	Мән уларниң биригә: «Комзигиңиздики судин ичивалсам қандақ?» дәймән. Әгәр у: «Ичиң! Төгилириңизгиму су әкелип берәй» десә, шу қиз хизмәткариң Исһаққа таллап бәргиниң болсун. Буниңдин Сениң ғоҗайинимға меһриванлиқ қилған­ли­ғиңни биләләймән. 
GEN.24.15	Униң дуаси аяқлашмайла, Рибәқа комзигини мүрисидә көтирип, қудуқниң йениға кәлди. У Бетуелниң қизи еди. Бетуел болса, Ибраһимниң иниси Наһор билән униң аяли Милканиң оғлидур. 
GEN.24.16	Рибәқа техи үзи ечилмиған, интайин чирайлиқ, пак қиз еди. У қудуқниң йениға берип, комзигигә су тартип чиқти. 
GEN.24.17	Ибраһимниң чакири қизниң алдиға жүгрәп берип, униңдин: 
GEN.24.17	— Маңа сүйиңиздин азирақ бәрсиңизчу? — дәп сориди. 
GEN.24.18	Қиз униңға: 
GEN.24.18	— Мана ичиң, — дәпла, дәрһал мүрисидики комзәкни қолиға елип, һелиқи чакарға бәрди. 
GEN.24.19	Чакар суни ичип болушиға, Рибәқа униңға: 
GEN.24.19	— Төгилириңизгиму су әкелип берәй, уларму ичип қансун, —деди. 
GEN.24.20	Рибәқа дәрһал комзәктики суни оқурға қуйғандин кейин, жүгрәп берип қудуқтин су тартип келип, һәммә төгиләрни қанғидәк суғирип бәрди. 
GEN.24.21	Чакар Пәрвәрдигар йолини очуқ қилған яки қилмиғанлиғини билиш үчүн, җим-җит күзитип турди. 
GEN.24.22	Төгиләр суни ичип болған­дин кейин, у бәш йерим граммлиқ алтун һалқини қизниң бурниға вә жигирмә үч граммлиқ бир җүп алтун биләйүзүкни билигигә селип қойди. 
GEN.24.23	Андин: 
GEN.24.23	— Сиз кимниң қизи болисиз? Силәрниң өйүңларда биз қонғидәк йәр барму? — дәп сориди. 
GEN.24.24	Қиз униңға: 
GEN.24.24	— Наһор билән Милканиң оғли Бетуелниң қизи болимән. 
GEN.24.25	Бизниң өйдә силәр қонғидәк йәр бар һәм маллириңларға йәм-чөпму кәңри, — дәп җавап бәрди. 
GEN.24.26	Буниң билән һелиқи чакар сәҗдә қилип, Пәрвәрдигарға ибадәт қилип, 
GEN.24.27	мундақ деди: 
GEN.24.27	— Пәрвәрдигар, ғоҗайиним Ибраһим етиқат қилип кәлгән Худаға мәдһийиләр ейтилсун! У ғоҗайинимға меһриванлиқ көрситип вә қилған вәдисигә садиқ болуп, мени удул ғоҗайинимниң өз туққининиң йениға башлиди. 
GEN.24.28	Һелиқи қиз анисиниң йениға жүгрәп берип, йүз бәргән пүтүн ишни аилисидикиләргә сөзләп бәрди. 
GEN.24.29	Рибәқаниң Лабан исимлиқ бир акиси бар еди. У жүгрәп чиқип, қудуқниң йенидики Ибраһим­ниң чакириниң йениға барди. 
GEN.24.30	У сиңлисиниң һалқа вә биләйүзүк селивалғинини көргән вә сиңлисидин чакарниң дегән сөзлирини аңлиған еди. У қудуқниң түвидә төгиләрниң йенида турған Ибраһим­ниң чакириниң алдиға берип, 
GEN.24.31	униңға: 
GEN.24.31	— Пәрвәрдигар бәхитлик қилған адәм, немишкә ташқирида турисиз? Мән билән җүрүң, өйгә барайли! Мән силәргә өй тәйярлап қойдум, төгиләргиму җай тәйярлап қойдум, — деди. 
GEN.24.32	У өйгә кирди. Лабан болса, төгиләрдики малларни чүширип, уларға чөп салди. Андин Ибраһимниң бу чакири вә һәмралириға пут-қоллирини жуйғили су елип кәлди. 
GEN.24.33	Тамақлар кәлтүрүлгәндә, чакар: 
GEN.24.33	— Мән сизгә дәйдиғинимни дәп болмиғичә ғизаланмаймән, — деди. 
GEN.24.33	— Қени, гепиңизни ейтиң, — деди Лабан. 
GEN.24.34	У мундақ деди: 
GEN.24.34	— Мән Ибраһимниң чакири. 
GEN.24.35	Пәрвәрдигар ғоҗайинимға көптин көп бәрикәт ата қилип, уни интайин бай қилди. Пәрвәрдигар униңға қой-кала падилири, алтун-күмүч, әр-аял қуллар, төгә вә ешәкләрни бәрди. 
GEN.24.36	Ғоҗайинимниң аяли Сарә қериған вақтида униңға бир оғул туғуп бәргән еди. Ғоҗайиним пүтүн байлиғини шу оғлиға атиди. 
GEN.24.37	Ғоҗайиним өз тапшуруқлириға әмәл қилишим үчүн, мени қәсәм қилдурди. У: «Сән оғлумни бу йәрдики қананлиқ­лар арисидин өйләндүрмәй, 
GEN.24.38	мениң жутумға берип, уни өз туққан­лирим арисидин өйләп қой», дегән еди. 
GEN.24.39	Мән ғоҗайинимдин: «Әгәр қиз бу йәргә кәлгили унимиса, қандақ қилимән?» дәп сорисам, 
GEN.24.40	у: «Мән хизмитидә болуп кәлгән Пәрвәр­дигар периштәсини сениң алдиңға әвәтиду. У сениң ишиңни оң қилиду. Сән оғлумға өз жутумдики туққанлирим арисидин хотун елип бәр. 
GEN.24.41	Сән туққанлиримниң өйигә барсаңла, улар қизини бәрми­гән тәғдирдиму, қәсәмдин йәнила хали болған болисән», дегән еди. 
GEN.24.42	Бүгүн мән қудуқ йениға кәлгинимдә, Худаға дуа қилип: «Әй Пәрвәрдигар, ғоҗайиним Ибраһим етиқат қилип кәлгән Худа, ишимни оң қилғайсән. 
GEN.24.43	Мән һазир қудуқ йенида туримән. Бирәр қиз бу йәргә суға кәлсә, мән униңдин: «Комзигиңиздики судин азирақ ичивалсам боламду?» дәп сораймән. 
GEN.24.44	Әгәр у қиз қошулса вә төгилиримгиму су әкелип бәрсә, у Сән ғоҗайинимниң оғлиға таллап қойған қиз болсун», дедим. 
GEN.24.45	Дуайим аяқлашмайла, Рибәқа комзигини мүрисидә көтирип, қудуқниң йениға су алғили кәлди. Мән униңға: «Сүйиңиздин азирақ ичивалсам боламду?» дегән едим. 
GEN.24.46	У дәрһал мүрисидики комзәкни қолиға елип: «Мана ичиң! Төгилириңизгиму су әкелип берәй», деди. Суни ичтим, у төгиләргиму су әкелип бәрди. 
GEN.24.47	Андин мән униңдин: «Сиз кимниң қизи болисиз?» дәп сориведим, у: «Наһор билән Милканиң оғли Бетуелниң қизи болимән», деди. Шуңа мән униң бурниға һалқа, қоллириға биләйүзүк селип қойдум. 
GEN.24.48	Шу вақитта сәҗдә қилип, ғоҗайиним Ибраһим етиқат қилип кәлгән Худаға мәдһийә ейтип, ибадәт қилдим. Чүнки У мени удул ғоҗайинимниң өз туққининиң өйигә елип келип, униң қизини ғоҗайинимға келинликкә тепишимға имканийәт яритип бәргән еди. 
GEN.24.49	Әнди силәр өзәңларниң ғоҗайинимға садиқлиқ вә меһир-шәпқәт көрсәтмәкчи болғанлиғиңларни яки ундақ қилишни халимайдиған­лиғиң­ларни маңа ейтиңлар. Ундақ қилишни халимисаңларму ейтиңлар. Буниңдин мән қандақ қилишимни биләләймән. 
GEN.24.50	Лабан билән Бетуел чакарға: 
GEN.24.50	— Бу иш Пәрвәрдигарниң орунлаштуруши екән, биз немә дәләләймиз? 
GEN.24.51	Мана Рибәқа, уни елип кәтсиңиз болиду. У Пәрвәрдигар­ниң орунлаштурғинидәк, ғоҗайиниңизниң келини болсун, — дәп җавап бәрди. 
GEN.24.52	Ибраһимниң чакири бу сөзни аңлап, сәҗдә қилип, Пәрвәр­дигарға ибадәт қилди. 
GEN.24.53	Арқидин у кийим-кечәк, алтун вә күмүчтин ясалған зебу-зенәт буюмлирини чиқирип, Рибәқаға сунди. Униң акиси билән анисиғиму қиммәт баһалиқ соғиларни соға қилди. 
GEN.24.54	Шундақ қилип, Ибраһимниң чакири һәмралири билән биллә йәп-ичип, у йәрдә бир кечә қонди. Әтиси сәһәр туруп, Рибәқаниң өйидикилиригә: 
GEN.24.54	— Ғоҗайинимниң йениға қайтишимға рухсәт қилғайсиләр, — деди. 
GEN.24.55	Лекин Рибәқаниң акиси билән аниси униңға: 
GEN.24.55	— Рибәқа биз билән он күнчә туруп, андин кейин барсун, — деди. 
GEN.24.56	Лекин у: 
GEN.24.56	— Бизни кечиктүрмигәйсиләр. Пәрвәрдигар һәммә ишимизни оңушлуқ қилған екән, ғоҗайинимниң йениға қайтишимға рухсәт қилғайсиләр, — деди. 
GEN.24.57	— Биз қиздин сорап көрәйли, у немә дәйдикән, — дәп җавап беришти улар. 
GEN.24.58	Шуниң билән улар Рибәқани чақирип, униңдин: 
GEN.24.58	— Сән бу киши билән кетишни халамсән? — дәп сориди. 
GEN.24.58	— Халаймән, — дәп җавап бәрди у. 
GEN.24.59	Шуниң билән улар Рибәқани униң баққан аниси, Ибраһимниң чакири вә униң һәмралири билән қошуп йолға салди. 
GEN.24.60	Улар Рибәқаға бәхит тиләп, мундақ дуа қилди: 
GEN.24.60	«Әй сиңлимиз, миңлиған, он миңлиған инсанларниң аниси болғайсән! 
GEN.24.60	Әвлатлириң дүшмәнлириниң шәһәрлирини ишғал қиливалғай!» дейишти. 
GEN.24.61	Рибәқа вә униңға һәмра болидиған қиз хизмәткарлар сәпәргә тәйярлинип, төгиләргә минди. Ибраһимниң чакири Рибәқани елип, йолға раван болди. 
GEN.24.62	Шу вақитта Исһақ Беер-Лаһайрой дегән йәрдин кетип, өзи олтириватқан Қананниң җәнубидики Негиб райониға қайтип кәлди. 
GEN.24.63	Бир күни күн петиш вақтида у далада Худани чоңқур сеғинип, беши­ни көтирип қариведи, төгә карвининиң келиватқанлиғини көрди. 
GEN.24.64+GEN.24.65	Рибәқа Исһақни көрүш биләнла төгидин чүшүп, Ибраһимниң чакиридин: 
GEN.24.64+GEN.24.65	— Далада биз тәрәпкә қарап келиватқан әву киши ким? — дәп сориди. 
GEN.24.64+GEN.24.65	— У мениң кичик ғоҗайиним, — дәп җавап бәрди чакар. 
GEN.24.64+GEN.24.65	Рибәқа үзини яғлиғи билән йепивалди. 
GEN.24.66	Чакар өзиниң қилған ишлирини Исһаққа бир-бирләп сөзләп бәрди. 
GEN.24.67	Исһақ Рибәқани аниси Сарә һаят вақтида турған чедирға башлап кирип, некайиға алди. Аниси вапат болған болсиму, у Рибәқаниң муһәббитидин өзигә тәсәлла тапти. 
GEN.25.1	Ибраһим Кәтура исимлиқ йәнә бир аялни кичик хотунлуққа алди. 
GEN.25.2	У Ибраһимға Зимран, Йоқшан, Медан, Мидиян, Ишбак вә Шуахтин ибарәт алтә оғул туғуп бәрди. 
GEN.25.3	Йоқшан Шиба билән Дәданниң атиси болди. Дәданниң әвлатлири ашурим, ләтушим вә ләуммим хәлиқлири болди. 
GEN.25.4	Мидиянниң оғуллири Әфа, Әфәр, Һанух, Абида вә Елдалар еди. Жуқуридикиләрниң һәммиси Кәтурадин дунияға кәлгән әвлатлар еди. 
GEN.25.5	Ибраһим пүтүн мал-мүлүклирини Исһаққа атавәткән еди. 
GEN.25.6	Лекин у өзи һаят вақтида икки кичик хотунидин болған оғуллириғиму соғиларни берип, андин бу оғуллирини Исһақтин жирақ турсун, дәп шәрқий зиминға әвәтти. 
GEN.25.7+GEN.25.8	Ибраһим узақ өмүр сүрүп, йүз йәтмиш бәш йешида әҗдат­лириниң қешиға кәтти. 
GEN.25.9	Униң оғуллири Исһақ билән Исмаил уни Макпелаһ йезисидики өңкүргә дәпнә қилди. Бу өңкүр Мамрә дегән йәргә йеқин болуп, бурун хит қәбилисидин болған Сохарниң оғли Әфронниң етизлиғи еди. 
GEN.25.10	Ибраһим хитлардин сетивалған етизлиқ дәл шу еди. Ибраһимниң аяли Сарәму мошу йәргә дәпнә қилинған еди. 
GEN.25.11	Ибраһим вапат болғандин кейин, Худа униң оғли Исһаққа бәхит ата қилди. Исһақ шу вақитта Беер-Лаһайрой дәп аталған қудуқниң йенидики җайда турувататти. 
GEN.25.12	Сарәниң хизмәткари мисирлиқ Һәҗәр Ибраһимға туғуп бәргән Исмаилниң әвлатлири төвәндикиләр: 
GEN.25.13	алди билән тунҗа оғли Небайот, андин кейин қалған оғуллири Кәдар, Адбәәл, Мибсам, 
GEN.25.14	Мишма, Дума, Масса, 
GEN.25.15	Хадад, Тәма, Йәтур, Нафиш вә Қәдәма туғулди. 
GEN.25.16	Улар он икки қәбилиниң башлиқлири болуп, улар яшиған йеза вә қишлақлар уларниң исимлири билән аталди. 
GEN.25.17	Исмаил йүз оттуз йәттә йешида әҗдатлириниң қешиға кәтти. 
GEN.25.18	Униң әвлатлири олтирақлашқан җай Һавилаһ районидин Шур дегән йәргә қәдәр еди. Шур Мисирниң шәрқий тәрипидә болуп, Ассурға баридиған йолда еди. Улар Ибраһимниң башқа әвлатлири билән чиқишалмиди. 
GEN.25.19	Ибраһимниң оғли Исһақниң иш-излири төвәндикичә: 
GEN.25.20	Исһақ қириқ йешида Рибәқаға өйләнди. Рибәқа болса, Паддан-Аррамниң Арран дегән йеридин болған Бетуелниң қизи вә Лабанниң сиңлиси еди. 
GEN.25.21	Рибәқа пәрзәнт көрмигәнлиги сәвәвидин, Исһақ униң үчүн Пәрвәрдигарға дуа қилди. Пәрвәрдигар униң дуасини қобул қилип, Рибәқа һамилдар болди. 
GEN.25.22	Бала қош гезәк болуп, улар туғулуштин илгири анисиниң қосиғида қаттиқ соқушти. Рибәқа: «Маңа немә болғини?» дәп Пәрвәрдигардин сориди. 
GEN.25.23	Пәрвәрдигар униңға мундақ җавап бәрди: 
GEN.25.23	«Сениң қосиғиңдин икки хәлиқ чиқиду. 
GEN.25.23	Туғулупла айрим болиду. 
GEN.25.23	Бири йәнә биридин күчлүк болуп, 
GEN.25.23	Чоңи кичигигә хизмәт қилиду». 
GEN.25.24	Униң ай-күни тошуп, қош гезәк туғди. 
GEN.25.25	Авал туғулғини қизғуч болуп, пүтүн бәдини һайванниңкидәк түклүк еди. Шуңа униң исмини Әсав 
GEN.25.26	Кейин туғулғининиң қоли Әсавниң тапинини чиң тутувалғанлиғи үчүн, исмини Яқуп 
GEN.25.27	Икки бала чоң болди. Әсав уста очи болуп, далада жүрүшни яхши көрәтти. Лекин иниси Яқуп җим-җит жүридиған адәм болуп, һемишәм өйдә туратти. 
GEN.25.28	Исһақ Әсавни яхши көрәтти, чүнки у Әсав олап кәлгән о гөшигә амрақ еди. Рибәқа болса, Яқупни яхши көрәтти. 
GEN.25.29	Бир күни Яқуп қизил почақ шорписини қайнитивататти. Один ечиқап қайтип кәлгән Әсав 
GEN.25.30	Яқупқа: 
GEN.25.30	— Қосиғим бәк ечип кәтти. Қизил почақ шорписидин тезирәк бәрсәңчу! — деди. Шу сәвәптин у Идом 
GEN.25.31	Яқуп униңға: 
GEN.25.31	— Тунҗа оғуллуқ мирас һоқуқуңни маңа өткүзүп бәрсәң, саңа бу шорпидин берәй, — дәп җавап қайтурди. 
GEN.25.32	— Болди! Болди! Қосиғим ечип өләй дәп қалдим. Тунҗа оғуллуқ мирас һоқуқиниң маңа немә кериги? — деди Әсав. 
GEN.25.33	Яқуп униңға: 
GEN.25.33	— Сән авал мениң алдимда тунҗа оғуллуқ мирас һоқуқуңни маңа өткүзүп бәргәнлигиңгә қәсәм қилип бәр, — деди. 
GEN.25.33	Әсав қәсәм қилип, тунҗа оғуллуқ мирас һоқуқини Яқупқа өткүзүп бәрди. 
GEN.25.34	Андин Яқуп униңға нан билән почақ шорписини бәрди. Әсав ғизаланғандин кейин, орнидин туруп чиқип кәтти. Бу униң тунҗа оғуллуқ мирас һоқуқиға етиварсиз қариғанлиғидиндур. 
GEN.26.1	Ибраһимниң заманида Қананда бир қетим ачарчилиқ йүз бәргән еди. Кейин йәнә бир қетим ачарчилиқ болди. Исһақ Гирар шәһиридики филистинликләрниң падишаси Абимәләкниң алдиға барди. 
GEN.26.2	Пәрвәрдигар Исһаққа көрүнүп, униңға мундақ деди: 
GEN.26.2	— Сән Мисирға бармай, Мән тур дегән җайда туруп қал. 
GEN.26.3	Сән бу йәрдә турсаң, Мән саңа яр болимән һәм сени бәхитлик қилимән. Мән бу зиминни саңа вә сениң әвлатлириңға тәғдим қилимән. Атаң Ибраһим билән түзгән келишимимдә чиң туримән. 
GEN.26.4	Мән саңа асмандики юлтузлардәк нурғун әвлат беримән һәм бу пүткүл зиминни уларға тәғдим қилимән. Сениң әвлатлириң арқилиқ йәр йүзидики пүткүл хәлиқләр бәхит тапиду. 
GEN.26.5	Чүнки Ибраһим Маңа бойсунуп, пүтүн қанун вә әмир-пәрманлиримға риайә қилди. 
GEN.26.6	Шуниң билән Исһақ Гирарда туруп қалди. 
GEN.26.7	Униң аяли Рибәқа интайин гөзәл еди. Йәрлик кишиләр униңдин аяли Рибәқани ким дәп сориса, у уни өз сиңлим, деди. Чүнки у йәрлик кишиләрниң өзини өлтүрүветип, Рибәқани елип кетишидин қорқатти. 
GEN.26.8	Исһақ у йәрдә бир мәзгил турди. Бир күни филистинликләрниң падишаси Абимәләк деризисидин сиртқа қараватқанда, Исһақниң Рибәқа билән қучақлишиватқанлиғини көрүп қалди. 
GEN.26.9	Падиша Абимәләк Исһақни чақиртип, униңдин: 
GEN.26.9	— У сениң аялиң екән, немә үчүн уни сиңлим дегән едиң? — дәп сориди. 
GEN.26.9	Исһақ җавап берип: 
GEN.26.9	— Әгәр мән уни аялим дегән болсам, уни елиш үчүн силәрниң мени өлтүрүветишиңлардин қорққан едим, — деди. 
GEN.26.10	Абимәләк униңға: 
GEN.26.10	— Бу немә қилғиниң? Әгәр хәлқим ичидә бири сениң аялиң билән бир орунда ятқан болса, сән пүтүн хәлқимизни гунаға тиққан болаттиң! — деди. 
GEN.26.11	Андин падиша Абимәләк өз хәлқигә буйруқ чүширип: 
GEN.26.11	— Кимду-ким бу кишигә яки аялиға тәгсә, җенидин җуда қилиниду, — деди. 
GEN.26.12	Исһақ у йәрдә деханчилиқ қилатти. Пәрвәрдигар униңға бәрикәт бәргәчкә, у жили биргә йүз һәссә һосул алди. 
GEN.26.13	У барғансири ронақ тепип, бәк бай болди. 
GEN.26.14	Филистинликләр униң нурғун қой-кала пади­лири вә қуллири барлиғини көрүп, уни көрәлмәсликкә башлиди. 
GEN.26.15	Шуңа улар униң атиси Ибраһим һаят вақтида чакарлириға қаздур­ған қудуқларни топа билән тиндурувәтти. 
GEN.26.16	Кейин Абимәләк Исһаққа: 
GEN.26.16	— Сән биздин күчийип кәттиң, дөлитимиздин чиқип кәт! — деди. 
GEN.26.17	Буниң билән Исһақ у йәрдин кетип, Гирар җилғисиға берип, у йәргә орунлишип, бир мәзгил турди. 
GEN.26.18	Ибраһим һаят вақтида бир мунчә қудуқларни қаздурған еди. Бирақ у аләмдин өткәндин кейин, филистинликләр униң һәммә қудуқлирини топа билән тиндурувәткән еди. Исһақ уларни қайта қаздуруп, йәнила дәсләп атиси қойған намлири билән атиди. 
GEN.26.19	Исһақниң чакарлири Гирар җилғисида бир қудуқ қезип, су тапти. 
GEN.26.20	Бирақ Гирарниң падичилири Исһақниң падичилири билән маҗралишип, һәммиси: «Бу бизниң сүйимиз», дейишти. Шуңа Исһақ у қудуқни Әсәк 
GEN.26.21	Исһақниң чакарлири йәнә бир қудуқ қазған еди. Улар йәнә бу қудуқ үчүн маҗралашти. Шуңа Исһақ бу қудуқни Ситна 
GEN.26.22	Исһақ у йәрдин кетип, йәнә бир қудуқ қаздурди. Бу қетим маҗра чиқмиди, шуңа у бу қудуқниң намини Риһубот 
GEN.26.23	Исһақ у йәрдин кетип, Бәәршәбаға көчүп барди. 
GEN.26.24	У күни кәчтә Пәрвәрдигар униңға көрүнүп: «Мән атаң Ибраһим етиқат қилған Худа, қорқмиғин! Мән саңа яр. Мән хизмәткарим Ибраһим сәвәвидин саңа бәхит ата қилимән вә әвлатлириңни көпәйтимән», деди. 
GEN.26.25	Исһақ у йәрдә қурванлиқ суписини ясап, Пәрвәрдигарға ибадәт қилди. Шундин кейин Исһақ у йәргә орунлишип қалди һәм униң чакарлири у йәрдә йәнә бир қудуқ қазди. 
GEN.26.26	Падиша Абимәләк Ахуззат дегән мәслиһәтчиси билән ләшкәр башлиғи Фиколни елип, Гирардин Исһақни зиярәт қилип кәлди. 
GEN.26.27	Исһақ уларға: 
GEN.26.27	— Бурун силәр маңа өчмәнлик қилип, мени дөлитиңлардин қоғлап чиқарған едиңлар. Әнди немә үчүн йәнә мән билән көрүш­кили кәлдиңлар? — деди. 
GEN.26.28	Улар җававән: 
GEN.26.28	— Биз Пәрвәрдигарниң саңа яр екәнлигини билдуқ, шуңа биз бир-биримизгә қәсәм берип, келишим түзсәк болғидәк. 
GEN.26.29	Биз саңа зиян-зәхмәт йәткүзмигәндәк, сениңму бизгә зиян-зәхмәт йәткүзмәсликкә вәдә беришиңни тәләп қилимиз. Бурун биз саңа һемишәм яхши муамилә қилип, сени у йәрдин аман-есән кәткүзгән едуқ. Әнди Пәрвәрдигарниң саңа бәхит ата қилғанлиғи ениқ болди, — деди. 
GEN.26.30	Исһақ зияпәт тәйярлап, уларни меһман қилди. 
GEN.26.31	Улар сәһәр туруп, өз ара қәсәм беришип, келишим түзүшти. Исһақ улар билән достанә хошлишип, уларни узитип қойди. 
GEN.26.32	У күни Исһақниң чакарлири келип, униңға өзлири қазған қудуқ тоғрисида хәвәр берип: 
GEN.26.32	— Биз су таптуқ! — деди. 
GEN.26.33	У қудуқни Шәба 
GEN.26.34	Әсав қириқ йешида имансиз хитлардин икки қизни хотунлуққа алди. Бу икки қиз Бәәрниң қизи Йудит билән Елонниң қизи Басимат еди. 
GEN.26.35	Улар Исһақ билән Рибәқаниң арамини қоймиди. 
GEN.27.1	Исһақ қерип кәтти, көзиму көрмәс болуп қалди. У тунҗа оғли Әсавни чақирип, униңға: 
GEN.27.1	— Оғлум, — деди. 
GEN.27.1	— Мана мән, — дәп җавап бәрди Әсав. 
GEN.27.2	Исһақ мундақ деди: 
GEN.27.2	— Қара, мән қерип кәттим, өлүмүм жирақ әмәс. 
GEN.27.3	Сән оқ-яриңни елип, далаға чиқип, о олап келип, 
GEN.27.4	мән яхши көридиған ләззәтлик тамақ пиширип маңа йегүз. Шуниң билән мән өлүштин илгири саңа ахирқи хәйирлик дуайимни қилай. 
GEN.27.5	Рибәқа Исһақниң қилған сөзлирини аңлап, Әсавниң оға чиқип кәткән вақтидин пайдилинип, 
GEN.27.6	Яқупқа мундақ деди: 
GEN.27.6	— Мән бая дадаңниң акаң Әсавға: 
GEN.27.7	«Сән о олап келип, ләззәтлик тамақ пиширип маңа йегүз. Шуниң билән мән өлүштин илгири Пәрвәрдигар алдида саңа хәйирлик дуа қилай», дегәнлигини аңлидим. 
GEN.27.8	Оғлум, гепимгә қулақ селип, мениң дегинимни қил. 
GEN.27.9	Қой падисиға берип, семиз оғлақтин иккини елип кәл. Мән уни дадаң яхши көридиған тәмдә пиширай. 
GEN.27.10	Сән әкирип йегүзсәң, у вапат болуштин бурун саңа хәйирлик дуа қилиду, — деди. 
GEN.27.11	Лекин Яқуп анисиға: 
GEN.27.11	— Сизгә мәлум, Әсавниң пүтүн бәдини түклүк, мениң теним болса түксиз. 
GEN.27.12	Мабада дадам тенимни тутуп қалса, мениң уни алдиғанлиғимни билип қалиду. У чағда мән униң хәйирлик дуасини елишим бу яқта турсун, әксичә қарғишиға учраймән! — деди. 
GEN.27.13	Аниси униңға: 
GEN.27.13	— Әй оғлум, ләнәт болса маңа болсун! Мениң дегинимни қил, оғлақларни елип кәл, — деди. 
GEN.27.14	Шуниң билән Яқуп оғлақларни әкелип, анисиға тапшурди. Аниси тамақни дадиси яхши көридиған тәм билән пишарди. 
GEN.27.15	Андин Әсавниң өйидә сақлиған әң яхши кийимлирини елип чиқип, Яқупқа кийдүрди. 
GEN.27.16	Униң икки қоли вә бойниниң түксиз җайлирини өшкә жуңи билән йөгәп, 
GEN.27.17	ләззәтлик тамақ билән яққан нанни униңға тутқузди. 
GEN.27.18	Яқуп атисиниң йениға кирип: 
GEN.27.18	— Ата, — деди. 
GEN.27.18	— Оғлум, сән қайси оғлум болисән? — деди атиси. 
GEN.27.19	Яқуп униңға: 
GEN.27.19	— Мән чоң оғлуңиз Әсав, тапшуруғуңизни орунлап болдум. Қопуң, мән олап кәлгән о гөшигә еғиз тегип, андин маңа хәйирлик дуайиңизни қилғайсиз, — дәп җавап қайтурди. 
GEN.27.20	— Оғлум, неманчә тез олап кәлдиң? — дәп сориди Исһақ. 
GEN.27.20	— Пәрвәрдигариңиз болған Худа тәлийимни оңдин кәлтүрүп, маңа ярдәм қилди, — дәп җавап қайтурди Яқуп. 
GEN.27.21	Исһақ Яқупқа: 
GEN.27.21	— Оғлум, йенимға кәл, тутуп көрәй, сән расттин Әсавму, әмәсму? — деди. 
GEN.27.22	Яқуп йениға барди. Исһақ тутуп көрүп: 
GEN.27.22	— Авазиң Яқупниң, қолуң болса, Әсавниңкигә охшайдикән, — деди. 
GEN.27.23	У униң Яқуп екәнлигини пәриқ етәлмиди, чүнки Яқупниң қоли Әсавниңкигә охшаш түклүк туратти. У Яқупқа дуа қилидиған чағда, 
GEN.27.24	йәнә бир қетим: 
GEN.27.24	— Сән расттин Әсавму? — дәп сориди. 
GEN.27.24	— Шундақ, — дәп җавап бәрди Яқуп. 
GEN.27.25	Исһақ униңға: 
GEN.27.25	— Гөшни әкәл, уни йегәндин кейин, саңа дуа қилай, — деди. 
GEN.27.25	Яқуп гөшни елип кирди вә униңға шарап тутти. 
GEN.27.26	Исһақ йәп-ичип болғандин кейин: 
GEN.27.26	— Оғлум, алдимға келип, мени сөй, — деди. 
GEN.27.27	Яқуп алдиға берип сөйди. Исһақ Яқупниң кийгән кийимлириниң пуриғини пуриғандин кейин, сөзигә ишинип, униңға хәйирлик дуасини қилди: 
GEN.27.27	«Оғлумниң тенидики хуш пурақ, 
GEN.27.27	Дәл Пәрвәрдигарим бәрикәт бәргән топиниң пуриғиға охшайдикән. 
GEN.27.28	Худа асмандин саңа хасийәтлик ямғур яғдуруп, 
GEN.27.28	Топаңни һосуллуқ қилғай. 
GEN.27.28	У саңа мол ашлиқ-түлүк, 
GEN.27.28	Есил шарапларни тәғдим қилғай. 
GEN.27.29	Башқа әлләрму хизмитиңдә болғай. 
GEN.27.29	Хәлиқләр саңа тизлинип һөрмәт билдүргәй. 
GEN.27.29	Қериндашлириңға һаким болғайсән. 
GEN.27.29	Анаңниң әвлатлири саңа егилгәй. 
GEN.27.29	Саңа ләнәт ейтқанларға ләнәт яққай. 
