GEN.1.1	Wattunna napahandu' Puang Allataala umpadadi langi' anna lino, 
MRK.8.5	Iya nauam: “Anu' sanakapia' hotimmu?”
MRK.8.5	Natimba' passikolanna naua: “Angga ham pitu.” 
MRK.8.6	Iya nauam Puang Yesus lako indo tau buda: “Okko'koa' lako itim paha'baja.” Anna mane naala indo hoti pitu anna nasambajannii längäm Puang Allataala, mane napiä'-piä'i anna mane nabeem passikolanna natabaam lako indo tau buda. 
MRK.8.7	Deempi duka' baunna saidi' sapo' si bahinni'. Iya naala oom duka' anna nakuhhu'i oi sumanga' mane nabeenni passikolanna anna nataba pole oi. 
MRK.8.8	Dea' asanni indo tau buda, iya nahempummi passikolanna indo tää'nam naande, iya ponno polepi pitu baka. 
MRK.8.9	Indo to mangngande kiha-kiha appa' sa'bunna. Puhai mangngande nasuam Puang Yesus ma'pasule lako ongeanna. 
MRK.8.10	Lessu'na tau buda, längäm siaham lopinna solai passikolanna anna le'ba'i lako lembäna Dalmanuta.
MRK.8.11	Dioi, iya sulem sanaka-naka to illaam kakalebuanna Parisi umpellambi'i Puang Yesus anna nateläi tula'na aka la napa'sändä'i. Iya napellambi'im anna nauaanni: “Paitaikam tanda yabo mai suhuga.”
MRK.8.12	Tappa umbussangam penabanna anna ma'kadai naua: “Maaka hia inde mai hupatau temo anna umpelaui tanda? Aka kutulasangkoa', setonganna tä' deem la kupaitai tanda inde mai hupatau.”
MRK.8.13	Anna le'ba'i umpellei indo tau, längäm sule lopinna anna lambanni.
MRK.8.14	Tappana längänni lopi, iya tä' dia nakilalai indo passikolanna Puang Yesus umbaba hoti buda-buda, anggam sakalebu nababa. 
MRK.8.15	Siampu' eta too umpakainga' passikolanna naua: “La majagakoa' too indana nasägäikoa' bibi' hotinna Herodes anna to illaam kakalebuanna Parisi.”
MRK.8.16	Tappana nahingngii passikolanna, iya sipa'tula'-tula'um naua: “Umbai' ia hi tia anna ma'kada susii aka tä'kia' umbaba hoti.”
MRK.8.17	Sapo' naissam Puang Yesus indo tula'na passikolanna iya tappa ma'kadam naua: “Akanna ussitimba'-timba'i hakoa' iko diona pa'dena hotimmu? Tä' liupia' isanga natama pikkihammu? Tä' liupia' isanga muissam manappaä'? 
MRK.8.18	Kusanga siampuangkoa' mata, akanna tä'ia' umpetua'; siampuangkoa' talinga, akanna tä'ia' umpehingngii? Tä' daka tia ungkilalaia' 
MRK.8.19	indo anna kupiä'-piä'i lima hoti dipandeam lima sa'bu tau? Sanakapi baka ponno tää'nam naande tau buda indo uhhempunna'?”
MRK.8.19	Natimba' naua: “Sapulo duapi.”
MRK.8.20	Mane naua polei: “Ungkilalai haka' anna kupandei appa' sa'bu tau anggam pitu hoti dipiä-piäsam, iya sanakapi baka tää'nam diande uhhempunna'?”
MRK.8.20	Natimba' oom naua: “Pitupi baka gege.”
MRK.8.21	Iya nauam Puang Yesus: “Tä' liupaka' tiko umpähäm?”
MRK.8.22	Landa'i Puang Yesus sola passikolanna lako Betsaida, iya deem tau untette to buta lako Puang Yesus anna nauai: “O Tuangguhu, antiangkam inde to butangki anna malai paita.” 
MRK.8.23	Iya naanda'im limanna anna natettei lako sulibam kota, anna mane natikkudui matanna napasindum naanda'i anna nakutanai naua: “Deemmaka aka-aka muita temo?”
MRK.8.24	Iya mennenne'um lako olona anna nauai: “Io, kuitam tau kalao-lao, sapo' susi bäbä too' kaju.” 
MRK.8.25	Iya naanti pole oom matanna. Puhai, napengkalissä'-lissä'im mennenne' lao, iya masiä' siahanni naita anna makaleso asammi ingganna aka-aka.
MRK.8.26	Puhanna ia too, nasuam ma'pasule lako banuanna sapo' nauaam: “Anggam ia tä'ko la mala ma'pasule tama indo kota anna untulasanni solamu.”
MRK.8.27	Puhai ia too le'ba'um Puang Yesus sola passikolanna ullelei mobotto-bottoam lako Kaisarea Filipi. Muolai lalam, nauam Puang Yesus: “Situhu' tula'na tau, aka si nasangaiannä'?”
MRK.8.28	Iya natimba'im naua: “Deem tau muuai: ‘Yohanes to si mantedo' tubo sule;’ deem muuai: ‘Nabi Elia sule sule;’ deem duka' muuai: ‘Mesa nabi senga' tubo sule.’ ”
MRK.8.29	Iya mekutanam lako passikolanna naua: “Maka' susi, iya akaa' iko ussangaiannä'?”
MRK.8.29	Tappa natimba' Simon Petrus naua: “Ikom too indo To dilanti' la mepasalama'.”
MRK.8.30	Iya nauam Puang Yesus: “Io, tappa', sapo' daa untula' poleia' lako tau senga'!”
MRK.8.31	Lessu'i ia too napahandu'um Puang Yesus ma'pa'guhu naua: “Kao to disangai Änä' Mentolino la ussi'dim ma'hupa-hupa pandahhaam anna la natumpu pala'ä' matua ulunna to Yahudi anna ingganna kapala sando sola to ullatta' Pepaondonganna Musa lambi' la napateiä'. Sapo' illaam allo katallunna la tibangonnä' sule dio mai alla'na to mate.”
MRK.8.32	Napomasissä' Puang Yesus natula' kaha-kaha ia too, sapo' tappa nababai lao Petrus umpelle-pellei solana anna nauaanni: “Daa umpa'kada susi.”
MRK.8.33	Iya tappa menggihi' Puang Yesus umpalelei mata passikolanna anna ungkeaha'i Petrus naua: “Pälläiko lao Setam! Aka taia iko pa'elo'na Puang Allataala umpikki', sapo' angga iko pikkiham hupatau illaam penabammu.” 
MRK.8.34	Mane uhhempunni tau buda sola passikolanna anna nauaanni: “Menna-menna maelo' untuhu'iä' pahallu la ullappa' pa'elo' kalena anna umpassam kaju sitambenna, anna natuhu'ä'. 
MRK.8.35	Aka menna-menna umpakalando puha ia katuboam di lino anna la Kao, tau ia too tä' ia la ullambi' katuboam sule lako salako-lakona. Sapo' menna-menna ahu' mate aka natuhu'ä' anna umpa'pakahebaam Kaheba Katilallasam, tau ia too la ullambi' indo katuboam sule lako salako-lakona. 
MRK.8.36	Tä' deem gunana lako mesa tau moi la muampuam ingganna issinna lino kela sägä hi sungnga'na. 
MRK.8.37	Aka setonganna tä' ia deem bala'inna sungnga'na hupatau. 
MRK.8.38	Aka menna-menna umpa'kasihisannä' anna umpa'kasihisam pepa'guhuangku illaam inde alla'-alla'na to umpogau' kasedaam anna to sässä' lalam, tau ia too la kupa'kasihisam duka' ke sulemä' to disangai Änä' Mentolino naponnoi kamatandeanna Ambeku anna natuhu'ä' ingganna malaika' maseho.”
MRK.9.1	Mane nauai: “Aka kutulasangkoa', setonganna deengkoa' to dio heem temo tä'pi la mate anna muitam Puang Allataala umpalako kapahentaanna sola kakuasaanna.”
MRK.9.2	Annanni benginna puhanna ia too, iya umbabaim Petrus, Yakobus, anna Yohanes Puang Yesus le'ba' längäm mesa tanete malangka', anna yaboi paka-paka ia. Iya muitaim Puang Yesus tieli' hupanna. 
MRK.9.3	Anna pangkähhä pohebana tä' deem tau illaam inde lino la mala umpasusii mabusanna. 
MRK.9.4	Iya tappa muitam Puang Yesus mahassam sipa'tula' indo dua nabi yolona isanga Elia anna Musa.
MRK.9.5	Iya ma'kadam Petrus naua: “O Tuangguhu tä'um deem la susi kamasannangantaa' eta inde. Mapia ke kipake'desangkoa' tallu bahum: mesa Iko, mesa Musa, anna mesa Elia.” 
MRK.9.6	Ia anna ma'kada susii Petrus aka tä' bäbä naissam aka la naua aka sangngim mahea'.
MRK.9.7	Iya nasikuku'im gabum anna nahingngii kamaha buttu illaam mai indo gabum naua: “Iam too inde Änä' pa'pakamajangku. Pahallua' la umpehingngii!” 
MRK.9.8	Pissananna ham ia sikapeä indo passikolanna aka angga ham mesa-mesanna Puang Yesus naita, pa'de bäbäm ia indo to dua.
MRK.9.9	Tappana tuhunni Puang Yesus sola indo to tallu yabo mai indo tanete, iya napakahi'dim naua: “Deem aia' la untula' säkä indo to puhaa' muita yabo tanete le, ke tä'i puhaä' dipatibangom to disangai Änä' Mentolino dio mai alla'na to mate!”
MRK.9.10	Sangngim napehingngii indo pepakahi'dinna napasindum sipa'tula'-tula' naua: “Aka hia umbai' nasanga ‘la tubo sule dio mai alla'na to mate?’ ” 
MRK.9.11	Iya nakutanaim passikolanna naua: “Sapo' maaka hia anna nauai to ullatta' Pepaondonganna Musa: ‘Tä' mala tala sule yolo nabi Elia anna mane sule indo To dilanti' la mepasalama'?’ ”
MRK.9.12	Natimba' Puang Yesus naua: “Abana pahallu la sule yolo Elia umpatoka ingganna-ingganna sia. Sapo' naala haka' ia inabammu indo to puha tisuha' diona Änä' Mentolino la ussi'dim ma'hupa-hupa kamasussaam anna la ia siam anna ia dipogausam? 
MRK.9.13	Sapo' kuuaangkoa' tentomai: Abana puham sule Elia, anna ia siam napogausam tau anna ia, umba susi indo puha tisuha' illaam Battakada Debata.”
MRK.9.14	Tappana ma'pasule Puang Yesus sola Petrus, Yakobus, anna Yohanes, iya ullambi'um indo passikolanna to kasehapi nalebo tau buda sola sanaka-naka to ullatta' Pepaondonganna Musa mahassanni sitimba'-timba'. 
MRK.9.15	Iya muitanna sia Puang Yesus indo tau buda sangngim pilla' anna sikalumpa' untammuii. 
MRK.9.16	Iya mekutanam lako passikolanna naua: “Aka hia' iko ussitimba'-timba'ianna' inde lako tau?”
MRK.9.17	Iya ma'kadam mesa tau illaam mai alla'na indo tau buda naua: “O Tuangguhu, kubabangko sule inde änä'ku aka napentamai setam nasuhum maho. 
MRK.9.18	Aka maka' too nasulei oom indo setam, iya si angga' dipehhabisam dokko litä', si ma'tambuha-buha sädäna, sikukku isinna anna mato'do' kalena. Iya puham kupelau lako itim matim passikolammu anna nahambaii lao indo setam sapo' tä' dia mala.”
MRK.9.19	Iya ma'kadam Puang Yesus naua: “Kukapusa'i si'dakoa' pole' inde to tubo lapi' temo, aka kuhäm sugali'a' kamatappasammu! La pada polepi isanga umba masäena sola-solakia' anna la pada polepi isanga umba masäena la kusa'bahasangkoa'?” Mane nauai: “Babaannä' mai itim änä'-änä'.”
MRK.9.20	Iya nababaammi lako. Muitanna sia Puang Yesus indo setam, tappa undodä' indo änä'-änä', iya tissämbä' siahanni anna tibalintam lelem ma'tambuha-buha sädäna.
MRK.9.21	Mekutanam Puang Yesus lako ambena indo änä'-änä' naua: “Masäengka ma'pateem?”
MRK.9.21	Iya naum indo ambena: “Bahinni'pi anna napahandu'um ma'pateem. 
MRK.9.22	Si kapuhaammi la umpatei inde änä'ku indo setam si natobängam tama api anna dokko uwai. Sapo' kela mala ungkamaseikanni anna umpamoloikam umba ke malai bono'.”
MRK.9.23	Iya natimba'im naua: “Akanna muuai: ‘Umba ke malai’? Aka kutulasangko, tä' ia deem nakapusa'i lako to deem kamatappasanna.”
MRK.9.24	Tappa ma'kada kasalle indo ambena naua: “Kukatappa'iko sapo' pamoloiä' anna malai tuttuam kehängäm kamatappasangku.”
MRK.9.25	Pissananna naita Puang Yesus tuttuam buda tau sule ulleboi, iya nakissä'im indo setam to si ma'pabinga anna ma'pamaho naua: “Pessubungko illaam mai kalena inde änä'-änä', anna tä'ungko mala la tama pole.”
MRK.9.26	Iya messubum eta siaham indo setam napasindum kumissä' anna undodä'i indo änä'-änä', iya diita siahanni anggasannam to mate. Iya budam tau muuai: “Matem.” 
MRK.9.27	Sapo' tappa naanda'i Puang Yesus limanna indo änä'-änä' la nabangongam, iya bangom siahanni.
MRK.9.28	Pissananna illaanni banua Puang Yesus sola passikolanna paka-paka ia ham, iya nakutanaim passikolanna naua: “Maaka hia isanga anna tä'i kami' mala kihambai lao indo setam?”
MRK.9.29	Natimba'im naua: “Indo setam susi tä' mala dihambai ke tä'i ma'sambajam tau yolo.”
MRK.9.30	Iya mengkalaom Puang Yesus sola passikolanna umpatahhu' pa'laoanna muolai Galilea. Eta too napeä lalanna anna malai tä' naissam tau senga' ongeanna, 
MRK.9.31	aka angga opi passikolanna mahassam nabeem pepa'guhuam. Natula'um lako passikolanna naua: “Kao to disangai Änä' Mentolino la dibeho tama pala' limanna hupatau. La napateiä', sapo' illaam allo katallunna la tibangonnä' sule.”
MRK.9.32	Sapo' tula' ia too tä' natama akkalanna passikolanna kalembasanna, sapo' sangngim malaja' umpekutanaanni.
MRK.9.33	Pissam wattu landa' oom Puang Yesus sola passikolanna lako Kapernaum. Tappana illaanni banua, mekutanam lako passikolanna naua: “Aka hia' iko ussibetä'-betä'i dio mai lalam ingngena'?” 
MRK.9.34	Sapo' sangngim mengkamma' aka indo nasibetä'-betä'i naua: “Mennakia' handam matande?”
MRK.9.35	Iya muokko'um Puang Yesus anna untambai indo to sapulo dua anna nauaanni: “Iai too maelo' la kesanga, la mengkadio anna maelo' dipahe'.” 
MRK.9.36	Mane untettei änä'-änä' tama alla'-alla'na anna nakalapu'i mane nauai: 
MRK.9.37	“Menna-menna untahima änä'-änä' susi inde aka umpolalam kamatappasanna di Kao, tau ia too sihhapam siam Kao natahima. Anna menna-menna untahimaä', tä' anggam Kao natahima sapo' To ussuaä' duka' natahima.”
MRK.9.38	Iya ma'kadam Yohanes lako Puang Yesus naua: “O Tuangguhu deem kiita mesa tau uhhambai setam umpake sangammu, sapo' tä' kipäbäi aka taia indo to si tapasolaa'.”
MRK.9.39	Sapo' natimba' naua: “Daa ullahanni, aka tä' tia umpogau'na tanda memängä-mängä mesa tau umpake sangangku, iya la natelle-tellemä' Kao. 
MRK.9.40	Aka iai too tä' umbalikia', iam too solata. 
MRK.9.41	Kutulasangkoa' setonganna menna-menna umbeengkoa' uwai saihusam aka to untuhu'koa' Kristus, mannassa anna tau ia too la untahima sahona.”
MRK.9.42	Mane naua polei Puang Yesus: “Menna-menna umpabulim inde änä'-änä' to puha matappa' nasuhum la tä'um nakatappa'iä', tau ia too aha leko'um dipatoke'i batu peepe' bahokona anna dipa'tumbusanni tama le'bo'. 
MRK.9.43	Anna maka' hapanna limammu la umpomadosako, mapia leko'um tia ke umpoloi lao. Aka aham tia sabali-bali limammu sapo' la ullambi'ko katuboam sule lako salako-lakona, anna la tontä liu dua limammu, sapo' ditibe hako tama nahaka api tapi'de-pi'de. [ 
MRK.9.44	Aka ongeam ia too tala mate olli'na tala pi'de apinna.] 
MRK.9.45	Anna maka' hapanna bitti'mu la umpomadosako, mapia leko'um tia ke umpoloi lao. Aka aham tia kempo'ko sapo' la ullambi'ko katuboam sule lako salako-lakona, anna la tontä liu dua bitti'mu, sapo' ditibe hako tama nahaka. [ 
MRK.9.46	Aka ongeam ia too tala mate olli'na tala pi'de apinna.] 
MRK.9.47	Anna maka' matammu la umpomadosako, kalessu'i lao. Aka aha leko'um tia sabali-bali matammu sapo' mendadiko umma'na Puang Allataala illaam kapahentaanna, anna la tontä liu dua matammu sapo' ditibe tama hako nahaka. 
MRK.9.48	Aka ongeam ia too tala mate hia olli'na tala pi'de apinna.
MRK.9.49	Si mesa-mesa tau la disehoi umpake api umba susi tunuam disehoi umpake sia.
MRK.9.50	Setonganna sia mapia, sapo' maka' matämmä'um la malapaka tia dipamasim sule? Dadi la pahalluko too umpamasim liu kalemu, anna la tubokoa' sikamase mesa sola mesa.”
MRK.10.1	Mengkalao etam too Puang Yesus le'ba' lako lembäna Yudea anna lambanni libam Salu Yordan iya nalebo oom tau buda. Iya ma'pa'guhu oom, umba susi si napogau'. 
MRK.10.2	Eta too deem sule sanaka-naka to illaam kakalebuanna Parisi maelo' la umpeängam tuntungam su'be' Puang Yesus lambi' nakutanai naua: “La situhu' daka peadasam ke untibei bainena mesa muane?”
MRK.10.3	Sapo' natimba' naua: “Akaka napaondongangkoa' Musa?”
MRK.10.4	Iya natimba'um naua: “Napäbäi Musa sisähä' sapo' manggi' napapiaam suha' kasisähäsam muanena.” 
MRK.10.5	Iya nauam Puang Yesus: “Ia hi tia anna natuli'i Musa pepaondongam ia too aka kamakahhasam penabammua'. 
MRK.10.6	Aka dadinna inde lino, iya napadadim Puang Allataala muane anna baine, 
MRK.10.7+MRK.10.8	anna nauai: ‘Iam too anna mesa muane la umpellei indona sola ambena anna sialai mesa baine, nasuhum duai la mendadi mesa illaam ingganna-ingganna sia.’ Dadi, tä'um la dua sapo' la mendadi mesam. 
MRK.10.9	Iam too kasuhunganna anna iai too puha napamesa Puang Allataala tä'um mala napasisähä' hupatau.”
MRK.10.10	Tappana illaanni banua, mekutana oom passikolanna lako Puang Yesus naua: “Aka kalembasanna indo tula'mu ingngena'?”
MRK.10.11	Iya natimba'im naua: “Menna-menna untibe bainena anna laoi kebaine pole, tau ia too ullullu' pa'bannetauam. 
MRK.10.12	Anna maka' baine untibe muanena anna kemuane polei, ullullu' duka' pa'bannetauam.”
MRK.10.13	Pissam wattu sule sanaka-naka tau umbaba änä'-änä' bahinni'na lako Puang Yesus anna mala natamba', sapo' nakeaha'i hi passikolanna. 
MRK.10.14	Pissananna naitai Puang Yesus, iya keaha'um naua: “Päbäi mammi napellambi'iä' itim matim änä'-änä'. Daa ullabai, aka tau susim too itim matim la mendadi umma'na Puang Allataala illaam kapahentaanna. 
MRK.10.15	Aka kutulasangkoa', setongam-tonganna, menna-menna tä' susi änä'-änä' untahima kapahentaanna Puang Allataala, tau ia too tä' la mendadi umma' petauanna.” 
MRK.10.16	Iya nakalapu'im indo änä'-änä' anna naanda'i ulunna natamba'.
MRK.10.17	Tappana mengkalao Puang Yesus la umpatahhu' pa'laoanna, iya sulem mesa tau ma'sihha'-sihha' umpellambi'i anna ma'balinguntu'i dio olona, anna mekutanai naua: “O Tuangguhu to mapia gau', aka la kupogau' anna malaä' ullambi' katuboam sule lako salako-lakona?”
MRK.10.18	Natimba' naua: “Akanna muuaannä' to mapia gau'? Tä' deem mesa tau la mapia gau' sulibanna Puang Allataala. 
MRK.10.19	Mannassa muissammi ingganna pahentana Puang Allataala naua: ‘Daa umpapateam, daa ullullu' pa'bannetauam, daa umpaboko, daa ussa'bi tatappa' diona padammu hupatau, daa untengko solamu, anna pa'kasalleiko indomu sola ambemu.’ ” 
MRK.10.20	Iya natimba'um indo tau naua: “O Tuangguhu, kutuhu'i asammi pahenta ia too mengkalao bahinni'ku.”
MRK.10.21	Iya nanenne'im Puang Yesus nakamase-masei mane nauaanni: “Deempi mesa tä' umpogau', le'ba'ko balu'i ingganna aka-akammu, anna umbeenni to mase-mase. Aka maka' umpateem, iya la muampuammoko too kulle yabo suhuga. Puhai too, sulengko pole' untuhu'ä'.” 
MRK.10.22	Sapo' tappana uhhingngi tula'na Puang Yesus, hosso siaham penabanna anna ma'pasulei masussa, aka buda kullena.
MRK.10.23	Iya umpaleleim mata passikolanna anna nauai: “Tä' deem pada samapahhi' to buda kullena la mendadi umma'na Puang Allataala illaam kapahentaanna.” 
MRK.10.24	Iya sangngim mängä-mängäm passikolanna uhhingngii tula'na. Anna mane naua pole Puang Yesus: “Oa' änä'ku, mapahhi' si'da-si'da tau mentama kapahentaanna Puang Allataala. 
MRK.10.25	Aka madomi' leko'um ia mesa unta muola tama tottä'na dahum, anna la mesa to makaka la mentama kapahentaanna Puang Allataala.”
MRK.10.26	Tuttuam mängä-mängäm pole' passikolanna uhhingngii, nasuhum sipa'tula'-tula' naua: “Maka' susi, iya menna bäbä hi umbai' la mala dipasalama'?”
MRK.10.27	Iya unnenne'im passikolanna anna nauai: “Nakapusa'i ia hupatau, sapo' tä' Ia Puang Allataala aka tä' ia deem tanaissam nagahagai.”
MRK.10.28	Iya ma'kadam Petrus lako Puang Yesus naua: “Kitampeam asammi kami' aka-akangki aka kituhu'ko!”
MRK.10.29	Natimba'im naua: “Kutulasangkoa': setonganna menna-menna umpellei banuanna, battu haka solasubunna, battu haka indona, battu haka ambena, battu haka änä'na, battu haka bela'na, aka natuhu'ä'i anna umpa'pakahebaanni Kaheba Katilallasam, 
MRK.10.30	la natahima siam sule bala' sullena tau ia too wattu temo tiluppi' sahatu': banua, solasubum, indo', änä', anna bela', moinna anna la silolem pandahhaam. Anna illaam wattu mane la sule la untahima katuboam sule lako salako-lakona. 
MRK.10.31	Sapo' la deem too dadi ke dako'i buda to matande tentomai, la mendadi to madio, anna to madio tentomai la mendadi to matande.”
MRK.10.32	Tappana le'ba'i längäm Yerusalem Puang Yesus sola passikolanna, iya mendiolo Ia Puang Yesus. Muolai lalam sangngim tillä'bä' buana passikolanna, anna ingganna indo to untuhu'i sangngim mahea'. Iya untambaim indo sapulo dua passikolanna anna natulasanni aka la dadi lako kalena. 
MRK.10.33	Naua: “Inde tentomai la längämmakia' Yerusalem. Yabokia' too, iya dibehomä' to disangai Änä' Mentolino lako ingganna kapala sando sola to ullatta' Pepaondonganna Musa anna la nakattu naua: ‘Pahallu la dipopepatei.’ Anna la nabehoä' lako to tamuissam Puang Allataala. 
MRK.10.34	Aka la natelleä', la nasitikkudu-kuduiä', la nadahhaä', anna la napateiä', sapo' allo katallunnai too la dipatibangonnä' sule.”
MRK.10.35	Puhai ia too sulem Yakobus sola Yohanes, änä'na Zebedeus anna ma'kadai lako Puang Yesus naua: “O Tuangguhu kipelau kela mala anna untahimai pelauangki.”
MRK.10.36	Iya natimba'um naua: “Aka umpohäe la kupogausangkoa'?”
MRK.10.37	Iya ma'kadam naua: “Maelo'kam la muokko'kia' sola yabo kamatandeammu ke lambi'um wattunna, mesakam dio tandai kanammu, mesa dio tandai kaihimmu.”
MRK.10.38	Sapo' natimba' Puang Yesus naua: “Setonganna tä' muissanna' itim pelauammu. La untuaka' duka' umpendudum indo kamapi'disam la kupendudum anna umpassam indo pandahhaam la kupassam?”
MRK.10.39	Iya natimba'um naua: “Kitua!”
MRK.10.39	Iya nauam Puang Yesus: “Tappa' tula'mu, abana la umpendudunna' duka' indo kamapi'disam la kupendudum anna la umpassam indo pandahhaam la kupassam. 
MRK.10.40	Sapo' anggam ia indo diona la muokko' dio tandai kanangku anna tandai kaihingku, taia Kao issangku. Aka ongeam ia too dipatokaam lako hupatau to puha napa'tantu Ambeku.”
MRK.10.41	Tappana naissanni indo to sapulopi passikolanna kaha-kaha ia too, iya tä' deem pada sakeaha' lako Yakobus anna Yohanes. 
MRK.10.42	Nasuhum natambai asam Puang Yesus anna napa'tula'i naua: “Muissanna' muua indo to disangai to ma'pahenta umpahenta pakketauanna umpake palu-palu bassi, anna ingganna to kasallena umpalao makahha' kakuasaanna lako to nalumbäi. 
MRK.10.43	Sapo' ikoa'-iko, tä'koa' la mala ma'pateem. Aka iai too maelo' la diangga' illaam alla'-alla'mua', iam too la umpopengkadio kalena dio olona solana sihhapam mesa sabua'. 
MRK.10.44	Anna menna-menna maelo' la mendadi to kasalle, tau ia too la pahallu umpomahempo penabanna anna la ahu' dipakasua-sua illaam ingganna-ingganna sia. 
MRK.10.45	Aka susimä' Kao to disangai Änä' Mentolino tä' suleä' la dipamoloi, sapo' suleä' la umpamoloi hupatau anna la ahu'pä' dipakattu sungnga' aka la ussolonnä' tau buda dio mai dosana anna malai lappa'.”
MRK.10.46	Pissam wattu Puang Yesus sola passikolanna lambi' lako kota Yerikho. Messubunni illaam mai indo kota, iya ma'silullu'um tau untuhu'i. Iya deemmi mesa to buta isanga Bartimeus änä'na Timeus, muokko' dio bihim lalam aka si kapelau-lau lako to liu lalam. 
MRK.10.47	Tappana nahingngi dio hia heem Puang Yesus to Nazaret iya metamba-tamba siaham naua: “O Yesus peampoanna tomahaja Daud, kamaseiä' kao.”
MRK.10.48	Sapo' nakuapai hi tau buda naua: “Pengkamma'ko!” Sapo' tuttuam napekasallei mandi metamba naua: “O peampoanna tomahaja Daud kamaseiä' kao!”
MRK.10.49	Iya tohhom Puang Yesus anna ma'kadai naua: “Tambaiannä' mai.”
MRK.10.49	Iya sikauntambaim duka' indo to buta anna nauaanni: “Pomahannui penabammu ammu ke'de' aka natambaingko!” 
MRK.10.50	Iya untampe bäbäm bajunna anna napasihha'i ke'de' le'ba' napellambi'i.
MRK.10.51	Iya nakutanaim Puang Yesus naua: “Aka umpohäe la kupogausangko?”
MRK.10.51	Iya natimba'um naua: “O Tuangguhu, maelo' punalaä' duka' la paita.”
MRK.10.52	Iya nauaammi: “Bono'ungko aka ungkatappa'iä'. Le'ba'ungko too.” Iya paita eta siahanni anna le'ba'i untuhu' Puang Yesus.
MRK.11.1	Tappana la umpenandai Yerusalem Puang Yesus sola passikolanna, sikahuku'pi tondä' Betfage anna Betania dio Tanete Zaitun, iya ussuam dua passikolanna mendiolo 
MRK.11.2	naua: “Le'ba'koa' lako dio tondä' tapenandaia'. Aka sulekoa' too lako, iya ullambi'unna' mesa keledai lundaha disäke' lombe', tadeempi disäkei. Bukkaia' anna umbabaia' dio mai. 
MRK.11.3	Anna maka' too deengkoa' ungkutanai naua: ‘Akanna mualaia'?’ uaanni: ‘Aka napahalluam Debata, anna la bale' dipasule siam sule.’ ”
MRK.11.4	Iya le'ba'i siaham anna nalambi' si'da mesa keledai lundaha dio olo ba'ba disäke' lombe', dio bihim lalam. Iya nabukkaim. 
MRK.11.5	Wattu eta too deem sanaka-naka tau dio nalambi'. Naitanna indo tau nabukkai, iya tappa nakambahoannim naua: “Akanna umbukkaia'?”
MRK.11.6	Iya natimba'im susi indo tula' bali napakahi'diam Puang Yesus.
MRK.11.6	Iya nauai mandam indo tau: “O, iya babaia' lao.” 
MRK.11.7	Iya naalam indo keledai anna le'ba'i nababaam Puang Yesus. Sulei lako, muäläiim jubana anna nalapi'ianni, mane nasäkei Puang Yesus. 
MRK.11.8	Wattu eta too buda tau muäläi jubana anna naampa'i lako lalam la naolanna Puang Yesus tanda pa'pakasallena, anna deem toi duka' tau muampa' palapa andulam naala lako bela'. 
MRK.11.9	Ingganna tau to ullahui susi yolona teem ibundinna sikaahhe naua:
MRK.11.9	“Tapujia' Puang Allataala!
MRK.11.9	Katambasam to sule illaam sanganna Debata!
MRK.11.10	Natamba' Puang Allataala pessubunna tomahaja Daud to la dipotomahaja allo di dako'na.
MRK.11.10	Tapa'kasalleia' Puang Allataala To Handam Matande!” 
MRK.11.11	Landa'na Puang Yesus lako Yerusalem, tappa melolo tama Banua Debata anna napahessa asanni lao pali'. Sapo' aka la bengim, iya bale' le'ba' lako Betania solai sapulo dua passikolanna.
MRK.11.12	Masiä polei, mengkalao oom Puang Yesus sola sapulo dua passikolanna. Umpelleinna tondä' Betania, iya tadea'um ia Puang Yesus. 
MRK.11.13	Mennenne'um lao, iya muita mambelam kaju ara tumalumbum daunna. Iya napenandaim lako aka naua inabanna: “Umba ke deenni buana.” Sapo' sulei lako, anggam daunna nalambi', tadeem buana aka abana taia opi wattunna la kembua. 
MRK.11.14	Tappa napanata'i Puang Yesus naua: “Tä'um iko deem la naande hupatau buamu sule lako salako-lakona.” Iya indo tula'na nahingngi asam duka' passikolanna.
MRK.11.15	Tappana sulei lako Yerusalem Puang Yesus sola passikolanna, iya le'ba'im tama pa'hanteanna Banua Debata. Sulei tama, iya ullambi'um to si balu'-balu' illaam. Tappa nasua siaham lao Puang Yesus anna napembalisannii mejana indo to si ussuka'i doi'na to buttu dio mai botto senga' anna usseham okkosanna to si umbalu' dangam-dangam. 
MRK.11.16	Anna ingganna to la umbaba aka-aka tä' napäbäi muola tama Banua Debata. 
MRK.11.17	Mane ma'pa'guhui lako tau buda naua: “Tä' daka tia puha tisuha' illaam Battakada Debata naua:
MRK.11.17	‘Banuangku la naongei ingganna hupatau ma'sambajam,’
MRK.11.17	sapo' umpadadi hia' iko pa'mesaanna pa'bulele kalasi anna pa'tombonganna to maboko allo.” 
MRK.11.18	Tappana nahingngi kapala sando sola to ullatta' Pepaondonganna Musa kadadiam ia too, iya ma'pattujuim la napeä lalanna anna mala dipatei Puang Yesus. Aka silele mahea' lako tappana muita buda tau nakapilla'i pepa'guhuanna.
MRK.11.19	Mahammoi, messubum oom Puang Yesus sola passikolanna umpellei Yerusalem.
MRK.11.20	Tappana masiä pole, mebengngi'-bengngi'pi anna liu oom Puang Yesus sola passikolanna lako indo kaju ara. Iya naitam mahekko'um sule dokko waka'na. 
