GEN.1.1	Blŭng-a Kră Yang 'Bok Kei-Dei pơjing plĕnh păng teh. 
EXO.12.47	Ăn đĭ-đăng Isơrael athei akŭm bơwei 'blŏk giĕng Năm Brih.
EXO.12.48	Tơdah đei minh 'nu bơngai tơmoi ayơ oei hơdai lăm hnam iĕm, mă 'maih pơm 'blŏk hơdơ̆r giĕng Năm Brih Kră Yang, lei lu bơngai drŏ-nglo lu sư athei kăt tơdra akar; đơ̆ng noh na lu sư gơh năm pơm giĕng Năm Brih 'nâu păng gơh jô̆ thoi bơngai tơpŭ lăm char Isơrael. Mă-lei bơngai bu ưh kơ chu kăt tơdra akar, lei ưh kơ gơh sa ôh. 
EXO.12.49	Kŭm đei lei-lăi minh tơdrong juăt ăn lu bơngai tơpŭ lăm dêh iĕm hăm bơngai tơmoi ayơ truh oei hơdai hăm lu iĕm.
EXO.12.50	Đĭ-đăng kon pơlei Isơrael lu sư pơm kiơ̆ thoi noh; kiơ̆ thoi Kră Yang tơtă ăn kơ Môis păng Arôn boih. 
EXO.12.51	Kŭm lăm năr 'noh Kră Yang chông tơlĕch pơklaih kon pơlei Isơrael, kiơ̆ kơ khŭl linh, lĕch đơ̆ng dêh Êyiptơ.
EXO.13.1	Kră Yang khan kơ Môis: 
EXO.13.2	Lăm kon pơlei Isơrael mă bơngai dah sem dơrong, athei pơyơ̆r 'măn lê̆ kơ Inh dôm kon kơdră yua kơ kon kơdră noh gah Inh.
EXO.13.3	Môis pơma hăm kon pơlei, iĕm athei 'blŏk hơdơ̆r kơ năr 'nâu, yua năr 'nâu năr Kră Yang yua ti mơsêh Sư pơklaih lu iĕm đơ̆ng dêh Êyiptơ, klaih đơ̆ng teh đak pơm đĭch đam; na 'nĕ sa 'bĕng đei 'buih pông. 
EXO.13.4	Năr 'nâu, trŏ khei mônh, lu iĕm lĕch.a 
EXO.13.5	Mưh layơ Kră Yang ba lu iĕm tơ dêh kon pơlei Kanaan, kon pơlei Hêtit, kon pơlei Amôrit, kon pơlei Hêwit păng kon pơlei Jêbus boih, dêh teh mơ̆r 'lơ̆ng thoi đak sut đak toh păng dêh Kră Yang mă pơkă hăm lu 'bok iĕm, na truh lăm khei 'nâu ih athei wei răk tơdrong giĕng 'nâu. 
EXO.13.6	Lăm tơpơh năr ih athei sa 'bĕng ưh kơ đei 'buih pông, truh năr tơpơh gô đei et sa bơnê kơkuh kơ Kră Yang. 
EXO.13.7	Athei sa 'bĕng ưh kơ đei 'buih pông lăm tơpơh năr, lăm tơring iĕm 'nĕ ăn kơ đei 'bôh 'buih pông. 
EXO.13.8	Lăm năr noh athei roi ăn kơ kon drŏ-nglo iĕm, bơ̆n pơm tơdrong 'noh yua kơ Kră Yang pơm 'lơ̆ng kơ inh, kơplah inh lĕch đơ̆ng dêh Êyiptơ. 
EXO.13.9	Tơdrong noh iĕm athei pơm tơ'bôh minh tơdra tơ ti iĕm, pơm minh tơdrong 'blŏk hơdơ̆r chih tơ klĕng, wă kơ tơ'blŏk tơdrong juăt Kră Yang oei tơ lăm 'bơ̆r iĕm, yua kơ hăm ti mơsêh mơyang Kră Yang pơklaih iĕm lĕch đơ̆ng dêh Êyiptơ. 
EXO.13.10	Rim sơnăm, truh bơyan, iĕm athei bơwei nơ̆r tơtă tơdrong 'nâu ling-lang.
EXO.13.11	Layơ Kră Yang chông iĕm mơ̆t tơ dêh Kanaan, kiơ̆ thoi Sư pơkă pơ'ngam bơih hăm ih păng 'bok ih, sư gô pơjao dêh noh kơ ih, 
EXO.13.12	na ih athei pơyơ̆r ăn Kră Yang lu kon kơdră drŏ-nglo hăm lu kon tơno tuh blŭng-a lăm sem dơrong, yua kơ lu sư gô jing gah Kră Yang ngăl. 
EXO.13.13	Mă-lei rim kon aseh iĕ blŭng-a, iĕm athei rôp triu kon dah bơbe kon huai tơplih, tơdah ưh, athei wĕch hơko sư, kư̆m athei huai iŏk rim kon kơdră kon drŏ-nglo iĕm.
EXO.13.14	Na tơdah dơning dơmônh kon drŏ-nglo iĕm apinh iĕm: Tơdrong noh wă khan kiơ? Lei ih athei roi kơ sư: 'Noh yua kơ Kră Yang yua ti mơsêh pơklaih lu nhôn lĕch đơ̆ng dêh Êyiptơ, dêh mă nhôn pơm đĭch; 
EXO.13.15	yua kơ kơplah Pharaôn arăng kơ̆l ưh kơ ăn kơ lu nhôn năm, Kră Yang pơlôch đĭ hloi lu kon kơdră lăm dêh Êyiptơ, đơ̆ng kon kơdră drŏ-nglo kon bơngai truh tơ kon sem dơrong tuh blŭng-a, yua tơdrong noh, inh pơyơ̆r ăn Kră Yang dôm kon sem dơrong tơno tuh blŭng-a păng inh huai iŏk kon kơdră kon drŏ-nglo inh. 
EXO.13.16	'Noh gô pơm minh tơdrong tơdra tơ ti ih păng chơ̆m tơ klĕng ih, wă tơbăt tơ'blŏk Kră Yang yua ti mơsêh pơklaih lu nhôn lĕch đơ̆ng dêh Êyiptơ.
EXO.13.17	Kơplah Pharaôn achăng kon pơlei Isơrael năm, Kră Yang 'Bok Kei-Dei ưh kơ đei chông ba kon pơlei noh năm rok trong gah dêh Philistin, noh trong jăl jê̆ hloh; yua kơ Kră Yang khan: Hli kơ kon pơlei tơ'bơ̆p tơdrong tơblah wang, lu sư wih brŏk hơlơ̆k đơ̆ng tơ dêh Êyiptơ. 
EXO.13.18	Lei na Kră Yang 'Bok Kei-Dei chông ba lu kon pơlei năm dăr rok kiơ̆ trong lăm char glă, gah Đak Dơsĭ 'Brê. Kon pơlei Isơrael chĕp khêl đao lĕch đơ̆ng dêh Êyiptơ.
EXO.13.19	Môis chĕp anhăk ba kơting Jôsep; yua kơ Jôsep đei athei kon sâu Isơrael pơkă pơkăm anhăk ba kơting sư: Tơpă Kră Yang 'Bok Kei-Dei gô dŏng pơklaih lu iĕm; na lu iĕm athei anhăk ba kơting inh lĕch đơ̆ng dêh 'nâu.
EXO.13.20	Lu sư năm đơ̆ng Sukôt oei pơdơh pơm bơsŭn tơ Êtham tôch kơ char glă. 
EXO.13.21	Kră Yang năm adrol kơ kon pơlei, tơ kơ'năr hăm minh pôm jrăng hơmơ̆l, wă ba trong yak năm; tơ kơmăng hăm minh pôm jrăng ŭnh, wă pơchrang ăn kơ lu sư, wă kơ lu sư gơh năm ling-lang kơ'năr păng kơmăng. 
EXO.13.22	Kơ'năr jrăng hơmơ̆l ưh kơ đei layơ weh đơ̆ng kon pơlei, jrăng ŭnh tơ kơmăng kư̆m lei-lăi.
EXO.14.1	Kră Yang khan kơ Môis: 
EXO.14.2	Roi tơbăt bĕ kơ kon pơlei Isơrael athei năm wơ̆t tơ rŏng pơm anih pơdơh tơ jê̆ Pi Hahirôt, sơlam Mikdôl păng đak dơsĭ, tơklă Baal Sêphôn lu iĕm athei oei pơdơh pơm anih, jê̆ đak dơsĭ. 
EXO.14.3	Pharaôn khan lu kon pơlei Isơrael gô wơ̆l kơ trong, chă wih wơ̆t lăm char glă. 
EXO.14.4	Inh gô pơm kơ Pharaôn arăng kơ̆l ưh kơ chu, sư gô druh kon pơlei Isơrael Inh gô đei ư-ang yua kơ đơ̆ng Pharaôn păng lu linh sư; na bơngai Êyiptơ gô băt Inh bơih Kră Yang. Kon pơlei Isơrael mă pơm thoi noh.
EXO.14.5	Kơplah đe roi kơ pơtao Êyiptơ khan kon pơlei Hêbrơ kơdâu jăk đĭ boih, jơhngơ̆m Pharaôn păng lu bơngai bơ̆jang kơ sư, tơplih hloi, lu sư khan: Lu bơ̆n pơm thoi âu, achăng lê̆ kon pơlei Isơrael năm, ưh pă bơ̆jang kơ bơ̆n dơ̆ng. 
EXO.14.6	Pharaôn tŏk gre aseh hloi păng chông ba lu linh kiơ̆ sư. 
EXO.14.7	Sư iŏk chĕp ba tơdrâu-hrĕng tŏ gre aseh mă 'lơ̆ng hloh păng đĭ-đăng gre aseh nai dơ̆ng đơ̆ng lăm dêh Êyiptơ, rim kơ gre aseh noh đei lu yŏng linh kiơ̆ pơgơ̆r. 
EXO.14.8	Kră Yang pơm kơ Pharaôn pơtao dêh Êyiptơ, arăng kơ̆l, druh kon pơlei Isơrael; mă-lei kon pơlei Isơrael nuih yak năm tơpăt tơ anăp hloi. 
EXO.14.9	Bơngai Êyiptơ druh lu sư păng đĭ-đăng aseh gre aseh, lu linh chĕp gre aseh păng lu linh Pharaôn, druh tam kon pơlei Isơrael, oei pơdơh tơ jê̆ đak dơsĭ, Phihahirôt, tơklă Baal Sêphôn.
EXO.14.10	Wă lăp 'bôh Pharaôn păng lu linh dêh Êyiptơ druh wă tam đơ̆ng rŏng lu sư, na lu kon pơlei Isơrael hli dêh krao ôr apinh Kră Yang. 
EXO.14.11	Lu sư khan kơ Môis: “Tơ dêh Êyiptơ ưh kơ đei anih 'bŭ bơngai ôh hă, na ih ngĕ kơ chông ba lu nhôn năm lôch tơ char glă? Ih wă pơm kiơ kơ nhôn, ăn kơ lu nhôn lĕch đơ̆ng dêh Êyiptơ? 
EXO.14.12	Kơplah oei tơ dêh Êyiptơ lu nhôn đei khan kơ ih bơih. Lê̆ lu nhôn pơm đĭch đam kon pơlei Êyiptơ, chu bơ̆jang ăn lu sư đĕch hiôk hloh kơ wă lôch tơ char glă!”
EXO.14.13	Môis drơ̆ng kon pơlei khan: 'Nĕ kơ hli ôh, oei mă kơjăp bĕ, na lăng lu iĕm gô 'bôh tơdrong dŏng pơklaih đơ̆ng Kră Yang năr âu, lu bơngai Êyiptơ mă lu iĕm 'bôh lu sư năr 'nâu, lu iĕm ưh pă đei layơ wă 'bôh lu sư dơ̆ng. 
EXO.14.14	Kră Yang gô tơblah tơgŭm iĕm, lu iĕm kư̆ oei mă hơđơ̆ng.
EXO.14.15	Kră Yang khan kơ Môis: Liơ lu iĕm ôr krao chă Inh? Khan kơ kon pơlei Isơrael kư̆ yak tơ anăp; 
EXO.14.16	Na ih athei yơ̆r 'long jra tơ kơpal, chro ti tơ đak dơsĭ, tơklah lê̆ đak 'bar pah, na kon pơlei Isơrael gô jur lăm đak dơsĭ yak năm thoi kơpal teh hrĕng. 
EXO.14.17	Na Inh gô pơm kơ kon pơlei Êyiptơ kơ̆l arăng gô jur druh kiơ̆ kon pơlei Isơrael lăm đak dơsĭ, đơ̆ng noh Anăn Inh gô đei ư-ang yua kơ Pharaôn păng đĭ-đăng lu linh sư, lu bơngai chĕp gre aseh sư. 
EXO.14.18	Anăn Inh gô ư-ang yua kơ Pharaôn, gre aseh sư, lu linh chĕp gre aseh sư, lei na bơngai Êyiptơ gô băt kơ Inh Kră Yang.
EXO.14.19	Linh jang 'lơ̆ng Kră Yang 'Bok Kei-Dei oei năm adrol kơ lu kon pơlei Isơrael kơplah noh păng hơlơ̆k yak kiơ̆ đơ̆ng rŏng lu sư; na jrăng hơmơ̆l kư̆m năm đơ̆ng rŏng kơ kon pơlei; 
EXO.14.20	Jrăng hơmơ̆l dơ̆ng sơlam khŭl linh bơngai Êyiptơ păng khŭl linh kon pơlei Isơrael, đei hơmơ̆l găn măng mu tơ minh pah âu, na minh pah to hơdah na prăt măng 'bar khŭl ưh kơ đei gơh năm tơ jê̆ băl.
EXO.14.21	Môis yơ̆r ti sư tơ đak dơsĭ Kră Yang pơm kial tih đơ̆ng gah hơlĕch tơthu tơ đak dơsĭ pơm kơ đak akŭm tơklah asong 'bar pah jing teh hrĕng, 
EXO.14.22	kon pơlei Isơrael jur lăm đak dơsĭ, yak năm thoi kơpal teh hrĕng; na đak pĕng thoi bơnơ̆ tơ 'bar pah gah 'ma păng gah 'ngiĕo kơ lu sư.
EXO.14.23	Lu bơngai Êyiptơ druh kiơ̆ lu sư; đĭ-đăng aseh, gre aseh sư păng lu chĕp gre aseh Pharaôn, lu sư mơ̆t kiơ̆ đơ̆ng rŏng jur lăm tŏk-bŏk đak dơsĭ. 
EXO.14.24	Đơ̆ng noh lăp măng wă đĭ, Kră Yang đơ̆ng lăm jrăng hơmơ̆l păng jrăng ŭnh, lăng tơ khŭl linh bơngai Êyiptơ, pơm hloi kơ lu sư hli hơwơ̆l hơwang. 
EXO.14.25	Kră Yang pơm kơ lu jơ̆ng gre lu sư, tơplôh lu sư tŭn hor pơmat-tat gre aseh pă gơh kơdâu. Na bơngai Êyiptơ khan dih băl: Bĕ bơ̆n kơdâu weh đơ̆ng kon pơlei Isơrael, yua kơ Kră Yang tơblah bơngai Êyiptơ dŏng lu sư.
EXO.14.26	Kră Yang khan kơ Môis: Yơ̆r bĕ ti ih tơ đak dơsĭ, wă kơ đak dơsĭ lơ̆p lu bơngai Êyiptơ păng khŭl linh chĕp gre aseh lu sư. 
EXO.14.27	Thoi noh Môis yơ̆r ti sư hloi tơ đak dơsĭ, kiơ̆ pơgê oei hrôih, na đak dơsĭ hơlơ̆k klơ̆p thoi đêl, lu bơngai Êyiptơ kơdâu weh ră mă-lei Kră Yang tơlơ̆ pơlôch đĭ lu sư lăm đak dơsĭ. 
EXO.14.28	Na đak lơ̆p klơ̆p đĭ hloi khŭl linh chĕp gre aseh, hăm đĭ-đăng lu linh Pharaôn lu druh jur kiơ̆ kon pơlei Isơrael lăm đak dơsĭ, ưh kơ đei minh 'nu bu klaih.
EXO.14.29	Mă-lei lu kon pơlei Isơrael năm yak tŏk-bŏk đak dơsĭ thoi kơpal teh kông hrĕng; đak pơm bơnơ̆ pĕng gah 'ma păng gah 'ngiĕo. 
EXO.14.30	Lăm năr 'noh, Kră Yang pơklaih kon pơlei Isơrael đơ̆ng ti bơngai Êyiptơ; kon pơlei Isơrael 'bôh hnơ̆k hnăk bơngai Êyiptơ lôch cheng đak dơsĭ. 
EXO.14.31	Kon pơlei Isơrael 'bôh bơih tơdrong tih mă Kră Yang đei pơm kơ bơngai Êyiptơ, na lu kon pơlei Isơrael hli yom gơnang kơ Kră Yang păng lui kơ Môis, đĭch đam Sư.
EXO.15.1	Đơ̆ng noh, Môis păng kon pơlei Isơrael hơri 'bai 'nâu kơ Kră Yang, khan: Inh gô hơri ư-ang kơ Kră Yang, yua kơ Sư mơsêh mơyang tih. Kră Yang klơ̆m lê̆ aseh păng bơngai hao aseh lăm đak dơsĭ.
EXO.15.2	Kră Yang bơih jơhngơ̆m pran kơtang inh păng tơdrong hơri inh: Sư bơih tơ'ngla pơklaih inh. Sư Kră Yang 'Bok Kei-Dei inh, inh wă hơri ư-ang kơ Sư; Sư jơ̆ Kră Yang 'Bok Kei-Dei kơ 'bok yă inh, na inh đĭ jơhngơ̆m gô kơkuh pơyom kơ sư.
EXO.15.3	Kră Yang thoi linh tơblah; Anăn Sư Kră Yang.
EXO.15.4	Kră Yang, sư klơ̆m hŭt lê̆ bơih khŭl linh păng đĭ-đăng gre aseh; Lu yŏng linh bơngai mă Pharaôn rơih iŏk lôch hiong đĭ lăm đak dơsĭ 'Brê,
EXO.15.5	Đak jrŭ klơ̆p gom lu sư; Lu sư krăm truh tơ kơđĕl đak dơsĭ thoi minh pôm tơmo.
EXO.15.6	Ơ Kră Yang! Ti gah 'ma Ih pran kơtang mơsêh mơyang. Ơ Kră Yang! Ti gah 'ma Ih pơrăm boih lu linh ayăt.
EXO.15.7	Hăm tơdrong pran kơtang mơsêh mơyang tih krưp Ih, pơrăm boih lu bơngai blah Ih; tơdrong Ih hil mĭl, Soh pơrăm lu sư thoi ŭnh sa hơnong ba.
EXO.15.8	Hơyuh đơ̆ng 'bơ̆r Ih tơthu bơ̆ lê̆ đak khơ̆t tŏk thoi bơnơ̆; Anih đak jrŭ jing arăng lăm đak dơsĭ.
EXO.15.9	Linh ayăt khan: Bơ̆n druh, bơ̆n gô druh tam, Bơ̆n gô hiôk asong băl tơmam đơ̆ng bơ̆n blah iŏk; Inh toh đao gưm pơlôch lu sư.
EXO.15.10	Ih tơthu kial lĕch, kial đơ̆ng Ih đak dơsĭ lơ̆p lê̆ lu sư boih; lu sư krăm thoi kơtuăl bơlơ̆k tơ kơđĕl đak jrŭ.
EXO.15.11	Ơ Kră Yang! Lăm lu yang bu yang, thoi Ih? 'Lơ̆ng rơgoh, mơsêh mơyang, mă đei ư-ang, Trŏ kơ hli, trŏ kơ pơyom, gơh pơm dôm tơdrong hlĭch chrơp.
EXO.15.12	Ih yơ̆r ti 'ma Ih, Teh 'bŭ klơ̆p lê̆ lu sư.
EXO.15.13	Hăm jơhngơ̆m Ih 'mêm mơnat sĭt dui anhăk kon pơlei 'nâu mă Ih đei huai iŏk boih; Ih yua tơdrong pran kơtang pơgơ̆r lu sư wih tơ anih 'lơ̆ng rơgoh mă Ih oei.
EXO.15.14	Lu adrĕch bơngai tơmoi, lu sư hli tơtơ̆. Kon pơlei Philistin hli krưp tih tơpă.
EXO.15.15	Lu kră pơgơ̆r Eđôm hli tơrơ rŭng răng dêh. Dôm lu kră pơgơ̆r char Môap dai hli tơtơ̆; Đĭ-đăng kon pơlei lăm char Kanaan jơhngơ̆m rŭng răng đĭ.
EXO.15.16	Tơdrong hli tơrơ dêh truh tơ lu sư; Ơ Kră Yang! Kơkŏng ti pran kơtang Ih. Lu sư jing kơmlo nhen thoi tơmo, Tơ̆p mă truh layơ kon pơlei Ih yak hlôi; Tơ̆p mă truh kon pơlei mă Ih huai iŏk boih yak hlôi đĭ.
EXO.15.17	Ơ Kră Yang! Ih gô ba lu sư mơ̆t păng pơtăm lu sư tơ kơpal kông Ih. Ơ Kră Yang; anih Ih đei hơmet boih, wă pơm anih Ih oei, Ơ Kră Yang! Anih 'lơ̆ng rơgoh mă ti Ih đei pơjing boih.
EXO.15.18	Kră Yang gô pơgơ̆r ling-lang, hlŏng hloi.
EXO.15.19	Kơplah aseh Pharaôn, gre aseh sư, hăm lu bơngai chĕp gre aseh sư, đak dơsĭ klơ̆p lê̆ lu sư boih. Kră Yang iŏk đak dơsĭ klơ̆p tơ kơpal lu sư, Mă-lei gah kon pơlei Isơrael năm rok tŏk-bŏk đak dơsĭ thoi năm tơ kơpal teh hrĕng. 
EXO.15.20	Miriam mŏ Arôn bơngai drŏ-kăn khan lê̆ adrol păng lu drŏ-kăn dai kiơ̆, đơ̆ng rŏng chĕp hơgơ̆r iĕ suang rah. 
EXO.15.21	Miriam hơri tơl lu sư: Hơri ư-ang bĕ kơ Kră Yang, yua kơ Sư mơsêh mơyang tih hloh. Sư klơ̆m lê̆ aseh păng bơngai hao aseh lăm đak dơsĭ.
EXO.15.22	Môis chông kon pơlei Isơrael năm đơ̆ng đak dơsĭ 'brê, lu sư năm truh tơ tơmăn glă Sur; pêng năr kơ trong năm lăm tơmăn glă, chă đak ưh kơ đei. 
EXO.15.23	Wă truh tơ Mara đei đak, mă-lei đak tơ noh tăng, nhă ưh kơ gơh na anih 'nâu đe krao Mara.a 
EXO.15.24	Kon pơlei pơma jŏk kơ Môis khan: Lu nhôn wă nhă kiơ.
EXO.15.25	Môis krao apinh Kră Yang; Kră Yang tơ'bôh ăn kơ sư minh pôm dơng 'long, sư iŏk klơ̆m lăm đak, na đak jing 'lơ̆ng. Na tơ noh, Kră Yang ăn tơdrong juăt hăm tơdrong tơtă ăn kơ kon pơlei păng tơ noh sư pơlong lăng lu sư. 
EXO.15.26	Sư khan: Tơdah iĕm mơ̆ng nơ̆r Kră Yang 'Bok Kei-Dei, pơm 'lơ̆ng tơpăt 'bơ̆t anăp Inh tơdah iĕm mơ̆ng nơ̆r tơtă păng wei răk dôm tơdrong juăt Inh, lei Inh ưh kơ đei tuh kơ iĕm minh tơdrong jĭ jăn mă inh tuh ăn boih kơ dêh Êyiptơ; Inh boih Kră Yang, tơ'ngla pơklaih iĕm đơ̆ng jĭ jăn.
EXO.15.27	Lu kon pơlei truh tơ Êlim; tơ noh đei mơjĭt-'bar tŏ tu đak mơlĕch păng tơpơh-jĭt 'long gol, kon pơlei oei pơdơh, jê̆ đak noh.
EXO.16.1	Lăm năr mơjĭt-pơđăm khei 'bar, đơ̆ng rŏng kơ lĕch đơ̆ng dêh Êyiptơ, lu bơngai Isơrael lĕch đơ̆ng anih Êlim năm truh tơ tơmăn glă Sin oei tŏk-bŏk Êlim păng Sinai. 
EXO.16.2	Lu bơngai Isơrael hil jŏk kơ Môis păng Arôn tơ tơmăn glă, 
EXO.16.3	Lu bơngai Isơrael khan kơ bre sư: Ô! Kơtrơ̆m lu nhôn jah lôch lăm tơpang ti Kră Yang tơ dêh Êyiptơ đĕch, kơplah oei jê̆ gŏ 'nhĕm păng sŏng sa phĭ! Mă-lei măr iĕm chông ba lu nhôn năm tơ tơmăn glă 'nâu wă kơ lu nhôn lôch đĭ kơ pơngot.
EXO.16.4	Kră Yang khan kơ Môis: Inh gô ăn 'bĕng đơ̆ng plĕnh jur thoi 'mi kơ lu iĕm. Kon pơlei gô năm rim năr dônh, dônh tôm mah sa kơ năr 'noh, Inh wă pơlong lăng lu sư hăm đei pơm kiơ̆ thoi Inh athei dah ưh. 
EXO.16.5	Truh năr mă tơdrâu, kon pơlei gô dônh lơ hloh 'bar wơ̆t kơ lu sư juăt kơ dônh rim năr.
EXO.16.6	Thoi noh Môis păng Arôn khan kơ đĭ-đăng kon pơlei Isơrael: Gơsơ̆ kơnh lu iĕm gô băt kơ Kră Yang dui ba lu iĕm lĕch đơ̆ng dêh Êyiptơ,
EXO.16.7	Na pơgê dơning lu iĕm gô 'bôh tơdrong ư-ang tih Kră Yang, yua kơ Sư kơtơ̆ng boih nơ̆r lu iĕm hil jŏk kơ Sư, lu nhôn âu bu na mă lu iĕm mah hil jŏk kơ lu nhôn? 
EXO.16.8	Môis khan dơ̆ng: Lu iĕm gô 'bôh Kră Yang ăn 'nhĕm sa kơsơ̆ 'nâu, 'bĕng sa pơgê dơning, yua kơ Kră Yang kơtơ̆ng boih nơ̆r lu iĕm hil jŏk kơ Sư. Lu nhôn âu bu? Dôm nơ̆r lu iĕm hil jŏk ưh kơ trŏ kơ hil jŏk kơ lu nhôn ôh, mă tơpă noh iĕm hil jŏk kơ Kră Yang.
EXO.16.9	Môis khan kơ Arôn: Khan bĕ kơ đĭ-đăng kon pơlei Isơrael: Năm jê̆ 'bơ̆t anăp Kră Yang, yua kơ Sư kơtơ̆ng boih nơ̆r lu iĕm jŏk hil. 
EXO.16.10	Kơplah Arôn oei pơma hăm kon pơlei Isơrael, lu sư lăng tơ gah tơmăn glă, 'bôh tơdrong ư-ang rang hơdah tih Kră Yang tơ hơmơ̆l. 
EXO.16.11	Kră Yang khan kơ Môis: 
EXO.16.12	Inh kơtơ̆ng boih nơ̆r kon pơlei Isơrael hil jŏk. Na ih athei khan kơ lu sư: Gơsơ̆ kơnh lu iĕm gô sa 'nhĕm hrăp; pơgê dơning lu iĕm gô sa 'bĕng phĭ rơkah; na lu iĕm gô băt Inh boih Kră Yang 'Bok Kei-Dei lu iĕm.
EXO.16.13	Lăp truh kơsơ̆, đei sem wăt jruh kôp 'bĕnh jơ̆p kơ anih; truh pơgê dơning đei tŭk gom jơ̆p kơ anih lu sư pơdơh. 
EXO.16.14	Wă tŭk đak ngom noh hach boih, kơpal teh tơ tơmăn glă 'bôh đei kiơ iĕ, hmŏng thoi prĕl. 
EXO.16.15	Lăp kon pơlei Isơrael 'bôh tơmam noh, lu sư apinh dih băl: Kiơ 'noh? Yua kơ lu sư ưh kơ băt ôh tơmam 'noh yă kiơ. Môis khan kơ lu kon pơlei: “'Noh 'bĕng mă Kră Yang ăn kơ lu iĕm sa.
EXO.16.16	'Nâu tơdrong Kră Yang tơtă: ‘Rim 'nu lu iĕm athei dônh 'bĕng noh tôm kơ mah sa năr noh, minh ômera kơ rim 'nu, kiơ̆ kơ mah sa rim 'nu bơngai lăm bơsŭn iĕm dôm yơ.
EXO.16.17	Kon pơlei Isơrael pơm hloi thoi noh; phŏ bơngai dônh lơ, mơ'nah bơngai dônh tŏ sĕt, 
EXO.16.18	Lu sư kŏng hăm ômer, bu dônh lơ kư̆m ưh kơ rơkah, bu dônh tŏ sĕt kư̆m huay ưh kơmah, rim 'nu bơngai dônh lăp kơ sa mah.
EXO.16.19	Môis khan kơ lu sư: 'Nĕ kơ 'măn lê̆ truh pơgê.
EXO.16.20	Mă-lei mơ'nah lu sư ưh kơ mơ̆ng ôh nơ̆r Môis; đei bơngai 'măn truh tơtil pơgê; na đei hrai păng 'bâu ôm. Na Môis hil kơ lu sư. 
EXO.16.21	Na rim pơgê rim 'nu bơngai dônh lăp mah kơ sư sa; lăp truh 'năr tŏ boih na tơmam noh hach đĭ. 
EXO.16.22	Truh năr tơdrâu, kon pơlei dônh tơmam sa pơhloh lê̆ 'bar; rim bơngai 'bar ômer. Lu bơngai kră pơgơ̆r năm roi kơ Môis. 
EXO.16.23	Sư tơl khan: 'Noh nơ̆r Kră Yang tơtă boih: Dơning jing năr pơdơh, năr Sa'bat 'lơ̆ng rơgoh ăn kơ Kră Yang, phang bĕ tơmam kiơ lu iĕm wă phang, pai bĕ tơmam kiơ lu iĕm wă pai; oei wă 'măn lê̆ truh tơ pơgê dơning.
EXO.16.24	Thoi noh kon pơlei 'măn lê̆ hloi truh tơ pơgê dơning, rok thoi Môis đei tơtă; tơmam 'noh ưh kơ đei ôm ôh păng kư̆m ưh kơ đei hrai sa. 
EXO.16.25	Môis khan: Năr 'nâu sa bĕ tơmam 'noh, yua kơ năr 'nâu năr Sa'bat Kră Yang; năr 'nâu lu iĕm chă ưh kơ đei ôh tơmam noh tơ kơpal teh. 
EXO.16.26	Lu iĕm dônh lăm tơdrâu năr; mă-lei năr mă tơpơh năr Sa'bat, ưh pă đei 'bĕng noh ôh.
EXO.16.27	Năr tơpơh đei lu bơngai lăm kon pơlei lĕch wă chă dônh 'bĕng noh, mă-lei lu sư chă ưh kơ 'bôh ôh. 
EXO.16.28	Kră Yang khan kơ Môis: Lu iĕm ưh kơ chu yom wei răk nơ̆r tơtă păng khôi juăt Inh dĭng truh dang yơ dơ̆ng?
EXO.16.29	Athei tơchĕng lăng, Kră Yang ăn boih kơ lu iĕm năr Sa'bat; na lei, truh năr tơdrâu Kră Yang ăn kơ lu iĕm 'bĕng sa mah kơ 'bar năr. Wă kơ rim 'nu bơngai athei oei kơtă anih kơdih, ưh kơ gơh bơngai bu lĕch tơ 'nguaih ôh lăm năr tơpơh. 
EXO.16.30	Thoi noh, năr tơpơh kon pơlei pơdơh.
EXO.16.31	Adrĕch adrung Isơrael krao anăn tơmam sa 'nâu mana;b sư thoi găr hla ngo, kok, sa 'ngam thoi 'bĕng pơm hăm đak sut. 
EXO.16.32	Môis khan: 'Nâu nơ̆r Kră Yang tơtă: Athei tah mong lê̆ minh ômer mana, wă kơ đĭ-đăng bơngai rim jơhnơr 'bôh 'bĕng Inh 'me lu iĕm tơ lăm char glă, kơplah Inh chông tơlĕch lu iĕm đơ̆ng dêh Êyiptơ. 
EXO.16.33	Môis khan kơ Arôn: Athei iŏk minh pôm gĕl tah mong minh ômer mana, pơdơ̆ng lê̆ 'bơ̆t anăp Kră Yang, wă wei răk truh tơ jơhnơr đơ̆ng rŏng.
EXO.16.34	Kiơ̆ thoi Kră Yang tơtă kơ Môis, Arôn pơdơ̆ng get 'noh 'bơ̆t anăp hom tơdrong pơgơ̆p. 
EXO.16.35	Kon pơlei Isơrael sa mana lăm puăn-jĭt sơnăm, tơ̆p truh tơ lu sư mơ̆t oei tơ dêh Kanaan. 
EXO.16.36	Na, ômer jơ̆ minh lăm mơjĭt êpha.c
EXO.17.1	Đĭ-đăng bơngai Isơrael năm tơ âu, tơ to đơ̆ng char glă Sin, năm kiơ̆ thoi nơ̆r Kră Yang đei tơtă kơ lu sư, na lu sư oei pơdơh tơ Rêphiđim: Tơ noh ưh kơ đei đak nhă ôh kơ kon pơlei. 
