GEN.1.1	Di katbuan, Dwata mimò langit na banwe. 
PRO.30.26	knean gmagan ale mimò i gumnèla di gunun batu,
PRO.30.27	i dad tlangas, balù landè malak dale,
PRO.30.27	knean stadol ale mayeng,
PRO.30.28	na i dad tikì balù fakay kanfè i kmalam,
PRO.30.28	knean mnè ale di gumnè i dad harì.
PRO.30.29	Nun tlu fye neye i kagula, du fulung ale magu,
PRO.30.29	nun fat kadì,
PRO.30.30	kagu i liyun labè di kdee lmanaf,
PRO.30.30	na landè klikoan,
PRO.30.31	kagu i masel smagégél i tinefen,
PRO.30.31	kagu i lagi kambing fdadong di libun kambing,
PRO.30.31	na kagu i harì di muna i dad sundalun.
PRO.30.32	Ku lmenam fdatah, du là ge fulung faldam,
PRO.30.32	demen tafandamam i kiboam mimò sasè,
PRO.30.32	tanlagam ani na fandamam i gukel i dad nimò gambet ani.
PRO.30.33	Ku mlo kanligongam gatas msut i tabè,
PRO.30.33	na i ilung, ku snuntukam mlitè,
PRO.30.33	salngad i klabè, ku ninitam mbaling nun samuk.
PRO.31.1	Ani i dad gman Harì Lémwél mdà di banwe Masa, i tdò yéan,
PRO.31.1	na man yéan di kenen manan,
PRO.31.2	“E tingàgu, linge Dwata i kdasalgu, taman blén ge di deg,
PRO.31.2	na ani fngewegu ge.
PRO.31.3	Nangam sa falmo i kgalam na filakam di dad libun,
PRO.31.3	du én gafalmo ge, na balù dad harì tagafalmola.
PRO.31.4	Fanlingem agu Lémwél,
PRO.31.4	là gablà di dad harì, ku demen dad dademe ulu
PRO.31.4	ku too ale mayè minum i dad gamlangal,
PRO.31.5	du ken di kinumla glifetla i dad flalò,
PRO.31.5	na là ale kadang mimò i matlu nimò di dad to nun klidù.
PRO.31.6	Kabay fakay finumam tukay di dad to tafan mati,
PRO.31.6	demen i dad to too msamuk i nawala di klidùla,
PRO.31.7	du fye glifetla i klandèla na i klidùla.
PRO.31.8	Nsenam i dad to landè kibò msen i ktola,
PRO.31.8	na tnabengam i dad to landè kibò tmabeng i ktola.
PRO.31.9	Nsenam i dad to landè na tanlum i kukumam dale
PRO.31.9	na tnabengam i dad to landè na i dad to too nun klidù.”
PRO.31.9	Ani gman i yê Harì Lémwél di kenen.
PRO.31.10	Malima mite libun nun yaan too fye ldam,
PRO.31.10	na bay ku nun teenam,
PRO.31.10	mabtas fa kenen di too mabtas kas.
PRO.31.11	I yaanan too smalig di kenen,
PRO.31.11	na landè gukulangan.
PRO.31.12	Klo i libun ani mnè di tah tanà,
PRO.31.12	too fye kiboan yaanan,
PRO.31.12	na landè sasè nimoan di kenen.
PRO.31.13	Too malgad kenen mimò klaweh
PRO.31.13	mdà di bul bilibili.
PRO.31.14	Gal matun kakaanan di gumawag banwe,
PRO.31.14	na neben di gumnean,
PRO.31.14	salngad nimò i kafal
PRO.31.14	gal mebe kakaan mdà di gumawag banwe.
PRO.31.15	Di là fa mwal mték kenen
PRO.31.15	du nimoan knaan i malayan,
PRO.31.15	na dekan dad saligan libun mimò dademe nimò.
PRO.31.16	Salu kenen di satu tanà du neyen, na bnayadan,
PRO.31.16	na fagu di filak gwean mdà di nimoan, bayadan bnê du fanlan i tanà én.
PRO.31.17	Too mayè kenen mimò na too malgad,
PRO.31.17	na nun kgalan di dad nimoan.
PRO.31.18	Gadean i kabtas kdee nimoan,
PRO.31.18	na balù kifu mimò kenen.
PRO.31.19	Mimò kenen sinulib na mabal klawehla.
PRO.31.20	Too kenen mayè mlé di dad to landè
PRO.31.20	na di dad to nun klidù.
PRO.31.21	Kel i bang katno, landè klikoan,
PRO.31.21	du tanun klawehla fatlagadan.
PRO.31.22	Nimoan dad kayabla,
PRO.31.22	na too fye bung klawehan
PRO.31.22	na too fye baweh i batakan. 
PRO.31.23	I yaanan too mdengeg,
PRO.31.23	du kenen satu ulu di banwela.
PRO.31.24	I fye libun ani, gal mimò i klaweh na fablin,
PRO.31.24	na mimò dad galing, du fablin di dad to gal fabli.
PRO.31.25	Too kenen mgal, na too mgafè,
PRO.31.25	na landè klikoan balù tan kel di dale.
PRO.31.26	Ku talù kenen dileam i kfulungan,
PRO.31.26	na too glut i katdoan.
PRO.31.27	Too kenen mimò,
PRO.31.27	na toon nifat malayan di dad klidùla.
PRO.31.28	Too mabtas kenen di dad ngaan,
PRO.31.28	na dnayen kenen i yaanan,
PRO.31.29	manan, “Nun dee dad libun fye,
PRO.31.29	bay ge too mdatah di kdee.”
PRO.31.30	I fye kalyak i libun slaan là glut, na i kafye bawehan mlal lana,
PRO.31.30	bay i libun too nun klikò di Dwata too magdayen.
PRO.31.31	Blé di libun ani i untung di kdee fye nimoan,
PRO.31.31	na mdà di fye nimoan, dnayen kenen kdee dad to.
JON.1.1	Na satu duh nun man Dwata i Amu di ku Dyona i tingà lagi Amitay, manan, 
JON.1.2	“Mdà ge salu ditù di bong syudad Ninibi, na tulenam di dad to tagadègu i kdee dad sasè mgimòla.”
JON.1.3	Kabay én baling gusalu Dyona di Sfén, i banwe too mawag di Ninibi, du nilan Dwata i Amu. Salu kenen funa di banwe Dyofa, na déén gumiten i satu aweng fan mdà salu di Sfén. Na di kbayadan i flétin, myak kenen di aweng gagin di dad mebe i aweng, na maweng salu di Sfén, du nilan Dwata i Amu.
JON.1.4	Kabay febe Dwata i Amu i bong mgal nus di tah i mahin, na du kel i bong sasè mahin fan malbà i aweng. 
JON.1.5	Na i dad to mebe i aweng ani, too ale likò. Taman kat satu dale tamlo mni tabeng di dad dwatala.
JON.1.6	Na i kafitan i mebe i aweng, mnaul di lam, na mukat ku Dyona, manan, “Tan i kagkudangam, bong sasè i mahin ani. Mték ge, na fnim tabeng di dwatam, ken kandon ito na là ito gafles mati.”
JON.1.7	Na sanman i dademe mebe i aweng, manla, “Neyeito sa kun ku simto i gumdà i bong sasè mkel di gito.” Na fagu di kasbunut gadèla Dyona gumdà i sasè mkel di dale.
JON.1.8	Taman snalekla Dyona, manla, “Tulenam gami tan i nimoam duen nun kaflayammi ani? Tan i duenam dini? Tan i banwe gumdaam? Na tan bung to ge?” 
JON.1.9	Na tnimelan ale, manan, “Deg sa to Hibru, na i fnangamfùgu Dwata i Amu, i Dwata di langit, i mimò i mahin na tanà.” 
JON.1.10	Na tulenan dale fa gablà di kilan i Dwata i Amu.
JON.1.10	“Tay ge, too sasè i nimoam.” 
JON.1.11	Na baling matnù i kalbang i lwek, taman snalekla Dyona, manla, “Tan i kibòmi ge, du fye fanak i mahin.” 
JON.1.12	Na man Dyona, “Batyu agu ditù di mahin, na manak kadang i mahin, du gadègu mdà di sasè nimògu gakuf gamu di ksasè mahin ani.”
JON.1.13	Kabay balingla too fangal kamwa fye gafat ale di kilil mahin, bay làla gagan dun, du too mgal fa i lwek na i nus.
JON.1.14	Na kafnge ani, tamlo ale di glut Dwata, manla, “E Dwata i Amu, kandom gami. Nangam ku gami i gumlém salà kadang di kfati i to ani, du ise gami salà, du ge Dwata i Amu tamgimoam i knayeam.”
JON.1.15	Na kafnge én, batla Dyona di mahin, na manak sa.
JON.1.16	Na ani gumdà i bong klikòla di Dwata i Amu, taman damsù ale na nun dad fakangla di kenen.
JON.1.17	Na di kagbatla ku Dyona ditù di mahin, tanun fatlagad Dwata i Amu bong nalaf du faflo ku Dyona. Na tlu butang i klo Dyona di lam tien i nalaf.
JON.2.1	Na di lam i bong nalaf, dmasal Dyona di Dwata i Amun, 
JON.2.2	manan,
JON.2.2	“Di lam i bong kaflayamgu tamlo agu ge, Dwata i Amu
JON.2.2	na tatnimelam agu.
JON.2.2	Na mdà di gumnè i dad to mati tamlo agu ge du ftabeng,
JON.2.2	na tafanlingem agu.
JON.2.3	Tafbatam agu di lam i mahin,
JON.2.3	ditù di too gumngalaman,
JON.2.3	na sanlibut agu slil,
JON.2.3	na maglimun agu i dad malbang lwekam.
JON.2.4	Man nawagu tafalwaam agu di munam,
JON.2.4	na talàgu lêman teen
JON.2.4	i Bong Gumneam.
JON.2.5	I lwek di mahin mlimun deg na fan agu saif,
JON.2.5	maglimun agu mahin,
JON.2.5	na i lamun glabéd di ulugu.
JON.2.6	Ditù agu di gugafdak i dad bulul di gumngalaman,
JON.2.6	ditù di lam di banwe gumilanggù dad to mati, na landè gugalwàgu.
JON.2.6	Kabay Dwata i Amu, i Dwatagu
JON.2.6	tafalwaam agu di kfati.
JON.2.7	Di klandè imen nawagu ku mto agu,
JON.2.7	gafaldamgu ge, Amugu
JON.2.7	na too agu dmasal di ge,
JON.2.7	na ditù di Bong Gumneam talingem agu.
JON.2.8	I dad to mangamfù di dad ise glut dwata landè gukmamu,
JON.2.8	taknagolla i kafye mdà di Dwata i Amu.
JON.2.9	Kabay deg, kadang mlingag agu dmayen ge,
JON.2.9	na mangamfù agu di ge fagu di kadsùgu,
JON.2.9	na dnohògu i fakanggu di ge,
JON.2.9	du i kagalwà mdà alò di ge Dwata i Amu!”
JON.2.10	Na kafnge i kdasal Dyona, dek Dwata i Amu i bong nalaf falwà ku Dyona. Taman lwaan kenen di kilil mahin.
JON.3.1	Na lêman talù Dwata i Amu di ku Dyona, manan, 
JON.3.2	“Salu ge ditù di bong syudad Ninibi, na tulenam di dad to i tagmangu di ge.”
JON.3.3	Taman mimen Dyona i gman Dwata i Amu, na salu kenen ditù di Ninibi. Na Ninibi ani satu bong syudad du tlu duh i klo mifal dun. 
JON.3.4	Na sduh Dyona magu di syudad ani, na kafnge én, tambù nan kenen samtulen i gman Dwata i Amu, manan, “Takubu i fat falò butang ani, falmo Dwata i Amu banwe Ninibi.”
JON.3.5	Na i dad to mdà di Ninibi, faglut ale i gman Dwata fagu di ku Dyona. Taman sanmanla, “Fwasa ito.” Na kdeela mdà di mdatah to kel di mdanà to lamsak i klaweh mgimò mdà di saku, du fitela i ksalla i dad salàla.
JON.3.6	Na di kaklinge i harì di Ninibi i gman Dwata i Amu, mnaul kenen di gusudeng i gumdatah, na nlusan i klaweh i harì, na lsakan i saku na sudeng di abu, du fiten i ksalan.
JON.3.7	Na kafnge én, fangadè i harì na i dademe mebe i banwe Ninibi i kdee dad to, manla, “Nang gamu kmaan ku demen minum, na balù i dad lmanafyu nangyu fankaan na finum. 
JON.3.8	Kdeeyu lamsak i klaweh saku, na balù i dad lmanafyu fnalsakyu. Na kat man satu gamu dmasal di Dwata i Amu na tmagak i dad sasè ldamyu na dad sasè mgimòyu. 
JON.3.9	Ani i fye nimoito, du ken kandonito, na matlas i fandaman, na talaan flabè gito, du fye là ito mati.” 
JON.3.10	Na di kite Dwata i Amu i nimòla na i ktagakla i dad sasè ldamla, tanlasan i fandaman na laan fnadlug i gmanan gablà di kafalmon dale.
JON.4.1	Na di katlas Dwata i Amu i fandaman là gaflehew ku Dyona, bay baling gumdaan too flabè. 
JON.4.2	Taman, dmasal kenen, manan, “E Dwata i Amu, mangu di làgu fa mdà di banwegu, ani i klikògu di ge ku matlas i fandamam. Én duen agu mayè mila ditù di Sfén, du gadègu too ge fye, na là mgili i kakdom, na nun ktahà i nawam, na too mula katlasam i fandamam di kafalmom i dad to. 
JON.4.3	Taman Dwata i Amu, nweam i nawagu, du fye fa baling ku mati agu.”
JON.4.4	Kabay tmimel Dwata i Amu, manan, “Fandamam, landè duenam flabè.”
JON.4.5	Taman mdà Dyona lamwà di syudad gsen di gusut i duh, na sudeng kenen. Na ditù nimoan i tukay gufsilungan na sudeng di gugalungan du fatanan ku tan i mkel di Ninibi.
JON.4.6	Na nun ftabò Dwata i Amu walad nun doon, na falnokan di tah Dyona fye nun gamsalung kenen, du fye gamlé kenen kafye nawan. Na walad ani too gaflehew ku Dyona.
JON.4.7	Kabay di ksut i duh, dek Dwata i Amu satu safat du kmaan foon i walad, taman mlanas i doonan, na mati.
JON.4.8	Na di kneng i duh, fbal Dwata i Amu i nus mdà di gusut i duh, na too bong kinitan, taman fan mtafì Dyona mdà di kinit i duh too mneng di tah ulun. Taman kayean ku mati, na manan, “Fye fa baling ku mati agu.”
JON.4.9	Kabay man Dwata i Amu di kenen, manan, “Fandamam, landè duenam flabè gablà di walad gamsalung ge.”
JON.4.9	“Too agu flabè fye fa ku mati agu.”
JON.4.10	Na man Dwata i Amu, manan, “Walad ani ftabògu na falnokgu di alò sbutang, na di tmadol butang mati. Landè sa flayamam ftabò na falnok dun, bay knean bong i kakdom dun. 
JON.4.11	Kabay mdatah fa di walad i kakdogu i dad to di banwe Ninibi, du nun mlukas mlatu lwe falò libu dad ngà i là mimò sasè, na nun fa dad lmanaf. Taman làgu falmo dun.”
MAT.1.1	Ani gugsulat i gutambul Dyisas Krayst, i bel Harì Dabid, na i bel Abraham di muna fa.
MAT.1.2	Abraham i mà Isaak, Isaak i mà Dyékob, Dyékob i mà Dyuda na dad flanekan, 
MAT.1.3	Dyuda i mà Féris na Sérah, na i yêla dunan Tamar. Féris i mà Hésron, Hésron i mà Ram, 
MAT.1.4	Ram i mà Aminadab, Aminadab i mà Nason, Nason i mà Salmon, 
MAT.1.5	Salmon i mà Boas, na i yê Boas dunan Rahab, Boas i mà Obéd, na i yê Obéd dunan Ruth. Obéd i mà Dyési,
MAT.1.6	Dyési i mà Harì Dabid, Dabid i mà Solomon, na i yê Solomon dunan i yaan Uraya. 
MAT.1.7	Solomon i mà Rihoboam, Rihoboam i mà Abadya, Abadya i mà Asa, 
MAT.1.8	Asa i mà Dyihosafat, Dyihosafat i mà Dyoram, Dyoram i mà Usaya, 
MAT.1.9	Usaya i mà Dyotam, Dyotam i mà Ahas, Ahas i mà Hésékaya, 
MAT.1.10	Hésékaya i mà Manasi, Manasi i mà Amon, Amon i mà Dyosaya, 
MAT.1.11	Dyosaya i mà Dyékonaya na dad flanekan lagi. Di bang atù i kagakfè na kgebe i dad to mdà di banwe Israél ditù di banwe Babilon.
MAT.1.12	Di kakella di Babilon, mngà Dyékonaya, na i tingaan dunan Saltiyél. Na Saltiyél i mà Sorubabél, 
MAT.1.13	Sorubabél i mà Abayud, Abayud i mà Ilaykim, Ilaykim i mà Asor, 
MAT.1.14	Asor i mà Sadok, Sadok i mà Akim, Akim i mà Ilayud, 
MAT.1.15	Ilayud i mà Éliasar, Éliasar i mà Matan, Matan i mà Dyékob, 
MAT.1.16	Dyékob i mà Dyosif, i yaan Méri, yê Dyisas i dnagitla Krayst, i To Mgalék Dwata.
MAT.1.17	Na masdagub nun sfalò fat gumastugad i bel mdà di ku Abraham kel di ku Harì Dabid. Na mdà di ku Harì Dabid kel di kgebe i dad to mdà di Israél salu di Babilon, sfalò fat gumastugad i bella. Na mdà di kgebe dale salu di Babilon kel di ksut Krayst, i To Mgalék Dwata, nun sfalò fat gumastugad i bella.
MAT.1.18	Ani i santulen gablà di ksut Dyisas Krayst. Yéan, Méri, bliwal satu to dnagit Dyosif, bay di là ale fa sdeme gadean tamaltien kenen fagu di Mtiu Tulus Dwata. 
MAT.1.19	Na du Dyosif i to matlu, laan mayè ku fyaan Méri di muna i dee dad to, taman én fandaman, kahan Méri di landè to gmadè dun. 
MAT.1.20	Kabay di slengan faldam ani, gkudang kenen, na nun kasaligan Dwata msut di kenen fagu di knan, na manan, “E Dyosif, bel Harì Dabid, nang ge likò fasdeme ku Méri, du i kaltienan fagu sa di Mtiu Tulus. 
MAT.1.21	Mngà kenen lagi kadang, na i dagitam kenen, Dyisas, du kenen i to falwà i dad ton mdà di dad salàla.”
MAT.1.22	Na mkel kdee ani, du fye gdohò i gman Dwata fagu di satu tugadan, manan, 
MAT.1.23	“Nun kadang satu sawang libun maltien, na mngà kenen lagi. Na én katlola kenen, Imanyuél.” I gumtatek Imanyuél, dunan, “Tadini Dwata samnagin di gito.” 
MAT.1.24	Taman di kukat Dyosif nimenan i dek kasaligan Dwata na fasdeme ku Méri. 
MAT.1.25	Kabay laan nutik Méri kel di ksut tingaan lagi. Na di ksut tingaan, én dagit Dyosif dun, Dyisas.
MAT.2.1	Na déén gusut Dyisas di tukay lunsud Bétléhém glam di banwe Dyudiya di bang i kagot Harì Hérod i banwe Dyudiya. Kafnge ksut Dyisas nun dad to too fulung meye kagu i dad blatik kel di syudad Dyérusalém mdà di banwe di gusut i duh. Na manla, 
MAT.2.2	“Tanè gumnè i tingà falami sut, én mgimò kadang harì i dad Dyu? Tateenmi di gusut i duh i blatik ilè kakelan. Taman salu gami dini du mangamfù di kenen.”
MAT.2.3	Na di kaklinge Harì Hérod tasut satu falami harì, too msamuk i nawan kel di kdee dad to di kagotan déén di Dyérusalém. 
MAT.2.4	Na én nimoan, fastifunan dad ganlal di kafaglut i dad Dyu, dunan i dad ulu i dad bà di Dwata na i dad to tamdò i dad flalò blé Dwata fagu di ku Mosis, na snalekan ale ku tanè gusut Krayst, i To Mgalék Dwata. 
MAT.2.5	Na manla, “Déén di tukay banwe dnagit Bétléhém glam di banwe Dyudiya, du ani sulat i tugad Dwata, manan,
MAT.2.6	‘Ge Bétléhém, i tukay lunsud di banwe Dyudiya,
MAT.2.6	balù too tukay ge too mdatah ge di kdee banwe di Dyudiya,
MAT.2.6	du déén di ge kadang gumdà i satu ulu,
MAT.2.6	na kenen mifat i dad togu, dad bel Israél.’ ”
MAT.2.7	Na di kaklinge Harì Hérod i gusut Krayst, fatlon i dad to too fulung meye i kagu dad blatik di landè to gmadè dun, du snalekan ale ku kilen ksut i blatik. 
MAT.2.8	Kgadean dun, dekan ale ditù di Bétléhém, manan, “Mdà gamu na tooyu fanngabal i tingà én. Na ku teenyu kenen, samfulê gamu dini du fgadèyu deg i gusablaan, du fye salu agu ditù du mangamfù di kenen.”
MAT.2.9	Na di kaklingela i gman Harì Hérod, mdà ale. Na teenla i blatik tateenla ditù di gusut i duh magu gsen di munala kel di kfanakan déén di tah i sablà gumnè i tingà. 
MAT.2.10	Di kitela i blatik, too ale lehew! 
MAT.2.11	Kakella di gumnè teenla i tingà di saféd i yéan Méri, na lkuad ale di munan du mangamfù ale di kenen. Na nukalla dad mabtas nebela du bléla di tingà, dunan blawen, na dad mabtas fangbun dnagit insénso na mira. 
MAT.2.12	Kafnge én, mulê ale di banwela, bay mahal dalanla mulê du tafgadè Dwata di dale fagu di kna na fye ku nang ale samfulê di ku Harì Hérod.
MAT.2.13	Na di kakubu i dad to fulung meye kagu dad blatik, nun kasaligan Dwata lêman msut di ku Dyosif fagu di kna, na manan, “Mték ge, nebem i tingà na yéan, na mila gamu ditù di banwe Idyif, na mnè gamu ditù, du fan fanngabal Harì Hérod i tingà ani du fnatin. Silang gamu mulê ku mangu di gamu.”
MAT.2.14	Na taman mték Dyosif na neben i tingà na yéan, du mdà ale di butang én salu ditù di Idyif. 
MAT.2.15	Na mnè ale déén kel di kfati Harì Hérod. Na fagu déén gdohò i gman Dwata fagu di satu tugadan, manan, “Tlogu tingàgu lamwà fdu di banwe Idyif.”
MAT.2.16	Na di kaglabat Harì Hérod mafgaw kenen du mdà di nimò dad to fulung meye kagu dad blatik, too kenen flabè. Taman dekan i dad ton fnati kdee dad ngà lagi falami sut kel di lwe fali i ktuala mnè di banwe Bétléhém na di dademe banwe mdadong déén. Laloan i gman dad to fulung meye kagu dad blatik ku tan i klo mdà di ksut i blatik, du én gugmadean kalnawa tingà fafatin. 
MAT.2.17	Na mdà di kfati i kdee dad ngà ani too gdohò i gman Dwata fagu di tugadan Dyérimaya, manan,
MAT.2.18	“Nun linge to di banwe Rama
MAT.2.18	kamwak na mlanu.
MAT.2.18	Nngel Rakél i dad ngaan,
MAT.2.18	na landè gamlala nawan,
MAT.2.18	du tamati dad ngaan.”
MAT.2.19	Kafnge i kfati Harì Hérod nun kasaligan msut di ku Dyosif déén di Idyif fagu di kna, na manan, 
MAT.2.20	“Mték ge, nebem i tingà na yéan, na samfulê gamu di banwe Israél, du tamati i dad to mayè mati i tingà.”
MAT.2.21	Na taman mték Dyosif, na neben i tingà na yéan mulê di banwe Israél. 
MAT.2.22	Kabay di kaklinge Dyosif, na én tlas ku Harì Hérod magot i banwe Dyudiya dunan i tingaan Arkilas, likò kenen mnè ditù di Dyudiya. Na mdà di kafngewe Dwata kenen fagu di kna, baling ale salu di banwe Galili. 
MAT.2.23	Na i gumnèla di Galili, dunan i tukay lunsud dnagit Nasarét. Na ani kagdohò i gman Dwata fagu di tugadan, manan, “I katlola kenen, to mdà di Nasarét.”
MAT.3.1	Na di file fali kubu, nun to dnagit ku Dyan Gal Munyag kel di banwe landè to mnè déén glam di banwe Dyudiya na tdoan i dad to salu déén di kenen. 
MAT.3.2	Na manan, “Msal gamu na tnagakyu dad sasè nimòyu, du tamdadong i kagot Dwata.” 
MAT.3.3	Na Dyan ani i santulen Dwata fagu di tugadan Isaya di muna fa, manan,
MAT.3.3	“Nun to tamlo di banwe landè to mnè déén, manan,
MAT.3.3	‘Fatlagadyu i dalan i Amu,
MAT.3.3	na tanluyu i gumagun.’ ”
MAT.3.4	Na i klaweh lsak Dyan dunan i bul kamél nanem, na i galingan kindal lmanaf. I knaanan tlangas na tnab. 
MAT.3.5	Na dee dad to gal salu di kenen mdà di syudad Dyérusalém, na mdà di dademe banwe glam di banwe Dyudiya, na mdà di dad banwe mdadong di yéél Dyordan. 
MAT.3.6	Na tulenla kenen i dad salàla, na bnunyag ale Dyan di bong yéél Dyordan.
MAT.3.7	Kabay di kiten nun dee dad to mdà di lwe bung fnaglut i dad Dyu dnagit Farisi na Sadusi fdadong di kenen du fan fbunyag, manan di dale, “Tay gamu! Salngad gamu i dad ulad mila mdà di lifoh. Simto kè tmulen gamu galwà gamu di flayam blé Dwata ku alò gamu fbunyag? 
MAT.3.8	Ku tamsal gamu, fiteyu i ksalyu di dad salàyu fagu di fye nimòyu. 
MAT.3.9	Nangyu man, ‘Balù ku là gami msal là gami gakuf di flayam blé Dwata, du gami bel Abraham.’ Tulengu gamu i kaglutan, balù mdà di dad batu ani gagan Dwata mimò bel Abraham ku kayean tamlas gamu. 
MAT.3.10	Na i kukum Dwata too mdadong. Ku fkahito di to mbek kayu, tadéén i balyungan di foon i kayu, du tagatlagad mbek kdee kayu là munge fye bunge, na bat di lifoh.
MAT.3.11	“I kbunyaggu ani fagu di yéél du ilè tamsal gamu, bay nun to tmadol deg too mdatah fa di deg, taman là agu gablà mebe i talumfaan, du too agu mdanà di kenen. I kbunyagan gamu fagu di Mtiu Tulus na di lifoh. 
MAT.3.12	Na santanin dad to tlu na sasè salngad fali tnaaf. Tanagotan i taaf du tmaaf, na i fali tamagtaaf busekan di folan, bay i kdee afa snakufan di lifoh landè kfatin.”
MAT.3.13	Na salu Dyisas di yéél Dyordan fdu di banwe Galili, du fbunyag ku Dyan. 
MAT.3.14	Kabay fan là mayè Dyan munyag kenen, na manan, “Gablà ku ge munyag deg. Kan ku ge baling fbunyag di deg?”
MAT.3.15	Na tmimel Dyisas, manan, “Faloham i nimòta ani, du fye gimenta i kdee knayè Dwata.” Taman nagin Dyan i knayean, na bnunyagan Dyisas.
MAT.3.16	Na di kafnge munyag, matun Dyisas mdà di yéél. Na mgukà i langit na teenan i Tulus Dwata fdanà na mdaf di kenen gambet abun. 
MAT.3.17	Na nun talù mdà di langit, manan, “Ani tingàgu, toogu kando na too fye nawagu kenen.”
MAT.4.1	Na kafnge én, nebe Tulus Dwata Dyisas salu di banwe landè to mnè déén, du fye tnilew kenen Satanas. 
MAT.4.2	Na di fat falò duh na butang là kmaan Dyisas, taman too bitil kenen. 
MAT.4.3	Na fdadong di kenen Satanas du tnilewan, na manan, “Ku ge Tingà Dwata, fanbalingam fan dad batu ani.”
MAT.4.4	Kabay tmimel Dyisas, manan, “Nun gsulat di Tnalù Dwata, manan,
MAT.4.4	‘Ise ku alò knaan gamto i to,
MAT.4.4	bay lê gamto i kat talù man Dwata.’ ”
MAT.4.5	Kafnge én, nebe Satanas Dyisas di syudad Dyérusalém na ftadagan kenen di sen tah i Bong Gumnè Dwata. 
MAT.4.6	Na manan di kenen, “Ku ge Tingà Dwata, na kamyaf ge mdà dini, du nun gsulat di Tnalù Dwata, manan,
MAT.4.6	‘Dek Dwata i dad kasaliganan mifat ge.
MAT.4.6	Snilungla ge i dad kmalla,
MAT.4.6	du fye là gtudà di batu i bliam.’ ”
MAT.4.7	Kabay tmimel Dyisas, manan, “Nun lê gsulat di Tnalù Dwata, manan, ‘Nangam tnilew Amum Dwata.’ ”
MAT.4.8	Na lêman nebe Satanas kenen ditù di satu too mdatah bulul, na fiten kenen i kdee banwe nagot i dad to di tah tanà na i bong kafyela. 
MAT.4.9	Na manan di ku Dyisas, “Blégu di ge i kdee teenam ani ku lkuad ge du mangamfù di deg.”
MAT.4.10	Kabay tmimel Dyisas, manan, “Nang ge dini Satanas! Gsulat di Tnalù Dwata,
MAT.4.10	‘Fnangamfuam Amum Dwata,
MAT.4.10	na kenen alò i nimenam.’ ”
MAT.4.11	Na tnagak kenen Satanas, na nun dad kasaligan Dwata salu di kenen du nifatla.
MAT.4.12	Na di kaklinge Dyisas tabnilanggùla Dyan Gal Munyag, samfulê kenen di banwe Galili. 
MAT.4.13	Kabay là kenen mnè di Nasarét, bay mili kenen di satu lunsud dnagit Kafernaum di kilil i bong lanaw Galili mdadong di dad banwe Sibulun na Néftali. 
MAT.4.14	Na fagu di knean déén, gdohò i gman Dwata fagu di tugadan Isaya, manan,
MAT.4.15	“I dad banwe Sibulun na Néftali,
MAT.4.15	dunan i gumnè i dad to ise Dyu,
MAT.4.15	mdadong di lanaw Galili
MAT.4.15	di faltù i yéél Dyordan.
MAT.4.16	Na i dad to déén,
MAT.4.16	balù tagnè ale mnè di gukmifun,
MAT.4.16	tamite ale i bong kalwa.
MAT.4.16	Balù mlo ale mnè di kakifu i fati,
MAT.4.16	tanun kagalwàla.”
MAT.4.17	Na mdà di bang én, tambù Dyisas tamdò, manan, “Msal gamu, na tnagakyu i dad sasè nimòyu du tamdadong i kagot Dwata.”
MAT.4.18	Na satu duh magu Dyisas di kilil i bong lanaw Galili, na teenan lwe lagi saflanek, Simon i dnagitla Fiter na Andru. Mukut ale di lanaw, du ale i dad to gal mwè nalaf. 
MAT.4.19	Na man Dyisas di dale, “Magin gamu deg, du balù ani galyu nimò meye nalaf, tdòta gamu meye i dad to du fye mlalò ale deg.” 
MAT.4.20	Na di kmanan ani, tagakla i fukutla, na magin ale kenen.
MAT.4.21	Na di slengla magu teen Dyisas lwe lagi saflanek dnagit Dyém na Dyan, i dad ngà Sébidi. Déén ale di awengla magin i màla. Tambél ale i fukutla. Na di kite Dyisas dale tlon ale du faginan, 
MAT.4.22	na tnagakla awengla na màla du magin ale ku Dyisas.
MAT.4.23	Na lamngab ale Dyisas di dad banwe glam di Galili, du tamdò kenen di dad gal gusatdò dad Dyu i Fye Tulen gablà di kagot Dwata. Na fanguléan kdee bung tduk i dad to na dad gukulang i lawehla. 
MAT.4.24	Na too mbel i santulen gablà di kenen di klamang banwe Sirya, taman nebela di kenen i kdee dad to nun dad sahal bung tduk, na dad to maflayam du mdà di sasè katduk, na dad to nun busaw, dad to bnabuy, na dad to là galyak lawehla, na fangulê Dyisas i kdeela. 
MAT.4.25	Na too dee dad to mlalò kenen, dademe mdà di Galili, na mdà di dad sfalò banwe dnagit Dikafolis, na dademe mdà di syudad Dyérusalém na mdà di klamang Dyudiya na dademe mdà di dad banwe di faltù i bong yéél Dyordan.
MAT.5.1	Na satu duh, di kite Dyisas i kdee dad to, mnagad kenen di bulul, na ditù gusudengan. Na stifun di safédan i dad to gal mlalò kenen. 
MAT.5.2	Na tambù kenen tamdò dale, manan,
MAT.5.3	“Nun kafye i dad to dmilè là ale gmagan mlalò Dwata ku ise mdà di tabengan,
MAT.5.3	du gakuf ale di kagotan.
MAT.5.4	Nun kafye i dad to mlidù,
MAT.5.4	du nlala ale Dwata.
MAT.5.5	Nun kafye i dad to fdanà i ktola,
MAT.5.5	du gdawatla i tafakang Dwata di dale.
