GEN.1.1	A tung in Pathian in lei leh van a siam.
NUM.6.7	A pa, a nu, a unaupa, a unaunu hiam sih thu ah leng a kihihnin ding ahi kei hi; Pathian adia a kihihtuamna in amah a gak ziak in. 
NUM.6.8	A kihihtuam sung teng 
NUM.6.9	A kiang ah mi hong siguih in, a kihihtuamna lutang hon hihnin kha taleh, a kisiansak ni, a ni sagih ni’n a lu a met ding ahi. 
NUM.6.10	A ni giat ni’n Kihoupihna puanin kongkhak a siampu kiang ah vakhu kopkhat hiam, vapal nou kopkhat hiam a hontawi ding ahi. 
NUM.6.11	Siampu in khat khelh thoihna ding in a lan dia, a khat pen haltum thillat ding in, misi ziak a a hihkhelhna ah kilemna a bawlsak ding. Huai ni mah in a lu a hih siangthou ding ahi. 
NUM.6.12	A kihihtuamna nite Toupa kiang a pia in khelh thoihna ding in belamnoupa kum khat a upa a hontawi ding hi. Himahleh a kihihtuamna hihnit a hihtak ziak in a mangta ding uhi.
NUM.6.13	Hiai Nazaritmi dan ahi: A kihihtuamna ni a bukim chiang in Kihoupihna puanin kongkhak a pi ahi ding. 
NUM.6.14	 adia thillat ding in belampa kum khat a upa gensiatbei haltum thillat ding in khat, khelh thoihna ding in belamnounu kum khat a upa gensiatbei khat, lemna thillat ding in belampa gensiatbei khat, 
NUM.6.15	silngou sohlouh tanghou leh tangbuang nel mahmah thau a mek tanghou leh tangbuang nel mahmah thau a mek tanghou beu leh thau a zut tanghoupek bawm khat, a tangbuang thillat ding uleh dawn thillat dingte toh a lan ding ahi.
NUM.6.16	Siampu in huaite 
NUM.6.17	Belampa pen palbawm a tanghou silngou sohlouh toh lemna kithoih thillat 
NUM.6.18	Nazaritmi in Kihoupihna puanin kongkhak ah a kihihtuamna lu a met dia, a kihihtuamna sam a ladia, lemna kithoihna thillat nuai a mei ah a haltum ding hi. 
NUM.6.19	Siampu in belampa liang huan min leh bawm a silngou sohlouh tanghou khat leh silngou sohlouh tanghou pek khat a la dia, Nazaritmi in a kihihtuamna lu a met khit in a tawisak ding hi. 
NUM.6.20	Siampu in vei thillat ding in 
NUM.6.21	Hiai ahi, Nazaritmi thuchiam dan leh 
NUM.6.23	Aron leh a tapate kiang ah, hichibang in Israel suante na vualzawl ding ahi. A kiang uah,
NUM.6.25	hon hehpih hen.
NUM.6.26	lungmuanna nou honpia hen,
NUM.6.26	chi in gen un, chi in a gen hi.
NUM.6.27	Huchibang a hih in Israel suante tung ah ka min tuansak ahi dia, amau ka vualzawl ding, a chi hi.
NUM.7.1	Mosi in biakbuk a lamkhit a, thau a nilhkhit a, a hih siangthou khit a, van tengteng leh maitam leh tuium-belsuan tengteng thaunilh a, a hih siangthou ni’n hichi ahi. 
NUM.7.2	Israel intekpen, a inkuan ua intekpente’n thillat a lan ua, huaite a nam ua intekpente, a simte uh tung a omte ahi uh. 
NUM.7.3	A thillatte uh kangtalai tung nei guk leh bawngtal sawmlehnih, intekpen nih in kangtalai khat zel, khat in bawngtal khat zel 
NUM.7.4	 Mosi a houpih a, 
NUM.7.5	Biakbuk nasepna ding in a phatuam kha ding, na la chiat un; Levite, a nasep uh dungzui zel in na pe chiat ding hi, a chi hi. 
NUM.7.6	Huchi in Mosi in kangtalaite leh bawngtalte a la a, Levite khut ah a pia hi. 
NUM.7.7	Kangtalai nih leh bawngtal li Gershon tapate a nasep uh dungzui zel in a pia hi. 
NUM.7.8	Kangtalai li leh bawngtal giat, siampu Aron tapa Ithamar, Merari tapate a nasep uh dungzui in a pia hi. 
NUM.7.9	Kohath tapate bel Mun siangthou a nasep amau a tuam hi a, a nasep uh a zawnthoh a hih ziak in a pe kei hi.
NUM.7.10	Intekpente’n thaunilh ni’n maitam latna dia a thillatte uh maitam bul ah a lan uhi. 
NUM.7.11	 Mosi kiang ah, Intekpen chih in maitam latna dia a thillat, a thillat uh amau tan hizel ding in a lan ding uhi, a chi hi.
NUM.7.12	Ni khat ni a thillat lan ding mi Judah chi Aminadab tapa Nashon ahi. 
NUM.7.13	A thillat dangkasik kuang khat, a gikdan sekel za leh sawmthum, Mun Siangthou a sekel sawmsagih toh kikim a gik, dangkasik belhbu khat, tangbuang thillat ding in thau helsa tangbuang nel mahmah a dim tuaktuak; 
NUM.7.14	Sekel sawm toh kikima gik gimlima dim dangkaeng keu khat; 
NUM.7.15	Haltum thillat ding in bawngtal tuai khat, belamtal khat, belamnoupa kum khat a upa khat; 
NUM.7.16	Khelh thoihna ding in keltal khat; 
NUM.7.17	Lemna kithoihna thillat ding in bawngtal nih, belamtal nih, belamtal nga, keltal nga leh belamnoupa kum khat a upa nga ahi a, hiaite Aminadab tapa Nashon thillatte ahi uh. 
NUM.7.18	Ni nih ni’n Issakar intekpente’n Zuar tapa Nethaneel in a lan hi. 
NUM.7.19	A thillat ding in dangkasik kuang khat a gikdan sekel za leh sawmthum, Mun Siangthou a sekel sawmsagih toh kikim a gik dangkasik belhbu khat, tangbuang thillat ding thau toh hel tangbuang nel mahmah dim tuak; 
NUM.7.20	Sekel sawm toh kikim a gik gimlim a dim dangkaeng keu khat; 
NUM.7.21	Haltum thillat ding in bawngtal tuai khat, belamtal khat, belamnoupa kum khat a upa khat; 
NUM.7.22	Khelh thoihna ding in keltal khat; 
NUM.7.23	Lemna kithoihna thillat ding in bawngtal nih, belamtal nga, keltal nga, belamnoupa kum khat a upa nga a lan hi. Hiaite Zuar tapa Nethaneel thillatte ahi uh. 
NUM.7.24	Ni thum ni’n Zebulun tate intekpen Helon tapa Eliab in a lan hi. 
NUM.7.25	A thillat dangkasik kuang khat, a gikdan sekel za leh sawmthum, Mun Siangthou a sekel sawmsagih toh kikim a gik, dangkasik belhbu khat; tangbuang thillat ding thau toh hel tangbuang nel mahmah a dim tuak; 
NUM.7.26	Sekel sawm toh kikima gik gimlima dim dangkaeng keu khat; 
NUM.7.27	Haltum thillat ding bawngtal tuai khat, belamtal khat, belamnoupa kum khat a upa khat; 
NUM.7.28	Khelh thoihna ding in keltal khat; 
NUM.7.29	Lemna kithoih thillat ding in bawngtal nih, belamtal nga, keltal nga, belamnoupa kum khat a upa nga ahi. Hiaite Helon tapa Eliab thillatte ahi uh. 
NUM.7.30	Ni li ni’n Reuben tate intekpen Sedeur tapa Elizur in a lan hi. 
NUM.7.31	A thillat dangkasik kuang khat a gikdan sekel za leh sawmthum, Mun Siangthou a sekel sawmsagih toh kikim a gik dangkasik belhbu khat, tangbuang thillat dia thau hel tangbuang nel mahmah a dimtuak; 
NUM.7.32	Sekel sawm toh kikim a gik gimlim a dim dangkaeng keu khat; 
NUM.7.33	Haltum thillat ding bawngtal tuai khat, belamtal khat, belamnoupa kum khat a upa khat; 
NUM.7.34	Khelh thoihna ding keltal khat; 
NUM.7.35	Lemna kithoihna thillat ding in bawngtal nih, belamtal nga, keltal nga, belamnoupa kum khat a upa nga ahi. Hiaite Sedeur tapa Elizur thillatte ahi uh. 
NUM.7.36	Ni nga ni’n Simeon tate intekpen Zurisadai tapa Selumiel in a lan hi. 
NUM.7.37	A thillat dangkasik kuang khat, a gikdan sekel za leh sawmthum; Mun Siangthou a sekel sawmsagih toh kikim a gik, dangkasik belhbu khat; tangbuang thillat ding in thau toh hel tangbuang nel mahmah a dimtuak; 
NUM.7.38	Sekel sawm toh kikim a gik gimlim a dim dangkaeng keu khat; 
NUM.7.39	Haltum thillat a lat ding in bawngtal tuai khat, belamtal khat, belamnoupa kum khat a upa khat; 
NUM.7.40	Khelh thoihna ding keltal khat; 
NUM.7.41	Lemna kithoih thillat ding bawngtal nih, belamtal nga, keltal nga, belamnoupa kum khat a upa nga. Hiaite Zurisadai tapa Selumiel thillatte ahi uh. 
NUM.7.42	Ni guk ni’n Gad tate intekpen Deuel tapa Eliasaph in a lan hi. 
NUM.7.43	A thillat dangkasik kuang khat, a gikdan sekel za leh sawmthum, Mun Siangthou a sekel sawmsagih toh kikim a gik dangkasik belhbu khat, tangbuang thillat ding thau toh hel tangbuang nel mahmah a dim tuak; 
NUM.7.44	Sekel sawm toh kikim a gik gimlim a dim dangkaeng keu khat; 
NUM.7.45	Halmang thillat ding bawngtal tuai khat, belamtal khat, belamnou a pa kum khat a upa khat; 
NUM.7.46	Khelh thoihna ding keltal khat; 
NUM.7.47	Lemna kithoih thillat ding bawngtal nih, belamtal nga, keltal nga, belamnoupa kum khat a upa ngate Deuel tapa Eliasaph thillatte ahi uh. 
NUM.7.48	Ni sagih ni’n Ephraim tate intekpen Amihud tapa Eliasam in a lan hi. 
NUM.7.49	A thillat dangkasik kuang khat, a gikdan sekel za leh sawmthum, Mun Siangthou a sekel sawmsagih toh kikim a gik dangkasik belhbu khat; haltum thillat ding thau toh hel tangbuang nel mahmah a dim tuak; 
NUM.7.50	Sekel sawm toh kikim a gik gimlim a dim dangkaeng keu khat; 
NUM.7.51	Haltum thillat ding bawngtal tuai khat, belamtal khat, belamnou a pa kum khat a upa khat; 
NUM.7.52	Khelh thoihna ding keltal khat; 
NUM.7.53	Lemna kithoih thillat ding bawngtal nih, belamtal nga, keltal nga, belamnoupa kum khat a upa ngate Amihud tapa Eliasam thillatte ahi uh. 
NUM.7.54	Ni giat ni’n Manasseh tate intekpen Pedazur tapa Gamaliel in a lan hi. 
NUM.7.55	A thillat dangkasik kuang khat, a gikdan sekel za leh sawmthum, Mun Siangthou a sekel sawmsagih toh kikim a gik dangkasik belhbu khat; tangbuang thillat ding thau toh hel, tangbuang nel mahmah a dim tuak; 
NUM.7.56	Sekel sawm toh kikim a gik gimlim a dim dangkaeng keu khat; 
NUM.7.57	Haltum thillat ding bawngtal tuai khat, belamtal khat, belamnoupa kum khat a upa khat; 
NUM.7.58	Khelh thoihna ding keltal khat; 
NUM.7.59	Lemna kithoihna thillat ding bawngtal nih, belamtal nga, keltal nga, belamnoupa kum khat a upa ngate Pedazur tapa Gamaliel thillatte ahi. 
NUM.7.60	Ni kua ni’n Benjamin tate intekpen Gideoni tapa Abidan in a lan hi. 
NUM.7.61	A thillat dangkasik kuang khat, a gikdan sekel za leh sawmthum, Mun Siangthou a sekel sawmsagih toh kikim a gik dangkasik belhbu khat, tangbuang thillat ding thau toh hel tangbuang nel mahmah a dim tuak; 
NUM.7.62	Sekel sawm toh kim a gik gimlim a dim dangkaeng keu khat; 
NUM.7.63	Haltum thillat ding bawngtal tuai khat, belamtal khat, belamnoupa kum khat a upa; 
NUM.7.64	Khelh thoihna ding keltal khat; 
NUM.7.65	Lemna kithoihna thillat ding bawngtal nih, belamtal nga, keltal nga, belamnoupa kum khat a upa nga ahi. Hiaite Gideoni tapa Abidan thillatte ahi uh 
NUM.7.66	Ni sawm ni’n Dan tate intekpen Amisadai tapa Ahiezer in a lan hi. 
NUM.7.67	A thillat dangkasik kuang khat, a gikdan sekel za leh sawmthum, Mun Siangthou a sekel sawmsagih toh kikim a gik dangkasik belhbu khat, tangbuang thillat ding thau toh hel tangbuang nel mahmah a dim tuak; 
NUM.7.68	Sekel sawm toh kikim a gik gimlim a dim dangkaeng keu khat; 
NUM.7.69	Haltum thillat ding bawngtal tuai khat, belamtal khat, belamnoupa kum khat a upa khat; 
NUM.7.70	Khelh thoihna ding keltal khat; 
NUM.7.71	Lemna kithoih thillat ding bawngtal nih, belamtal nga, keltal nga, belamnoupa kum khat a upa nga ahi. Hiaite Amisadai tapa Ahiezer thillatte ahi uh. 
NUM.7.72	Ni sawmlehkhat ni’n Asher tate intekpen Okran tapa Pagiel in a lan hi. 
NUM.7.73	A thillat dangkasik kuang khat, a gikdan sekel sawmthum, Mun Siangthou a sekel sawmsagih toh kikim a gik dangkasik belhbu khat, tangbuang thillat ding thau toh hel tangbuang nel mahmah a dim tuak; 
NUM.7.74	Sekel sawm toh kikim a gik gimlim a dim dangka keu khat; 
NUM.7.75	Haltum thillat ding bawngtal tuai khat, belamtal khat, belamnoupa kum khat a upa khat; 
NUM.7.76	Khelh thoihna ding keltal khat; 
NUM.7.77	Lemna kithoih thillat ding bawngtal nih, belamtal nga, keltal nga, belamnoupa kum khat upa ngate Okran tapa Pagiel thillatte ahi uh. 
NUM.7.78	Ni sawmlehnih ni’n Naphtali tate intekpen Enan tapa Ahira in a lan hi. 
NUM.7.79	A thillat dangkasik kuang khat, a gikdan sekel za leh sawmthum, Mun Siangthou a sekel sawmsagih toh kikim a gik dangkasik belhbu khat, tangbuang thillat ding thau toh hel tangbuang toh hel tangbuang nel mahmah a dim tuak; 
NUM.7.80	Sekel sawm toh kikim a gik gimlim a dim dangkaeng keu khat; 
NUM.7.81	Haltum thillat ding bawngtal tuai khat, belamtal khat, belamnoupa kum khat a upa khat; 
NUM.7.82	Khelh thoihna ding keltal khat; 
NUM.7.83	Lemna kithoih thillat ding bawngtal nih, belamtal nga, keltal nga, belamnoupa kum khat a upa ngate Enan tapa Ahira thillatte ahi uh.
NUM.7.84	Maitam thau nilh ni a Israel intekpente thillatte dangkasik kuang sawmlehnih, dangkasik belhbu sawmlehnih leh dangkaeng keu sawmlehnih ahi. 
NUM.7.85	Dangkasik kuang sekel za leh sawmthum toh kikim a gik chiat ahi a, belhbu sawmsagih chiat ahi. Dangkasik tuium-belsuan tengteng Mun Siangthou a sekel sang nih leh za li toh kikim a gik ahi. 
NUM.7.86	Gimlim a dim dangkaeng keu sawmlehnih Mun Siangthou a sekel sawm toh kikim a gik chiat ahi. Dangkaeng keu tengteng sekel za leh sawmnih toh kikim a gik ahi. 
NUM.7.87	Haltum thillat ding bawngtal tengteng sawmlehnih ahi a, belamtal sawmlehnih, belamnoupa kum khat a upa sawmlehnih, a tangbuang thillatte uh toh. Khelhna thoihna ding keltal sawmlehnih. 
NUM.7.88	Lemna kithoihna thillat ding bawngtal sawmnih leh li ahi a, belamtal bel sawmguk, keltal sawmguk, belamnoupa kum khat a upa sawmguk ahi. Hiai thau nilh khit a maitam latna dia thilpiakte ahi uh. 
NUM.7.89	Huchi in biakbuk a amah be dia Mosi a lut in thukhun bawm tung a chitna tutphah tunglam a Cherub nihte kikal apan amah hon houpih aw a za hi.
NUM.8.1	Huan, 
NUM.8.2	Aron houpih inla, a kiang ah, Khawnvak na det chiang in khawnvak sagihte’n sathau khawnvak koihna malam a tatvak ding uh ahi, chi in. 
NUM.8.3	Aron in huchibang in a hih a; 
NUM.8.4	Hiai khawnvak koihna ahihleh dangkaeng a sekthoh chi ahi a; a mung bul a kipan a paktan a sekthoh ahi. A lim 
NUM.8.6	Levite, Israel suante lak apan hihtuam inla, hihsiangthou in. 
NUM.8.7	Amaute hihsiangthou ding in hichibang in na hih ding ahi. A tung uah sawpsiangna tui sung inla, a pumpi tengteng uh metsak inla, a puante uh sawpsak inla, kihih siangthousak in. 
NUM.8.8	Bawngtal tuai khat tangbuang thillat thau toh hel tangbuang nel mahmah toh lasak inla, khelh thoihna ding in bawngtal tuai khat dang leng na kaisak ding ahi. 
NUM.8.9	Levite Kihoupihna puanin bul ah pi inla, Israel suan omkhawm tengteng ki gawmkhawm sakvek in. 
NUM.8.10	Levite 
NUM.8.11	Huchi in Aron in Levite, 
NUM.8.12	Levite’n bawngtalte lutung ah a khut uh a nga ding ua; Levite adia kilemna bawlna ding in, khat, khelh thoihna ding in, a khat pen haltum thillat ding in 
NUM.8.13	Levite Aron leh a tapate ma ah na omsak dia, 
NUM.8.14	Huchibang in Israel suante lak apan Levite na hihtuam dia, huchi in Levite kei a ahi ding uh. 
NUM.8.15	Huaikhit in Levite Kihoupihna puanin nasem ding in a lut ding ua, nang amaute na hihsiangthou ding, vei thillat ding in na lan ding ahi. 
NUM.8.16	Israel suante lak apan kei a tuam dia seh ahi ngal ua. Sul hong tengteng, Israel suante ta masapen teng tang in kei ading in ka neita hi. 
NUM.8.17	Israel suante lak a ta masapente, mihing toh ganta toh kei a ahi him uhi. Aigupta gam a ta masapente ka sihsak lai in kei a tuam dia ka sehsa ahi. 
NUM.8.18	Huchi in Israel suante lak a ta masapente tang in Levite ka nei khinta ahi. 
NUM.8.19	Huchi in Israel suante tang a Kihoupihna puanin a nasem ding leh Israel suante’n Mun Siangthou a honnaih ua leng Israel suante lak a hi a len louhna dia lemna bawl ding in Israel suante lak apan Levite Aron leh a tapate ka pia ahi, a chi hi.
NUM.8.20	Huchibang in Mosi, Aron leh Israel suan omkhawm tengteng in Levite tung ah a hihta uhi. Levite tungtang thu a 
NUM.8.21	Huchi in Levite siansak ahi ua, a puante uh a sawp ua; Aron in 
NUM.8.22	Huaizoh in Levite Aron leh a tapate nuai a, a nasep uh sem ding in Kihoupihna puanin sung ah a lut uhi. Levite tungtang thu a 
NUM.8.24	Levite tantuam hiaite ahi. Kum sawmnih leh nga chiang tunglam in Kihoupihna puanin a nasep a sem ding uh. 
NUM.8.25	Kum sawmnga a upate’n a nasep uh a khawlsan ding ua, na a sem nawn kei ding uh. 
NUM.8.26	Himahleh khawmpite biakbuk kep thu ah a unaute uh a huh zel ding ua, nasep zaw a sem nawn kei ding uh. Hichibang in Levite nasep na gel sak ding ahi, a chi hi.
NUM.9.1	Huan, 
NUM.9.2	Israel suante’n Paikan Ankuangluina a hunbi zel in nei uhen. 
NUM.9.3	A hunbi in, hiai kha, ni sawmlehli nitaklam in na nei ding uhi. Huai a hih dia seh tengteng leh dan bang in na nei ding uhi, a chi hi. 
NUM.9.4	Huchi in Mosi in Israel suante Paikan Ankuangluina nei ding in a hilh hi. 
NUM.9.5	Huchi in Sinai gamdai ah kha khatna, a ni sawmlehli ni nitaklam in Paikan Ankuangluina a neita uhi. 
NUM.9.6	Kuate hiam misiluang ziak a sianglou a na om ua, huai ni’n Paikan Ankuangluina ah a tel theikei ua, huchi in huai ni’n Mosi leh Aron ma ah a hoh uhi. 
NUM.9.7	Huaite’n a kiang ah, “Misi luang ziak in sianglou ka hi ua; huaiziak in hia, Israel suante lak a a hunbi a 
NUM.9.8	Mosi in a kiang uah, “Na pau kei phot dih uh. Na tungtang thu uah 
NUM.9.10	Israel suante kiang ah, Na lak ua kuapeuh, na suante uh lak a kuapeuh, misi luang ziak a sianglou hiam, a na zinmang hiam a om zenzen uleh 
NUM.9.11	Kha nihna, ni sawmlehli ni nitaklam in a nei ding ua; tanghou silngou sohlouh loukha toh a nekding uh ahi. 
NUM.9.12	A zing ading in bangmah a koih ding uh ahi kei. A guh leng a hihtan ding uh ahi kei. Paikan Ankuangluina a hih dia seh bang zel a a hih ding uh ahi. 
NUM.9.13	Himahleh, siang ngal a, zinmangna neilou, Paikan Ankuangluina a tellou mawkmawk ahihleh a chipihte lak apan huai mi satkhiak ding ahi. A hunbi a 
NUM.9.14	Namdang mi na kiang ua om in 
NUM.9.15	Huchi in biakbuk lamkhit ni’n biakbuk, theihpihna puanin pen meipi in a tuam lii liai hi. Nitaklam in biakbuk tung ah meikuang bangbang a zingsang tan in a om hi. 
NUM.9.16	Huchibang in a om nilouh a; meipi in a tuam nilouh a, zan chiang in mei bang in a kilang hi. 
NUM.9.17	Meipi in puanin a kikhinsan teng in Israel suante’n pai ding vai a hawm zel ua; meipi a khawlna mun peuh ah Israel suante’n giahphual a satzel uh. 
NUM.9.18	 thupiak in Israel suante a pai zel ua, 
NUM.9.19	Biakbuk tung a meipi sawtpi a om leh Israel suante’n 
NUM.9.20	Meipi biakbuk tung a ni tamlou sung a om chiang in giahphual a sat ua, 
NUM.9.21	A kalkal in meipi nitaklam apan a zingsang pha in a om a; zingsang a meipi in a tung kahsan leh a pai zel uh. Ni khat lel hiam, zan khat lel hiam om a meipi in a tungkah san leh a pai zel uhi. 
NUM.9.22	Biakbuk tung a meipi ni nih hiam, kha khat hiam, kum khat hiam a om a, huai a a om nilouh leh Israel suante giahphual ah a om nilouh ua, a paikei uh. A tung kahsan leh bel a pai zel uhi.
NUM.10.1	Huan, 
NUM.10.2	Dangka pengkul nih bawl inla; sekthoh in bawl in. Mipite sapkhawmna ding leh pawtsakna dia na zat ding ahi. 
NUM.10.3	Huai a kimut chiang in mipi tengteng na kiang ah Kihoupihna puanin kongkhak bula a hong kikhop vek ding uh ahi. 
NUM.10.4	Khat lel a mut uleh Israel mipite heutu intekpente kia na kiang a a hong paikhawm ding uh ahi. 
NUM.10.5	Gallau mut a na mut uleh suahlam pang a omte a pawt ding uhi. 
NUM.10.6	Gallau mut a na mutnawn uleh simlam pang a omte a pawt ding uhi. A pawtna ding un gallau mut bang a a mut ding uh ahi. 
NUM.10.7	Himahleh mipite hong paikhawmna ding in na mut peuhmah ding ua, gallau mut a bel mutlou in. 
NUM.10.8	Aron tapa siampute’n pengkul a mut ding uh ahi. Huai nou ading in na suante uh tan a tangtawn dan ahi ding hi. 
NUM.10.9	Na gam ua melma, nou hon nuaisiahte dou dia na kuan chiang un gallau mut in pengkulte na mut ding uhi. Huchi in 
NUM.10.10	Nuam nasak nite un, a hunbi a na ankuangluinate uah, na kha thakte uah, na haltum thillat uahte leh na kilemna thillat kithoihnate uah pengkul na mut ding uh ahi. Huchi in na Pathian ma uah nou ading in theihgigena ahi ding. Kei 
NUM.10.11	Kum nihna, kha nihna, huai kha ni sawmnih ni’n, hichi ahi a, meipi in theihsakna biakbuk tung a tungkah santa hi. 
NUM.10.12	Huchi in Israel suante a paidan dungzui in Sinai gamdai apan a pawt ua; Paran gamdai ah meipi a khawlta hi.
NUM.10.13	Mosi zang a 
NUM.10.14	A masapen in Judah pawlte, a pawl uh tamdan dungzui zel in a pawt ua; a heutu uh Aminadab tapa Nashon ahi. 
NUM.10.15	Issakarte heutu Zuar tapa Nethaneel; 
NUM.10.16	Zebulunte heutu Helon tapa Eliab ahi.
NUM.10.17	Biakbuk a phel ua, Gershon tapa leh Merari tapa biakbuk zawngmite a pawt uhi.
NUM.10.18	Reubente a pawl uh tamdan dungzui in a pawt ua; a heutu uh Sedeur tapa Elizur ahi. 
NUM.10.19	Simeonte heutu Zurisadai tapa Selumiel ahi. 
NUM.10.20	Gadte heutu Deuel tapa Eliasaph ahi.
NUM.10.21	Kohathte’n Mun Siangthou a zawng ua, a pawt ua; a dangte’n a tun ma un biakbuk a na lam uh. 
NUM.10.22	Ephraimte a pawl uh tamdan dungzui in a pawt ua; a heutu uh Emihud tapa Elisama ahi. 
NUM.10.23	Manassehte heutu Pedazur tapa Gamaliel ahi. 
NUM.10.24	Benjaminte heutu Gideoni tapa Abidan ahi.
NUM.10.25	A nanungpen in Dante a pawl uh tamdan dungzui in a pawt ua; a heutu uh Amisadai tapa Ahiezer ahi. 
NUM.10.26	Asherte heutu Okran tapa Pagiel ahi. 
NUM.10.27	Naphtalite heutu Enan tapa Ahira ahi. 
NUM.10.28	Hiai bang ahi Israel suante pawl a tamdan dungzui ua a paidan uh, hiai bang in a paizom zel uhi.
NUM.10.29	Mosi sungpa Midianmi Reuel tapa Hobab kiang ah, Mosi in, “K’on pe ding, 
NUM.10.30	Aman a kiang ah, “Ka hong dahmai ding, ka gam uah ka tanaute kiang ah ka paizaw mai ding” a chi hi.
NUM.10.31	Aman, “Hon paisan mahmah ken, gamdai ah lah giahphual satna ding na theizaw ngal a, kou ading in mit na honghi ding hi. 
NUM.10.32	Hichi ahi dia, ka kiang ua na hongsam leh, ahi, hichi ahi ding. 
NUM.10.33	Huchi in 
NUM.10.34	A buk ua pan a pawt un 
NUM.10.35	Hichi ahi a, huai bawm a pawt ding peuhmah chiang in Mosi in,
NUM.10.35	“
NUM.10.35	na melmate hawlzak in,
NUM.10.35	nang hon hawte na ma ah taikek uhen,” a chi zel hi.
NUM.10.36	A kingakna peuh ah, 
NUM.11.1	Huan, mipite’n 
NUM.11.2	Huchi in mipite’n Mosi a sam ua; Mosi 
NUM.11.3	Huai mun min Taberah a sa hi, 
NUM.11.4	A lak ua mikihel pawl khat in sa lunggulhna a hon neita ua; Israel suante leng a kap nawn ua, “Kua’n ahia nekding sa honpe ding? 
NUM.11.5	Ut leh dah a Aigupta gam a ngasa i nekzelte i theigige ua, tangmaite, mazelte, phulun sialnek chite, vaiphulunte, phulun ngou leng. 
NUM.11.6	Himahleh tuin i guhngek uh a keu khinta, bangmah lamet ding a omkei, manna lel loungal” a chi uhi.
NUM.11.7	Manna bel koriander tang bang, a latdan in bedeli suang bang ahi. 
NUM.11.8	Mite’n a tomkhawm ua, gawinelna in a gawinel ua, sum in a su ua, belte ah a huan ua, tanghou in a bawl uhi. Nek in sathau a kan tanghou a bang hi. 
NUM.11.9	Giahphual a zan a dai a kiak in manna leng a hong kia hi.
NUM.11.10	Mipite a inkuan kuan un a puanin kongkhak chiat uah a kap uh, chih Mosi in a naza hi. 
NUM.11.11	Huchi in 
NUM.11.12	Hiai mipite tengteng ka suan ahi ua hia? A pi leh pute uh kiang a kichiam a piak na chiam gam a pilut di’n. Naupommi in nawitui nelai a pom bang in na angsung ah pom in, n’on chih dia ka pikhiak? 
NUM.11.13	Hiai mipi tengteng piak ding sa koi apan ka nei dia? ‘Ka nek ding un sa honpia in,’ chi in a kap ngal ua. 
NUM.11.14	Hiai mipi tengteng keimah kia in ka paw zoukei. Kei ading in a gik lua hi. 
NUM.11.15	Hichibang a honhih ding na hihleh, hon hehpih inla, hon sisak vanglak in, honhih genthei nawn mahmah ken” a chi hi.
NUM.11.17	Huchi in ka hongpawt dia, huai ah k’on houpih ding. Na tung a om kha om pen a tung uah ka koih ding. Nang kia’n pawlou in mipite puakgik a hon puakpih ding uhi. 
NUM.11.18	Nang mipite kiang ah, Zingchiang a ding in kihih siangthou vek unla; huchi in sa na ne ding uh. Sa nekding kuan ahia honpe ding? Aigupta gam a nuam i saksak utoh, chi in 
NUM.11.19	Ni khat kia, ni nih kia, ni sawm kia, ni sawmnih kia leng na ne kei ding ua; 
NUM.11.20	Himahleh kha khat pumlum, na nakvang ua a hongpawt khiak a nou adia kihhuai a hong hih masiah na ne ding uhi. Na lak ua om 
NUM.11.21	Mosi in, “Ka ompih mipite khe a paithei kia leng nuai guk ahi ua; kha khat pumlum nek ding in sa ka pe ding, na chi hi. 
NUM.11.22	Belamhon leh ganhon leng gohsak lehang leng, a kham ding ua hia? Tuipi a ngasa tengteng leng matsak vek lengle, a khamzou ding ua hia?” a chi hi.
NUM.11.24	Mosi a pawt a, 
NUM.11.25	 meipi ah a hongsuk a, a hong houpih a, amah tung a om Kha pen Upa sawmsagihte tung ah a koih hi. Hichi ahi a, kha a tung ua a koihtakin thu a gen ua; a genzom sawtkei uhi.
NUM.11.26	Himahleh giahphual ah mi nih a omlai ua, khat min Eldad ahi, a khatpen min Medad ahi. Kha a tung uah a om a, upate lak a minkhum ahi ua, himahleh Kihoupihna puanin ah bel a hohkei uhi. Giahphual ah thu a gen uhi. 
NUM.11.27	Huchi in tangval khat a va tai a, Mosi a va hilh a, “Eldad leh Medad in giahphual ah thu a gen uh” a chi hi.
NUM.11.28	Nun tapa Joshua, a tuailai apan Mosi nasempa’n a dawng a, “Ka toupa Mosi, kham ve” a chi hi.
NUM.11.29	Mosi in a kiang ah, “Kei gum a na thikthu sia hia? Pathian mi tengteng zawlnei hivek le uh, 
NUM.11.30	Huchi in Mosi leh Israel Upa tengteng giahphual ah a lut nawn uhi.
NUM.11.32	Mipite’n huai ni nitum leh zankhua leh a zing nitum in vengkeng a va tomkhawm ua; a tom tawmpen in leng homer sawm a tom hi. Giahphual kim ah amau a chiat a phou uhi. 
NUM.11.33	Huai sa a neklai un, a nek khit ma un, mipite tung ah 
NUM.11.34	Hiai mun min Kibroth-hattaavah a sa a; huai a saduhte a vui ziak un.
NUM.11.35	Kibroth-hattaavah apan mipite Hazeroth ah a pai ua; Hazeroth ah a giahphual a sat uhi.
NUM.12.1	Huan, Miriam leh Aron in Mosi in Kus numei zi a, a neih ziak in a gensia ua; Kus numei bel a neingei hi. 
NUM.12.2	Amau, “Mosi kiang kia ah hia 
NUM.12.3	Mosi bel leitung a mihing tengteng sang in a migi mahmah ahi.
