MAT.1.1	Carte de generațiune a luĭ Iisusŭ Christosŭ hilĭlu alŭ Davidŭ hilĭlualŭ Avraamŭ.
MAT.6.31	Și ași nu vĕ minduițĭ și s’ ḑiçețĭ; ce va s’ mâncămŭ? ică çe va s’ bemŭ? ică cu çe va s’ nĕ ’nvéscemŭ? 
MAT.6.32	Că aeste tute pângăn̄ĭlĭi le caftă. Că Tatălŭ a vostru açelŭ din çerŭ scie că avețĭ lipsă de tute aeste. 
MAT.6.33	Ma căftațĭ cama năinte amirărilĭea luĭ Dumneḑĕu și ’ndreptatea luĭ, și tute alante va s vĕ se adavgă. 
MAT.6.34	Și ași nu vĕ minduițĭ tră mâine; că ḑiua de mâine va s’ aibă ea căștigă tră lucrele a lĭeĭ. Dure‐lĭ éste a ḑiulíeĭ rĕulu a lĭeĭ.
MAT.7.1+MAT.7.2	Nu giudecațĭ tra s’nu hițí giudecațí. Cá cu çe giudecatá giudecați, cu açea va s’hițí giudecațĭ; și cu çe mesură mesurațî cu açea va s’ vé se mesurá. 
MAT.7.3	Și de çe palĭlu di tr’ oclĭulŭ a frateluĭ tĕŭ ’lŭ veḑĭ, și grenda di tr’ oclĭulŭ a tĕŭ nu o duchescĭ? 
MAT.7.4	Ică cumŭ va lĭ ḑiçĭ a frate‐tuĭ; Alasă să‐țĭ scotŭ palĭlŭ di tr’ oclĭu, și écă grenda este tr’ oclĭulŭ a tĕŭ? 
MAT.7.5	Ipocrite, scóte cama nâinte grenda di tr’ oclĭulŭ a tĕŭ, și atunçea va s’veḑĭ să scoțĭ palĭlu di tr’ oclĭulŭ a frateluĭ tĕŭ,
MAT.7.6	S’ nu dațĭ 
MAT.7.7	Çérețĭ și va s’ vĕ se da; căftațĭ și va s’ aflațĭ; bătețĭ la ușe și va s’ vĕ se desclĭdă. 
MAT.7.8	Că açelŭ çe çére lĭa; și care caftă află; și açeluĭ çe bate, îlĭ se desclĭde. 
MAT.7.9	Care din voi este omŭlu açelŭ çe, s’ fure că hi ĭu sĕu îlĭ caftă pâne s’lĭ da chétră? 
MAT.7.10	Ică s’ fure că îlĭ caftă pescu, s’ lĭ da șérpe? 
MAT.7.11	Ma că voĭ care hițĭ rĕĭ scițĭ s’ dațĭ la hilĭi a voștri darurĭ bune, câtŭ cama multŭ Tatălŭ a vostru açelŭ din çerŭ va s’ da darurĭ bune la açelĭ çe caftă de la Elŭ? 
MAT.7.12	Tr’ açea tute câte vrețĭ s’ vĕ facă ómenĭlĭi a vóuĕ, façețĭ și voĭ a lorŭ ași, că aestă éste legea și profețĭlĭi.
MAT.7.13	Intrațĭ pe tru pórta açea strimtă, că mare éste pórta și largă éste calea çe duçe la cherire; și mulțĭ sŭntu açelí çe trecŭ pe tru nĕsă. 
MAT.7.14	Ma strimtă éste pórta și îngustă este calea, care duçe tru bană, și puțin̄ĭ sŭntu açelĭ çe o află.
MAT.7.15	Aferițĭ‐vĕ de profețĭlĭi açelĭ minciunoșĭ, carĭ v̄inŭ câtrĕ voĭ învescuțĭ cu stranĭe de óe, ma d’înăuntru sŭntŭ luchĭ arăchitorĭ. 
MAT.7.16	Din pómele a lorŭ va s’ lŭ cunóscețĭ. Póte s’adună de la schin̄ĭ auă, și de scalĭe hiçe?
MAT.7.17	Ași içi‐do arbore bunŭ, façe póme bune; iará arborĕle putredŭ façe póme réle. 
MAT.7.18	Nu póte unŭ arbore bunŭ s’ facă póme réle, niçi iară unŭ arbore putredŭ, s’ facă póme bune. 
MAT.7.19	Içi‐do arbore çe nu façe pomŭ bunŭ, s’ talĭe și s’aruncă în focŭ. 
MAT.7.20	Tr’açea din pómele a lorŭ va s’ lĭ cunóscețĭ.
MAT.7.21	Nu care‐çido ce m̄ĭ ḑiçe: Dómne Dómne, va s’ întră tru amirărilĭea çerŭluĭ, ma açelŭ çe façe vrérea a Tatăluĭ meŭ din çerŭ. 
MAT.7.22	Mulțĭ va s’ mĭ ḑică în açea ḑiuă: Dómne Dómne, nu profetisimŭ în numa ta, și nu scósemŭ demonĭ în numa ta, și in numa ta nŭ avemŭ faptă multe ciudiĭ?
MAT.7.23	Și atunçea va s’lĕ spunŭ, că vĕr‐nă óră nu v’am cunoscută. Depărtațĭ‐vĕ de la mine 
MAT.7.24	Care‐çido ascultă aeste graie a méle și le façe, va s’lŭ unzescu cu unŭ bărbatŭ mintimenŭ, care ’şi adră casa pe chétră. 
MAT.7.25	Și căḑu plóea, și veniră rîurĭle și suflară vînturĭle, și bătură pe açea çasă, și nu căḑu, că themelĭlu era pe chétră. 
MAT.7.26	Și care‐çido ascultă aeste graie a méle şi nu le façe, va s’ lŭ unzescu cu unŭ bărbatŭ glarŭ, care ’sĭ adră casa pe arină. 
MAT.7.27	Și déde plóe, și viniră riurile, și suflară vinturĭle și déderă pre açea casă şi căḑu; și căderea lĭeĭ fu mare. 
MAT.7.28	Și fu că, cându fini Isusŭ aeste sbórĕ s’ciudusea poporulŭ de învĕțăturĭle a luĭ, 
MAT.7.29	çă lĭ ’nveța ca unŭ çe avea putére, și nu ca cărturarĭlĭi.
MAT.8.1	Cându s’ depuse de pre munte, s’ duse după nĕsŭ poporŭ multu.
MAT.8.2	Și écă unŭ leprosŭ vine, și se înclĭnă la elŭ ḑicêndu: Dómne s’ vrureșĭ, poțĭ s’ me curĭ. 
MAT.8.3	Și tése mâna, déde de nêsŭ și ’lĭ ḑise: Voiu, cură te. Și truóră îlĭ se cură lepra.
MAT.8.4	Și ’lĭ ḑise Iisusŭ. Mutria s’nu spun̄ĭ a vĕr‐nuĭ, ma du‐te spune‐te la preftulŭ, și dă darŭlu çe are dimândată Moisi tră mărturia lorŭ.
MAT.8.5	Și cându întră Iisusŭ în Capernaumŭ s’ aprochie la elŭ unŭ sutașŭ, și lŭ ruga ḑicêndŭ: 
MAT.8.6	Dómne servitorŭlu a m̄eŭ zaçe în casă paraliticŭ, și se pedepsésçe rĕu. 
MAT.8.7	Și Iisusŭ lĭ ḑise a luĭ: eŭ va s’ v̄inŭ și va s’ lu vindecŭ. 
MAT.8.8	Și sutașŭlŭ rĕspunse și ḑise: Dómne, nu escŭ axiu s’ mĭ întrĭ sum stréha mea; ma ḑi unŭ sborŭ și servitorŭlu a meu va să s’ vindecă. 
MAT.8.9	Cá și eu eșcu omŭ sum ursită și am sum mine ostașĭ; și ḑicŭ aestuĭ: Du‐te și s’ duçe; și altuĭ: Vino, și v̄ine, și a servitorŭluĭ a meu: fă aestă și o façe. 
MAT.8.10	Cândŭ avḑi Iisusŭ s’ miră, și ḑise açelorŭ çe venia după urma luĭ. Dealihea vĕ ḑicŭ, niçi la Israilŭ n’aflaĭ ahântă credință. 
MAT.8.11	Și iară vĕ ḑicŭ că mulțĭ va s’ vină de la răsăritŭ, și de la ascăpetat ŭ și va s’ șédă deadunŭ cu Avraamŭ, și cu Isaac, și cu Iaacovŭ tru amirărilĭea çerŭluĭ. 
MAT.8.12	Și hilĭi amirărilĭeĭ va s’ hibă aruncațĭ tru întunérecŭlu açelŭ din afóră; acolo va s’hibă plângérea și scărcicarea dințilorŭ. 
MAT.8.13	Și ḑise Iisusŭ a sutașŭluĭ: Du‐te, și după credință, la s’țĭ se facă. Și îlĭ se vindecă servitorŭlu de tru açea óră.
MAT.8.14	Și venindaluĭ Iisusŭ în casa luĭ Petru, veḑu sócra luĭ zăcută și hivrită. 
MAT.8.15	Și o acață cu mâna, și o alasă hiévra; și se sculă și lĭ făçea serviciu.
MAT.8.16	Și cându întunecă, lĭ aduseră mulțĭ demonisațĭ și lĕ scóse duhurĭle cu unŭ graiŭ și tuțĭ açelĭ çe era rĕu îlĭ vindecă; 
MAT.8.17	Tra să se împlinéscă açea çe s’are ḑisă de câtrĕ profetŭlu Isaia care ḑiçe; Elŭ luă neputerĭle a nóstre și purtă lăngorĭle a nóstre.
MAT.8.18	Și cându veḑu Iisusŭ poporŭ multu avĕrliga‐lĭ, lĕ dimândă s’m̄érgă ’naparte. 
MAT.8.19	Atunçea ’lĭ s’aprochie unŭ cărturarŭ și ’lĭ ḑise: Invețătorule! orĭ iu va s’te duçĭ, după tine va s’v̄inŭ. 
MAT.8.20	Și Iisusŭ ’lĭ ḑise: vulpile au guvele a lorŭ; și pulĭi a çerŭluĭ cuibaire; ma hilĭlu a omŭluĭ, n’are iu să’șĭ apună capŭlu.
MAT.8.21	Iară unŭ altu din discipulĭi a luĭ ’lĭ ḑise; 
MAT.8.22	Dómne a lasă‐me cama năinte s’me ducŭ și s’îngropŭ tată m̄eŭ. Ma Iisusŭ lĭ ḑise: vino după mine, și alasă morțilĭ să’șĭ îngrópă morțilĭ a lorŭ.
MAT.8.23	Și după çe întră elŭ în luntre, s’duseră după nĕșŭ discipulĭi a luĭ. 
MAT.8.24	Și écă cutrémurŭ mare s’féçe tru amare, 
MAT.8.25	în câtŭ luntrea s’învĕliĕa cu valurĭ, iară elŭ dorm̄ia. Și s’aprochiară discipulĭi a luĭ, de nĕsŭ, lŭ desceptară, și lĭ ḑiseră: 
MAT.8.26	Dómne ascapă‐nĕ că cherimŭ. Iară 
MAT.8.27	Atunçea se sculă, încăcie vinturĕle și amarea, și s’féçe bunéță mare. Și ómenĭlĭi s’mirară ḑicêndaluĭ; çe omŭ este aestŭ că și vinturĭle și amarea lŭ ascultă?
MAT.8.28	Cându trecu elŭ ’naparte la locŭlu a Ghergheseniloŭ, lŭ astălĭară doĭ demonisațĭ çe eșia de la mormințĭ, 
MAT.8.29	multu rĕĭ, în câtŭ vêr‐nŭ nu putea s’trécă pe tru açea cale. Și écă îlĭ strigară și ’lĭ ḑiseră: 
MAT.8.30	çe aĭ cu noĭ Iisuse hilĭlŭ alŭ Dumneḑĕ? Venișĭ aóçe înainte de timpŭ s’nĕ pedepsesci? Și era departe de elĭ ună turmă de porçĭ mulțĭ carĭ pășcea. 
MAT.8.31	Și demon̄ĭlĭi lŭ ruga și lĭ ḑiçea: Ma s’nĕ scoțĭ, alasă‐nĕ s’ întrămŭ în turma de porçĭ. 
MAT.8.32	Și lĕ ḑise: Ducețĭ‐vĕ. Iară elĭ îeșiră și întrară în turma de porçĭ. Și écă tută turma de porçĭ se sălăghi din înălțime tru amare, și muriră tru apă. 
MAT.8.33	Și pecurarilĭi fugiră și vineră în çetate, și spuseră tute, și, açéle a demonisațĭlorŭ. 
MAT.8.34	Și éçă çetatea întrégă eși înaintea luĭ Iisusŭ, și çândŭ lŭ veḑură, lŭ rugară să s’depărtéḑă di tu sinorĭle a lorŭ.
MAT.9.1	Decara întră Iisusŭ în luntre, trecu și vine în çetatea luĭ. 
MAT.9.2	Și écă ’lĭ aduseră unŭ paraliticŭ zăcutŭ în patŭ; și cându veḑu Iisusŭ credința lorŭ, ḑise a paraliticŭluĭ: 
MAT.9.3	Bucură‐te hilĭu, ți se lĭértă pecatele. Și écă nescânțĭ din cărturarĭ ḑiseră cu mintea lorŭ: Aestŭ blastemă. 
MAT.9.4	Și cându veḑu Iisusŭ minduirĭle a lorŭ ḑise: 
MAT.9.5	Că çe voi minduițĭ urîtŭ în înimĕle a vóstre? çe este cama lișiorŭ s’ ḑicŭ: Țĭ se lĭértă pecatele, orĭ s’ ḑicŭ scólă‐te și îmnă? 
MAT.9.6	Ma tra să scițĭ că, hilĭlu a omuluĭ are putére peste locŭ s’ lĭértă pecate, (atunçea ’lĭ ḑiçe a paraliticŭluĭ) scólă‐te lĭa țĭ pátŭlu, și du‐țĭ‐te acasă. 
MAT.9.7	Și 
MAT.9.8	Cându veḑură ómen̄ĭlĭi s’mirară și măriră pre Dumneḑĕu, care déde a ómen̄ĭlorŭ ahtare putere.
MAT.9.9	Și cându trecu Iisusŭ pe acolo, veḑu unŭ omŭ că ședea la vamă, çare s’clĭema Matheu, și ’lĭ ḑise: v̄ino după mine; și 
MAT.9.10	Și fu că, cându elŭ ședea la mésă în casă, écă mulțĭ vameșĭ și pecătoșĭ viniră și șeḑură 
MAT.9.11	Ma Fariseilĭi cându veḑură 
MAT.9.12	Iară Iisusŭ cându avḑi, lĕ ḑise: Nu au lipsă de ghiatru sănătoșĭlĭi ma 
MAT.9.13	Și ași duçețĭ‐vĕ și învețațĭ çe éste; Milă voiu, și nu sacrificiu. Că n’am venită s’clĭemŭ drepțĭlĭ, ma pecátoșilĭi la tunusire.
MAT.9.14	Atunçea v̄inŭ la elŭ discipulĭi a luĭ Ioanŭ și ḑicŭ: Tră çe noĭ și Fariseĭlĭi agiunămŭ multŭ, și disçipulĭi a tĕĭ nu agiună? 
MAT.9.15	Și Iisusŭ lĕ ḑise: Na‐că potŭ nuntașilĭi s’ hibă în jale, până cându éste cu nĕșĭ ginerĕle? Ma va s’ v̄ină ḑile cându ginerĕle va să s’lĭa de la elĭ, și atunçea va s’ agiună. 
MAT.9.16	Vêr‐nŭ nu bagă pétecŭ noŭ pe stran̄iu veclĭu; că pétecŭlŭ trage de stran̄iŭ, și aruptura s’ face cama réuă. 
MAT.9.17	Niçi bagă v̄inŭ noŭ în utre veclĭi, că alĭumtrea s’arupŭ utrele, și ași v̄inŭlŭ s’ vérsă și utrele cherŭ. Ma bagă v̄inŭ noŭ în utre noĭ, și amêndóuĕle se avéglĭe.
MAT.9.18	Pe cându elŭ sbura aeste câtrĕ nĕșĭ, écă unŭ îndregĕtorŭ vine, îlĭ se înclĭna și ḑiçea; Hilĭa mea acmu de curêndŭ muri ma v̄ino, bagă mâna pre nĕsă, și va să înv̄iéză. 
MAT.9.19	Și se sculă Iisusŭ, și s’duse după nĕsŭ deadunŭ cu discipulĭi a luĭ. 
MAT.9.20	Și écă ună mulĭére çe lĭ cura sânge de doĭ sprĕ‐ḑéçe an̄ĭ, vine după nĕsŭ, și acăță póla a stran̄ĭluĭ a luĭ. 
MAT.9.21	Că ’șĭ ḑiçea cu mintea‐lĭ: mași s’me acațŭ de póla luĭ și va s’ me vindecŭ. 
MAT.9.22	Ma Iisusŭ cândŭ s’ turnă și o veḑu ’lĭ ḑise: Hilĭe harăsié‐te credința ta te ascăpă: și s’ vindecă mulĭérea de tru açea óră.
MAT.9.23	Și cândŭ vine Iisusŭ în casa a îndregĕtorŭluĭ și veḑu fluerătorĭlĭi și mulțimea çe făçea vrévă, lĕ ḑise: 
MAT.9.24	Trăgețĭ‐vĕ că féta nu muri, ma dórme; și ’șĭ arĕdea de nĕsŭ. 
MAT.9.25	Iară cându se scóse afóră mulțimea; întră elŭ, o apucă de mână, și se sculă féta. 
MAT.9.26	Și se respândi scirea preste tutŭ açelŭ locŭ.
MAT.9.27	Și cându treçea Iisusŭ de acolo, s’duseră după nĕsŭ doĭ orghĭ, carĭ striga și ḑiçea; Milué‐nĕ o hilĭlu a luĭ Davidŭ.
MAT.9.28	Și cându vine în casă, se aprochiară de nĕsŭ orghilĭ, și Iisusŭ lĕ ḑise: Credețĭ că potŭ s’ facŭ aestă? 
MAT.9.29	Atunçea băgă mâna pe oclĭlĭ a lorŭ, și ḑise: La s’ vĕ se facă după credința vóstră. 
MAT.9.30	Și lĕ se desclĭseră oclĭilĭ. Și Iisusŭ lĕ dimândă severŭ și lĕ ḑise: Mutrițĭ ghine vêr‐nu s’nu scibă. 
MAT.9.31	Ma elĭ eșiră și respăndiră scirea tră nĕsŭ peste tutŭ açelŭ locŭ.
MAT.9.32	Și cându elĭ eșia, écă lĭ aduseră unŭ omŭ surdo‐mutŭ și demonisatŭ. 
MAT.9.33	Și după çe se scóse demonŭlu, mutŭlu, sburî; și se mirară ómen̄ĭlĭi, și ḑiçea; Vêr‐nă oră nu s’are veḑută ahtare 
MAT.9.34	Iară Fariseilĭi ḑiçea: cu capŭlu a demon̄ĭlorŭ scóte demon̄ĭlĭi.
MAT.9.35	Și străbătea Iisusŭ tute çetățile și hórele, și ’lĭ înveța în sinagogele a lorŭ, și predica văngheĭlu a amirărilĭeĭ, vindecândŭ orĭ çe lăngóre, și orĭ çe neputére la poporŭ.
MAT.9.36	Și cându veḑu poporŭ multu, îlĭ se féçe m̄ilă de elŭ, că era dirinațĭ și rĕspăndițĭ, ca oile, çe n’au pecurarŭ. 
MAT.9.37	Atunçea ḑise a discipulĭlorŭ a luĭ: Seçerișŭlu este multu ma lucrătorĭlĭi 
MAT.9.38	Rugațĭ vĕ decară la Domnulŭ a seçerișĭluĭ, tra să scótă lucrătorĭ la seçerișŭlu a luĭ.
MAT.10.1	Și clĭemă 
MAT.10.2	Iară numele açelorŭ doi‐sprĕ‐ḑéçe Apostolĭ sŭntu aeste;
MAT.10.2	Açelŭ d’ntân̄iu Simon care s’ḑiçe Petru, și Andreĭlu, frate sĕŭ; Iacovŭ alŭ Zevedeŭ, și Ioanŭ fratele a luĭ; 
MAT.10.3	Filipŭ și Bartholomeŭ; Thoma și Matheŭ, vameșŭlu; Iacovŭ 
MAT.10.4	Simon cananitŭlu, și Iuda Iscariotŭlu, care și, îlŭ predéde.
MAT.10.5	Aestĭ doi‐sprĕ‐ḑéçe lĭ petrecu Iisusŭ și lĕ dimândă și le ḑise: In calea Gintelorŭ s’nu vĕ duçețĭ, și în çetate de Samaritenĭ s’nu întrațĭ. 
MAT.10.6	Ma cama multu s’vĕ duçețĭ câtre oĭle cherdute a casălĭeĭ luĭ Israil. 
MAT.10.7	Și tru duçére predicațĭ și ḑiçețĭ; că s’a prochie amirărilĭea din çerŭ. 
MAT.10.8	Vindecațĭ pre lăngețĭ, curațĭ pre leproșĭ, [înv̄iațĭ pre morțĭ] și scótețĭ pre demon̄ĭ; dóră luatŭ, dóră s’dațĭ.
MAT.10.9	S’nu luațĭ malamă, niçi asime, niçi aramă, în brânele a vóstre. 
MAT.10.10	Niçi trastu în cale, niçi dóuĕ stranie, niçi încălțăminte, niçi ciomĕgu, că lucrătorŭlu este axiu tră hrana luĭ.
MAT.10.11	Și tru içe‐do çetate ică hóra întrațĭ întrebațĭ care éste acolo axiu; și arĕmânețĭ acolo, până cându să eșițĭ. 
MAT.10.12	Și cându întrațĭ în casă salutațĭ‐o. 
MAT.10.13	Și s’fure casa axiă, la s’v̄ină pacea vóstră pre nĕsă; ma s’fure că nu éste axiă, pacea vóstra să s’tórnă la voĭ. 
MAT.10.14	Și s’ éste că çine‐va nu vĕ ascéptă, niçi ascultă sbórele a vóstre, la eșire din casă, ică din açea çetate, scuturațĭ pulberea de pe ciciórĭle a vostre. 
MAT.10.15	Dealihea vĕ ḑicŭ, cama lișóră va s’hibă pedépsa în loculŭ a Sodomeĭ și a Gomoreĭ în ḑiua giudecățiĭ, de câtŭ în açea çetate.
MAT.10.16	Écă eu vĕ petrecŭ ca oĭ nolgica de luchĭ: Tr’açea s’hițĭ mintimen̄ĭ că nepărtiçĕle, și blânḑĭ ca porunghilĭ. 
MAT.10.17	Aferițĭ vĕ de ómen̄ĭlĭi, că va s’vĕ preda la tribunale, și va s’vĕ bată çu svicile în sinagógele lorŭ. 
MAT.10.18	Și va s’ hițĭ adușĭ tră mine înainte de Domnĭ și de amirăraḑĭ, tra mărturia dinaintea lorŭ, și a gintelorŭ. 
MAT.10.19	Și cândŭ va s’vĕ preda, nu vĕ minduițĭ cum și çe va să sburîțĭ; că tru açea óra va s’ vĕ se da a vóuĕ çe, 
MAT.10.20	Că nu hițĭ voĭ carĭ sburîțĭ, ma duhŭlu a Tatăluĭ a vostru, care sburasce în voĭ. 
MAT.10.21	Și frate pe frate va s’ da la mórte, și tată pre hilĭu, și fecĭorĭlĭi va să scólă contra părințilorŭ, și va s’lĭ vatămă. 
MAT.10.22	Și va să hițĭ urîțĭ de tuțĭ tră numa mea; açelŭ çe va s’aravdă până la finitŭ, açelŭ va s’ ascapă. 
MAT.10.23	Cându v’ agonescŭ de tr’ună çetate, fugițĭ la alantă, că dealihea vê ḑicŭ, nu va s’finițĭ çetățĭle luĭ Israil până cându s’ v̄ină hilĭlu a omŭluĭ.
MAT.10.24	Nu éste discipulŭ cama mare de învețătorŭlu a luĭ, niçi servitorŭ cama mare de domnŭ‐seu. 
MAT.10.25	Dure ’lĭ éste a discipulŭluĭ să s’ facă ca învețătorŭlu a luĭ, și a servitorŭluĭ ca domnŭ‐sĕu. Fure că domnulŭ a casălĭeĭ ’lŭ clĭemară Veelzevulŭ, 
MAT.10.26	câtŭ cama multŭ pre açelĭ din casa luĭ? Tr’ açea s’nu vĕ hibă frică de elĭ; că nu éste çeva acoperitŭ care s’ nu descóperă, niçi ascunta care s’nu s’facă cunoscutŭ. 
MAT.10.27	Açea çe vĕ ḑicŭ eŭ la întunérecŭ, spunețĭ‐o la lum̄ină; și açea çe avḑițĭ la uréclĭe, predicațĭ‐o de pre case. 
MAT.10.28	Și s’nu vĕ aspĕriațĭ de açelĭ çe vatămă trupŭlu, ma sufletŭlu nu potŭ s’lu omóră. S’vĕ hibă frică cama multŭ, de açelŭ çe póte s’ chéră în gheenă și trupŭlu și sufletŭlu. 
MAT.10.29	Nu se vindŭ doĭ carabeĭ tră unŭ aspru, și niçi unŭ de nĕși nu cade peste locŭ fără vrérea a Părinteluĭ a vostru? 
MAT.10.30	Ma a vóuĕ și perĭlĭi din capŭ vĕ sŭntu numerațĭ. 
MAT.10.31	Di tr’ açea nŭ avețĭ frică; că voĭ hițĭ cu multu cama scumpĭ de câtŭ mulțĭ carabeĭ. 
MAT.10.32	Și ași, açelŭ çe va s’me spună pre mine în fața ómen̄ĭlorŭ, va s’lŭ spunŭ și eu în fața a Tatăluĭ a meŭ, care este în çerŭ. 
MAT.10.33	Și açelŭ çe va să s’lépădă de mine în fața ómen̄ĭlorŭ, va s’me lépedŭ și eu de elŭ în fața a Tatăluĭ a meŭ din çerŭ.
MAT.10.34	S’nu vĕ se pară că am venită s’bagŭ pace peste locŭ; n’am venită s’bagŭ pace ma cuțitŭ. 
MAT.10.35	Că am venită s’ despartŭ omŭlu contra tatăluĭ‐sĕu, și hilĭea contra mă‐saĭ, și nora contra sócră‐sai. 
MAT.10.36	Și neóspețĭ va s’ hibă a omŭluĭ açelĭ din casa luĭ. 
MAT.10.37	Care ’șĭ va tată‐sĕu, ică mumă‐sa, cama multu de cătŭ mine, nu este axiu de mine; și care ’și va hilĭlŭ ică hilĭea cama multŭ de mine, nu este axiu de mine. 
MAT.10.38	Și açelŭ çe nu lĭa cruçea luĭ și nu v̄ine după mine, nu este axiu de mine.
MAT.10.39	Açelŭ çe ’șĭ află bana va s’o chéră, și açelŭ çe ’șĭ o chére tră mine va s’o află. 
MAT.10.40	Açelŭ çe ascéptă voĭ pre mine ascéptă și açelŭ çe ascéptă pre mine, ascéptă pre açelŭ çe mĕ are petrecută. 
MAT.10.41	Açelŭ çe ascéptă profetu tru numă de profetŭ, va ’șĭ lĭa plata de profetŭ; și açelŭ çe așcéptă unŭ îndreptu tru numă de îndreptŭ, va ’șĭ lĭa plata de îndreptu. 
MAT.10.42	Și açelŭ çe va s’da ună scafă de apă aréçe la unŭlŭ de aești m̄ici în numă de discipulŭ, dealĭhea vĕ ḑicŭ că nu va ’șĭ chérdă plata luĭ.
MAT.11.1	Și după çe fini Iisusŭ dimăndăciunĕle câtrĕ açelĭ doĭ‐sprĕ‐ḑéçe discipulĭ a luĭ, d’acolo s’duse tra s’învéță și s’ predică tru çetățĭle a lorŭ.
MAT.11.2	Iară Ioanŭ cându avḑi în înclĭsóre faptele a luĭ Iisusŭ, petrecu doĭ discipulĭ a luĭ; 
MAT.11.3	și îlĭ ḑise: Tine escĭ açelŭ care are s’ v̄ină, ima altu s’asceptămŭ? 
MAT.11.4	Iisusŭ respunse și lĕ ḑise: Duçețĭ‐vĕ și spunețĭ a luĭ Ioanŭ, câte vedețĭ și avḑițĭ. 
MAT.11.5	Orghi vedŭ, sclĭopĭ imnă, leproșĭ s’cură, surḑĭ avdŭ, morțĭ înviéză, și a órfăn̄ilorŭ lĕ se spune scire bună. 
MAT.11.6	Și fericitŭ este açelŭ care nu va să s’ scandaliséscă în mine.
MAT.11.7	Și cându elĭ s’duçea, înçepu Iisusŭ s’ḑică a ghimtălĭeĭ tră Ioanŭ: Ce eșitŭ s’ vedețĭ în deșertŭ? Călame legănată de vîntŭ? 
MAT.11.8	Ma çe eșitu s’vedețĭ? Omŭ învesçutŭ în stran̄ie molĭ? Éca açelĭ çe pórtă stran̄ie molĭ sŭntu în case amirărescĭ. 
MAT.11.9	Ma çe avețĭ eșită s’ vedețĭ? Profetu? Da, ve ḑicŭ, și cama multŭ de profetŭ. 
MAT.11.10	Că aestŭ éste açelŭ tră care éste scriată: Écă eu petrecŭ mesagerŭlu a meu înaĭntea fațălĭeĭ a tale, care va s’țĭ îndrégă calea înaintea ta. 
MAT.11.11	Deahihea vĕ ḑicŭ: de câțĭ s’au faptă de mulĭerĭ, vêrnu n’are eșită cama mare de Ioanŭ Botezătorŭlu. Și açelŭ cama m̄icŭ tru amirărilĭea çerŭluĭ, cama mare de elŭ éste. 
MAT.11.12	Iară de tru ḑilele a luĭ Ioanŭ Botezătorŭlu până acmu, amirărilĭea çerŭluĭ s’ violéză și violatorĭlĭi o arăchescŭ. 
MAT.11.13	Că tuțĭ profețĭlĭi și legea până la Ioanŭ profetisiră.
MAT.11.14	Și s fure că vrețĭ s’ asceptațĭ aeste, aestu éste Ilia care are s’v̄ină. 
MAT.11.15	Açelŭ çe are ureclĭi tr’ avḑire, s’avdă. Ma cu çe s’ unzescu aestă generațiune? 
MAT.11.16	Unzésce cu feciorĭlĭi care ședŭ în păzare și strigă câtre soçĭlĭi a lorŭ, Și ḑicŭ: 
MAT.11.17	Vĕ căntămŭ cu fluéra șĭ nu giucatŭ; vĕ cântămŭ de jale și nu plâmsetŭ. 
MAT.11.18	Că vine Ioanŭ fără s’ măcă și fără s’ bea, și ḑicŭ: are demonŭ tru nĕsŭ. 
MAT.11.19	Vine hi ĭlu a omŭluĭ care măcă și bea, și ḑicŭ: Écă omŭ lacomŭ și beutorŭ de v̄inŭ; óspe a vameșĭlorŭ și a pecătoșĭlorŭ. Și mintimenilĭea ’sĭ află dreptatea de la hilĭi a lĭeĭ.
MAT.11.20	Atunçea înçepu s’ încace çetățile, tru carĭ s’féçeră naĭ cama multele çiudiĭ a luĭ, că nu s’tunusiră. 
MAT.11.21	Cavaĭ de tine, Horazin, cavaĭ de tine Bethsaisdo, că, s’ éste că s’făçea la Tirŭ și la Sidonŭ ciudiile carĭ s’féçeră la voĭ, de multu era să s’tunuséscă în sacŭ și în cenușe. 
MAT.11.22	Ma vĕ ḑicŭ: cama lișiorŭ va s’ hibă a Tirŭluĭ și a Sidonŭluĭ în ḑiua de giudecată, de câtŭ a vóuĕ. 
MAT.11.23	Și tine Capernaumŭ, care până în çerŭ te aĭ înălțată va s’te depunĭ până tru chisă. Că ma s’făçea la Sodoma cĭudiile carĭ s’féçeră la tine, era s’arĕmână până astă‐ḑĭ. 
MAT.11.24	Ma vĕ ḑicŭ: că, cama lișiorŭ va s’ lĭ hibă a locŭluĭ a Sodomen̄ĭlorŭ în ḑiua de giudecată, de câtŭ a țié.
MAT.11.25	Tru açelŭ timpŭ respunse Iisusŭ și ḑise: Ițĭ mulțumescu Tată, Dómne a çerŭluĭ și a locŭluĭ, că, le aĭ ascumtă aeste de la învețațĭlĭi și mintimenĭlĭi, și le descoperișĭ a națĭlorŭ. 
MAT.11.26	Da! Tată, că ași fu buna vrére a ta. 
MAT.11.27	Tute îm̄ĭ fură date am̄ié dela Tată‐m̄eu, și vêr‐nŭ nu cunósce hilĭlu, de câtŭ mașĭ Tatălŭ, și açelŭ la care va s’ va hilĭlu s’lu descóperă. 
MAT.11.28	Venițĭ la mine, tuțĭ açelĭ carĭ hițĭ curmațĭ și încărcațĭ, 
MAT.11.29	și eu va s’vĕ descurmŭ. Luațĭ jugŭlu a m̄eŭ peste voĭ, și învețațĭ de la mine, că escu blândŭ și aplecatŭ cu înima; 
