MAT.1.1	Rìfuu yì ɗi Yeesus Kiris man à Davit, man à Abiraham ɗi ri fɛlɛ: 
LUK.8.25	Nni Yeesus à tɔkà ɓɛ̀yilàg ɓii lɛ: Righerɛ̀n ɗin ɗyɛɛ̀ mbe? Yɛ̀ɛ ìris wu ɓangà ɓɔ, nni ɓɛ kuuràkà, ɓɛ ki tɔɔtɔɔ̀ghrɛ̀n ɓɔ rì ɓɔ lɛ: Rìkuu ɗi mum aɗi ɗyɛɛ ri lɛ, ɗi ɗi tɔkì bɛ̀ɓ, rì mɛ̀nig com ki ɓyɛɛ ki ɓyɔɔ ki kì nyi mɛ̀wog?
LUK.8.26	Nni ɓɛ kpagà ɓi kìlɔ̀ŋ ki ɓumɓɛ a Geraza, ki ki ɓaghày lɛ kɔ cɛcɛɗ, Galile cɛcɛɗ. 
LUK.8.27	Yɛ̀ɛ Yeesus à sɛngày kìkɔm, nni ŋwaàdɛŋ ànɛ à ɓaghà rì kìɓeɓtàg ki nghay ɓi bàn ìnɛn, à yughà kì tuusɛɛ rì nyi. Ki ɓaghà di kaa finɛn yɛ̀ɛ ŋwaànɛ̀n à rɔ̀ɓkà kìtòn zɛy lɛ kɔɔ̀kɔɔ̀, kɛ̀ɛ laati ɓi naa, à lalày lɔŋ ɓi dɛm i zɔ̀ŋ. 
LUK.8.28	Yɛ̀ɛ ŋwaànɛ̀n à ghɛngà Yeesus, à kpì nyi a mɛ̀kòò, à syan jɛ̀ɛ̀ aɗyòò lɛ: Yeesus, Man à Bɛ̀ll ànɛ à teŋmɛɛ kɛ̀ɛ̀ vèg, ki ri wɔ̀ la ri mɛ̀? M̀ɓɔ̀ŋzaagh wɔ̀, kɔɔ yeesi ɓaà mɛ. 
LUK.8.29	À kpaaghà fɔlɔɔ ɓisuulɛ, Yeesus à kàŋkàŋgà kìɓeɓtàg ki nghay lɛ, kɛɛ kpaŋ ɓi ŋwaànɛ̀n. Kìɓeɓtàg ki ǹghay kìn ki yeèyèèsìghà ŋwàanɛ̀n ɓyààmɛ̀n lɛɛ̀gwey; ɓi ɗi lɛ ɓɛɛ ɓɛŋ̀ nyi kɛ̀ɛ dèŋdeŋ, ɓɛ ǹkàgàg nyi ɓɛn ɗì mɛ̀sɛ̀ŋi mɛ bɔŋ lɛ, rì ɓyàg rì mɛ̀kòò, kìɓan kifog, àa nti à pwagì bɛn yiǹ, kìɓeɓtàg ki nghay kìn ki tini nyi lɛ a kɛǹ kì dèŋdeŋi ɓi mɛ̀reɓ. 
LUK.8.30	Nni Yeesus à tɔkà nyi lɛ: Ù rì ɗii lɛ ghɛn? Ŋwaànɛ̀n à bàg nyi lɛ: Ǹɗì ɗii lɛ: Ɓìtuu, ɓisuulɛ ɓìɓeɓtàg ɓi mɛghay ɓi ɓaghà nyi bi nyoo ɓìtuu lɛ ɓìtuu. 
LUK.8.31	Fɔɔnnɛ ɓìɓeɓtàg ɓi mɛghay ɓìn ɓi ɓɔɔ̀ɓɔ̀ŋzìghà Yeesus lɛ, kɛ̀ɛ rom ɓyɔ lɛ ɓyɛ̀ kɛǹ ɓi rìɓee ɗi ɓiɓeɓtàg ɓi mɛghày. 
LUK.8.32	Coo kituu ki jèè ki ɓaghà wɔɔ jàŋbog, ki ɗiɗi ɓyaaɓi ɓi dòn aɗyòò. Fɔɔnnɛ ɓìɓeɓtàg ɓi mɛghay ɓi ɓɔŋzàkà Yeesus lɛ, a caɗ ɓyɔ, ɓyɛɛ kɛǹ kì ɗiŋii ɓi kìtuu ki jèè kiǹ, nni Yeesus à gherɛ̀ngà. 
LUK.8.33	Ɓìɓeɓtàg ɓi mɛghay ɓi kpaŋ min ɓi ŋwaànɛ̀n, ɓi ɗiŋì ɓi kìtuu ki jèè. Fɔɔnnɛ jèè yi kɛɛ̀ghrɛ̀ngày ɓi dòn aɗyòò, yi suùrɛ̀n ɓi rìɓày, yi cuu mɛnig. 
LUK.8.34	Yɛ̀ɛ ɓɛ̀ɓèŋì-jèè ɓɛ ghɛngà kìɓan kiǹ, nni ɓɛ ghɛŋìghà, ɓɛ kɛǹ kì sààtii ɓɔlɛ ànɛ̀n ɓi bàn, rì ɓi jɛ̀m i ɓilɔ̀ŋ. 
LUK.8.35	Fɔɔnnɛ ɓum ɓɛ pɛsàkày lɛ ɓɛ yuù kìghɛɛ̀ kìɓan ki ki kilɛ̀ngà kiǹ; ɓɛ tanɛ̀ngà ŋwaànɛ ɓìɓeɓtàg ɓi mɛghay ɓi pɛsɛ̀ngà ɓi nyoo ànɛ̀n di à kɔ̀kɔrii Yeesus a mɛ̀kòò, nyi rì ɓìlàà ɓi nyoo, à ki ɓa ɓi nyimiɗ, nni ɓɛ risìghà. 
LUK.8.36	Ɓumɓɛ ɓɛ ghɛngà kìɓan kiǹ kìcèm, ɓɛ kpaaghà ɓɛ̀roɓɛ ɓɛ yuyùghày ɓɛǹ, yɛ̀ɛ Yeesus à wɔ̀ɔ̀zìghà ŋwaànɛ à ɓaghà rì ɓìɓeɓtàg ɓi mɛghay. 
LUK.8.37	Nni ɓumɓɛ ɓi kìlɔ̀ŋ ki lɛ Geraza ɓɛ kpaaghà Yeesus lɛ a pɛsɛn ɓi kìlɔ̀ŋ kaa, a ghaagh fìràɓ, ɓisuulɛ ìris wu ɓangà ɓɔ lɛɛ̀gwey. Nni Yeesus à ɓɔkà ɓi kìkɔm, à sugtì a Galile. 
LUK.8.38	Fɔɔnnɛ ŋwaànɛ ɓìɓeɓtàg ɓi mɛghay ɓi kpagà ɓi nyoo ànɛ̀n à ɓɔ̀ɔ̀ɓɔ̀ŋzàkà Yeesus lɛ, nyii nɔɔ̀ti ànɛ̀n, wɔ̀lɛ Yeesus à ɓèèdɛ̀ng, à kpaa ŋwaànɛ̀n lɛ: 
LUK.8.39	Sugha a mɛɛ mɔɔ, u kpaa ɓum ɓɔɔ com ki Bɛ̀ll àa kìi wɔ̀; fɔɔnnɛ ŋwaànɛ̀n à sukà min, à lààlàmɓɛ̀n com ki Yeesus à kìghà nyi bàn bimiɗ.
LUK.8.40	Yɛ̀ɛ Yeesus à sukày rìkɛ̀ɛ̀ ɗi à ɓaghày cɛcɛɗ ki riɓày, nni gwìy ì ɓum ì ghàɓkà nyi, ɓisuulɛ ɓɛ̀sɛ̀ɛ̀ ɓɛ̀cèm ɓɛ ɓoŋɓòŋgà nyi. 
LUK.8.41	Fɔɔnnɛ ŋwaàdɛŋ ɗii lɛ Zyayirus, ànɛ à ɓaghà ǹlàmì ànɛ ɓi naà-bɔ̀ŋzɛ̀n, à yughày Yeesus a nyoo, à kpì nyi a mɛ̀kòò, à ɓɔ̀ŋzì nyi lɛ a yu a mɛɛ mii, 
LUK.8.42	ɓisuulɛ, à ɓaghà lɔŋ maa man bog, àncèm giɓ, di à ti bèg ǹtɛ̀ɗ rì yiɓɛɛ̀; nni man ancèm à kɔ̀ɔ̀kɔ̀ɔ̀sìghà. Yɛ̀ɛ Yeesus à kɛ̀nkɛ̀ngà wɔɔ, gwìy ì sììsììrìghà nyi lɛɛ̀gwey.
LUK.8.43	Nni giɓ adɛŋ à ɓaghà wɔɔ, bwaɓ yi kpaŋkpàŋ nyi, di à ti ɓi fìroɓ fìn bèg ǹtɛ̀ɗ rì yiɓɛɛ̀; à ɓaghà di à mɛ yogsi ɓɔɔ ɓyom ɓii ɓɛ̀cèm a ɓɛ̀ɗɔgtà, nsoò kìbog ki ɓi ɓɔ, ki wɔɔ̀zìghà ɓì nyi. 
LUK.8.44	Fɔɔnnɛ giɓ anɛ̀n à cègày Yeesus ajɛ̀m, à kòm rìkeɓ ɗii ɗi kilàà, bwaɓ yi yi kpaŋkpàŋgà nyi yi ghas kì renɛɛ lɔŋ wɔɔ foo. 
LUK.8.45	Nni Yeesus à tɔkà lɛ: Ghɛn yɛɛ komi mɛ̀ lɔɔ? Ɓum ɓɛ̀cèm ɓɛ ɓaghà ɓɛ ti ɓiì rooroòzɛ̀n, nni Pyɛɛri à ɓakà nyi lɛ: Ǹɗèsàg, ɓum ɓɛɛ ceŋzɛɛ wɔ̀ lɛ, ɓɛ ki sìisiìrì wɔ̀. 
LUK.8.46	Wɔ̀lɛ Yeesus à pɛ̀ɛ̀zì nyi lɛ: Mum à kòmi mɛ̀, ɓisuulɛ, ǹwoogh yɛ̀ɛ ìtèɗ wudɛŋ wu kpaŋiì mɛ̀ ɓi nyòò. 
LUK.8.47	Yɛ̀ɛ giɓ anɛ̀n à ghɛngà lɛ, kìɓan ki àa kìi ki yiìdi a rìnyam, nni à yùghà kì kpìi Yeesus a mɛ̀kòò di a nìighniŋdɛ̀n, à kpaa nyi ɓi mis mɛ ɓum ɓɛ̀cèm ɓisuucɛ nnɛ àa kòmi nyi, rì yɛ̀ɛ àa ghàsi kì wɔ̀ni lɔŋ yɛ̀ɛ àa kòmi nyi. 
LUK.8.48	Fɔɔnnɛ Yeesus à kpaaghà min nyi lɛ: Gɔ̀n yɛ̀m! rìgherɛ̀n ɗyɔɔ ɗi ghɛɓsii wɔ̀, kɛ̀na lɛ fyòoog!
LUK.8.49	Yeesus à kaka à kpaakpàà giɓ anɛ̀n fɔlɔɔ, nni mum à pɛ̀sɛ̀ngày a mɛɛ mɛ nlàmì ànɛ ɓi naà-bɔ̀ŋzɛn, à yù kì kpaa lɛ: Zyayirus, gɔ̀n yɔ̀ɔ̀ i ti kìloŋ, kɔ̀ɔ yeesi ti ǹɗèsàg zɛy. 
LUK.8.50	Kìɓan kifog, Yeesus à wokà kìɓan ki ŋwaànɛ̀n à kpaaghà, fɔɔnnɛ à kpaaghà Zyayirus lɛ: Kɔ̀ɔ risi! Lɔŋ ǹtyweeyi wɛɛ̀wu ɓaya rì wɔ, di gɔ̀n yɔ̀ɔ̀ yɛ̀ɛ ɓa rì cɛɓ. 
LUK.8.51	Yɛ̀ɛ à kpagà a mɛɛ mɛ ŋwaànɛ̀n à gherɛ̀ngà ɓì lɛ, ɓum ɓɛɛ ɗiŋi ɓi naa ǹɗaŋ ri nyi, i ki cee ɓi lɛ, rì Pyɛɛri rì Zyaŋ rì Zyag, rì ɓɛ̀yalì man ànɛ̀n, ɓɛɛ̀ɓɛ à càɗkà lɛ ɓɛɛ ɗiŋì. 
LUK.8.52	Ɓum ɓɛ̀cèm ɓɛ rɔŋɗɔ̀ŋgà ɓìkiŋ di ɓɛɛ̀ sàasarɛ̀n rì ǹɗemi-kɛŋɛn ɓisuu man ànɛ̀n. Nni Yeesus à kpaaghà min ɓɔ lɛ: Kɛ̀ ɓi rènɗen, a wii ɓi, à rì ɓi fìlo. 
LUK.8.53	Ɓumɓɛ̀n ɓɛ fengàkà nyi, lɛ ɓɛ yighà saaɗ lɛ mutyàà rì kìloŋ. 
LUK.8.54	Kìɓan kifog Yeesus à ɓangà man ànɛ̀n ɓi càg, à kpaa jɛ̀ɛ̀ aɗyòò lɛ: Mutyàànɛ pɛ̀sɛn aɗyòò. 
LUK.8.55	Nghay wu ŋwɔɓti wu sugtìì, à ghàs kì pɛ̀sɛɛ aɗyòò, Yeesus à tɔg min lɛ ɓɛɛ fa nyi ɓìɗilàg. 
LUK.8.56	Ɓɛ̀yalì man ànɛ̀n ɓɛ kuuràkà lɛɛ̀gwey, wɔ̀lɛ Yeesus à siitàg ɓɔ lɛ: Ɓɛ̀ kɛɛ̀ kpaa mum kìɓan ki ki kilɛ̀ngà kiǹ.
LUK.9.1	Nni Yeesus à taŋzɛ̀ngà ɓɛ̀yilàg ɓii ǹtɛ̀ɗ rì ɓɛɓɛɛ̀, à fa ɓɔ itèɗ wu nàɓɛn ɓiɓeɓtàg ɓi mɛghay mɛ̀kuu mɛ̀cèm, rì wulɛ ɓɛɛ wɔɔ̀wɔ̀ɔ̀zì ɓɛ̀roroɓ. 
LUK.9.2	Fɔɔnnɛ à romgà ɓɔ lɛ, ɓɛɛ kɛǹ ki làalam̀ɓɛ̀n Syeesyee à Ɓɔlɛ à kìlɔ̀ŋ ki Bɛ̀ll ɓɛ ki wɔ̀ɔwɔɔ̀zì ɓɛ̀roroɓ. 
LUK.9.3	Nni à kpaaghà ɓɔ lɛ: Kɛ̀ ɓi ɓanɛn com yɛ̀ɛ ɓi kɛ̀nkɛ̀n, kɛ̀ ɓi teɗ nsoò kìgeŋ, nsoò ɓàm, nsoò com kiɗiyɛn, nsoò mɔ̀ɔ̀ni, nsoò ɓìlàà ɓiɓɛɛ̀. 
LUK.9.4	Naa bimiɗ ìnɛ ɓɛ ghaɓi mìni wɔɔ, kɔ̀riina ɓi naa ìnɛ̀n, à kpaŋ yɛ̀ɛ ɓi rì wɔɔ ɓiì pɛ̀sɛɛ lɛ ɓi ghaàgh. 
LUK.9.5	Jàŋ bimiɗ ìnɛ ɓɛ beni mìni kì ghàɓi, kùrina kùrùɓu ànɛ mìni ɓi mɛ̀kòò di ɓì ti ɓiì pɛ̀sɛɛ ɓi bàn ìncèm, rìkì ɗiǹ ɗyɛ resi zɛ̀ɗ yaà. 
LUK.9.6	Fɔɔnnɛ ɓɛ̀yilàg ɓɛǹ ɓɛ kɛngà, ɓɛ rereni ɓìlɔ̀ŋ di ɓɛɛ̀ kakali ɓum Syeesyee à Ɓɔlɛ, ɓɛ wɔɔ̀wɔ̀ɔ̀zì ɓum jàŋbimiɗ.
LUK.9.7	Yɛ̀ɛ Eroodɛ à wokà gɛ ɓìɓan bimiɗ ànɛ Yeesus à kìkìghà ànɛn, ɗyomzɛ̀n ɗi ɗim nyi, ɓisuulɛ ɓum ɓɛdɛŋ ɓɛ kpaakpààghà lɛ: Zyaŋ ànɛ̀n yɛɛ ghem̀ɓɛɛ yì a nyɔ̀ɛ̀y. 
LUK.9.8	Ɓum ɓɛmbog lɛ Eli ànɛn yɛ̀ɛ resɛɛ tì; ɓɛdɛŋ tì lɛ, kìbog ki ɓi ɓɛ̀kpaŋzì-ɓìɓan ɓɛ abɛ̀y kɛɛ ghemɓɛɛ yì a nyɔ̀ɛ̀y. 
LUK.9.9	Fɔɔnnɛ Eroodɛ à tɔɔ̀ghtɔ̀ɔ̀ghrɛ̀ngà rì ǹɗem lɛ: Mɛ̀ɛmiɗ yɛɛ kpaaghà lɛ, ɓɛɛ ren ǹto wu Zyaŋ; nni roànɛ rìkem ɗyɛɛ̀ pàpas mɛ ànɛ, nyi ri ɓà ghɛn? Fɔɔnnɛ à kaakààghà bee inɛ lɛ a ghɛǹ Yeesus.
LUK.9.10	Nni ɓɛ̀yilàg ɓɛ Yeesus à romgà ɓɛ sugtìghày, ɓɛ kpaa nyi ɓìɓan ɓìcèm ɓi ɓɛ kighày, fɔɔnnɛ à syògà ɓɔ lɛ ɓɛɛ kɛǹ kìpàs ɓi bàn ìdɛŋ ɗii lɛ Bɛdsayida. 
LUK.9.11	Yɛ̀ɛ ɓìtuu ɓi ɓum ɓi wokà jàŋ inɛ à ɓaghà, nni ɓi nɔɔtàkà nyi wɔɔ, Yeesus à ghàɓ ɓɔ lɛ syeesyee, à kpaakpaa ɓɔ ɓɔlɛ̀ à kìlɔ̀ŋ ki Bɛ̀ll, à ki wɔ̀ɔwɔɔ̀zì ɓumɓɛ ɓɛ ɓaghà rì rìkɛŋ ɓi nyòò.
LUK.9.12	Di ŋwos a ti ɓiì kɛ̀nkɛni, nni ɓɛ̀yilàg ɓii ǹtɛ̀ɗ rì ɓɛɓɛɛ̀ ɓɛ tyɛɛ̀tɛ̀ngày, ɓɛ kpaa nyi lɛ: Kali gwìy ì ɓum ìnɛ lɛ, yɛ̀ɛ kɛǹ ɓi ɓìlɔ̀ŋ rì ɓi jɛ̀m yi ɓilɔ̀ŋ ɓi ɓi ri fɛ jàŋbog, ɓɛɛ kaà fìlo, rì com ki ɓɛ rì lɛ ɓɛ ɗi, ɓisuulɛ jàŋ inɛ tì rì ìnɛ ì rì kɛ̀ɛ̀ com. 
LUK.9.13	Yeesus à ɓàg ɓɔ lɛ: Mìniìɓɔmiɗ, faana ɓɔ ɓìɗilàg; wɔ̀lɛ ɓɛ̀roɓɛǹ ɓɛ kpaa nyi lɛ: Tì rì lɔŋ fɛ lɛ bìrɛs yitaǹ, rì ɓìzɛn ɓìɓɛɛ̀; tì rì lɛ tì lam ɓumɓɛ ɓɛ̀cèm di tì ɓa tii yì nya kìlaàgh ɓiɗilàg ɓidɛŋ ɓisu wàà. 
LUK.9.14	Ɓumɓɛ̀n ɓɛ ɓaghà nunùg ɓum ɓɛ̀tɔɔsìm ɓɛtaǹ. Yeesus à kpaaghà ɓɛ̀yilàg ɓii lɛ: Kɔ̀ɔ̀siina ɓɔ ɓì gwìy ɓi gwìy; gwìy bog ɓum mɛ̀tin mɛɓɛɛ̀ rì ǹtɛ̀ɗ. 
LUK.9.15	Nni ɓɛ̀yilàg ɓɛ kìghà lɔŋ yɛ̀ɛ Yeesus à kpaaghà, ɓɛ kɔɔ̀sì ɓumɓɛ̀n ɓɛ̀cèm ɓi zi. 
LUK.9.16	Fɔɔnnɛ Yeesus à tekà bìrɛs yi kitaǹ yiǹ, rì ɓìzɛn ɓi kiɓɛ̀ɛ̀, à ɓegsì mis aɗyòò, à fa Bɛ̀ll ɓìtògsɛ̀n, à ɓɛkì bìrɛs, à syòngì ɓìzɛn, à fa min ɓyom ɓìn ɓìcèm rì ɓɛ̀yilàg ɓii, lɛ ɓɛɛ kaɓsi gwìy ì ɓum ìnɛ̀n. 
LUK.9.17	Ɓum ɓɛ̀cèm ɓɛ ɗìghà, ɓɛ wuràg ɓɛ ki taŋzɛn ɓìɓɛghà ɓi ɓi rɔ̀ɓtàkà ɓi ron ɓìkàɗ ǹtɛ̀ɗ rì ɓiɓɛɛ̀.
LUK.9.18	Ŋwos adɛŋ, di Yeesus a kìki bɔ̀ŋzɛ̀n kìpàs nɗaŋ ri ɓɛ̀yilàg ɓii nni à tɔkà ɓɔ lɛ: Gɛ ɓìtuu ɓi ɓum ànɛ a fèki ɓaà lɛ mɛ̀ ǹɗì ghɛn? 
LUK.9.19	Fɔɔnnɛ ɓɛ̀yilàg ɓɛ ɓakà nyi lɛ: Ɓum ɓɛdɛŋ ɓɛɛ kpaaghi lɛ, ù rì Zyaŋ Bàɓtis, ɓɛmbog lɛ, wɔ̀ yɛɛ ri Eli, ɓɛmbog tì lɛ, ù rì kìbog ki ɓi ɓɛ̀kpaŋzì-ɓiɓan ɓɛ abɛ̀y, ki ki ghemɓɛɛ yì a nyɔ̀ɛ̀y. 
LUK.9.20	Nni à tɔgtìghà ɓɔ lɛ: Mìniìɓɔmiɗ ɓi kpaaghi lɛ mɛ̀ ǹɗì ghɛn? Fɔɔnnɛ Pyɛɛri à ɓàkà nyi lɛ: Ù rì Kiris ànɛ Bɛ̀ll à romiì. 
LUK.9.21	Yeesus à siitɛ̀n ɓɔ, à sììràg ɓɔ kì kpaà lɛ, ɓɛ̀ kɛɛ̀ kpaa ɓum lɛ nyii ri Kiris.
LUK.9.22	Nni à ɓɔ̀ɓtìghà jɛ̀ɛ̀ lɛ: Ki ghɛɛ̀sɛɛ lɛ Man à mum a wog rìkɛŋ lɛɛ̀gwey; ɓɛ̀sɛ̀ɛ̀mɛn ɓɛ Ɓɛ̀yudɛ̀n rì ɓɛ̀pìrɛɛtìrɛ̀ ɓɛgwey, rì ɓɛ̀rèsàg-ɓìdɔ̀gsɛna ɓɛ rì nyi ɓiì roòzɛɛ, ɓɛ ki wey nyi; kìɓan kifog à ghèmɓɛ̀n ɓi ŋwos a kìraa.
LUK.9.23	Ajɛ̀m ìnɛn Yeesus à kpaaghà ɓum ɓɛ̀cèm lɛ: Ŋwaànɛ ki kɔni lɛ a nɔɔ̀ti mɛ̀, à ghɛ̀ɛ̀sɛɛ kì roòzɛɛ nyimiɗ, à ki tɛ̀g kɔrɔs wìì ŋwos anɛ aɗyòò bimiɗ, fɔɔnnɛ à nɔ̀ɔ̀tì min mɛ, 
LUK.9.24	ɓisuulɛ, mum ǹcèm ànɛ à rì ɓiì kɔ̀ni lɛ a kamɛn rì cɛɓ kii à rì kɔ ɓiì ɗimzii, ŋwaànɛ à ɓiì ɗimzii cɛɓ kii lɛ mɛ̀, nnyɛ̀ɛ ri kɔ ɓiì ghɛɓsii. 
LUK.9.25	Ki ghɛɓsii mum cɛ lɛ a fɔ̀n ziinɛ bimiɗ di à ɗimzii cɛɓ kìì? 
LUK.9.26	Ɓisuulɛ ŋwaànɛ à rì mɛ̀ ɓiì woògh ǹtoòrìɗ, nsoò lɛ à wog ɓìɓan ɓyɛm̀ ǹtoòrìɗ, Man à mum à woogh gɛ nyi girig ǹtoòrìɗ yɛ̀ɛ à yùugɛy ɓi rìkem ɗii, rì ɗì Seŋì, rì ɗi ɓumɓɛ titom ɓɛ ɓɛ ri ɓɛ̀tɛnɛn. 
LUK.9.27	Ǹkalii mìni saaɗ à rìkpàà lɛ, kìgwey ki ɓi ɓumɓɛ ɓɛ rɛrɛlii ɓɛ, kaa cuu ɓi di ki ka ghɛn ɓi kilɔ̀ŋ ki Bɛ̀ll.
LUK.9.28	Yɛ̀ɛ Yeesus à kpaaghà ɓìɓan ɓiǹ, mɛ̀ru mɛ ghaghìghà fɛlɛ yɛ̀ɛ taàraa; fɔɔnnɛ à tekà lɛ, rì Pyɛɛri, rì Zyaŋ rì Zyag ɓɛ ɓɔg ɓi dòn aɗyòò lɛ ɓɛɛ ɓɔŋzi Bɛ̀ll. 
LUK.9.29	Yɛ̀ɛ Yeesus à kìkìghà bɔ̀ŋzɛ̀n, ìsu wii wu koɓsɛ̀n, ɓìlàà ɓii ɓi sug ɓì puɓ lɛ syaŋ̀syaŋ̀. 
LUK.9.30	Fɔɔnnɛ ɓɛ sigmɛ̀ngà di à ti ɓiì tòtoogh ri ɓum ɓɛdɛŋ ɓɛɓɛɛ̀; ɓɛ ɓɛ ɓaghà lɛ rì Moyis rì Eli. 
LUK.9.31	Ɓɔ yɛɛ resɛ̀ngày rì coo rigwey, ɓɛ kpaakpàà kìɓan ki risug ɗi Yeesus ɗi ɗi ghɛɛ̀sɛ̀ngà kì kìlɛɛ a Yorisalɛm. 
LUK.9.32	Fɔɔnnɛ Pyɛɛri rì ɓɛ̀reŋkàŋ ɓii ɓɛ cuughà tìlo; yɛ̀ɛ ɓɛ ghemɓɛ̀ngà, ɓɛ ghɛn rìgwey ɗì Yeesus, rì ɓum ɓɛ kiɓɛ̀ɛ̀ ɓɛ à ɓaghà rì ɓɔ ɓɛ̀n. 
LUK.9.33	Yɛ̀ɛ ɓumɓɛ̀n ɓɛ ɓaghà di ɓɛ ti lɛ ɓɛɛ ghasɛn rì Yeesus, nni Pyɛɛri à kpaaghà nyi lɛ: Ǹɗèsàg! ki rì kìrɔɔ di tì rɔ̀ɓi fɛ, tì toŋ ɓìlaa ɓiraa, kìfog ɓisuu wɔɔ, kìfog ɓisuu Moyis, kìfog ɓisuu Eli. À yighà gì ɓì com ki à kpaakpààghà. 
LUK.9.34	Yɛ̀ɛ à kpaaghà fɔlɔɔ, nni kìkwìɗ ki yughà, ki riɓì ɓɔ, ìris wu ɓan ɓɛyilàg di ki ti ɓɔ ɓiì rìɓii. 
LUK.9.35	Fɔɔnnɛ jɛ̀ɛ̀ ì ɓaghày ɓi kìkwìɗ lɛ: Roànɛ, à rì Man wɛm̀ ànɛ ǹɗɔ̀tɛ̀ngà, wooghna nyì. 
LUK.9.36	Yɛ̀ɛ jɛ̀ɛ̀ ì tòòghrɛ̀ngà, ɓɛ sigmɛ̀n lɛ Yeesus à mɛ rɔ̀ɓ cɛ̀ncii. Ɓɛ̀yilàg ɓɛ nyamgà kìɓan ki ɓɛ ghɛngà kiǹ ɓi mɛ̀ru mɛ̀n, ɓɛ̀ kɛɛ̀ ɓùŋ mum kɔ.
LUK.9.37	Ɓi duri tana, yɛ̀ɛ Yeesus rì ɓɛ̀yilàg ɓii ɓɛ sɛngày dòn, coo gwìy ì ɓum ì yughà kì ɓoŋì Yeesus. 
LUK.9.38	Nni ɓi nyìinyìm à gwìy ì ɓum ìnɛ̀n, ŋwaàdɛŋ à syangà jɛ̀ɛ̀ aɗyòò lɛ: Ǹɗèsàg! kùrùg m̀ɓɔ̀ŋzaagh wɔ̀, pɛɓsɛn ɓà mɛ ŋwɔɓti wɛ̀m ànɛ, ɓisuulɛ nnyɛɛ ri lɔŋ maa m̀bobog wɛ̀m à man. 
LUK.9.39	Kìɓeɓtàg ki nghay kidɛŋ ki ti lɛ, i ki sɛni ɓi nyi, à tumɛ̀n rìsyan a kɔ̀ɔ̀ à kìkì lɛ zaɗ zaɗ, di a fuufuùsì tìtyɛɛ; ki ti ki ɓalàg kìtètèɗ ki kiɓan lɛ kìɓeɓtàg ki ǹghay kìn kɛɛ caɗ nyi, ki mɛ fɔɔsi nyi lɛ kɔɔ̀kɔɔ̀. 
LUK.9.40	Mɛ̀ɛ m̀ɓɔ̀ŋzaagh ɓɛ̀yilàg ɓɔɔ lɛ ɓɛɛ naɓ kìɓeɓtàg ki ǹghay kìn, nni ki n-yaagh ɓɔ rìnàɓ. 
LUK.9.41	Yeesus à ɓàg lɛ: Mìni ɓumɓɛ ɓì rì kɛ̀ɛ̀ rìgherɛ̀n, ɓì ki ɓa ɓiɓeɓtàg ɓi ɓum ɓɛ! Ǹɗì ɓiì kɔ̀rii ti rì mìni ǹki nìniɗ ǹɗem rì ɓìɓan ɓin à kpaŋ fin? Yuiy fɛ rì man wɔɔ̀. 
LUK.9.42	Yɛ̀ɛ mutyàànɛn à tyɛ̀ɛ̀tɛ̀ngà yɛ̀ɛ Yeesus, kìɓeɓtàg ki ǹghay ki sɛn ɓi nyi, ki roŋ ɓi zi, à tumɛ̀n rì kìkì lɛ zaɗ zaɗ; fɔɔnnɛ Yeesus à fwààdɛ̀ngà kìɓeɓtàg ki ǹghay, à wɔ̀ɔ̀zì ŋwɔɓti, à pɛ̀ɛ̀zì nyi rì seŋì. 
LUK.9.43	Fɔɔnnɛ ɓum ɓɛ̀cèm ɓɛ ɓɛ ɓaghà wɔɔ ɓɛ kuuràkà rìgwey ɗi itèɗ wu Bɛ̀ll.
LUK.9.43	Yɛ̀ɛ ɓum ɓɛ ɓaghà di ɓɛɛ̀ ka kuukuùghràg ɓɛ̀koŋnyoo ɓɛ ɓiɓan ɓɛ Yeesus à kìkìghà ɓɛǹ, nni à kpaaghà ɓɛ̀yilàg ɓii lɛ: 
LUK.9.44	Ramina mɛ̀reè, ɓi wog kìɓan ki ǹ-yùu mìni kì kpaà ki. Ɓɛ ri ɓiì kàɓi Man à mum ɓi ɓyàg ɓi ɓum. 
LUK.9.45	Kìɓan kifog, ɓɛ̀yilàg ɓii ɓɛ wokà ɓi azi anɛ ɓi rìkpaa ɗìn; ɗi rɔɓkà ɓɔ kìrìirìɓ lɛ ɓɛ̀ kɛɛ̀ yi azi anɛ miì, ɓɔɔ ki rirìsìghà nyi rìtɔg ɗi azi anɛ ɓi kìɓan kiǹ.
LUK.9.46	Fɔɔnnɛ ɓɛ tumɛ̀ngà rìnyoònyòlɛ̀n lɛ ɓɛɛ yi ghɛn anɛ ɓi ɓɔ yɛɛ cee ɓɛ̀ro ɓɛmɓòg. 
LUK.9.47	Yɛ̀ɛ Yeesus à yìghà com ki ɓɛ fefèkà ɓi mɛ̀rem maa, nni à tekà maa ŋwɔɓti, à rɛsì nyi ŋwɔŋì rì nyi, 
