MAT.1.1	Hên né dɔ̀gɔ̀tì bɔ̀ nùàr Yeésò *Kristò. À né *ndùté ndùtù Davîd; Davîd né ndùté ndùtù Abrahâm.
MRK.6.6	Gèh temé mé bɔ̀ nùàr lé yoòr seèn kwá njí ná ŋgwêh sâ, lé naâ bú hiím yɔgɔ́.
MRK.6.6	Jomo sâ Yeésò nde bèh ŋgòr Càŋ lelɔ feh bele ndɔ. 
MRK.6.7	À yilá bilí bɔ̀ mbɔ̀ŋ yulà cùɔ̀b fà doô, à tema sɔm bɔ́ fèfà fèfà, à jege haá bɔ́ terreb te bɔ́ kwɔgɔ́ sɔm bele bɔ̀ nùàr càŋ tándulu yoòr, 
MRK.6.8	ye bɔ́ a: «Mɔ bí baá mé gò, bí té njeré déì beè wèh sìè, kɔ né cegé cùgò. Bí té yáb beè wèh sìè, né mene ba, né mene kàgàlɔ̀ŋ, bí té beè wèh sìè. 
MRK.6.9	Bí yí lòm débágá, bí té cɔ̀gɔ̀ fà sù sìè ndɔ.»
MRK.6.10	À den cuù, ye bɔ́ a: «Mɔ bí wa baá lè lɔɔ́ déì, bɔ́ feh bí bèh cèrrè, bí dèn lòm gwò sâ, kɔ gò biì wulù baá, bí yuo ye. 
MRK.6.11	Mɔ bí wa beré déì, bɔ́ bí wèh ŋgwéh, bɔ́ tie te ŋgòr biì félá njí ŋgwéh, bí yùò kwá lɔ́ bɔ́ nɔɔ́ŋ. Mɔ bí baá doó sâ yuo, bí kàrè sɔ̀m gí fùfú lɔɔ́ sâ gulè biì, te duɔɔ̂m bɔ́ toò tueé kwaâ.»
MRK.6.12	Bɔ̀ mbɔ̀ŋ fɔɔ́n gò ndɔ, bɔ́ né mé ŋgòr Càŋ se ndeé, ye bɔ̀ nùàr a: «Bí kwéh sér temé biì kweèh.» 
MRK.6.13	Bɔ́ né nùàr ŋgún càŋ yoòr kwɔgɔ́ sɔm bele, bɔ́ né bɔ̀ beén bɔ̀ kókoó kómó bɔ, bɔ́ né bɔ́ mé njéh taré sɔm bele ndɔ.
MRK.6.15	Bɔ̀ déì ye: «Né *Elî.» Bɔ̀ déì den cuù ye: «Né *sòn-Càŋ déì faá bɔ̀ sòn-Càŋ bɔ̀ dé léí toò nɔ.»
MRK.6.16	Herôde yeé ŋgweé aá ménâ, à sie lom aá dé seèn ye: «Né Jâŋ Bàptîs. Nyí lé naâ bú feh tená; à komo yuo cuù né dòù kɔɔ́.» 
MRK.6.17	Sâ Herôde lé seèn tueé naâ kɔɔ́, ye bɔ́ sìè kàgà njí Jâŋ gwà cibì. À lé bú môn bɔɔ́ kuú naâ felè Herodiâs, veèh Filîp dìm seèn. À lé naâ ma sâ gwò ŋgaá kwaá njií. 
MRK.6.18	Sâ Jâŋ lé naâ bú teèn bèsɔ́nè tueé njií ndɔ, ye bú a: «Né jolo. Wò sé lé veèh dìm yeè gwò wèh kwá ná ŋgwêh!»
MRK.6.19	Yeé baá ménâ, Herodiâs sie kwaá lom aá Jâŋ lè, ye kɔ nyí bɔɔ́ wula sɔm aá bú ndɔ. Njèh cén, à lé lɔ́ŋ beè Herôde kwà ná ŋgwêh lòù. 
MRK.6.20	Lòù sam, Herôde lé naâ Jâŋ veéh, ye Jâŋ né lom nùà dilî, nùà gècên. À lé naá beéh Jâŋ cií ndɔ. Gwaán né mene bú ki, mé njéh mene ye kɔ nyí né tie te ŋgòr seèn felá njií.
MRK.6.21	Te cu sâ cieé mé bɔ́ lé ŋaár naâ bú teèn yɔŋ kwaré cu ndɔ. À yilá baá-re bɔ̀ nùàr, te bɔ́ nde teèn. À lé naâ bɔ̀ kokoô bɔ̀ seèn yilá, à yilá bɔ̀ kwaá-taâb, mé bɔ̀ kokoô bɔ̀ te tàbè Galilê mene, ye bɔ́ a, bɔ́ ndé gî teèn. Loù cieé koô sâ, Herodiâs kwa keéh baá-re lɔ́ŋ teèn. 
MRK.6.22	Sâ ŋuna seèn dé vêh lé naâ bené ké gwò ŋgɔ. Yeé baá Herôde bɔ́ bɔ̀ nùàr yoòr huɔɔ́m, Herôde ye huaán a: «Njií mé wò né gwaán dɔɔ́ŋ, mɔ wò bie, mè nde né wò haá.» 
MRK.6.23	À jege yií teèn ndɔ, ye bú a: «Né mene tàbè nyî, nyí nde né wò kèb déì kɔb haá.» 
MRK.6.24	Huaán vêh doô yuo kela ndɔ, nde ké yoòr meî, ye meí a, nyí júée bú a, há nyí kei wa? Meí ye bú a: «Júée bú a: há nyí feh Jâŋ Bàptîs ma.»
MRK.6.25	Huaán doô ndɔr nde cu gè jomo yoòr mgbè, ye bú a: «Mè né feh Jâŋ Bàptîs te suúŋe kènê gwaán.» 
MRK.6.26	Te mgbè Herôde yeé nde ŋgweé njií mân, temé yili lom bú lè lég, à munó njií jègè mé à la naâ toò bɔ̀ nùàr jege doô, yɔgɔ́ bú dé berɔ̂ŋ. 
MRK.6.27	À yilá njiî sɔ́jì seèn cén déì ndɔ, ye bú a: «Ndé téná wèllè feh Jâŋ Bàptîs.» Sɔ́jì hèllè yuo ndɔ, nde ké gwà cibì, tena waà mé feh Jâŋ lè suúŋe, 
MRK.6.28	haá njií mé huaán doô. Huaán doô nde mé meí haá njií ndɔ. 
MRK.6.29	Bɔ̀ mbɔ̀ŋ Jâŋ yeé ŋgweé aá ménâ, bɔ́ nde furú njií kukuŋ dòù ndɔ.
MRK.6.30	Bɔ̀ mbɔ̀ŋ tebê cu cuù ndɔ, bɔ́ tueé Yeésò njií mé bɔ́ lé bɔɔ́ keéh naâ, mé bɔ́ lé feh keéh naâ dɔɔ́ŋ. 
MRK.6.31	Cu sâ nùàr ŋgún lé naâ waâ, bɔ̀ déì né ndeê, bɔ̀ déì né cuú. Né mene dé yáb yieê, Yeésò bɔ́ bɔ̀ mbɔ̀ŋ lɔ́ŋ kwà ŋgwéh. Yeé baá ménâ, ye bɔ̀ mbɔ̀ŋ seèn a: «Béh nde ser ké bèh ndɔ́ŋ-ndɔ̀ŋ, te bí ko weh teèn.» 
MRK.6.32	Bɔ́ yila kɔm ndɔ, bɔ́ fɔɔ́n gò, bɔ́ nde ké bèh ndɔ́ŋ-ndɔ̀ŋ léláŋ bɔɔ̀n. 
MRK.6.33	Bɔ́ yeé baá ndeé, bɔ̀ nùàr kókoó mbaá lé naá giì bɔ́ ŋené kɔɔ́, bɔ́ né te lɔɔ́ dé kàn, mé dé kân kem yuoô, bɔ́ né teèn mé gule durá ndeé. Mé bɔ̀ Yeésò nde waá, sâ bɔ̀ nùàr baá gi cu doó.
MRK.6.35	Nde nde, lou yeé yuɔm aá, bɔ̀ mbɔ̀ŋ seèn ŋgoró nde kwarè seèn, bɔ́ ye bú a: «Cu nde aá kelá, bèh hên né ká jomo ndɔ. 
MRK.6.36	Wò sé la kwaá lɔ bɔ̀ nùà hên nde cu lelɔ yáb fɔɔ́n ŋge yieé.» 
MRK.6.37	Yeésò ye bɔ́ a: «Bí há bɔ́ yáb kɔɔ́.» Bɔ́ ye bú a: «Wò ye béh ndé ŋgè há bɔ́ yáb lòù, te béh njèh kám yuií fà dɔɔ́ŋ weh ndeè né he wa?» 
MRK.6.38	À den cuù, ye bɔ́ a: «Bí ndé jɔ̀gɔ̀ fɔ́n ke lètenè biì, bí né mé breêd beè meèn wa?» Bɔ́ yeé fɔɔ́n ŋene aá, bɔ́ ye bú a: «Beè beèh né breêd tîn mé ŋgò fà.»
MRK.6.39	Jomo sâ ye bɔ́ a: «Bí júée bɔ̀ nùàr a, dèn ndé gí doó te nyurè, bɔ́ dèn bílí mɔ̀gɔ̀ mɔ̀gɔ̀ ma.» 
MRK.6.40	Bɔ̀ nùàr den nde doó ndɔ, bɔ̀ mɔ̀gɔ̀ déì mé nùàr teèn yuií, bɔ̀ déì yulà títîn. 
MRK.6.41	Bɔ́ yeé den gi aá, Yeésò weh breêd tîn mé ŋgò fà doô, à ke njií njolo ké te vulúu, à dua Càŋ teèn, à kɔlé haá njií breêd mé bɔ̀ mbɔ̀ŋ, te bɔ́ geé haá bele bɔ̀ nùàr. À geé yɔŋ cu bɔ̀ ŋgò fà doô lètenè bɔɔ̀n dɔɔ́ŋ ndɔ. 
MRK.6.42	Nùàr dɔɔ́ŋ yieé fulu gi; 
MRK.6.43	ndilí le, breêd mene, ŋgò mene. Bɔ̀ mbɔ̀ŋ ŋuaán bilí, yuú sɔgɔ́ yulà cùɔ̀b fà.
MRK.6.44	Sâ lètenè bɔ̀ nùàr mé lé naâ yieé dɔɔ́ŋ, bɔ́ kula weh cegé né bɔ̀ siíb kám tîn.
MRK.6.45	Dèn sɔ́ ŋgwéh, Yeésò kou yií njií bɔ̀ mbɔ̀ŋ seèn lè kɔme, te bɔ́ sela kela toò, bɔ́ nde kela den bú yí Becaida; à le ŋgɔgɔ̂ dé seèn ká jomo, te à sɔm gi bɔ̀ nùàr. 
MRK.6.46	Bɔ̀ nùàr yeé yuo gi aá, à ŋaá nde dé seèn ké te tòre bèh Càŋ duaà. 
MRK.6.47	Cibí yili lɔ bú ké teèn. Sâ bɔ̀ mbɔ̀ŋ baá gi mé kɔm ké lètenè nòmò. À ká cie le lom aá mé huún. 
MRK.6.48	À yeé ke, bɔ́ bɔ̀ fu tarê baá ké dùà kwaré, bɔ́ né gèr mé njéh ŋené, bɔ́ né mene kɔgɔ́, kɔm ndé kòmò cú.
MRK.6.48	Nde nde, yeé baá mé be lɔ̂m nèà, à nde ké yoòr bɔɔ̀n ndɔ, à dé seèn gɔ nde seér felè nòmò felè nòmò, ye te nyí kela keéh bɔ́. 
MRK.6.49	Te bɔ́ yeé nde ŋene njií, à baá felè nòmò gɔ ndeé ménâ, bɔ́ sɔm kéŋ, ye merré déì né càŋ tándulu. 
MRK.6.50	Lòù sam, bɔ́ lé naá giì bú dɔɔ́ŋ ŋené laré, veéh lé naâ bɔ́ njèh bɔɔ́ ndɔ. Tètèì sam, ye bɔ́ a: «Bí sìè temé, né mè; bí té vèh.» 
MRK.6.51	À ŋaá yila nde yí te kɔme yoòr bɔɔ̀n; fu hèllè pɔ́ŋ ndɔ. Geí su njií bɔ̀ mbɔ̀ŋ doó. 
MRK.6.52	Lòù sam, bɔ́ lè né mé temé macùr; fém mé Yeésò lé naâ mé breêd bɔɔ́ doô, bɔ́ lé ŋgwé kòmò ná ŋgwêh.
MRK.6.53	Bɔ́ nde sela yuo kela tub kèb yágà. Bɔ́ wa te tàbè Jenesarétè, bɔ́ colo lɔ kɔm sònò nòmò. 
MRK.6.54	Bɔ́ yeé suaga die aá doó, bɔ̀ nùàr ŋene kɔ cu Yeésò, 
MRK.6.55	bɔ́ durá nde bɔ̀ nùàr te tàbè sâ dɔɔ́ŋ tueé bele. Bɔ̀ nùàr yeé ŋgweé aá ménâ, bɔ́ jɔgɔ wa belê mé bɔ̀ beên bɔ̀ te tèb-e. Bèh mé Yeésò né teèn dɔɔ́ŋ, 
MRK.6.56	né mene te lɔɔ́ maàn, né mene te lɔɔ́ koô, né mene kè kèbè dɔɔ́ŋ, bɔ́ né mé bɔ̀ beên bɔ̀ teèn jɔgɔ́ ndeé, bɔ́ né bɔ́ ké mbartɔgɔ̂ jɔgɔ́ njií, bɔ́ né bú bɔŋ, ye bú a: «Mɔ bɔ̀ beén bɔ̀ kema weh cegé mene léláŋ sòn cɔ̀gɔ̀ yeè, bɔ́ nde né taré.» Bɔ̀ɔ́ mé lé naá belê kema dɔɔ́ŋ lé naá giì taré yuo ndɔ.
MRK.7.1	Bɔ̀ *Farisiên mé bɔ̀ *njí-sóù déì yuoô ké Jerusalem, bɔ́ bilí ndeè ká kwarè Yeésò. 
MRK.7.2	Waà ká toò, bɔ́ ŋene, ye bɔ̀ mbɔ̀ŋ seèn déì né yáb yieé, bɔ́ be faá tabɔ́ né tueé nɔ yàgà ŋgwéh.
MRK.7.3	Sâ bɔ̀ Farisiên mé bɔ̀ *Jûf déì né yeé dé bɔɔ̀n tabɔ́ jolo: mɔ bɔ́ be faá tabɔ́ né tueé nɔ yàgà ŋgwéh, bɔ́ yáb yíé bèh. 
MRK.7.4	Mɔ bɔ́ cuù baá tan, kɔ bɔ́ yaga kellé gi aá yo, bɔ́ yieé ye yáb. Bɔ́ né cu tòù hihiné faá tabɔ́ tueé nê nɔ jolo ndɔ: gèh dé mé bɔ́ yaga yeé njèh mé njéh, né mene bɔ̀ ŋgàb, né mene bɔgɔ, né mene sɔɔ̀, né mene ndagá, bɔ́ né gi jolo.
MRK.7.5	Bɔ̀ Farisiên mé bɔ̀ njí-sóù hèllè yeé nde ŋene njií bɔ̀ mbɔ̀ŋ Yeésò né tabɔ́ ménâ kwaá, bɔ́ bie njií baá-re Yeésò ndɔ, ye bú a: «Bɔɔ́ né naàn mé bɔ̀ mbɔ̀ŋ yeè tabɔ́ bèlè ŋgwéh, bɔ́ né yáb mé be yilî yieé wa?» 
MRK.7.6	Yeésò deên ndɔ, ye bɔ́ a: «Esáyà lɔ jueè bɔ̀n, ye bí né bɔ̀ sòn fà bɔ̀! À yeé baá sòn-Càŋ tueé, à nyagá kwaá te mvù ménâ ndɔ, ye: Càŋ ye:
MRK.7.6	Bɔ̀ nùà hên nyí seén kuú den né mé par sòn mbaá,
MRK.7.6	temé bɔɔ̀n né bèh hiîn.
MRK.7.7	Den né faá bɔ́ né nyí dua nɔ, sâ né dé lòù;
MRK.7.7	bɔ́ kwaá lɔɔ̀ né tòù nyî,
MRK.7.7	bɔ́ feh seér tòù bɔ̀ tele bɔɔ̀n.»
MRK.7.8	Yeésò den cuù, ye bɔ́ a: «Wanɔɔ́ŋ bí né tòù Càŋ kwaá lɔɔ́, bí feh seér tòù bɔ̀ tele biì nɔ.»
MRK.7.9	Yeésò den cuù baá-re, ye bɔ́ a: «Dé tòù Càŋ, bí né lom bú doó si njií kɔɔ́ dé gècên, te bí bele nyegé tòù biì. 
MRK.7.10	Sâ Músì né gi tueé ye: Léb toò tele mé meí yeè, wò ŋgweé sòn bɔɔ̀n. À né cu tueé, ye nuaá mé duagá tele, wa né meí wa, bú a, kú táré lè teèn ŋgwán. 
MRK.7.11	Mé njéh mene, bí ménâ fèh bèh. Bí den seér cu né ye: Mɔ nuaré déì tueé njií mé tele, wa mé meí wa, ye bú a: nyí sé la naâ wò gam; njèh cén, baá gi *sèmè, (sâ tueé né ye: baá gi dé Càŋ), 
MRK.7.12	à né mene môn tueé seér, bɔɔ́ né naàn mé bí ye né baga wa? Ŋgweéh sâ bí ye bú a: Té tele mbaá gàm kú cú mà. 
MRK.7.13	Ŋgweéh bí sâ bɔɔ́ ŋellé né ŋgòr Càŋ, te bí feh keéh tòù lɔɔ̂ biì wa? Bí né ménâ bɔɔ́, bí né cu mé bɔ̀ tòù ŋgún ménâ feh ndeé den.»
MRK.7.14	Jomo sâ Yeésò yilá bilí bɔ̀ nùàr ndɔ, ye bɔ́ a: «Bí dɔɔ́ŋ, bí ndɔ̀gɔ̀ gí tie, te bí ŋgweé. 
MRK.7.15	Mè tueé bí, njií mé yuo yeé kèb cieè, yila seér lè nùàr lòù, bú kɔɔ́ bɔ́ yílí bèh. Né seér dé mé yuo né ké lè te temê bɔɔ́ yili né nùàr kɔɔ́. [ 
MRK.7.16	Nuaá né mé tie, bú a, ŋgwé nyégé ŋgòr hên bagasé.»]
MRK.7.17	Yeésò yeé kwaá lɔ aá bɔ̀ nùàr, à baá ké gwò, bɔ̀ mbɔ̀ŋ seèn bie bú kàn sâ ndɔ. 
MRK.7.18	À ye bɔ́ a: «Mé bí mene, bí ŋgwé kòmò ŋgwéh ndɔ wa? Bí née kɔ́ ŋgwéeh ye: njií mé yuo yeé kèb cieè, yila lè nùàr lòù, bú kɔɔ́ bɔ́ yílí ŋgwéh wa? 
MRK.7.19	Lòù sam, dé sâ temé kèmà bèh, bele lom né tɔŋ, yuo kela nde ké cie.» Mé kàn hên, sâ Yeésò tueé lɔgɔ́ baá kèn, ye yáb dɔɔ́ŋ né gi dé yieê ma.
MRK.7.20	À deén baá-re, ye bɔ́ a: «Bí kɔ́ɔ ye, njií mé yuo yeé lè nùàr bɔɔ́ yili seér né nùàr kɔɔ́. 
MRK.7.21	Lòù sam, mùnò veên dɔɔ́ŋ jeré yuo den né te temé nùàr: sár yɔɔ̀ŋ né sâ; yíb né teèn sâ, wúlá-feh né sâ; yàgà ndeê né teèn; 
MRK.7.22	temé te njèh nùàre kwaá njiî né sâ; jélá-temé né sâ; nùàr beleè né sâ; tándabé né sâ; sà né teèn sâ; súí né sâ; hàm feh ceré né teèn mé kùlù mene, 
MRK.7.23	dɔɔ́ŋ yuo giì né te temê, bɔ́ nùàr bɔɔ́ yili yeé kɔɔ́.»
MRK.7.24	Jomo sâ, Yeésò yuo doó sâ ndɔ, à nde ser kwarè lɔɔ́ Tîr, à yila nde lè gwà déì, ye te nuaré déì kɔ́ cú ye nyí waà baá. Mé njéh mene, à lèr kòmò ŋgwéh.
MRK.7.25	Dèn sɔ́ ŋgwéh, ma déì ŋgweé ŋgɔ́g seèn, à waà, à cemmé nde doó toò seèn. Sâ ŋuna seèn dé vêh lé naâ mé tándulu yoòr. 
MRK.7.26	Bú nùà njèh lé naâ nùà kìn, bɔ́ lé ŋaár naâ bú ké Fenisî te tàbè Sirî. À yeé cemmé nde aá doó, ye Yeésò a: «Kúkùr yeè, ndê kwɔ́gɔ́ sɔ̀m yeè huaán nyî càŋ yoòr teèn.» 
MRK.7.27	Yeésò den seêr, ye bú a: «Kwá mè jɔ̀gɔ̀ koó lɔgɔ̂ bɔ̀ huaán lɔɔ̂ ye. Mɔ bɔ́ si njií yáb bɔ̀ huaân mé boór, húɔ́m ŋgwéh.» 
MRK.7.28	Ma doô gwaán ndɔ, ye Yeésò a: «Né ka môn jég, dé koô. Á sâ, bɔ̀ boór domó yieé yeé tòmò yâb ka bɔ̀ huaân ndɔ.»
MRK.7.29	Yeésò deén baá-re, ye bú a: «Môn, mé ŋgòr yeè hên, ndé á yeè lɔ. Tándulu yuo aá ŋuna yeè yoòr kèn.» 
MRK.7.30	Ma doô cu cu lɔ ndɔ. À wa, sâ ŋuna baá te ndagáa cer den; càŋ bú yoòr yuo aá kèn.
MRK.7.31	Jomo sâ Yeésò yuo te tàbè Tîr ndɔ, à kela seér ké Sídɔ̀ŋ, à cu cu seêr te lò Dèkàpòlî
MRK.7.32	Bɔ́ weh waà bú mé nuaré déì ndɔ, tie né ndúg, sòn né tácobó. Bɔ́ ye bú a: «Kúkùr yeè kèmà njí yeè bú be yoòr teèn.» 
MRK.7.33	Yeésò weh nde mé bú ké bèh ndɔ́ŋ-ndɔ̀ŋ, à fagá yií bú nyɔ̀gɔ̀ beè tieè. Jomo sâ à kulu kwaá dèh te nyɔ̀gɔ̀ beè, à kema njií bú te leba, 
MRK.7.34	à ke njií njolo ké te vulúu, à homo, ye nùàrè a: «Efátà.» Sâ tueé né ye: «Lélɔgɔ̀!» 
MRK.7.35	Tie fuŋ, leba weh yuo ter, nùà hèllè yila keéh sòn tueê ndɔ. 
MRK.7.36	Yeé baá ménâ, Yeésò luɔm bɔ̀ nùàr, ye bɔ́ a: «Càŋ a bɔ́ bí tueé nuaré déì.» À né mene bɔ́ dé luɔɔ̀m luɔm, bɔ́ né dé tueê tueé ŋeí. 
MRK.7.37	Gèh fém dé sâ lé naâ bɔ́ geí yɔgɔ́ dé gècên. Bɔ́ né lom tueé ye: «Seé seèn dɔɔ́ŋ né lom seé gècên! Né mene bɔ̀ tándúg, à né bɔ́ taré sɔm; bɔ́ ŋgweé cu tie, bɔ́ tueé sòn.»
MRK.8.1	Cu sâ bɔ̀ nùàr kókoó mbaá bilí wa cuù. Bɔ́ yeé mé yáb beè sam cuú, Yeésò yilá njiî bɔ̀ mbɔ̀ŋ seèn, ye bɔ́ a: 
MRK.8.2	«Jere né mè mé bɔ̀ nùà hên sie: kè kú lan baá cieé tagár, béh bɔ́ né lom kɔɔ́; bɔ́ mé yáb beè sam cuú ndɔ. 
MRK.8.3	Mɔ mè yi njií bɔ́ lɔ mé lèì cùè, bɔ́ nde né ceér dueè die le; lòù sam, bɔ̀ déì yuoó naâ bèh dàb.» 
MRK.8.4	Bɔ̀ mbɔ̀ŋ ye bú a: «Béh yáb ká ya dueè hên kwa caá nde né he, te béh koó laré bɔ́ mé njéh wa?» 
MRK.8.5	Yeésò ye bɔ́ a: «Bí beè né mé breêd meèn wa?» Bɔ́ ye bú a: «Né téhbeh.» 
MRK.8.6	Yeésò ye bɔ̀ nùàr a: «Bí dèn ndé gí doó.» Jomo sâ à weh breêd téhbeh doô, à vra Càŋ teèn, à kɔlé haá njií bɔ̀ mbɔ̀ŋ, te bɔ́ geé haá bɔ̀ nùàr. Bɔ́ geé haá gi bɔ́ ndɔ. 
MRK.8.7	Bɔ́ lé naá cuù mé ŋgò déì tetegér mân beè teèn. Yeésò weh, à dua Càŋ teèn, ye bɔ̀ mbɔ̀ŋ a: «Gè há cú bɔ́.» Bɔ́ geé haá gi bɔ́ ndɔ. 
MRK.8.8	Bɔ́ yieé fulu gi; ndilí le. Bɔ̀ mbɔ̀ŋ ŋuaán bilí, yuú sɔgɔ́ téhbeh.
MRK.8.9	Bɔ̀ɔ́ mé lé yieé naâ yáb sâ dɔɔ́ŋ lé naâ kám nèà. 
MRK.8.10	Bɔ́ yeé yieé gi aá, Yeésò yi njií ye bɔ́, à nde dé seèn kɔm yilá. Bɔ́ bɔ̀ mbɔ̀ŋ fɔɔ́n gò, bɔ́ nde te tàbè Dalemanútà.
MRK.8.12	Homo yɔgɔ́ Yeésò dé tueê, à den cuù ye bɔ́ a: «Bɔɔ́ né naàn mé bɔ̀ cafanê bɔ̀ ye: kɔ bɔ́ ŋene fém wa? Mè né tueé ye bí a, ndɔ́g bɔ́ ŋéné ndé cú!» 
MRK.8.13	Jomo sâ à fɔɔ́n gò seèn, à yila cu kɔme, à sela nde tub kèb yágà.
MRK.8.14	Sâ bɔ̀ mbɔ̀ŋ lé naâ breêd nyen lɔɔ́; lè kɔɔ̀m lé gi cegé naâ breêd cén. 
MRK.8.15	Yeésò yeé baá bɔ́ luɔm, bɔ́ munó seér cí. Sâ à lé ye bɔ́ a: «Bí bɔ̀ŋ feh biì mé kulu bɔ̀ Farisiên, bí bɔŋ feh mé kulu Herôde.» 
MRK.8.16	Bɔ̀ mbɔ̀ŋ duɔɔ́m baá-re lètenè bɔɔ̀n tueé kuû, ye: «À jue né breêd mé béh mé njéh beè sam doô.»
MRK.8.17	Yeésò yeé ŋene aá ménâ, ye bɔ́ a: «Bí môn tueé den né dé keì, ye: mè jue né breêd mé bí mé njéh beè sam doô wa? Hên bí née ka njèh ŋgwé kòmò ŋgwéeh ye wa? Feh biì née ka ter ndegé den á? 
MRK.8.18	Bí né gi mé njolo; dé ŋenê sam wa? Bí né gi mé tie; dé ŋgweê sam ndɔ wa? Bí mùnò kɔ́ cú, 
MRK.8.19	ye mè lé naâ breêd tîn kɔlé, koó bɔ̀ nùàr kám tîn mà. Bɔ̀ sɔgɔ́ ndilí yâb mé bí lé jɔgɔ́ sɔɔ́m naâ doô lé naâ meèn?» Bɔ́ ye bú a: «Lé naâ yulà cùɔ̀b fà.» 
MRK.8.20	À den cuù, ye bɔ́ a: «Mè yeé kɔlé cu aá breêd téhbeh, te koó nùàr kám nèà, sɔgɔ́ ndilí yâb lé naá cuù meèn ndɔ wa?» Bɔ́ ye bú a: «Téhbeh ndɔ.» 
MRK.8.21	À deén baá-re ye bɔ́ a: «Wa mene hên, bí née ŋgwé kòmò ŋgwéeh ye wa?»
MRK.8.22	Wa ké Becaida, bɔ̀ nùàr weh wa cuù mé tácugó déì toò seèn, bɔ́ ye bú a: «Kúkùr yeè, kèmà njí yeè bú be yoòr teèn.» 
MRK.8.23	Yeésò sie weh tácugó doô be, weh nde mé bú ké jomo lɔɔ̂. Wa ké teèn, à kulu kwaá bú dèh njolò, à kema bú mé be, ye bú a: «Wò baá njeré déì ŋené wa?» 
MRK.8.24	Tácugó sɔm njií njolo ter, ye bú a: «Mè baá bɔ̀ nùàr ŋené; bɔ́ den né faá toú nɔ. Njèh cén, bɔ́ gɔ seér né lòù.» 
MRK.8.25	Yeésò kema njií cu bú be njolò. Kènê tácugó ke njege njií lom aá ké toò seèn, à taré yuo, à ŋene ŋagá gi njèh dɔɔ́ŋ ndɔ. 
MRK.8.26	Yeésò ye bú a: «Ndé lòm á lɔ yeè, té lètenè lɔɔ̂ kélá cú.»
MRK.8.27	Jomo sâ Yeésò bɔ́ bɔ̀ mbɔ̀ŋ seèn fɔɔ́n gò, bɔ́ nde ser te bɔ̀ lɔɔ́ déì te tàbè Sesarê Filîp. Bɔ́ yeé baá ceér dueè, à bie ye bɔ́ a: «Bɔ̀ nùàr ye mè né neì wa?» 
MRK.8.28	Bɔ́ ye bú a: «Bɔ̀ déì ye wò né Jâŋ Bàptîs, bɔ̀ déì ye wò né *Elî, bɔ̀ déì ye wò né *sòn-Càŋ cén déì.» 
MRK.8.29	Ye bɔ́ a: «Á bí nɔ, bí ye mè né neì wa?» Piêr ye bú a: «Wò né *Nùà Cɔ̀ŋ.» 
MRK.8.30	Yeésò luɔm bɔ́ ndɔ, ye bɔ́ a: «Càŋ a bɔ́ bí tueé nuaré déì ménâ.»
MRK.8.31	Jomo sâ à yila bɔ̀ mbɔ̀ŋ seèn njèh feèh ndɔ, ye bɔ́ a: «Kɔ *Huaán Nùàr nde dàm bɔ̀ gèr ŋené laré. Bɔ̀ kokoô bɔ̀ lɔɔ̂, bɔ́ bɔ̀ *ŋgàŋ sèmè dé kokoô mé bɔ̀ *njí-sóù dɔɔ́ŋ nde gi né bú ŋgɔɔ́n, te bɔ́ wula sɔm bú. Lè cieé tagáre à nde cu né lè cio komo yuo ndɔ.» 
MRK.8.32	À lé bɔ́ dé sâ tueé ŋagá loóm naâ bèsɔ́nè. Piêr yeé nde ŋgweé njií ménâ, à weh nde mé bú ké bèh ndɔ́ŋ-ndɔ̀ŋ, à yila bú teèn ndeè. 
MRK.8.33	Yeésò bele seér ndɔ, ke njií bɔ̀ mbɔ̀ŋ seèn, pam Piêr, ye bú a: «Máb *Sátàn, cú yo nɔɔ́ŋ! Wò faá Càŋ nɔ mùnò ŋgwéh, wò munó seér né faá bɔ̀ nùàr nɔ.»
MRK.8.35	Mè tueé bí: nuaá mé gwaán né yɔ̀ŋ seèn mé feh seèn yili sɔm, nde né bú leér lɔɔ́. Nuaá mé né dé seèn cio felè mò ŋgɔɔ́n seér, né mé Njàgà Bagaà beè kuú, nde né yɔ̀ŋ seèn yili sɔm. 
MRK.8.36	Njií mé gam nde né nuaá mé né njèh ká lè wɔ́ŋe dɔɔ́ŋ kwa laré te yɔ̀ŋ seèn leér le teèn, né kei wa? 
MRK.8.37	Njií mé nùàr nde né yɔ̀ŋ seèn mé njéh ŋaá sɔm né teèn wa? Ndɔ́g teèn sam.
MRK.8.38	«Sâ lètenè bɔ̀ cafanê bɔ̀ mé né veên bɔɔ́, mé temé yoòr Càŋ kwá njí cú, mɔ nuaré déì né mè teèn yaáŋ, à né ŋgòr mò yaáŋ, loù mé mè Huaán Nùàr cuù nde né teèn, mè *sum waà nde né lètenè bɔ̀ cìlì Càŋ, mé terreb Tele mò yoòr, loù sâ mè nde né nùà hèllè yaáŋ sɔm ndɔ.»
MRK.9.1	Yeésò den cuù, ye bɔ́ a: «Mè né tueé ye bí a, mé bí nde dɔɔ́ŋ kuú gií, sâ *Lò Càŋ mé terreb seèn mene ŋené yuo kelà baá cie, bɔ̀ déì lètenè biì hên ŋene mé njolo.»
