GEN.1.1	Sa ginsugoran gintuga sang Dios ang kalangitan kag ang duta.
GEN.26.19	Ang mga ulipon ni Isaac nagkutkot sing bubon sa kapatagan kag nakasapo sila sing tuboran. 
GEN.26.20	Ang mga manugbantay sang mga hayop sa Gerar nagpakigsuay sa mga manugbantay sang mga hayop ni Isaac kag nagsiling sila, “Amon ini tubig.” Gani ginhingalanan ni Isaac ang bubon “Kasuayon.”
GEN.26.21	Ang mga ulipon ni Isaac nagkutkot naman sing isa ka bubon, kag nag-inaway naman sila nahanungod sadto nga bubon, gani ginhingalanan niya yadto nga “Kaawayon.” 
GEN.26.22	Naghalin naman sia gikan didto kag nagpakutkot sing isa naman ka bubon. Wala na sing sinuay nahanungod sadto nga bubon, gani, ginhingalanan niya yadto nga “Kahilwayan.” Nagsiling sia, “Karon ang 
GEN.26.23	Si Isaac naglakat kag nagkadto sa Beerseba. 
GEN.26.24	Sadto nga gab-i ang 
GEN.26.25	Si Isaac naghimo sing altar didto kag nagsimba sa 
GEN.26.26	Si
GEN.26.27	Si Isaac nagpamangkot, “Ngaa bala nag-abot ka sa pagpakigkita sa akon nga sang una ginkontra mo ako kag ginpahalin mo gani ako sa imo duta?”
GEN.26.28	Nagsabat sila, “Karon nahibaluan namon nga ang 
GEN.26.29	nga indi mo kami pag-anhon, subong nga wala kami mag-ano sa imo. Nagmaluloy-on kami sa imo kag ginpalakat namon ikaw nga wala pag-anha. Karon maathag nga ang 
GEN.26.30	Si Isaac naghiwat sing sinalosalo para sa ila, kag nagkaon kag nag-inom sila. 
GEN.26.31	Aga pa gid sang madason nga adlaw ang tagsatagsa sa ila nagsaad nga nagapanumpa. Si Isaac nagpaalam sa ila kag nagbulagay sila subong nga mga abyan.
GEN.26.32	Sa sadto nga adlaw ang mga ulipon ni Isaac nag-abot kag nagsugid sa iya nahanungod sang bubon nga ila ginkutkot. Nagsiling sila, “Nakakita kami sing tubig.” 
GEN.26.33	Ginhingalanan niya ang bubon “Panumpa”. Amo ini ang kabangdanan nga ang siudad ginhingalanan Beerseba.
GEN.26.34	Si Esau nagaedad sing kwarenta ka tuig sang pagpangasawa niya sang duha ka mga babayi nga Hethanon; si Judit nga anak ni Beeri kag si Basemat nga anak ni Elon. 
GEN.26.35	Ini sila nagtublag sang pangabuhi ni Isaac kag ni Rebeca.
GEN.27.1	Karon si Isaac tigulang na kag indi na makakita. Ginpatawag niya ang iya magulang nga anak nga si Esau kag nagsiling sia sa iya, “Anak!”
GEN.27.1	Nagsabat sia, “Ano ina, tay?”
GEN.27.2	Si Isaac nagsiling, “Nakita mo nga tigulang na ako kag ayhan sa indi madugay mapatay na ako. 
GEN.27.3	Karon, kon mahimo kuhaa ang imo mga hinganiban, ang imo pana kag mga baslay, magkadto ka sa latagon kag magpangayam ka para sa akon. 
GEN.27.4	Lutoi ako sing manamit nga pagkaon nga akon naluyagan, kag dalha diri sa akon. Sa tapos ako sini makakaon ihatag ko sa imo ang akon katapusan nga pagpakamaayo sa wala pa ako mapatay.”
GEN.27.5	Si Rebeca nagapamati sang nagahambal si Isaac sa iya anak nga si Esau. Gani sang makalakat si Esau sa latagon sa pagpangayam para sa iya amay, 
GEN.27.6	si Rebeca nagsiling kay Jacob, “Bag-o ko lang mabatian ang imo amay nga nagsiling kay Esau, 
GEN.27.7	‘Dalhi ako sing sapat, kag lutoi ako sing pagkaon. Sa tapos ako makakaon ihatag ko sa imo ang akon pagpakamaayo sa atubang sang 
GEN.27.8	Karon, anak, pamatii ako kag tumana ang isiling ko. 
GEN.27.9	Kadto ka sa aton mga hayop kag magpili ka sing duha ka mga kanding nga matambok, agod maluto ko ini kag maaman ako sing pagkaon nga naluyagan gid sang imo amay. 
GEN.27.10	Dalhon mo ang pagkaon sa imo amay agod kaunon niya, kag ihatag niya sa imo ang iya pagpakamaayo sa wala pa sia mapatay.”
GEN.27.11	Pero si Jacob nagsiling sa iya iloy, “Nakahibalo ikaw nga si Esau bulbolon, pero ako akon wala sing bulbol. 
GEN.27.12	Basi hikapon ako ni tatay kag mahibaluan niya nga ginadayaan ko sia kag sa baylo nga pakamaayuhon niya ako iya pa ako pakamalauton.”
GEN.27.13	Ang iya iloy nagsabat, “Anak, ako ang manabat sang bisan ano nga pagpakamalaut sa imo. Himua lang ang ginasiling ko, kag lakat ka kag kuhai ako sing mga kanding.” 
GEN.27.14	Gani naglakat si Jacob sa pagkuha sang mga kanding, gindala niya ini sa iya iloy, kag ginluto sang iya iloy ang pagkaon suno sa naluyagan gid sang iya amay. 
GEN.27.15	Dayon ginkuha ni Rebeca ang labing maayo nga mga bayu ni Esau nga iya gintago sa balay, kag ginpasuksok niya ini kay Jacob. 
GEN.27.16	Ginbutang ni Rebeca ang mga panit sang mga kanding sa mga butkon ni Jacob kag sa iya liog nga wala sing bulbol. 
GEN.27.17	Kag ginhatag niya kay Jacob ang manamit nga pagkaon, upod ang tinapay nga iya ginluto.
GEN.27.18	Dayon si Jacob nagkadto sa iya amay kag nagsiling, “Tay!”
GEN.27.18	Nagsabat sia, “Ano? Sin-o ka bala anak ko?”
GEN.27.19	Si Jacob nagsabat, “Si Esau ako, ang panganay mo nga anak. Ginhimo ko ang ginsiling mo sa akon. Kon mahimo magpungko ka kag magkaon sang pagkaon nga gindala ko sa imo, agod mabendisyunan mo ako.”
GEN.27.20	Si Isaac nagsiling, “Paano mo nakuha ini sing madali, toto?”
GEN.27.20	Si Jacob nagsabat, “Ang 
GEN.27.21	Si Isaac nagsiling kay Jacob, “Palapit ka sa akon agod mahikap ko ikaw, kon bala ikaw gid matuod ang akon anak nga si Esau.” 
GEN.27.22	Si Jacob nagpalapit sa iya amay kag ginhikap sia sang iya amay kag nagsiling, “Ang imo tingog daw tingog ni Jacob, pero ang imo mga butkon daw iya ni Esau.” 
GEN.27.23	Wala niya makilala si Jacob, kay ang iya sini mga butkon bulbolon pareho sang iya ni Esau. Bendisyunan na niya kuntani si Jacob, 
GEN.27.24	pero nagpamangkot sia liwat, “Ikaw gid bala ang anak ko nga si Esau?”
GEN.27.24	Nagsabat sia, “Huo.”
GEN.27.25	Nagsiling si Isaac, “Dalhi ako sang imo linuto. Sa tapos ako makakaon sini pagapakamaayuhon ko ikaw.” Gindalhan sia ni Jacob sing linuto, kag subong man bino nga ilimnon. 
GEN.27.26	Dayon ang iya amay nagsiling sa iya, “Toto, palapit ka kag haluki ako.” 
GEN.27.27	Sang
GEN.27.28	Kabay nga ang Dios maghatag sa imo sang tun-og halin sa langit, kag maghimo sang imo mga kaumhan nga mapatubason! Kabay nga hatagan niya ikaw sang madamo nga mga kalan-on kag bino! 
GEN.27.29	Kabay
GEN.27.30	Si Isaac nakatapos sang iya pagpakamaayo, kag sang nakahalin gid lang si Jacob, nag-abot si Esau halin sa iya pagpangayam. 
GEN.27.31	Nagluto man sia sing manamit nga pagkaon kag iya ini gindala sa iya amay. Nagsiling sia, “Tay, kon mahimo magpungko ka kag magkaon sang linuto nga gindala ko sa imo, agod mabendisyunan mo ako.”
GEN.27.32	Si Isaac nagpamangkot sa iya, “Sin-o ka?”
GEN.27.32	Nagsabat sia, “Si Esau, ang imo panganay nga anak.”
GEN.27.33	Nagpalangurog ang bug-os nga lawas ni Isaac kag nagpamangkot sia, “Karon, sin-o yadtong nag-ihaw sing sapat kag nagdala sadto sa akon? Bag-o lang gid ko makatapos kaon kag mag-abot ka. Ginhatag ko sa iya ang akon katapusan nga bendisyon, kag mangin-iya ini sa wala sing katubtoban.”
GEN.27.34	Sang pagkabati ni Esau sini, naghibi sia sing tudo gid nga nagahibubon-ot kag nagsiling, “Tay, bendisyuni man ako!”
GEN.27.35	Si Isaac nagsabat, “Ang imo utod nag-abot kag nagdaya sa akon. Nakuha na niya ang bendisyon nga para sa imo.”
GEN.27.36	Si
GEN.27.37	Si Isaac nagsabat kay Esau, “Ginhimo ko na sia nga agalon mo, kag ginhimo ko ang iya mga pariente nga iya mga ulipon. Ginhatagan ko sia sing kalan-on kag bino. Karon toto, wala na gid ako sing may mahimo pa para sa imo!”
GEN.27.38	Si
GEN.27.39	Dayon
GEN.27.39	“Wala sing maayo nga duta para sa imo,
GEN.27.39	wala sing tun-og gikan sa langit para sa imo mga uma.
GEN.27.40	Magakabuhi
GEN.27.40	kag mangin-ulipon ka sang imo utod.
GEN.27.40	Pero kon magpamatok
GEN.27.40	makapanginpadlos ka sa iya gahom.”
GEN.27.41	Si Esau nagdumot kay Jacob, tungod kay ang bendisyon nga para sa iya ginhatag sang iya amay kay Jacob, kag si Esau nagsiling sa iya kaugalingon, “Ang paglalaw sa kamatayon sang akon amay madali na lang. Kon matapos ini, patyon ko si Jacob.”
GEN.27.42	Pero
GEN.27.43	Karon, nonoy, tumana ang ginasiling ko sa imo. Manghimos ka kag magkadto gilayon sa akon utod nga si Laban sa Haran. 
GEN.27.44	Didto ka lang anay sa iya tubtob magbugnaw ang kaakig sang imo utod, 
GEN.27.45	kag malipatan niya ang ginhimo nimo sa iya. Ipasugat ko ugaling ikaw didto. Ngaa duha gid ka mga anak ko ang madula sa akon sa isa ka adlaw?”
GEN.27.46	Si Rebeca nagsiling kay Isaac, “Natak-an ako kag nagamuhan sang mga asawa ni Esau nga mga dumoluong. Kon mapangasawa ni Jacob ang isa pa sining mga babayi nga Hethanon, maayo pa nga mapatay na lang ako.”
GEN.28.1	Gintawag ni Isaac si Jacob, kag sang matamyaw niya sia, ginsugo niya sia nga nagasiling, “Indi ka magpangasawa sang isa ka babayi nga taga-Canaan. 
GEN.28.2	Maghimos ka kag magkadto sa Mesopotamia, sa balay ni lolo mo Betuel, ang amay sang imo iloy. Magpangasawa ka didto sang isa sang mga bata nga babayi sang imo tiyo nga si Laban. 
GEN.28.3	Kabay nga ang Dios nga Makagagahom magbendisyon sang inyo pag-asawahay kag magahatag sa inyo sing madamo nga mga kabataan, agod mangin-amay ka sang madamo nga mga pungsod. 
GEN.28.4	Kabay pakamaayuhon niya ikaw kag ang imo mga kaliwat subong sang iya pagpakamaayo kay Abraham, kag kabay nga magapanag-iya ka sini nga duta nga imo ginaestaran nga ginhatag sang Dios kay Abraham!” 
GEN.28.5	Ginpalakat ni Isaac si Jacob sa Mesopotamia, didto kay Laban, ang anak ni Betuel nga Aramnon. Si Laban utod ni Rebeca, ang iloy ni Jacob kag ni Esau.
GEN.28.6	Nahibaluan ni Esau nga ginbendisyunan ni Isaac si Jacob kag ginpakadto niya sia sa Mesopotamia sa pagpangasawa didto. Nahibaluan man ni Esau nga sang pagbendisyon ni Isaac kay Jacob, ginsingganan niya sia nga indi magpangasawa sang isa ka babayi nga taga-Canaan. 
GEN.28.7	Nahibaluan niya nga si Jacob nagtuman sa iya amay kag iloy, kag nagkadto sa Mesopotamia. 
GEN.28.8	Didto nasat-uman ni Esau nga indi gali luyag sang iya amay ang mga babayi nga taga-Canaan. 
GEN.28.9	Gani nagkadto sia kay Ismael nga anak ni Abraham, kag ginpangasawa niya si Mahalat nga anak ni Ismael kag utod ni Nebayot.
GEN.28.10	Naghalin
GEN.28.11	Sa pagtunod sang adlaw nag-abot sia sa isa ka balaan nga lugar kag nagdulog didto. Naghigda sia sa pagtulog kag nag-ulon sa isa ka bato. 
GEN.28.12	Nagdamgo
GEN.28.13	Dayon
GEN.28.14	Ang
GEN.28.15	Dumdoma nga magaupod ako sa imo kag magabantay sa imo bisan diin ikaw makadto, kag pabalikon ko ikaw sa sini nga duta. Indi ko ikaw pagbayaan tubtob mahimo ko ang tanan nga ginsaad ko sa imo.”
GEN.28.16	Si Jacob nagmata kag nagsiling, “Matuod gid, ang 
GEN.28.17	Hinadlukan sia kag nagsiling, “Daw ano ka makahaladlok ini nga lugar! Sa walay duhaduha balay ini sang Dios kag pwertahan ini pakadto sa langit.”
GEN.28.18	Si Jacob nagbangon sing aga pa gid. Ginkuha niya ang bato nga iya gin-unlan kag ginpatindog subong isa ka haligi nga handumanan. Dayon ginbuboan niya ini sang lana sang olivo kag ginhalad ini sa Dios. 
GEN.28.19	Ginhingalanan niya ang lugar Betel.
GEN.28.20	Dayon si Jacob naghimo sing panaad sa 
GEN.28.21	kag kon makabalik ako nga indi maano sa balay sang akon amay, dayon ikaw mangin-akon Dios. 
GEN.28.22	Ining bato nga akon ginpatindog subong isa ka haligi nga handumanan, manginlugar sa diin ikaw pagasimbahon kag pagaihatag ko sa imo ang ikapulo sang tanan nga igahatag mo sa akon.”
GEN.29.1	Dayon si Jacob nagpadayon sang iya pagpanglakaton kag nagpadulong sa duta sang Sidlangan. 
GEN.29.2	Didto nakita niya ang isa ka bubon sa latagon kag sa palibot sini may nagaluko nga tatlo ka mga panong sang mga karnero. Ang mga karnero ginapainom gikan sa sini nga bubon nga ginatabunan sang daku nga bato. 
GEN.29.3	Kon matipon na gani ang tanan nga mga karnero didto, ginapaligid sang mga manugbantay ang bato halin sa baba sang bubon kag ginahatagan sing tubig ang mga karnero. Pagkatapos, ginauli man nila ang bato.
GEN.29.4	Si Jacob nagpamangkot sa ila, “Mga abyan, taga-diin kamo?”
GEN.29.4	Nagsabat sila, “Taga-Haran.”
GEN.29.5	Nagpamangkot sia, “Kilala bala ninyo si Laban nga apo ni Nahor?”
GEN.29.5	Nagsabat sila, “Huo, kilala namon sia.”
GEN.29.6	Nagpamangkot sia, “Kamusta man sia?”
GEN.29.6	Nagsabat sila, “Maayo man sia. Tan-awa, yara gani ang iya bata nga babayi nga si Raquel nagapadulong upod sa iya mga karnero.”
GEN.29.7	Si Jacob nagsiling, “Tungod kay adlaw pa man kag indi pa tion sa pagpasulod sa toril sang mga karnero, ngaa indi na lang ninyo pagpaimnon sila kag pahalbon liwat?”
GEN.29.8	Nagsabat sila, “Indi namon mahimo ina tubtob ang tanan nga panong sang karnero makatipon kag mapaligid ang bato, dayon mapainom na namon ang mga karnero.”
GEN.29.9	Sang nagahambal pa si Jacob sa ila, nag-abot si Raquel upod ang mga karnero ni tatay niya. Si Raquel amo ang nagaatipan sang mga karnero sang iya amay. 
GEN.29.10	Sang pagkakita ni Jacob kay Raquel upod sang mga karnero sang iya tiyo nga si Laban, nagkadto sia sa bubon kag ginpaligid niya ang bato nga nagatabon sini kag ginpainom ang mga karnero. 
GEN.29.11	Ginhalukan niya dayon si Raquel kag naghibi sa kalipay. 
GEN.29.12	Nagsiling sia kay Raquel, “Bata ako ni Rebeca, gani hinablos ako ni tatay mo.”
GEN.29.12	Si Raquel nagdalagan kag ginsugiran ang iya amay, 
GEN.29.13	kag sang pagkabati ni Laban sang balita nahanungod kay Jacob nga iya hinablos, nagdalagan sia sa pagsugata sa iya, ginhakos niya sia kag ginhalukan, kag gindala sa iya balay. Dayon ginsugiran ni Jacob si Laban sang tanan nga nagkahanabo. 
GEN.29.14	Si Laban nagsiling sa iya, “Huo, matuod gid nga ikaw kadugo ko.” Si Jacob nag-estar didto sa sulod sang isa ka bulan.
GEN.29.15	Si Laban nagsiling kay Jacob, “Indi ka magpangabudlay para sa akon nga wala sing suhol tungod kay hinablos ko ikaw. Pila ang suhol nga luyag mo?” 
GEN.29.16	Si Laban may duha ka mga bata nga babayi. Ang magulang ginahingalanan kay Lea kag ang manghod kay Raquel. 
GEN.29.17	Si Lea matahom sing mata,
GEN.29.18	Si Jacob naluyag kay Raquel, gani nagsiling sia, “Magapangalagad ako sa imo sing pito ka tuig kon ipaasawa mo sa akon si Raquel.”
GEN.29.19	Si Laban nagsiling, “Maayo pa nga ihatag ko sia sa imo sang sa iban nga lalaki. Mag-estar ka upod sa akon.” 
GEN.29.20	Si Jacob nagpangalagad sing pito ka tuig agod makuha niya si Raquel, kag ang kalawigon sang tinuig daw pareho lamang sang pila ka adlaw, tungod sang iya paghigugma sa iya.
GEN.29.21	Sang ulihi si Jacob nagsiling kay Laban, “Natapos na ang pito ka tuig, ihatag na sa akon ang imo bata agod mangin-asawa ko sia.” 
GEN.29.22	Gani si Laban naghiwat sing punsyon sa kasal kag iya gin-agda ang tanan nga mga tawo sa sina nga lugar. 
GEN.29.23	Pero sina nga gab-i gindala niya kay Jacob si Lea sa baylo kay Raquel, kag si Jacob nagpakighirop kay Lea. (
GEN.29.24	Si Laban naghatag sang iya ulipon nga si Zilpa kay Lea agod mangin-iya suloguon.) 
GEN.29.25	Sang pagkaaga nasapwan ni Jacob nga si Lea gali ang ginhatag sa iya. Gani nagsiling sia kay Laban, “Ngaa ginhimo mo ini sa akon? Nagpangalagad ako para kay Raquel, ngaa gindayaan mo ako?”
GEN.29.26	Si Laban nagsabat, “Indi kinabatasan diri sa amon nga ang manghod magpamana sing una sa magulang. 
GEN.29.27	Hulat lang tubtob matapos ang isa ka simana nga pagsaulog sang kasal, kag ihatag ko sa imo si Raquel, ina kon magpangalagad ka sa akon sing pito pa gid ka tuig.”
GEN.29.28	Nagsugot si Jacob, kag sang matapos ang isa ka simana nga pagsaulog sang kasal, ginhatag ni Laban si Raquel kay Jacob nga mangin-iya asawa. (
GEN.29.29	Si Laban naghatag sang iya ulipon nga si Bilha sa pag-alagad kay Raquel nga iya bata.) 
GEN.29.30	Gani si Jacob nagpakighirop man kay Raquel, kag ginhigugma niya sia sing labi pa sang sa kay Lea. Nagpangalagad sia kay Laban sing pito pa gid ka tuig.
GEN.29.31	Sang makita sang 
GEN.29.32	Si Lea nagbusong kag nagbata sing lalaki. Nagsiling sia, “Ang 
GEN.29.33	Nagbusong sia liwat kag nagbata sing isa naman ka lalaki. Nagsiling sia, “Ang 
GEN.29.34	Nagbusong sia liwat kag nagbata sing isa pa gid ka lalaki. Nagsiling sia, “Karon, ang akon bana manginmalapit gid sa akon, bangod nga nakapamata ako sa iya sing tatlo ka lalaki.” Gani ginhingalanan niya sia kay Levi.
GEN.29.35	Kag nagbusong sia liwat kag nagbata sing isa naman ka lalaki. Nagsiling sia, “Karon dayawon ko ang 
GEN.30.1	Pero si Raquel wala makapamata sa kay Jacob, gani nangimon sia sa iya utod, kag nagsiling sia kay Jacob, “Hatagi ako sing mga kabataan, kon indi gani mapatay ako.”
GEN.30.2	Si Jacob naakig kay Raquel kag nagsiling, “Indi ako makatal-os sa Dios. Sia ang nagbuot nga indi ka magpamata.”
GEN.30.3	Nagsiling si Raquel, “Yari ang akon ulipon nga si Bilha. Huliri sia, agod magbata sia para sa akon. Sa sini nga paagi mangin-iloy ako sang isa ka bata.” 
GEN.30.4	Gani ginhatag niya ang iya ulipon nga si Bilha sa iya bana, kag ang iya bana nagpakighirop sa iya. 
GEN.30.5	Si Bilha nagbusong kag nagbata para kay Jacob sing isa ka lalaki. 
GEN.30.6	Si Raquel nagsiling, “Ang Dios nag-apin sa akon sa iya paghukom. Ginpamatian niya ang akon pangamuyo kag ginhatagan niya ako sing isa ka anak nga lalaki.” Gani ginhingalanan niya sia kay Dan.
GEN.30.7	Ang ulipon ni Raquel nga si Bilha nagbusong liwat kag nagbata para kay Jacob sing isa ka lalaki. 
GEN.30.8	Si Raquel nagsiling, “Nagpakig-away ako sing mabudlay nga pagpakig-away batok sa akon utod nga babayi, kag nagdaog ako.” Gani ginhingalanan niya sia kay Neftali.
GEN.30.9	Sang pagkatalupangod ni Lea nga nag-untat na sia sa pagpamata, ginpaasawa niya ang iya ulipon nga si Zilpa kay Jacob. 
GEN.30.10	Dayon si Zilpa nagbata para kay Jacob sing isa ka lalaki. 
GEN.30.11	Si Lea nagsiling, “Mapalaron ako.” Gani ginhingalanan niya sia kay Gad.
GEN.30.12	Ang ulipon ni Lea nga si Zilpa nagbata para kay Jacob sing ikaduha nga anak nga lalaki, 
GEN.30.13	kag si Lea nagsiling, “Daw ano ka malipayon sa akon! Karon ang mga babayi magatawag sa akon nga malipayon.” Gani ginhingalanan niya sia kay Aser.
GEN.30.14	Sang tion sang tig-alani sang trigo, si Ruben nagkadto sa uma kag nakakita sia sing mga mandragora.
GEN.30.15	Si Lea nagsabat sa iya, “Indi pa bala tuman nga ginkuha mo ang akon bana? Karon nagatinguha ka pa sa pagkuha sang mandragora sang akon anak?”
GEN.30.15	Si Raquel nagsiling, “Kon ihatag mo sa akon ang mandragora sang imo anak, sarang ikaw makahulid kay Jacob karon sa gab-i.”
GEN.30.16	Sang pag-abot ni Jacob sang hapon halin sa uma, si Lea nagsugata sa iya kag nagsiling, “Dapat ka maghulid sa akon karon nga gab-i, tungod kay nagbayad ako para sa imo sang mga mandragora sang akon anak.” Gani naghulid sia sa iya sadto nga gab-i.
GEN.30.17	Ang Dios nagsabat sang pangamuyo ni Lea, kag nagbusong sia, kag nagbata sia sang ikalima nga anak nga lalaki para kay Jacob. 
GEN.30.18	Si Lea nagsiling, “Ang Dios naghatag sa akon sing padya, tungod kay ginhatag ko ang akon ulipon sa akon bana.” Gani ginhingalanan niya sia kay Isacar.
GEN.30.19	Si Lea nagbusong liwat kag nagbata sia sing ikan-om nga bata nga lalaki para kay Jacob. 
GEN.30.20	Nagsiling sia, “Ang Dios naghatag sa akon sing maayo nga regalo. Karon ang akon bana magapasidungog sa akon, tungod kay nagbata ako sa iya sing anom ka lalaki.” Gani ginhingalanan niya sia kay Zabulon.
GEN.30.21	Sang ulihi nagbata sia sing anak nga babayi nga iya ginhingalanan kay Dina.
GEN.30.22	Karon ang Dios nagdumdom kay Raquel. Ginpamatian niya ang pangamuyo ni Raquel kag ginbuot niya nga makapamata sia. 
GEN.30.23	Nagbusong sia kag nagbata sing isa ka anak nga lalaki. Nagsiling sia, “Ginkuha sang Dios ang akon kahuloy-an paagi sa paghatag sa akon sang anak nga lalaki. 
GEN.30.24	Kabay nga ang 
GEN.30.25	Sang matawo na si Jose, si Jacob nagsiling kay Laban, “Tugoti ako sa paglakat, agod makapauli ako sa amon. 
GEN.30.26	Ihatag sa akon ang akon mga asawa nga akon ginpangalagaran sa imo, kag ang akon mga kabataan, kag malakat ako. Nakahibalo gid ikaw kon daw ano ang akon pagpangalagad sa imo.”
GEN.30.27	Si Laban nagsiling sa iya, “Kon mahimo tugoti ako sa paghambal sini: nakatuon ako magpanghimalad kag nakahibalo ako nga ang 
GEN.30.28	Isiling lang kon pila ang isuhol ko kag ihatag ko ini sa imo.”
GEN.30.29	Si Jacob nagsabat, “Nakahibalo ikaw kon daw ano ang pagpangalagad ko sa imo kag kon daw ano ang pagdamo sang imo mga hayop sa idalom sang akon pagtatap. 
GEN.30.30	Sang pag-abot ko diutay pa lang ang mga hayop mo, pero karon madamo na gid, kag ang 
GEN.30.31	Si Laban nagpamangkot, “Ano bala ang ibayad ko sa imo?”
GEN.30.31	Si Jacob nagsabat, “Wala ako nagapangayo sing suhol. Magapadayon ako sa pagbantay sang imo mga hayop, kon sugot ikaw sa ginasiling ko: 
GEN.30.32	tugoti ako sa pagtan-aw sang imo tanan nga mga panong kag sa pagkuha sang tanan nga itom nga kordero
GEN.30.33	Sa ulihi mahapos mo mahibal-an kon nagdaya ako sa imo. Kon mag-usisa ka sang akon suhol, kon may kanding ako nga indi kambang ukon wala sang pintukpintok ukon karnero nga indi itom, dayon makasiling ka nga ina kinawatan ko.”
GEN.30.34	Si Laban nagsabat, “Sugot ako. Himuon ta ang ginasiling mo.” 
GEN.30.35	Pero sadto nga adlaw ginpain ni Laban ang lalaki nga mga kanding nga may gurayguray ukon pintukpintok kag ang tanan nga babayi nga mga kanding nga may pintukpintok kag kambang ukon ang may puti. Ginpain man niya ang tanan nga mga karnero nga itom. Ginpaatipan niya ini sa iya mga anak nga lalaki. 
GEN.30.36	Dayon naglakat sia palayo halin kay Jacob upod sa sining mga panong sa sulod sing tatlo ka adlaw. Si Jacob nag-atipan sang nabilin nga mga panong ni Laban.
GEN.30.37	Si Jacob nagkuha sing hilaw nga mga sanga sang alamo, abelyano, kag kastanyo kag ginkuha niya ang iban nga mga panit agod ang mga sanga may gurayguray nga puti. 
GEN.30.38	Ginbutang niya ini nga mga sanga sa atubangan sang mga panong sa ila ilimnan. Ginbutang niya ini didto tungod kay ang mga hayop nagakastahanay kon mag-inom sila. 
GEN.30.39	Gani kon magkastahanay ang mga kanding sa atubangan sang mga sanga, nagabata sila sing may mga gurayguray, mga pintukpintok, kag mga kambang.
GEN.30.40	Ginpain ni Jacob ang mga karnero sa mga kanding kag ginpaatubang niya sila sa mga guraygurayon kag itom nga mga hayop ni Laban. Sa sini nga paagi nagdamo ang iya mga hayop kag wala niya pag-isimpon ini sa iya ni Laban.
GEN.30.41	Kon magpahigal gani ang maayo sing lawas nga mga hayop, ginabutang ni Jacob ang mga sanga sa atubangan nila sa ila ilimnan, agod magkastahanay sila sa tunga sang mga sanga. 
GEN.30.42	Pero wala niya pag-ibutang ang mga sanga sa atubangan sang maluya nga mga hayop. Gani ang mga maluya iya ni Laban, kag ang mga mabakod iya ni Jacob. 
GEN.30.43	Sa sini nga paagi nagmanggaranon gid katama si Jacob. Madamo ang iya mga panong nga mga karnero kag mga kanding, mga ulipon, mga kamelyo, kag mga asno.
GEN.31.1	Si Jacob nakabati nga ang mga anak nga lalaki ni Laban nagasiling, “Ginkuha ni Jacob ang tanan nga mga pagkabutang sang aton amay. Ang iya tanan nga manggad naghalin sa pagkabutang sang aton amay.” 
GEN.31.2	Nakita man ni Jacob nga ang pagkabig sa iya ni Laban karon lain na gid sang sa una. 
GEN.31.3	Dayon ang GINOO nagsiling sa iya, “Magbalik ka sa duta sang imo mga ginikanan kag sa imo mga pariente kag ako manginkaupod mo.”
GEN.31.4	Gani ginpatawag ni Jacob si Raquel kag si Lea nga magkadto sila sa latagon sa diin yara ang iya mga panong. 
GEN.31.5	Nagsiling sia sa ila, “Natalupangdan ko nga ang pagkabig sang inyo amay sa akon lain na gid sang sa una. Pero ang Dios sang akon amay nagaupod sa akon gihapon. 
GEN.31.6	Kamo nga duha nakahibalo gid nga nagpangabudlay ako para sa inyo amay sa bug-os ko nga kusog. 
GEN.31.7	Pero gindayaan niya ako, kag kanapulo gid niya gin-ilis-ilisan ang akon suhol. Pero ang Dios wala magtugot nga mahalitan niya ako. 
GEN.31.8	Kon magsiling gani sia, ‘Ang mga may pintukpintok manginsuhol mo,’ ang tanan nga mga hayop nagbata sing may pintukpintok. Kon magsiling sia, ‘Ang may mga gurayguray manginsuhol mo,’ ang tanan nga mga hayop nagbata sing may mga gurayguray. 
GEN.31.9	Ang Dios nagkuha sang mga kahayupan sang inyo amay kag ginhatag sila sa akon.
GEN.31.10	“Sa tion sang pagpahigal sang mga hayop, nagdamgo ako, kag nakita ko nga ang lalaki nga mga kanding nga nagapangasta may gurayguray, may pintukpintok kag kambang. 
GEN.31.11	Ang anghel sang Dios nagtawag sa akon paagi sa damgo kag nagsiling, ‘Jacob!’ Nagsabat ako, ‘Yari ako.’ 
GEN.31.12	Nagsiling sia, ‘Tan-awa, ang tanan nga mga kanding nga lalaki nga nagapangasta may gurayguray, may pintukpintok kag kambang. Ginahimo ko ini tungod kay nakita ko ang tanan nga ginahimo sa imo ni Laban. 
GEN.31.13	Ako
GEN.31.14	Si Raquel kag si Lea nagsabat kay Jacob, “Wala na kami sing may nabilin nga panublion sa amon amay. 
GEN.31.15	Ginakabig niya kami kasubong sang mga dumoluong. Ginbaligya niya kami, kag karon naubos na niya gasto ang bili namon. 
GEN.31.16	Ini tanan nga mga manggad nga ginkuha sang Dios sa amon amay amon ina kag ila sang amon mga anak. Karon, himua ang tanan nga ginsiling sa imo sang Dios.”
GEN.31.17+GEN.31.18	Gani si Jacob naghimos agod magbalik sa iya amay sa duta sang Canaan. Ginpasakay niya ang iya mga kabataan kag mga asawa sa mga kamelyo, kag ginpauna niya ang iya tanan nga mga hayop sa iya, upod ang tanan nga pagkabutang nga iya natipon sa Mesopotamia. 
GEN.31.19	Si Laban naglakat sa paggunting sang iya mga karnero, kag sang wala sia, ginkawat ni Raquel ang mga diosdios sa ila balay nga iya ni tatay niya. 
