GEN.1.1	Sang ginsuguran gintuga sang Dios ang kalangitan kag ang kalibutan. 
DEU.22.29	magbayad ang lalaki sang 50 ka bilog nga pilak sa amay sang babayi. Kinahanglan nga pakaslan niya ang babayi tungod kay ginkuha niya ang iya pagkababayi, kag kinahanglan nga indi gid niya siya pagbulagan samtang buhi pa siya.
DEU.22.30	“Kinahanglan nga indi magpakighilawas ang anak sa asawa sang iya amay, kay mahuy-an ang iya amay.
DEU.23.1	“Wala sing tawo nga ginkapon ukon gin-utdan sang kinatawo nga makaimpon sa katilingban sang 
DEU.23.2	“Ang tawo nga anak sa guwa indi makaimpon sa katilingban sang 
DEU.23.3	Wala sing Ammonhon ukon Moabnon ukon bisan sin-o sa ila mga kaliwat hasta sa ikanapulo nga henerasyon nga makaimpon sa katilingban sang 
DEU.23.4	Kay wala nila kamo paghatagi sang pagkaon ukon tubig sang nagpanglakaton kamo halin sa Egipto, kag ginsuhulan pa nila si Balaam nga anak ni Beor nga taga-Petor sa Aram Naharaim
DEU.23.5	Pero wala pagpamatii sang 
DEU.23.6	Samtang buhi pa kamo, indi gid kamo magbulig sa mga Ammonhon ukon Moabnon sa bisan ano nga paagi.
DEU.23.7	“Indi ninyo pagpakalaina ang mga Edomnon, kay mga kadugo ninyo sila. Indi man ninyo pagpakalaina ang mga Egiptohanon, kay nag-estar kamo anay sa ila duta bilang mga dumuluong. 
DEU.23.8	Ang ila mga kaliwat sa ikatatlo nga henerasyon puwede makaimpon sa katawhan sang 
DEU.23.9	“Kon magpakig-away kamo sa inyo mga kaaway, maglikaw gid kamo sa bisan ano nga butang nga makapahigko sa inyo. 
DEU.23.10	Kon may isa sa inyo nga naguwaan sang semilya sa iya pagtulog sa gab-i, kinahanglan nga magguwa siya sa kampo kag didto anay siya magtiner. 
DEU.23.11	Pagkahapon, magpaligo siya, kag pagkasalop sang adlaw puwede na siya makabalik sa kampo.
DEU.23.12	“Magpili kamo sang lugar sa guwa sang kampo nga himuon ninyo nga palamus-unan. 
DEU.23.13	Kinahanglan nga ang kada isa sa inyo may pangkutkot sa inyo mga gamit, agod nga kon magpamus-on kamo, magkutkot kamo kag tabunan ini. 
DEU.23.14	Kay ang 
DEU.23.15	“Kon ang isa ka ulipon nagpalagyo sa iya agalon kag magdangop sa inyo, indi siya pagpilita sa pagbalik sa iya agalon. 
DEU.23.16	Paestara siya sa inyo lugar sa bisan diin nga banwa nga iya nagustuhan. Indi ninyo siya pagpigusa.
DEU.23.17	“Dapat wala sing Israelinhon, lalaki man ukon babayi, nga magbaligya sang iya lawas sa templo bilang pagsimba sa mga dios-dios. 
DEU.23.18	Indi gid ninyo pagdal-a sa templo sang 
DEU.23.19	“Kon magpahulam kamo sa inyo kapareho nga Israelinhon, indi ninyo ini pagpasakaan, kuwarta man ini ukon pagkaon ukon bisan ano nga butang nga puwede pasakaan. 
DEU.23.20	Puwede ninyo mapahulam ang mga indi Israelinhon nga may saka, pero indi ang inyo kapareho nga mga Israelinhon. Himuon ninyo ini agod pakamaayuhon kamo sang 
DEU.23.21	“Kon magpanaad kamo sa 
DEU.23.22	Indi ina sala kon indi kamo magpanaad sa 
DEU.23.23	Pero ang bisan ano nga inyo ginpanaad sa 
DEU.23.24	“Kon magkadto kamo sa talamnan sang ubas sang inyo kapareho nga Israelinhon, puwede kamo makapagusto kaon sang ubas, pero indi kamo magpanguha kag isulod sa inyo suludlan. 
DEU.23.25	Kon magkadto man kamo sa talamnan sang trigo sang inyo kapareho nga Israelinhon, puwede kamo makapangutol sang uyas, pero indi ninyo ini paggarabon.
DEU.24.1	“Halimbawa, nagpangasawa ang isa ka lalaki, kag sang ulihi nadula ang iya luyag sa iya asawa kay may natukiban siya sa iya asawa nga wala niya naluyagi. Gani naghimo siya sang kasulatan sang pagbulagay kag ginhatag sa iya asawa, kag ginpahalin niya siya sa iya balay. 
DEU.24.2	Kon magpamana liwat ang amo nga babayi, 
DEU.24.3	kag bulagan naman siya sang iya ikaduha nga bana ukon mapatay ang iya ikaduha nga bana, 
DEU.24.4	indi na siya puwede nga pangasaw-on liwat sang nahauna niya nga bana kay nangin mahigko na siya.
DEU.24.5	“Kon ang isa ka tawo bag-o lang makasal, kinahanglan nga indi siya pagpaintrahon sa inaway ukon hatagan sang bisan ano nga responsibilidad sa banwa sa sulod sang isa ka tuig, agod makatiner siya sa iya balay kag mahatagan niya sang kalipay ang iya asawa.
DEU.24.6	“Indi pagkuhaa nga garantiya sa utang ang galingan sang nag-utang sa imo, kay ginakuhaan mo siya sang iya palangabuhian.
DEU.24.7	“Kon madakpan ang isa ka tawo nga nagkidnap sa iya kapareho nga Israelinhon kag ginhimo niya ini nga ulipon ukon ginbaligya niya, kinahanglan nga patyon ang nagkidnap. Dapat dulaon ninyo ini nga kalautan sa inyo.
DEU.24.8	“Kon parte sa delikado nga balatian sa panit
DEU.24.9	Dumduma ninyo kon ano ang ginhimo sang 
DEU.24.10	“Kon magpahulam kamo sang bisan ano sa inyo kapareho nga Israelinhon, indi kamo magsulod sa iya balay sa pagkuha sang bisan ano nga iya igarantiya. 
DEU.24.11	Maghulat lang kamo sa guwa kag dal-on niya ang iya igarantiya sa inyo. 
DEU.24.12+DEU.24.13	Kon imol ang tawo kag kunop ang iya gin-garantiya sa inyo, indi ini pagpaagahi sa inyo. Iuli ini sa iya sa indi pa magsalop ang adlaw agod magamit niya ini sa pagtulog, kag pasalamatan ka pa niya. Kabigon ini sang 
DEU.24.14	“Indi kamo magpamintaha sa imol nga trabahador, Israelinhon man siya ukon indi Israelinhon nga nagaestar sa inyo banwa. 
DEU.24.15	Bayari siya sang iya inadlaw nga suweldo sa indi pa magsalop ang adlaw tungod kay imol siya kag nagasalig siya sa sina nga suweldo. Kay kon indi, basi magdangop siya sa 
DEU.24.16	“Ang mga ginikanan indi dapat pagpatyon tungod sa sala sang ila mga anak, ukon ang mga anak tungod sa sala sang ila mga ginikanan; ang kada isa patyon tungod sa iya kaugalingon nga sala.
DEU.24.17	“Hatagan ninyo sang hustisya ang mga ilo kag ang mga indi Israelinhon 
DEU.24.18	Dumdumon ninyo nga mga ulipon kamo sadto sa Egipto kag ginluwas kamo sang 
DEU.24.19	“Kon nagaani kamo kag may nabilin kamo nga pungpong sa uma, indi na ninyo ini pagbalikan kag kuhaon. Ibilin na lang ini sa mga indi Israelinhon, sa mga ilo, kag sa mga balo nga babayi, agod pakamaayuhon kamo sang 
DEU.24.20	Kon magdugos kamo sang inyo mga olibo, indi na ninyo pagbalikan ang nabilin. Ibilin na lang sa mga indi Israelinhon, sa mga ilo, kag sa mga balo nga babayi. 
DEU.24.21	Kon magdugos kamo sang inyo mga ubas, indi na ninyo pagbalikan ang mga nabilin. Ibilin na lang ini sa mga indi Israelinhon, sa mga ilo, kag sa mga balo nga babayi. 
DEU.24.22	Dumdumon ninyo nga mga ulipon kamo sadto sa Egipto. Amo ina nga ginasugo ko kamo sa paghimo sini.”
DEU.25.1	“Halimbawa, may ginbaisan ang duha ka tawo kag gindala nila ang ila kaso sa korte, kag gindeklarar sang mga manughukom kon sin-o sa ila ang may sala kag ang wala sing sala. 
DEU.25.2	Kon ang may sala ginsentensyahan sang manughukom nga hanuton, pahapaon siya sa atubangan sang manughukom kag hanuton nga ang kadamuon suno sa sala nga iya nahimo. 
DEU.25.3	Pero indi magsobra sa 40 ka hanot, kay kon sobra sa 40, mahuy-an siya.
DEU.25.4	“Indi pagbusali ang baka samtang nagalinas ini.
DEU.25.5	“Kon ang mag-utod nga lalaki nagaestar sa isa lang ka duta, kag napatay ang isa sa ila nga wala sing bata, ang iya asawa indi dapat magpamana sa iban luwas lang sa pamilya sang iya bana. Ang utod sang iya bana amo ang magpangasawa sa iya. Katungdanan ini sang iya bayaw sa iya. 
DEU.25.6	Ang kamagulangan nila nga anak kabigon nga anak sang napatay nga utod agod indi madula ang iya ngalan sa Israel.
DEU.25.7	“Pero kon indi gusto pangasaw-on sang utod sang napatay ang balo, magkadto ang balo sa mga manugdumala didto sa puwertahan sang banwa kag magsiling, ‘Indi magsugot ang akon bayaw nga hatagan niya sang kaliwat ang iya utod sa Israel. Indi niya pagtumanon ang iya katungdanan sa akon bilang bayaw.’ 
DEU.25.8	Dayon ipatawag siya sang mga manugdumala sang banwa kag magpakigsugilanon sila sa iya. Kon magpamilit gid siya nga indi niya gusto pangasaw-on ang balo, 
DEU.25.9	mapalapit ang balo sa atubangan sang mga manugdumala kag kuhaon niya ang sandalyas sang iya bayaw kag duplaan niya siya sa guya kag magsiling, ‘Amo ini ang ginahimo sa tawo nga indi magsugot nga hatagan niya sang kaliwat ang iya utod 
DEU.25.10	Ang panimalay sang sini nga tawo pagatawgon sa Israel nga panimalay sang tawo nga ginkuhaan sang sandalyas.
DEU.25.11	“Kon may duha ka lalaki nga nagaaway kag nagpalapit ang asawa sang isa sa pagbulig sa iya bana paagi sa pagkumos sang kinatawo sang kontra, 
DEU.25.12	kinahanglan utdon ang kamot sang babayi nga wala sing luoy-luoy.
DEU.25.13+DEU.25.14	“Indi kamo magdaya sa inyo pagkilo ukon pagsukob. 
DEU.25.15	Maggamit kamo sang husto nga kilohan kag sulukban, agod magakabuhi kamo sing malawig sa duta nga ginahatag sa inyo sang 
DEU.25.16	Kay ginakangil-aran sang 
DEU.25.17	“Dumduma ninyo kon ano ang ginhimo sang mga Amaleknon sa inyo sang nagguwa kamo sa Egipto. 
DEU.25.18	Ginsalakay nila kamo sang kapoy na gid kamo, kag ginpamatay nila ang inyo mga kaupod nga ara sa ulihi. Wala sila sing kahadlok sa Dios. 
DEU.25.19	Gani laglaga gid ninyo ang tanan nga Amaleknon kon hatagan na kamo sang 
DEU.26.1	“Kon mapanag-iyahan na ninyo ang duta nga ginahatag sa inyo sang 
DEU.26.2	ibutang ninyo ang nahauna nga parte sang inyo patubas sa basket. Dayon dal-a ninyo ini sa lugar nga pilion sang 
DEU.26.3	Magkadto kamo sa pari nga nagaalagad sa sina nga tion kag magsiling sa iya, ‘
DEU.26.4	“Kuhaon dayon sang pari ang basket sa inyo kag ibutang ini sa atubangan sang halaran sang 
DEU.26.5	Dayon, isiling ninyo ini sa presensya sang 
DEU.26.6	Pero ginpintasan kami sang mga Egiptohanon. Ginpaantos nila kami kag ginpilit sa pag-obra. 
DEU.26.7	Nagpangayo kami sang bulig sa imo, 
DEU.26.8	Gani ginkuha mo kami, 
DEU.26.9	Gindala mo kami sa sini nga lugar, kag ginhatag sa amon ining maayo kag mapatubason nga duta.
DEU.26.10	Gani karon, O 
DEU.26.11	Dayon magkinalipay kamo tungod sa maayo nga mga butang nga ginahatag sang 
DEU.26.12	“Sa kada ikatatlo nga tuig, ihatag ninyo ang ikanapulo sang inyo mga patubas sa mga Levita, sa mga indi Israelinhon, sa mga ilo kag sa mga balo nga babayi, agod may bastante sila nga pagkaon. 
DEU.26.13	Dayon masiling kamo sa presensya sang 
DEU.26.14	Wala ko ginkaon ini samtang nagapangasubo ako; wala ko ini gintandog samtang ginakabig ako nga mahigko; kag wala ko ini ginhalad sa patay. O 
DEU.26.15	Talupangda kami halin sa imo balaan nga puluy-an sa langit, kag pakamaayuha ang imo katawhan nga mga Israelinhon kag ang maayo kag mapatubason nga duta nga ginhatag mo sa amon suno sa imo ginsumpa sa amon mga katigulangan.’
DEU.26.16	“Ginasugo kamo subong sang 
DEU.26.17	Ginpahayag ninyo subong nga ang 
DEU.26.18	Kag ginpahayag man sang 
DEU.26.19	Kag suno sa iya ginpromisa himuon niya kamo nga labaw sa tanan nga nasyon, kag pagadayawon kag padunggan kamo. Mangin katawhan kamo nga pinili sang 
DEU.27.1	Karon ginmanduan ni Moises kag sang mga manugdumala sang Israel ang katawhan: “Tumana ninyo 
DEU.27.2	Kon makatabok na kamo sa Jordan, didto sa duta nga ginahatag sa inyo sang 
DEU.27.3	Isulat ninyo sa sini nga mga bato ang tanan nga kasuguan kon makasulod na kamo sa maayo kag mapatubason nga duta
DEU.27.4	Kon makatabok na kamo sa Jordan, patinduga ninyo ini nga mga bato sa Bukid sang Ebal, suno sa ginmando ko sa inyo subong, kag pahiran ninyo ini sang apog. 
DEU.27.5	Dayon maghimo kamo didto sang halaran nga bato para sa 
DEU.27.6	Dapat wala mabasbasi ang mga bato nga himuon ninyo nga halaran. Dayon maghalad kamo sa sini nga halaran sang mga halad nga ginasunog para sa 
DEU.27.7	Maghalad man kamo sang halad nga para sa maayo nga relasyon, kag kauna ninyo ini didto kag magkinalipay kamo sa presensya sang 
DEU.27.8	Kag isulat ninyo sing maathag ining mga kasuguan sang Dios sa mga bato 
DEU.27.9	Nagsiling pa gid si Moises kag ang mga pari nga mga kaliwat ni Levi sa tanan nga Israelinhon, “Pamati kamo, O 
DEU.27.10	Sunda ninyo ang 
DEU.27.11	Sa amo man nga adlaw ginmanduan ni Moises ang katawhan: 
DEU.27.12	“Kon makatabok na gani kamo sa Jordan, amo ini ang mga 
DEU.27.13	Kag amo man ini ang mga 
DEU.27.14	“Ang mga Levita magsinggit sing mabaskog sa tanan nga Israelinhon:
DEU.27.15	“Pakamalauton ang tawo nga maghimo sang bisan ano nga mga dios-dios nga hinimo halin sa bato ukon saway kag simbahon ini bisan sa sekreto. Kay ini nga mga dios-dios nga hinimo lang sang tawo ginakaugtan sang 
DEU.27.16	“Pakamalauton ang tawo nga wala nagatahod sa iya mga ginikanan.” Masabat dayon ang tanan nga tawo, “Amen!”
DEU.27.17	“Pakamalauton ang tawo nga nagahalin sang muhon sang duta sang iya isigkatawo 
DEU.27.18	“Pakamalauton ang tawo nga nagapatalang sang bulag sa dalan.” Masabat dayon ang tanan nga tawo, “Amen!”
DEU.27.19	“Pakamalauton ang tawo nga wala nagahatag sang hustisya sa mga indi Israelinhon, sa mga ilo kag sa mga balo nga babayi.” Masabat dayon ang tanan nga tawo, “Amen!”
DEU.27.20	“Pakamalauton ang tawo nga magpakighilawas sa asawa sang iya amay, kay ginapakahuy-an niya ang iya amay.” Masabat dayon ang tanan nga tawo, “Amen!”
DEU.27.21	“Pakamalauton ang tawo nga magpakighilawas sa bisan ano nga sapat.” Masabat dayon ang tanan nga tawo, “Amen!”
DEU.27.22	“Pakamalauton ang tawo nga magpakighilawas sa iya utod nga babayi, utod man niya sa amay ukon sa iloy.” Masabat dayon ang tanan nga tawo, “Amen!”
DEU.27.23	“Pakamalauton ang tawo nga magpakighilawas sa iya ugangan nga babayi.” Masabat dayon ang tanan nga tawo, “Amen!”
DEU.27.24	“Pakamalauton ang tawo nga magpatay sang iya kapareho bisan sa sekreto.” Masabat dayon ang tanan nga tawo, “Amen!”
DEU.27.25	“Pakamalauton ang tawo nga magbaton sang suhol sa pagpatay sang inosente nga tawo.” Masabat dayon ang tanan nga tawo, “Amen!”
DEU.27.26	“Pakamalauton ang tawo nga indi magsunod ukon magtuman sining tanan nga sugo.” Masabat dayon ang tanan nga tawo, “Amen!”
DEU.28.1	“Kon sundon gid ninyo ang 
DEU.28.2	Kon sundon ninyo ang 
DEU.28.3	“Pakamaayuhon niya ang inyo mga banwa kag ang inyo mga uma. 
DEU.28.4	Pakamaayuhon niya kamo sang madamo nga mga kabataan, bugana nga patubas kag madamo nga mga kasapatan. 
DEU.28.5	Pakamaayuhon niya ang inyo mga patubas kag mga pagkaon. 
DEU.28.6	Pakamaayuhon niya ang tanan ninyo nga ginahimo. 
DEU.28.7	Ipapierdi sang 
DEU.28.8	Pakamaayuhon sang 
DEU.28.9	Suno sa ginpromisa sang 
DEU.28.10	Dayon ang tanan nga katawhan sa kalibutan makahibalo nga ginpili kamo sang 
DEU.28.11	Pakamaayuhon gid kamo sang 
DEU.28.12	Padal-an kamo sang 
DEU.28.13	Himuon kamo sang 
DEU.28.14	Gani indi ninyo paglapasa ang bisan ano nga ginasugo ko sa inyo subong, kag indi kamo magsunod sa iban nga mga dios kag mag-alagad sa ila.
DEU.28.15	“Pero kon indi kamo magtuman sa 
DEU.28.16	Pakamalauton sang 
DEU.28.17	Pakamalauton niya ang inyo mga patubas kag mga pagkaon. 
DEU.28.18	Pakamalauton niya kamo paagi sa paghatag sa inyo sang diutay nga mga kabataan, patubas kag kasapatan. 
DEU.28.19	Pakamalauton niya ang tanan ninyo nga mga ginahimo. 
DEU.28.20	Pasalasalahon kamo kag pagamuhon ang tanan ninyo nga ginahimo hasta nga malaglag kamo kag magkalawala sa gilayon tungod sa malain ninyo nga ginahimo paagi sa pagsikway sa iya.
DEU.28.21	Padal-an kamo sang 
DEU.28.22	 paantuson kamo sang 
DEU.28.23	Ang langit mangin 
DEU.28.24	Imbes tubig ang ihatag sang 
DEU.28.25	“Ipapierdi kamo sang 
DEU.28.26	Ang inyo mga bangkay kan-on sang mga pispis kag sang mapintas nga mga sapat, kag wala sing may magtabog sa ila. 
DEU.28.27	Paantuson kamo sang 
DEU.28.28	Pabuangon kamo sang 
DEU.28.29	Magapangapkap kamo bisan adlaw pareho sa bulag. Indi kamo magmainuswagon sa bisan ano nga inyo himuon. Piguson kag kawatan kamo permi, kag wala sing may magbulig 
DEU.28.30	“Ang babayi nga inyo pangasaw-on agawon
DEU.28.31	Ihawon ang inyo baka sa inyo atubangan, pero indi kamo makakaon sini. Agawon sa inyo ang inyo asno, kag indi na ini pag-ibalik sa inyo. Kuhaon sang inyo mga kaaway ang inyo mga karnero, kag wala sing may magbulig sa inyo sa pagbawi sini. 
DEU.28.32	Samtang nagatan-aw kamo, bihagon ang inyo mga anak sang taga-iban nga nasyon, kag adlaw-adlaw kamo nga maghulat sa ila 
DEU.28.33	Ang mga tawo nga wala ninyo makilal-i amo ang magakaon sang tanan ninyo nga ginpangabudlayan, kag permi lang kamo piguson kag paantuson. 
DEU.28.34	Kag kon makita ninyo ini tanan, mabuang kamo. 
DEU.28.35	Patubuan kamo sang 
DEU.28.36	“Kamo kag ang inyo pinili nga hari ipabihag sang 
DEU.28.37	Kangil-aran kamo, hikayan, kag tamayon sang mga pumuluyo sang mga nasyon nga sa diin kamo ginbihag.
DEU.28.38	“Madamo ang inyo itanom pero gamay lang ang inyo anihon, kay kaunon ini sang mga apan. 
DEU.28.39	Magatanom kamo sang ubas kag atipanon ninyo, pero indi kamo makapamupo sang bunga sini ukon makainom sang iya duga, kay kaunon ini sang mga ulod. 
DEU.28.40	Magatanom kamo sang madamo nga olibo bisan diin sa inyo lugar, pero wala kamo sing lana nga makuha halin sa sini, kay magkalapulak ang mga bunga sini. 
DEU.28.41	Makapamata kamo, pero indi sila magpabilin sa inyo kay bihagon sila. 
DEU.28.42	Kaunon sang mga apan
DEU.28.43	“Ang mga indi Israelinhon nga nagaestar upod sa inyo magaamat-amat gamhanan samtang kamo iya magaamat-amat luya. 
DEU.28.44	Sila ang magapautang sa inyo kag indi kamo ang magapautang sa ila. Sila ang magapangulo sa inyo kag kamo inyo mga sumulunod lang. 
DEU.28.45	Matabo ining tanan nga pagpakamalaot sa inyo hasta nga magkalamatay kamo kon indi ninyo pagtumanon ang 
DEU.28.46	Ini nga mga pagpakamalaot mangin padumdom kag paandam sa inyo kag sa inyo mga kaliwat hasta san-o. 
DEU.28.47	Tungod kay wala ninyo gin-alagad nga may kalipay kag kasadya ang 
DEU.28.48	itugyan niya kamo sa mga kaaway nga ipadala niya sa inyo kag magaalagad kamo sa ila. Gutumon kamo, uhawon, kulangon sang bayo, kag mawad-an sang bisan ano nga butang. Paantuson niya kamo nga daw sa ginatakdan kamo sang salsalon nga gota hasta nga magkalamatay kamo.
DEU.28.49	“Ipasalakay kamo sang 
DEU.28.50	Mapintas sila kag wala sing kaluoy sa mga tigulang kag mga kabataan. 
DEU.28.51	Kaunon nila ang inyo mga kasapatan kag ang inyo mga patubas hasta nga magkalamatay kamo. Wala sila sing ibilin sa inyo nga uyas, duga sang ubas, lana, ukon mga kasapatan hasta nga magkalalaglag kamo. 
DEU.28.52	Salakayon nila ang tanan ninyo nga banwa nga ginahatag sa inyo sang 
DEU.28.53	“Sa tion nga kibunon kamo sang inyo mga kaaway, kaunon ninyo ang inyo mga anak nga ginhatag sa inyo sang 
DEU.28.54	Bisan pa ang mahinhin kag maluming gid nga tawo wala na sing kaluoy sa iya utod, sa iya pinalangga nga asawa, kag sa iya nabilin nga mga anak. 
DEU.28.55	Indi niya sila paghatagan sang iya ginakaon nga unod sang iya anak kay nahadlok siya nga maubusan. Amo ina ang matabo sa inyo sa tion nga kibunon na sang inyo mga kaaway ang tanan ninyo nga banwa. 
DEU.28.56	Bisan pa ang mahinhin kag maluming nga babayi nga halos indi gani maglakat nga nagatiniil, mangin mapintas sa iya pinalangga nga bana kag sa iya mga anak. 
DEU.28.57	Taguon niya ang iya bata nga bag-o lang gid natawo kag ang inunlan sini agod kaunon niya sa sekreto, kay nahadlok siya nga basi wala na siya sing kaunon samtang ginakibon sang inyo mga kaaway ang inyo mga banwa.
DEU.28.58	“Kon indi ninyo pagtumanon sing maayo ining tanan nga sugo nga nasulat sa sini nga libro, kag indi pagtahuron ang halangdon kag makatilingala nga ngalan sang 
DEU.28.59	padal-an niya kamo kag ang inyo mga kaliwat sang makahaladlok nga mga balatian nga puwerte kasakit kag wala sing kaayuhan. 
DEU.28.60	Ipaagom niya sa inyo ang makahaladlok nga mga balatian nga ginpadala niya sa Egipto, kag magapabilin ini sa inyo. 
DEU.28.61	Ipaagom man sang 
DEU.28.62	Bisan pareho kamo kadamo sang mga bituon sa langit, diutay lang ang mabilin sa inyo kay wala kamo nagtuman sa 
DEU.28.63	Subong nga ginkalipay sang 
DEU.28.64	“Palaptahon kamo sang 
DEU.28.65	Wala kamo didto sing kalinong kag lugar nga mapahuwayan. Pakulbaan kamo sang 
DEU.28.66	Ang inyo kabuhi mangin ara permi sa katalagman; adlaw-gab-i permi lang kamo ginakulbaan, kag wala sing kasiguruhan ang inyo kabuhi. 
DEU.28.67	Tungod sa inyo kahadlok sa mga butang nga inyo makita sa palibot, masiling kamo kon aga, ‘Kuntani gab-i na.’ Kag kon gab-i masiling kamo, ‘Kuntani aga na.’ 
DEU.28.68	Pabalikon kamo sang 
DEU.29.1	Amo ini ang mga detalye sang pagtuman sa kasugtanan nga ginsugo sang 
DEU.29.2	Ginpatawag ni Moises ang tanan nga Israelinhon kag ginsilingan, “Kamo mismo nakakita sang tanan nga ginhimo sang 
DEU.29.3	Nakita ninyo atong puwerte nga mga pagtilaw, mga milagro, kag makatilingala nga mga buhat. 
DEU.29.4	Pero hasta subong wala pa ginpaintiendi sang 
DEU.29.5	Sa sulod sang 40 ka tuig nga ginpangunahan ko kamo sa kamingawan, wala nagdaan ang inyo mga bayo kag mga sandalyas. 
DEU.29.6	Wala kamo sing tinapay didto ukon bino kag iban pa nga ilimnon, 
DEU.29.7	“Pag-abot naton sa sini nga lugar, nagpakig-away sa aton si Haring Sihon sang Heshbon kag si Haring Og sang Bashan, pero gindaog naton sila. 
DEU.29.8	Gin-agaw naton ang ila duta kag ginhatag ini sa 
DEU.29.9	“Gani tumana ninyo sing maayo ang mga ginapatuman sa sini nga kasugtanan, agod magmauswagon kamo sa tanan ninyo nga ginahimo. 
DEU.29.10	Nagatindog kamo tanan subong nga adlaw sa presensya sang 
DEU.29.11	ang inyo mga asawa kag mga kabataan, kag ang mga indi Israelinhon nga nagaestar upod sa inyo nga inyo manugkahoy kag manugsag-ob. 
DEU.29.12	Nagatindog kamo diri sa paghimo sang kasugtanan sa 
DEU.29.13	agod ipahibalo niya liwat sa inyo subong nga kamo iya katawhan kag siya inyo nga Dios suno sa iya ginpromisa sa inyo kag sa inyo mga katigulangan nga si Abraham, Isaac, kag Jacob. 
DEU.29.14+DEU.29.15	Pero indi lang kamo nga nagatindog diri subong sa presensya sang 
DEU.29.16	“Nahibaluan ninyo kon paano anay kita nag-estar sa Egipto kag kon paano kita nagpanglat-as sa kadutaan sang iban nga mga nasyon pakadto sa sini nga lugar. 
DEU.29.17	Nakita ninyo ang ila makangilil-ad nga mga dios-dios nga hinimo halin sa kahoy, bato, pilak kag bulawan. 
DEU.29.18	Siguraduha ninyo nga wala sa inyo sing lalaki, babayi, panimalay, ukon tribo nga magbiya sa 
DEU.29.19	Ang bisan sin-o nga nakabati sang mga paandam sang sini nga mga pagpakamalaot indi maghunahuna nga indi siya maano bisan magpadayon siya sa iya lang gusto. Ang matuod, magadala ini sang kalaglagan sa inyo tanan. 
DEU.29.20	Indi 
DEU.29.21	Painon siya sang 
DEU.29.22	“Sa ulihi nga mga henerasyon ang inyo mga kaliwat kag ang mga dumuluong nga naghalin sa malayo nga mga lugar makakita sang 
DEU.29.23	Ang inyo bug-os nga duta mangin pareho sa desierto nga natabunan sang asupre kag asin. Wala gid sing may magtanom sa sini nga duta kay ang tanom indi magtubo. Mangin pareho ini sang pagkalaglag sang Sodom kag Gomora, sang Adma kag Zeboyim nga ginlaglag sang 
DEU.29.24	Dayon mamangkot ang tanan nga nasyon, ‘Ngaa bala ginhimo ina sang 
DEU.29.25	“Kag ang sabat amo ini: ‘Tungod kay ginsikway sang sini nga mga tawo ang kasugtanan nga ginhimo sa ila sang 
DEU.29.26	Nagsimba sila kag nag-alagad sa iban nga mga dios nga wala nila nakilal-i, nga gindumili sang 
DEU.29.27	Gani puwerte ang kaakig sang 
DEU.29.28	Sa puwerte nga kaakig sang 
DEU.29.29	“May mga butang nga sekreto nga ang 
DEU.30.1	“Halimbawa, matabo sa inyo ini nga mga butang—ang mga pagpakamaayo kag ang mga pagpakamalaot nga akon ginsiling sa inyo—kag madumduman ninyo ini kon didto na kamo sa mga nasyon nga sa diin ginpabihag kamo sang 
DEU.30.2	Kon sa sina nga tion magbalik kamo kag ang inyo mga anak sa 
DEU.30.3	kaluoyan kamo sang 
DEU.30.4	Bisan didto pa niya kamo ginpalayas sa pinakamalayo nga parte sang kalibutan, tipunon gihapon kamo sang 
DEU.30.5	kag pabalikon sa duta nga ginpanag-iyahan sang inyo mga katigulangan, kag panag-iyahan ninyo ini 
DEU.30.6	Bag-uhon sang 
DEU.30.7	Ipaagom sang 
DEU.30.8	Tumanon ninyo liwat ang 
DEU.30.9	Pauswagon gid kamo sang 
DEU.30.10	Matabo ini kon tumanon ninyo ang 
DEU.30.11	“Indi mabudlay intiendihon kag himuon ini nga mga sugo nga ginahatag ko sa inyo subong. 
DEU.30.12	Wala ini sa langit nga magpamangkot kamo, ‘Sin-o bala ang mapa-langit sa pagkuha sini kag ibantala sa aton agod sundon naton?’ 
DEU.30.13	Wala man ini sa tabok sang dagat nga magpamangkot kamo, ‘Sin-o bala ang matabok sa dagat sa pagkuha sini kag ibantala sa aton agod sundon naton?’ 
DEU.30.14	Ara ina nga mga pulong sa inyo, sa inyo mismo baba kag tagipusuon, gani matuman ninyo ina.
DEU.30.15	“Pamati! Subong nga adlaw ginapapili ko kamo sini: kabuhi ukon kamatayon, kauswagan ukon kalaglagan. 
DEU.30.16	Ginamanduan ko kamo subong nga higugmaon ninyo ang 
DEU.30.17	“Pero kon indi kamo magtuman kag magsunod sa iya, kag magsimba kamo kag mag-alagad sa iban nga mga dios, 
DEU.30.18	subong pa lang nga daan ginapaandaman ko na kamo nga sigurado gid nga malaglag kamo. Indi kamo magkabuhi sing malawig sa duta nga inyo sudlon kag panag-iyahan didto sa tabok sang Jordan.
DEU.30.19	“Subong nga adlaw ginatawag ko bilang mga saksi ang langit kag ang duta kon diin sa sini ang inyo pilion: kabuhi ukon kamatayon, pagpakamaayo ukon pagpakamalaot. Pilia ninyo ang kabuhi agod magkabuhi kamo kag ang inyo mga kabataan.
DEU.30.20	Higugmaa ninyo ang 
DEU.31.1	Nagpadayon si Moises sa pagpakighambal sa tanan nga Israelinhon. 
DEU.31.2	Siling niya, “120 na ka tuig ang akon edad kag indi na ako makasarang sa pagpangulo sa inyo. Kag nagsiling ang 
DEU.31.3	Ang 
