GEN.1.1	Tetenzük nung Tsüngremi anüng aser alima poktetdaktsü.
EXO.22.30	Aser ne mezüng mepuba nashi, san kü nem agütsütsüla. Itemji anogo tenetnü tashi tetsü den alitsü, aser tinübuba nung kü nem agütsütsüla.
EXO.23.1	“Nai tiyazü osang teprokshi, aser tamajunger ka asoshi tiyazü kuli ajanga teyari.
EXO.23.2	Tamajung inyaktsü asoshi telok tuluba sülen nai tanitak, mesüra obendangdak ochi meyipsatsütsü merangba telok tsütsü na teten. 
EXO.23.3	 Obendangdak sensaker anema nai tejak tereprang.
EXO.23.5	Ne dang sempaba nisung ka meyong gadoji khu agi neneter mepitaka ngura, nai ibaji ajanga odangbo maotsüla, saka aji yaritsüla.
EXO.23.6	Nai obendangdak sensaker anema ochiji temeyipsatsü 
EXO.23.7	Tiyazü kuli agi shinga aija temerenshi, aser tai makaba aser ochishir nisung nai tetepset, kechiaser shibaisa temenen mapa inyakdir, ni parnokji aitsütsü. 
EXO.23.8	Nai süpokrem tagizük, kechiaser süpokrem ajanga shitak inyaktsüba lenmang nungi nisung tenük pokdakja tai makaba nisungtem timtemdaktsür.
EXO.23.11	Saka ne nübur sensakertem achitsü asoshi küm tenetbuba nungbo ali nungji nai metsü meproki tokjang; aser parnoki kechi anüngzükdir aji moapu nung aliba shirurui achitsü. Iba amaji nai ne tsükmenatzü lu aser oliv tsüki asoshia inyakang.
EXO.23.13	“Ni nenok dang ashiba ajak angang: tangar tsüngremtem tenüng tetetshi, mesüra ne tebang nungi shinga nema tangashidaktsü.”
EXO.23.14	Küm nung asemben nenoki ni asoshi benjong amungtsüla. 
EXO.23.15	 Ni nenok dang melaba ama: Piyazü meinokba am Benjong nenoki amungtsüla. Anogo tenet tashi piyazü meinokba amtsük chiang. Ibaji Ahib ita anogo shitak nung amungtsüla, kechiaser iba ita nung nenok Ijip lima nungi adok. Anungji shinga kü tsüngdangi teka tazüng marutsüla.
EXO.23.17	Küm nung item Benjong asem amungdangji nenok tebur shiai ni 
EXO.23.18	“Ni asoshi tetepsetba tenlaba zü den piyazü enokba am metenlatsüla. Item benjong nung ni atema tepsetba shiruru temoji anepdang tashi mayutsüla.”
EXO.23.20	“Na lenmang anitsü aser ni renemja akaba linük jagi na anir arutsü asoshi ni ne jakdang tenyar ka yoktsü.” 
EXO.23.21	Nai pa dang angang aser pai kechisa shidir aji inyakang. Pa anema tapuso, kechiaser ni pa yok, kü tenüng pa den lir aser pa anema noktakba atema tatok magütsütsü. 
EXO.23.22	Saka nai pa ola angadi süra, aser ni ashiba ajak inyakra, idangji ne tsükchir ka aser ne anemertem dang nia anemer ka alitsü. 
EXO.23.23	Kechiaser kü tenyar ne jakdang aotsü aser Amor nunger, Het nunger, Perez nunger, Kanan nunger, Hiv nunger aser Yebus nunger dangi ni na anir arutsü; aser ni parnok leptokadoktsü. 
EXO.23.24	Parnok tsüngremtem tsüngdang tapudak, mesüra tekülem, aser par yimsü-yimbongtem tebenshi. Parnok tsüngremtem aser par tekülemba temeshi tongshitemji anüka raksajang. 
EXO.23.25	Aser nenoki nenok Tsüngrem 
EXO.23.26	Ne linük nung shingaia pei-i tanur abenba meraksatsü mesüra tapung makümtsü. Ni ne nem arishi talang agütsütsü.
EXO.23.27	“Na anema aruba tsükchirtem kin dangi ni tetsübutsü aser mangatettep adokdaktsütsü aser ni ne tsükchirtem ne jakdang nungi meyipa tesüleni jena odaktsütsü.” 
EXO.23.28	Ne jakdang nati yoka iba jagi ne lenmang nung aliba Hiv nunger, Kanan nunger aser Hit nunger ni aridoktsü. 
EXO.23.29	Ni parnok küm ka nung dangbo maridoktsü, yamaji mesüra alimaji azüngazünga küma na asoshi arem shirurutemji tali züintsü. 
EXO.23.30	Na aika renloka kümer linükji magi tashi ni parnokji terara dang aridoktsü. 
EXO.23.31	Ne litsü Temerem Tzüyim nungi Filistia nunger tzüyim tashi, lisem lima nungi Eufrata ayong tashi alitsü; kechiaser yangji aliba nisungtemji ne ket nung ni bendanga agütsütsü, aser nai parnok aridoktsü. 
EXO.23.32	Parnok den mesüra parnok tsüngremtem den nai kecha tezüngzüktepba mayutsüla. 
EXO.23.33	Ni anema parnoki na temenen menadaktsütsü asoshi, nai ne linük nungji parnok telidaktsü. Nai parnok tsüngremtem külemra, aji na asoshi sang ka asütsü.”
EXO.24.2	Ne dak alema tangar shinga ni anasai marutsüla. Nüburtemji keta tenem jagia matutsüla.”
EXO.24.3	Mosai arua nüburtem dang 
EXO.24.4	i melaba ajak Mosai zülu aser tasüngnepji anepdang pai yakta saaka tenem tsüng nungji tenladak aser tongshi terana agi yanglu. Tongshi shia Israel kidong ka ka temaitsü liasü. 
EXO.24.5	Aser pai Israel asangurtem 
EXO.24.6	Mosai shiruru züji tesadang ka susa nung ayu, aser tesadang kaji tenla sabang nung rükloktsü. 
EXO.24.7	Idangji pai tezüngzüktepba kaket koba 
EXO.24.9	Idangji Mosa, Aron, Nadab, Abihu aser Israel tambur neterji atu, 
EXO.24.10	aser parnoki Israel Tsüngrem angu. Pa tetsüng kübok merük merüka aliba anüng sentsü ama sapfir lung agi labanga aliba angu. 
EXO.24.11	Tsüngremi item Israel lenirtem madak pa teka memekang, aser parnoki Tsüngrem angu; aser parnoki chia ajem.
EXO.24.13	Mosa aser pa teyarir Yihusua na renemer Tsüngrem tenemi atu. 
EXO.24.14	Mosai tambur dang ashi, “Onok tanaben meyipa malu tashi nenok yangi dang ata-a liang. Aron aser Hur na nenok den lir, nenok rongnung mangatettep kar adokra parnok dangi oang.”
EXO.24.15	Kodang Mosa Sinai tenem jagi atu mepeti aji sübang. 
EXO.24.16	Aser 
EXO.24.17	Israel nunger nükdang tenem nung 
EXO.24.18	 Aser Mosai mepet jagi yia tenem nung anogo lir aser aonung lir liasü.
EXO.25.2	“Ni asoshi Israel nungeri tenla ka ka benang ta dang shiang. Nisung shiai pei mulungtetba ama kechi tenladir aji agizükang. 
EXO.25.3	Nai agizüktsüba tenlaji hon, taribi, yongmen yin, 
EXO.25.4	sü tajung, anüng sentsü, nakrema meremba, tezüng sü, sü temerem, nabong züng agi yangluba sü; 
EXO.25.5	san tepung küp sentsü temerem nung aremba shiküp tanak, akashia süng; 
EXO.25.6	milen asoshi oliv totzü, temezütsü asoshi totzü aser teronem menemba liangmesen; 
EXO.25.7	oniks lung, temenoktsü lung, putir teku nung semoktsü
EXO.25.8	Ni parnok rongnung alitsü asoshi nüburtemi kü nem temeshi tekülemdak tenladak tekülemdak ka yanglutsütsüla. 
EXO.25.9	Ibaji koma yanglutsü aji ni ne dang sayutsü aser nai yamaji yanglutsüla.
EXO.25.10	“Aser parnoki akashia süng agi süngden ka yanglutsüla, metong nung süklep ana ser tesadang; lenten süklep ka ser tesadang; aser touchiji süklep ka ser tesadang asütsüla. 
EXO.25.11	Ibaji hon temeja agi temalen aser telunglen ajak yangbangtsüla, aser hon agi tatembanglen ajakji südangtsüla. 
EXO.25.12	Aser idakji hon tayi pezü ketdakjang aser aji tetsüng pezü nungji külen tayi ana, aser külen ana ta akettsüla. 
EXO.25.13	Akashia süng agi süngra yangluang aser aji hon agi yangbangtsüla, 
EXO.25.14	aser süngdenji abentsü asoshi itemji tayi nungji enokang. 
EXO.25.15	Süngraji tayi nungji enoka ayutsüla aser aji magitettsüla. 
EXO.25.16	Ni ne nem agütsütsü aliba lungpak ana koba nung kü temelaba ozüngtem zülua lir aji süngden nungji enoka yuang.
EXO.25.18	Aser tenembangba tatem anatsülenji jungjunga atsüngba hon cherubim ana nai yangluang. 
EXO.25.19	Aser tatem külen cherub ka aser külenji cherub ka ta yangluang: aser iba tatembang ana manung cherubimji temekettsü denji ka dang küma nenoki yangluang. 
EXO.25.20	Aser cherubimji parnok tashikang agi akhümbanger, parnok tashikang azüklen sarar alitsüla. 
EXO.25.21	Aser süngden temalenji nai temekettsü den ayutsüla; aser ni ne nem agütsüba ozüngji temeshi süngden telung nung nai yuang. 
EXO.25.22	Aser yangji ni ne den ajurutepdi, aser Ozüng Süngden manung cherubim ana tsüngda nung temekettsü nungji Israel chirtem dang temelaba koba ni ne nem agütsütsü, ajak indang ni ne den jembitsü.
EXO.25.23	“Akashia süng agi langbang ka, metong nung süklep ana, lenten süklep ka aser touchi nung süklep ka ser tesadang yangluang. 
EXO.25.24	Aji hon temeja agi yangbangang aser hon agi tatembang ajakji meketa yangbangtsüla. 
EXO.25.25	Aji meketa tekapu ka lema tebanglak keta yangluang, aser iba tebanglakji hon agi züdanga yangluang. 
EXO.25.26	Iba atema hon tayi pezü yanglua, itemji tetsüng pezü nungji enokang. 
EXO.25.27	Langbang abentsü asoshi süngra tebanglak anasa tayitemji alitsüla. 
EXO.25.28	Süngraji akashia süng agi yangluang aser aji hon agi yangbangang. 
EXO.25.29	Hon temeja agi nai su, marok aser tezüoktsüba marok, susatem tezüoktsü asoshi yangluang. 
EXO.25.30	 Langbangji tezüngzüktepba süngden jakdang ayutsüla, aser langbang manung kü dang tenlatsüba amtsükji teti yujang.
EXO.25.31	“Ano hon temeja agi milendong atalokdak ka yangluang. Temtsüng aser tedongji hon agi jungjunga tsünga yanglutsüla, 
EXO.25.32	aser marok koba naro temechi mesüka yanglur, ibaji milendong atalokba denji ka dang küma anatsülenji kongsang trok tipleni sangshia, tip shia kongsang asemsem oa yanglutsüla; 
EXO.25.33	Kongsang ka nung almond naro apungba ama marok asem, temechi ka aser naro ka; aser kongsang ka nungji almond naro apungba ama marok asem, temechi ka aser naro ka, yangji milendong nungi kongsang trok sangshia alitsü. 
EXO.25.34	Aser milendong nungji almond naro apungba ama marok pezü, iba temechitem aser narotemji: 
EXO.25.35	aser kongsang ana kübok temechi ka iba denji ka küma, milendong nungi kongsang trok sangshia oa alitsü. 
EXO.25.36	Iba temechitem aser kongsangtemji iba den temang ka dang: ajongaji hon temeja agi ka küma atsüngba mapa alitsü.
EXO.25.37	“Milendong atalokdak asoshi milen tenet yanglur idakji ataloka yuang, aser iba jagi tejaklen nungi tesangwa agütsütsü. 
EXO.25.38	Milen nung enokba angsü mejeptokba aser iba susaji hon temeja agi yangluba asütsüla. 
EXO.25.39	Milendong aser iba yangluba nung amshitsü asoshi hon temeja seret semer agitsüla. 
EXO.25.40	 Ni ne dang tenem nung inyaktsü sayuba ama nai itemji kümdanga yanglutsüla.
EXO.26.1	“Ano, nai tekülemdak sükiji teyindangba sü ter dena yangluang, temechiba kümpa sü tanük, anüng sentsü, nakrema meremba aser jakja-a meremba sentsü, cherubim keter tetangshi mapa inyaker mapa ama nai yangluang. 
EXO.26.2	Teyindangba sü shia metong nung süklep metsür-ti, aser teyindangba sü lenten shia süklep pezü asütsüla: teyindangba sü ajak tasazük kasa alitsüla. 
EXO.26.3	Teyindangba sü pungu külemi metentepang, aser tanga teyindangba sü pungujia külemi metentepang. 
EXO.26.4	Aser temaba teyindangba sü ka manung temetentepba sübang azüngba tatem nungi nai tepungoktsü anüng sentsü agi yangluang, aser yamaji teyindangba sü, temetentep tanabuba tematiba tatembanglak manung nai yangluang. 
EXO.26.5	Teyindangba sü ka nung nai tepungoktsü tenem yangluang, aser tanabuba temetentep teyindangba sü tatembang nungji tepungoktsü tenem nai yangluang. 
EXO.26.6	Aser nai hon lakepsen tenem yangluang, aser teyindangba sütemji lakepsen jagi külemi metentepang: angji tekülemdak sükiji ka akümtsü.
EXO.26.7	Aser tekülemdak süki manung süki asoshi nai nabong züng agi teyindangba sü yangluang; itemji teyindangba terka nai yangluang. 
EXO.26.8	Teyindangba sü shiaji metong süklep semer aser teyindangba sü terkaji tasazük kasa alitsüla. 
EXO.26.9	Nai teyindangba sü pungu balaka aser tanga teyindangba sü trokji balaka nung ta metentepang, aser süki tejaklen asoshi teyindangba sü trokbubaji reptepang. 
EXO.26.10	Aser tatongtep ka nung tatembuba teyindangba sü tatem nungji tepungoktsü tenem nai yangluang, aser tanabuba tatongtep tatembuba teyindangba sütem nungjia tepungoktsü tenem yangluang. 
EXO.26.11	Aser nai yongmen yin agi lakepsen tenem yangluang, aser sükiji ka küma metenteptsü asoshi lakepsenji tepungoktsü nungji enokang. 
EXO.26.12	Aser süki teyindang sü temalen sangzüa anünga alibaji, tekülemdak süki manung tesülen yindangtsüla. 
EXO.26.13	Aser süki teyindangba sü metong nung anüngba külen tsütsü süklepji aser tangalen ano külen süklepjia, nembangtsü asoshi tekülemdak süki tip külen manung sangzüa alitsüla. 
EXO.26.14	Aser süki tenembangtsü asoshi san tepung küp temerem küma remer, aser iba manung shiküp tajung agi temeyibangtsü nai yangluang.
EXO.26.15	“Süki asoshi nai akashia süng agi azüklen yangerang. 
EXO.26.16	Süngtsük shia metong nung süklep ter, aser lenten nung süklep ka ser tesadang asütsüla. 
EXO.26.17	Süngtsük shia nung tesepoktsü süngbang anana kati ka den metentepa alitsüla; yamaji tekülemdak süki süngtsük ajak nai yangluang. 
EXO.26.18	Aser tekülemdak süki asoshi süngtsük metsü anüdoklentip shia nai yangluang. 
EXO.26.19	Aser süngtsük metsü teküpoklenji nai taribi agi tesembangtsü lir yangluang; süngtsük ka nung tesepoktsü süngbang ana asoshi tarepteptsü ana aser ano süngtsük tanga ka asoshiji tesepoktsü süngbang ana asoshi tesembangtsü ana; 
EXO.26.20	aser tekülemdak süki tanabuba tip külenjia anüdoklentip süngtsük metsü: 
EXO.26.21	aser item asoshi tesembangtsü taribi agi yangluba, süngtsük nung tesembangtsü ana, aser ano süngtsük tanga asoshi tesembangtsü ana. 
EXO.26.22	Aser anüolen tsütsü tekülemdak süki tesülen asoshiji, nai süngtsük trok yangluang. 
EXO.26.23	Aser tekülemdak süki tesülen kinük asoshiji, nai süngtsük ana yangluang. 
EXO.26.24	Aser itemji teküboklen balaka, temalenbo mezüngbuba küri nungji metentepa alitsü; yamaji anaprong asoshi alitsü, item jagi kinük anaji akümtsü. 
EXO.26.25	Terazük ti alitsü, tamentakdak taribi agi yangluba, tamentakdak tertrok; terazük ka kübok tamentakdak ana, aser tanga terazük kübok tamentakdak ana.
EXO.26.26	Akashia süng agi tarütangtsü terpungu tekülemdak süki tip külen asoshi süngtsük pungu, 
EXO.26.27	tip külen pungu, aser tip külen anüolen tsütsü asoshi pungu ta alitsü. 
EXO.26.28	Süngtsük tiyong nung tarütangbaji süki tatem külen nungi külen tatem tashi asütsüla. 
EXO.26.29	Aser idakji hon yanglokang aser hon tayitemji tarütangtsü asoshi idakji metenlokang, aser item dakjia hon yanglokang. 
EXO.26.30	Ni ne dang tenem nung sayuba ama nai tekülem sükji yanglutsüla.
EXO.26.31	“Anüng sentsü, nakrema meremba, jakja-a meremba, tezüng sü temerem agi tetangshi mapa inyakteter nem cherubim keter temeyibangba süji yangludakjang. 
EXO.26.32	Aji hon mezülokba akashia süng tongshi tezü taribi tesembangtsü pezü manungji sangzüa yujang. 
EXO.26.33	Teyindangba süji tekülemdak süki kilem kübok itaka yuang, aser iba telunglen jagi Ozüng Süngdenji bener aitang. Teyindangba sü jagi Temeshi tesem aser Temeshitiba tesem bendangtsü Tezüngzüktepba süngden manung yuang. 
EXO.26.34	Aser temeshitiba taktang nung taochi menden manung nai ozüng süngdenji yuang. 
EXO.26.35	Langbangji Temeshitiba taktang nung aliba tezülen, süki anüdoklentip aser milendong atalokdak anüolentip tsütsülen yuang.
EXO.26.36	“Tekülemdak süki kikümdong nungji teyindangba süji anüngsentsü, nakrema meremba, aser tezüng sü temerem den meyoktepa mechiba asütsüla. 
EXO.26.37	Teyindangba sü asoshi teyidaktsü akashia süng agi tongshi pungu yanglur, idakji hon yangloktsüla, aser aji hon agi yangluba teyinloktsü denji metenteptsüla. Iba atema yongmen yin tesembangtsü pungu yangluang.
EXO.27.1	“Nai akashia süng agi tenla dak sabang metong nung süklep pungu, aser lenten nung süklep pungu yangluang, tenladakji pezüsülen tasazük kasasa aser tongshi nung süklep asem. 
EXO.27.2	Tenladak kinük pezüsülenji tezü ka ka yangluang, anungji tezü aser tenladakji temang ka dang asütsü, aser tenladakji yongmen yin yanglokang. 
EXO.27.3	Chipo-anpo ajak, aut endokba po, mijepru, autteptsü susa, shijok, item ajak yongmen yin agi yangluang. 
EXO.27.4	Yongmen yin agi menja yangluang aser iba temalen kinük pezü nungji yongmen yin agi tayi pezü yangluang. 
EXO.27.5	Menjaji tesadang ka tashi tenladak atutsüsa sadem telunglenji yuang. 
EXO.27.6	Akashia süng agi süngraji yangluang aser aji yongmen yin agi yangpangang, 
EXO.27.7	itemji kinük ajaklen tayi nungji enoker iba nungji tenladakji abentsüla. 
EXO.27.8	Tenladakji süngtsük agi küroka yangluang. Tenem nung ni ne dang inyaktsü tuyuba ama itemji yanglutsüla.
EXO.27.9	“Nai tekülemdak süki kima yangluang: anüolentip asoshi külen tsütsü kima atema temechiba kümpa sü tajung, süklep noklang ka tip külen asoshi sangzüa alitsüla; 
EXO.27.10	aser iba tongshi metsü, aser item tesembangtsü yongmen yin agi yangluba metsü; tongshi nung jui metenteptsü atema yanglubaji taribi alitsüla. 
EXO.27.11	Aser yamaji anüdoktip tsütsü metong nung süklep noklang ka sangzüa asütsüla, aser iba tongshiji metsü aser item tesembangtsü yongmenyin agi yangluba tongshi metsü jui metenteptsüji taribi asütsüla. 
EXO.27.12	Anüolen tsütsü kimaji süklep tenem tongshi ter, aser tesembangtsü ter. 
EXO.27.13	Anüdoklen tsütsü aliba kima lentenji süklep tenem asütsüla. 
EXO.27.14	Kikümdong külen asoshi teyindangba süji süklep metsü: anüng sentsü, nakrema meremba, tezüng sü temerem, aser temechiba sü tanük, sü dak noksa enoker inyakba mapa aser item asoshi tongshi pezü den tesembangtsü pezü agitsüla. 
EXO.27.15	Aser ka asoshiji süklep terpungu sangzüa alitsüla: item asoshi tongshi asem aser tesembangtsü asem. 
EXO.27.16	Aser kima kiküm asoshi teyindangba sü süklep metsü, anüng sentsü, nakrema meremba, aser jakja-a meremba, aser temechiba kümpa sü tanük, noksa enokeri inyakba mapa; item tongshi pezü aser tesembangtsü pezü. 
EXO.27.17	Kimalen lenten meketa aliba tongshi ajakji taribi yinzü agi alenteptsüla. Iba juiji taribi aser tesembangtsüji yongmen yin asütsüla. 
EXO.27.18	Kima lenten metong nung süklep noklang ka, lenten nung süklep tenem, aser touchi süklep pungu asütsüla. Teyindangba süji temechiba sü tajung aser tesembangtsüji yongmenyin asütsüla. 
EXO.27.19	Tekülemdak süki nung amshiba osettsüset ajak, tasongtsü aser süki kimalen tangenteptsü oset ajakji yongmenyin agitsüla.
EXO.27.20	“Israel nunger dang milenji teti jangrua alitsü asoshi oliv totzü tajungtiba bener arutsü nai parnok dang mela-ang. 
EXO.27.21	Sentep süki nung teyindangba sü temalen koba Ozüng Süngden jakdang lir, idakji kü madang Aron aser par jabasotemi milenji nikongdang nungi anepdang tashi 
EXO.28.1	“Israel nunger rongnungi nedi Aroni pa jabasotem Nadab, Abihu, Eleazer aser Ithamar, anir arudakjang. Anungji parnoki kü tsüngdang putir ama tenzükdaktsü. 
EXO.28.2	Nedi Aron asoshi putir sobutsütem tobur junga aser mera keta temeshi sobutsü yanglutsüla. 
EXO.28.3	Mapa nung tetangshi nisung ajak shir nemsa ni tesangra shisatsü agüja lir, parnok dang Aron atema tekülem nung abentsü süoshi yanglutsütsü nai shiang; anungji pai ni asoshi putir mapa bendanga tenzüktsü. 
EXO.28.4	Item süoshi parnoki yanglutsüla, teku semoktsü, putir temeshi sobutsü, temalen asemba semoksü, teptang aketba semoksü, kolakjen sü, aser peremlen ka. Parnoki itemji putir sobutsü nedi Aron aser pa jabasotem asoshi yanglutsüla, aji oda parnoki kü dang putir mapaji tenzüktsü. 
EXO.28.5	Parnoki hon aser anüng sentsü, nakrema meremba, tezüng sü temerem kümpa sü tanük tajung agi aji yanglutsüla.
EXO.28.6	“Temeshi sobutsüji anüng sentsü, nakrema meremba, tezüng sü temerem, aser kümpa sü tanük tajung agi sangra-a mechitepa yanglutsüla. 
EXO.28.7	Aji tatem anatsülen metentepa tapubang nung pungoktsü tayi ana alitsüla, aser aji külemi akanga mesülokang. 
EXO.28.8	Aser iba manung sangra-a yangluba peremlenji aji mesüka aser iba den ka dang alitsüla; hon, anüng sentsü, nakrema meremba, jakja-a meremba, aser kümpa sü temechiba tajung.
EXO.28.9	“Aser nai oniks lung ana bena arua iba manung Israel kidong tenüng angenpoka züluang; 
EXO.28.10	parnok jakzükba ama tatongi shia lung ka nung trok aser tanüngba trokji lung ka nung angenpoka züluang. 
EXO.28.11	Tangenba nisungi lung nung tenüng züluba ama, nai Israel chirtem tenüng lung ana nungji angenpoka zülutsüla; aser aji nai hon keptang nung amenokang. 
EXO.28.12	Aser Israel chirtem asoshi tebilemtettsü lung alitsü asoshi tapubang nung pungoka sü tila ana manung aji nai ayutsüla. Aser tebilemtettsü asoshi 
EXO.28.13	Aser nai hon agi keptang yanglutsüla; 
EXO.28.14	hon temeja agi yinzü ana, lisü peretepa ashiba ama yangluang aser hon keptang nungji enoktsüla.
EXO.28.15	“Nai tesangra agi obendangba teku semoktsü putir temeshi sobutsü yangluba amaji nai yanglutsüla, hon, anüng sentsü, nakrema meremba, jakja-a meremba, aser temechiba kümpa sü tajung agi aji yanglutsüla. 
EXO.28.16	Süji tatembang pezüsülen tasazük kasasa aser aji reptepa alitsüla. Ibaji metong nung aka ka, aser lenten nunga aka ka. 
EXO.28.17	Iba nungji senti lung taren pezü amenloktsüla. Mezüngbuba taren nungji ruby, topaz aser garnet. 
EXO.28.18	Tanabuba taren nungji emerald, sapfir aser diamond; 
EXO.28.19	tasembuba taren nungji jacint, aget aser amethis. 
EXO.28.20	Pezübuba taren nungji beryl, oniks, aser jasper. Item amenokdakji hon agi meketbangtsüla. 
EXO.28.21	Lung teranaji Israel kidong terana temaitsü asütsü asoshi lung shia nungji Israel chirtem tenüng ka ka angenpoka zülutsüla. 
EXO.28.22	Teku semoktsü manungji hon temeja lisü agi mesentepa yinzü yanglutsüla. 
EXO.28.23	Teku semoktsü temalen denji sendaktepa hon tayi anaji yangluang, 
EXO.28.24	hon yinzü anaji teku semoktsü tatembanglen tayi ana nungji enokang. 
EXO.28.25	Temesentepba yinzü külen tatem anaji keptang ana tatembanglen enoktsüla, aser aji putir tapubang nung pungokba temeshi sobutsü sü tejaklen sendakang. 
EXO.28.26	Aser hon agi tayi ana yangluang aser aji putir teku semoktsü temtsünglen temeshi sobutsü anasa enokang. 
EXO.28.27	Ano hon tayi ana yanglua temeshi sobutsü tapubang anasa sü ana teküpoklenji mesülokang. Iba tejaklen temetentepdak sangra-a atakba teperem naiba sü temalenji sentakang. 
EXO.28.28	Teku semoktsü nung aliba tayiji putir temeshi sobutsü nung aliba tayi dakji anüng sentsü, temechiba sü agi alenlokang, anungji teku semoktsüji teperem naiba dakji sentaktsü aser aji sepshia makümtsü.
EXO.28.29	Kodangsa Aroni temeshidaki yidir, 
EXO.28.30	 Aser nai obendangba teku semoktsü nung Urim aser Thummim
EXO.28.31	“Putir temeshi sobutsü ajongaji anüng sentsü temeja asütsüla. 
EXO.28.32	Sü tiyong nungji tekolak asoshi tapok apatsüla, aser aji meshisatsü asoshi tapokji meketa artsüla. 
EXO.28.33	Semoktsü ajaklen jarem meketa mesüa, anüng sentsü, nakrema meremba, aser tezüng sü temerem agi yanglutsüla, aser itemji meketa hon sangshia yangluang. 
EXO.28.34	Hon sangshi ka sülen jarem naro ka, ta paitepa semoksü temtsüng sobutsü meketa naia oang. 
EXO.28.35	Tekülem dang Aroni aji asemtsüla. Kodangsa tenzüktsü asoshi Temeshi taktangi pa kü dangi aitdir, mesüra kü dang nungi tugudir, iba sangshi olaji angashitsü, aser pa masütsü.
EXO.28.36	“Nai Hon temeja agi lungpak ka yanglua, tenüng ajenba nung angenoka züluba amai, 
EXO.28.37	Ibaji anüng sentsü agi mechiba kolakjen manung alitsüla. 
EXO.28.38	Aron tenütsü manung ibaji alitsüla. Anungji Israel nüburtemi kü dang aibelena tenla kar agüjaka, Ni 
EXO.28.39	“Nai sentsü balala tsünutepa atakba kümpa sü tanük agi semoksü yanglutsüla, aser nai kümpa agi semoksü yanglutsüla, aser nai kümpa sü tanük agi kolakjen ka aser noksa yoka peremlen ka ta yangluang.
EXO.28.40	Aser Aron jabasotem asoshi, parnok sentsüwangshi aser tobur ajung asa-a semoksü, peremlen, aser korang nai yangluang. 
EXO.28.41	Item sobutsüji nedi Aron aser pa jabasotem nem semokjang. Iba sülen parnok dak totzü mezüja putir mapa inyakdaktsütsü asoshi parnokji bendanga agüja shiteta yuang. 
EXO.28.42	Aser parnok mangsa aliba nembangtsü asoshi teperem nungi tepi tashi semoktsü parnok nem yanglujang. 
EXO.28.43	Aser kodang parnoki temeshi daki kü dang mepitsü asoshi yidir mesüra kodang parnoki temeshi daki anasa külemtsü asoshi arudir, itemji Aron aser pa jabasotem dak alitsü; angji parnok dak tai matutsü aser masütsü; aji teti asoshi pa aser pa dak jakzükbatem asoshi ozüng alitsü.
EXO.29.1	“Parnokji meshiteta putir mapa nung kü madang tenzüktsü asoshi nai yamai Aron aser pa jabasotem dang inyaktsüla. Tarak maket nashi pungchi ka aser san tepung ana agitsüla. 
EXO.29.2	Aser wheat am tajung nungi piyazü meinoki amtsük yangluang, aser aji totzü den meyokteper amtsük yangluang. 
EXO.29.3	Itemji molok ka nung bendenang, aser nai aji nashi pungchi aser san ana denji külemi kü nem tarongba tenla agüjang.
EXO.29.4	“Aron aser pa jabasotem süki kishi jagi anir arua parnok tzü chigudakjang. 
EXO.29.5	Aser nai süoshiji bener arua, putir temeshi sobutsü nung aketba süoshi aser putir temeshi sobutsü aser teku semoktsüji nai Aron dak semokjang, aser sangra-a atakba putir temeshi sobutsü nung peremlen jagi mesüang. 
EXO.29.6	Pa kolak manung kolakjenji semokjang, aser aji temeshi korang manung semokjang. 
EXO.29.7	Temezütsüba totzüji bena arua pa tekolak nung shilokja mezüja shimtetang.
EXO.29.8	“Pa jabasotem anir arua parnok dak semoksüji sobujang; 
EXO.29.9	parnok dak peremlenji naijang aser parnok kolak manung korang semokjang. Aji oda nai Aron aser pa jabasotem mezüja shimtettsüla, aser nai iba temelaba ozüng agi parnok aser parnok semchirtemi kü madang teti putir ama tenzüktsü.
EXO.29.10	“Sentep süki dangi nai nashi pungchiji anir arutsüla, aser Aron o pa jabasotemi iba kolak dakji teka agi nemettsüla. 
EXO.29.11	Süki kiküm jakdang temeshi dak 
EXO.29.12	Nai nashi pungchi züji tera bena arua ne temeyong agi tenladak sabang tezü nungji mezütsüla. Tanüngba azüji tenladak tsüngdang shilokjang. 
EXO.29.13	Poknüng meyibanga aliba temo ajak, temesen, tezüngjang ana, aser idakji aliba temo agizüka tenladakji rongang. 
EXO.29.14	Saka shi, teküp aser jana, tanendak tezülen rongang. Aji temenen tenla lir.
EXO.29.15	“San tepungji ka agiang, aser Aron aser pa jabasotemi san tepung kolak dakji teka agi nemetdakjang. 
EXO.29.16	Aser aji tepsetang aser iba züji tenladak meketa rüklokjang. 
EXO.29.17	San tepungji anüka alangsatsüla. Iba poknüng aser tetsüngji shitoker alangsa-a aliba shi aser tekolak denji yuang. 
EXO.29.18	 San tepung ajongaji tenladak sabang manung rongang; aji 
EXO.29.19	“San tepung kajia bena arung, aser Aron o pa jabasotemi san kolak dakji nemetdakjang. 
EXO.29.20	Aser aji tepsetang aser azüji agiteta Aron aser pa jabasotem tenaronglak tajichi teka tajichi jemtsüba manung, aser tetsüng tajichi jemtsüba manung mezüjang, aser tanüngba azüji tenladak sabang meketa rüklokjang. 
EXO.29.21	Tenladak aliba azü aser temezütsü totzüji bena arua Aron aser pa süoshi, pa jabasotem, aser parnok süoshi nung aji rüklokjang. Idangji pa, pa jabasotem aser parnok süoshiji ni atema temeshitetba asütsü.
