LUK.1.1	Mullc ômënj ar llôtë pisuprë tas spunë aceli ci sënt fapti ku noj, 
LUK.4.35	Ma Jezus u vërji sh xësi: “Këpsja sh esh di nës!” Sufëlltu urrut u pëskëni omu namësa di mileti, sh ishë di nës ni faptë vërrë znjii.
LUK.4.36	Tuc s'hërësirë shi xëcja un-di-allant: “Ci esti aist zborr? Ell u urseshti sufëlltu urrut ku forca shi ell esi.” 
LUK.4.37	Ti nës s'i zhdikisi zborru jucëdo, tu tuti bilokërrë.
LUK.4.38	Jezus si skullё, ishё di biserëkё (sinagogё) sh'nesi tu kasa a Simeon. Sôkërsa a Simeon ara llënxëtë ku hjevërrë tiaca i'j fecërё rixhai tas u vindëkё. 
LUK.4.39	Jezus s'aplëkё pisti nёsё, vërji hjevёrrё sh eli s'dëpёrtarё. Ija s'i skullё di-unôrё sh ahurhji tas ll'u fakё ysmeti. 
LUK.4.40	Tu skëpëtara a sôrrё, tuc acej ci avja ômënj llёndëc, j'aducja lla Jezus. Ell bёga mënjli pisti kathi di nёsh, sh i'j vindëka. 
LUK.4.41	Di mullc di nёsh isha sufulltu urrut (demonjjë) sh aurra: “Tini esht hjij d'ia Dumёxё.” Ma Hristollu i'j vёrja, sh nu j'allёsa tas grastё, kё ej u shtja ci ell ara Hristollu.
LUK.4.42	Kёnd apëri xua, Jezus ishё di kasabai, sh nesi ndrept tu un bёlok shkret. Mullc ômёnj nesërё tas u kaftё, sh kёnd o-fllarё, nu o-llёsa tas s'i dëpёrta di nёsh, 
LUK.4.43	Ma Jezus ll'u xёsi: “Lipseshti tas grest ti evanghelu a kratu a Dumёxё shi tu allti kasabai, kë ti aistё est pёtёrkut.” 
LUK.4.44	Sh gra pit tuti sinagogëli ali Judei.
LUK.5.1	Jezus ara ningi gjolu a Gjenesaret, sh'ômёnjjё s'pinxja ningi nës tas avxa zborru a Dumёxё. 
LUK.5.2	Ell vёxu dau varki tu marxëna di gjol, ma burbacjё avja dupunatё dit varkё shi ma lla rrjetëli. 
LUK.5.3	Ell s'alënё tu unё di nёsi sh këftё tas s'i dёpërta di marxënё. Dapoja stёtu mpadi shi ahurhji tas mvjacё ômёnjjё di pi varkё. 
LUK.5.4	Kёnd bitisi di greri, i'j xësi a Simon: “Fux ma dёparti sh aminё rrjetëli ti akëcari peshti.” 
LUK.5.5	Simon i'j xёsi: “Mvëcëtor, hjim kurmac tutё nôptja sh nu avem akëcatё cëva, ma, ti hëtërja a zborru a tëll, us l'a mёnёm.” 
LUK.5.6	Ashё fecёrё sh akëcarё ahtënt mullt peshti, kit ma s'dësёka rrjetëli. 
LUK.5.7	Astumsёna, llu fecërё ku mёna acëllor ci ara tu allantё varkё tas vinja shi s'ja xhuta. Ej vinёrё, shi dali varki s'i umpllurё ahtёnt mullt kit ti pucёnё s'fundusja. 
LUK.5.8	Kёnd u vëxu aistё gjeji, Simon Pjetri gëxu pi xënuqi dininti a Jezus shi xёsi: “O Domne, dёpërtjaxëti di mini, kё est om ku mullti amartii.” 
LUK.5.9	Ell, sh tuc acej ci ara ku nёs, s'çudusirё di tutё acell peshti ci akёcarё. 
LUK.5.10	Ako ara sh Jakob, sh Gjon, hjij dja Zebedeu ci ara kusurinj ku Simeon. Astumsёna Jezus i'j xësi a Simeon: “Nu t'ja spari, di tora us ti fac peshkatar ti ômënj.” 
LUK.5.11	Kёnd skosёrё varkili tu marxёnё ej l'allësarё tuti, shi fuxirё dupi Jezus.
LUK.5.12	Kёnd Jezus ara tu unë kasabai, vini un burbat ci ara umpllut ku lebrё. Kёnd vёxu Jezus, ell gëxu pёrdinc, shi i'j feci rixhai: “O Domne, ma s'vre tini poc tas s'mi pёstresht.” 
LUK.5.13	Jezus timsi mёna, dedi pi nёs sh i'j xësi: “Voj. Pёstrjati!” Sh'lebra s'llё di-unôrё. 
LUK.5.14	Jezus i'j xësi tas s'nu i'j spunё a içvёrruj, sh i'j xësi: “Duti lla preftu, sh fё unё kurbani ti vindёkara a ta, kum ari xësё Moisiu. Aistё as'hjibё ka dëshmii”. 
LUK.5.15	Zborru ti Jezus s'llo di hëbari jucёdo, sh ômënjjё totëna sh'ma mullt s'aduna tas avxa sh tas s'i vindëka di llëngôrëli a llor. 
LUK.5.16	Ma ell fuxi tu un bilok pust, sh allëvda Dumёxё.
LUK.5.17	Unё xuё Jezus ma mvëca ômёnjjё sh ako ara ndoj farisenj sh dhaskalёnj a nomlu a Moisiu, ci avja vinitё di tuti hôrrё ali Galilei, di Judei shi di Jerusalem. Fuqia a Domnëlu ara ku Jezus tas vindёka. 
LUK.5.18	Tu aist qëro ndoj burbac ma aducja tu unё barrelё un ullog. Ej ma s'çukutja tas su hjigё tu kasa ju ara Jezus, shi s'u bёga dininti a lluj, 
LUK.5.19	ma nu shtja di këtu s'intrë, kë avja mullc ômënj. Dapoja s'alёnarё tu çatii, skosёrё qyramidhili sh o-punarё namёsa di kasё, dininti a Hristollu. 
LUK.5.20	Kёnd vëxu pistusera a llor, Jezus i'j xësi a ullogu: “Om, ci sёnt llati amartiili.”
LUK.5.21	Skribёnjjё sh farisenjjë ahurhjirё tas xhudёkё: “Kaj esti aist ci j'esi dininti a Dumёxё? Kaj allt di Dumёxё pôti s'lla amartiili?” 
LUK.5.22	Jezus o-duqi mintja a llor sh xësi: “Këce mintuic ashё t'u inëma a vôstё? 
LUK.5.23	Ci esti ma lёshôrë s'xëc ‘c'i sënt llati amartiili’ ama ‘skôllё sh imnё’? 
LUK.5.24	Gjini, ma, tas u shtic ci Hjiju a Omu ari fuqii tas s'i lla amartiili tu aistё dunei,” i'j xësi a ullogu: “skollё, ja barrela sh fux akasё”.
LUK.5.25	Ell si skullё di-unôrё, dininti a llor, llo barrela shi nesi akasё, sh tut allëvda Dumёxё. 
LUK.5.26	Tuc s'çudusirё, allёvdarё Dumёxё, sh ku frikё xësërё: “Azё avem vëxutё çudii.”
LUK.5.27	Dapoja Jezus ishё, vëxu un om ci aduna taksili ku numa Levi, ci stёtja apus tu trapeza a taksёllu shi i'j xësi: “Hajdi dupi mini.” 
LUK.5.28	Ell l'i allësё tuti, s'i skullё shi i'j nesi dënёpoj.
LUK.5.29	Levi ashtërrё ti Jezus unё cinё mari tu kasa a lluj. Tu trapezё ku nёsh ara apunac mullc ômёnj di acej ci aduna taksili.
LUK.5.30	Astumsëna farisenjjё shi skribënjjё xhuduka kondra a llor sh xëcja: “Këce mëkac shi bjec ku acej ci adunё taksëli shi ku acej ci fak amartii?”
LUK.5.31	Jezus ll'u turrё xhuvapi: “Nu sënt vërtoshjë acej ci ar nevoje ti jatërru, ma llëndëcjë. 
LUK.5.32	Mini nu am vёnitё tas ndreg ndrepcjё, ma acej ci fak amartii, tas s'i tôrrё kiti Dumёxё.”
LUK.5.33	Astumsënё farisenjjë i'j xësërё a Jezus: “Dishepujё a Joan cёn presёni totёna shi allavdё Dumёxё. Ashё fak shi dishepujё a farisenjllu, ma a tёj mёkё sh bja”.
LUK.5.34	Jezus ll'u xёsi: “A pôti s'cënё presёni krushqjё kënd garambollu esti ku nёsh?
LUK.5.35	Ma us jinё qёrollu kënd us o-rrëqastё garambollu, shi astumsëna, tu aceli xёli,
LUK.5.35	us cënё presёni.”
LUK.5.36	Dapoja ll'u spusi unё meselei: “Içvërr nu tajë unё bukatё di stranj nou tas petёkё ku nёsë un stranj veq, kё bukata di stranj nou us'i dësikё, shi nu treci ku stranju veq. 
LUK.5.37	Içvërr nu aminё jin nou tu qeli veqi, kё jinu nou us dёsikё qela shi us'i vjarsë. Ashë sh qela us nagё qёrutё. 
LUK.5.38	Tjaca jinu nou, o-minё tu qeli nau.
LUK.5.39	Içvërr nu vra s'bja jin dit qeli nau, kёnd ma ninti ari bjutё jin veq, kё xёci: ‘veqja esti ma bunё’”.
LUK.6.1	Unё xuё kënd Jezus tërcja namësa di un agur ku gërr, socjё a lluj arrupja gërr, u fërka ku mёnjli shi u mёka. 
LUK.6.2	Ndoj farisenj u tërbarё: “Këce fëcec aca ci nu prindi si fakё sёmbёta?” 
LUK.6.3	Jezus ll'u xёsi: “A nu o-vec këntatё ci feci David kënd u llo fômja, ell shi acej ci ara ku nёs? 
LUK.6.4	Kё kum intrё tu kasa a Dumёxё, llo pёni di uturjii, mёkё ishish, llu dedi shi acëllor ci ara ku nёs, pёni di aca ci lipsja s'mëka gôllë prefcjë?” 
LUK.6.5	Dapoja llu xësi: “Hjiju a Omu esti domn ali sёmbёti.”
LUK.6.6	Unё alltё sëmbёtё Jezus intrё tu sinagogё shi ahurhji tas mvjacё ômënjjё. Ako ara un om ci o-vja mëna aca ndrapta sëkatё. 
LUK.6.7	Skribёnjjё shi farisenjjё ma u vëdja ku kështigё Jezus, tas vёdja a us vëndëka sëmbëta, tas aflla un sёbepi tas s'u nxhura shi s'u parada. 
LUK.6.8	Jezus u shtja ci mindua ej, tjaca i'j xësi a omu ku mёna uskatё: “Skollёti shi qindura aô namёsa!” Shi ell si skullё. 
LUK.6.9	Dapoja ll'u xësi allor: “Us v'i treb: a esti ma gjini s'fac buniacё ama sёllbicё sёmbёta? S'u skaq unë banë, ama s'u shkuturresht aca?”. 
LUK.6.10	Sh'kёnd ma i'j vëdja tuc acej ci ara afigёrra, i'j xësi a llënxёtu: “Tindu mёna”. Ell u timsi sh mëna i'j s'i vindёkё. 
LUK.6.11	Ma ej s'turbarё shi ahurhjirё s'zborrё un-ku-allant ci pot s'i'j fakё a Jezus.
LUK.6.12	Aceli xëli Jezus nesi tu munti tas fëcja duvaja shi o-përi ku allёvdara Dumëxë. 
LUK.6.13	Kёnd s'feci xuё ll'u gri a dishepujllu ningi nёs, alepsi dojspërxaci di nёsh shi j'a kjëmё apostuj. 
LUK.6.14	Aiç ara: Simeon, ci i'j bёgё numa Pjetër, shi fratёsu a lluj Andrea, Jakob shi Gjon, Filip shi Bartolomeo, 
LUK.6.15	Mateo shi Thoma, Jakob a Alfeu shi Simon ci s'a kjëma Zelltar, 
LUK.6.16	Juda a Jakob shi Juda Iskarjot, ci u vëndu Hristollu.
LUK.6.17	Jezus dupunë dadun ku nësh shi qinduri tu un bëlok zhdikis, ju ara mullc di dishepujë a lluj. Ako ara sh'mullc ômënj di tutë Judea, Jerusalem shi di marxëna a Tir shi a Sidon. 
LUK.6.18	Avja vënitë tas avxa, shi s'i vindëka di llëngorrë a llor. Acej ci stërxja di sufulltu urrut, s'vindëka 
LUK.6.19	sh, tuc s'çukutja tas bëga mëna pi nës, kë di Nës isha unë fuqii ci vindëka.
LUK.6.20	Astumsëna Jezus skullë oqjë, vëxu kiti dishepuj sh'xësi:
LUK.6.20	“Hara di voj ci hjic fukarenj
LUK.6.20	kë a vôstë us hjibë kratu a Dumëxë!
LUK.6.21	Hara di voj ci us avec fômi
LUK.6.21	kë us v'i fënëtic!
LUK.6.21	Hara di voj ci tora pëllnxec
LUK.6.21	kë us arrëdec!
LUK.6.22	Hara di voj ci ômënjjë nu us v'i vra
LUK.6.22	us v'i aurrë,
LUK.6.22	us v'i nxhurë
LUK.6.22	shi us zbôrrë ti voj,
LUK.6.22	di sebepja ci avec pistusitë
LUK.6.22	lla Hjiju a Omu.
LUK.6.23	Kënd s'jinë aca xuë, hërësicvë
LUK.6.23	sh xhukac di hërau
LUK.6.23	kë buniaca a vôstë us hjibe mari
LUK.6.23	ako nxjanë
LUK.6.23	Ashë ar faptë shi përincjë a llor ku profecje.
LUK.6.24	Ma kavaj di voj ci hjic avuc,
LUK.6.24	kë voj o-vec llôtë buniaca a vôstë
LUK.6.24	tu aistë banë.
LUK.6.25	Kavaj di voj ci tora o-vec pënduku plin,
LUK.6.25	kë us avec fômi!
LUK.6.25	Kavaj di voj ci tora arrëdec,
LUK.6.25	kë us v'i sturnjupsic sh us pëllnxec.
LUK.6.26	Kavaj di voj kënd tuc us grastë gjini ti voj,
LUK.6.26	kë ashë ar faptë përincjë a-llor
LUK.6.26	ku profecjë psematar!”
LUK.6.27	“Ma mini us v'i xëk avau ci ma m'i avxac: Vrecij acej ci nu v'i vra, fëcecëllu allor bunec. 
LUK.6.28	Dëdec ruçënj ti acej ci v'i bllastёmё, shi fëcec duvai ti acej ci v'i sturnjupsest. 
LUK.6.29	Ma kë un v'agudeshti tu unё facё, torru shi allantë. Kajcёdo ci c'ja palltollu, nu u qedëkё tas sic'ja shi tunika. 
LUK.6.30	Dёj a kujcёdo ci c'kaftё cёva, shi nu j'u ja. 
LUK.6.31	Fёcec ti allanc ashё kum u s'vrec tas s'fakë allanc ti voj. 
LUK.6.32	Kё ma s'vrec gollё acej ci v'i vra, ci buniacё avec faptё? Shi acej ci fak amartii, i'j vra acej ci ll'u fak buniacё. 
LUK.6.33	Shi, ma kë, ll'u fëcec buniacё gollё acëllor ci v'i fak buniacё, ju esti vlera a vostё? Shi acej ci fak amartii, ashё fak. 
LUK.6.34	Ma kë, i'j dëdec borxhi, gollë acëllor ci mintuic tas v'i l'i tôrrё, ju esti buniaca a ta? Sh urrucje ll'u da borxhi acëllor ci us ll'u tôrrё aca ci j'ar llôtё. 
LUK.6.35	Voj ajumtra, vrecij acej ci nu v'i vra, fëcecëllu bunec allor, shi dёdec borxhi acëllor ci nu ashtëptac s'v'i l'i tôrrё. Ashё us lloc unё shpërblimi mari, shi us hjic hjij d'ja ma marrё Dumёxё, kё Ell esti bun ku urrucjё. 
LUK.6.36	S'v'i jinё rrёu ti ômënj, ashё kum esti shi Dumёxёllu a vost”.
LUK.6.37	“Nu nxhurrac, shi Dumёxёllu nu us v'i sturnjupsjastё. Nu dunuic, shi Dumёxёllu nu us v'i dunuastё. Hёrxic, shi Dumёxёllu us vi hёrxjastё. 
LUK.6.38	Dёdec, shi Dumёxёllu us v'i da. Ell us bagё tu pôlla a vôstё unё dhorё bunё, skumpё, mulltё mushatё shi mari, kё ashё kum us i'j ngjësic allanc, ashё us v'i ngjësjastё shi avau Dumёxёllu” 
LUK.6.39	Jezus ll'u spusi napoj ku meselei: “Pôti un orb s'i'j spunё kala a unuj orbu? A nu us kadё dojё tu grôpё? 
LUK.6.40	Dishepullu nu esti ma mari di mvëcёtoru. Shi s'l'i mvjacё tuti, us hjibё ka mvëcëtoru a lluj.
LUK.6.41	Këce vëdec spica tu oqu a fratёtu a tёll, shi nu vex ôrbërrё tu oqu a tёll. 
LUK.6.42	Kum poc s'i'j xëc a fratёtu: ‘frate allasёmi sic skot spica di oq’, tini ci nu vex ôrbёrrё tu oqu a tёll? Psematar! Skôti ma ninti ôrbёrrё di oqu a tёll, shi dapoja us vex gjini tas skoc spica di oqu a fratёtu”.
LUK.6.43	“Nu ari ôrbёri bun ci da ponj urruc, shi niki ôrbёri puturxat ci da ponj bunj. 
LUK.6.44	Cëdo ôrbëri s'kënôshti di ponjjё a lluj. Içvёrr nu pôti s'adunё hjici di rrux, shi niki auё di rrux. 
LUK.6.45	Omu bun skôti buniaca di inёma a lluj bunё, shi omu sllab skôti sëllbica di inёma a lluj urrutё, kё ci ari inëma, scôti gura.”
LUK.6.46	“Këce i'nj gric ‘Domne, Domne’ sh nu fëcec ci v'i xëk mini? 
LUK.6.47	Us v'i spun ku kaj unxeshti acell ci jini lla mini shi l'i avdi sh l'i faci aceli ci xëk zbôrrëli a njeli. 
LUK.6.48	Ell unxeshti ku omu ci skullё unё kasё. Arrëmё mullt ahёnda, sh amënё themelia tu shkëmbë. Kёnd vini nёkara, rrёu vini ndrept kiti kasё, ma nu u zbёtu dot di bёlok, kë kasa ara faptё vёrrtôsё. 
LUK.6.49	Acell ci l'i avdi, ma nu l'i faci aceli ci xёk zbôrrёli a njeli, unxeshti ku un om, ci feci unё kasё tu llok, fërё themelii. Kёnd vini rrёu, kasa s'rrustunё di-unorё sh mulltё mari ara znjia ci feci”.
LUK.7.1	Kënd bitisi di greri ku ômёnjjё ci o-skullta, Jezus nesi tu Kafarnaum. 
LUK.7.2	Ako ara un centurion ci avja un ysmeqar ci u vra mullt, ma ara mullt llёnxut, etum t'i mureri. 
LUK.7.3	Kënd avxё ti Jezus, centurionu pёtёrku lla nёs ndoj aush di Judei, tas s'i'j fёcja rixhai s'vinia s'i'j vindëka ysmeqarru. 
LUK.7.4	Kёnd axhumsërё lla Jezus, ej i'j fecërё mullt rixhai shi i'j xësërё: “A lluj i'j tukueshti tas j'axhuc, 
LUK.7.5	kё i'j vra ômёnjjё a noç, shi n'ari skullatё sh biserëka” 
LUK.7.6	Astumsёna Jezus nesi ku nёsh, ma kёnd nu ara dёparti di kasё, centurionu pëtёrku ndoj ôspic tas i'j xёkё: “O Domne, nu ti stinahorsja! Mini nu am tinjii tas i'nj kallc tu kasa a mja. 
LUK.7.7	Tiaca nu nj'aspëru ndreptjacё s'viniam ishish, ma xë un zborr shi yzmeqarru a njell us'i vindёkё. 
LUK.7.8	Kë sh mini am pisti kap ma mёr ci i'nj da komandë, shi mini am ma hjima andarc. Kёnd i'j xëk a unuj ‘fux’ ell fuxi, sh kёnd i'j xёk allëntuj ‘aprôqёti’ ell jini. Kёnd i'j xëk a ysmeqarru a njell ‘fёu aistë’ ell u faci.” 
LUK.7.9	Kёnd avxё aisti zbôrri Jezus s'hërёsi ti centurionu. Astumsёna s'turrё shi ll'u xёsi a ômënjllu ci vinia dupi nёs “Ma vi xёk kё, niki tu Izrael nu am afllatё unё pistuseri ahtёntë mari.” 
LUK.7.10	Dapoja acej ci ara pëtёrkuc, s'turrarё tu kasa a Centurionu sh'afllarё ysmeqarru vindёkat.
LUK.7.11	Jezus nesi tu unё kasabai ci s'akjëma Nain, dadun ku dishepujё a lluj shi ku mullc ômёnj. 
LUK.7.12	Kёnd s'apurqarё tu intrara ali kasabai, vëxu ci ma aducja t'i ngurrpari un mort. Ell ara fiçor singur, sh'mësa ara vedu. Mullc ômёnj di kasabai nëxja dupi nës. 
LUK.7.13	Kёnd Jezus u vёxu, i'j vini rrёu ti nёsё shi i'j xësi: “Nu pllёnxi!” 
LUK.7.14	Dapoja s'apurqё sh bёgё mëna pi qivur. Acej ci u cёnia qindurirё. Jezus xёsi: “Ficor, ma c'xek: skôllё!” 
LUK.7.15	Mortu s'i skullё sh ahurhji tas grastё. Jezus o-dusi lla mёsa. 
LUK.7.16	Tuc s'ja spёrarё sh'ahurhjirё tas allavdё Dumёxё, sh xëcja: “Un profet mari ari vinitё lla noj, shi Dumёxё ari turratё aqjë kiti ômёnjjё a lluj.” 
LUK.7.17	Astumsёna s'llo di hёbari ti nës tu tutë Judea, sh jucёdo.
LUK.7.18	Dishepujё a Joan i'j spusërё a lluj ti tuti aisti ci ara fapti. 
LUK.7.19	Joan pёtërku doj di nёsh lla Jezus tas u tërba: “Esht tini acell ci us vinia, ama prindi s'ashtëptëm un allt?” 
LUK.7.20	Kёnd axhumsërë lla Jezus i'j'xёsёrё: “Joan Pёtёxёtoru n'ari pёtёrkutё lla tini tas t'i tёrbёm: ‘A esht tini acell ci prindi s'vinia, ama us ashtёptёm vërr allt?’” 
LUK.7.21	Jezus avja vindёkatë mullc ômёnj di llёngor, j'avja skёpatë di sufulltu urrut, shi ll'ovja turratё vёdera a mullc ômënjllu orgj. 
LUK.7.22	Dapoja ll'u xёsi: “Fuxic sh xëcecij a Joan ti aisti ci vëxut sh avxat. Orgje ma ved napoj, shi acej ci ara ullox ma imnё, acej ci ara ku lebrё s'vindёkarё, shi acej ci ara shurdh ma avd, morcjё injjarё shi a orfënjllu i'j s'i spusi evanghelu. 
LUK.7.23	Hara di acell ci pistuseshti lla mini.” 
LUK.7.24	Kёnd fuxirё pёtërkucjё a Joan, Jezus ahurhji s'll'u grastё a ômënjllu ti Joan, sh'xësi: “Ci vëxut tu pustinjë? Un kallam ci ma u zbati vimtu? 
LUK.7.25	Ti ci nesut s'vёdec? Un om mvëskut ku stranji buni? Di acej ci s'mvesk ku stranji skumpi, ci bёniaxё ku tuti bunecli tu kasё di vësëjë. 
LUK.7.26	Ci vëxut? Un profet? Ma us v'i xёk ci ell esti ma mullt di un profet. 
LUK.7.27	Joan esti acell ci tu skirëturëli a Dumёxё esti skëratё: ‘Ja mini us pёtrek omu a njell dininti a tau, tas fakë etëmë kala a ta.’ 
LUK.7.28	Ku tutё mintja us v'i xёk, kё içvërrё mujeri nu ari amëntatë om ma mari di Joan Pëtëxёtoru. Ma, ma njiku tu kratu a Dumёxё, esti ma mari di nёs.” 
LUK.7.29	Tuc acej ci o-vxarё aist zborr, dadun ku acej ci adunë taksëli, s'këndësirё ci Dumёxё esti mullt ndrept, shi s'pёtёxarё di Joan. 
LUK.7.30	Ma farisenjjё shi dhaskalënjjё a nomlu a Moisiu këllkarё vrera a Dumёxё, shi nu s'pëtëxarё di Joan. 
LUK.7.31	Dapoja Jezus ll'u xёsi: “Ku kaj unxest ômënjjё a-shtëlluj qёrollu? 
LUK.7.32	Ej unxest ku cilëmanjjё ci sta pit pёx shi i'j grest un-allëntuj shi i'j xëk: ‘Dederё tёmpinjli ti voj, sh voj nu xhukat, noj pllëmsum sh voj nu llёkёrmat.’ 
LUK.7.33	Vini Joan Pëtёxёtoru, ci niki mёkё pёni, sh niki bja jin, sh voj xëcec: ‘Esti umpllut di demon.’ 
LUK.7.34	Vini Hjiju a Omu, ci mёkё shi bja, sh voj xëcec: ‘Ja aist n'i fënëtitu, ôspi ku acej ci adunë taksili shi ku acej ci fak amartii.’ 
LUK.7.35	Ma buniaca a Dumёxё s'vedi kё esti ndrept ku tuc ômёnjjё a lluj.”
LUK.7.36	Un farise o-kjëmё Jezus tas mёkё ku nёs. Jezus nesi tu kasa a lluj, shi s'ja punё tu trapezё. 
LUK.7.37	Unё mujeri di acell bёlok, ci ara nkërkatё ku mullti amartii, kёnd llo di hёbari ci Jezus ara tu kasa a fariseu, adusi un vas di alabastrё ku mirrё. 
LUK.7.38	Ija stёtja dupi Jezus lla çëçôrrё a lluj, shi pëllnxja. Ahurhji tas i'j mojё çëçôrrё ku llёkёr shi s'li shtёrxja ku perje a je. Dapoja ahurhji s'i'j bashё çëçôrrё shi s'li aungё ku mirrё. 
LUK.7.39	Fariseu ci o-vja akjëmatё Jezus, kёnd u vёxu aistё gjёji, mintui: “Ma s'ara profet aist om, lipseshti s'u shtibё kaj esti shi ci soji esti aistё mujeri ci ma da di Ell. Ija esti nkërkatё ku amartii” 
LUK.7.40	Jezus i'j xësi a fariseu: “Simon, voj sic xëk un zborr.” Simon i'j turrё xhuvapi: “Grё mvëcëtor.” 
LUK.7.41	“Doj ômёnj j'avja unё borxhi a unuj. Un j'avja cincisuti di denar shi allant cinxëc. 
LUK.7.42	Pedhis ci niki un, niki allant nu putja s'u turra borxhja, ell nu l'i këftё a dojllu. Kaj di nësh us u vra ma mullt?” 
LUK.7.43	Simon i'j xёsi: “Pi dupi mintja a mja, acell ci j'avja borxhja ma mari.” Shi Jezus i'j xësi: “Aj dhiqi.” 
LUK.7.44	Dapoja s'turrё kiti mujeri shi i'j xësi a Simon: “U vex aistё mujeri? Vini tu kasa a ta sh tini nu i'nj dёdesh niki apё ti llari çëçôrrё, ma ija nji l'i llё ku llёkërrё a je, shi nji l'i uskё ku perje a je. 
LUK.7.45	Tini nu m'ja shtëptash ku bёshari, ma ija nu ari qinduritë di bëshari çëçôrrё a njeli di kёnd intraj n'kasё. 
LUK.7.46	Tini nu nj'aumsish kapu ku mirrё, ma ija nj'aumsi çëçôrrё ku mirrё. 
LUK.7.47	Us'ic xёk kё vrera mari ci ija ari spusё ti mini, i'j l'ari hёrxitё amartiili a je. Ma acell ci j'esti datё pucёnё, spuni ma pucënë vreri”. 
LUK.7.48	Dapoja i'j xësi a je: “Ci sënt hërxiti amartiili.” 
LUK.7.49	Acej ci ara ku nës tu trapezë, ahurhjirё tas xëkё un-di-allant: “Kaj esti aist ci pôti sic hërxjastё amartiili?” 
LUK.7.50	Jezus i'j xësi ali mujeri: “Pistusera a ta t'i ari skёpatё. Fux tu irini”.
LUK.8.1	Dupi aisti ci unxirё, Jezus nesi pit hor shi pit kasabai tas fëcja predikimja shi s'll'u spunia evanghelu a kratu a Dumёxё, shi dojspërxacëjё ara ku nёs. 
LUK.8.2	Ara shi ndau mujer ci Jezus l'i avja vindëkatë di sufulltu urrut sh di llёngor: Maria ci s'akjёma Magdalenё, di nёsё ara dёpërtac shapti demonj, 
LUK.8.3	Joana, mujera a Kuzi ci vёgja malla shi plaçka a Herod, Suzana shi mullti allti ci avja datë avera a llor, tas s'ja xhutё a Jezus shi a dishepujllu.
LUK.8.4	Kënd s'adunarё mulltё mileti ci vinërё lla nёs di mullti bilokёri, Jezus ll'u spusi unё meselei: 
LUK.8.5	“Un om ci sëmёna, ishё tas aminë sëmicё. Kёnd ma sёmëna, ndau sëmici gëxurё n'kali, shi ômënjjё l'i këllkarё, shi puje l'i mёkarё. 
LUK.8.6	Ndau allti sëmici gёxurё tu bilok ku shkёmbi, sh kit akëcarё si uskarё, kё nu avja apё. 
LUK.8.7	Ndau allti gёxurё pit rrux. Rruxjё kёrskurё dadun ku nёsi sh nu l'allësarё s'krastё. 
LUK.8.8	Ndau allti gëxurё tu bilok bun, shi kёnd kёrskurё fecërё unësutë di or ma mullt. Dapoja xësi: Kaj ari ureq t'i avxari, as avdё!”.
LUK.8.9	Dapoja dishepujё u tërbarё ci vra s'xёkё aistё meselei. 
LUK.8.10	Jezus ll'u xёsi: “Avau v'i sënt xёsi tuti askumtёli a kratu a Dumёxё, ma allёntor ll'u spun meselei tas ajbё oq shi s'nu vjadё, shi s'avdё ma s'nu aduqastё”.
LUK.8.11	“Meselea esti aistё: sëmica esti zborru a Dumёxё. 
LUK.8.12	Sëmicëli ci gëxurё n'kali, sёnt acej ci u avd zborru. Dapoja jini djavollu shi orrëqeshti zborru di inëma a llor, tas nu pistusjastё shi s'nu s'i skapё. 
LUK.8.13	Sëmicёli ci gëxurё pit shkёmbi, sënt acej ci u avd zborru, shi o-prôqё ku hёrau, ma nu o-llasё tas akacё rrëxёtinё. Ej pistusest gollё ti pucёn qёro, shi tu qërollu ci s'bagё tu provё s'dёpërtjaxё di pistuseri. 
LUK.8.14	Sëmica ci gëxu pit skinj, sënt acej ci u avd, ma tu aistё kali ll'u ja sufulltu hëjurrё shi stinahorili, avera shi bunecli a shtёje bani, shi ponjjë a llor nu s'axhung. 
LUK.8.15	Sëmica ci kadi tu llok bun, sënt acej ci u avd zborru shi u vjagje tu unё inёmё tinjësitё shi bunё. Aiç arrëmën ma pistusicjë shi fak ponj bunj”.
LUK.8.16	“Içvërr nu o-prindi kёndilla tas u bagё sum kёpësteri, iti sum kёrvat. Llunjina s'bagё tu këndilla a je, tas u vjadё llunjina acej ci intrё nunt. 
LUK.8.17	Içcёva askumtё nu us arrёmёnё n'i zdёvëlitё, shi içcёva askumtё nu us arrёmёnё n'i kënёskutё shi n'i ishatё tu llunjinё. 
LUK.8.18	S'avec mintja kёnd avxac, kё acell ci ari us i'j s'i da ma mullt, shi acell ci nu ari, us i'j s'i ja shi aca pucёnё ci mindueshti ci ari”.
LUK.8.19	Mёsa shi fracja a Jezus nesёrё tas s'i adunё, ma nu pёturё tas axhungё pën di nёs, kё avja mullc ômёnj. 
LUK.8.20	Dapoja i'j xësërё a Jezus: “Mёta a ta shi fracjë a tëj sënt nafôrё sh vra s'ti vjadё.” 
LUK.8.21	Ma ell ll'u xёsi: “Muma a mja shi fracjë a njej sënt acej ci avd shi fak zborru a Dumёxё”.
LUK.8.22	Unё xuё Jezus s'ja lёnё pi unё varkё ku tuc dishepujë a lluj shi ll'u xёsi: “Us nёxem tu allantё marxënё a gjolu”. Shi ashё, nqёsirё. 
LUK.8.23	Kёnd ma vuzja, Jezus o-këcë somu.
LUK.8.23	Di-unôrё ahurhji un vimt mari pisti gjol. Varka ma s'umplla ku apё, shi ej pôti s'i nёka. 
