GEN.1.1	Atankih ching Thrünpuhnü thüningbo tüsho alomi thrün. 
1SA.15.11	“Inü Saul kiulongthsürü kamshihkhi I mulong ashichoh, tümüde apinü I ru yankhi chingnü rholodo, tüsho I yukhümbo mürhimo.” Samuelnü bukakhiuk; tüsho tsüngreroro 
1SA.15.12	Samuelnü Saul shorupü yapsu mükikde asürü, tüsho api ki tha, “Saul a anihbuh thsungkheak apinü lung khima zopung Karmel lim yüdo, tüsho alodarüchoki api Gilgal lim yükido.” 
1SA.15.13	Küyimki Samuel ju Saul kilim arükhea, Saulnü api ki tha, “
1SA.15.14	Tüshe Samuelnü tha, “Dale tüsho namfimihnu le moshinü akhungkhi inü asokhi ha tümü a?” 
1SA.15.15	Saulnü tha, “ Arübo Amalek chingnü hande arükheah; tümüde mihtsürübonü 
1SA.15.16	Judüki Samuelnü Saul ki tha, “Zhikdang! Yishih 
1SA.15.17	Samuelnü tha, “Nü ju nü mük ching aninikhüh thsüa lalashe, nü Israel trükbo kurungkheak aku khülang yung de? 
1SA.15.18	Tüsho 
1SA.15.19	Dale tümü thsükhi nünü 
1SA.15.20	Saulnü Samuel ki tha, “Inü 
1SA.15.21	Tüshe ayankhikhi kukruk ching yo, thsümünima bahpü zokhi, Gilgal ching 
1SA.15.22	Tüsho Samuelnü tha, “
1SA.15.23	Tümüde azhihde arhimokhi ju thümüthiyi nangde neak tüsho nihnihrarakhi ju amülimkhi tüsho sangthsü kingaünkhi ruk ah. Tümütüsho nünü 
1SA.15.24	Saulnü Samuel ki tha, “Inü neak yihbeakdo; tümüde inü 
1SA.15.25	Jumonü kheakü, inü tamkhüntamnüchoh, I neak bahjang, tüsho I kilim rholoang, junangde inü 
1SA.15.26	Samuelnü Saul ki tha, “Inü nü kilim murholo; tümüde nünü 
1SA.15.27	Samuelnü atsopü rholochoki, Saulnü api shulünkhim münkheam kheak tholo, tüsho ju rukrüp. 
1SA.15.28	Tüsho Samuelnü api ki tha, “ Ha nimungnü 
1SA.15.29	Shepü Israel Müretahkhi lanü apinü akeangyu müthachoh yungsho api lümkhi mümüthri; tümüde api lümkhi müthripü thsüde api mihtsürü khülang yung.” 
1SA.15.30	Judüki Saulnü tha, “Inü neak yihbeakdo; judüalalashe kheakü I mihtsürü azothsürü tüsho Israel miki I wüntre jihang, tüsho I kilim rholoang, junangde inü 
1SA.15.31	Jumonü Samuelnü Saul kilim rholode yü; tüsho Saulnü 
1SA.15.32	Judüki Samuelnü tha, “ Amalekrü kiulongthsüpuh Agag ha ching I ki bebah arang.” Tüsho Agagnü trede ajande api ki arü. Agagnü tha, “ Tsükjide ha khühde ashepü lah.” 
1SA.15.33	Tüshe Samuelnü tha, “Nü nukshangnü aliberübo aniungyüh kamshihdo, jumonü aliberü bolung nü be a aniungyüh labah.” Tüsho Samuelnü Agag ju Gilgal ching 
1SA.15.34	Judüki Samuel ju Rama ching yü; tüsho Saul a nihbuh yam lim Gibea ching yü. 
1SA.15.35	Samuelnü api shekhün ching yüzahde Saul müngüdebah, tüshe apinü Saul dünkheak tüzho. Tüsho 
1SA.16.2	Samuelnü tha, “Inü küde thsah ayüba? Ha Saulnü sosho, apinü I laksahbah.” Tüsho 
1SA.16.3	Laksah-a kingaünkhi ching Jesse jiyukang, tüsho nünü tümü rhimobeanü inü ahuhbah; tüsho inü nü ki mung jihkhi I thsungkheaknü mujudemokhitang.” 
1SA.16.4	 thiyukhüm jihkhi Samuelnü rhimo, tüsho Bethlehem ching arü. Kiuto azothsürübonü api shorupü ajande arü, tüsho tha, “Nü mungtsü chingnü arücho de?” 
1SA.16.5	Apinü tha, “ Mungtsü chingnü ah; I 
1SA.16.6	Küyimki arü arükhea, apinü Eliab kheak kheah, tüsho lüm, “ Tsükjide 
1SA.16.7	Tüshe 
1SA.16.8	Jumonü Jessenü Abinadab ji, tüsho api Samuel miki hoshih. Apinü tha, “
1SA.16.9	Jushu Jessenü Shamma hoshih. Tüsho apinü tha, “
1SA.16.10	Jessenü atsührü 7 Samuel miki hoshih, tüsho Samuelnü Jesse ki tha, “
1SA.16.11	Samuelnü Jesse ki tha, “Nü tsührü alala ha ching la shi?” Tüsho apinü tha, “ Kheakü akheambuh aninga lah, tüshe api namfimihnu neakchoh.” Tüsho Samuelnü Jesse ki tha, “ Api ha ching arüshang; tümüde api ha ching marüyichokia isa mübin.” 
1SA.16.12	Apinü thiyia yüshihbah anihbuh bede yüzah. Kheakü api shihphü atsü, mük akheahakham, tüsho trungdung atsü lakheah. 
1SA.16.13	Judüki Samuelnü oliv müdangke pung lu, tüsho akhiungmungrü mikinü api mujude-mokhit; tüsho ju nimungnü 
1SA.16.14	Kheakü 
1SA.16.15	Tüsho Saul yamlarübonü api ki tha, “ Kheakü kheahang, Thrünpuh kilimnü amünean me arübah nü thsurangchoh. 
1SA.16.16	Kheakü isa tungpuhnü yamlarübo thiyukhüm jih-a bingkhung khungsorü yimshang; tüsho küyimki Thrünpuh kilimnü amünean me nü kheak arübanü, apinü ju khungbah, tüsho nü tsüde akambah.” 
1SA.16.17	Jumonü Saulnü ayamlarübo ki tha, “Shepünü tsüde khungsolanü yimang tüsho api I kilim bebah arang.” 
1SA.16.18	Athrününgtsüng khülangnü tha, “Inü Bethlehemrü Jesse tsührü khülang akingsorü, mulong torü, athrungrü, thiyu ching ayuk, tüsho trungdung akheahakhamkhi ngüdo; tüsho 
1SA.16.19	Jumonü Saulnü Jesse kilim yunithsürü yüshih, tüsho tha, “Nü tsührü David shepü namfimihnu lung lanü I kilim arüshang.” 
1SA.16.20	Jessenü donki lubahle yikhap, shihküp qiuqiu tüsho mihnu nunubo hah thsükihbah David kheaknü mühah-a Saul kilim yüshih. 
1SA.16.21	Tüsho Davidnü Saul kilim arübah api tankihpü ching yüzah. Saulnü api khide muzho, tüsho api ju anihbuh thsühnuk hanrü kam. 
1SA.16.22	Saulnü Jesse kilim thiyia yüshihde tha, “David I tankihpü ching lashang, tümüde I mük ki api tsüde ngüdo.” 
1SA.16.23	Tüsho küyimki Thrünpuh kilimnü amünean me Saul kheak arüde alakhea, Davidnü bingkhung ju akhahnü shuhbah khung, tüsho Saul keamramde la tüsho tsüde kam, tüsho amünean me api kheaknü chamachih.
1SA.17.1	Kheakü Filistia bonungrü thirithsüpü shomukhung; arübo Juda ching lakhi Soko ching mukhung, tüsho Ephes-dammim ching lakhi Azeka le Soko dükeak binkheam. 
1SA.17.2	Saul tüsho Israelrü mukhungbah Ela jindükhün ching binkheam, tüsho Filistiarü bede keochihpü duklang. 
1SA.17.3	Filistiarü awung thripkhüh lim zhip, tüsho arü dükeak jindükhün zahbah Israelrü awung püpü thrip zhip. 
1SA.17.4	Judüki Filistiarü binkheampung chingnü Gathrü Goliath de thsübah athrungrü khülang akhiuk, api leang ju kipying 9 kheak kip 1 lakheah. 
1SA.17.5	Api ku kheak suna lungnü athsükhi kuthran thran, tüsho thirithsü pangkhümpü khüm; pangkhümpü ju khahngak 17 lakheah. 
1SA.17.6	Api jing ching müwayinchi khümyuk tüsho müwayinchi thsüh adubuh kheak han. 
1SA.17.7	Thsühphi ju khim-keakrü khümku ruk lakheah, tüsho thsühbeak ju khahngak 7 lakheah; tüsho tsung hanrü api müngüh yü. 
1SA.17.8	Apinü zhipbah Israel bonungrü kilim zhi, “ Tümü thsüpü nüsa keochihpü duklanga arükhea? I Filistiarü yung de, tüsho nüsa Saul yamlarübo yung de? Nüsa thsungkheaknü mihtsürü khülang mokhitang, tüsho api I kilim akishang. 
1SA.17.9	Apinü I bebah keochihkhuksho tüsho I laksahsho, isa ju nüsa yamlarü thsübah; tüshe inü api kuksho tüsho api laksahsho, nüsa ju isa yamlarü thsübah tüsho isa tankihbah.” 
1SA.17.10	Tüsho Filistiabuhnü tha, “ Khihni inü Israel duklangkhi münitchoh! I kilim mihtsürü khülang jihang, tüsho ike keochihbah.” 
1SA.17.11	Küyimki Saul tüsho Israelrü alalanü Filistiabuhnü athakhi yubo sokhea, arübo mulong nini tüsho khide treabah.
1SA.17.12	Kheakü David ha Juda ching lakhi Bethlehem chingnü Ephrarü Jesse tsührü ah, api tsührü 8 lakheah. Saul kiulongthsüchoki ha buh mihtsürü ha khide shina lakheah. 
1SA.17.13	Jesse tsührü azorü mahsamnü Saul lung keochih ching yande yü; api tsührübo keochih ching yürübo mung ju adüjibuh Eliab, ju khinbuh Abinadab, asampü ju Shamma. 
1SA.17.14	David ju akheambuh lakheah, azorü mahsamnü Saul yan, 
1SA.17.15	tüshe David a abuh yo namfimihnu yimkippü Bethlehem lim yüde alakheah. 
1SA.17.16	Filistiabuhnü Israelrü ki yapsu are aban nimung yirü müneahde zhip.
1SA.17.17	Jessenü atsührü David ki tha, “Nü khiung pürü thsungkheaknü angukhi hi khahngak 10 tüsho yikhap 10 lubah nahde binkheampung ching yüang; 
1SA.17.18	tüsho niuhke kingkung 10 ha lubah chithürü kurung limthobuh kilim jihang. Nü khiung pürü küruk lanü kheahang tüsho tsüde alakhi amütsan tümükhüh arü kilimnü lubah arang.”
1SA.17.19	Kheakü Saul le arübo, tüsho Israelrü alala Ela jindükhün ching Filistiarü bebah keochihde alakheah. 
1SA.17.20	Davidnü yapsu mükikde asürübah namfimihnu ju aneakrü ki zojih, tüsho tsühyungbe lubah Jessenü thiyukhüm jihkhi nangde yü. Bonungrübo keochihpung ching ahode ayüchoki api ju binkheampung ching arü. 
1SA.17.21	Israel tüsho Filistia bonungrübo kheahkihachihbah keochihpü thsakham. 
1SA.17.22	Davidnü kukruk-hah neakbuh kilim zojihbah thirithsürü kilim shande yü, tüsho akhiung pürü ki salüm jih. 
1SA.17.23	Apinü arü ki asukachihchoki, athrungrü Gathrü Filistiabuh, Goliath ju Filistiarü bolungnü akhiuk, tüsho püpüki yu nangde tha. Tüsho Davidnü jurü so.
1SA.17.24	Küyimki Israelrünü mihtsürü ju angükheanü, alala müyinnimde shande tso. 
1SA.17.25	Israelrübonü tha, “Nüsanü ha buh mihtsürü atua la ha ngünah? Tsükjide api Israel müneahpü atua lah. Shepünü ju buh laksahbanü kiulongthsüpuhnü thsambah ato jihbah, tüsho api kilim atsührü aliberü jihbah tüsho Israel ching api yamkhün zuzu lashihbah.” 
1SA.17.26	Davidnü api ki zhiprü mihtsürübo ki tha, “ Mihtsürü khürünü ha Filistiabuh laksahkhi hode Israel chingnü mulong masühkhi hanbah tsosho api tümü ngüba? Tümüde ha tsütamübahkhi Filistiabuhnü arhang Thrünpuh bonungrü azhihpü api she a?” 
1SA.17.27	Mihtsürübonü ha ruk lang alo, “ Mihtsürü shepünü api laksahbanü anihbuh thsungkheak junangde rhimoshang.”
1SA.17.28	Akhiung azopü Eliabnü mihtsürübo ki apinü athakhi so; tüsho Eliabnü David kheak alü bukakhiuk. Apinü tha, “ Tümü thsüpü nü akikhea? Sunglo ching nünü namfimihnu anükhüh thsü she ki zojihla? Nü rük thsükhi tüsho nü mulong ching amütsü lümkhi inü mükheahlah; tümüde nü a le keochihkhi kheahpü lang akia lah.” 
1SA.17.29	Davidnü tha, “Inü tümü thsüa la? I akeokhi she mükeokhishihbea de?” 
1SA.17.30	Apinü akhinde püpü ki yübah ju yu lang tha; tüsho akhuhlim ruk lang mihtsürübonü api ki alo.
1SA.17.31	Küyimki Davidnü athakhi yubo arünü asokhea, arünü Saul ki thaa huh; tüsho Saulnü api thsungkheak thiyi. 
1SA.17.32	Davidnü Saul ki tha, “ Api dünkheak sheshe mulong düthsümünimshih; nü yamlarünü yübah ha Filistiabuh kheak keochihbah.” 
1SA.17.33	Saulnü David ki tha, “Nünü ha Filistiabuh bede keochihpü müyükhuk; tümüde nü azürü ah, tüsho api a athunu kim chingnü thirithsüde arükheah.” 
1SA.17.34	Tüshe Davidnü Saul ki tha, “Nü yamlarü a abuh yo namfimihnu neakde lachoh; tüsho küyimki kekhüzü yungsho kuto arübah namfimihnunu lubanü, 
1SA.17.35	inü adunglim yübah laksahde amün chingnü namfimihnunu khümkhit; tüsho I kilim rholobah arüsho, inü amükhüh kheak tholobah rhakmülün, tüsho laksah. 
1SA.17.36	Nü yamlarünü kekhüzü tüsho kuto ane chido laksahdo; tüsho ha tsütamübahkhi Filistiabuh she arü ruk labah, tümütüsho apinü arhang Thrünpuh ki wüntre müjih.” 
1SA.17.37	Davidnü tha, “
1SA.17.38	Saulnü David kheak thirithsü zülu khümyukjih; apinü müwayinchi kuthran aku kheak thranjih tüsho shihküp pangkhümpü khümjih. 
1SA.17.39	Davidnü thirithsü zülu kheak Saul yo nukshang nokih, tüsho tsahakheah, tümüde apinü judürü müyihakheah. Tüsho Davidnü Saul ki tha, “Inü harü yihbah mütsahkhuk; tümüde harübo müyihakheah.” Jumonü Davidnü yihkhita bah. 
1SA.17.40	Tüsho apinü tso akhah ching lu tüsho ayung chingnü lung athulung phüngü moa lu, tüsho api yo mihnu neakrü qiuqiu ching yuk; lunghitliu akhah ching lakheah, tüsho apinü Filistiabuh thüninde yü.
1SA.17.41	Goliathnü api müngüh tsungshuhrü bebah David thüninde arü. 
1SA.17.42	Küyimki Goliathnü David ngükhea, apinü münejih, tümüde api athunu, mürümmürido tüsho trungdung atsü lakheah. 
1SA.17.43	Judüki Goliathnü David ki tha, “I khihnu ah de lümbah tso shuhbah arücho de?” Tüsho Goliathnü api thrünpuhbo jide David muthrumünean. 
1SA.17.44	Goliathnü David ki tha, “I kilim arang, tüsho inü nü shihtsü thüning wuhnubo tüsho thulu ching lakhi mütüm shiwühbo kipanü.” 
1SA.17.45	Tüshe Davidnü Goliath ki tha, “Nünü nukshang, thsüh tüsho thsühshang shuhbah I kilim arang; tüshe I a nünü mükhemükimkhi Israel bonungrü Thrünpuh Wuto 
1SA.17.46	Khihni ha nimung ching 
1SA.17.47	tüsho junangde 
1SA.17.48	Küyimki Goliath ju David shorupü phünide arükhea, Davidnü Goliath shorupü keochihpung alihde yü. 
1SA.17.49	Davidnü aqiuqiu chingnü lung khülang thrükhita hita yüshihbah Goliath kingang kheak kingshih; lung ju akingkang ching lakyuk, tüsho amiro koyubah alo ching lunga yap.
1SA.17.50	Jumonü Davidnü nukshang mushuhde lunghitliu khülang tüsho lung khülangnü Goliath kinga lungshih tüsho api laksah. 
1SA.17.51	Judüki Davidnü shande yübah Goliath kheak zhip; api nukshang kheak tholobah nuktrüp chingnü dukkhit, tüsho api laksah; tüsho apinü aku lipshak.
1SA.17.51	Küyimki Filistiarübonü arü wühkenobuh shekhi ngükhea, arünü shande tso. 
1SA.17.52	Israel tüsho Juda bonungrübo ahode asürü tüsho Gath le Ekron ripit khiungde Filistiarü yande yü, junangde Filistiarü yurirübo Shaaraim chingnü Gath tüsho Ekron khiungde limro ching angaka yap. 
1SA.17.53	Israelrübonü Filistiarü müshamkhi chingnü alode arü, tüsho arü khimyam luka lujih. 
1SA.17.54	Davidnü Goliath ku lu tüsho Jirusalem lim hande arü; tüshe apinü Goliath thsühnukbo anihbuh khimyam ching zo.
1SA.17.55	Küyimki Davidnü Goliath azhihde ayükhi Saulnü angükhea, apinü bonungrü limthobuh Abner ki tha, “ Abner, ha shepü tsührü a?” Abnernü tha, “O kiulongthsüpuh, nü rhangdung la khiungde, inü mümükheah.” 
1SA.17.56	Kiulongthsüpuhnü tha, “Shepü tsührüanü yimkhitang.” 
1SA.17.57	Filistiarü laksahbah David alunglochoki, api khah ching Goliath ku zhimbah Abnernü api Saul ki bedarü. 
1SA.17.58	Saulnü api ki tha, “ Athrününgtsüng, nü shepü tsührü a?” Tüsho Davidnü alo, “I Bethlehemrü nü yamlarü Jesse tsührü ah.”
1SA.18.1	Küyimki Davidnü Saul ki asukachihkhamkhea, Jonathan menü David me kheak lümshede kam, tüsho Jonathannü nihbuh me nangde api muzho. 
1SA.18.2	Ju nimung Saulnü api bea lu tüsho abuh yam lim alode müyüshih. 
1SA.18.3	Judüki Jonathannü David kheak tangzüng khülang thsü, tümütüsho anihbuh me nangde api muzho. 
1SA.18.4	Jonathannü ayihkhi shulünkhim trünkhia api thirithsü zülu tüsho nukshang, sanglüh tüsho chimrümbe David kilim jih. 
1SA.18.5	Davidnü yü tüsho kürü ching Saulnü api yüshihkheanü akuk ngü; ju ayannü Saulnü api bonungrü kurungkheak aberü kamshih. Tüsho mihtsürü alala, Saul yamlarübonü she leangkhijih.
1SA.18.6	Davidnü Goliath laksahbah alodarüshu arübo thüyam lim arüchoki, Israel kiutobo chingnü aliberübo khün thsüde tüsho tsünde kiulongthsüpuh Saul shorupü züpzüppü shuhbah, asühkhi khünbo thsüde tüsho khün khungbebo shuhbah arü. 
1SA.18.7	Tüsho aliberübonü asühachihchoki khülangnü khülang ki khün thsü, “Saulnü chithürübo laksah, tüsho Davidnü chithürü thürübo laksah.” 
1SA.18.8	Saulnü khide bukakhiuk, tümüde ha thakhinü api masühde kam. Apinü tha, “ Arünü David ki chithürü thürübo tha, tüsho I ki chithürübo tha; arünü api ju kiulongthsürü kamshihpü thsüchoh!” 
1SA.18.9	Jumonü Saulnü David kheak ju nimungnü mükthsüde kam.
1SA.18.10	Ashidopü amünean me Thrünpuh kilimnü Saul kheak arü tüsho api yam ching abünrü nangde thazüthado, judüki David a nimung aban khungkhi nangde bingkhung ju khung. Saul a akhah ching thsüh zhima lakheah; 
1SA.18.11	tüsho Saulnü thsüh ju jipa yüshih, tümüde apinü lüm, “Inü David ju rhü kheak kheankihbah.” Tüshe Davidnü mahne ki jukphülapabah.
1SA.18.12	Saulnü David tre tümüde api lung 
1SA.18.13	Jumonü Saulnü anihbuh mikinü api tsoshih, tüsho chithürü kurungkheak limthorü kamshih; tüsho Davidnü bonungrü thirithsü ching limbe. 
1SA.18.14	Davidnü arhimokhi alala ching akuk ngü; tümüde 
1SA.18.15	Küyimki apinü akuk ato ngükhi Saulnü angükhea, api trede anihbuhnü zhip. 
1SA.18.16	Tüshe Israel tüsho Juda alalanü David muzho, tümüde api ju arübo kukzam limberü lakheah.
1SA.18.17	Judüki Saulnü David ki tha, “ Ha ching I tsührü adüjibe Merab lah; inü api nü kilim yamkhünbe thsüpü jihbah; I thsungkheaknü mulong ato thsang tüsho 
1SA.18.18	Davidnü Saul ki tha, “I kiulongthsüpuh tsühmeak thsüpü thsüde Israel ching I le I keoniorübo tüsho I buhtsührübo ju she a?” 
1SA.18.19	Tüshe Saul tsührü Merab ju David kilim jihpü lakhi kim ching, anihbe Meholarü Adriel kilim aniube thsüpü jih.
1SA.18.20	Kheakü Saul tsührü Mikalnü David muzho. Saulnü ju sobah asühde lüm. 
1SA.18.21	Saulnü lüm, “Inü anihbe api kilim jihbah alibe ju anihbuh thsungkheak qimürip thsüshihanü tüsho Filistiarünü api laksahbah.” Jumonü mahne kipü Saulnü David ki tha, “ Kheakü nü I tsühmeak thsübah.” 
1SA.18.22	Saulnü ayamlarübo ki thiyukhüm jih, “Bemuwuhbah David ki thaang, ‘ Kheahang, kiulongthsüpuhnü nü kheak asühlah, tüsho ayamlarü alalanü nü muzholah; jumonü kheakü kiulongthsüpuh tsühmeakrü kamang.’” 
1SA.18.23	Jumonü Saul yamlarübonü harü yubo ramde David ki thaa huh. Tüsho Davidnü tha, “I zhochihrü mihtsürü tüsho tümü mükamrü khülangnü kiulongthsüpuh tsühmeakrü thsüpü anikhüh nangde nüsanü kheahcho de?” 
1SA.18.24	Saul yamlarübonü Davidnü athakhi api ki thaa huh. 
1SA.18.25	Judüki Saulnü tha, “Nüsanü David ki ha thaang, ‘ Kiulongthsüpuhnü yihlukhi dünkheak tümü mulune tüshe Filistiarü küp 100 lang lunelah, junangde apinü kiulongthsüpuh riri kheak royimbah.’ ” Kheakü Saulnü David ju Filistiarü khah hode akeamshihpü lümkhi thsü. 
1SA.18.26	Küyimki api yamlarübonü harü yubo David ki thakhea, Davidnü kiulongthsüpuh tsühmeak thsüpü asühde kam. Kim muhoyide, 
1SA.18.27	Davidnü amihtsürübo lungnü yü tüsho Filistiarü 200 laksah; tüsho Davidnü api kiulongthsüpuh tsühmeak thsüpü thsüde arü yoküpbo khemütsana kiulongthsüpuh kilim handarü jih. Saulnü api kilim yamkhünbe thsüpü atsührü Mikal jih. 
1SA.18.28	Tüshe küyimki David lung 
1SA.18.29	Saulnü kheaküshe David khide tre. Jumonü ju kim chingnü Saul ju David riri lakheah.
1SA.18.30	Judüki Filistiarü bonungrü keochihpü akhiuk; tüsho arü akhiukkhi aban Saul yamlarübo kheaknü Davidnü alü thsüde akuk ngü, junangde api mungshikhi khide ato kam.
1SA.19.1	Saulnü atsührü Jonathan tüsho ayamlarü alala ki David laksahpü dünkheak tha. Tüshe Saul tsührü Jonathannü David kheak khide asühde alakheah. 
1SA.19.2	Jonathannü David ki tha, “I buh Saulnü nü laksahpü yimchoh; jumonü shido yapsu rhüngrhüngang; asük ching jikabahang. 
1SA.19.3	Inü awukhiukbah tüsho nü jikpung thulu ching I buh rheang ki zhipbah, tüsho inü I buh ki nü dünkheak thabah; inü tümükhüh mükheahsho nü ki thabah.” 
1SA.19.4	Jonathannü David dünkheak abuh Saul ki tsüde asuk, “ Kiulongthsüpuhnü nihbuh yamlarü David azhihde neak müyihbeakbeah, tümütüsho apinü nü azhihde neak müyihbeak, tüsho api rhimo nü ki khide atsü lado; 
1SA.19.5	tümüde apinü Filistiarü yanchoki arhangdung shuhmülanga jihdo, tüsho 
1SA.19.6	Saulnü Jonathan yu ani; Saulnü thiyuchihchim thsü, “
1SA.19.7	Jumonü Jonathannü David jibah harübo alala api ki thaa huh. Judüki Jonathannü David ju Saul ki bedarü, tüsho akhuhlim ruk api miki la.
1SA.19.8	Kheaküshe judüki thirithsü lakheah, tüsho Filistiarü bede keochihpü David wukhiuk. Apinü khide müzhakde arü yan, junangde arübo api müngüh tso. 
1SA.19.9	Judüki Davidnü khün khungde tüsho Saul khah ching thsüh shuhbah ayam ching binchoki, 
1SA.19.10	Saulnü David ju rhü kheak athsühnü akheankihpü mürang; tüshe apinü Saul kheaknü jukphülap, jumonü athsüh ju rhü ching kheankih. Davidnü ju re shande tsokhi.
1SA.19.11	Saulnü api yapsu laksahpü lümkhi thsüde David yam ching api kheahde yunithsürübo yüshih. David niube Mikalnü api ki tha, “Nünü khihre nü rhangdung mütsokhisho, nü shido laksahbah.” 
1SA.19.12	Jumonü Mikalnü David ju ayinripit chingnü yükishihbah api shande tsokhi. 
1SA.19.13	Mikalnü sangthsü khülang lubah yapkiu kheak yapshih; anihbenü mihnu nam aku kheak yihkihbah khimnü phudoa zojih. 
1SA.19.14	Küyimki Saulnü David rampü yunithsürübo yüshihkhea, anihbenü tha, “ Api tukthsülah.” 
1SA.19.15	Judüki Saulnü David kheahpü yunithsürübo yüshih. Apinü tha, “ Api I kilim yapkiu ching bebah atuang, junangde inü api laksahbah.” 
1SA.19.16	Küyimki yunithsürübo azahkhea, sangthsü ju mihnu namnü aku muhiubah yapkiu kheak lakheah. 
1SA.19.17	Saulnü Mikal ki tha, “ Tümü thsükhi ha ruk nünü I rükakibah I riri tsokhishihkhea?” Mikalnü Saul ki alo, “ Apinü I ki tha, I tsoshang; tümü thsüpü inü nü laksahpü?”
1SA.19.18	Kheakü David shande tsokhi; apinü Samuel kilim Rama ching arü, tüsho anihbuh kheak Saulnü arhimokhi alala api ki thaa huh. Api tüsho Samuel ane yübah Naioth ching la. 
1SA.19.19	Saul ki tha, “David a Rama lomi, Naioth ching lah.” 
1SA.19.20	Judüki David rampü Saulnü yunithsürübo yüshih. Küyimki Samuelnü limberü thsübah wukihrübo müchitde arünü angükhea, Thrünpuh Me Saul yunithsürübo kheak arü, tüsho arü she müchitmudude kam. 
1SA.19.21	Küyimki Saulnü asokhea, apinü yunithsürü püpü yüshih, tüsho arü she müchitmudude kam. Saulnü mahsam kipü yunithsürü yüshih, tüsho arü she müchitmudude kam. 
1SA.19.22	Jushu anihbuh Rama ching yü. Apinü Seku ching lakhi kekhip ato ching arü; apinü keokhi, “Samuel tüsho David küching la?” Tüsho khürünü tha, “ Ane a Rama ching lakhi Naioth ching lah.” 
1SA.19.23	Apinü Rama ching lakhi Naioth limpeang yü; tüsho Thrünpuh Me api kheak arü. Api yüde alachoki, Rama ching lakhi Naioth mukhiungyi khiungde api müchitmudude kam. 
1SA.19.24	Api she khimmih yihkhita bahbah Samuel miki müchitmudude kam. Api ju nimung tüsho tsüngre amuyung bünkeang yap. Jumonü arünü tha, “Saul she wukihrü bolung bela de?”
1SA.20.1	David a Rama ching lakhi Naioth chingnü shande tso. Apinü Jonathan miki arübah tha, “Inü tümü rhimoa la? I amülim tümü a? Tüsho nü buhnü I rhangdung lupü mürangpü thsüde inü api azhihkhi neak tümü a?” 
1SA.20.2	Apinü anihbuh ki tha, “ Ju kheaknü limshuang! Nü müshe. I buhnü I ki müthadüa ato yungsho anini tümü she müthsüchoh; tüsho tümü thsükhi I buhnü ha I kheaknü arampü? Küyimkishe yung!” 
1SA.20.3	Tüshe Davidnü she thiyuchihchimde tha, “Nünü I muzholah de nü buhnü tsüde mükheahlah; tüsho ha Jonathannü dümükheahshih jude yungsho api mulong rozhakbah de apinü lümchoh. Tüshe tsükjide 
1SA.20.4	Judüki Jonathannü David ki tha, “Nünü tümüpürü thachonü, inü nü thsungkheak rhimobah.” 
1SA.20.5	Davidnü Jonathan ki tha, “Shido a khinu aso ah, tüsho yimtsühchoki I kiulongthsüpuh ki binpü mülakphahbeah; tüshe I tsoabahanü, junangde mahsam re khiungde I thulu ching jikbah. 
1SA.20.6	Apinü I khide mürheangsho, thaang, ‘David a api kiuto Bethlehem lim niokheamde ayüpü I ki mushude kheangdo; tümüde ju ching yamkhün alala thsungkheaknü kam abande laksah-a kingaünpü lah.’ 
1SA.20.7	Apinü tsülah de thasho, nü yamlarü tsüde alabah; tüshe apinü bukakhiuksho, apinü amütsü rhimopü lümkihdo de mükheahang. 
1SA.20.8	Jumonü nü yamlarü ki muzhode rhimoang, tümüde nünü nü yamlarü amüsüh tangzüngkhi ching nü lung bedarüdo. Tüshe I kheak amülim lasho, nünü I laksahang; tümü thsüpü nünü I nü buh ki bede ayüpü?” 
1SA.20.9	Jonathannü tha, “ Ju nü kheaknü limshuabahang! Nü kheak amütsü rhimopü I buhnü alümkihkhi inü mükheahbah inü nü ki müthapü?” 
1SA.20.10	Judüki Davidnü Jonathan ki tha, “Nü buhnü nü ki müküpde alokhi shenü I ki thaba?” 
1SA.20.11	Jonathannü David ki alo, “ Arang, ike thulu ching yüanü.” Jumonü ane chido thulu ching yü.
1SA.20.12	Jonathannü David ki tha, “Israel Thrünpuh, 
1SA.20.13	Tüshe I buhnü thsümünimpü lümsho, tüsho inü nü ki thaa muhuhde nü thiyia tsoshihbah tsüde tsokhisho, 
1SA.20.14	I kheaküshe rhangdung lasho, 
1SA.20.15	 David riribo alomi kheaknü shahde dükheakshih-a lalashe nü thiyuro amuzho I yamkhün kheaknü düluakhin.” 
1SA.20.16	Hanangde Jonathannü David yamkhün ki tangzüngde tha, “
1SA.20.17	Kheaküshe Jonathannü David ki anihbuh ki muzhopü thsungkheak thiyuchihchimshih; tümüde nihbuh rhangdung muzhokhi nangde apinü anihbuh muzho.
1SA.20.18	Jonathannü api ki tha, “Shido a khinu aso ah; nü mülakhi mütsanbah, tümütüsho nü binpung akeangkeang labah. 
1SA.20.19	Zhihdo, nü limro ashang ching yükibah; nü jikpü lakhi dangpung ching nahde yüang, tüsho ju ching lung-mutrung mubuhbah binang. 
1SA.20.20	Alungki ching kipkhi nangde inü ju mungyean hühzo mahsam kipbah. 
1SA.20.21	Judüki inü azübuh ki thiyu thaa arüshihbah, ‘Yüang, tüsho yimang.’ Inü azübuh ki, ‘ Kheahang, hühzobo nü rheang ki lah, jurübo momukhungang,’ de thasho judüki nü arübah, tümüde, 
