GEN.1.1	Mebineŋ tububihila Bepaŋdi kunum eŋ kwet yehitubumintaguk. 
PSA.88.5	Nu binabune me kumuhi dut hatat. Nu adi me nolidi me niŋ ulukumuŋa tukulune meyotneŋ hatak undiniŋ. Nu adi me agaŋ nadikaule tiyemiŋa kotigoŋ tuwot mu yehitubu-lodalaŋ nabugoŋ.
PSA.88.6	Du agaŋ nehitukulune koŋ fuliŋmamaŋ gineŋ folat, tiŋa kwet mambipnit hinek gineŋ duwaŋ hatat.
PSA.88.7	Kwihitagedi imeŋgwaŋ wapum nabugoŋ nehikufula tiŋa nehitifohinaka tilak.
PSA.88.8	Dagoŋ tubune notneye adi sigilulum tinamgiŋ. Dagoŋ tilaŋ kaŋ nu kadakadapmaŋ hinek tibene nabuŋa munta kisaŋ hinek tiiŋ. Wendi kamehenamulak doktiŋa tuwot mu momoŋ wit.
PSA.88.9	Nu malabumuŋ hekiŋa daune kadakaune dau diwediwe momooŋgoŋ mu tilat. Unduŋ tiŋa helemahelemaŋ, Yahwe, du nehitubu-lodaweŋ yoŋa kohone kwehene-belooŋ yonadi kwanai tilat.
PSA.88.10	Du meeniŋ agaŋ kumuŋ tiiŋ u yehitubu-lodadok kunumneniŋ kudi maaŋbe tilaŋ? Meeniŋ kumuhi adi pilali ganiutumba maaŋbe tiiŋ?
PSA.88.11	Meeniŋ agaŋ meyotneŋ koŋ gineŋ deihakiiŋdi du adi welegedi yabukahile hinek tilaŋ wendok maaŋbe yohautaiŋ? Be meeniŋ kadaka titiŋdok kwetneŋ hakiiŋdi momooŋ tiyemguŋdok maaŋbe yohautaiŋ?
PSA.88.12	Meeniŋ meyotneŋ hakiiŋ adi kunumneniŋ kudi tilaŋ u maaŋbe kaiŋ? Kaŋ meeniŋ kadakadok kwetneŋ hakiiŋ adi du’walaŋ titiŋge momooŋ u maaŋbe kaiŋ?
PSA.88.13	Yahwe, nu du nehitubu-lodaweŋ yoŋa kutiganilat. Helemahelemaŋ haniŋ hogohogok du ganinadilat.
PSA.88.14	Kaŋ Yahwe, du maŋgande sigilulum tinamulaŋ? Tiŋa undugoŋ, maŋgande namandake kufulahebi tiŋa wooŋ hataŋ?
PSA.88.15	Me kuyane gineniŋ tububihila labuŋa kobuk i hatilat, woŋ adi folofigita hogok nadige nadige agaŋ kumuŋ tibe nadilat. Du malabumuŋ kisaŋ hinek nambune wendi kitiline agaŋ tubugweheye tilak.
PSA.88.16	Kwihitage wapum hinek wondi nehikufula tilak. Du kisaŋgoŋ hinek nulaŋa nehitubu-kadakadapmaŋ tilaŋ.
PSA.88.17	Du hadapmo be timiŋ adi unduŋ hogok tinamulaŋ. Kaŋ ime gabuŋ tiŋa kwetkwet hefula tilak unduŋ malabumuŋ hogohogokdi nehikelemadi tiiŋ.
PSA.88.18	Du unduŋ tubune me notneye momohi adi binabu tiiŋ. Kaŋ mambip gineŋ hogok hatilat.
PSA.89.1	Yahwe, nu helemahelemaŋ welegedi nibukahile hinek tilaŋ wondok kap toluwaat. Tiŋa undugoŋ medege didimeŋgoŋ hinek takaliŋa faki-kabe nemu bikabulaŋ wondok maaŋ dapmandapmaŋnit mokit yohautawene metam ulihakaŋ hatitauneeŋ indigoŋ tuwot hali wooŋ halaak.
PSA.89.2	Nu agaŋ nadilat, du welegedi nibukahilelaŋ u waaniŋ hali wooŋ halaak. Medege didimeniŋ u bikabu-kabe nemu tubune kunumdi waaniŋ uŋgoŋ fafaŋeŋ hatak wondok tuwot hatak.
PSA.89.3	Du indiŋ yoguŋ, “Nu me niŋ agaŋ tubudakaleeŋ adigut mede yofolok tugumut. Nu kwanai-mene Dewitdok mede yofafaŋe tiŋa indiŋ niŋgut, 
PSA.89.4	‘Me mapme kwanai adi du’walaŋ yalakigeye ulihakaŋ hatitaloneeŋ adi hogokdi hatiyaneeŋdok ganilat.’”
PSA.89.5	Yahwe, aŋelo kunum foloŋ hatiiŋ adi du kudi tuguŋ wendok youtumbaaŋ wohoge yotiloiŋ. Tiŋa undugoŋ du mede yofafaŋeguŋ hogohogok u didimeŋgoŋ hinek takalilaŋ doktiŋa bophik gineŋ ganintiloiŋ. 
PSA.89.6	Yahwe, kunum foloŋ nebek niŋ dutok tuwolit nemoŋ. Eŋ aŋelo niŋdi dutok tuwolit nemoŋ.
PSA.89.7	Aŋelo talitimeŋ heki adi Bepaŋ du gikiŋgoŋ tigamiiŋ. Eŋ aŋelo mohok noli du gehikelemadi tiiŋ adi dutok nadiune beweniŋgoŋ tubune gikiŋgoŋ tigamiiŋ. 
PSA.89.8	Yahwe, Saŋiniŋ Molom, nebek niŋ du saŋiniŋge loloŋnit undiniŋ nemoŋ. Du helemahelemaŋ medege didimeŋgoŋ takalilaŋ, tiŋa undubu yoŋ undubu yoŋ adi mu tilaŋ.
PSA.89.9	Du imeŋgwaŋ saŋiniŋnit kadokolaŋ. Eŋ ime giyondaaŋ pilatak kaŋ tubukulemaune kulemaŋ hatak. 
PSA.89.10	Du Isip’walaŋ
PSA.89.11	Kunum gut kwet adi da’walaŋ hogok. Du kwet kameeŋ nemenemek wendok foloŋ hadapmaiŋ u maaŋ boiguŋ. 
PSA.89.12	Kwet wahiŋkade be kumaŋkade u dagoŋ yehitubu-mintaguŋ. Kweboboe Tabo gut Hemon adi nadifo tiŋa kap toŋa wohoge youtumbayamuk.
PSA.89.13	Wapum, du’walaŋ saŋiniŋge adi wapum hinek, eŋ saŋiniŋge u yadi loloŋnit hinek. 
PSA.89.14	Du mapme ila titiŋ didimeniŋ gineŋ metam yabudokolaŋ. Tiŋa mede nadiŋa yodapmaŋ kwanai didimeŋgoŋ hogok tilaŋ. Tiŋa undugoŋ, metam hogohogok yabukahile tiŋa medege didimeŋgoŋ takaliŋa undubo yooŋ undubo yooŋ mu tilaŋ.
PSA.89.15	Metam kap toŋa ganiutumba tiiŋ, tiŋa hebeke foloŋ hatibune titiŋge fofooŋ hinekdi hauta nabugoŋ yehitubu-hautalak, adi yadi nadifo kedem tineŋ.
PSA.89.16	Adi yadi du titiŋ momooŋ tiyemguŋ wendok nadiŋa melenai indigoŋ tuwot, hadapmo be timiŋ adi nadifo tiŋa wohoge yotiloloŋ tiiŋ.
PSA.89.17	Du kubugoŋdi indi’walaŋ saŋiniŋnik loloŋnit. Wondoktiŋa siloŋ tobogoŋ tiŋa nihitubu-lodaune mik gineŋ fafaŋe tiyam.
PSA.89.18	Yahwe, du dagoŋ me nibudokodok tubudakaleguŋ. Du adi Isilaehi indi’walaŋ Bepaŋ, tiŋa titiŋ momooŋ eŋ titiŋ didimeniŋ hogohogok diniŋ Bepaŋ maaŋ. Dagoŋ Isilaehi inditok mapme nimguŋ.
PSA.89.19	Koomkwaha polofetgeye damo gineŋ mintayemiŋa indiŋ yeniŋguŋ, “Me fafaŋeniŋ niŋ ki foloŋ mapme’walaŋ mebi mokop tehindilendileŋnit mokomiŋgut, metamneye’walaaniŋ niŋ tubudakaleŋa me loloŋnit kambiyakut.
PSA.89.20	Biyagoŋ kuyoŋ, nu tipilapilaye-mene Dewit tubumintagut. Unduŋ tiŋa yegut e ime wahu munduŋnit uŋgoniŋdi mapme iitdok yougomgut.
PSA.89.21	Kohonedi helemahelemaŋ honefafaŋeeŋ nagila hatiŋa kadokoluwaak. Kohone folooŋdi saŋiniŋ miluwaak.
PSA.89.22	Memik niŋdi adi talamulaŋa mu ulatifowaak. Eŋ me kadakaniŋ titiŋ niŋdi fafaŋeeŋ tuwot mu tiŋa fowaak.
PSA.89.23	Memikŋiye hebeŋ foloŋ widihidadagiyewaat. Eŋ adi kakwihitaneeŋ adi yadi yehiwenemadit tibaat.
PSA.89.24	Nu’walaŋ welesiloŋ eŋ siloŋ tobogoŋ adut hatuwaak. Eŋ nu’walaŋ wotnene foloŋ saŋiniŋ moŋgola yatuwaak.
PSA.89.25	Nu tubulodawene kweli kadokowaak adi Meditelenien imeŋgwaŋneniŋ tububihila wooŋ ime wapum Yufeletis uŋgoŋ wosuwawaak.
PSA.89.26	Kaŋ adi kutinaniŋa indiŋ yoluwaak, ‘Du Batne eŋ Bepaŋne. Dagoŋ helemahelemaŋ nabudokooŋ nehitubu-lodalaŋ.’
PSA.89.27	Kaŋ nu adi mihine biyeniŋ nindapmaaŋ kwetfoloŋ mapme heki’walaŋ loloŋnit kamewaat.
PSA.89.28	Siloŋ tobogoŋnedi tubukilitiŋa nagila hatiluwaat. Eŋ yofoloknedi fafaŋeniŋ halimiluwaak.
PSA.89.29	Nu yalakiŋiye yehitubu-ulihakawene yeuli dapmandapmaŋnit mokit hatuwaak. Tiŋa nu mapme kweli tubukilitiwene kunumdi hatak wondok tuwot ituwaak.
PSA.89.30	“Yalakiŋiye adi yadi Yodoko Medene wabiŋa mede yenindidime tilat u mu nobu takalineeŋ 
PSA.89.31	tiŋa undugoŋ medene yofafaŋe tilat ulatifofoŋ nobu tineŋ 
PSA.89.32	adi yadi tahi kwadidi yehitubu-didimewaat. Eŋ kadakaniŋhikdok tiŋa yehitubu-figitawaat.
PSA.89.33	Eŋ ne adi siloŋ tobogoŋne mu lomtibaat. Be siloŋne folooŋ u mu tubufilimimbaat.
PSA.89.34	Nu yofolokne mu fiyakulaat, eŋ manedi mede yofafaŋe tugut u mu wiyakulaat.
PSA.89.35	Nu na’walaŋ uŋgoniŋ hatihatine foloŋ kame ulodiŋa nai kubugoŋ yofafaŋe tugut wondi hahat fafaŋeniŋ. Nu Dewit yalaŋ nemu nimbaat.
PSA.89.36	Adi’walaŋ yalakiŋiye adi liwe mu tineeŋ. Eŋ mapme kwanaiŋiŋ adi namandatne foloŋ mele itak wondok tuwolit haliwooŋ halaak.
PSA.89.37	Muyakip kameŋit itak aditok tuwot itouluwaak. Kunum halaak tuwot iwamatawaak.”
PSA.89.38	Yofolok unduŋ tuguŋ iŋgoŋ yoŋ adi agaŋ wabiŋa mapme tubumintaguŋ u nadikwihita timilaŋ. Ime wahu munduŋnit youlimiŋguŋ aditok tiŋa kwihitadi walage fotoki tilak.
PSA.89.39	Tipilapilaye mege dut yofolok tugumuk u wiyakutaŋ. Tinahukutŋiŋ tehindilendileŋnit u tikulimimbune maaŋ kwam tuguk.
PSA.89.40	Du kawade gimbahaŋŋiŋ wiyakulimiŋguŋ. Yoli kweli fafaŋeniŋ wiyapupuheneguŋ.
PSA.89.41	Metam yaudapmaŋ tiiŋ hogohogok adi bomboŋŋiŋ kubo timiiŋ. Noliŋiye yamaŋgoŋ itowiiŋdi gikiŋgoŋ mu timiŋa nimpekit tiiŋ.
PSA.89.42	Memikŋiye nadiyembune fafaŋeŋ yalitifooŋ tonadifo tigiŋ.
PSA.89.43	Yakee, miknoŋŋiŋ mimim tubugenimbamiŋguŋ, unduŋ timiŋa yeguŋ e mik maaneŋ mu tubulodaguŋ.
PSA.89.44	Mapme saŋiniŋŋiŋ lomtiguŋ. Kumopopŋiŋ tehindilendileŋnit tapmetikukuŋ kaŋ kwetfoloŋ maaŋ hatak.
PSA.89.45	Nadifo foloŋ hatihati naiŋiŋ tubumuniŋgoŋ timiŋa folomeka eŋ bulaniŋgoŋ kamemiŋguŋ.
PSA.89.46	O Yahwe, du hebi hatige hatige nai deniŋ mintawaaŋ? Kwihitage diniŋ kudupmebem u deniŋ kumuŋa kulemawaak?
PSA.89.47	O Wapum, hatihatinik diniŋ nai muniniŋ hatak u mu nadilaŋ be? Meeniŋ hogohogok kumuŋ tiyam wondok nadisuweŋ.
PSA.89.48	Nediyeŋ hatitalogeloge kumuŋ kalakapmewaak? Eŋ nedi’walaŋ hatihatidi kumuŋ yokwet diniŋ saŋiniŋ ulatiŋafooŋ hatibaak.
PSA.89.49	Yahwe, du nai indidegoŋ mu nibukahilelaŋ be? Du koomkwaha Dewit nukut mede yofolok biyagoŋ tinamguŋ wondiniŋ folooŋ de?
PSA.89.50	O Wapum, tipilapilayege nanimpekit tiiŋ u maaŋbe nadilaŋ? Metam mu nadisukilitigamiiŋ adi nanimpekit tiŋa nanisilone tiiŋ.
PSA.89.51	O Yahwe, mede wondegoŋ nehitubu-meka tiiŋ. Unduŋ tiŋa ime wahu munduŋnit nedegomguŋ nu talik hati yauluwene folomeka tinamiiŋ.
PSA.89.52	Yahwe, helemahelemaŋ hati niutumbadok. U biyagoŋ hinek.
PSA.90.1	Wapum, du yadi yotnik dabugoŋ hinek. Mamani-papaniye adi du foloŋ hatigiŋ, kaŋ kobuk indi maaŋ du foloŋgoŋ iŋgoŋ hatiyam.
PSA.90.2	Bepaŋ dapmandapmaŋnit mokit, du koomkwaha hatiguŋdi tomboyoula kougoŋ hatiŋa wooŋ hatibaaŋ. Kweboboe hogohogok mu mintagiŋ, eŋ nemenemek kwetfoloŋ iŋoŋ ikiiŋ hogohogok u mu yehitubu-mintaŋila du da koomkwaha uŋgoŋ hatiguŋ.
PSA.90.3	Du dagoŋ tilaŋ kaŋ metam adi kumuŋa kotigoŋ kwet yageleiŋ. Kaŋ du indiŋ yolaŋ, “Metam kwetfoloŋ hatiiŋ, hidi adi kumuŋa kotigoŋ kwet yageleneeŋ.”
PSA.90.4	Du’walaŋ nadinadi gineŋ gulet 1 tausen woŋ adi nadilaŋ kaŋ melenai kubugoŋ wondok tuwolit tilak. Tiŋa wendi melenai kwegoŋ-kabe pilap hinek wooŋ dapmaguk unduŋ nabugoŋ tilak. Tiŋa undugoŋ, woŋ adi mikme hekidi timiŋ mik-fok nai muniniŋ-kabe ya-tiiŋ wendok tuwot.
PSA.90.5	Du ime gabuŋ tiŋa meeniŋ widihi-beŋa uune kumiiŋ, wendok tuwot metam yehililiwenekutaŋ. Adi yadi lihine nabugoŋ nai muniniŋ-kabe hinek hatiiŋ. Tiŋa undugoŋ adi yadi kilihikit kobuligoŋ haniŋ labusuwaaŋ yatak, 
PSA.90.6	yali wapum tiŋa wowoŋnit tilak. Iŋgoŋ tebele kotigoŋ kumuŋa sigenelak wondok tuwolit.
PSA.90.7	Du inditok kwihita tinimilaŋ, unduŋ doktiŋa indi nihitubu-kadaka tilaŋ. Du inditok tiŋa welege kudup dalak, unduŋ doktiŋa indi munta kisaŋ hinek tam.
PSA.90.8	Du indi’walaŋ titiŋ kadakaniŋnik hogohogok u agaŋ yabudapmalaŋ. Eŋ kadakaniŋ kabup tam hogohogok u agaŋ beŋa miŋgilaŋgoŋ boiŋa yabudapmalaŋ.
PSA.90.9	Du’walaŋ kwihitagedi indi’walaŋ kwetfoloŋ hatihatinik diniŋ nai u dobunimilak. Indi nai kubugoŋ hinek munabula fedikut tiyam, wendok tuwolit, biyagoŋ hinek nainikdi pilap hinek dapmalak.
PSA.90.10	Indi hatiyam kaŋ wooŋ guletnik 70 uŋgoŋ dapmalak. Eŋ saŋiniŋnit hatiŋa adi kedem hatine wooŋ guletnik 80 dapmalak. Gulet u hatitabam hogohogok woŋ adi kwanaimiŋ tiŋa malabumuŋ tubumintayam. Ala gulet wendi pilap dapmaiŋ kaŋ indi maaŋ agaŋ nai uŋaniŋgoŋ wam.
PSA.90.11	Du’walaŋ kwihitage diniŋ saŋiniŋ u me nediyeŋdi kamekaaŋ nadilak? Be metamdi du’walaŋ kwihitage doktiŋa munta kisaŋ tiiŋ u me nediyeŋdi nadilak?
PSA.90.12	Du didimeŋgoŋ nihititiŋeneune kwetfoloŋ iŋoŋ nai kweheyeniŋ mu hatineem u didimeŋgoŋ nadidakalenim. Unduŋ tiŋa indi nadidakalenit kedem hatiyaneem.
PSA.90.13	Yahwe, welege kudup undugoŋ be ha-daluwaak? Du kwanai-megeye inditok bulaniŋgoŋ nadinimbeŋ.
PSA.90.14	Du helemahelemaŋ welegedi hinek nibukahile tilaŋ, doktiŋa wendi haniŋ hogohogok indigoŋ tuwot welenik kedem tubukilitiluwaak. Wendoktiŋa indi kaipmuŋ hatiyaneem tuwot nadifo tiŋa welemomooŋ nadiyaneem.
PSA.90.15	Timentimeŋ malabumuŋ nimguŋ. Iŋgoŋ kobuk adi koom malabumuŋ nimtabuguŋ wendok kibikoŋ nihitubu-lodaune indibo nadifo tinim. Gulet fee hinek hogoli hatigumun, doktiŋa gulet hogohi u dibek hatigumun wendok tuwot hinek nadifo tubuminta-nimbeŋ.
PSA.90.16	Du kwanai-megeye inditok da’walaŋ kwanaige saŋiniŋnit u kedem tubune kanim. Du kwanaige saŋiniŋnit momohimomohi u yalakiniyedok kedem tubune kaneeŋ.
PSA.90.17	Yahwe, du Bepaŋnik, indi siloŋ tobogoŋ tinimiŋa momooŋ tinimbeŋdok nadiyaam. Kaŋ indi nemenemek hogohogok tinene momooŋ mintawek. Biyagoŋ hinek, indi nemenemek tiyam hogohogok u du kedem tubufafaŋeweŋ kaŋ momooŋ halaak.
PSA.91.1	Me nediyeŋ Bepaŋ Loloŋnitdi kadokodok nadiŋa adi’walaŋkade uune Bepaŋ Saŋiniŋ Molomdi kadokoune hatilak, adi Yahwedok indiŋ nimbek,
PSA.91.2	“Dagoŋ yahehewe tinamuŋa momooŋ hinek nabudokolaŋ, tiŋa da kubugoŋdi Bepaŋne hatilaŋ. Unduŋ doktiŋa du kubugoŋ nadisukilitigamulat.”
PSA.91.3	Biyagoŋ hinek, Bepaŋdi gehitubu-lodaune nemek gehitubu-kadakadok kabup hebihakiiŋ wendi tuwot mu gehitubu-kadakaneeŋ. Tiŋa undugoŋ, gabu-ulidokoune yagit hogohi fafaŋehi hinek tuwot mu mintagamneeŋ.
PSA.91.4	Adi pupup tamuniŋdi wapmihiŋiye papalidi yehikufulalak wondok tuwolit hinek gehikufulaluwaak. Du Wapum’walaŋ papaliŋiŋ gineŋ hebihalune momooŋ hinek gabudokoluwaak. Adi gabudokodok yalaŋ mu yolak, unduŋ doktiŋa du me kweletalak gut galiŋa yakiiŋ wendok tuwot Wapum’walaŋkade wooŋ galiluwaaŋ.
PSA.91.5	Du timiŋ nemek mikhinitdok munta mu tiluwaaŋ. Be hadapmo nemek maŋiŋ miknit niŋdi pilap hinek mintaaŋ gehitubu-kadakawaakneŋ yoŋa munta mu tiluwaaŋ.
PSA.91.6	Du yagit kadakaniŋdi timiŋ mintagambaakneŋ yoŋa munta mu tiluwaaŋ. Be hadapmo munabuli hogolidi pilap hinek mintagamuŋa gehitubu-kadakawaakneŋ yoŋa munta mu tuluwaaŋ.
PSA.91.7	Me 1 tausendi du halaaŋneŋ yamaiŋgoŋ uŋgoŋ binek kumuneeŋ, be me 10 tausendi kohoge didimeniŋneŋkade binek kumuneeŋ, iŋgoŋ nemek miknit hogoli wendi mu gehitubu-kadakaluwaak.
PSA.91.8	Da daugedi hinek yabune Bepaŋdi me kadakaniŋ titiŋ hekidok kibikoŋhik tubu-udaneyembaak.
PSA.91.9	Du nemek kadakahi gineŋ doktiŋa Yahwe’walaŋkade uune Bepaŋ loloŋnit hinek adi hogokdi gabudokolak, 
PSA.91.10	wendoktiŋa nemek hogolidi du foloŋ tuwot mu mintagamuluwaak. Eŋ yagit hogolidi du yokeneŋ mu mintaluwaak.
PSA.91.11	Wapumdi aŋelo hekidok kwanai-mede yembune daŋgoŋdaŋgoŋ waaŋ u adi kedem gabudokoyaneeŋ. 
PSA.91.12	Tiŋa kawadedi kayoge youlaakneŋ doktiŋa adi kohohikdi gehitiloneeŋ.
PSA.91.13	Kaŋ du adi laion eŋ miŋgembet miknit eŋ laion pamala tiŋa miŋgembet wapuhi hinek u yehiyaliwaaŋ.
PSA.91.14	Bepaŋdi indiŋ yolak, “Metam nediyeŋ welehikdi hinek nabukahileiŋ adi yadi kotigoŋ yanagilaat. Tiŋa metam nediyeŋ nu hogok hinek nadinamiiŋ adi yadi momooŋ hinek yabudokoluwaat. 
PSA.91.15	Adi naninadiune yonadihik nadiyemiluwaat. Eŋ malabumuŋ mintayemiluwaakneŋ nu adigut hatiluwaat. Unduŋ tiŋa kotigoŋ yanagila wohikgigit momooŋ yemiluwaat. 
PSA.91.16	Tiŋa wendok tuwahik adi hatihatihik tomboyouyemiluwaat. Unduŋ tiŋa kotigoŋ yanagilene nakat noŋgoŋ hatiyaneem.”
PSA.92.1	Yahwe, du Bepaŋ Loloŋnit hinek, welemomooŋ nadigamuŋa ganiutumba tibene wendi utumba hinek tibek. Tiŋa undugoŋ kap toŋa wohoge ganintiloit.
PSA.92.2	Tiŋa helemahelemaŋ haniŋ-haniŋ welegedi hinek nabukahilelaŋ u yohautaluwaat, eŋ helemahelemaŋ timiŋ indigoŋ tuwot yofafaŋe tuguŋ indigoŋ didimeniŋ hinek keleeŋ nabudokolaŋ wendok yohautaluwaat.
PSA.92.3	Nu gita eŋ kulele ulene mede momooŋ tobune wohoge ganintiloit.
PSA.92.4	Nu du kwanai saŋiniŋnit tuguŋ wendok nadiŋa welemomooŋ nadilat, tiŋa nadifooŋ kap tolat.
PSA.92.5	Yahwe, du kwanai tilaŋ adi kaŋ nadiwe uŋgoniŋ hinek tilak. Eŋ nadinadige adi fuliŋmamaŋ hinek. 
PSA.92.6	Me nadinadihinit mokit tiŋa me bubuyehi adi yadi nemek i tuwot mu nadidakaleneŋ.
PSA.92.7	Metam hogohi adi kilihikitdi momooŋ labiiŋ undihi kedem mintaneeŋ, kaŋ metam kadakaniŋ tiiŋ heki adi metam bomboŋhinit tiŋa iutumba kedem tineeŋ, iŋgoŋ oŋ, du yehitubu-liwedapmaŋ tibaaŋ.
PSA.92.8	Maŋgande, Yahwe, du kubugoŋdi mapme loloŋnit hatilaŋdi hatibaaŋ dapmandapmaŋnit mokit.
PSA.92.9	Indi agaŋ nadiyaam, me nediyeŋ du mik tigamiiŋ adi yadi kumuŋ tineeŋ, eŋ me kadakaniŋ titiŋ heki adi yadi yehiyalimoŋgofofoŋ tibaaŋ.
PSA.92.10	Du saŋiniŋ wapum hinek namguŋ woŋ adi makau maahi moihi’walaŋ saŋiniŋhik wondok tuwolit. Tiŋa undugoŋ du momooŋ hinek tinamulaŋ doktiŋa nu nadifo tilat.
PSA.92.11	Nu memikneye yehitubu-kadakaguŋ u daunedi agaŋ kagut, eŋ me hogohi’walaŋ makat koyonehik u agaŋ magitnedi nadigut.
PSA.92.12	Metam didimehi adi bem kalipdi folooŋ momohi hinek foiŋ wendok tuwolit hinek mintaneeŋ, tiŋa Lebanonhi’walaŋ bem sidadi wapuhi tiiŋ wondok tuwot tineeŋ.
PSA.92.13	Kaŋ adi yadi bem agaŋ Yahwe’walaŋ yolineŋ yetigiŋ yakiiŋ unduŋ tilak. Adi yadi Bepaŋnik’walaŋ yolineŋ momooŋ hinek loiŋ.
PSA.92.14	Adi agaŋ sigida tiiŋ iŋgoŋ oŋ, folooŋ adi tomboyoula minta hogok tiiŋ. Tiŋa undugoŋ kumuŋ mu tiiŋ, adi fafaŋe tiŋa yakiiŋ. Kaŋ hapmuŋhikdi maaŋ undugoŋ kaipmuŋ hakiiŋ.
PSA.92.15	Titiŋ unduŋ foloŋ Yahwe ne adi didimeniŋ hinek u yobihilune kaiŋ. Adi fafaŋe tiŋa nabudokolak, tiŋa adi yadi yomŋiŋnit mokit. Mokoŋ hinek.
PSA.93.1	Yahwe adi tinahukut beweniŋgoŋ tiŋa Mapme saŋiniŋnit itak. Adi kwet i koom dibek tububihila mintaaŋ hakuk uŋakoŋ tubu-fafaŋeune hatak.
PSA.93.2	Yahwe, du nemenemek hogohogok mu mintagiŋneŋ dibek hatiguŋ undiniŋgoŋ hatiguŋdi hatilaŋ, tiŋa undugoŋ Mapme dapmandapmaŋnit mokit hatilaŋ.
PSA.93.3	O Yahwe, imeŋgwaŋ fuliŋmamaŋ adi gibitaŋ muhila mede toiŋ. Adi muhila mede wapum hinek toiŋ.
PSA.93.4	Iŋgoŋ Yahwe, du kunum foloŋ ilaŋa saŋiniŋge wapum wendi nemenemek hogohogok u yabudokolaŋ. Tiŋa du’walaŋ saŋiniŋge wapum wendi imeŋgwaŋ giyondaaŋ muhila mede tolak u kalakapme tilak. Ime giyondaaŋ muhila labuŋa luhineŋ kulaŋa mede wapum tolak. Iŋgoŋ imeŋgwaŋ wapum weŋ’walaŋ saŋiniŋdi Wapum’walaŋ saŋiniŋ wendok tuwot mooŋ.
PSA.93.5	Eŋ du’walaŋ Yodoko Medege adi hakukdi hatak fafaŋeniŋ. Yahwe, biyagoŋ hinek, du’walaŋ yoke adi uŋgoniŋ hakukdi hatak, eŋ haliwooŋ halaak, dapmandapmaŋnit mokit.
PSA.94.1	Yahwe, du Bepaŋ doktiŋa metam kadakaniŋhinitdok kibikoŋ malabumuŋ didimeniŋgoŋ yembeŋ. Unduŋ tiŋa kwihitage u tubumintaune kaneŋ.
PSA.94.2	Agaŋ mu pilataŋ! Kwet diniŋ mede yodapmandapmaŋ, du pilali me foko tiiŋ hekidok kibikoŋ titiŋhik wendok tuwolit tubu-udaneyembeŋ.
PSA.94.3	Me kadakahidi titiŋhikdok nadifo nai dedigoŋ hinek tineŋ? Yahwe, nai dedigoŋ hinek hayemilak?
PSA.94.4	Nai dedigoŋ hinek hayembune me hogohi adi kadakaniŋ tigiŋ wendok foko tiŋa nadifo tineeŋ?
PSA.94.5	Yahwe, adi yadi metamgeye yehimoŋgofooŋ malabumuŋ wapum hinek yemiiŋ.
PSA.94.6	Adi yadi tam kahat eŋ wapmihi kondiŋahi eŋ metam niŋkadehi indi’walaŋ kwetnineŋ iŋoŋ hatiiŋ u widihi kumuŋ tiiŋ.
PSA.94.7	Unduŋ tiŋila indiŋ yoiŋ, “Yahwe adi tuwot mu nibilak. Eŋ Isilaehi’walaŋ Bepaŋ adi nemek i tiyam wendok nadibedi mu tilak.”
PSA.94.8	Metamneye, hidi detiŋa kudi kauleŋ unduŋ tiiŋ? Bubuyehi hidi, nai deniŋ nadinadihinit tineeŋ?
PSA.94.9	Bepaŋdi magitnik tutumbaguk, unduŋ doktiŋa adi tuwot mube nadiwek? Tiŋa undugoŋ, Bepaŋdi daunik tutumbaguk, unduŋ doktiŋa adi tuwot mube diwetomuŋa kawek?
PSA.94.10	Adi metambop yenindokodokoyelak, unduŋ doktiŋa yehitubu-didime tuwot mube tibek? Tiŋa undugoŋ, adi yadi metam hogohogok’walaŋ henalehik, unduŋ doktiŋa adi nadinadinit mokit be?
PSA.94.11	Yahwe adi metam hogohogok’walaŋ nadinadihik u agaŋ nadidapmalak. Unduŋ doktiŋa nadinadihik u kudige nabugoŋ liwelak, u agaŋ nadilak.
PSA.94.12	Yahwe, du me niŋ nindokodokoyeŋ Yodoko Medege nintubudidime tubune me u Bepaŋ’walaŋ kahaŋ kaŋ nadifo kedem tibek.
PSA.94.13	Du indiŋ doktiŋa unduŋ tilaŋ: adi malabumuŋ mu minta-mimbune kulemaŋgoŋ hatikulema tilune me kadakahi adi koŋ gineŋ foneeŋ.
PSA.94.14	Maŋgande, Yahwe adi metamŋiye tuwot mu biyabek. Biyagoŋ hinek, adi metamŋiye netok gigit tigiŋ adi sigilulum tuwot mu tiyembek.
PSA.94.15	Kaŋ mindaŋkade mede nadinadi me mede kwanai tineeneŋ mede agaŋ didimeŋgoŋ hogok yodapmaneeŋ. Kaŋ metam didimehi adi u kaune tuwot hinek tibaak.
PSA.94.16	Nediyendi nehitubu-lodaaŋ me kadakahi yehimoŋgofoguk? Eŋ nediyeŋdi nehitubu-lodaaŋ me yom tiiŋ u yehikelekukuk?
PSA.94.17	Yahwedi mu binek nehitubu-lodawe tuguk binek adi agaŋ pilap hinek meyotneŋ gwaŋ dahatit.
PSA.94.18	Nu indiŋ nadigut, “Kayone agaŋ sulukeneto tilak, ala agaŋ maaŋ nutuwek.” Iŋgoŋ oŋ, Yahwe, du nutok bulaniŋgoŋ hinek nadinamuŋa nohoneune nu kadakaniŋ gineŋ mu maaŋ nutak.
