MAT.1.1	Ecitabo co bwiburwa bwa Yesu Kristo, Omwana wa Daudi, Omwana wa Iburaimu.
MAT.25.38	?Kamwi cakurorereri uri mugenyi nacikukuma, amwi uri tuyu nicikufwafya? 
MAT.25.39	?Kamwi cakurorereri urwae, amwi uboyerwe, nici:ja okukurora? 
MAT.25.40	No Mukama ariindura nababwira ati, Ni cimari enibabwira ati, Rwomwo mwakoree oumwi ku ba:na ba:su banu abato:to, nikwo kutyo mwankoree anye. 
MAT.25.41	Mbe niwo aribabwira abo bari ku kuboko kwae okwe bumosi ati, Munso:keko, emwe banu mweimirwe, mugende mu muriro gunu gutakuwao, gunu gwera:bi:ywe Syetani na bamaraika bae. 
MAT.25.42	Okuba nariga no mweko, mutananire biryo. Nariga no bwiro, muta:nywesisye. 
MAT.25.43	Nariga mugenyi mutankumire. Nariga tuyu muta:nfwafifye. Nariga murwae na muboywa, nimurema okundora. 
MAT.25.44	Mbe niwo abene one bariindura ati, Ratabugenyi, ?cakurorereri uri no mweko amwi uri no bwiro, anwi uri mugenyi, amwi uri tuyu, amwi urwae, amwi mu buboywa, nicirema okukufurubendera? 
MAT.25.45	Mbe niwo aribaindura ati, Ni cimari enibabwira ati, Rwomwo mutakoree oumwi kwabo abato:to, mutankoree anye. 
MAT.25.46	Mbe abo barigenda mu nya:ko inyatawao, nawe abarenge:resi barigenda mu buanga bunu butakuwao.
MAT.26.1	Ejire Yesu amarisya emisango jinu jo:ne, nababwira abe:igisibwa bae ati, 
MAT.26.2	Mumenyere ati, jasigarao siku ibiri ni:ba Pasaka, no Mwana wo mu:nu ariromerwa iniku kajo:kubambwa ku musaraba. 
MAT.26.3	Mbe niwo abagabisi abakuru na bakaruka ba ba:nu nibekofyanyisya mu cibanja co mugabisi omukuru unu atogwaga Kayafa. 
MAT.26.4	Nibarwajira aamwi, korereki Yesu bamugwatire bwengebwenge bamwite. 
MAT.26.5	Nawe niba:ika ati, Citamugwatira ku marya,
MAT.26.6	Mbe Yesu anu ariga:ri mu Betania mu nyumba ya Simoni omugenge, 
MAT.26.7	Omugasi namu:jako unu ariga ana kayabya ka mafuta go bugusi oburambu muno, namuge:tirira ku mutwe, eyanjire narya. 
MAT.26.8	Nawe abe:igisibwa bejire barora, nibabiirwa nibabu:sya ati, ?Ganu gafwaki? 
MAT.26.9	Okuba amafuta ganu kumba gakaka:nirwemo, gakaso:keremo bi:nu byafu byo kuyana abataka. 
MAT.26.10	Yesu ariga amenyere, nababwira ati, ?Omumunya:sisyaki omugasi unu? Okuba ankorera omusango gwo bwana. 
MAT.26.11	Okuba abataka nibo muri nabo kusiku, nawe anye mutari nanye kusiku. 
MAT.26.12	Okuba gunu akorera okunyitirira omubiri gwani amafuta, ankorera kutyo okunyira:ba okusi:kwa kwani. 
MAT.26.13	Ni cimari enibabwira ati, Wo:ne anu Ecigambo cinu eco bwana anu ciryaikwaga mu ca:ro co:ne, cinu omugasi unu ankorera ciryaikwagako okumwicuka.
MAT.26.14	Mbe niwo umwi kwabo rikumi na babiri, unu atogwaga Yuda Iskariota, nagenda ku bagabisi abakuru. 
MAT.26.15	Na:ika ati, ?Omujo:kunana ki, anye nije nibamuyane? Nibamurengera jimpirya makumi gasatu. 
MAT.26.16	Niwao nambiriramo okuyenja omwanya kutyo aramuromera iniku.
MAT.26.17	Mbe ku rusiku rwo kwamba orwe mikate jinu jitarimo cifwimbya, abe:igisibwa niba:ja ku Yesu nibabu:sya ati, ?Owenda a:ki anu cirakwira:bira Ipasaka anu urairi:ra? 
MAT.26.18	Na:ika ati, Mugende mu musi ewa igo:yu, mumubwire ati, Omwiigisya a:ika ati, Omwanya gwani gwaja okukinga. Ewao niyo nirari:ra Ipasaka aamwi na be:igisibwa bani. 
MAT.26.19	Abe:igisibwa nibakora rwa kutyo Yesu abaragirira, mbe:ra:ba Ipasaka.
MAT.26.20	Mbe kwejire kwaba kegoro neyanja okurya aamwi na be:igisibwa bae ekumi na babiri. 
MAT.26.21	Anu bariga bacarya, na:ika ati, Ni cimari enibabwira ati, umwi kwimwe kajo:kundomera iniku. 
MAT.26.22	Nibasurumbara muno, nibamba umwiumwi okubu:sya ati, Ratabugenyi, si nanye? 
MAT.26.23	Omwene naindura ati, Oyo ke:nirisya aamwi nanye ku rutuba, niwe arandomera iniku. 
MAT.26.24	Omwana wo mu:nu kagenda rwa kutyo andikiriywe, nawe jirimubona omu:nu oyo araromera Omwana wo mu:nu iniku! Kumba kwakabee kwa bwana ku mu:nu oyo, atake:buywe! 
MAT.26.25	Yuda unu amuromee iniku, naindura ati, ?Si nanye, Rabbi? Namubwira ati, Rwa kutyo waika.
MAT.26.26	Anu bariga bacarya, Yesu nagega omukate, nasi:ma nagubeganya nayana abe:igisibwa, na:ika ati, Nimugege murye. Gunu nigwo omubiri gwani. 
MAT.26.27	Nagega ecikombe nasi:ma, nabayana na:ika ati, Nimunywe ku cinu emwe bo:ne. 
MAT.26.28	Okuba cinu nigo amanyinga gani aga indagano, ganu agaurura kurwa ba:fu kurwo kwiswaririrwa ebibi:bi. 
MAT.26.29	Nawe enibabwira ati, Okwambira rero nitarinywa kata ku matwasyo ganu age mijabibu, kukinga ku rusiku niriya ndiganywa gari maya:ya aamwi nemwe mu bukama bwa Rata. 
MAT.26.30	Be:jire bamara okwimba, nibauruka nibagenda ku ci:ma ce Mijeituni.
MAT.26.31	Mbe niwo Yesu nababwira ati, Emwe bo:ne omujo:kusinirirwa kubwani mu ngeta inu, okuba candikirwe ati, Ndibuma omure:fi, na ji:na:ma ja mwiijo jirinyarambuka. 
MAT.26.32	Mbe nawe ariba namara okusu:ka, ndibatangatira okugenda Galilaya. 
MAT.26.33	Nawe Petero naindura namubwira ati, Bo:ne bakasinirirwa kubwao, nawe anye nitakusinirirwa kata. 
MAT.26.34	Yesu namubwira ati, Ni cimari enikubwira ati, mu ngeta inu iŋoko eijo:kuba icari kukokoroma, oujo:kunyiga:niramo kwiya kasatu. 
MAT.26.35	Petero namubwira ati, Nakabee kunyiire okufwira aamwi na:we, nitakukwiga:na na katyari. Na be:igisibwa bo:ne niba:ika kutyo.
MAT.26.36	Mbe Yesu nagenda nabo nakinga anu atogwaga Getesemane, nababwira abe:igisibwa bae ati, Mwinyanje anu ngende ariya nisabwe. 
MAT.26.37	Nagega Petero na ba:na babiri ba Jebedayo, namba okusurumbara no kuwa omwoyo muno. 
MAT.26.38	Mbe niwo nababwira ati, Omwoyo gwani guri no butaka bwafu obwo kunyita. Mbe mube anu mutengeje aamwi nanye. 
MAT.26.39	Naribata kuto:to nabundara nasabwa na:ika ati, Rata, cikaba citatamisye, ecikombe cinu cinso:keko. Nawe tari rwa kutyo enenda anye, nawe rwa kutyo wendere awe. 
MAT.26.40	Nasuba ku be:igisibwa bae nabasanga ba:ongee, namubwira Petero ati, Kana! ?Mutakutura kutengeja aamwi nanye nakabee iri saa imwi era? 
MAT.26.41	Mutengeje, musabwe, mutengira mu kusakwa. Omwoyo nigwo ogwenda, nawe omubiri gurengaae. 
MAT.26.42	Nasuba nagenda orwa kabiri nasabwa na:ika ati, Rata, araba cinu citamisye okunso:kako tari anye nicinywe, cinu owenda cikorwe. 
MAT.26.43	Na:ja rindi nabasanga baongee, okuba ame:so gebwe gariga gabondere. 
MAT.26.44	Nabasiga rindi nagenda nasabwa orwa kasatu, na:ika rindi emisango ejo ejo. 
MAT.26.45	Mbe e:ya na:ja ku be:igisibwa bae, nababwira ati, Muongere era wori, mwisye Omwoyo. Rora, omwanya gwafugera, Omwana wo mu:nu katu:rwa mu maboko ga be bibi:bi. 
MAT.26.46	Mwimuke cigende. Rora unu kandomera iniku ajo:kufugera.
MAT.26.47	Anu ariga aca:ika, mbe Yuda, niwe oumwi kwikumi na babiri, na:ja ari ne cise cinene bari ne binyambutu na masimbo, nibaso:ka ku bagabisi abakuru na bakaruka ba ba:nu. 
MAT.26.48	Nawe oyo amuromee iniku ariga abayae ecibarikisyo, na:ika ati, Unu ndanyunya, niwe oyo mumugwate. 
MAT.26.49	Aonao na:ja ku Yesu, na:ika ati, Murembe, Rabbi. Namunyunya muno. 
MAT.26.50	Yesu namubwira ati, Musa:ni, ?niki cinu cakure:ta? Mbe niba:ja ku Yesu nibamutako amaboko nibamugwata. 
MAT.26.51	Mbe, oumwi ku banu bariga na Yesu nagorora okuboko, nasoora ecinyambutu cae natema omugaya wo mugabisi Omukuru, namutemako okutwi. 
MAT.26.52	Mbe Yesu namubwira ati, Ecinyambutu cao nucisubye anu cariri. Okuba abo abagwata ecinyambutu nibo bari:twa ecinyambutu. 
MAT.26.53	?Tere amwi owitogera ati, nitakutura kusabwa Rata, nande:tera woryanu bamaraika ba:fu basa:gire regioni
MAT.26.54	?Mbe ka binu byandikirwe jebikumire kutiki okuba ebyaika ati ni busi busi bibe kutyo? 
MAT.26.55	Mu mwanya ogwo Yesu nabu:sya ebise ati, ?Mwaja ne binyambutu na masimbo okungwata rwo musa:kusi? Nariga ninyanja mu yekaru ku:siku niniigisya, nemwe mutangwatire. 
MAT.26.56	Nawe binu byone byabao, korereki binu abaragi bandikire bikumire. Mbe niwo abe:igisibwa bae bo:ne nibamusiga mbe:ruka.
MAT.26.57	Mbe banu bagwatire Yesu, nibamusira ewa Kayafa omugabisi Omukuru, enu bariga be:kofyanyisisye abandiki na bakaruka. 
MAT.26.58	Nawe Petero namuso:ka inyuma e:cundire kura okukinga mu rugo rwo mugabisi Omukuru nengira munda, nenyanja aamwi na bakosi arore kutyo bira:ba. 
MAT.26.59	Nawe abagabisi abakuru na ba mu cirwaji bo:ne nibayenja orusingiro rwo rurimi ku Yesu, korereki bamwite. 
MAT.26.60	Nibaremo:kubona, nakabee ababeeresya babonekere ba:fu. 
MAT.26.61	Be:jire be:ye niba:ja babiri, niba:ika ati, Unu a:ikire ati, Enitura okufumya iyekaru ya Nyamuanga, niniyumbaka mu siku isatu. 
MAT.26.62	Omugabisi Omukuru nemereguru namubu:sya ati, ?Awe utakuindura musango? ?ni misango ki jinu abakwaika? 
MAT.26.63	Nawe Yesu najibira. Omugabisi Omukuru naindura namubwira ati, Enikwirairisya ku Nyamuanga omuanga, ucibwire araba na:we Kristo, Omwana wa Nyamuanga. 
MAT.26.64	Yesu namubwira ati, Waikire, nawe enibabwira ati, okwambira rero murirora Omwana wo mu:nu eyanjire ku kuboko kwe buryo okwo Buinga ne:jira ku me:re ga ku rwire. 
MAT.26.65	Mbe niwo omugabisi Omukuru natemura ebifwaro byae, na:ika ati, Afuma Nyamuanga. ?Aba:iki ecenda ba ki rindi? Mbe rora, mwongwa okufuma kwae ori. 
MAT.26.66	?Omwiganirisya kutiki? Nibaindura ati, E:ire okufwa. 
MAT.26.67	Mbe nibamufuburira amafwefu mu busu, nibamubuma ebifu:fi, abandi nibamusasa amai, 
MAT.26.68	Niba:ika ati, Nucibwire, awe Kristo, ?Niga unu akubuma?
MAT.26.69	Nawe Petero ariga enyanjire aanja mu nigo. Omuyara namugendako, na:ika ati, Nawe one wariri aamwi na Yesu Omugalilaya. 
MAT.26.70	Omwene ne:ga:nira imbere ya ba:nu bo:ne, na:ika ati, Cinu owaika anye ntakucimenya. 
MAT.26.71	Nawe e:jire auruka kukinga mu cisuna, omuyara oundi namurora, nababwira banu bariga bari ao ati, Unu one ariga:ri na Yesu Omunajareti. 
MAT.26.72	Ne:ga:na rindi naraira ati, Omu:nu oyo nitakumumenya. 
MAT.26.73	Niguitiŋanao omwanya muto:to, banu bariga bemereguyu awo niba:ja nibabwira Petero ati, Ni cimari awe one uri we:ja:bo, okuba inyaika yao niyo oumenyekerako. 
MAT.26.74	Mbe niwo namba okwifuma no kuraira ati, Omu:nu uyo nitakumumenya. Ao nao iŋoko nikokoroma. 
MAT.26.75	Petero ne:cuka omusango gunu Yesu a:ikire ati, Iŋoko eiba icari kukokoroma, oujo-kunyiga:na kwiya kasatu. Nauruka aanja, narira masiga mogomogo.
MAT.27.1	Nawe wejire bwaca, abagabisi abakuru bo:ne na bakaruka ba ba:nu nibarwajira aamwi ebya Yesu, korereki bamwite. 
MAT.27.2	Nibamuboya nibamugega nibamusira ku Pilato omusi:ba.
MAT.27.3	Mbe Yuda, unu amuromee iniku, wejire arora ati eci:na cae cabutuka, ne:garura, nasubisya abagabisi abakuru na bakaruka jimpirya jiriya amakumi agasatu, 
MAT.27.4	Na:ika ati, Namanyamura okuromera iniku amanyinga ganu gatana cikayo. Nawe abene nibamubwira ati, ?Ago eswe gacija:mo:ki? Awe na:we uragabona. 
MAT.27.5	Jimpirya naje:sa mu yekaru, nauruka nagenda nenyiga. 
MAT.27.6	Nawe abagabisi abakuru nibagega jimpirya ejo, niba:ika ati, kuganyisye okujitu:ra mwibikiro rya mu yekaru, okuba ni bugusi bwa manyinga. 
MAT.27.7	Nibarwaja nibaguramo risambu ryo mumogi eryo kusi:kagamo abagenyi. 
MAT.27.8	Risambu eryo nikwo ryakorere niritogwa, risambu rya manyinga, na ka ori. 
MAT.27.9	Mbe niwo nicikumira cinu ca:ikirwe no muragi Yeremia ati,
MAT.27.9	Nibagega jimpirya makumi gasatu,
MAT.27.9	Nibwo obugusi bwa unu baromee obugusi,
MAT.27.9	Unu baromee obugusi mu ba:na ba Israeli.
MAT.27.10	Nibajiguramo risambu ryo mumogi, rwa kutyo Ratabugenyi andagiriye.
MAT.27.11	Mbe Yesu nemereguru imbere yo musi:ba. Omusi:ba namubu:sya ati, ?Na:we Omukama wa Bayaudi? Yesu na:ika ati, Awe wa:ikire. 
MAT.27.12	Abagabisi abakuru na bakaruka be:jire bamubu:ra, atainduye na katyari. 
MAT.27.13	Mbe Pilato namubu:sya ati, ?Utakungwa emisango myafu jinu abakubu:ra kutyo jiri? 
MAT.27.14	Omwene atamuinduye nakabee guri musango gumwi, omusi:ba ndijei narugu:ra muno. 
MAT.27.15	Nawe ku siku ja marya omusi:ba ariga ana ntungwa yo kubasurumurira aba:nu omuboywa umwi unu bendaga. 
MAT.27.16	Mbe bariga no muboywa omukumu:ke mu siku ijo, natogwa Baraba. 
MAT.27.17	Be:jire be:kofyanya, Pilato nababu:sya ati, ?Omwenda nibasurumurire wuya? ?Baraba, tere Yesu unu katogwa Kristo? 
MAT.27.18	Okuba ariga amenyere ati bamugwatiye rwiso. 
MAT.27.19	Nawe e:jire enyanja ku citebe co kuramurira, omugasi wae namutumira intumwa na:ika ati, Utaja kuba nage musango omu:nu oyo omurenge:resi, okuba nanya:sibwa muno mu ciro:to kubwae. 
MAT.27.20	Nawe abagabisi abakuru na bakaruka nibakongya ebise korereki basabwe Baraba, bamusimagisye Yesu. 
MAT.27.21	Omusi:ba naindura nababu:sya ati, ?Ku babiri banu omwenda nibasurumurire:ga? Niba:ika ati, Baraba. 
MAT.27.22	Pilato nababu:sya ati, ?Kambe Yesu unu katogwa Kristo, nije nimukore kutiki? Bo:ne niba:ika ati, Abambwe ku musaraba. 
MAT.27.23	Omwene nabu:sya ati, ?Kubaki, cikayo ki cinu akorere? Nawe nibeyongesya okuyombayomba, niba:ika ati, Abambwe ku musaraba.
MAT.27.24	Nawe Pilato e:jire arora ati, atakutura musango, na ka nibagumo:kuyomba, nagega amanji, ne:sa:ba imbere ye cise, na:ika ati, Anye nitana cikayo ku manyinga go mu:nu unu omurenge:resi. Mubirore emwe abene. 
MAT.27.25	Aba:nu bo:ne nibaindura ati, Amanyinga gae gabe kwiswe na ku ba:na beswe. 
MAT.27.26	Mbe nabasurumurira Baraba, nawe nasanya Yesu jisanyu, namuso:sya korereki abambwe ku musaraba.
MAT.27.27	Mbe abasirikare bo musi:ba nibasira Yesu mu nigo rwo musi:ba, mbamwikofyanyisya:ko ese:mu:ta ryone. 
MAT.27.28	Nibamufu:ra ebifwaro, nibamufwafya omwenda omutukurasi. 
MAT.27.29	Nibaruka orutenga orwa mawa, nibamufwafya ku mutwe, nibata risaru mu kuboko kwae okwe buryo, nibafukama imbere yae mbamujimya niba:ika ati, Kasinge, Omukama wa Bayaudi! 
MAT.27.30	Nibamufuburira amafwefu, nibagega risaru rirya, nibamu-bumira mu mutwe. 
MAT.27.31	Be:jire bamara okumujimya, nifamufu:ra omwenda nibamufwafya ebifwaro byae, nibamusira okumubamba ku musaraba.
MAT.27.32	Anu bariga bacauruka, nibabonana no mu:nu Omukurene, risi:na ryae Simoni. Oyo nibamusinyirisya okwitwika omusaraba gwae. 
MAT.27.33	Be:jire bakinga anu atogwaga Gologoat, obugajuro bwaco ati, Aweciyanga, 
MAT.27.34	Nibamuyana okunywa isiki
MAT.27.35	Be:jire bamara okumubamba ku musaraba, nibagabana ebifwaro byae, nibe:tongya korereki cikumire cinu ca:ikirwe no muragi ati,
MAT.27.35	Bagabene ebifwaro byani na ku kanju yani nibe:tongya.
MAT.27.36	Nibenyanja ao nibamurore:rera. 
MAT.27.37	Nibatu:ra inguru yo mutwe gwae intambara yae inu yandikirwe ati, unu niwe Yesu omukama wa Bayaudi. 
MAT.27.38	Mbe abasa:kusi babiri nibabambirwa aamwi nage, oumwi ku kuboko kwe buryo, no undi ku kwe bumosi. 
MAT.27.39	Na banu baitiŋanaga nibamufuma, nibasingisya emitwe jebwe, 
MAT.27.40	Niba:ika ati, Awe rufumya yekaru, unu kayumbakira mu siku isatu, iwonya. Araba uri Mwana wa Nyamuanga, yika okuso:ka ku musaraba. 
MAT.27.41	Abagabisi abakuru na bakaruka na bandiki one nyaburiko nibamugomberera niba:ika ati, 
MAT.27.42	Aonyaga abandi, atakutura kwionya omwene. Akaba niwe Omukama wa Israeli, ne:ke woryanu aso:ke ku musaraba, neswe jecimwikirisye. 
MAT.27.43	Eikanyisye Nyamuanga, na:mukisye wori araba kamwenda, okuba aikire ati, Anye ndi Mwana wa Nyamuanga. 
MAT.27.44	Abasa:kusi banu babambiywe aamwi nage abene one nibamufuma kutyo.
MAT.27.45	Nawe okuso:ka mu saa eta:nu na imwi, cabee cisu:te ku ca:ro co:ne kukinga ku saa ya kata:nu na kana. 
MAT.27.46	Omwanya wejire gweya uti saa eta:nu ne:na, Yesu na:ikirira inguru na buraka bunene, na:ika ati, Eli, Eli, rama sabakatani? Obugajuro bwagwo ati, Nyamuanga wani, Nyamuanga wani, ?wansigira ki? 
MAT.27.47	Nawe abandi banu bariga bemereguyu awo, niba:ika ati, Unu kabirikira Eliya. 
MAT.27.48	Aonao owe:ja:bo oumwi nabirima, nagega rifwo, nari:jusya isiki, naritu:ra kwisa:ru, namunywesya. 
MAT.27.49	Ka bandi niba:ika ati, Siga cirore araba Eliya kajo:ku:ja okumukisya. 
MAT.27.50	Mbe Yesu e:jire amara okuragirisisya inguru rindi, naso:sya omwoyo gwae. 
MAT.27.51	Mbe rora, risaenge rya mu yekaru niritemukamo maba:ra gabiri, kuso:kerera inguru kukinga emwaro. I:si ni:yarara na jitare nija:tika. 
MAT.27.52	Ji:fwa niji:guka. Nijisu:ka emibiri myafu eja be ru banu bariga bama:mire, 
MAT.27.53	Nibaso:ka mu fwa e:jire amara okusu:ka, nibengira mu musi omweru, nibabonekera ba:fu. 
MAT.27.54	Nawe uriya Omukuru wa basirikare na bariya bariga nage nibamurinda Yesu, be:jire barora eciyararo ca i:si, na binu byabeeo, nibo:baya muno, niba:ika ati, Unu ariri Mwana wa Nyamuanga cimari.
MAT.27.55	Barigao na bagasi ba:fu banu bemereguyu kura nibarore:rera, banu baru:baga Yesu kuso:ka Galilaya, banu bamufurubenderaga. 
MAT.27.56	Mwabo arigamo Maryamu Magadalene, na Maryamu nyira Yakobo na Yose, na nyiramwene na nyiramwene aba:na ba Jebedayo.
MAT.27.57	Kwejire kwaba kegoro, na:ja omu:nu omuni:bi unu aso:kere Arimataya, risi:na ryae Yusufu, one ariga:ri mwiigisibwa wa Yesu. 
MAT.27.58	Oyo nagenda ku Pilato, nasabwa ecitundu ca Yesu. Pilato naragirira okumuciyana. 
MAT.27.59	Yusufu nagega ecitundu, nacisinga mu mwenda gwa ibafuta inyeru kobokobo. 
MAT.27.60	Nacita mu:fwa yae inyaya, inu ariga asimbire ku rutare. Nasiringisya ribui enene, naritu:ra ku muryango gwa i:fwa nagenda. 
MAT.27.61	Ariga:rio Maryamu Magadalene na Maryamu oundi, benyanjire basomekene na i:fwa.
MAT.27.62	Nawe mwejo, nirwo orusiku runu oruru:bira orwo kwira:ba, abagabisi abakuru na Bafarisayo nibe:kofyanyisya ewa Pilato. 
MAT.27.63	Niba:ika ati, Mukaruka, ce:cuka omubei uyo a:ikire acari muanga ati, Ariba jaturao siku isatu ndisu:ka. 
MAT.27.64	Mbe ragirira barinde kata i:fwa kukinga ku rusiku rwa kasatu, korereki abe:igisibwa bae basiga kwifura nibamwiba, mbabwira aba:nu ati, Asu:kire mu bafu:ye no kubeya kwa ku bute:ro oku-jo:kira okwo kwamba. 
MAT.27.65	Pilato nababwira ati, Muri na bari:si, mugende muirinde katakata rwa kutyo omutura. 
MAT.27.66	Nibagenda nibarinda Kata i:fwa. Ribui nibaritu:rako ecibarikisyo na bari:si one bario.
MAT.28.1	Ku bute:ro bwa isabato, nibujo:kuca ku rusiku rwo kwamba mu bwoyo, Maryamu Magadalene na Maryamu uriya owa kabiri nibagenda okurora i:fwa. 
MAT.28.2	Mbe rora, nicibao eciyararo ku:si, okuba Maraika wa Ratabugenyi aso:kere mu rwire na:ja nasiringisya ribui nariso:syao, nari:yanjako. 
MAT.28.3	No rususo rwae rwariga ruri rwo rurabyo, ne myenda jae jariga je:rere rwa mabui ga iŋuba. 
MAT.28.4	Na makanyo gae nigaarasya abari:si nibaba rwa bafu:ye. 
MAT.28.5	Nawe maraika naindura nabwira abagasi abo ati, Emwe musige ku:baya, okuba nimenyere ati, omuyenja Yesu unu amabambwa ku musaraba. 
MAT.28.6	Atariwo anu, okuba asu:kire rwa kutyo a:ikire. Nimu:je murore anu Ratabugenyi ariga ama:mibwe. 
MAT.28.7	Mugende bwangu mubwire abe:igisibwa bae ati, asu:kire mu bafu:ye. Rora kabatangatira okugenda Galilaya, niyo mwakamubonere. Mbe rora nababwira. 
MAT.28.8	Nibaso:ka bwangu ku:fwa, no bu:ba no kukonderwa kwafu, nibabirima okubwira abe:igisibwa bae. 
MAT.28.9	Mbe, anu bariga bacagenda okubwira abe:igisibwa bae, Yesu nabonana nabo na:ika ati, Omurembe, nibamu:jako nibamugwata amaguru, nibamuramya. 
MAT.28.10	Yesu nababwira ati, Musige ku:baya. Mugende mujo:bwira aba:na ba:su bagende Galilaya, niyo barindorera.
MAT.28.11	Nawe anu bariga bacagenda mbe abari:si abandi nibengira mu musi, nibabwira abagabisi abakuru go:ne ganu gabao. 
MAT.28.12	Nibe:kofyanya aamwi na bakaruka, nibarwajira aamwi, nibayana abasirikare jimpirya nyafu. 
MAT.28.13	Niba:ika ati, Jemwaikega ati, Abe:igisibwa bae ba:ma:ja mu ngeta nibamwiba eswe ciongee. 
MAT.28.14	Mbe omusango gunu cikongwibwa no musi:ba, eswe cirimukongyakongya, emwe nicibaso:syako intambara. 
MAT.28.15	Mbe nibagega jimpirya ejo, nibakora rwa kutyo be:igisi:bwe. Omusango gunu nigukumuka mu Bayaudi kukinga rero.
MAT.28.16	Nawe abe:igisibwa ekumi na umwi nibagenda Galilaya ku ci:ma cinu Yesu abaragiriye. 
MAT.28.17	Be:jire bamurora nibamuramya, nawe abandi nibe:timata. 
MAT.28.18	Yesu na:ja na:ika nabo ati, Nayabirwe obuinga bwone mu rwire na ku ca:ro. 
MAT.28.19	Mbe, mugende mukore amaanga go:ne kuba be:igisibwa, nimubabatija mwisi:na rya Rata ne ryo Mwana ne ryo Mwoyo Mweru, 
MAT.28.20	Nimube:igisya okugwata byone binu nabaragiriye emwe, na rora anye ndi aamwi nemwe kukinga ku bute:ro bwa maimbo.
MRK.1.1	Obwambiro bwe Misango jo bwana eja Yesu Kristo Omwana wa Nyamuanga. 
MRK.1.2	Rwa kutyo jandikirwe no muragi Isaya ati,
MRK.1.2	Rora entituma intumwa yani imbere yao,
MRK.1.3	Riraka rya unu ka:ikirira inguru mwibara ati,
MRK.1.3	Nimucume injira ya Ratabugenyi, mwimye jinjira jae.
MRK.1.4	Yoana naja nabatija mwibara, nasimura ebyo kubatija kwo kuta okwo kwiswaririrwa ebibi:bi.
MRK.1.5	Eca:ro co:ne eca Buyaudi, na bende Yerusalemi bo:ne nibe:muka, nibaja anu ariga:ri, nababatija mu musima gwa Yorodani, nibe:gamba ebibi:bi byebwe. 
MRK.1.6	Yoana afwaraga obwose bwa ingamira, no rukoba rwo rwai mu cibunu cae, naryaga jinsige no bu:ki bwa mwibara. 
MRK.1.7	Nasimura na:ika ati, Ariwo Unu ka:ja inyuma yani, unu ankirire amanaga. Oyo anye nite:ire kwinama okugesya orukoba rwe bikwirya byae. 
MRK.1.8	Anye enibabatija mu manji, nawe Oyo aribabatija mu Mwoyo Mweru.
MRK.1.9	Mu siku ijo Yesu naso:ka Najareti ya Galilaya, naja okubatijibwa na Yoana mu Yorodani. 
MRK.1.10	Ejire asyoka mu manji, aonao narora orwire niruba:ruka, no Mwoyo Mweru namwikira mu rususo rwa injiba, 
MRK.1.11	Oburaka nibuso:ka mu rwire nibwaika ati, Na:we Omwana wani omwendwa, unu ounkondisya muno. 
MRK.1.12	Aonao Omwoyo namusira mwibara. 
MRK.1.13	Nabe:yo mwibara siku makumi gana, nasakwa na Syetani. Naba aamwi na matyanyi amaruru. Bamaraika mbamufurubendera.
MRK.1.14	Yoana wejire amara okutu:rwa mwiboero, Yesu naja Galilaya, nasimura Emisango jo bwana eja Nyamuanga, 
MRK.1.15	na:ika ati, Omwanya gweya. Obukama bwa Nyamuanga bwafugee. Nimute, mwikirisye Ebigambo byo bwana.
MRK.1.16	Nabarama ku nyanja ya Galilaya, narora Simoni na Andereya omumura wabo nibe:sa rigo:be mu nyanja, okuba bariga bategi. 
MRK.1.17	Yesu nababwira ati, Muje mundu:be, anye ndibakora kuba bategi ba ba:nu. 
MRK.1.18	Aonao nibasiga rigo:be ryebwe nibamuru:ba. 
MRK.1.19	Wejire afugerayo imbere kuto:to narora Yakobo mwana wa Jebedayo, na Yoana owabo, bari mu bwato niba-sobo:ra rigo:be ryebwe. 
MRK.1.20	Aonao nababirikira. Nibasigao Jebedayo esemwene mu bwato aamwi na bakosi bo muye:ro, nibamuru:ba.
MRK.1.21	Nibengira Kaperinaumu. Aonao nengira mu rikofyanyisyo ku rusiku rwa isabato, ne:igisya. 
MRK.1.22	Niba-taŋaŋara kurwo kwiigisya kwae, okuba abe:igisyaga rwo niu:nu unu amenyere kata, tari rwa bandiki. 
MRK.1.23	Ari-ga:rimo mu:nu ano musambwa mujabi mu rikofyanyisyo, nakunga, 
MRK.1.24	na:ika ati, ?Ecifuno niki eswe na:we, Yesu wende Najareti? ?Wejire okusimagisya? Nikumenyere awe, uri Mweru wa Nyamuanga. 
MRK.1.25	Yesu nagugonya na:ika ati, Jibira, umuso:kemo. 
MRK.1.26	Omusambwa omujabi nigumugaragasya, nigukungira inguru, nigumuso:kamo. 
MRK.1.27	Nibataŋaŋara bo:ne, nibabu:syanya niba:ika ati, ?Niki cinu? Ni kwiigisya kuya:ya. Naragirira emisambwa emijabi na managa nijimungwa. 
MRK.1.28	Aonao orukuma rwae niruswira eca:ro eco co:ne ca Galilaya.
MRK.1.29	Wejire bauruka mu rikofyanyisyo, nibengira aonao mu nyumba ya Simoni na Anderea aamwi na Yakobo na Yoana. 
MRK.1.30	Mbe nyabuko Simoni ariga ama:mire arwae ebiri. Aonao nibamubwira kutyo ari. 
MRK.1.31	Naja namugwata okuboko namwimusya. Ribiri ndimuso:kako nabafurubendera.
MRK.1.32	Wejire kwaba ke:goro, risu:ba ryaguye, nibamure:tera abarwae na banu bariga baungirwe emisambwa. 
